context: You can't blame them. response:	Working at an inn is hard.
context: Running an inn is not on that list.\Episode 15 Sunny With a Chance of Beans\Office\We're very short handed now that\all our waitresses have quit.\I'll call the union and ask\if they've got any waitresses available today.\We'll ask around too. response:	Thanks.
context: Episode 15 Sunny With a Chance of Beans\Office\We're very short handed now that\all our waitresses have quit.\I'll call the union and ask\if they've got any waitresses available today.\We'll ask around too.\Thanks. response:	Yosuke.
context: Office\We're very short handed now that\all our waitresses have quit.\I'll call the union and ask\if they've got any waitresses available today.\We'll ask around too.\Thanks.\Yosuke. response:	Hello?
context: We're very short handed now that\all our waitresses have quit.\I'll call the union and ask\if they've got any waitresses available today.\We'll ask around too.\Thanks.\Yosuke.\Hello? response:	What are you drifting off for?
context: all our waitresses have quit.\I'll call the union and ask\if they've got any waitresses available today.\We'll ask around too.\Thanks.\Yosuke.\Hello?\What are you drifting off for? response:	If only I'd managed them better...
context: I'll call the union and ask\if they've got any waitresses available today.\We'll ask around too.\Thanks.\Yosuke.\Hello?\What are you drifting off for?\If only I'd managed them better... response:	This ain't the time to be blaming yourself.
context: if they've got any waitresses available today.\We'll ask around too.\Thanks.\Yosuke.\Hello?\What are you drifting off for?\If only I'd managed them better...\This ain't the time to be blaming yourself. response:	I'd like to help out!
context: We'll ask around too.\Thanks.\Yosuke.\Hello?\What are you drifting off for?\If only I'd managed them better...\This ain't the time to be blaming yourself.\I'd like to help out! response:	You're...
context: Thanks.\Yosuke.\Hello?\What are you drifting off for?\If only I'd managed them better...\This ain't the time to be blaming yourself.\I'd like to help out!\You're... response:	I'm a waitress at Kissuiso,
context: Yosuke.\Hello?\What are you drifting off for?\If only I'd managed them better...\This ain't the time to be blaming yourself.\I'd like to help out!\You're...\I'm a waitress at Kissuiso, response:	so as long as you don't mind...
context: Hello?\What are you drifting off for?\If only I'd managed them better...\This ain't the time to be blaming yourself.\I'd like to help out!\You're...\I'm a waitress at Kissuiso,\so as long as you don't mind... response:	Kissuiso?
context: What are you drifting off for?\If only I'd managed them better...\This ain't the time to be blaming yourself.\I'd like to help out!\You're...\I'm a waitress at Kissuiso,\so as long as you don't mind...\Kissuiso? response:	Thank you for your kindness and concern.
context: If only I'd managed them better...\This ain't the time to be blaming yourself.\I'd like to help out!\You're...\I'm a waitress at Kissuiso,\so as long as you don't mind...\Kissuiso?\Thank you for your kindness and concern. response:	Yes?!
context: This ain't the time to be blaming yourself.\I'd like to help out!\You're...\I'm a waitress at Kissuiso,\so as long as you don't mind...\Kissuiso?\Thank you for your kindness and concern.\Yes?! response:	However, this is our inn's problem.
context: I'd like to help out!\You're...\I'm a waitress at Kissuiso,\so as long as you don't mind...\Kissuiso?\Thank you for your kindness and concern.\Yes?!\However, this is our inn's problem. response:	I cannot allow a guest of ours to be troubled by our problems.
context: You're...\I'm a waitress at Kissuiso,\so as long as you don't mind...\Kissuiso?\Thank you for your kindness and concern.\Yes?!\However, this is our inn's problem.\I cannot allow a guest of ours to be troubled by our problems. response:	You're currently on a field trip.
context: I'm a waitress at Kissuiso,\so as long as you don't mind...\Kissuiso?\Thank you for your kindness and concern.\Yes?!\However, this is our inn's problem.\I cannot allow a guest of ours to be troubled by our problems.\You're currently on a field trip. response:	Please enjoy yourself.
context: so as long as you don't mind...\Kissuiso?\Thank you for your kindness and concern.\Yes?!\However, this is our inn's problem.\I cannot allow a guest of ours to be troubled by our problems.\You're currently on a field trip.\Please enjoy yourself. response:	Don't worry about it.
context: Kissuiso?\Thank you for your kindness and concern.\Yes?!\However, this is our inn's problem.\I cannot allow a guest of ours to be troubled by our problems.\You're currently on a field trip.\Please enjoy yourself.\Don't worry about it. response:	We're the customers here.
context: Thank you for your kindness and concern.\Yes?!\However, this is our inn's problem.\I cannot allow a guest of ours to be troubled by our problems.\You're currently on a field trip.\Please enjoy yourself.\Don't worry about it.\We're the customers here. response:	Wow, I want to go here!
context: Yes?!\However, this is our inn's problem.\I cannot allow a guest of ours to be troubled by our problems.\You're currently on a field trip.\Please enjoy yourself.\Don't worry about it.\We're the customers here.\Wow, I want to go here! response:	I know, but...
context: However, this is our inn's problem.\I cannot allow a guest of ours to be troubled by our problems.\You're currently on a field trip.\Please enjoy yourself.\Don't worry about it.\We're the customers here.\Wow, I want to go here!\I know, but... response:	I just can't stop thinking about it.
context: I cannot allow a guest of ours to be troubled by our problems.\You're currently on a field trip.\Please enjoy yourself.\Don't worry about it.\We're the customers here.\Wow, I want to go here!\I know, but...\I just can't stop thinking about it. response:	You're too nice, Ohana!
context: You're currently on a field trip.\Please enjoy yourself.\Don't worry about it.\We're the customers here.\Wow, I want to go here!\I know, but...\I just can't stop thinking about it.\You're too nice, Ohana! response:	Come on, we're on a field trip!
context: Please enjoy yourself.\Don't worry about it.\We're the customers here.\Wow, I want to go here!\I know, but...\I just can't stop thinking about it.\You're too nice, Ohana!\Come on, we're on a field trip! response:	Forget about it!
context: Don't worry about it.\We're the customers here.\Wow, I want to go here!\I know, but...\I just can't stop thinking about it.\You're too nice, Ohana!\Come on, we're on a field trip!\Forget about it! response:	O-Okay...
context: We're the customers here.\Wow, I want to go here!\I know, but...\I just can't stop thinking about it.\You're too nice, Ohana!\Come on, we're on a field trip!\Forget about it!\O-Okay... response:	Your free time starts now. Don't go too crazy!
context: Wow, I want to go here!\I know, but...\I just can't stop thinking about it.\You're too nice, Ohana!\Come on, we're on a field trip!\Forget about it!\O-Okay...\Your free time starts now. Don't go too crazy! response:	Meet back here at 4 p.m. sharp!
context: I know, but...\I just can't stop thinking about it.\You're too nice, Ohana!\Come on, we're on a field trip!\Forget about it!\O-Okay...\Your free time starts now. Don't go too crazy!\Meet back here at 4 p.m. sharp! response:	Don't be late!
context: I just can't stop thinking about it.\You're too nice, Ohana!\Come on, we're on a field trip!\Forget about it!\O-Okay...\Your free time starts now. Don't go too crazy!\Meet back here at 4 p.m. sharp!\Don't be late! response:	Oshimizu!
context: You're too nice, Ohana!\Come on, we're on a field trip!\Forget about it!\O-Okay...\Your free time starts now. Don't go too crazy!\Meet back here at 4 p.m. sharp!\Don't be late!\Oshimizu! response:	Howdy!
context: Come on, we're on a field trip!\Forget about it!\O-Okay...\Your free time starts now. Don't go too crazy!\Meet back here at 4 p.m. sharp!\Don't be late!\Oshimizu!\Howdy! response:	Time to buy gifts! Time to buy gifts!
context: Forget about it!\O-Okay...\Your free time starts now. Don't go too crazy!\Meet back here at 4 p.m. sharp!\Don't be late!\Oshimizu!\Howdy!\Time to buy gifts! Time to buy gifts! response:	For Madam Manager, the young master,
context: O-Okay...\Your free time starts now. Don't go too crazy!\Meet back here at 4 p.m. sharp!\Don't be late!\Oshimizu!\Howdy!\Time to buy gifts! Time to buy gifts!\For Madam Manager, the young master, response:	and Jiromaru...
context: Your free time starts now. Don't go too crazy!\Meet back here at 4 p.m. sharp!\Don't be late!\Oshimizu!\Howdy!\Time to buy gifts! Time to buy gifts!\For Madam Manager, the young master,\and Jiromaru... response:	Tomoe will love this!
context: Meet back here at 4 p.m. sharp!\Don't be late!\Oshimizu!\Howdy!\Time to buy gifts! Time to buy gifts!\For Madam Manager, the young master,\and Jiromaru...\Tomoe will love this! response:	Sake for Mr. Ren,
context: Don't be late!\Oshimizu!\Howdy!\Time to buy gifts! Time to buy gifts!\For Madam Manager, the young master,\and Jiromaru...\Tomoe will love this!\Sake for Mr. Ren, response:	and for Tohru...
context: Oshimizu!\Howdy!\Time to buy gifts! Time to buy gifts!\For Madam Manager, the young master,\and Jiromaru...\Tomoe will love this!\Sake for Mr. Ren,\and for Tohru... response:	Tohru
context: Howdy!\Time to buy gifts! Time to buy gifts!\For Madam Manager, the young master,\and Jiromaru...\Tomoe will love this!\Sake for Mr. Ren,\and for Tohru...\Tohru response:	I'll get this for him.
context: Time to buy gifts! Time to buy gifts!\For Madam Manager, the young master,\and Jiromaru...\Tomoe will love this!\Sake for Mr. Ren,\and for Tohru...\Tohru\I'll get this for him. response:	I can never find one
context: For Madam Manager, the young master,\and Jiromaru...\Tomoe will love this!\Sake for Mr. Ren,\and for Tohru...\Tohru\I'll get this for him.\I can never find one response:	with my name on it.
context: and Jiromaru...\Tomoe will love this!\Sake for Mr. Ren,\and for Tohru...\Tohru\I'll get this for him.\I can never find one\with my name on it. response:	What's wrong?
context: Tomoe will love this!\Sake for Mr. Ren,\and for Tohru...\Tohru\I'll get this for him.\I can never find one\with my name on it.\What's wrong? response:	N-Nothing.
context: Sake for Mr. Ren,\and for Tohru...\Tohru\I'll get this for him.\I can never find one\with my name on it.\What's wrong?\N-Nothing. response:	Hey, guys.
context: and for Tohru...\Tohru\I'll get this for him.\I can never find one\with my name on it.\What's wrong?\N-Nothing.\Hey, guys. response:	How lame.
context: Tohru\I'll get this for him.\I can never find one\with my name on it.\What's wrong?\N-Nothing.\Hey, guys.\How lame. response:	Oh, it's them.
context: I'll get this for him.\I can never find one\with my name on it.\What's wrong?\N-Nothing.\Hey, guys.\How lame.\Oh, it's them. response:	What?
context: I can never find one\with my name on it.\What's wrong?\N-Nothing.\Hey, guys.\How lame.\Oh, it's them.\What? response:	Man, I'm glad I quit.
context: with my name on it.\What's wrong?\N-Nothing.\Hey, guys.\How lame.\Oh, it's them.\What?\Man, I'm glad I quit. response:	Yeah, remind me to never work at an inn again.
context: What's wrong?\N-Nothing.\Hey, guys.\How lame.\Oh, it's them.\What?\Man, I'm glad I quit.\Yeah, remind me to never work at an inn again. response:	I don't like them.
context: N-Nothing.\Hey, guys.\How lame.\Oh, it's them.\What?\Man, I'm glad I quit.\Yeah, remind me to never work at an inn again.\I don't like them. response:	Well, working at an inn really is a pain.
context: Hey, guys.\How lame.\Oh, it's them.\What?\Man, I'm glad I quit.\Yeah, remind me to never work at an inn again.\I don't like them.\Well, working at an inn really is a pain. response:	Right, back to gift shopping! Gift shopping!
context: How lame.\Oh, it's them.\What?\Man, I'm glad I quit.\Yeah, remind me to never work at an inn again.\I don't like them.\Well, working at an inn really is a pain.\Right, back to gift shopping! Gift shopping! response:	Ohana?
context: Oh, it's them.\What?\Man, I'm glad I quit.\Yeah, remind me to never work at an inn again.\I don't like them.\Well, working at an inn really is a pain.\Right, back to gift shopping! Gift shopping!\Ohana? response:	It's so tiring, and the manual's super specific.
context: What?\Man, I'm glad I quit.\Yeah, remind me to never work at an inn again.\I don't like them.\Well, working at an inn really is a pain.\Right, back to gift shopping! Gift shopping!\Ohana?\It's so tiring, and the manual's super specific. response:	And on top of that, the owner's son is such a dick.
context: Man, I'm glad I quit.\Yeah, remind me to never work at an inn again.\I don't like them.\Well, working at an inn really is a pain.\Right, back to gift shopping! Gift shopping!\Ohana?\It's so tiring, and the manual's super specific.\And on top of that, the owner's son is such a dick. response:	What a pain in the ass.
context: Yeah, remind me to never work at an inn again.\I don't like them.\Well, working at an inn really is a pain.\Right, back to gift shopping! Gift shopping!\Ohana?\It's so tiring, and the manual's super specific.\And on top of that, the owner's son is such a dick.\What a pain in the ass. response:	Mango ice cream with fried chicken topping.
context: I don't like them.\Well, working at an inn really is a pain.\Right, back to gift shopping! Gift shopping!\Ohana?\It's so tiring, and the manual's super specific.\And on top of that, the owner's son is such a dick.\What a pain in the ass.\Mango ice cream with fried chicken topping. response:	Oh, that's mine.
context: Well, working at an inn really is a pain.\Right, back to gift shopping! Gift shopping!\Ohana?\It's so tiring, and the manual's super specific.\And on top of that, the owner's son is such a dick.\What a pain in the ass.\Mango ice cream with fried chicken topping.\Oh, that's mine. response:	You're the pain in the ass!
context: Right, back to gift shopping! Gift shopping!\Ohana?\It's so tiring, and the manual's super specific.\And on top of that, the owner's son is such a dick.\What a pain in the ass.\Mango ice cream with fried chicken topping.\Oh, that's mine.\You're the pain in the ass! response:	What's wrong with you?!
context: Ohana?\It's so tiring, and the manual's super specific.\And on top of that, the owner's son is such a dick.\What a pain in the ass.\Mango ice cream with fried chicken topping.\Oh, that's mine.\You're the pain in the ass!\What's wrong with you?! response:	M-My shoe! And it was brand new too!
context: It's so tiring, and the manual's super specific.\And on top of that, the owner's son is such a dick.\What a pain in the ass.\Mango ice cream with fried chicken topping.\Oh, that's mine.\You're the pain in the ass!\What's wrong with you?!\M-My shoe! And it was brand new too! response:	Mango ice cream with fried chicken topping...
context: And on top of that, the owner's son is such a dick.\What a pain in the ass.\Mango ice cream with fried chicken topping.\Oh, that's mine.\You're the pain in the ass!\What's wrong with you?!\M-My shoe! And it was brand new too!\Mango ice cream with fried chicken topping... response:	Hey! What's your problem?!
context: What a pain in the ass.\Mango ice cream with fried chicken topping.\Oh, that's mine.\You're the pain in the ass!\What's wrong with you?!\M-My shoe! And it was brand new too!\Mango ice cream with fried chicken topping...\Hey! What's your problem?! response:	Hey, blame her!
context: Mango ice cream with fried chicken topping.\Oh, that's mine.\You're the pain in the ass!\What's wrong with you?!\M-My shoe! And it was brand new too!\Mango ice cream with fried chicken topping...\Hey! What's your problem?!\Hey, blame her! response:	What?
context: Oh, that's mine.\You're the pain in the ass!\What's wrong with you?!\M-My shoe! And it was brand new too!\Mango ice cream with fried chicken topping...\Hey! What's your problem?!\Hey, blame her!\What? response:	Let's get out of here!
context: You're the pain in the ass!\What's wrong with you?!\M-My shoe! And it was brand new too!\Mango ice cream with fried chicken topping...\Hey! What's your problem?!\Hey, blame her!\What?\Let's get out of here! response:	H-Hey!
context: What's wrong with you?!\M-My shoe! And it was brand new too!\Mango ice cream with fried chicken topping...\Hey! What's your problem?!\Hey, blame her!\What?\Let's get out of here!\H-Hey! response:	Get back here!
context: M-My shoe! And it was brand new too!\Mango ice cream with fried chicken topping...\Hey! What's your problem?!\Hey, blame her!\What?\Let's get out of here!\H-Hey!\Get back here! response:	Jeez... What did you think you were doing?!
context: Mango ice cream with fried chicken topping...\Hey! What's your problem?!\Hey, blame her!\What?\Let's get out of here!\H-Hey!\Get back here!\Jeez... What did you think you were doing?! response:	Hey, don't you think they were rather callous?!
context: Hey! What's your problem?!\Hey, blame her!\What?\Let's get out of here!\H-Hey!\Get back here!\Jeez... What did you think you were doing?!\Hey, don't you think they were rather callous?! response:	What?
context: Hey, blame her!\What?\Let's get out of here!\H-Hey!\Get back here!\Jeez... What did you think you were doing?!\Hey, don't you think they were rather callous?!\What? response:	Hey, who were they?
context: What?\Let's get out of here!\H-Hey!\Get back here!\Jeez... What did you think you were doing?!\Hey, don't you think they were rather callous?!\What?\Hey, who were they? response:	They were part-time waitresses at the inn we're staying at.
context: Let's get out of here!\H-Hey!\Get back here!\Jeez... What did you think you were doing?!\Hey, don't you think they were rather callous?!\What?\Hey, who were they?\They were part-time waitresses at the inn we're staying at. response:	They quit without any notice.
context: H-Hey!\Get back here!\Jeez... What did you think you were doing?!\Hey, don't you think they were rather callous?!\What?\Hey, who were they?\They were part-time waitresses at the inn we're staying at.\They quit without any notice. response:	What? Then isn't the inn in a huge mess now?
context: Get back here!\Jeez... What did you think you were doing?!\Hey, don't you think they were rather callous?!\What?\Hey, who were they?\They were part-time waitresses at the inn we're staying at.\They quit without any notice.\What? Then isn't the inn in a huge mess now? response:	Yeah, I guess...
context: Jeez... What did you think you were doing?!\Hey, don't you think they were rather callous?!\What?\Hey, who were they?\They were part-time waitresses at the inn we're staying at.\They quit without any notice.\What? Then isn't the inn in a huge mess now?\Yeah, I guess... response:	I mean, they've got to be, right?
context: Hey, don't you think they were rather callous?!\What?\Hey, who were they?\They were part-time waitresses at the inn we're staying at.\They quit without any notice.\What? Then isn't the inn in a huge mess now?\Yeah, I guess...\I mean, they've got to be, right? response:	I still think I ought to help them.
context: What?\Hey, who were they?\They were part-time waitresses at the inn we're staying at.\They quit without any notice.\What? Then isn't the inn in a huge mess now?\Yeah, I guess...\I mean, they've got to be, right?\I still think I ought to help them. response:	I mean, think about it.
context: Hey, who were they?\They were part-time waitresses at the inn we're staying at.\They quit without any notice.\What? Then isn't the inn in a huge mess now?\Yeah, I guess...\I mean, they've got to be, right?\I still think I ought to help them.\I mean, think about it. response:	It's about as much trouble as
context: They were part-time waitresses at the inn we're staying at.\They quit without any notice.\What? Then isn't the inn in a huge mess now?\Yeah, I guess...\I mean, they've got to be, right?\I still think I ought to help them.\I mean, think about it.\It's about as much trouble as response:	100 customers suddenly staying at Kissuiso today.
context: They quit without any notice.\What? Then isn't the inn in a huge mess now?\Yeah, I guess...\I mean, they've got to be, right?\I still think I ought to help them.\I mean, think about it.\It's about as much trouble as\100 customers suddenly staying at Kissuiso today. response:	I believe we've only got two groups booked for today.
context: What? Then isn't the inn in a huge mess now?\Yeah, I guess...\I mean, they've got to be, right?\I still think I ought to help them.\I mean, think about it.\It's about as much trouble as\100 customers suddenly staying at Kissuiso today.\I believe we've only got two groups booked for today. response:	It's an example!
context: Yeah, I guess...\I mean, they've got to be, right?\I still think I ought to help them.\I mean, think about it.\It's about as much trouble as\100 customers suddenly staying at Kissuiso today.\I believe we've only got two groups booked for today.\It's an example! response:	So, what are you planning to do?
context: I mean, they've got to be, right?\I still think I ought to help them.\I mean, think about it.\It's about as much trouble as\100 customers suddenly staying at Kissuiso today.\I believe we've only got two groups booked for today.\It's an example!\So, what are you planning to do? response:	We're allowed to do whatever we want during our free time, right?
context: I still think I ought to help them.\I mean, think about it.\It's about as much trouble as\100 customers suddenly staying at Kissuiso today.\I believe we've only got two groups booked for today.\It's an example!\So, what are you planning to do?\We're allowed to do whatever we want during our free time, right? response:	I'm off!
context: I mean, think about it.\It's about as much trouble as\100 customers suddenly staying at Kissuiso today.\I believe we've only got two groups booked for today.\It's an example!\So, what are you planning to do?\We're allowed to do whatever we want during our free time, right?\I'm off! response:	H-
context: It's about as much trouble as\100 customers suddenly staying at Kissuiso today.\I believe we've only got two groups booked for today.\It's an example!\So, what are you planning to do?\We're allowed to do whatever we want during our free time, right?\I'm off!\H- response:	Can you buy everyone's gifts for me please?
context: 100 customers suddenly staying at Kissuiso today.\I believe we've only got two groups booked for today.\It's an example!\So, what are you planning to do?\We're allowed to do whatever we want during our free time, right?\I'm off!\H-\Can you buy everyone's gifts for me please? response:	Oh, I think Jirormaru would
context: I believe we've only got two groups booked for today.\It's an example!\So, what are you planning to do?\We're allowed to do whatever we want during our free time, right?\I'm off!\H-\Can you buy everyone's gifts for me please?\Oh, I think Jirormaru would response:	love to have something perverted for his gift!
context: It's an example!\So, what are you planning to do?\We're allowed to do whatever we want during our free time, right?\I'm off!\H-\Can you buy everyone's gifts for me please?\Oh, I think Jirormaru would\love to have something perverted for his gift! response:	What?!
context: So, what are you planning to do?\We're allowed to do whatever we want during our free time, right?\I'm off!\H-\Can you buy everyone's gifts for me please?\Oh, I think Jirormaru would\love to have something perverted for his gift!\What?! response:	Huh? Ohana?
context: We're allowed to do whatever we want during our free time, right?\I'm off!\H-\Can you buy everyone's gifts for me please?\Oh, I think Jirormaru would\love to have something perverted for his gift!\What?!\Huh? Ohana? response:	Taxi!
context: I'm off!\H-\Can you buy everyone's gifts for me please?\Oh, I think Jirormaru would\love to have something perverted for his gift!\What?!\Huh? Ohana?\Taxi! response:	Hey, taxi!
context: H-\Can you buy everyone's gifts for me please?\Oh, I think Jirormaru would\love to have something perverted for his gift!\What?!\Huh? Ohana?\Taxi!\Hey, taxi! response:	Well?
context: Can you buy everyone's gifts for me please?\Oh, I think Jirormaru would\love to have something perverted for his gift!\What?!\Huh? Ohana?\Taxi!\Hey, taxi!\Well? response:	No luck.
context: Oh, I think Jirormaru would\love to have something perverted for his gift!\What?!\Huh? Ohana?\Taxi!\Hey, taxi!\Well?\No luck. response:	All the inns seem to be busy.
context: love to have something perverted for his gift!\What?!\Huh? Ohana?\Taxi!\Hey, taxi!\Well?\No luck.\All the inns seem to be busy. response:	Please excuse me!
context: What?!\Huh? Ohana?\Taxi!\Hey, taxi!\Well?\No luck.\All the inns seem to be busy.\Please excuse me! response:	A-Are you sure you don't need an extra waitress?!
context: Huh? Ohana?\Taxi!\Hey, taxi!\Well?\No luck.\All the inns seem to be busy.\Please excuse me!\A-Are you sure you don't need an extra waitress?! response:	You're...
context: Taxi!\Hey, taxi!\Well?\No luck.\All the inns seem to be busy.\Please excuse me!\A-Are you sure you don't need an extra waitress?!\You're... response:	I'm Ohana Matsumae, 16 years old.
context: Hey, taxi!\Well?\No luck.\All the inns seem to be busy.\Please excuse me!\A-Are you sure you don't need an extra waitress?!\You're...\I'm Ohana Matsumae, 16 years old. response:	Weren't you supposed to be coming back this evening?
context: Well?\No luck.\All the inns seem to be busy.\Please excuse me!\A-Are you sure you don't need an extra waitress?!\You're...\I'm Ohana Matsumae, 16 years old.\Weren't you supposed to be coming back this evening? response:	Yeah, but...
context: No luck.\All the inns seem to be busy.\Please excuse me!\A-Are you sure you don't need an extra waitress?!\You're...\I'm Ohana Matsumae, 16 years old.\Weren't you supposed to be coming back this evening?\Yeah, but... response:	After I started imagining a similar situation happening at Kissuiso,
context: All the inns seem to be busy.\Please excuse me!\A-Are you sure you don't need an extra waitress?!\You're...\I'm Ohana Matsumae, 16 years old.\Weren't you supposed to be coming back this evening?\Yeah, but...\After I started imagining a similar situation happening at Kissuiso, response:	I sort of started to panic!
context: Please excuse me!\A-Are you sure you don't need an extra waitress?!\You're...\I'm Ohana Matsumae, 16 years old.\Weren't you supposed to be coming back this evening?\Yeah, but...\After I started imagining a similar situation happening at Kissuiso,\I sort of started to panic! response:	How should I explain it...
context: A-Are you sure you don't need an extra waitress?!\You're...\I'm Ohana Matsumae, 16 years old.\Weren't you supposed to be coming back this evening?\Yeah, but...\After I started imagining a similar situation happening at Kissuiso,\I sort of started to panic!\How should I explain it... response:	I feel like a dog who would love to be fed.
context: You're...\I'm Ohana Matsumae, 16 years old.\Weren't you supposed to be coming back this evening?\Yeah, but...\After I started imagining a similar situation happening at Kissuiso,\I sort of started to panic!\How should I explain it...\I feel like a dog who would love to be fed. response:	No! What am I saying?!
context: I'm Ohana Matsumae, 16 years old.\Weren't you supposed to be coming back this evening?\Yeah, but...\After I started imagining a similar situation happening at Kissuiso,\I sort of started to panic!\How should I explain it...\I feel like a dog who would love to be fed.\No! What am I saying?! response:	I noticed that I was drooling!
context: Weren't you supposed to be coming back this evening?\Yeah, but...\After I started imagining a similar situation happening at Kissuiso,\I sort of started to panic!\How should I explain it...\I feel like a dog who would love to be fed.\No! What am I saying?!\I noticed that I was drooling! response:	Are you saying that it's a conditioned reflex for you?
context: Yeah, but...\After I started imagining a similar situation happening at Kissuiso,\I sort of started to panic!\How should I explain it...\I feel like a dog who would love to be fed.\No! What am I saying?!\I noticed that I was drooling!\Are you saying that it's a conditioned reflex for you? response:	Yes!
context: After I started imagining a similar situation happening at Kissuiso,\I sort of started to panic!\How should I explain it...\I feel like a dog who would love to be fed.\No! What am I saying?!\I noticed that I was drooling!\Are you saying that it's a conditioned reflex for you?\Yes! response:	That's it!
context: I sort of started to panic!\How should I explain it...\I feel like a dog who would love to be fed.\No! What am I saying?!\I noticed that I was drooling!\Are you saying that it's a conditioned reflex for you?\Yes!\That's it! response:	So she's been trained by Mrs. Sui.
context: How should I explain it...\I feel like a dog who would love to be fed.\No! What am I saying?!\I noticed that I was drooling!\Are you saying that it's a conditioned reflex for you?\Yes!\That's it!\So she's been trained by Mrs. Sui. response:	She acted on instinct.
context: I feel like a dog who would love to be fed.\No! What am I saying?!\I noticed that I was drooling!\Are you saying that it's a conditioned reflex for you?\Yes!\That's it!\So she's been trained by Mrs. Sui.\She acted on instinct. response:	Very few waitresses can do that.
context: No! What am I saying?!\I noticed that I was drooling!\Are you saying that it's a conditioned reflex for you?\Yes!\That's it!\So she's been trained by Mrs. Sui.\She acted on instinct.\Very few waitresses can do that. response:	You know Madam Manager?
context: I noticed that I was drooling!\Are you saying that it's a conditioned reflex for you?\Yes!\That's it!\So she's been trained by Mrs. Sui.\She acted on instinct.\Very few waitresses can do that.\You know Madam Manager? response:	I was trained at Yunosagi.
context: Are you saying that it's a conditioned reflex for you?\Yes!\That's it!\So she's been trained by Mrs. Sui.\She acted on instinct.\Very few waitresses can do that.\You know Madam Manager?\I was trained at Yunosagi. response:	Ms. Matsumae.
context: Yes!\That's it!\So she's been trained by Mrs. Sui.\She acted on instinct.\Very few waitresses can do that.\You know Madam Manager?\I was trained at Yunosagi.\Ms. Matsumae. response:	Yes?
context: That's it!\So she's been trained by Mrs. Sui.\She acted on instinct.\Very few waitresses can do that.\You know Madam Manager?\I was trained at Yunosagi.\Ms. Matsumae.\Yes? response:	We're in the middle of a crisis.
context: So she's been trained by Mrs. Sui.\She acted on instinct.\Very few waitresses can do that.\You know Madam Manager?\I was trained at Yunosagi.\Ms. Matsumae.\Yes?\We're in the middle of a crisis. response:	I'll call and let my mentor know.
context: She acted on instinct.\Very few waitresses can do that.\You know Madam Manager?\I was trained at Yunosagi.\Ms. Matsumae.\Yes?\We're in the middle of a crisis.\I'll call and let my mentor know. response:	What?!
context: Very few waitresses can do that.\You know Madam Manager?\I was trained at Yunosagi.\Ms. Matsumae.\Yes?\We're in the middle of a crisis.\I'll call and let my mentor know.\What?! response:	Would you mind helping us out using your skill as a waitress?
context: You know Madam Manager?\I was trained at Yunosagi.\Ms. Matsumae.\Yes?\We're in the middle of a crisis.\I'll call and let my mentor know.\What?!\Would you mind helping us out using your skill as a waitress? response:	Of course not!
context: I was trained at Yunosagi.\Ms. Matsumae.\Yes?\We're in the middle of a crisis.\I'll call and let my mentor know.\What?!\Would you mind helping us out using your skill as a waitress?\Of course not! response:	The robot collects the dishes
