context: In the year 845... response:	the Colossal and Armored Titans suddenly appeared,
context: and decided to execute an audacious plan.\He will become a Titan, pick up the giant boulder\by the shattered gate, carry it over,\and seal the hole.\When this mission succeeds,\humanity will have retaken\its territory from them for the very first time.\But for humanity, that step will be response:	a great advance in our attack on the Titans!
context: He will become a Titan, pick up the giant boulder\by the shattered gate, carry it over,\and seal the hole.\When this mission succeeds,\humanity will have retaken\its territory from them for the very first time.\But for humanity, that step will be\a great advance in our attack on the Titans! response:	However, as soon as it has begun, the mission already seems to be on the brink of failure...
context: by the shattered gate, carry it over,\and seal the hole.\When this mission succeeds,\humanity will have retaken\its territory from them for the very first time.\But for humanity, that step will be\a great advance in our attack on the Titans!\However, as soon as it has begun, the mission already seems to be on the brink of failure... response:	Wound The Battle for Trost (8)
context: and seal the hole.\When this mission succeeds,\humanity will have retaken\its territory from them for the very first time.\But for humanity, that step will be\a great advance in our attack on the Titans!\However, as soon as it has begun, the mission already seems to be on the brink of failure...\Wound The Battle for Trost (8) response:	We've somehow managed
context: When this mission succeeds,\humanity will have retaken\its territory from them for the very first time.\But for humanity, that step will be\a great advance in our attack on the Titans!\However, as soon as it has begun, the mission already seems to be on the brink of failure...\Wound The Battle for Trost (8)\We've somehow managed response:	to lure most of the Titans to the town's edge...
context: humanity will have retaken\its territory from them for the very first time.\But for humanity, that step will be\a great advance in our attack on the Titans!\However, as soon as it has begun, the mission already seems to be on the brink of failure...\Wound The Battle for Trost (8)\We've somehow managed\to lure most of the Titans to the town's edge... response:	But despite our best efforts to avoid combat,
context: its territory from them for the very first time.\But for humanity, that step will be\a great advance in our attack on the Titans!\However, as soon as it has begun, the mission already seems to be on the brink of failure...\Wound The Battle for Trost (8)\We've somehow managed\to lure most of the Titans to the town's edge...\But despite our best efforts to avoid combat, response:	we've lost around twenty percent of our troops.
context: But for humanity, that step will be\a great advance in our attack on the Titans!\However, as soon as it has begun, the mission already seems to be on the brink of failure...\Wound The Battle for Trost (8)\We've somehow managed\to lure most of the Titans to the town's edge...\But despite our best efforts to avoid combat,\we've lost around twenty percent of our troops. response:	We didn't lose them.
context: a great advance in our attack on the Titans!\However, as soon as it has begun, the mission already seems to be on the brink of failure...\Wound The Battle for Trost (8)\We've somehow managed\to lure most of the Titans to the town's edge...\But despite our best efforts to avoid combat,\we've lost around twenty percent of our troops.\We didn't lose them. response:	Those soldiers didn't die on their own.
context: However, as soon as it has begun, the mission already seems to be on the brink of failure...\Wound The Battle for Trost (8)\We've somehow managed\to lure most of the Titans to the town's edge...\But despite our best efforts to avoid combat,\we've lost around twenty percent of our troops.\We didn't lose them.\Those soldiers didn't die on their own. response:	They died due to my orders.
context: Wound The Battle for Trost (8)\We've somehow managed\to lure most of the Titans to the town's edge...\But despite our best efforts to avoid combat,\we've lost around twenty percent of our troops.\We didn't lose them.\Those soldiers didn't die on their own.\They died due to my orders. response:	This battle will decide humanity's survival.
context: We've somehow managed\to lure most of the Titans to the town's edge...\But despite our best efforts to avoid combat,\we've lost around twenty percent of our troops.\We didn't lose them.\Those soldiers didn't die on their own.\They died due to my orders.\This battle will decide humanity's survival. response:	And to win, I am willing to be called a murderer.
context: to lure most of the Titans to the town's edge...\But despite our best efforts to avoid combat,\we've lost around twenty percent of our troops.\We didn't lose them.\Those soldiers didn't die on their own.\They died due to my orders.\This battle will decide humanity's survival.\And to win, I am willing to be called a murderer. response:	Ackerman!
context: But despite our best efforts to avoid combat,\we've lost around twenty percent of our troops.\We didn't lose them.\Those soldiers didn't die on their own.\They died due to my orders.\This battle will decide humanity's survival.\And to win, I am willing to be called a murderer.\Ackerman! response:	Hey! Ackerman, stop!
context: we've lost around twenty percent of our troops.\We didn't lose them.\Those soldiers didn't die on their own.\They died due to my orders.\This battle will decide humanity's survival.\And to win, I am willing to be called a murderer.\Ackerman!\Hey! Ackerman, stop! response:	Get away from him!
context: We didn't lose them.\Those soldiers didn't die on their own.\They died due to my orders.\This battle will decide humanity's survival.\And to win, I am willing to be called a murderer.\Ackerman!\Hey! Ackerman, stop!\Get away from him! response:	Eren, don't you know who I am?
context: Those soldiers didn't die on their own.\They died due to my orders.\This battle will decide humanity's survival.\And to win, I am willing to be called a murderer.\Ackerman!\Hey! Ackerman, stop!\Get away from him!\Eren, don't you know who I am? response:	It's me, Mikasa!
context: They died due to my orders.\This battle will decide humanity's survival.\And to win, I am willing to be called a murderer.\Ackerman!\Hey! Ackerman, stop!\Get away from him!\Eren, don't you know who I am?\It's me, Mikasa! response:	Your family!
context: This battle will decide humanity's survival.\And to win, I am willing to be called a murderer.\Ackerman!\Hey! Ackerman, stop!\Get away from him!\Eren, don't you know who I am?\It's me, Mikasa!\Your family! response:	You must use that boulder to seal the hole!
context: And to win, I am willing to be called a murderer.\Ackerman!\Hey! Ackerman, stop!\Get away from him!\Eren, don't you know who I am?\It's me, Mikasa!\Your family!\You must use that boulder to seal the hole! response:	The mission has failed.
context: Ackerman!\Hey! Ackerman, stop!\Get away from him!\Eren, don't you know who I am?\It's me, Mikasa!\Your family!\You must use that boulder to seal the hole!\The mission has failed. response:	I knew there wasn't any secret weapon.
context: Hey! Ackerman, stop!\Get away from him!\Eren, don't you know who I am?\It's me, Mikasa!\Your family!\You must use that boulder to seal the hole!\The mission has failed.\I knew there wasn't any secret weapon. response:	Eren, you're human!
context: Get away from him!\Eren, don't you know who I am?\It's me, Mikasa!\Your family!\You must use that boulder to seal the hole!\The mission has failed.\I knew there wasn't any secret weapon.\Eren, you're human! response:	You're...
context: Eren, don't you know who I am?\It's me, Mikasa!\Your family!\You must use that boulder to seal the hole!\The mission has failed.\I knew there wasn't any secret weapon.\Eren, you're human!\You're... response:	Move, Ackerman!
context: It's me, Mikasa!\Your family!\You must use that boulder to seal the hole!\The mission has failed.\I knew there wasn't any secret weapon.\Eren, you're human!\You're...\Move, Ackerman! response:	What the?
context: Your family!\You must use that boulder to seal the hole!\The mission has failed.\I knew there wasn't any secret weapon.\Eren, you're human!\You're...\Move, Ackerman!\What the? response:	He's just like any other stupid Titan!
context: You must use that boulder to seal the hole!\The mission has failed.\I knew there wasn't any secret weapon.\Eren, you're human!\You're...\Move, Ackerman!\What the?\He's just like any other stupid Titan! response:	Eren!
context: The mission has failed.\I knew there wasn't any secret weapon.\Eren, you're human!\You're...\Move, Ackerman!\What the?\He's just like any other stupid Titan!\Eren! response:	Captain Ian!
context: I knew there wasn't any secret weapon.\Eren, you're human!\You're...\Move, Ackerman!\What the?\He's just like any other stupid Titan!\Eren!\Captain Ian! response:	Two Titans approaching from the front!
context: Eren, you're human!\You're...\Move, Ackerman!\What the?\He's just like any other stupid Titan!\Eren!\Captain Ian!\Two Titans approaching from the front! response:	A 10-meter and a 6-meter class.
context: You're...\Move, Ackerman!\What the?\He's just like any other stupid Titan!\Eren!\Captain Ian!\Two Titans approaching from the front!\A 10-meter and a 6-meter class. response:	Another from the rear, as well!
context: Move, Ackerman!\What the?\He's just like any other stupid Titan!\Eren!\Captain Ian!\Two Titans approaching from the front!\A 10-meter and a 6-meter class.\Another from the rear, as well! response:	One 12-meter class coming this way!
context: What the?\He's just like any other stupid Titan!\Eren!\Captain Ian!\Two Titans approaching from the front!\A 10-meter and a 6-meter class.\Another from the rear, as well!\One 12-meter class coming this way! response:	Ian, we must retreat!
context: He's just like any other stupid Titan!\Eren!\Captain Ian!\Two Titans approaching from the front!\A 10-meter and a 6-meter class.\Another from the rear, as well!\One 12-meter class coming this way!\Ian, we must retreat! response:	Look at him!
context: Eren!\Captain Ian!\Two Titans approaching from the front!\A 10-meter and a 6-meter class.\Another from the rear, as well!\One 12-meter class coming this way!\Ian, we must retreat!\Look at him! response:	No way is that hole getting sealed!
context: Captain Ian!\Two Titans approaching from the front!\A 10-meter and a 6-meter class.\Another from the rear, as well!\One 12-meter class coming this way!\Ian, we must retreat!\Look at him!\No way is that hole getting sealed! response:	Yeah...
context: Two Titans approaching from the front!\A 10-meter and a 6-meter class.\Another from the rear, as well!\One 12-meter class coming this way!\Ian, we must retreat!\Look at him!\No way is that hole getting sealed!\Yeah... response:	We have no choice but to leave him here.
context: A 10-meter and a 6-meter class.\Another from the rear, as well!\One 12-meter class coming this way!\Ian, we must retreat!\Look at him!\No way is that hole getting sealed!\Yeah...\We have no choice but to leave him here. response:	Red smoke round from the elite force sighted.
context: Another from the rear, as well!\One 12-meter class coming this way!\Ian, we must retreat!\Look at him!\No way is that hole getting sealed!\Yeah...\We have no choice but to leave him here.\Red smoke round from the elite force sighted. response:	A serious problem has happened during the mission.
context: One 12-meter class coming this way!\Ian, we must retreat!\Look at him!\No way is that hole getting sealed!\Yeah...\We have no choice but to leave him here.\Red smoke round from the elite force sighted.\A serious problem has happened during the mission. response:	We're dying for no reason.
context: Ian, we must retreat!\Look at him!\No way is that hole getting sealed!\Yeah...\We have no choice but to leave him here.\Red smoke round from the elite force sighted.\A serious problem has happened during the mission.\We're dying for no reason. response:	My friends died for nothing!
context: Look at him!\No way is that hole getting sealed!\Yeah...\We have no choice but to leave him here.\Red smoke round from the elite force sighted.\A serious problem has happened during the mission.\We're dying for no reason.\My friends died for nothing! response:	Hey! Look at that!
context: No way is that hole getting sealed!\Yeah...\We have no choice but to leave him here.\Red smoke round from the elite force sighted.\A serious problem has happened during the mission.\We're dying for no reason.\My friends died for nothing!\Hey! Look at that! response:	What? What is that?
context: Yeah...\We have no choice but to leave him here.\Red smoke round from the elite force sighted.\A serious problem has happened during the mission.\We're dying for no reason.\My friends died for nothing!\Hey! Look at that!\What? What is that? response:	It... failed?
context: We have no choice but to leave him here.\Red smoke round from the elite force sighted.\A serious problem has happened during the mission.\We're dying for no reason.\My friends died for nothing!\Hey! Look at that!\What? What is that?\It... failed? response:	Why?
context: Red smoke round from the elite force sighted.\A serious problem has happened during the mission.\We're dying for no reason.\My friends died for nothing!\Hey! Look at that!\What? What is that?\It... failed?\Why? response:	Hey, Armin! Where are you going?
context: A serious problem has happened during the mission.\We're dying for no reason.\My friends died for nothing!\Hey! Look at that!\What? What is that?\It... failed?\Why?\Hey, Armin! Where are you going? response:	Commander Pixis,
context: We're dying for no reason.\My friends died for nothing!\Hey! Look at that!\What? What is that?\It... failed?\Why?\Hey, Armin! Where are you going?\Commander Pixis, response:	we should recall them to defend the gate.
context: My friends died for nothing!\Hey! Look at that!\What? What is that?\It... failed?\Why?\Hey, Armin! Where are you going?\Commander Pixis,\we should recall them to defend the gate. response:	Shall I do it?
context: Hey! Look at that!\What? What is that?\It... failed?\Why?\Hey, Armin! Where are you going?\Commander Pixis,\we should recall them to defend the gate.\Shall I do it? response:	No.
context: What? What is that?\It... failed?\Why?\Hey, Armin! Where are you going?\Commander Pixis,\we should recall them to defend the gate.\Shall I do it?\No. response:	Shouldn't we order the elite force to retreat?
context: It... failed?\Why?\Hey, Armin! Where are you going?\Commander Pixis,\we should recall them to defend the gate.\Shall I do it?\No.\Shouldn't we order the elite force to retreat? response:	No.
context: Why?\Hey, Armin! Where are you going?\Commander Pixis,\we should recall them to defend the gate.\Shall I do it?\No.\Shouldn't we order the elite force to retreat?\No. response:	Continue drawing the Titans to the edge of town.
context: Hey, Armin! Where are you going?\Commander Pixis,\we should recall them to defend the gate.\Shall I do it?\No.\Shouldn't we order the elite force to retreat?\No.\Continue drawing the Titans to the edge of town. response:	The elite force has full tactical discretion.
context: Commander Pixis,\we should recall them to defend the gate.\Shall I do it?\No.\Shouldn't we order the elite force to retreat?\No.\Continue drawing the Titans to the edge of town.\The elite force has full tactical discretion. response:	They are not simply excellent soldiers.
context: we should recall them to defend the gate.\Shall I do it?\No.\Shouldn't we order the elite force to retreat?\No.\Continue drawing the Titans to the edge of town.\The elite force has full tactical discretion.\They are not simply excellent soldiers. response:	They're the best of the best, entrusted with humanity's fate.
context: Shall I do it?\No.\Shouldn't we order the elite force to retreat?\No.\Continue drawing the Titans to the edge of town.\The elite force has full tactical discretion.\They are not simply excellent soldiers.\They're the best of the best, entrusted with humanity's fate. response:	For them to give up so easily would be unimaginable.
context: No.\Shouldn't we order the elite force to retreat?\No.\Continue drawing the Titans to the edge of town.\The elite force has full tactical discretion.\They are not simply excellent soldiers.\They're the best of the best, entrusted with humanity's fate.\For them to give up so easily would be unimaginable. response:	They'll fight to the end...
context: Shouldn't we order the elite force to retreat?\No.\Continue drawing the Titans to the edge of town.\The elite force has full tactical discretion.\They are not simply excellent soldiers.\They're the best of the best, entrusted with humanity's fate.\For them to give up so easily would be unimaginable.\They'll fight to the end... response:	So the deaths of the fallen will not have been in vain.
context: No.\Continue drawing the Titans to the edge of town.\The elite force has full tactical discretion.\They are not simply excellent soldiers.\They're the best of the best, entrusted with humanity's fate.\For them to give up so easily would be unimaginable.\They'll fight to the end...\So the deaths of the fallen will not have been in vain. response:	Hey, what's wrong?
context: Continue drawing the Titans to the edge of town.\The elite force has full tactical discretion.\They are not simply excellent soldiers.\They're the best of the best, entrusted with humanity's fate.\For them to give up so easily would be unimaginable.\They'll fight to the end...\So the deaths of the fallen will not have been in vain.\Hey, what's wrong? response:	Give the order!
context: The elite force has full tactical discretion.\They are not simply excellent soldiers.\They're the best of the best, entrusted with humanity's fate.\For them to give up so easily would be unimaginable.\They'll fight to the end...\So the deaths of the fallen will not have been in vain.\Hey, what's wrong?\Give the order! response:	Ian, it wasn't your fault!
context: They are not simply excellent soldiers.\They're the best of the best, entrusted with humanity's fate.\For them to give up so easily would be unimaginable.\They'll fight to the end...\So the deaths of the fallen will not have been in vain.\Hey, what's wrong?\Give the order!\Ian, it wasn't your fault! response:	The plan was always a long shot.
context: They're the best of the best, entrusted with humanity's fate.\For them to give up so easily would be unimaginable.\They'll fight to the end...\So the deaths of the fallen will not have been in vain.\Hey, what's wrong?\Give the order!\Ian, it wasn't your fault!\The plan was always a long shot. response:	Everyone knew that.
context: For them to give up so easily would be unimaginable.\They'll fight to the end...\So the deaths of the fallen will not have been in vain.\Hey, what's wrong?\Give the order!\Ian, it wasn't your fault!\The plan was always a long shot.\Everyone knew that. response:	It was worth trying, and we took our best shot!
context: They'll fight to the end...\So the deaths of the fallen will not have been in vain.\Hey, what's wrong?\Give the order!\Ian, it wasn't your fault!\The plan was always a long shot.\Everyone knew that.\It was worth trying, and we took our best shot! response:	Come on! Our squads will climb the walls.
context: So the deaths of the fallen will not have been in vain.\Hey, what's wrong?\Give the order!\Ian, it wasn't your fault!\The plan was always a long shot.\Everyone knew that.\It was worth trying, and we took our best shot!\Come on! Our squads will climb the walls. response:	Wait!
context: Hey, what's wrong?\Give the order!\Ian, it wasn't your fault!\The plan was always a long shot.\Everyone knew that.\It was worth trying, and we took our best shot!\Come on! Our squads will climb the walls.\Wait! response:	Wait...
context: Give the order!\Ian, it wasn't your fault!\The plan was always a long shot.\Everyone knew that.\It was worth trying, and we took our best shot!\Come on! Our squads will climb the walls.\Wait!\Wait... response:	Calm down, Ackerman.
context: Ian, it wasn't your fault!\The plan was always a long shot.\Everyone knew that.\It was worth trying, and we took our best shot!\Come on! Our squads will climb the walls.\Wait!\Wait...\Calm down, Ackerman. response:	Riko, your squad will handle the 12-meter Titan behind us.
context: The plan was always a long shot.\Everyone knew that.\It was worth trying, and we took our best shot!\Come on! Our squads will climb the walls.\Wait!\Wait...\Calm down, Ackerman.\Riko, your squad will handle the 12-meter Titan behind us. response:	Mitabi's squad and mine will take the two in front.
context: Everyone knew that.\It was worth trying, and we took our best shot!\Come on! Our squads will climb the walls.\Wait!\Wait...\Calm down, Ackerman.\Riko, your squad will handle the 12-meter Titan behind us.\Mitabi's squad and mine will take the two in front. response:	What?
context: It was worth trying, and we took our best shot!\Come on! Our squads will climb the walls.\Wait!\Wait...\Calm down, Ackerman.\Riko, your squad will handle the 12-meter Titan behind us.\Mitabi's squad and mine will take the two in front.\What? response:	I'm the one they left in charge!
context: Come on! Our squads will climb the walls.\Wait!\Wait...\Calm down, Ackerman.\Riko, your squad will handle the 12-meter Titan behind us.\Mitabi's squad and mine will take the two in front.\What?\I'm the one they left in charge! response:	Shut up and follow your orders!
context: Wait!\Wait...\Calm down, Ackerman.\Riko, your squad will handle the 12-meter Titan behind us.\Mitabi's squad and mine will take the two in front.\What?\I'm the one they left in charge!\Shut up and follow your orders! response:	We can't leave Jaeger defenseless.
context: Wait...\Calm down, Ackerman.\Riko, your squad will handle the 12-meter Titan behind us.\Mitabi's squad and mine will take the two in front.\What?\I'm the one they left in charge!\Shut up and follow your orders!\We can't leave Jaeger defenseless. response:	I'm changing the plan.
context: Calm down, Ackerman.\Riko, your squad will handle the 12-meter Titan behind us.\Mitabi's squad and mine will take the two in front.\What?\I'm the one they left in charge!\Shut up and follow your orders!\We can't leave Jaeger defenseless.\I'm changing the plan. response:	We protect Jaeger from the Titans until we can retrieve him.
context: Riko, your squad will handle the 12-meter Titan behind us.\Mitabi's squad and mine will take the two in front.\What?\I'm the one they left in charge!\Shut up and follow your orders!\We can't leave Jaeger defenseless.\I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him. response:	He's still valuable as one of humanity's last hopes.
context: Mitabi's squad and mine will take the two in front.\What?\I'm the one they left in charge!\Shut up and follow your orders!\We can't leave Jaeger defenseless.\I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes. response:	We cannot just abandon him like this.
context: What?\I'm the one they left in charge!\Shut up and follow your orders!\We can't leave Jaeger defenseless.\I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this. response:	We can be replaced, but he can't be.
context: I'm the one they left in charge!\Shut up and follow your orders!\We can't leave Jaeger defenseless.\I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this.\We can be replaced, but he can't be. response:	The failure of that dysfunctional human weapon
context: Shut up and follow your orders!\We can't leave Jaeger defenseless.\I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this.\We can be replaced, but he can't be.\The failure of that dysfunctional human weapon response:	has already cost several hundred lives!
context: We can't leave Jaeger defenseless.\I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this.\We can be replaced, but he can't be.\The failure of that dysfunctional human weapon\has already cost several hundred lives! response:	You're saying we should bring him back, so this can happen again?
context: I'm changing the plan.\We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this.\We can be replaced, but he can't be.\The failure of that dysfunctional human weapon\has already cost several hundred lives!\You're saying we should bring him back, so this can happen again? response:	That's right.
context: We protect Jaeger from the Titans until we can retrieve him.\He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this.\We can be replaced, but he can't be.\The failure of that dysfunctional human weapon\has already cost several hundred lives!\You're saying we should bring him back, so this can happen again?\That's right. response:	We must try as many times as necessary, regardless of the cost in lives!
context: He's still valuable as one of humanity's last hopes.\We cannot just abandon him like this.\We can be replaced, but he can't be.\The failure of that dysfunctional human weapon\has already cost several hundred lives!\You're saying we should bring him back, so this can happen again?\That's right.\We must try as many times as necessary, regardless of the cost in lives! response:	What happened to Eren?
context: We cannot just abandon him like this.\We can be replaced, but he can't be.\The failure of that dysfunctional human weapon\has already cost several hundred lives!\You're saying we should bring him back, so this can happen again?\That's right.\We must try as many times as necessary, regardless of the cost in lives!\What happened to Eren? response:	Armin's headed there by himself.
context: We can be replaced, but he can't be.\The failure of that dysfunctional human weapon\has already cost several hundred lives!\You're saying we should bring him back, so this can happen again?\That's right.\We must try as many times as necessary, regardless of the cost in lives!\What happened to Eren?\Armin's headed there by himself. response:	He's probably all right.
context: The failure of that dysfunctional human weapon\has already cost several hundred lives!\You're saying we should bring him back, so this can happen again?\That's right.\We must try as many times as necessary, regardless of the cost in lives!\What happened to Eren?\Armin's headed there by himself.\He's probably all right. response:	Probably?
context: has already cost several hundred lives!\You're saying we should bring him back, so this can happen again?\That's right.\We must try as many times as necessary, regardless of the cost in lives!\What happened to Eren?\Armin's headed there by himself.\He's probably all right.\Probably? response:	He's fine.
context: You're saying we should bring him back, so this can happen again?\That's right.\We must try as many times as necessary, regardless of the cost in lives!\What happened to Eren?\Armin's headed there by himself.\He's probably all right.\Probably?\He's fine. response:	I'm sure of it.
context: That's right.\We must try as many times as necessary, regardless of the cost in lives!\What happened to Eren?\Armin's headed there by himself.\He's probably all right.\Probably?\He's fine.\I'm sure of it. response:	Eren can do this.
context: We must try as many times as necessary, regardless of the cost in lives!\What happened to Eren?\Armin's headed there by himself.\He's probably all right.\Probably?\He's fine.\I'm sure of it.\Eren can do this. response:	I think luring the Titans to the town's edge is useless.
context: What happened to Eren?\Armin's headed there by himself.\He's probably all right.\Probably?\He's fine.\I'm sure of it.\Eren can do this.\I think luring the Titans to the town's edge is useless. response:	Any fight with Titans is a war of attrition.
context: Armin's headed there by himself.\He's probably all right.\Probably?\He's fine.\I'm sure of it.\Eren can do this.\I think luring the Titans to the town's edge is useless.\Any fight with Titans is a war of attrition. response:	At this stage, they want to avoid the needless loss of troops.
context: He's probably all right.\Probably?\He's fine.\I'm sure of it.\Eren can do this.\I think luring the Titans to the town's edge is useless.\Any fight with Titans is a war of attrition.\At this stage, they want to avoid the needless loss of troops. response:	Then anyone who doesn't make it now will have died for nothing?
context: Probably?\He's fine.\I'm sure of it.\Eren can do this.\I think luring the Titans to the town's edge is useless.\Any fight with Titans is a war of attrition.\At this stage, they want to avoid the needless loss of troops.\Then anyone who doesn't make it now will have died for nothing? response:	Eventually, it will become an all-out war.
context: He's fine.\I'm sure of it.\Eren can do this.\I think luring the Titans to the town's edge is useless.\Any fight with Titans is a war of attrition.\At this stage, they want to avoid the needless loss of troops.\Then anyone who doesn't make it now will have died for nothing?\Eventually, it will become an all-out war. response:	But until then, we must preserve our forces.
