context: Hey, there... response:	Want a walnut?
context: Restraint?\Restraint?\Was the cologne in the bathroom a present from Rita-san?\Don't worry about small things like that!\It makes you a small person.\Um...\I can't find the switch for the steam bath...\We don't have one here! response:	My restraint!
context: Restraint?\Was the cologne in the bathroom a present from Rita-san?\Don't worry about small things like that!\It makes you a small person.\Um...\I can't find the switch for the steam bath...\We don't have one here!\My restraint! response:	Restraint...
context: Was the cologne in the bathroom a present from Rita-san?\Don't worry about small things like that!\It makes you a small person.\Um...\I can't find the switch for the steam bath...\We don't have one here!\My restraint!\Restraint... response:	She has me beat...
context: Don't worry about small things like that!\It makes you a small person.\Um...\I can't find the switch for the steam bath...\We don't have one here!\My restraint!\Restraint...\She has me beat... response:	She's totally in the lead now.
context: It makes you a small person.\Um...\I can't find the switch for the steam bath...\We don't have one here!\My restraint!\Restraint...\She has me beat...\She's totally in the lead now. response:	I love the way this house smells!
context: Um...\I can't find the switch for the steam bath...\We don't have one here!\My restraint!\Restraint...\She has me beat...\She's totally in the lead now.\I love the way this house smells! response:	It smells old.
context: I can't find the switch for the steam bath...\We don't have one here!\My restraint!\Restraint...\She has me beat...\She's totally in the lead now.\I love the way this house smells!\It smells old. response:	But it's got heart.
context: We don't have one here!\My restraint!\Restraint...\She has me beat...\She's totally in the lead now.\I love the way this house smells!\It smells old.\But it's got heart. response:	So this is a friend of yours!
context: My restraint!\Restraint...\She has me beat...\She's totally in the lead now.\I love the way this house smells!\It smells old.\But it's got heart.\So this is a friend of yours! response:	Did you like the walnut?
context: Restraint...\She has me beat...\She's totally in the lead now.\I love the way this house smells!\It smells old.\But it's got heart.\So this is a friend of yours!\Did you like the walnut? response:	You know Pitz?
context: She has me beat...\She's totally in the lead now.\I love the way this house smells!\It smells old.\But it's got heart.\So this is a friend of yours!\Did you like the walnut?\You know Pitz? response:	I saw him at the shrine today.
context: She's totally in the lead now.\I love the way this house smells!\It smells old.\But it's got heart.\So this is a friend of yours!\Did you like the walnut?\You know Pitz?\I saw him at the shrine today. response:	The shrine?
context: I love the way this house smells!\It smells old.\But it's got heart.\So this is a friend of yours!\Did you like the walnut?\You know Pitz?\I saw him at the shrine today.\The shrine? response:	On this island, there's an old shrine.
context: It smells old.\But it's got heart.\So this is a friend of yours!\Did you like the walnut?\You know Pitz?\I saw him at the shrine today.\The shrine?\On this island, there's an old shrine. response:	And there's a legend about it...
context: But it's got heart.\So this is a friend of yours!\Did you like the walnut?\You know Pitz?\I saw him at the shrine today.\The shrine?\On this island, there's an old shrine.\And there's a legend about it... response:	Long ago, a messenger descended from heaven, leaving behind a huge rock
context: So this is a friend of yours!\Did you like the walnut?\You know Pitz?\I saw him at the shrine today.\The shrine?\On this island, there's an old shrine.\And there's a legend about it...\Long ago, a messenger descended from heaven, leaving behind a huge rock response:	with an angel sealed inside.
context: Did you like the walnut?\You know Pitz?\I saw him at the shrine today.\The shrine?\On this island, there's an old shrine.\And there's a legend about it...\Long ago, a messenger descended from heaven, leaving behind a huge rock\with an angel sealed inside. response:	Hey...
context: You know Pitz?\I saw him at the shrine today.\The shrine?\On this island, there's an old shrine.\And there's a legend about it...\Long ago, a messenger descended from heaven, leaving behind a huge rock\with an angel sealed inside.\Hey... response:	Which do you think is a stronger heroine, a magical girl or an angel?
context: I saw him at the shrine today.\The shrine?\On this island, there's an old shrine.\And there's a legend about it...\Long ago, a messenger descended from heaven, leaving behind a huge rock\with an angel sealed inside.\Hey...\Which do you think is a stronger heroine, a magical girl or an angel? response:	There are so many stars, I can't find the Big Dipper.
context: The shrine?\On this island, there's an old shrine.\And there's a legend about it...\Long ago, a messenger descended from heaven, leaving behind a huge rock\with an angel sealed inside.\Hey...\Which do you think is a stronger heroine, a magical girl or an angel?\There are so many stars, I can't find the Big Dipper. response:	This island has barely any streetlamps.
context: On this island, there's an old shrine.\And there's a legend about it...\Long ago, a messenger descended from heaven, leaving behind a huge rock\with an angel sealed inside.\Hey...\Which do you think is a stronger heroine, a magical girl or an angel?\There are so many stars, I can't find the Big Dipper.\This island has barely any streetlamps. response:	It really is amazing...
context: And there's a legend about it...\Long ago, a messenger descended from heaven, leaving behind a huge rock\with an angel sealed inside.\Hey...\Which do you think is a stronger heroine, a magical girl or an angel?\There are so many stars, I can't find the Big Dipper.\This island has barely any streetlamps.\It really is amazing... response:	The Milky Way?
context: Long ago, a messenger descended from heaven, leaving behind a huge rock\with an angel sealed inside.\Hey...\Which do you think is a stronger heroine, a magical girl or an angel?\There are so many stars, I can't find the Big Dipper.\This island has barely any streetlamps.\It really is amazing...\The Milky Way? response:	Well, the Milky Way's amazing too, but...
