context: Miyagi High School Track and Field Meet response:	The boys 5,000 meter finals will begin shortly.
context: You can do it, Kurahara!\Go!\Apparently, he wasn't in perfect condition.\What? And he still finished in 13:54?\Isn't he still a second-year?\Disgraceful!\Average times like these are as good as losses!\Learn from Kurahara! response:	Yes, sir.
context: Go!\Apparently, he wasn't in perfect condition.\What? And he still finished in 13:54?\Isn't he still a second-year?\Disgraceful!\Average times like these are as good as losses!\Learn from Kurahara!\Yes, sir. response:	We're going back to the school and running ten kilometers!
context: Apparently, he wasn't in perfect condition.\What? And he still finished in 13:54?\Isn't he still a second-year?\Disgraceful!\Average times like these are as good as losses!\Learn from Kurahara!\Yes, sir.\We're going back to the school and running ten kilometers! response:	The next race has already begun!
context: What? And he still finished in 13:54?\Isn't he still a second-year?\Disgraceful!\Average times like these are as good as losses!\Learn from Kurahara!\Yes, sir.\We're going back to the school and running ten kilometers!\The next race has already begun! response:	That's all!
context: Isn't he still a second-year?\Disgraceful!\Average times like these are as good as losses!\Learn from Kurahara!\Yes, sir.\We're going back to the school and running ten kilometers!\The next race has already begun!\That's all! response:	Yes, sir.
context: Disgraceful!\Average times like these are as good as losses!\Learn from Kurahara!\Yes, sir.\We're going back to the school and running ten kilometers!\The next race has already begun!\That's all!\Yes, sir. response:	You don't need to run, Kurahara.
context: Average times like these are as good as losses!\Learn from Kurahara!\Yes, sir.\We're going back to the school and running ten kilometers!\The next race has already begun!\That's all!\Yes, sir.\You don't need to run, Kurahara. response:	Good job.
context: Learn from Kurahara!\Yes, sir.\We're going back to the school and running ten kilometers!\The next race has already begun!\That's all!\Yes, sir.\You don't need to run, Kurahara.\Good job. response:	Huh?
context: Yes, sir.\We're going back to the school and running ten kilometers!\The next race has already begun!\That's all!\Yes, sir.\You don't need to run, Kurahara.\Good job.\Huh? response:	But...
context: We're going back to the school and running ten kilometers!\The next race has already begun!\That's all!\Yes, sir.\You don't need to run, Kurahara.\Good job.\Huh?\But... response:	Hurry it up, boys!
context: The next race has already begun!\That's all!\Yes, sir.\You don't need to run, Kurahara.\Good job.\Huh?\But...\Hurry it up, boys! response:	Run with the Wind
context: That's all!\Yes, sir.\You don't need to run, Kurahara.\Good job.\Huh?\But...\Hurry it up, boys!\Run with the Wind response:	It's been a while, Kurahara.
context: Yes, sir.\You don't need to run, Kurahara.\Good job.\Huh?\But...\Hurry it up, boys!\Run with the Wind\It's been a while, Kurahara. response:	I was surprised.
context: You don't need to run, Kurahara.\Good job.\Huh?\But...\Hurry it up, boys!\Run with the Wind\It's been a while, Kurahara.\I was surprised. response:	I ran this course yesterday, too.
context: Good job.\Huh?\But...\Hurry it up, boys!\Run with the Wind\It's been a while, Kurahara.\I was surprised.\I ran this course yesterday, too. response:	I didn't think you were still running.
context: Huh?\But...\Hurry it up, boys!\Run with the Wind\It's been a while, Kurahara.\I was surprised.\I ran this course yesterday, too.\I didn't think you were still running. response:	Sakaki...
context: But...\Hurry it up, boys!\Run with the Wind\It's been a while, Kurahara.\I was surprised.\I ran this course yesterday, too.\I didn't think you were still running.\Sakaki... response:	Who were those guys you were with?
context: Hurry it up, boys!\Run with the Wind\It's been a while, Kurahara.\I was surprised.\I ran this course yesterday, too.\I didn't think you were still running.\Sakaki...\Who were those guys you were with? response:	It's none of your business.
context: Run with the Wind\It's been a while, Kurahara.\I was surprised.\I ran this course yesterday, too.\I didn't think you were still running.\Sakaki...\Who were those guys you were with?\It's none of your business. response:	Really? Well, I guess it doesn't matter.
context: It's been a while, Kurahara.\I was surprised.\I ran this course yesterday, too.\I didn't think you were still running.\Sakaki...\Who were those guys you were with?\It's none of your business.\Really? Well, I guess it doesn't matter. response:	Lucky you.
context: I was surprised.\I ran this course yesterday, too.\I didn't think you were still running.\Sakaki...\Who were those guys you were with?\It's none of your business.\Really? Well, I guess it doesn't matter.\Lucky you. response:	You made some friends.
context: I ran this course yesterday, too.\I didn't think you were still running.\Sakaki...\Who were those guys you were with?\It's none of your business.\Really? Well, I guess it doesn't matter.\Lucky you.\You made some friends. response:	Shadows That Don't Fade
context: I didn't think you were still running.\Sakaki...\Who were those guys you were with?\It's none of your business.\Really? Well, I guess it doesn't matter.\Lucky you.\You made some friends.\Shadows That Don't Fade response:	When you analyze this statistical data...
context: Sakaki...\Who were those guys you were with?\It's none of your business.\Really? Well, I guess it doesn't matter.\Lucky you.\You made some friends.\Shadows That Don't Fade\When you analyze this statistical data... response:	Pachinko Comeback
context: Who were those guys you were with?\It's none of your business.\Really? Well, I guess it doesn't matter.\Lucky you.\You made some friends.\Shadows That Don't Fade\When you analyze this statistical data...\Pachinko Comeback response:	Nanapan
context: It's none of your business.\Really? Well, I guess it doesn't matter.\Lucky you.\You made some friends.\Shadows That Don't Fade\When you analyze this statistical data...\Pachinko Comeback\Nanapan response:	What are you doing?
context: Really? Well, I guess it doesn't matter.\Lucky you.\You made some friends.\Shadows That Don't Fade\When you analyze this statistical data...\Pachinko Comeback\Nanapan\What are you doing? response:	Is that all you can do?
context: Lucky you.\You made some friends.\Shadows That Don't Fade\When you analyze this statistical data...\Pachinko Comeback\Nanapan\What are you doing?\Is that all you can do? response:	Is it?
context: You made some friends.\Shadows That Don't Fade\When you analyze this statistical data...\Pachinko Comeback\Nanapan\What are you doing?\Is that all you can do?\Is it? response:	Kurahara.
context: Shadows That Don't Fade\When you analyze this statistical data...\Pachinko Comeback\Nanapan\What are you doing?\Is that all you can do?\Is it?\Kurahara. response:	What's wrong? You're spacing out.
context: When you analyze this statistical data...\Pachinko Comeback\Nanapan\What are you doing?\Is that all you can do?\Is it?\Kurahara.\What's wrong? You're spacing out. response:	It's nothing.
context: Pachinko Comeback\Nanapan\What are you doing?\Is that all you can do?\Is it?\Kurahara.\What's wrong? You're spacing out.\It's nothing. response:	He's an underclassman at my dorm.
context: Nanapan\What are you doing?\Is that all you can do?\Is it?\Kurahara.\What's wrong? You're spacing out.\It's nothing.\He's an underclassman at my dorm. response:	Udon/Soba
context: What are you doing?\Is that all you can do?\Is it?\Kurahara.\What's wrong? You're spacing out.\It's nothing.\He's an underclassman at my dorm.\Udon/Soba response:	Ramen
context: Is that all you can do?\Is it?\Kurahara.\What's wrong? You're spacing out.\It's nothing.\He's an underclassman at my dorm.\Udon/Soba\Ramen response:	Curry Menu Plated Dishes Rice Bowl Menu Griddle Menu
context: Is it?\Kurahara.\What's wrong? You're spacing out.\It's nothing.\He's an underclassman at my dorm.\Udon/Soba\Ramen\Curry Menu Plated Dishes Rice Bowl Menu Griddle Menu response:	You're wrong!
context: Kurahara.\What's wrong? You're spacing out.\It's nothing.\He's an underclassman at my dorm.\Udon/Soba\Ramen\Curry Menu Plated Dishes Rice Bowl Menu Griddle Menu\You're wrong! response:	That's a shallow interpretation!
context: What's wrong? You're spacing out.\It's nothing.\He's an underclassman at my dorm.\Udon/Soba\Ramen\Curry Menu Plated Dishes Rice Bowl Menu Griddle Menu\You're wrong!\That's a shallow interpretation! response:	But the protagonist said so himself.
context: It's nothing.\He's an underclassman at my dorm.\Udon/Soba\Ramen\Curry Menu Plated Dishes Rice Bowl Menu Griddle Menu\You're wrong!\That's a shallow interpretation!\But the protagonist said so himself. response:	He can't take it anymore.
context: He's an underclassman at my dorm.\Udon/Soba\Ramen\Curry Menu Plated Dishes Rice Bowl Menu Griddle Menu\You're wrong!\That's a shallow interpretation!\But the protagonist said so himself.\He can't take it anymore. response:	You're missing the panel that comes after that!
context: Udon/Soba\Ramen\Curry Menu Plated Dishes Rice Bowl Menu Griddle Menu\You're wrong!\That's a shallow interpretation!\But the protagonist said so himself.\He can't take it anymore.\You're missing the panel that comes after that! response:	The author hasn't given up!
context: Ramen\Curry Menu Plated Dishes Rice Bowl Menu Griddle Menu\You're wrong!\That's a shallow interpretation!\But the protagonist said so himself.\He can't take it anymore.\You're missing the panel that comes after that!\The author hasn't given up! response:	You should go home right now and see for yourself!
context: Curry Menu Plated Dishes Rice Bowl Menu Griddle Menu\You're wrong!\That's a shallow interpretation!\But the protagonist said so himself.\He can't take it anymore.\You're missing the panel that comes after that!\The author hasn't given up!\You should go home right now and see for yourself! response:	Passionate, right?
context: You're wrong!\That's a shallow interpretation!\But the protagonist said so himself.\He can't take it anymore.\You're missing the panel that comes after that!\The author hasn't given up!\You should go home right now and see for yourself!\Passionate, right? response:	We're always like this when it comes to comics.
context: That's a shallow interpretation!\But the protagonist said so himself.\He can't take it anymore.\You're missing the panel that comes after that!\The author hasn't given up!\You should go home right now and see for yourself!\Passionate, right?\We're always like this when it comes to comics. response:	It wouldn't be an exaggeration to say
context: But the protagonist said so himself.\He can't take it anymore.\You're missing the panel that comes after that!\The author hasn't given up!\You should go home right now and see for yourself!\Passionate, right?\We're always like this when it comes to comics.\It wouldn't be an exaggeration to say response:	everything important we've learned about life has come from comics.
context: He can't take it anymore.\You're missing the panel that comes after that!\The author hasn't given up!\You should go home right now and see for yourself!\Passionate, right?\We're always like this when it comes to comics.\It wouldn't be an exaggeration to say\everything important we've learned about life has come from comics. response:	Friendship, hard work, and everything else.
context: You're missing the panel that comes after that!\The author hasn't given up!\You should go home right now and see for yourself!\Passionate, right?\We're always like this when it comes to comics.\It wouldn't be an exaggeration to say\everything important we've learned about life has come from comics.\Friendship, hard work, and everything else. response:	It's an enriching experience.
context: The author hasn't given up!\You should go home right now and see for yourself!\Passionate, right?\We're always like this when it comes to comics.\It wouldn't be an exaggeration to say\everything important we've learned about life has come from comics.\Friendship, hard work, and everything else.\It's an enriching experience. response:	Why don't you join us?
context: You should go home right now and see for yourself!\Passionate, right?\We're always like this when it comes to comics.\It wouldn't be an exaggeration to say\everything important we've learned about life has come from comics.\Friendship, hard work, and everything else.\It's an enriching experience.\Why don't you join us? response:	Why don't you begin your new college life with us?
context: Passionate, right?\We're always like this when it comes to comics.\It wouldn't be an exaggeration to say\everything important we've learned about life has come from comics.\Friendship, hard work, and everything else.\It's an enriching experience.\Why don't you join us?\Why don't you begin your new college life with us? response:	But I don't read comics...
context: We're always like this when it comes to comics.\It wouldn't be an exaggeration to say\everything important we've learned about life has come from comics.\Friendship, hard work, and everything else.\It's an enriching experience.\Why don't you join us?\Why don't you begin your new college life with us?\But I don't read comics... response:	Sir, we'll clear a table for you.
context: It wouldn't be an exaggeration to say\everything important we've learned about life has come from comics.\Friendship, hard work, and everything else.\It's an enriching experience.\Why don't you join us?\Why don't you begin your new college life with us?\But I don't read comics...\Sir, we'll clear a table for you. response:	No king rules forever.
context: everything important we've learned about life has come from comics.\Friendship, hard work, and everything else.\It's an enriching experience.\Why don't you join us?\Why don't you begin your new college life with us?\But I don't read comics...\Sir, we'll clear a table for you.\No king rules forever. response:	What you really need is intellect and sensibility.
context: Friendship, hard work, and everything else.\It's an enriching experience.\Why don't you join us?\Why don't you begin your new college life with us?\But I don't read comics...\Sir, we'll clear a table for you.\No king rules forever.\What you really need is intellect and sensibility. response:	Huh? Isn't that Prince and the newbie?
context: It's an enriching experience.\Why don't you join us?\Why don't you begin your new college life with us?\But I don't read comics...\Sir, we'll clear a table for you.\No king rules forever.\What you really need is intellect and sensibility.\Huh? Isn't that Prince and the newbie? response:	What?
context: Why don't you join us?\Why don't you begin your new college life with us?\But I don't read comics...\Sir, we'll clear a table for you.\No king rules forever.\What you really need is intellect and sensibility.\Huh? Isn't that Prince and the newbie?\What? response:	Did he join the Comics Club?
context: Why don't you begin your new college life with us?\But I don't read comics...\Sir, we'll clear a table for you.\No king rules forever.\What you really need is intellect and sensibility.\Huh? Isn't that Prince and the newbie?\What?\Did he join the Comics Club? response:	Whatever.
context: But I don't read comics...\Sir, we'll clear a table for you.\No king rules forever.\What you really need is intellect and sensibility.\Huh? Isn't that Prince and the newbie?\What?\Did he join the Comics Club?\Whatever. response:	So, is Shindo serious about continuing practice?
context: Sir, we'll clear a table for you.\No king rules forever.\What you really need is intellect and sensibility.\Huh? Isn't that Prince and the newbie?\What?\Did he join the Comics Club?\Whatever.\So, is Shindo serious about continuing practice? response:	At the very least, his expression seemed earnest.
context: No king rules forever.\What you really need is intellect and sensibility.\Huh? Isn't that Prince and the newbie?\What?\Did he join the Comics Club?\Whatever.\So, is Shindo serious about continuing practice?\At the very least, his expression seemed earnest. response:	On top of that, on the way back from jogging,
context: What you really need is intellect and sensibility.\Huh? Isn't that Prince and the newbie?\What?\Did he join the Comics Club?\Whatever.\So, is Shindo serious about continuing practice?\At the very least, his expression seemed earnest.\On top of that, on the way back from jogging, response:	I saw Haiji and Shindo whispering to each other about club dues.
context: Huh? Isn't that Prince and the newbie?\What?\Did he join the Comics Club?\Whatever.\So, is Shindo serious about continuing practice?\At the very least, his expression seemed earnest.\On top of that, on the way back from jogging,\I saw Haiji and Shindo whispering to each other about club dues. response:	When I looked up club dues in the dictionary...
context: What?\Did he join the Comics Club?\Whatever.\So, is Shindo serious about continuing practice?\At the very least, his expression seemed earnest.\On top of that, on the way back from jogging,\I saw Haiji and Shindo whispering to each other about club dues.\When I looked up club dues in the dictionary... response:	It's money.
context: Did he join the Comics Club?\Whatever.\So, is Shindo serious about continuing practice?\At the very least, his expression seemed earnest.\On top of that, on the way back from jogging,\I saw Haiji and Shindo whispering to each other about club dues.\When I looked up club dues in the dictionary...\It's money. response:	Yes! They're talking about money.
context: Whatever.\So, is Shindo serious about continuing practice?\At the very least, his expression seemed earnest.\On top of that, on the way back from jogging,\I saw Haiji and Shindo whispering to each other about club dues.\When I looked up club dues in the dictionary...\It's money.\Yes! They're talking about money. response:	What am I going to do if they request money from me?
context: So, is Shindo serious about continuing practice?\At the very least, his expression seemed earnest.\On top of that, on the way back from jogging,\I saw Haiji and Shindo whispering to each other about club dues.\When I looked up club dues in the dictionary...\It's money.\Yes! They're talking about money.\What am I going to do if they request money from me? response:	So you know the word for request...
context: At the very least, his expression seemed earnest.\On top of that, on the way back from jogging,\I saw Haiji and Shindo whispering to each other about club dues.\When I looked up club dues in the dictionary...\It's money.\Yes! They're talking about money.\What am I going to do if they request money from me?\So you know the word for request... response:	The training is hard enough.
context: On top of that, on the way back from jogging,\I saw Haiji and Shindo whispering to each other about club dues.\When I looked up club dues in the dictionary...\It's money.\Yes! They're talking about money.\What am I going to do if they request money from me?\So you know the word for request...\The training is hard enough. response:	I can't give them money...
context: I saw Haiji and Shindo whispering to each other about club dues.\When I looked up club dues in the dictionary...\It's money.\Yes! They're talking about money.\What am I going to do if they request money from me?\So you know the word for request...\The training is hard enough.\I can't give them money... response:	Damn.
context: When I looked up club dues in the dictionary...\It's money.\Yes! They're talking about money.\What am I going to do if they request money from me?\So you know the word for request...\The training is hard enough.\I can't give them money...\Damn. response:	As long as it was just Haiji who was excited about it, we could easily ignore it.
context: It's money.\Yes! They're talking about money.\What am I going to do if they request money from me?\So you know the word for request...\The training is hard enough.\I can't give them money...\Damn.\As long as it was just Haiji who was excited about it, we could easily ignore it. response:	The twins are already on board.
context: Yes! They're talking about money.\What am I going to do if they request money from me?\So you know the word for request...\The training is hard enough.\I can't give them money...\Damn.\As long as it was just Haiji who was excited about it, we could easily ignore it.\The twins are already on board. response:	If he convinces two more people, the yeses will have the majority.
context: What am I going to do if they request money from me?\So you know the word for request...\The training is hard enough.\I can't give them money...\Damn.\As long as it was just Haiji who was excited about it, we could easily ignore it.\The twins are already on board.\If he convinces two more people, the yeses will have the majority. response:	See you at Aotake.
context: So you know the word for request...\The training is hard enough.\I can't give them money...\Damn.\As long as it was just Haiji who was excited about it, we could easily ignore it.\The twins are already on board.\If he convinces two more people, the yeses will have the majority.\See you at Aotake. response:	By the way, did anyone buy the newest volume?
context: The training is hard enough.\I can't give them money...\Damn.\As long as it was just Haiji who was excited about it, we could easily ignore it.\The twins are already on board.\If he convinces two more people, the yeses will have the majority.\See you at Aotake.\By the way, did anyone buy the newest volume? response:	Who were they?
context: I can't give them money...\Damn.\As long as it was just Haiji who was excited about it, we could easily ignore it.\The twins are already on board.\If he convinces two more people, the yeses will have the majority.\See you at Aotake.\By the way, did anyone buy the newest volume?\Who were they? response:	Those guys you were with.
context: Damn.\As long as it was just Haiji who was excited about it, we could easily ignore it.\The twins are already on board.\If he convinces two more people, the yeses will have the majority.\See you at Aotake.\By the way, did anyone buy the newest volume?\Who were they?\Those guys you were with. response:	It's none of your business.
context: As long as it was just Haiji who was excited about it, we could easily ignore it.\The twins are already on board.\If he convinces two more people, the yeses will have the majority.\See you at Aotake.\By the way, did anyone buy the newest volume?\Who were they?\Those guys you were with.\It's none of your business. response:	Really? Well, I guess it doesn't matter.
context: The twins are already on board.\If he convinces two more people, the yeses will have the majority.\See you at Aotake.\By the way, did anyone buy the newest volume?\Who were they?\Those guys you were with.\It's none of your business.\Really? Well, I guess it doesn't matter. response:	Lucky you.
context: If he convinces two more people, the yeses will have the majority.\See you at Aotake.\By the way, did anyone buy the newest volume?\Who were they?\Those guys you were with.\It's none of your business.\Really? Well, I guess it doesn't matter.\Lucky you. response:	You made some friends.
context: See you at Aotake.\By the way, did anyone buy the newest volume?\Who were they?\Those guys you were with.\It's none of your business.\Really? Well, I guess it doesn't matter.\Lucky you.\You made some friends. response:	Everyone's Forest
context: By the way, did anyone buy the newest volume?\Who were they?\Those guys you were with.\It's none of your business.\Really? Well, I guess it doesn't matter.\Lucky you.\You made some friends.\Everyone's Forest response:	You can do it, Kurahara!
context: Who were they?\Those guys you were with.\It's none of your business.\Really? Well, I guess it doesn't matter.\Lucky you.\You made some friends.\Everyone's Forest\You can do it, Kurahara! response:	It's the home stretch!
context: Those guys you were with.\It's none of your business.\Really? Well, I guess it doesn't matter.\Lucky you.\You made some friends.\Everyone's Forest\You can do it, Kurahara!\It's the home stretch! response:	Go!
context: It's none of your business.\Really? Well, I guess it doesn't matter.\Lucky you.\You made some friends.\Everyone's Forest\You can do it, Kurahara!\It's the home stretch!\Go! response:	I didn't think you were still running.
context: Really? Well, I guess it doesn't matter.\Lucky you.\You made some friends.\Everyone's Forest\You can do it, Kurahara!\It's the home stretch!\Go!\I didn't think you were still running. response:	Shut up.
context: Lucky you.\You made some friends.\Everyone's Forest\You can do it, Kurahara!\It's the home stretch!\Go!\I didn't think you were still running.\Shut up. response:	Wait! Thief!
context: You made some friends.\Everyone's Forest\You can do it, Kurahara!\It's the home stretch!\Go!\I didn't think you were still running.\Shut up.\Wait! Thief! response:	Who were those guys you were with?
context: Everyone's Forest\You can do it, Kurahara!\It's the home stretch!\Go!\I didn't think you were still running.\Shut up.\Wait! Thief!\Who were those guys you were with? response:	Why?
context: You can do it, Kurahara!\It's the home stretch!\Go!\I didn't think you were still running.\Shut up.\Wait! Thief!\Who were those guys you were with?\Why? response:	Why couldn't I say anything?
context: It's the home stretch!\Go!\I didn't think you were still running.\Shut up.\Wait! Thief!\Who were those guys you were with?\Why?\Why couldn't I say anything? response:	Why?
context: Go!\I didn't think you were still running.\Shut up.\Wait! Thief!\Who were those guys you were with?\Why?\Why couldn't I say anything?\Why? response:	What are you afraid of?
context: I didn't think you were still running.\Shut up.\Wait! Thief!\Who were those guys you were with?\Why?\Why couldn't I say anything?\Why?\What are you afraid of? response:	You're fast.
context: Shut up.\Wait! Thief!\Who were those guys you were with?\Why?\Why couldn't I say anything?\Why?\What are you afraid of?\You're fast. response:	I'm not scared!
context: Wait! Thief!\Who were those guys you were with?\Why?\Why couldn't I say anything?\Why?\What are you afraid of?\You're fast.\I'm not scared! response:	Who cares? Run with us.
context: Who were those guys you were with?\Why?\Why couldn't I say anything?\Why?\What are you afraid of?\You're fast.\I'm not scared!\Who cares? Run with us. response:	I can't!
context: Why?\Why couldn't I say anything?\Why?\What are you afraid of?\You're fast.\I'm not scared!\Who cares? Run with us.\I can't! response:	Hey!
context: Why couldn't I say anything?\Why?\What are you afraid of?\You're fast.\I'm not scared!\Who cares? Run with us.\I can't!\Hey! response:	You like running?
context: Why?\What are you afraid of?\You're fast.\I'm not scared!\Who cares? Run with us.\I can't!\Hey!\You like running? response:	Do you like running?
context: What are you afraid of?\You're fast.\I'm not scared!\Who cares? Run with us.\I can't!\Hey!\You like running?\Do you like running? response:	Don't...
context: You're fast.\I'm not scared!\Who cares? Run with us.\I can't!\Hey!\You like running?\Do you like running?\Don't... response:	Don't ask me that!
context: I'm not scared!\Who cares? Run with us.\I can't!\Hey!\You like running?\Do you like running?\Don't...\Don't ask me that! response:	Cold!
context: Who cares? Run with us.\I can't!\Hey!\You like running?\Do you like running?\Don't...\Don't ask me that!\Cold! response:	Sorry.
context: I can't!\Hey!\You like running?\Do you like running?\Don't...\Don't ask me that!\Cold!\Sorry. response:	Really, I'm fine.
context: Hey!\You like running?\Do you like running?\Don't...\Don't ask me that!\Cold!\Sorry.\Really, I'm fine. response:	If anything, I'm glad you weren't hurt.
context: You like running?\Do you like running?\Don't...\Don't ask me that!\Cold!\Sorry.\Really, I'm fine.\If anything, I'm glad you weren't hurt. response:	Don't.
context: Do you like running?\Don't...\Don't ask me that!\Cold!\Sorry.\Really, I'm fine.\If anything, I'm glad you weren't hurt.\Don't. response:	You're an important athlete.
context: Don't...\Don't ask me that!\Cold!\Sorry.\Really, I'm fine.\If anything, I'm glad you weren't hurt.\Don't.\You're an important athlete. response:	Haiji said God might exist, after all.
context: Don't ask me that!\Cold!\Sorry.\Really, I'm fine.\If anything, I'm glad you weren't hurt.\Don't.\You're an important athlete.\Haiji said God might exist, after all. response:	After meeting you, he said, We're no ordinary men.
context: Cold!\Sorry.\Really, I'm fine.\If anything, I'm glad you weren't hurt.\Don't.\You're an important athlete.\Haiji said God might exist, after all.\After meeting you, he said, We're no ordinary men. response:	We're destined for something great.
context: Sorry.\Really, I'm fine.\If anything, I'm glad you weren't hurt.\Don't.\You're an important athlete.\Haiji said God might exist, after all.\After meeting you, he said, We're no ordinary men.\We're destined for something great. response:	He wouldn't stop talking about running together.
context: Really, I'm fine.\If anything, I'm glad you weren't hurt.\Don't.\You're an important athlete.\Haiji said God might exist, after all.\After meeting you, he said, We're no ordinary men.\We're destined for something great.\He wouldn't stop talking about running together. response:	There.
context: If anything, I'm glad you weren't hurt.\Don't.\You're an important athlete.\Haiji said God might exist, after all.\After meeting you, he said, We're no ordinary men.\We're destined for something great.\He wouldn't stop talking about running together.\There. response:	The only thing I understand is that you're really, really fast.
context: Don't.\You're an important athlete.\Haiji said God might exist, after all.\After meeting you, he said, We're no ordinary men.\We're destined for something great.\He wouldn't stop talking about running together.\There.\The only thing I understand is that you're really, really fast. response:	That's all.
context: You're an important athlete.\Haiji said God might exist, after all.\After meeting you, he said, We're no ordinary men.\We're destined for something great.\He wouldn't stop talking about running together.\There.\The only thing I understand is that you're really, really fast.\That's all. response:	I can't do anything but run.
context: Haiji said God might exist, after all.\After meeting you, he said, We're no ordinary men.\We're destined for something great.\He wouldn't stop talking about running together.\There.\The only thing I understand is that you're really, really fast.\That's all.\I can't do anything but run. response:	Hey!
context: After meeting you, he said, We're no ordinary men.\We're destined for something great.\He wouldn't stop talking about running together.\There.\The only thing I understand is that you're really, really fast.\That's all.\I can't do anything but run.\Hey! response:	I know. Wanna race?
context: We're destined for something great.\He wouldn't stop talking about running together.\There.\The only thing I understand is that you're really, really fast.\That's all.\I can't do anything but run.\Hey!\I know. Wanna race? response:	Huh?
context: He wouldn't stop talking about running together.\There.\The only thing I understand is that you're really, really fast.\That's all.\I can't do anything but run.\Hey!\I know. Wanna race?\Huh? response:	Let's race to Aotake with Nira.
context: There.\The only thing I understand is that you're really, really fast.\That's all.\I can't do anything but run.\Hey!\I know. Wanna race?\Huh?\Let's race to Aotake with Nira. response:	Okay.
context: The only thing I understand is that you're really, really fast.\That's all.\I can't do anything but run.\Hey!\I know. Wanna race?\Huh?\Let's race to Aotake with Nira.\Okay. response:	Ready...
context: That's all.\I can't do anything but run.\Hey!\I know. Wanna race?\Huh?\Let's race to Aotake with Nira.\Okay.\Ready... response:	Why?
context: I can't do anything but run.\Hey!\I know. Wanna race?\Huh?\Let's race to Aotake with Nira.\Okay.\Ready...\Why? response:	Why won't you leave me alone?
context: Hey!\I know. Wanna race?\Huh?\Let's race to Aotake with Nira.\Okay.\Ready...\Why?\Why won't you leave me alone? response:	If you want to run, you can run by yourself.
context: I know. Wanna race?\Huh?\Let's race to Aotake with Nira.\Okay.\Ready...\Why?\Why won't you leave me alone?\If you want to run, you can run by yourself. response:	Isn't that what it means to run?
context: Huh?\Let's race to Aotake with Nira.\Okay.\Ready...\Why?\Why won't you leave me alone?\If you want to run, you can run by yourself.\Isn't that what it means to run? response:	I'm sorry, but you should give up on me.
context: Let's race to Aotake with Nira.\Okay.\Ready...\Why?\Why won't you leave me alone?\If you want to run, you can run by yourself.\Isn't that what it means to run?\I'm sorry, but you should give up on me. response:	Kurahara.
context: Okay.\Ready...\Why?\Why won't you leave me alone?\If you want to run, you can run by yourself.\Isn't that what it means to run?\I'm sorry, but you should give up on me.\Kurahara. response:	Even though you run by yourself, you're not actually alone.
context: Ready...\Why?\Why won't you leave me alone?\If you want to run, you can run by yourself.\Isn't that what it means to run?\I'm sorry, but you should give up on me.\Kurahara.\Even though you run by yourself, you're not actually alone. response:	You're always running with someone else.
context: Why?\Why won't you leave me alone?\If you want to run, you can run by yourself.\Isn't that what it means to run?\I'm sorry, but you should give up on me.\Kurahara.\Even though you run by yourself, you're not actually alone.\You're always running with someone else. response:	I don't understand.
