context: You're Senator Beriam's wife, right? response:	The order has been switched around.
context: Please, I'm really scared here.\Right now, I don't have a penny on me, so I'll have to apologize.\Put down your guns... put them down!\Hey, are you really sure this is the right guy?\He's supposed to be.\There's no mistaking the sword tattoo on his face.\I have to admit, he's worse than pathetic.\Hey. response:	W-What?
context: Right now, I don't have a penny on me, so I'll have to apologize.\Put down your guns... put them down!\Hey, are you really sure this is the right guy?\He's supposed to be.\There's no mistaking the sword tattoo on his face.\I have to admit, he's worse than pathetic.\Hey.\W-What? response:	First, stop your crying.
context: Put down your guns... put them down!\Hey, are you really sure this is the right guy?\He's supposed to be.\There's no mistaking the sword tattoo on his face.\I have to admit, he's worse than pathetic.\Hey.\W-What?\First, stop your crying. response:	I-I'm not... crying...
context: Hey, are you really sure this is the right guy?\He's supposed to be.\There's no mistaking the sword tattoo on his face.\I have to admit, he's worse than pathetic.\Hey.\W-What?\First, stop your crying.\I-I'm not... crying... response:	You are crying, aren't you?
context: He's supposed to be.\There's no mistaking the sword tattoo on his face.\I have to admit, he's worse than pathetic.\Hey.\W-What?\First, stop your crying.\I-I'm not... crying...\You are crying, aren't you? response:	I said I'm not crying!
context: There's no mistaking the sword tattoo on his face.\I have to admit, he's worse than pathetic.\Hey.\W-What?\First, stop your crying.\I-I'm not... crying...\You are crying, aren't you?\I said I'm not crying! response:	Fine.
context: I have to admit, he's worse than pathetic.\Hey.\W-What?\First, stop your crying.\I-I'm not... crying...\You are crying, aren't you?\I said I'm not crying!\Fine. response:	Listen here.
context: Hey.\W-What?\First, stop your crying.\I-I'm not... crying...\You are crying, aren't you?\I said I'm not crying!\Fine.\Listen here. response:	Unless you want your head ventilated, tell me your name.
context: W-What?\First, stop your crying.\I-I'm not... crying...\You are crying, aren't you?\I said I'm not crying!\Fine.\Listen here.\Unless you want your head ventilated, tell me your name. response:	Slowly, and clearly.
context: First, stop your crying.\I-I'm not... crying...\You are crying, aren't you?\I said I'm not crying!\Fine.\Listen here.\Unless you want your head ventilated, tell me your name.\Slowly, and clearly. response:	J-Jacuzzi... Jacuzzi Splot.
context: I-I'm not... crying...\You are crying, aren't you?\I said I'm not crying!\Fine.\Listen here.\Unless you want your head ventilated, tell me your name.\Slowly, and clearly.\J-Jacuzzi... Jacuzzi Splot. response:	It's here... I'm too late...
context: You are crying, aren't you?\I said I'm not crying!\Fine.\Listen here.\Unless you want your head ventilated, tell me your name.\Slowly, and clearly.\J-Jacuzzi... Jacuzzi Splot.\It's here... I'm too late... response:	It's already caught up to us...
context: I said I'm not crying!\Fine.\Listen here.\Unless you want your head ventilated, tell me your name.\Slowly, and clearly.\J-Jacuzzi... Jacuzzi Splot.\It's here... I'm too late...\It's already caught up to us... response:	The Rail Tracer!
context: Fine.\Listen here.\Unless you want your head ventilated, tell me your name.\Slowly, and clearly.\J-Jacuzzi... Jacuzzi Splot.\It's here... I'm too late...\It's already caught up to us...\The Rail Tracer! response:	No way.
context: Listen here.\Unless you want your head ventilated, tell me your name.\Slowly, and clearly.\J-Jacuzzi... Jacuzzi Splot.\It's here... I'm too late...\It's already caught up to us...\The Rail Tracer!\No way. response:	What is all this?
context: Unless you want your head ventilated, tell me your name.\Slowly, and clearly.\J-Jacuzzi... Jacuzzi Splot.\It's here... I'm too late...\It's already caught up to us...\The Rail Tracer!\No way.\What is all this? response:	Nice... Donny...
context: Slowly, and clearly.\J-Jacuzzi... Jacuzzi Splot.\It's here... I'm too late...\It's already caught up to us...\The Rail Tracer!\No way.\What is all this?\Nice... Donny... response:	Thank goodness you're both safe.
context: J-Jacuzzi... Jacuzzi Splot.\It's here... I'm too late...\It's already caught up to us...\The Rail Tracer!\No way.\What is all this?\Nice... Donny...\Thank goodness you're both safe. response:	Thank goodness... really, thank goodness...
context: It's here... I'm too late...\It's already caught up to us...\The Rail Tracer!\No way.\What is all this?\Nice... Donny...\Thank goodness you're both safe.\Thank goodness... really, thank goodness... response:	We're doing all right,
context: It's already caught up to us...\The Rail Tracer!\No way.\What is all this?\Nice... Donny...\Thank goodness you're both safe.\Thank goodness... really, thank goodness...\We're doing all right, response:	but Nick got captured by those black suit guys.
context: The Rail Tracer!\No way.\What is all this?\Nice... Donny...\Thank goodness you're both safe.\Thank goodness... really, thank goodness...\We're doing all right,\but Nick got captured by those black suit guys. response:	Oh, no!
context: No way.\What is all this?\Nice... Donny...\Thank goodness you're both safe.\Thank goodness... really, thank goodness...\We're doing all right,\but Nick got captured by those black suit guys.\Oh, no! response:	This is bad! This is bad!
context: What is all this?\Nice... Donny...\Thank goodness you're both safe.\Thank goodness... really, thank goodness...\We're doing all right,\but Nick got captured by those black suit guys.\Oh, no!\This is bad! This is bad! response:	There was that black-suited orchestra, remember?
context: Nice... Donny...\Thank goodness you're both safe.\Thank goodness... really, thank goodness...\We're doing all right,\but Nick got captured by those black suit guys.\Oh, no!\This is bad! This is bad!\There was that black-suited orchestra, remember? response:	It looks like they're here pulling a train robbery.
context: Thank goodness you're both safe.\Thank goodness... really, thank goodness...\We're doing all right,\but Nick got captured by those black suit guys.\Oh, no!\This is bad! This is bad!\There was that black-suited orchestra, remember?\It looks like they're here pulling a train robbery. response:	We'll be sure to help Nick out of there later.
context: Thank goodness... really, thank goodness...\We're doing all right,\but Nick got captured by those black suit guys.\Oh, no!\This is bad! This is bad!\There was that black-suited orchestra, remember?\It looks like they're here pulling a train robbery.\We'll be sure to help Nick out of there later. response:	But never mind him, what happened here?
context: We're doing all right,\but Nick got captured by those black suit guys.\Oh, no!\This is bad! This is bad!\There was that black-suited orchestra, remember?\It looks like they're here pulling a train robbery.\We'll be sure to help Nick out of there later.\But never mind him, what happened here? response:	Oh, yeah! It's awful!
context: but Nick got captured by those black suit guys.\Oh, no!\This is bad! This is bad!\There was that black-suited orchestra, remember?\It looks like they're here pulling a train robbery.\We'll be sure to help Nick out of there later.\But never mind him, what happened here?\Oh, yeah! It's awful! response:	It's the Rail Tracer! The Rail Tracer is here!
context: Oh, no!\This is bad! This is bad!\There was that black-suited orchestra, remember?\It looks like they're here pulling a train robbery.\We'll be sure to help Nick out of there later.\But never mind him, what happened here?\Oh, yeah! It's awful!\It's the Rail Tracer! The Rail Tracer is here! response:	We have to hurry and get away from here,
context: This is bad! This is bad!\There was that black-suited orchestra, remember?\It looks like they're here pulling a train robbery.\We'll be sure to help Nick out of there later.\But never mind him, what happened here?\Oh, yeah! It's awful!\It's the Rail Tracer! The Rail Tracer is here!\We have to hurry and get away from here, response:	or we'll be wiped out, too!
context: There was that black-suited orchestra, remember?\It looks like they're here pulling a train robbery.\We'll be sure to help Nick out of there later.\But never mind him, what happened here?\Oh, yeah! It's awful!\It's the Rail Tracer! The Rail Tracer is here!\We have to hurry and get away from here,\or we'll be wiped out, too! response:	So somehow, we have to rescue Nick-
context: It looks like they're here pulling a train robbery.\We'll be sure to help Nick out of there later.\But never mind him, what happened here?\Oh, yeah! It's awful!\It's the Rail Tracer! The Rail Tracer is here!\We have to hurry and get away from here,\or we'll be wiped out, too!\So somehow, we have to rescue Nick- response:	Shooting?
context: We'll be sure to help Nick out of there later.\But never mind him, what happened here?\Oh, yeah! It's awful!\It's the Rail Tracer! The Rail Tracer is here!\We have to hurry and get away from here,\or we'll be wiped out, too!\So somehow, we have to rescue Nick-\Shooting? response:	W-What is that? What is that gunfire about?
context: But never mind him, what happened here?\Oh, yeah! It's awful!\It's the Rail Tracer! The Rail Tracer is here!\We have to hurry and get away from here,\or we'll be wiped out, too!\So somehow, we have to rescue Nick-\Shooting?\W-What is that? What is that gunfire about? response:	What did they shoot? Is anyone dead?
context: Oh, yeah! It's awful!\It's the Rail Tracer! The Rail Tracer is here!\We have to hurry and get away from here,\or we'll be wiped out, too!\So somehow, we have to rescue Nick-\Shooting?\W-What is that? What is that gunfire about?\What did they shoot? Is anyone dead? response:	Well? Well? Nice? Donny?
context: It's the Rail Tracer! The Rail Tracer is here!\We have to hurry and get away from here,\or we'll be wiped out, too!\So somehow, we have to rescue Nick-\Shooting?\W-What is that? What is that gunfire about?\What did they shoot? Is anyone dead?\Well? Well? Nice? Donny? response:	We have to get out of here! We have to get out of here, now!
context: We have to hurry and get away from here,\or we'll be wiped out, too!\So somehow, we have to rescue Nick-\Shooting?\W-What is that? What is that gunfire about?\What did they shoot? Is anyone dead?\Well? Well? Nice? Donny?\We have to get out of here! We have to get out of here, now! response:	To think that the boss of the delinquents
context: or we'll be wiped out, too!\So somehow, we have to rescue Nick-\Shooting?\W-What is that? What is that gunfire about?\What did they shoot? Is anyone dead?\Well? Well? Nice? Donny?\We have to get out of here! We have to get out of here, now!\To think that the boss of the delinquents response:	that have been giving those of us from the Russo Family
context: So somehow, we have to rescue Nick-\Shooting?\W-What is that? What is that gunfire about?\What did they shoot? Is anyone dead?\Well? Well? Nice? Donny?\We have to get out of here! We have to get out of here, now!\To think that the boss of the delinquents\that have been giving those of us from the Russo Family response:	so much trouble was a pantywaist like you...
context: Shooting?\W-What is that? What is that gunfire about?\What did they shoot? Is anyone dead?\Well? Well? Nice? Donny?\We have to get out of here! We have to get out of here, now!\To think that the boss of the delinquents\that have been giving those of us from the Russo Family\so much trouble was a pantywaist like you... response:	It's disheartening, isn't it, you bastard?!
context: W-What is that? What is that gunfire about?\What did they shoot? Is anyone dead?\Well? Well? Nice? Donny?\We have to get out of here! We have to get out of here, now!\To think that the boss of the delinquents\that have been giving those of us from the Russo Family\so much trouble was a pantywaist like you...\It's disheartening, isn't it, you bastard?! response:	You dare to run roughshod all over our turf,
context: What did they shoot? Is anyone dead?\Well? Well? Nice? Donny?\We have to get out of here! We have to get out of here, now!\To think that the boss of the delinquents\that have been giving those of us from the Russo Family\so much trouble was a pantywaist like you...\It's disheartening, isn't it, you bastard?!\You dare to run roughshod all over our turf, response:	so I was expecting someone more remarkable!
context: Well? Well? Nice? Donny?\We have to get out of here! We have to get out of here, now!\To think that the boss of the delinquents\that have been giving those of us from the Russo Family\so much trouble was a pantywaist like you...\It's disheartening, isn't it, you bastard?!\You dare to run roughshod all over our turf,\so I was expecting someone more remarkable! response:	W-We're bad guys... that's for sure...
context: We have to get out of here! We have to get out of here, now!\To think that the boss of the delinquents\that have been giving those of us from the Russo Family\so much trouble was a pantywaist like you...\It's disheartening, isn't it, you bastard?!\You dare to run roughshod all over our turf,\so I was expecting someone more remarkable!\W-We're bad guys... that's for sure... response:	B-B-But... when we first started selling booze-
context: To think that the boss of the delinquents\that have been giving those of us from the Russo Family\so much trouble was a pantywaist like you...\It's disheartening, isn't it, you bastard?!\You dare to run roughshod all over our turf,\so I was expecting someone more remarkable!\W-We're bad guys... that's for sure...\B-B-But... when we first started selling booze- response:	you're the ones who killed eight of our men,
context: that have been giving those of us from the Russo Family\so much trouble was a pantywaist like you...\It's disheartening, isn't it, you bastard?!\You dare to run roughshod all over our turf,\so I was expecting someone more remarkable!\W-We're bad guys... that's for sure...\B-B-But... when we first started selling booze-\you're the ones who killed eight of our men, response:	aren't you?
context: so much trouble was a pantywaist like you...\It's disheartening, isn't it, you bastard?!\You dare to run roughshod all over our turf,\so I was expecting someone more remarkable!\W-We're bad guys... that's for sure...\B-B-But... when we first started selling booze-\you're the ones who killed eight of our men,\aren't you? response:	That's the natural order of things!
context: It's disheartening, isn't it, you bastard?!\You dare to run roughshod all over our turf,\so I was expecting someone more remarkable!\W-We're bad guys... that's for sure...\B-B-But... when we first started selling booze-\you're the ones who killed eight of our men,\aren't you?\That's the natural order of things! response:	So... so we decided...
context: You dare to run roughshod all over our turf,\so I was expecting someone more remarkable!\W-We're bad guys... that's for sure...\B-B-But... when we first started selling booze-\you're the ones who killed eight of our men,\aren't you?\That's the natural order of things!\So... so we decided... response:	Would you quit your babbling?!
context: so I was expecting someone more remarkable!\W-We're bad guys... that's for sure...\B-B-But... when we first started selling booze-\you're the ones who killed eight of our men,\aren't you?\That's the natural order of things!\So... so we decided...\Would you quit your babbling?! response:	B-But if we run away...
context: W-We're bad guys... that's for sure...\B-B-But... when we first started selling booze-\you're the ones who killed eight of our men,\aren't you?\That's the natural order of things!\So... so we decided...\Would you quit your babbling?!\B-But if we run away... response:	everyone else...
context: B-B-But... when we first started selling booze-\you're the ones who killed eight of our men,\aren't you?\That's the natural order of things!\So... so we decided...\Would you quit your babbling?!\B-But if we run away...\everyone else... response:	Isaac- san, Miria- san, Mary, Czes, all of them...
context: you're the ones who killed eight of our men,\aren't you?\That's the natural order of things!\So... so we decided...\Would you quit your babbling?!\B-But if we run away...\everyone else...\Isaac- san, Miria- san, Mary, Czes, all of them... response:	Let's all drive away those guys in black,
context: aren't you?\That's the natural order of things!\So... so we decided...\Would you quit your babbling?!\B-But if we run away...\everyone else...\Isaac- san, Miria- san, Mary, Czes, all of them...\Let's all drive away those guys in black, response:	and the Rail Tracer!
context: That's the natural order of things!\So... so we decided...\Would you quit your babbling?!\B-But if we run away...\everyone else...\Isaac- san, Miria- san, Mary, Czes, all of them...\Let's all drive away those guys in black,\and the Rail Tracer! response:	Jacuzzi...
context: So... so we decided...\Would you quit your babbling?!\B-But if we run away...\everyone else...\Isaac- san, Miria- san, Mary, Czes, all of them...\Let's all drive away those guys in black,\and the Rail Tracer!\Jacuzzi... response:	All of us, let's get them.
context: Would you quit your babbling?!\B-But if we run away...\everyone else...\Isaac- san, Miria- san, Mary, Czes, all of them...\Let's all drive away those guys in black,\and the Rail Tracer!\Jacuzzi...\All of us, let's get them. response:	S-Stop!
context: B-But if we run away...\everyone else...\Isaac- san, Miria- san, Mary, Czes, all of them...\Let's all drive away those guys in black,\and the Rail Tracer!\Jacuzzi...\All of us, let's get them.\S-Stop! response:	Put down your guns, quick!
context: everyone else...\Isaac- san, Miria- san, Mary, Czes, all of them...\Let's all drive away those guys in black,\and the Rail Tracer!\Jacuzzi...\All of us, let's get them.\S-Stop!\Put down your guns, quick! response:	I don't want to kill you, if I don't have to!
context: Isaac- san, Miria- san, Mary, Czes, all of them...\Let's all drive away those guys in black,\and the Rail Tracer!\Jacuzzi...\All of us, let's get them.\S-Stop!\Put down your guns, quick!\I don't want to kill you, if I don't have to! response:	You mean, you don't want to be killed, don't you?!
context: Let's all drive away those guys in black,\and the Rail Tracer!\Jacuzzi...\All of us, let's get them.\S-Stop!\Put down your guns, quick!\I don't want to kill you, if I don't have to!\You mean, you don't want to be killed, don't you?! response:	No! I don't want to kill you!
context: and the Rail Tracer!\Jacuzzi...\All of us, let's get them.\S-Stop!\Put down your guns, quick!\I don't want to kill you, if I don't have to!\You mean, you don't want to be killed, don't you?!\No! I don't want to kill you! response:	So, Donny, wait a little longer! Please!
context: Jacuzzi...\All of us, let's get them.\S-Stop!\Put down your guns, quick!\I don't want to kill you, if I don't have to!\You mean, you don't want to be killed, don't you?!\No! I don't want to kill you!\So, Donny, wait a little longer! Please! response:	I'm sure these men are going to put down their guns!
context: All of us, let's get them.\S-Stop!\Put down your guns, quick!\I don't want to kill you, if I don't have to!\You mean, you don't want to be killed, don't you?!\No! I don't want to kill you!\So, Donny, wait a little longer! Please!\I'm sure these men are going to put down their guns! response:	What the hell are you talking-
context: S-Stop!\Put down your guns, quick!\I don't want to kill you, if I don't have to!\You mean, you don't want to be killed, don't you?!\No! I don't want to kill you!\So, Donny, wait a little longer! Please!\I'm sure these men are going to put down their guns!\What the hell are you talking- response:	What are you two doing?! Shoot him now! Kill him!
context: Put down your guns, quick!\I don't want to kill you, if I don't have to!\You mean, you don't want to be killed, don't you?!\No! I don't want to kill you!\So, Donny, wait a little longer! Please!\I'm sure these men are going to put down their guns!\What the hell are you talking-\What are you two doing?! Shoot him now! Kill him! response:	How are you feeling?
context: I don't want to kill you, if I don't have to!\You mean, you don't want to be killed, don't you?!\No! I don't want to kill you!\So, Donny, wait a little longer! Please!\I'm sure these men are going to put down their guns!\What the hell are you talking-\What are you two doing?! Shoot him now! Kill him!\How are you feeling? response:	Run!
context: You mean, you don't want to be killed, don't you?!\No! I don't want to kill you!\So, Donny, wait a little longer! Please!\I'm sure these men are going to put down their guns!\What the hell are you talking-\What are you two doing?! Shoot him now! Kill him!\How are you feeling?\Run! response:	I told them, didn't I?!
context: No! I don't want to kill you!\So, Donny, wait a little longer! Please!\I'm sure these men are going to put down their guns!\What the hell are you talking-\What are you two doing?! Shoot him now! Kill him!\How are you feeling?\Run!\I told them, didn't I?! response:	You...
context: So, Donny, wait a little longer! Please!\I'm sure these men are going to put down their guns!\What the hell are you talking-\What are you two doing?! Shoot him now! Kill him!\How are you feeling?\Run!\I told them, didn't I?!\You... response:	Barnes- san...
context: I'm sure these men are going to put down their guns!\What the hell are you talking-\What are you two doing?! Shoot him now! Kill him!\How are you feeling?\Run!\I told them, didn't I?!\You...\Barnes- san... response:	Ennis, why didn't you kill him?
context: What the hell are you talking-\What are you two doing?! Shoot him now! Kill him!\How are you feeling?\Run!\I told them, didn't I?!\You...\Barnes- san...\Ennis, why didn't you kill him? response:	Sir, I didn't think it would hurt to wait until we confirmed what happened first.
context: What are you two doing?! Shoot him now! Kill him!\How are you feeling?\Run!\I told them, didn't I?!\You...\Barnes- san...\Ennis, why didn't you kill him?\Sir, I didn't think it would hurt to wait until we confirmed what happened first. response:	Do not employ sophistry.
context: How are you feeling?\Run!\I told them, didn't I?!\You...\Barnes- san...\Ennis, why didn't you kill him?\Sir, I didn't think it would hurt to wait until we confirmed what happened first.\Do not employ sophistry. response:	You are a homunculus that I created.
context: Run!\I told them, didn't I?!\You...\Barnes- san...\Ennis, why didn't you kill him?\Sir, I didn't think it would hurt to wait until we confirmed what happened first.\Do not employ sophistry.\You are a homunculus that I created. response:	You should be able to kill someone without any hesitation.
context: I told them, didn't I?!\You...\Barnes- san...\Ennis, why didn't you kill him?\Sir, I didn't think it would hurt to wait until we confirmed what happened first.\Do not employ sophistry.\You are a homunculus that I created.\You should be able to kill someone without any hesitation. response:	Gentlemen, behold the miserable Barnes.
context: You...\Barnes- san...\Ennis, why didn't you kill him?\Sir, I didn't think it would hurt to wait until we confirmed what happened first.\Do not employ sophistry.\You are a homunculus that I created.\You should be able to kill someone without any hesitation.\Gentlemen, behold the miserable Barnes. response:	Why did this man set the fire?
context: Barnes- san...\Ennis, why didn't you kill him?\Sir, I didn't think it would hurt to wait until we confirmed what happened first.\Do not employ sophistry.\You are a homunculus that I created.\You should be able to kill someone without any hesitation.\Gentlemen, behold the miserable Barnes.\Why did this man set the fire? response:	What did he do with the finished product?
context: Ennis, why didn't you kill him?\Sir, I didn't think it would hurt to wait until we confirmed what happened first.\Do not employ sophistry.\You are a homunculus that I created.\You should be able to kill someone without any hesitation.\Gentlemen, behold the miserable Barnes.\Why did this man set the fire?\What did he do with the finished product? response:	Gentlemen, will you tolerate any excuses from the man who lost the medicine
context: Sir, I didn't think it would hurt to wait until we confirmed what happened first.\Do not employ sophistry.\You are a homunculus that I created.\You should be able to kill someone without any hesitation.\Gentlemen, behold the miserable Barnes.\Why did this man set the fire?\What did he do with the finished product?\Gentlemen, will you tolerate any excuses from the man who lost the medicine response:	that was to have released you from the terror of growing old?
context: Do not employ sophistry.\You are a homunculus that I created.\You should be able to kill someone without any hesitation.\Gentlemen, behold the miserable Barnes.\Why did this man set the fire?\What did he do with the finished product?\Gentlemen, will you tolerate any excuses from the man who lost the medicine\that was to have released you from the terror of growing old? response:	I will not.
context: You are a homunculus that I created.\You should be able to kill someone without any hesitation.\Gentlemen, behold the miserable Barnes.\Why did this man set the fire?\What did he do with the finished product?\Gentlemen, will you tolerate any excuses from the man who lost the medicine\that was to have released you from the terror of growing old?\I will not. response:	But we must pinpoint the location of the finished product.
context: You should be able to kill someone without any hesitation.\Gentlemen, behold the miserable Barnes.\Why did this man set the fire?\What did he do with the finished product?\Gentlemen, will you tolerate any excuses from the man who lost the medicine\that was to have released you from the terror of growing old?\I will not.\But we must pinpoint the location of the finished product. response:	What shall we do?
context: Gentlemen, behold the miserable Barnes.\Why did this man set the fire?\What did he do with the finished product?\Gentlemen, will you tolerate any excuses from the man who lost the medicine\that was to have released you from the terror of growing old?\I will not.\But we must pinpoint the location of the finished product.\What shall we do? response:	There is one method...
context: Why did this man set the fire?\What did he do with the finished product?\Gentlemen, will you tolerate any excuses from the man who lost the medicine\that was to have released you from the terror of growing old?\I will not.\But we must pinpoint the location of the finished product.\What shall we do?\There is one method... response:	A method that you all know well.
context: What did he do with the finished product?\Gentlemen, will you tolerate any excuses from the man who lost the medicine\that was to have released you from the terror of growing old?\I will not.\But we must pinpoint the location of the finished product.\What shall we do?\There is one method...\A method that you all know well. response:	-He doesn't mean... -He couldn't...
context: Gentlemen, will you tolerate any excuses from the man who lost the medicine\that was to have released you from the terror of growing old?\I will not.\But we must pinpoint the location of the finished product.\What shall we do?\There is one method...\A method that you all know well.\-He doesn't mean... -He couldn't... response:	Barnes's intelligence...
context: that was to have released you from the terror of growing old?\I will not.\But we must pinpoint the location of the finished product.\What shall we do?\There is one method...\A method that you all know well.\-He doesn't mean... -He couldn't...\Barnes's intelligence... response:	Barnes's experiences, Barnes's entire life-
context: I will not.\But we must pinpoint the location of the finished product.\What shall we do?\There is one method...\A method that you all know well.\-He doesn't mean... -He couldn't...\Barnes's intelligence...\Barnes's experiences, Barnes's entire life- response:	there is a way to make them my own!
context: But we must pinpoint the location of the finished product.\What shall we do?\There is one method...\A method that you all know well.\-He doesn't mean... -He couldn't...\Barnes's intelligence...\Barnes's experiences, Barnes's entire life-\there is a way to make them my own! response:	S-Szilard- sama!
context: What shall we do?\There is one method...\A method that you all know well.\-He doesn't mean... -He couldn't...\Barnes's intelligence...\Barnes's experiences, Barnes's entire life-\there is a way to make them my own!\S-Szilard- sama! response:	I do this...
context: There is one method...\A method that you all know well.\-He doesn't mean... -He couldn't...\Barnes's intelligence...\Barnes's experiences, Barnes's entire life-\there is a way to make them my own!\S-Szilard- sama!\I do this... response:	Gentlemen, rejoice!
context: A method that you all know well.\-He doesn't mean... -He couldn't...\Barnes's intelligence...\Barnes's experiences, Barnes's entire life-\there is a way to make them my own!\S-Szilard- sama!\I do this...\Gentlemen, rejoice! response:	Barnes was apparently successful in getting two bottles
context: -He doesn't mean... -He couldn't...\Barnes's intelligence...\Barnes's experiences, Barnes's entire life-\there is a way to make them my own!\S-Szilard- sama!\I do this...\Gentlemen, rejoice!\Barnes was apparently successful in getting two bottles response:	of the finished product out from the site of the fire.
context: Barnes's intelligence...\Barnes's experiences, Barnes's entire life-\there is a way to make them my own!\S-Szilard- sama!\I do this...\Gentlemen, rejoice!\Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire. response:	Although, they appear to have been taken.
context: Barnes's experiences, Barnes's entire life-\there is a way to make them my own!\S-Szilard- sama!\I do this...\Gentlemen, rejoice!\Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire.\Although, they appear to have been taken. response:	Oh, no...
context: there is a way to make them my own!\S-Szilard- sama!\I do this...\Gentlemen, rejoice!\Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire.\Although, they appear to have been taken.\Oh, no... response:	I know the faces of those who took them.
context: S-Szilard- sama!\I do this...\Gentlemen, rejoice!\Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire.\Although, they appear to have been taken.\Oh, no...\I know the faces of those who took them. response:	With luck, we will be able to get them back.
context: I do this...\Gentlemen, rejoice!\Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire.\Although, they appear to have been taken.\Oh, no...\I know the faces of those who took them.\With luck, we will be able to get them back. response:	Ennis...
context: Gentlemen, rejoice!\Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire.\Although, they appear to have been taken.\Oh, no...\I know the faces of those who took them.\With luck, we will be able to get them back.\Ennis... response:	Yes?
context: Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire.\Although, they appear to have been taken.\Oh, no...\I know the faces of those who took them.\With luck, we will be able to get them back.\Ennis...\Yes? response:	There's a man who seems to be seeking you, as well.
