context: The strong survive... response:	He said that's the way the world worked.
context: He's with them now.\It makes me sick\Do you think he really is?\Probably.\Ikoma.\Here.\Hold up, Takumi.\You're supposed to go over there. response:	Please, I beg that you spare my wife.
context: It makes me sick\Do you think he really is?\Probably.\Ikoma.\Here.\Hold up, Takumi.\You're supposed to go over there.\Please, I beg that you spare my wife. response:	I will give enough blood for the both of us instead.
context: Do you think he really is?\Probably.\Ikoma.\Here.\Hold up, Takumi.\You're supposed to go over there.\Please, I beg that you spare my wife.\I will give enough blood for the both of us instead. response:	What did you say, sir?
context: Probably.\Ikoma.\Here.\Hold up, Takumi.\You're supposed to go over there.\Please, I beg that you spare my wife.\I will give enough blood for the both of us instead.\What did you say, sir? response:	That's fine with me.
context: Ikoma.\Here.\Hold up, Takumi.\You're supposed to go over there.\Please, I beg that you spare my wife.\I will give enough blood for the both of us instead.\What did you say, sir?\That's fine with me. response:	No.
context: Here.\Hold up, Takumi.\You're supposed to go over there.\Please, I beg that you spare my wife.\I will give enough blood for the both of us instead.\What did you say, sir?\That's fine with me.\No. response:	Where's the fun... in that deal?
context: Hold up, Takumi.\You're supposed to go over there.\Please, I beg that you spare my wife.\I will give enough blood for the both of us instead.\What did you say, sir?\That's fine with me.\No.\Where's the fun... in that deal? response:	Then I will give enough for three No, four!
context: You're supposed to go over there.\Please, I beg that you spare my wife.\I will give enough blood for the both of us instead.\What did you say, sir?\That's fine with me.\No.\Where's the fun... in that deal?\Then I will give enough for three No, four! response:	Very well.
context: Please, I beg that you spare my wife.\I will give enough blood for the both of us instead.\What did you say, sir?\That's fine with me.\No.\Where's the fun... in that deal?\Then I will give enough for three No, four!\Very well. response:	You have a deal.
context: I will give enough blood for the both of us instead.\What did you say, sir?\That's fine with me.\No.\Where's the fun... in that deal?\Then I will give enough for three No, four!\Very well.\You have a deal. response:	Thank you.
context: What did you say, sir?\That's fine with me.\No.\Where's the fun... in that deal?\Then I will give enough for three No, four!\Very well.\You have a deal.\Thank you. response:	Take the blood.
context: That's fine with me.\No.\Where's the fun... in that deal?\Then I will give enough for three No, four!\Very well.\You have a deal.\Thank you.\Take the blood. response:	Yes, sir.
context: No.\Where's the fun... in that deal?\Then I will give enough for three No, four!\Very well.\You have a deal.\Thank you.\Take the blood.\Yes, sir. response:	Warabi, I'm tired of you picking on the weak.
context: Where's the fun... in that deal?\Then I will give enough for three No, four!\Very well.\You have a deal.\Thank you.\Take the blood.\Yes, sir.\Warabi, I'm tired of you picking on the weak. response:	How could you do that?!
context: Then I will give enough for three No, four!\Very well.\You have a deal.\Thank you.\Take the blood.\Yes, sir.\Warabi, I'm tired of you picking on the weak.\How could you do that?! response:	Let go of me!
context: Very well.\You have a deal.\Thank you.\Take the blood.\Yes, sir.\Warabi, I'm tired of you picking on the weak.\How could you do that?!\Let go of me! response:	Judging from your weight...
context: You have a deal.\Thank you.\Take the blood.\Yes, sir.\Warabi, I'm tired of you picking on the weak.\How could you do that?!\Let go of me!\Judging from your weight... response:	Would you like to make a deal?
context: Thank you.\Take the blood.\Yes, sir.\Warabi, I'm tired of you picking on the weak.\How could you do that?!\Let go of me!\Judging from your weight...\Would you like to make a deal? response:	Here.
context: Take the blood.\Yes, sir.\Warabi, I'm tired of you picking on the weak.\How could you do that?!\Let go of me!\Judging from your weight...\Would you like to make a deal?\Here. response:	When are you going to do it, Ikoma?
context: Yes, sir.\Warabi, I'm tired of you picking on the weak.\How could you do that?!\Let go of me!\Judging from your weight...\Would you like to make a deal?\Here.\When are you going to do it, Ikoma? response:	I can't wait anymore.
context: Warabi, I'm tired of you picking on the weak.\How could you do that?!\Let go of me!\Judging from your weight...\Would you like to make a deal?\Here.\When are you going to do it, Ikoma?\I can't wait anymore. response:	Hey, you're in the way.
context: How could you do that?!\Let go of me!\Judging from your weight...\Would you like to make a deal?\Here.\When are you going to do it, Ikoma?\I can't wait anymore.\Hey, you're in the way. response:	Hey, Ikoma!
context: Let go of me!\Judging from your weight...\Would you like to make a deal?\Here.\When are you going to do it, Ikoma?\I can't wait anymore.\Hey, you're in the way.\Hey, Ikoma! response:	Tomorrow night.
context: Judging from your weight...\Would you like to make a deal?\Here.\When are you going to do it, Ikoma?\I can't wait anymore.\Hey, you're in the way.\Hey, Ikoma!\Tomorrow night. response:	We'll do it when they come to take blood.
context: Would you like to make a deal?\Here.\When are you going to do it, Ikoma?\I can't wait anymore.\Hey, you're in the way.\Hey, Ikoma!\Tomorrow night.\We'll do it when they come to take blood. response:	Well, let's hear your answer, then.
context: Here.\When are you going to do it, Ikoma?\I can't wait anymore.\Hey, you're in the way.\Hey, Ikoma!\Tomorrow night.\We'll do it when they come to take blood.\Well, let's hear your answer, then. response:	With your uncle being Elder Makino...
context: When are you going to do it, Ikoma?\I can't wait anymore.\Hey, you're in the way.\Hey, Ikoma!\Tomorrow night.\We'll do it when they come to take blood.\Well, let's hear your answer, then.\With your uncle being Elder Makino... response:	I am to get them to open the gates to Diamond Citadel...
context: I can't wait anymore.\Hey, you're in the way.\Hey, Ikoma!\Tomorrow night.\We'll do it when they come to take blood.\Well, let's hear your answer, then.\With your uncle being Elder Makino...\I am to get them to open the gates to Diamond Citadel... response:	If you will guarantee me the safety of my people...
context: Hey, you're in the way.\Hey, Ikoma!\Tomorrow night.\We'll do it when they come to take blood.\Well, let's hear your answer, then.\With your uncle being Elder Makino...\I am to get them to open the gates to Diamond Citadel...\If you will guarantee me the safety of my people... response:	That is a wise decision.
context: Hey, Ikoma!\Tomorrow night.\We'll do it when they come to take blood.\Well, let's hear your answer, then.\With your uncle being Elder Makino...\I am to get them to open the gates to Diamond Citadel...\If you will guarantee me the safety of my people...\That is a wise decision. response:	But what do you plan to do after you meet with your father?
context: Tomorrow night.\We'll do it when they come to take blood.\Well, let's hear your answer, then.\With your uncle being Elder Makino...\I am to get them to open the gates to Diamond Citadel...\If you will guarantee me the safety of my people...\That is a wise decision.\But what do you plan to do after you meet with your father? response:	Ten years ago...
context: We'll do it when they come to take blood.\Well, let's hear your answer, then.\With your uncle being Elder Makino...\I am to get them to open the gates to Diamond Citadel...\If you will guarantee me the safety of my people...\That is a wise decision.\But what do you plan to do after you meet with your father?\Ten years ago... response:	I know.
context: Well, let's hear your answer, then.\With your uncle being Elder Makino...\I am to get them to open the gates to Diamond Citadel...\If you will guarantee me the safety of my people...\That is a wise decision.\But what do you plan to do after you meet with your father?\Ten years ago...\I know. response:	You were the commander despite being only 12 years old.
context: With your uncle being Elder Makino...\I am to get them to open the gates to Diamond Citadel...\If you will guarantee me the safety of my people...\That is a wise decision.\But what do you plan to do after you meet with your father?\Ten years ago...\I know.\You were the commander despite being only 12 years old. response:	When we landed in Kyushu...
context: I am to get them to open the gates to Diamond Citadel...\If you will guarantee me the safety of my people...\That is a wise decision.\But what do you plan to do after you meet with your father?\Ten years ago...\I know.\You were the commander despite being only 12 years old.\When we landed in Kyushu... response:	We established several bases...
context: If you will guarantee me the safety of my people...\That is a wise decision.\But what do you plan to do after you meet with your father?\Ten years ago...\I know.\You were the commander despite being only 12 years old.\When we landed in Kyushu...\We established several bases... response:	However, suddenly...
context: That is a wise decision.\But what do you plan to do after you meet with your father?\Ten years ago...\I know.\You were the commander despite being only 12 years old.\When we landed in Kyushu...\We established several bases...\However, suddenly... response:	We were...
context: But what do you plan to do after you meet with your father?\Ten years ago...\I know.\You were the commander despite being only 12 years old.\When we landed in Kyushu...\We established several bases...\However, suddenly...\We were... response:	My father was behind everything.
context: Ten years ago...\I know.\You were the commander despite being only 12 years old.\When we landed in Kyushu...\We established several bases...\However, suddenly...\We were...\My father was behind everything. response:	I have to punish my father with my own hands.
context: I know.\You were the commander despite being only 12 years old.\When we landed in Kyushu...\We established several bases...\However, suddenly...\We were...\My father was behind everything.\I have to punish my father with my own hands. response:	You want to take over Master Fortress's engine room?
context: You were the commander despite being only 12 years old.\When we landed in Kyushu...\We established several bases...\However, suddenly...\We were...\My father was behind everything.\I have to punish my father with my own hands.\You want to take over Master Fortress's engine room? response:	The engine room is the heart of a Railfort.
context: When we landed in Kyushu...\We established several bases...\However, suddenly...\We were...\My father was behind everything.\I have to punish my father with my own hands.\You want to take over Master Fortress's engine room?\The engine room is the heart of a Railfort. response:	If we can control it...
context: We established several bases...\However, suddenly...\We were...\My father was behind everything.\I have to punish my father with my own hands.\You want to take over Master Fortress's engine room?\The engine room is the heart of a Railfort.\If we can control it... response:	He will probably agree to release Ayame-sama and Nameless as well.
context: However, suddenly...\We were...\My father was behind everything.\I have to punish my father with my own hands.\You want to take over Master Fortress's engine room?\The engine room is the heart of a Railfort.\If we can control it...\He will probably agree to release Ayame-sama and Nameless as well. response:	But the engine room is located in the front car.
context: We were...\My father was behind everything.\I have to punish my father with my own hands.\You want to take over Master Fortress's engine room?\The engine room is the heart of a Railfort.\If we can control it...\He will probably agree to release Ayame-sama and Nameless as well.\But the engine room is located in the front car. response:	How are we supposed to make it that far?
context: My father was behind everything.\I have to punish my father with my own hands.\You want to take over Master Fortress's engine room?\The engine room is the heart of a Railfort.\If we can control it...\He will probably agree to release Ayame-sama and Nameless as well.\But the engine room is located in the front car.\How are we supposed to make it that far? response:	One of them...
context: I have to punish my father with my own hands.\You want to take over Master Fortress's engine room?\The engine room is the heart of a Railfort.\If we can control it...\He will probably agree to release Ayame-sama and Nameless as well.\But the engine room is located in the front car.\How are we supposed to make it that far?\One of them... response:	It's most likely to carry the blood to the front car where the Corpses are.
context: You want to take over Master Fortress's engine room?\The engine room is the heart of a Railfort.\If we can control it...\He will probably agree to release Ayame-sama and Nameless as well.\But the engine room is located in the front car.\How are we supposed to make it that far?\One of them...\It's most likely to carry the blood to the front car where the Corpses are. response:	Once a day during the night, he brings his keys.
context: The engine room is the heart of a Railfort.\If we can control it...\He will probably agree to release Ayame-sama and Nameless as well.\But the engine room is located in the front car.\How are we supposed to make it that far?\One of them...\It's most likely to carry the blood to the front car where the Corpses are.\Once a day during the night, he brings his keys. response:	We're going to steal them.
context: If we can control it...\He will probably agree to release Ayame-sama and Nameless as well.\But the engine room is located in the front car.\How are we supposed to make it that far?\One of them...\It's most likely to carry the blood to the front car where the Corpses are.\Once a day during the night, he brings his keys.\We're going to steal them. response:	It seems we have no other choice.
context: He will probably agree to release Ayame-sama and Nameless as well.\But the engine room is located in the front car.\How are we supposed to make it that far?\One of them...\It's most likely to carry the blood to the front car where the Corpses are.\Once a day during the night, he brings his keys.\We're going to steal them.\It seems we have no other choice. response:	The people won't be able to keep this up
context: But the engine room is located in the front car.\How are we supposed to make it that far?\One of them...\It's most likely to carry the blood to the front car where the Corpses are.\Once a day during the night, he brings his keys.\We're going to steal them.\It seems we have no other choice.\The people won't be able to keep this up response:	Biba plans to destroy Diamond Citadel.
context: How are we supposed to make it that far?\One of them...\It's most likely to carry the blood to the front car where the Corpses are.\Once a day during the night, he brings his keys.\We're going to steal them.\It seems we have no other choice.\The people won't be able to keep this up\Biba plans to destroy Diamond Citadel. response:	After we cross the Great Sea Harbor Bridge...
context: One of them...\It's most likely to carry the blood to the front car where the Corpses are.\Once a day during the night, he brings his keys.\We're going to steal them.\It seems we have no other choice.\The people won't be able to keep this up\Biba plans to destroy Diamond Citadel.\After we cross the Great Sea Harbor Bridge... response:	I'm worried about Ayame-sama as well.
context: It's most likely to carry the blood to the front car where the Corpses are.\Once a day during the night, he brings his keys.\We're going to steal them.\It seems we have no other choice.\The people won't be able to keep this up\Biba plans to destroy Diamond Citadel.\After we cross the Great Sea Harbor Bridge...\I'm worried about Ayame-sama as well. response:	If something were to happen,
context: Once a day during the night, he brings his keys.\We're going to steal them.\It seems we have no other choice.\The people won't be able to keep this up\Biba plans to destroy Diamond Citadel.\After we cross the Great Sea Harbor Bridge...\I'm worried about Ayame-sama as well.\If something were to happen, response:	I wouldn't be able to face Kurusu when he returns.
context: We're going to steal them.\It seems we have no other choice.\The people won't be able to keep this up\Biba plans to destroy Diamond Citadel.\After we cross the Great Sea Harbor Bridge...\I'm worried about Ayame-sama as well.\If something were to happen,\I wouldn't be able to face Kurusu when he returns. response:	You're right.
context: It seems we have no other choice.\The people won't be able to keep this up\Biba plans to destroy Diamond Citadel.\After we cross the Great Sea Harbor Bridge...\I'm worried about Ayame-sama as well.\If something were to happen,\I wouldn't be able to face Kurusu when he returns.\You're right. response:	We'll gather whatever we can use as weapons.
context: The people won't be able to keep this up\Biba plans to destroy Diamond Citadel.\After we cross the Great Sea Harbor Bridge...\I'm worried about Ayame-sama as well.\If something were to happen,\I wouldn't be able to face Kurusu when he returns.\You're right.\We'll gather whatever we can use as weapons. response:	Let's go.
context: Biba plans to destroy Diamond Citadel.\After we cross the Great Sea Harbor Bridge...\I'm worried about Ayame-sama as well.\If something were to happen,\I wouldn't be able to face Kurusu when he returns.\You're right.\We'll gather whatever we can use as weapons.\Let's go. response:	Yes, sir.
context: After we cross the Great Sea Harbor Bridge...\I'm worried about Ayame-sama as well.\If something were to happen,\I wouldn't be able to face Kurusu when he returns.\You're right.\We'll gather whatever we can use as weapons.\Let's go.\Yes, sir. response:	You think Nameless -chan will come back?
context: I'm worried about Ayame-sama as well.\If something were to happen,\I wouldn't be able to face Kurusu when he returns.\You're right.\We'll gather whatever we can use as weapons.\Let's go.\Yes, sir.\You think Nameless -chan will come back? response:	It doesn't matter.
context: If something were to happen,\I wouldn't be able to face Kurusu when he returns.\You're right.\We'll gather whatever we can use as weapons.\Let's go.\Yes, sir.\You think Nameless -chan will come back?\It doesn't matter. response:	I'm bringing her back whether she wants to come or not.
context: I wouldn't be able to face Kurusu when he returns.\You're right.\We'll gather whatever we can use as weapons.\Let's go.\Yes, sir.\You think Nameless -chan will come back?\It doesn't matter.\I'm bringing her back whether she wants to come or not. response:	That's what I've decided.
context: You're right.\We'll gather whatever we can use as weapons.\Let's go.\Yes, sir.\You think Nameless -chan will come back?\It doesn't matter.\I'm bringing her back whether she wants to come or not.\That's what I've decided. response:	Is Nameless -chan a lot like Hatsune-chan?
context: We'll gather whatever we can use as weapons.\Let's go.\Yes, sir.\You think Nameless -chan will come back?\It doesn't matter.\I'm bringing her back whether she wants to come or not.\That's what I've decided.\Is Nameless -chan a lot like Hatsune-chan? response:	My sister?
context: Let's go.\Yes, sir.\You think Nameless -chan will come back?\It doesn't matter.\I'm bringing her back whether she wants to come or not.\That's what I've decided.\Is Nameless -chan a lot like Hatsune-chan?\My sister? response:	Not even a little bit.
context: Yes, sir.\You think Nameless -chan will come back?\It doesn't matter.\I'm bringing her back whether she wants to come or not.\That's what I've decided.\Is Nameless -chan a lot like Hatsune-chan?\My sister?\Not even a little bit. response:	Please don't compare her to that brute.
context: You think Nameless -chan will come back?\It doesn't matter.\I'm bringing her back whether she wants to come or not.\That's what I've decided.\Is Nameless -chan a lot like Hatsune-chan?\My sister?\Not even a little bit.\Please don't compare her to that brute. response:	They might be about the same height, but that's all.
context: It doesn't matter.\I'm bringing her back whether she wants to come or not.\That's what I've decided.\Is Nameless -chan a lot like Hatsune-chan?\My sister?\Not even a little bit.\Please don't compare her to that brute.\They might be about the same height, but that's all. response:	I see.
context: I'm bringing her back whether she wants to come or not.\That's what I've decided.\Is Nameless -chan a lot like Hatsune-chan?\My sister?\Not even a little bit.\Please don't compare her to that brute.\They might be about the same height, but that's all.\I see. response:	It's just...
context: That's what I've decided.\Is Nameless -chan a lot like Hatsune-chan?\My sister?\Not even a little bit.\Please don't compare her to that brute.\They might be about the same height, but that's all.\I see.\It's just... response:	Someone?
context: Is Nameless -chan a lot like Hatsune-chan?\My sister?\Not even a little bit.\Please don't compare her to that brute.\They might be about the same height, but that's all.\I see.\It's just...\Someone? response:	Yeah.
context: My sister?\Not even a little bit.\Please don't compare her to that brute.\They might be about the same height, but that's all.\I see.\It's just...\Someone?\Yeah. response:	Go save her this time. You'd better not run.
context: Not even a little bit.\Please don't compare her to that brute.\They might be about the same height, but that's all.\I see.\It's just...\Someone?\Yeah.\Go save her this time. You'd better not run. response:	I wonder who...
context: Please don't compare her to that brute.\They might be about the same height, but that's all.\I see.\It's just...\Someone?\Yeah.\Go save her this time. You'd better not run.\I wonder who... response:	Maybe God?
context: They might be about the same height, but that's all.\I see.\It's just...\Someone?\Yeah.\Go save her this time. You'd better not run.\I wonder who...\Maybe God? response:	No.
context: I see.\It's just...\Someone?\Yeah.\Go save her this time. You'd better not run.\I wonder who...\Maybe God?\No. response:	It's coming from you.
context: It's just...\Someone?\Yeah.\Go save her this time. You'd better not run.\I wonder who...\Maybe God?\No.\It's coming from you. response:	I see. You might be right.
context: Someone?\Yeah.\Go save her this time. You'd better not run.\I wonder who...\Maybe God?\No.\It's coming from you.\I see. You might be right. response:	I recently finally figured out how you think.
context: Yeah.\Go save her this time. You'd better not run.\I wonder who...\Maybe God?\No.\It's coming from you.\I see. You might be right.\I recently finally figured out how you think. response:	Only now?
context: Go save her this time. You'd better not run.\I wonder who...\Maybe God?\No.\It's coming from you.\I see. You might be right.\I recently finally figured out how you think.\Only now? response:	Then do you know how I think?
context: I wonder who...\Maybe God?\No.\It's coming from you.\I see. You might be right.\I recently finally figured out how you think.\Only now?\Then do you know how I think? response:	No, but you figured it out.
context: Maybe God?\No.\It's coming from you.\I see. You might be right.\I recently finally figured out how you think.\Only now?\Then do you know how I think?\No, but you figured it out. response:	Because you're simple.
context: No.\It's coming from you.\I see. You might be right.\I recently finally figured out how you think.\Only now?\Then do you know how I think?\No, but you figured it out.\Because you're simple. response:	What the hell?
context: It's coming from you.\I see. You might be right.\I recently finally figured out how you think.\Only now?\Then do you know how I think?\No, but you figured it out.\Because you're simple.\What the hell? response:	Sorry, I take it back
context: I see. You might be right.\I recently finally figured out how you think.\Only now?\Then do you know how I think?\No, but you figured it out.\Because you're simple.\What the hell?\Sorry, I take it back response:	Are we really going to continue our plan without Soue-sama?
context: I recently finally figured out how you think.\Only now?\Then do you know how I think?\No, but you figured it out.\Because you're simple.\What the hell?\Sorry, I take it back\Are we really going to continue our plan without Soue-sama? response:	We have no other choice.
context: Only now?\Then do you know how I think?\No, but you figured it out.\Because you're simple.\What the hell?\Sorry, I take it back\Are we really going to continue our plan without Soue-sama?\We have no other choice. response:	Don't play dumb!
context: Then do you know how I think?\No, but you figured it out.\Because you're simple.\What the hell?\Sorry, I take it back\Are we really going to continue our plan without Soue-sama?\We have no other choice.\Don't play dumb! response:	You're the ones who turned Fireless in to that hybrid colony, right?
context: No, but you figured it out.\Because you're simple.\What the hell?\Sorry, I take it back\Are we really going to continue our plan without Soue-sama?\We have no other choice.\Don't play dumb!\You're the ones who turned Fireless in to that hybrid colony, right? response:	Why did you?
context: Because you're simple.\What the hell?\Sorry, I take it back\Are we really going to continue our plan without Soue-sama?\We have no other choice.\Don't play dumb!\You're the ones who turned Fireless in to that hybrid colony, right?\Why did you? response:	I don't know what you're talking about.
context: What the hell?\Sorry, I take it back\Are we really going to continue our plan without Soue-sama?\We have no other choice.\Don't play dumb!\You're the ones who turned Fireless in to that hybrid colony, right?\Why did you?\I don't know what you're talking about. response:	Aren't you Tasuke?
context: Sorry, I take it back\Are we really going to continue our plan without Soue-sama?\We have no other choice.\Don't play dumb!\You're the ones who turned Fireless in to that hybrid colony, right?\Why did you?\I don't know what you're talking about.\Aren't you Tasuke? response:	What happened to you?!
context: Are we really going to continue our plan without Soue-sama?\We have no other choice.\Don't play dumb!\You're the ones who turned Fireless in to that hybrid colony, right?\Why did you?\I don't know what you're talking about.\Aren't you Tasuke?\What happened to you?! response:	Don't move!
context: We have no other choice.\Don't play dumb!\You're the ones who turned Fireless in to that hybrid colony, right?\Why did you?\I don't know what you're talking about.\Aren't you Tasuke?\What happened to you?!\Don't move! response:	Okay, just keep applying pressure on it with gauze.
context: Don't play dumb!\You're the ones who turned Fireless in to that hybrid colony, right?\Why did you?\I don't know what you're talking about.\Aren't you Tasuke?\What happened to you?!\Don't move!\Okay, just keep applying pressure on it with gauze. response:	Brother!
context: You're the ones who turned Fireless in to that hybrid colony, right?\Why did you?\I don't know what you're talking about.\Aren't you Tasuke?\What happened to you?!\Don't move!\Okay, just keep applying pressure on it with gauze.\Brother! response:	You're taking blood from the people on the Iron Fortress?
context: Why did you?\I don't know what you're talking about.\Aren't you Tasuke?\What happened to you?!\Don't move!\Okay, just keep applying pressure on it with gauze.\Brother!\You're taking blood from the people on the Iron Fortress? response:	Why are you doing that?
context: I don't know what you're talking about.\Aren't you Tasuke?\What happened to you?!\Don't move!\Okay, just keep applying pressure on it with gauze.\Brother!\You're taking blood from the people on the Iron Fortress?\Why are you doing that? response:	Brother!
context: Aren't you Tasuke?\What happened to you?!\Don't move!\Okay, just keep applying pressure on it with gauze.\Brother!\You're taking blood from the people on the Iron Fortress?\Why are you doing that?\Brother! response:	I wonder, what do you think the Corpses are... Nameless?
context: What happened to you?!\Don't move!\Okay, just keep applying pressure on it with gauze.\Brother!\You're taking blood from the people on the Iron Fortress?\Why are you doing that?\Brother!\I wonder, what do you think the Corpses are... Nameless? response:	They suddenly appeared one day...
context: Don't move!\Okay, just keep applying pressure on it with gauze.\Brother!\You're taking blood from the people on the Iron Fortress?\Why are you doing that?\Brother!\I wonder, what do you think the Corpses are... Nameless?\They suddenly appeared one day... response:	The Corpses are our enemy.
context: Okay, just keep applying pressure on it with gauze.\Brother!\You're taking blood from the people on the Iron Fortress?\Why are you doing that?\Brother!\I wonder, what do you think the Corpses are... Nameless?\They suddenly appeared one day...\The Corpses are our enemy. response:	They need to be destroyed.
context: Brother!\You're taking blood from the people on the Iron Fortress?\Why are you doing that?\Brother!\I wonder, what do you think the Corpses are... Nameless?\They suddenly appeared one day...\The Corpses are our enemy.\They need to be destroyed. response:	But... thanks to them...
context: You're taking blood from the people on the Iron Fortress?\Why are you doing that?\Brother!\I wonder, what do you think the Corpses are... Nameless?\They suddenly appeared one day...\The Corpses are our enemy.\They need to be destroyed.\But... thanks to them... response:	I thought you were going to go meet with your father in Diamond Citadel.
context: Why are you doing that?\Brother!\I wonder, what do you think the Corpses are... Nameless?\They suddenly appeared one day...\The Corpses are our enemy.\They need to be destroyed.\But... thanks to them...\I thought you were going to go meet with your father in Diamond Citadel. response:	I see.
context: Brother!\I wonder, what do you think the Corpses are... Nameless?\They suddenly appeared one day...\The Corpses are our enemy.\They need to be destroyed.\But... thanks to them...\I thought you were going to go meet with your father in Diamond Citadel.\I see. response:	Do you fear me... Nameless?
context: I wonder, what do you think the Corpses are... Nameless?\They suddenly appeared one day...\The Corpses are our enemy.\They need to be destroyed.\But... thanks to them...\I thought you were going to go meet with your father in Diamond Citadel.\I see.\Do you fear me... Nameless? response:	Young Master...
context: They suddenly appeared one day...\The Corpses are our enemy.\They need to be destroyed.\But... thanks to them...\I thought you were going to go meet with your father in Diamond Citadel.\I see.\Do you fear me... Nameless?\Young Master... response:	No problem.
context: The Corpses are our enemy.\They need to be destroyed.\But... thanks to them...\I thought you were going to go meet with your father in Diamond Citadel.\I see.\Do you fear me... Nameless?\Young Master...\No problem. response:	Nameless.
context: They need to be destroyed.\But... thanks to them...\I thought you were going to go meet with your father in Diamond Citadel.\I see.\Do you fear me... Nameless?\Young Master...\No problem.\Nameless. response:	I see that you like the people of Iron Fortress.
context: But... thanks to them...\I thought you were going to go meet with your father in Diamond Citadel.\I see.\Do you fear me... Nameless?\Young Master...\No problem.\Nameless.\I see that you like the people of Iron Fortress. response:	It must have been a good journey for you.
context: I thought you were going to go meet with your father in Diamond Citadel.\I see.\Do you fear me... Nameless?\Young Master...\No problem.\Nameless.\I see that you like the people of Iron Fortress.\It must have been a good journey for you. response:	Okay.
context: I see.\Do you fear me... Nameless?\Young Master...\No problem.\Nameless.\I see that you like the people of Iron Fortress.\It must have been a good journey for you.\Okay. response:	I will send notice that they shall not be harmed as long as they remain peaceful.
context: Do you fear me... Nameless?\Young Master...\No problem.\Nameless.\I see that you like the people of Iron Fortress.\It must have been a good journey for you.\Okay.\I will send notice that they shall not be harmed as long as they remain peaceful. response:	Thank you, brother!
context: Young Master...\No problem.\Nameless.\I see that you like the people of Iron Fortress.\It must have been a good journey for you.\Okay.\I will send notice that they shall not be harmed as long as they remain peaceful.\Thank you, brother! response:	Does she require repairs?
context: No problem.\Nameless.\I see that you like the people of Iron Fortress.\It must have been a good journey for you.\Okay.\I will send notice that they shall not be harmed as long as they remain peaceful.\Thank you, brother!\Does she require repairs? response:	Very serious repairs.
context: Nameless.\I see that you like the people of Iron Fortress.\It must have been a good journey for you.\Okay.\I will send notice that they shall not be harmed as long as they remain peaceful.\Thank you, brother!\Does she require repairs?\Very serious repairs. response:	What else should we review?
context: I see that you like the people of Iron Fortress.\It must have been a good journey for you.\Okay.\I will send notice that they shall not be harmed as long as they remain peaceful.\Thank you, brother!\Does she require repairs?\Very serious repairs.\What else should we review? response:	If we get Takumi to do number three...
context: It must have been a good journey for you.\Okay.\I will send notice that they shall not be harmed as long as they remain peaceful.\Thank you, brother!\Does she require repairs?\Very serious repairs.\What else should we review?\If we get Takumi to do number three... response:	I can offer my support on that.
context: Okay.\I will send notice that they shall not be harmed as long as they remain peaceful.\Thank you, brother!\Does she require repairs?\Very serious repairs.\What else should we review?\If we get Takumi to do number three...\I can offer my support on that. response:	Thank you.
