context: That far off future was suddenly upon us... response:	And soon, it too will become a passing memory.
context: Alicia, good morning.\My, good morning, Akari.\Umm... I put on my uniform.\My, my!\Yes, it looks great on you!\W-What is it?\I'm just happy, that's all.\We heard! We heard! response:	Ah, yeah. I've become a Prima, too.
context: My, good morning, Akari.\Umm... I put on my uniform.\My, my!\Yes, it looks great on you!\W-What is it?\I'm just happy, that's all.\We heard! We heard!\Ah, yeah. I've become a Prima, too. response:	Ah, yeah, congratulations.
context: Umm... I put on my uniform.\My, my!\Yes, it looks great on you!\W-What is it?\I'm just happy, that's all.\We heard! We heard!\Ah, yeah. I've become a Prima, too.\Ah, yeah, congratulations. response:	Really congratulations.
context: My, my!\Yes, it looks great on you!\W-What is it?\I'm just happy, that's all.\We heard! We heard!\Ah, yeah. I've become a Prima, too.\Ah, yeah, congratulations.\Really congratulations. response:	Ehh? That's it?
context: Yes, it looks great on you!\W-What is it?\I'm just happy, that's all.\We heard! We heard!\Ah, yeah. I've become a Prima, too.\Ah, yeah, congratulations.\Really congratulations.\Ehh? That's it? response:	This is no time for that!
context: W-What is it?\I'm just happy, that's all.\We heard! We heard!\Ah, yeah. I've become a Prima, too.\Ah, yeah, congratulations.\Really congratulations.\Ehh? That's it?\This is no time for that! response:	Is it true that Alicia's retiring because she's getting married?
context: I'm just happy, that's all.\We heard! We heard!\Ah, yeah. I've become a Prima, too.\Ah, yeah, congratulations.\Really congratulations.\Ehh? That's it?\This is no time for that!\Is it true that Alicia's retiring because she's getting married? response:	Is it true?
context: We heard! We heard!\Ah, yeah. I've become a Prima, too.\Ah, yeah, congratulations.\Really congratulations.\Ehh? That's it?\This is no time for that!\Is it true that Alicia's retiring because she's getting married?\Is it true? response:	Yeah.
context: Ah, yeah. I've become a Prima, too.\Ah, yeah, congratulations.\Really congratulations.\Ehh? That's it?\This is no time for that!\Is it true that Alicia's retiring because she's getting married?\Is it true?\Yeah. response:	That's not the only reason for her retirement, though.
context: Ah, yeah, congratulations.\Really congratulations.\Ehh? That's it?\This is no time for that!\Is it true that Alicia's retiring because she's getting married?\Is it true?\Yeah.\That's not the only reason for her retirement, though. response:	Apparently the Gondola Association has wanted Alicia to be a Managing Director for a while now.
context: Really congratulations.\Ehh? That's it?\This is no time for that!\Is it true that Alicia's retiring because she's getting married?\Is it true?\Yeah.\That's not the only reason for her retirement, though.\Apparently the Gondola Association has wanted Alicia to be a Managing Director for a while now. response:	They said they'd like her to work not only for the future of the Aria Company,
context: Ehh? That's it?\This is no time for that!\Is it true that Alicia's retiring because she's getting married?\Is it true?\Yeah.\That's not the only reason for her retirement, though.\Apparently the Gondola Association has wanted Alicia to be a Managing Director for a while now.\They said they'd like her to work not only for the future of the Aria Company, response:	but for the future of the entire Water Guide Industry.
context: This is no time for that!\Is it true that Alicia's retiring because she's getting married?\Is it true?\Yeah.\That's not the only reason for her retirement, though.\Apparently the Gondola Association has wanted Alicia to be a Managing Director for a while now.\They said they'd like her to work not only for the future of the Aria Company,\but for the future of the entire Water Guide Industry. response:	But regardless of how amazing Alicia is, it's impossible for her to hold both jobs.
context: Is it true that Alicia's retiring because she's getting married?\Is it true?\Yeah.\That's not the only reason for her retirement, though.\Apparently the Gondola Association has wanted Alicia to be a Managing Director for a while now.\They said they'd like her to work not only for the future of the Aria Company,\but for the future of the entire Water Guide Industry.\But regardless of how amazing Alicia is, it's impossible for her to hold both jobs. response:	Apparently she asked them to wait until I became a Prima.
context: Is it true?\Yeah.\That's not the only reason for her retirement, though.\Apparently the Gondola Association has wanted Alicia to be a Managing Director for a while now.\They said they'd like her to work not only for the future of the Aria Company,\but for the future of the entire Water Guide Industry.\But regardless of how amazing Alicia is, it's impossible for her to hold both jobs.\Apparently she asked them to wait until I became a Prima. response:	I was really surprised about her marriage, too.
context: Yeah.\That's not the only reason for her retirement, though.\Apparently the Gondola Association has wanted Alicia to be a Managing Director for a while now.\They said they'd like her to work not only for the future of the Aria Company,\but for the future of the entire Water Guide Industry.\But regardless of how amazing Alicia is, it's impossible for her to hold both jobs.\Apparently she asked them to wait until I became a Prima.\I was really surprised about her marriage, too. response:	I think she was waiting on that as well, until I became a Prima.
context: That's not the only reason for her retirement, though.\Apparently the Gondola Association has wanted Alicia to be a Managing Director for a while now.\They said they'd like her to work not only for the future of the Aria Company,\but for the future of the entire Water Guide Industry.\But regardless of how amazing Alicia is, it's impossible for her to hold both jobs.\Apparently she asked them to wait until I became a Prima.\I was really surprised about her marriage, too.\I think she was waiting on that as well, until I became a Prima. response:	If only I had been more dependable...
context: Apparently the Gondola Association has wanted Alicia to be a Managing Director for a while now.\They said they'd like her to work not only for the future of the Aria Company,\but for the future of the entire Water Guide Industry.\But regardless of how amazing Alicia is, it's impossible for her to hold both jobs.\Apparently she asked them to wait until I became a Prima.\I was really surprised about her marriage, too.\I think she was waiting on that as well, until I became a Prima.\If only I had been more dependable... response:	Ah, it's the phone.
context: They said they'd like her to work not only for the future of the Aria Company,\but for the future of the entire Water Guide Industry.\But regardless of how amazing Alicia is, it's impossible for her to hold both jobs.\Apparently she asked them to wait until I became a Prima.\I was really surprised about her marriage, too.\I think she was waiting on that as well, until I became a Prima.\If only I had been more dependable...\Ah, it's the phone. response:	Hello, this is the Aria...
context: but for the future of the entire Water Guide Industry.\But regardless of how amazing Alicia is, it's impossible for her to hold both jobs.\Apparently she asked them to wait until I became a Prima.\I was really surprised about her marriage, too.\I think she was waiting on that as well, until I became a Prima.\If only I had been more dependable...\Ah, it's the phone.\Hello, this is the Aria... response:	Sideburns!! Hello, this is the Aria...
context: But regardless of how amazing Alicia is, it's impossible for her to hold both jobs.\Apparently she asked them to wait until I became a Prima.\I was really surprised about her marriage, too.\I think she was waiting on that as well, until I became a Prima.\If only I had been more dependable...\Ah, it's the phone.\Hello, this is the Aria...\Sideburns!! Hello, this is the Aria... response:	Sideburns!!
context: Apparently she asked them to wait until I became a Prima.\I was really surprised about her marriage, too.\I think she was waiting on that as well, until I became a Prima.\If only I had been more dependable...\Ah, it's the phone.\Hello, this is the Aria...\Sideburns!! Hello, this is the Aria...\Sideburns!! response:	Akatsuki...
context: I was really surprised about her marriage, too.\I think she was waiting on that as well, until I became a Prima.\If only I had been more dependable...\Ah, it's the phone.\Hello, this is the Aria...\Sideburns!! Hello, this is the Aria...\Sideburns!!\Akatsuki... response:	Is A-A-A-Alicia really getting m-m-m-married?
context: I think she was waiting on that as well, until I became a Prima.\If only I had been more dependable...\Ah, it's the phone.\Hello, this is the Aria...\Sideburns!! Hello, this is the Aria...\Sideburns!!\Akatsuki...\Is A-A-A-Alicia really getting m-m-m-married? response:	It's not true, right? Please tell me it's not true!
context: If only I had been more dependable...\Ah, it's the phone.\Hello, this is the Aria...\Sideburns!! Hello, this is the Aria...\Sideburns!!\Akatsuki...\Is A-A-A-Alicia really getting m-m-m-married?\It's not true, right? Please tell me it's not true! response:	It's true.
context: Ah, it's the phone.\Hello, this is the Aria...\Sideburns!! Hello, this is the Aria...\Sideburns!!\Akatsuki...\Is A-A-A-Alicia really getting m-m-m-married?\It's not true, right? Please tell me it's not true!\It's true. response:	We've been getting a storm of inquiries by phone and email all morning.
context: Hello, this is the Aria...\Sideburns!! Hello, this is the Aria...\Sideburns!!\Akatsuki...\Is A-A-A-Alicia really getting m-m-m-married?\It's not true, right? Please tell me it's not true!\It's true.\We've been getting a storm of inquiries by phone and email all morning. response:	I wonder where everyone is hearing the news from?
context: Sideburns!! Hello, this is the Aria...\Sideburns!!\Akatsuki...\Is A-A-A-Alicia really getting m-m-m-married?\It's not true, right? Please tell me it's not true!\It's true.\We've been getting a storm of inquiries by phone and email all morning.\I wonder where everyone is hearing the news from? response:	Do you remember that day Oboeteimasuka ano hi o
context: Sideburns!!\Akatsuki...\Is A-A-A-Alicia really getting m-m-m-married?\It's not true, right? Please tell me it's not true!\It's true.\We've been getting a storm of inquiries by phone and email all morning.\I wonder where everyone is hearing the news from?\Do you remember that day Oboeteimasuka ano hi o response:	When your heart suddenly began to race Futo kanjita tokimeki o
context: Akatsuki...\Is A-A-A-Alicia really getting m-m-m-married?\It's not true, right? Please tell me it's not true!\It's true.\We've been getting a storm of inquiries by phone and email all morning.\I wonder where everyone is hearing the news from?\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o response:	The rays from the blue sky were pouring over you... Aoi hizashi abite
context: Is A-A-A-Alicia really getting m-m-m-married?\It's not true, right? Please tell me it's not true!\It's true.\We've been getting a storm of inquiries by phone and email all morning.\I wonder where everyone is hearing the news from?\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite response:	I couldn't look away, and when our eyes met Mitoreru to me ga atte
context: It's not true, right? Please tell me it's not true!\It's true.\We've been getting a storm of inquiries by phone and email all morning.\I wonder where everyone is hearing the news from?\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte response:	I couldn't help but smile Egao koboreta
context: It's true.\We've been getting a storm of inquiries by phone and email all morning.\I wonder where everyone is hearing the news from?\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta response:	It's just like a spiral Marude supiraare
context: We've been getting a storm of inquiries by phone and email all morning.\I wonder where everyone is hearing the news from?\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare response:	As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi
context: I wonder where everyone is hearing the news from?\Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi response:	Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita
context: Do you remember that day Oboeteimasuka ano hi o\When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita response:	Surely, it's a spiral Kitto supiraare
context: When your heart suddenly began to race Futo kanjita tokimeki o\The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare response:	The days passed by, each one filled with warmth Atataka na mainichi o kasanetara
context: The rays from the blue sky were pouring over you... Aoi hizashi abite\I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara response:	And before I knew it, off in the distance... Itsunomanika tooku ni
context: I couldn't look away, and when our eyes met Mitoreru to me ga atte\I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni response:	To That New Beginning...
context: I couldn't help but smile Egao koboreta\It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\To That New Beginning... response:	So?
context: It's just like a spiral Marude supiraare\As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\To That New Beginning...\So? response:	Are you all right?
context: As the days begin to swirl in brilliant colors Azayaka ni mawaridashita hibi\Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\To That New Beginning...\So?\Are you all right? response:	Huh?
context: Always and forever, they're filled with love Itsumo itsudemo ai ga michiteita\Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\To That New Beginning...\So?\Are you all right?\Huh? response:	Ah, yeah.
context: Surely, it's a spiral Kitto supiraare\The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\To That New Beginning...\So?\Are you all right?\Huh?\Ah, yeah. response:	Alicia said she'd stay until things calm down at the company.
context: The days passed by, each one filled with warmth Atataka na mainichi o kasanetara\And before I knew it, off in the distance... Itsunomanika tooku ni\To That New Beginning...\So?\Are you all right?\Huh?\Ah, yeah.\Alicia said she'd stay until things calm down at the company. response:	And the association will be handling her retirement ceremony, so...
context: And before I knew it, off in the distance... Itsunomanika tooku ni\To That New Beginning...\So?\Are you all right?\Huh?\Ah, yeah.\Alicia said she'd stay until things calm down at the company.\And the association will be handling her retirement ceremony, so... response:	That's not what we mean, Akari. Are you all right?
context: To That New Beginning...\So?\Are you all right?\Huh?\Ah, yeah.\Alicia said she'd stay until things calm down at the company.\And the association will be handling her retirement ceremony, so...\That's not what we mean, Akari. Are you all right? response:	We're really worried.
context: So?\Are you all right?\Huh?\Ah, yeah.\Alicia said she'd stay until things calm down at the company.\And the association will be handling her retirement ceremony, so...\That's not what we mean, Akari. Are you all right?\We're really worried. response:	Yeah.
context: Are you all right?\Huh?\Ah, yeah.\Alicia said she'd stay until things calm down at the company.\And the association will be handling her retirement ceremony, so...\That's not what we mean, Akari. Are you all right?\We're really worried.\Yeah. response:	Thank you, Aika, Alice.
context: Huh?\Ah, yeah.\Alicia said she'd stay until things calm down at the company.\And the association will be handling her retirement ceremony, so...\That's not what we mean, Akari. Are you all right?\We're really worried.\Yeah.\Thank you, Aika, Alice. response:	I'm sure...
context: Ah, yeah.\Alicia said she'd stay until things calm down at the company.\And the association will be handling her retirement ceremony, so...\That's not what we mean, Akari. Are you all right?\We're really worried.\Yeah.\Thank you, Aika, Alice.\I'm sure... response:	Yes...
context: Alicia said she'd stay until things calm down at the company.\And the association will be handling her retirement ceremony, so...\That's not what we mean, Akari. Are you all right?\We're really worried.\Yeah.\Thank you, Aika, Alice.\I'm sure...\Yes... response:	I'm sure...
context: And the association will be handling her retirement ceremony, so...\That's not what we mean, Akari. Are you all right?\We're really worried.\Yeah.\Thank you, Aika, Alice.\I'm sure...\Yes...\I'm sure... response:	Ever since the day she told me about her retirement,
context: That's not what we mean, Akari. Are you all right?\We're really worried.\Yeah.\Thank you, Aika, Alice.\I'm sure...\Yes...\I'm sure...\Ever since the day she told me about her retirement, response:	I've been really busy with a lot of things.
context: We're really worried.\Yeah.\Thank you, Aika, Alice.\I'm sure...\Yes...\I'm sure...\Ever since the day she told me about her retirement,\I've been really busy with a lot of things. response:	The days have become really hectic.
context: Yeah.\Thank you, Aika, Alice.\I'm sure...\Yes...\I'm sure...\Ever since the day she told me about her retirement,\I've been really busy with a lot of things.\The days have become really hectic. response:	But Alicia is always smiling.
context: Thank you, Aika, Alice.\I'm sure...\Yes...\I'm sure...\Ever since the day she told me about her retirement,\I've been really busy with a lot of things.\The days have become really hectic.\But Alicia is always smiling. response:	Not one thing has changed about our days here.
context: I'm sure...\Yes...\I'm sure...\Ever since the day she told me about her retirement,\I've been really busy with a lot of things.\The days have become really hectic.\But Alicia is always smiling.\Not one thing has changed about our days here. response:	Time is passing by like it always has.
context: Yes...\I'm sure...\Ever since the day she told me about her retirement,\I've been really busy with a lot of things.\The days have become really hectic.\But Alicia is always smiling.\Not one thing has changed about our days here.\Time is passing by like it always has. response:	These are gentle...
context: I'm sure...\Ever since the day she told me about her retirement,\I've been really busy with a lot of things.\The days have become really hectic.\But Alicia is always smiling.\Not one thing has changed about our days here.\Time is passing by like it always has.\These are gentle... response:	Alicia is here.
context: Ever since the day she told me about her retirement,\I've been really busy with a lot of things.\The days have become really hectic.\But Alicia is always smiling.\Not one thing has changed about our days here.\Time is passing by like it always has.\These are gentle...\Alicia is here. response:	President Aria is here.
context: I've been really busy with a lot of things.\The days have become really hectic.\But Alicia is always smiling.\Not one thing has changed about our days here.\Time is passing by like it always has.\These are gentle...\Alicia is here.\President Aria is here. response:	And I'm here.
context: The days have become really hectic.\But Alicia is always smiling.\Not one thing has changed about our days here.\Time is passing by like it always has.\These are gentle...\Alicia is here.\President Aria is here.\And I'm here. response:	That's why I'll be all right.
context: But Alicia is always smiling.\Not one thing has changed about our days here.\Time is passing by like it always has.\These are gentle...\Alicia is here.\President Aria is here.\And I'm here.\That's why I'll be all right. response:	Huh?
context: Not one thing has changed about our days here.\Time is passing by like it always has.\These are gentle...\Alicia is here.\President Aria is here.\And I'm here.\That's why I'll be all right.\Huh? response:	What did this number mean, again?
context: Time is passing by like it always has.\These are gentle...\Alicia is here.\President Aria is here.\And I'm here.\That's why I'll be all right.\Huh?\What did this number mean, again? response:	I'm sorry, Alicia. About this document...
context: These are gentle...\Alicia is here.\President Aria is here.\And I'm here.\That's why I'll be all right.\Huh?\What did this number mean, again?\I'm sorry, Alicia. About this document... response:	Alicia?
context: Alicia is here.\President Aria is here.\And I'm here.\That's why I'll be all right.\Huh?\What did this number mean, again?\I'm sorry, Alicia. About this document...\Alicia? response:	Alicia...
context: President Aria is here.\And I'm here.\That's why I'll be all right.\Huh?\What did this number mean, again?\I'm sorry, Alicia. About this document...\Alicia?\Alicia... response:	There was something in that document I didn't understand, so I was looking for you.
context: And I'm here.\That's why I'll be all right.\Huh?\What did this number mean, again?\I'm sorry, Alicia. About this document...\Alicia?\Alicia...\There was something in that document I didn't understand, so I was looking for you. response:	A customer had brought me flowers, so...
context: That's why I'll be all right.\Huh?\What did this number mean, again?\I'm sorry, Alicia. About this document...\Alicia?\Alicia...\There was something in that document I didn't understand, so I was looking for you.\A customer had brought me flowers, so... response:	I see...
context: Huh?\What did this number mean, again?\I'm sorry, Alicia. About this document...\Alicia?\Alicia...\There was something in that document I didn't understand, so I was looking for you.\A customer had brought me flowers, so...\I see... response:	Huh?
context: What did this number mean, again?\I'm sorry, Alicia. About this document...\Alicia?\Alicia...\There was something in that document I didn't understand, so I was looking for you.\A customer had brought me flowers, so...\I see...\Huh? response:	It's because no one wants you to retire.
context: I'm sorry, Alicia. About this document...\Alicia?\Alicia...\There was something in that document I didn't understand, so I was looking for you.\A customer had brought me flowers, so...\I see...\Huh?\It's because no one wants you to retire. response:	Your customers... The people of this city...
context: Alicia?\Alicia...\There was something in that document I didn't understand, so I was looking for you.\A customer had brought me flowers, so...\I see...\Huh?\It's because no one wants you to retire.\Your customers... The people of this city... response:	Everyone really... really loves you, Alicia!
context: Alicia...\There was something in that document I didn't understand, so I was looking for you.\A customer had brought me flowers, so...\I see...\Huh?\It's because no one wants you to retire.\Your customers... The people of this city...\Everyone really... really loves you, Alicia! response:	You're one of the Three Great Water Fairies...
context: There was something in that document I didn't understand, so I was looking for you.\A customer had brought me flowers, so...\I see...\Huh?\It's because no one wants you to retire.\Your customers... The people of this city...\Everyone really... really loves you, Alicia!\You're one of the Three Great Water Fairies... response:	You're always kind...
context: A customer had brought me flowers, so...\I see...\Huh?\It's because no one wants you to retire.\Your customers... The people of this city...\Everyone really... really loves you, Alicia!\You're one of the Three Great Water Fairies...\You're always kind... response:	You're everyone's Snow White...
context: I see...\Huh?\It's because no one wants you to retire.\Your customers... The people of this city...\Everyone really... really loves you, Alicia!\You're one of the Three Great Water Fairies...\You're always kind...\You're everyone's Snow White... response:	That's why everyone wants you to stay...
context: Huh?\It's because no one wants you to retire.\Your customers... The people of this city...\Everyone really... really loves you, Alicia!\You're one of the Three Great Water Fairies...\You're always kind...\You're everyone's Snow White...\That's why everyone wants you to stay... response:	Huh? I'm sorry.
context: It's because no one wants you to retire.\Your customers... The people of this city...\Everyone really... really loves you, Alicia!\You're one of the Three Great Water Fairies...\You're always kind...\You're everyone's Snow White...\That's why everyone wants you to stay...\Huh? I'm sorry. response:	I wonder why?
context: Your customers... The people of this city...\Everyone really... really loves you, Alicia!\You're one of the Three Great Water Fairies...\You're always kind...\You're everyone's Snow White...\That's why everyone wants you to stay...\Huh? I'm sorry.\I wonder why? response:	My tears... They won't stop...
context: Everyone really... really loves you, Alicia!\You're one of the Three Great Water Fairies...\You're always kind...\You're everyone's Snow White...\That's why everyone wants you to stay...\Huh? I'm sorry.\I wonder why?\My tears... They won't stop... response:	Alicia...
context: You're one of the Three Great Water Fairies...\You're always kind...\You're everyone's Snow White...\That's why everyone wants you to stay...\Huh? I'm sorry.\I wonder why?\My tears... They won't stop...\Alicia... response:	The truth is...
context: You're always kind...\You're everyone's Snow White...\That's why everyone wants you to stay...\Huh? I'm sorry.\I wonder why?\My tears... They won't stop...\Alicia...\The truth is... response:	The truth is, you've had the skill to become a Prima for a long time now.
context: You're everyone's Snow White...\That's why everyone wants you to stay...\Huh? I'm sorry.\I wonder why?\My tears... They won't stop...\Alicia...\The truth is...\The truth is, you've had the skill to become a Prima for a long time now. response:	But I was afraid of losing the cherished time I've spent with you.
context: That's why everyone wants you to stay...\Huh? I'm sorry.\I wonder why?\My tears... They won't stop...\Alicia...\The truth is...\The truth is, you've had the skill to become a Prima for a long time now.\But I was afraid of losing the cherished time I've spent with you. response:	As your mentor, I knew I had to be strong...
context: Huh? I'm sorry.\I wonder why?\My tears... They won't stop...\Alicia...\The truth is...\The truth is, you've had the skill to become a Prima for a long time now.\But I was afraid of losing the cherished time I've spent with you.\As your mentor, I knew I had to be strong... response:	I kept thinking that, but I couldn't do it.
context: I wonder why?\My tears... They won't stop...\Alicia...\The truth is...\The truth is, you've had the skill to become a Prima for a long time now.\But I was afraid of losing the cherished time I've spent with you.\As your mentor, I knew I had to be strong...\I kept thinking that, but I couldn't do it. response:	This is all because of my selfishness.
context: My tears... They won't stop...\Alicia...\The truth is...\The truth is, you've had the skill to become a Prima for a long time now.\But I was afraid of losing the cherished time I've spent with you.\As your mentor, I knew I had to be strong...\I kept thinking that, but I couldn't do it.\This is all because of my selfishness. response:	I'm so sorry.
context: Alicia...\The truth is...\The truth is, you've had the skill to become a Prima for a long time now.\But I was afraid of losing the cherished time I've spent with you.\As your mentor, I knew I had to be strong...\I kept thinking that, but I couldn't do it.\This is all because of my selfishness.\I'm so sorry. response:	Alicia...
context: The truth is...\The truth is, you've had the skill to become a Prima for a long time now.\But I was afraid of losing the cherished time I've spent with you.\As your mentor, I knew I had to be strong...\I kept thinking that, but I couldn't do it.\This is all because of my selfishness.\I'm so sorry.\Alicia... response:	I'm sorry, too.
context: The truth is, you've had the skill to become a Prima for a long time now.\But I was afraid of losing the cherished time I've spent with you.\As your mentor, I knew I had to be strong...\I kept thinking that, but I couldn't do it.\This is all because of my selfishness.\I'm so sorry.\Alicia...\I'm sorry, too. response:	So many things happened at once...
context: But I was afraid of losing the cherished time I've spent with you.\As your mentor, I knew I had to be strong...\I kept thinking that, but I couldn't do it.\This is all because of my selfishness.\I'm so sorry.\Alicia...\I'm sorry, too.\So many things happened at once... response:	They're all such wonderful things, and I should be really happy, but...
context: As your mentor, I knew I had to be strong...\I kept thinking that, but I couldn't do it.\This is all because of my selfishness.\I'm so sorry.\Alicia...\I'm sorry, too.\So many things happened at once...\They're all such wonderful things, and I should be really happy, but... response:	Akari.
context: I kept thinking that, but I couldn't do it.\This is all because of my selfishness.\I'm so sorry.\Alicia...\I'm sorry, too.\So many things happened at once...\They're all such wonderful things, and I should be really happy, but...\Akari. response:	I've always known that times and places change, but...
context: This is all because of my selfishness.\I'm so sorry.\Alicia...\I'm sorry, too.\So many things happened at once...\They're all such wonderful things, and I should be really happy, but...\Akari.\I've always known that times and places change, but... response:	I'm sorry.
context: I'm so sorry.\Alicia...\I'm sorry, too.\So many things happened at once...\They're all such wonderful things, and I should be really happy, but...\Akari.\I've always known that times and places change, but...\I'm sorry. response:	As we walked together, it always felt like we were all on the same path.
context: Alicia...\I'm sorry, too.\So many things happened at once...\They're all such wonderful things, and I should be really happy, but...\Akari.\I've always known that times and places change, but...\I'm sorry.\As we walked together, it always felt like we were all on the same path. response:	But really, we were all on our own separate paths, weren't we?
context: I'm sorry, too.\So many things happened at once...\They're all such wonderful things, and I should be really happy, but...\Akari.\I've always known that times and places change, but...\I'm sorry.\As we walked together, it always felt like we were all on the same path.\But really, we were all on our own separate paths, weren't we? response:	I walked down my own path...
