context: Hey Yukino. response:	We're about to leave...
context: Shut up, you brat!\You could never understand how it feels to have married my precious daughter off to a (bleep) like you!\I'm so tired of it. A man's worth isn't (bleep), it's love! The love overflowing from his heart!\Love! Heh heh!\Love! Here! I'll make it into calligraphy!!\Goddammit!\Are you frustrated that you can't do anything, my little Hero of Love?\I dare you to defeat this old geezer! response:	Dammit! I'll bring him down!
context: You could never understand how it feels to have married my precious daughter off to a (bleep) like you!\I'm so tired of it. A man's worth isn't (bleep), it's love! The love overflowing from his heart!\Love! Heh heh!\Love! Here! I'll make it into calligraphy!!\Goddammit!\Are you frustrated that you can't do anything, my little Hero of Love?\I dare you to defeat this old geezer!\Dammit! I'll bring him down! response:	I'll make that old coot shut up once and for all!
context: I'm so tired of it. A man's worth isn't (bleep), it's love! The love overflowing from his heart!\Love! Heh heh!\Love! Here! I'll make it into calligraphy!!\Goddammit!\Are you frustrated that you can't do anything, my little Hero of Love?\I dare you to defeat this old geezer!\Dammit! I'll bring him down!\I'll make that old coot shut up once and for all! response:	Look look,
context: Love! Heh heh!\Love! Here! I'll make it into calligraphy!!\Goddammit!\Are you frustrated that you can't do anything, my little Hero of Love?\I dare you to defeat this old geezer!\Dammit! I'll bring him down!\I'll make that old coot shut up once and for all!\Look look, response:	these are old pictures of me.
context: Love! Here! I'll make it into calligraphy!!\Goddammit!\Are you frustrated that you can't do anything, my little Hero of Love?\I dare you to defeat this old geezer!\Dammit! I'll bring him down!\I'll make that old coot shut up once and for all!\Look look,\these are old pictures of me. response:	Wow, you look just like Sis.
context: Goddammit!\Are you frustrated that you can't do anything, my little Hero of Love?\I dare you to defeat this old geezer!\Dammit! I'll bring him down!\I'll make that old coot shut up once and for all!\Look look,\these are old pictures of me.\Wow, you look just like Sis. response:	Come to think of it, we really are alike.
context: Are you frustrated that you can't do anything, my little Hero of Love?\I dare you to defeat this old geezer!\Dammit! I'll bring him down!\I'll make that old coot shut up once and for all!\Look look,\these are old pictures of me.\Wow, you look just like Sis.\Come to think of it, we really are alike. response:	Even I coudn't tell us apart.
context: I dare you to defeat this old geezer!\Dammit! I'll bring him down!\I'll make that old coot shut up once and for all!\Look look,\these are old pictures of me.\Wow, you look just like Sis.\Come to think of it, we really are alike.\Even I coudn't tell us apart. response:	See, isn't your mother cute?
context: Dammit! I'll bring him down!\I'll make that old coot shut up once and for all!\Look look,\these are old pictures of me.\Wow, you look just like Sis.\Come to think of it, we really are alike.\Even I coudn't tell us apart.\See, isn't your mother cute? response:	And she's still cute now.
context: I'll make that old coot shut up once and for all!\Look look,\these are old pictures of me.\Wow, you look just like Sis.\Come to think of it, we really are alike.\Even I coudn't tell us apart.\See, isn't your mother cute?\And she's still cute now. response:	Yukino-chan really does look exactly like Miyako.
context: Look look,\these are old pictures of me.\Wow, you look just like Sis.\Come to think of it, we really are alike.\Even I coudn't tell us apart.\See, isn't your mother cute?\And she's still cute now.\Yukino-chan really does look exactly like Miyako. response:	Just make sure you don't get taken advantage of by some jerk.
context: these are old pictures of me.\Wow, you look just like Sis.\Come to think of it, we really are alike.\Even I coudn't tell us apart.\See, isn't your mother cute?\And she's still cute now.\Yukino-chan really does look exactly like Miyako.\Just make sure you don't get taken advantage of by some jerk. response:	I do have someone I'm going out with.
context: Wow, you look just like Sis.\Come to think of it, we really are alike.\Even I coudn't tell us apart.\See, isn't your mother cute?\And she's still cute now.\Yukino-chan really does look exactly like Miyako.\Just make sure you don't get taken advantage of by some jerk.\I do have someone I'm going out with. response:	What!?
context: Come to think of it, we really are alike.\Even I coudn't tell us apart.\See, isn't your mother cute?\And she's still cute now.\Yukino-chan really does look exactly like Miyako.\Just make sure you don't get taken advantage of by some jerk.\I do have someone I'm going out with.\What!? response:	This is him.
context: Even I coudn't tell us apart.\See, isn't your mother cute?\And she's still cute now.\Yukino-chan really does look exactly like Miyako.\Just make sure you don't get taken advantage of by some jerk.\I do have someone I'm going out with.\What!?\This is him. response:	He seems quite pleasant.
context: See, isn't your mother cute?\And she's still cute now.\Yukino-chan really does look exactly like Miyako.\Just make sure you don't get taken advantage of by some jerk.\I do have someone I'm going out with.\What!?\This is him.\He seems quite pleasant. response:	What's with the different treatment?!
context: And she's still cute now.\Yukino-chan really does look exactly like Miyako.\Just make sure you don't get taken advantage of by some jerk.\I do have someone I'm going out with.\What!?\This is him.\He seems quite pleasant.\What's with the different treatment?! response:	I'm going shopping for dinner, okay?
context: Yukino-chan really does look exactly like Miyako.\Just make sure you don't get taken advantage of by some jerk.\I do have someone I'm going out with.\What!?\This is him.\He seems quite pleasant.\What's with the different treatment?!\I'm going shopping for dinner, okay? response:	Then I'll go too.
context: Just make sure you don't get taken advantage of by some jerk.\I do have someone I'm going out with.\What!?\This is him.\He seems quite pleasant.\What's with the different treatment?!\I'm going shopping for dinner, okay?\Then I'll go too. response:	That's right.
context: I do have someone I'm going out with.\What!?\This is him.\He seems quite pleasant.\What's with the different treatment?!\I'm going shopping for dinner, okay?\Then I'll go too.\That's right. response:	Go carry my daughter's things.
context: What!?\This is him.\He seems quite pleasant.\What's with the different treatment?!\I'm going shopping for dinner, okay?\Then I'll go too.\That's right.\Go carry my daughter's things. response:	Just like her servant.
context: This is him.\He seems quite pleasant.\What's with the different treatment?!\I'm going shopping for dinner, okay?\Then I'll go too.\That's right.\Go carry my daughter's things.\Just like her servant. response:	Would you knock it off!
context: He seems quite pleasant.\What's with the different treatment?!\I'm going shopping for dinner, okay?\Then I'll go too.\That's right.\Go carry my daughter's things.\Just like her servant.\Would you knock it off! response:	Check!
context: What's with the different treatment?!\I'm going shopping for dinner, okay?\Then I'll go too.\That's right.\Go carry my daughter's things.\Just like her servant.\Would you knock it off!\Check! response:	This neighborhood sure has changed.
context: I'm going shopping for dinner, okay?\Then I'll go too.\That's right.\Go carry my daughter's things.\Just like her servant.\Would you knock it off!\Check!\This neighborhood sure has changed. response:	They've put up condos and everything.
context: Then I'll go too.\That's right.\Go carry my daughter's things.\Just like her servant.\Would you knock it off!\Check!\This neighborhood sure has changed.\They've put up condos and everything. response:	It really takes you back, doesn't it?
context: That's right.\Go carry my daughter's things.\Just like her servant.\Would you knock it off!\Check!\This neighborhood sure has changed.\They've put up condos and everything.\It really takes you back, doesn't it? response:	Yeah, shall we hold hands?
context: Go carry my daughter's things.\Just like her servant.\Would you knock it off!\Check!\This neighborhood sure has changed.\They've put up condos and everything.\It really takes you back, doesn't it?\Yeah, shall we hold hands? response:	Dusk...The expanse of the city lights...
context: Just like her servant.\Would you knock it off!\Check!\This neighborhood sure has changed.\They've put up condos and everything.\It really takes you back, doesn't it?\Yeah, shall we hold hands?\Dusk...The expanse of the city lights... response:	The aroma of dinner, wafting in from somewhere.
context: Would you knock it off!\Check!\This neighborhood sure has changed.\They've put up condos and everything.\It really takes you back, doesn't it?\Yeah, shall we hold hands?\Dusk...The expanse of the city lights...\The aroma of dinner, wafting in from somewhere. response:	It feels lonely at this time of day.
context: Check!\This neighborhood sure has changed.\They've put up condos and everything.\It really takes you back, doesn't it?\Yeah, shall we hold hands?\Dusk...The expanse of the city lights...\The aroma of dinner, wafting in from somewhere.\It feels lonely at this time of day. response:	Yet strangely, it feels pleasant.
context: This neighborhood sure has changed.\They've put up condos and everything.\It really takes you back, doesn't it?\Yeah, shall we hold hands?\Dusk...The expanse of the city lights...\The aroma of dinner, wafting in from somewhere.\It feels lonely at this time of day.\Yet strangely, it feels pleasant. response:	At times like this, I remember my childhood.
context: They've put up condos and everything.\It really takes you back, doesn't it?\Yeah, shall we hold hands?\Dusk...The expanse of the city lights...\The aroma of dinner, wafting in from somewhere.\It feels lonely at this time of day.\Yet strangely, it feels pleasant.\At times like this, I remember my childhood. response:	My departed grandfather, the trees I used to climb,
context: It really takes you back, doesn't it?\Yeah, shall we hold hands?\Dusk...The expanse of the city lights...\The aroma of dinner, wafting in from somewhere.\It feels lonely at this time of day.\Yet strangely, it feels pleasant.\At times like this, I remember my childhood.\My departed grandfather, the trees I used to climb, response:	my friends...
context: Yeah, shall we hold hands?\Dusk...The expanse of the city lights...\The aroma of dinner, wafting in from somewhere.\It feels lonely at this time of day.\Yet strangely, it feels pleasant.\At times like this, I remember my childhood.\My departed grandfather, the trees I used to climb,\my friends... response:	I remember those distant days I can no longer touch.
context: Dusk...The expanse of the city lights...\The aroma of dinner, wafting in from somewhere.\It feels lonely at this time of day.\Yet strangely, it feels pleasant.\At times like this, I remember my childhood.\My departed grandfather, the trees I used to climb,\my friends...\I remember those distant days I can no longer touch. response:	Oh, there he is!
context: The aroma of dinner, wafting in from somewhere.\It feels lonely at this time of day.\Yet strangely, it feels pleasant.\At times like this, I remember my childhood.\My departed grandfather, the trees I used to climb,\my friends...\I remember those distant days I can no longer touch.\Oh, there he is! response:	Hey, Hiro-chan!
context: It feels lonely at this time of day.\Yet strangely, it feels pleasant.\At times like this, I remember my childhood.\My departed grandfather, the trees I used to climb,\my friends...\I remember those distant days I can no longer touch.\Oh, there he is!\Hey, Hiro-chan! response:	Yo!
context: Yet strangely, it feels pleasant.\At times like this, I remember my childhood.\My departed grandfather, the trees I used to climb,\my friends...\I remember those distant days I can no longer touch.\Oh, there he is!\Hey, Hiro-chan!\Yo! response:	Father, Age 6, Full name: Miyazawa Hiroyuki.
context: At times like this, I remember my childhood.\My departed grandfather, the trees I used to climb,\my friends...\I remember those distant days I can no longer touch.\Oh, there he is!\Hey, Hiro-chan!\Yo!\Father, Age 6, Full name: Miyazawa Hiroyuki. response:	Also known as the Little Devil.
context: My departed grandfather, the trees I used to climb,\my friends...\I remember those distant days I can no longer touch.\Oh, there he is!\Hey, Hiro-chan!\Yo!\Father, Age 6, Full name: Miyazawa Hiroyuki.\Also known as the Little Devil. response:	He did nothing but stupid things.
context: my friends...\I remember those distant days I can no longer touch.\Oh, there he is!\Hey, Hiro-chan!\Yo!\Father, Age 6, Full name: Miyazawa Hiroyuki.\Also known as the Little Devil.\He did nothing but stupid things. response:	Breaking things,
context: I remember those distant days I can no longer touch.\Oh, there he is!\Hey, Hiro-chan!\Yo!\Father, Age 6, Full name: Miyazawa Hiroyuki.\Also known as the Little Devil.\He did nothing but stupid things.\Breaking things, response:	fighting with elementary schoolers and winning,
context: Oh, there he is!\Hey, Hiro-chan!\Yo!\Father, Age 6, Full name: Miyazawa Hiroyuki.\Also known as the Little Devil.\He did nothing but stupid things.\Breaking things,\fighting with elementary schoolers and winning, response:	stealing a St. Bernard and riding on its back, *He does not mean any harm*
context: Hey, Hiro-chan!\Yo!\Father, Age 6, Full name: Miyazawa Hiroyuki.\Also known as the Little Devil.\He did nothing but stupid things.\Breaking things,\fighting with elementary schoolers and winning,\stealing a St. Bernard and riding on its back, *He does not mean any harm* response:	sumo wrestling with cats, and so forth.
context: Yo!\Father, Age 6, Full name: Miyazawa Hiroyuki.\Also known as the Little Devil.\He did nothing but stupid things.\Breaking things,\fighting with elementary schoolers and winning,\stealing a St. Bernard and riding on its back, *He does not mean any harm*\sumo wrestling with cats, and so forth. response:	His nickname of Little Devil was well known all over the neighborhood.
context: Father, Age 6, Full name: Miyazawa Hiroyuki.\Also known as the Little Devil.\He did nothing but stupid things.\Breaking things,\fighting with elementary schoolers and winning,\stealing a St. Bernard and riding on its back, *He does not mean any harm*\sumo wrestling with cats, and so forth.\His nickname of Little Devil was well known all over the neighborhood. response:	He was a being even adults feared,
context: Also known as the Little Devil.\He did nothing but stupid things.\Breaking things,\fighting with elementary schoolers and winning,\stealing a St. Bernard and riding on its back, *He does not mean any harm*\sumo wrestling with cats, and so forth.\His nickname of Little Devil was well known all over the neighborhood.\He was a being even adults feared, response:	saying keep your valuables away from him.
context: He did nothing but stupid things.\Breaking things,\fighting with elementary schoolers and winning,\stealing a St. Bernard and riding on its back, *He does not mean any harm*\sumo wrestling with cats, and so forth.\His nickname of Little Devil was well known all over the neighborhood.\He was a being even adults feared,\saying keep your valuables away from him. response:	His encounter with his wife, as well...
context: Breaking things,\fighting with elementary schoolers and winning,\stealing a St. Bernard and riding on its back, *He does not mean any harm*\sumo wrestling with cats, and so forth.\His nickname of Little Devil was well known all over the neighborhood.\He was a being even adults feared,\saying keep your valuables away from him.\His encounter with his wife, as well... response:	You girls wanna be let in our group?
context: fighting with elementary schoolers and winning,\stealing a St. Bernard and riding on its back, *He does not mean any harm*\sumo wrestling with cats, and so forth.\His nickname of Little Devil was well known all over the neighborhood.\He was a being even adults feared,\saying keep your valuables away from him.\His encounter with his wife, as well...\You girls wanna be let in our group? response:	Yeah yeah Great, I got a perfect job for ya.
context: stealing a St. Bernard and riding on its back, *He does not mean any harm*\sumo wrestling with cats, and so forth.\His nickname of Little Devil was well known all over the neighborhood.\He was a being even adults feared,\saying keep your valuables away from him.\His encounter with his wife, as well...\You girls wanna be let in our group?\Yeah yeah Great, I got a perfect job for ya. response:	You get to be...HOSTAGES!
context: sumo wrestling with cats, and so forth.\His nickname of Little Devil was well known all over the neighborhood.\He was a being even adults feared,\saying keep your valuables away from him.\His encounter with his wife, as well...\You girls wanna be let in our group?\Yeah yeah Great, I got a perfect job for ya.\You get to be...HOSTAGES! response:	His encounter with his
context: His nickname of Little Devil was well known all over the neighborhood.\He was a being even adults feared,\saying keep your valuables away from him.\His encounter with his wife, as well...\You girls wanna be let in our group?\Yeah yeah Great, I got a perfect job for ya.\You get to be...HOSTAGES!\His encounter with his response:	wife was also rather stupid.
context: He was a being even adults feared,\saying keep your valuables away from him.\His encounter with his wife, as well...\You girls wanna be let in our group?\Yeah yeah Great, I got a perfect job for ya.\You get to be...HOSTAGES!\His encounter with his\wife was also rather stupid. response:	All right already, I'll untie you.
context: saying keep your valuables away from him.\His encounter with his wife, as well...\You girls wanna be let in our group?\Yeah yeah Great, I got a perfect job for ya.\You get to be...HOSTAGES!\His encounter with his\wife was also rather stupid.\All right already, I'll untie you. response:	We gotta go pee!
context: His encounter with his wife, as well...\You girls wanna be let in our group?\Yeah yeah Great, I got a perfect job for ya.\You get to be...HOSTAGES!\His encounter with his\wife was also rather stupid.\All right already, I'll untie you.\We gotta go pee! response:	What?!
context: You girls wanna be let in our group?\Yeah yeah Great, I got a perfect job for ya.\You get to be...HOSTAGES!\His encounter with his\wife was also rather stupid.\All right already, I'll untie you.\We gotta go pee!\What?! response:	Since then, he was genuinely trying to entertain her.
context: Yeah yeah Great, I got a perfect job for ya.\You get to be...HOSTAGES!\His encounter with his\wife was also rather stupid.\All right already, I'll untie you.\We gotta go pee!\What?!\Since then, he was genuinely trying to entertain her. response:	He did things to the girls thinking he was amusing them, but they didn't take it that way at all.
context: You get to be...HOSTAGES!\His encounter with his\wife was also rather stupid.\All right already, I'll untie you.\We gotta go pee!\What?!\Since then, he was genuinely trying to entertain her.\He did things to the girls thinking he was amusing them, but they didn't take it that way at all. response:	Ready?
context: His encounter with his\wife was also rather stupid.\All right already, I'll untie you.\We gotta go pee!\What?!\Since then, he was genuinely trying to entertain her.\He did things to the girls thinking he was amusing them, but they didn't take it that way at all.\Ready? response:	Not yet!
