context: <Don't catch a cold!> response:	<Hachoo!>
context: Perhaps.\Well, it was just a fairy tale back when we were able to see the true starry sky.\Look! Another one!\What? Really?!\May...\May...\May...\Papa! response:	So it has begun...
context: Well, it was just a fairy tale back when we were able to see the true starry sky.\Look! Another one!\What? Really?!\May...\May...\May...\Papa!\So it has begun... response:	Shion!
context: Look! Another one!\What? Really?!\May...\May...\May...\Papa!\So it has begun...\Shion! response:	Shion!
context: What? Really?!\May...\May...\May...\Papa!\So it has begun...\Shion!\Shion! response:	Shion!
context: May...\May...\May...\Papa!\So it has begun...\Shion!\Shion!\Shion! response:	Suou...
context: May...\May...\Papa!\So it has begun...\Shion!\Shion!\Shion!\Suou... response:	That happened two years ago.
context: May...\Papa!\So it has begun...\Shion!\Shion!\Shion!\Suou...\That happened two years ago. response:	On the night of the Tokyo Explosion,
context: Papa!\So it has begun...\Shion!\Shion!\Shion!\Suou...\That happened two years ago.\On the night of the Tokyo Explosion, response:	Shion became a contractor.
context: So it has begun...\Shion!\Shion!\Shion!\Suou...\That happened two years ago.\On the night of the Tokyo Explosion,\Shion became a contractor. response:	2 Years Later Vladivostok
context: Shion!\Shion!\Shion!\Suou...\That happened two years ago.\On the night of the Tokyo Explosion,\Shion became a contractor.\2 Years Later Vladivostok response:	Secondhand smoke is more poisonous than what you inhale.
context: Shion!\Shion!\Suou...\That happened two years ago.\On the night of the Tokyo Explosion,\Shion became a contractor.\2 Years Later Vladivostok\Secondhand smoke is more poisonous than what you inhale. response:	The smoke you inhale contains 5.3 to 43 nanograms of dimethylnitrosamine, which is a carcinogen.
context: Shion!\Suou...\That happened two years ago.\On the night of the Tokyo Explosion,\Shion became a contractor.\2 Years Later Vladivostok\Secondhand smoke is more poisonous than what you inhale.\The smoke you inhale contains 5.3 to 43 nanograms of dimethylnitrosamine, which is a carcinogen. response:	While secondhand smoke has 680 to 823 nanograms.
context: Suou...\That happened two years ago.\On the night of the Tokyo Explosion,\Shion became a contractor.\2 Years Later Vladivostok\Secondhand smoke is more poisonous than what you inhale.\The smoke you inhale contains 5.3 to 43 nanograms of dimethylnitrosamine, which is a carcinogen.\While secondhand smoke has 680 to 823 nanograms. response:	There's eleven times more quinoline in the secondhand smoke than what you inhale.
context: That happened two years ago.\On the night of the Tokyo Explosion,\Shion became a contractor.\2 Years Later Vladivostok\Secondhand smoke is more poisonous than what you inhale.\The smoke you inhale contains 5.3 to 43 nanograms of dimethylnitrosamine, which is a carcinogen.\While secondhand smoke has 680 to 823 nanograms.\There's eleven times more quinoline in the secondhand smoke than what you inhale. response:	Which translates to 18,000 nanograms.
context: On the night of the Tokyo Explosion,\Shion became a contractor.\2 Years Later Vladivostok\Secondhand smoke is more poisonous than what you inhale.\The smoke you inhale contains 5.3 to 43 nanograms of dimethylnitrosamine, which is a carcinogen.\While secondhand smoke has 680 to 823 nanograms.\There's eleven times more quinoline in the secondhand smoke than what you inhale.\Which translates to 18,000 nanograms. response:	Still, telling a Russian to quit smoking is a bit pointless.
context: Shion became a contractor.\2 Years Later Vladivostok\Secondhand smoke is more poisonous than what you inhale.\The smoke you inhale contains 5.3 to 43 nanograms of dimethylnitrosamine, which is a carcinogen.\While secondhand smoke has 680 to 823 nanograms.\There's eleven times more quinoline in the secondhand smoke than what you inhale.\Which translates to 18,000 nanograms.\Still, telling a Russian to quit smoking is a bit pointless. response:	Of course, rationally thinking, it's best for me to quit. I know that.
context: 2 Years Later Vladivostok\Secondhand smoke is more poisonous than what you inhale.\The smoke you inhale contains 5.3 to 43 nanograms of dimethylnitrosamine, which is a carcinogen.\While secondhand smoke has 680 to 823 nanograms.\There's eleven times more quinoline in the secondhand smoke than what you inhale.\Which translates to 18,000 nanograms.\Still, telling a Russian to quit smoking is a bit pointless.\Of course, rationally thinking, it's best for me to quit. I know that. response:	But that's quite unlikely as I'm not going to be one of those rumored contractors.
context: Secondhand smoke is more poisonous than what you inhale.\The smoke you inhale contains 5.3 to 43 nanograms of dimethylnitrosamine, which is a carcinogen.\While secondhand smoke has 680 to 823 nanograms.\There's eleven times more quinoline in the secondhand smoke than what you inhale.\Which translates to 18,000 nanograms.\Still, telling a Russian to quit smoking is a bit pointless.\Of course, rationally thinking, it's best for me to quit. I know that.\But that's quite unlikely as I'm not going to be one of those rumored contractors. response:	Thanks.
context: The smoke you inhale contains 5.3 to 43 nanograms of dimethylnitrosamine, which is a carcinogen.\While secondhand smoke has 680 to 823 nanograms.\There's eleven times more quinoline in the secondhand smoke than what you inhale.\Which translates to 18,000 nanograms.\Still, telling a Russian to quit smoking is a bit pointless.\Of course, rationally thinking, it's best for me to quit. I know that.\But that's quite unlikely as I'm not going to be one of those rumored contractors.\Thanks. response:	Hey, did you know?
context: While secondhand smoke has 680 to 823 nanograms.\There's eleven times more quinoline in the secondhand smoke than what you inhale.\Which translates to 18,000 nanograms.\Still, telling a Russian to quit smoking is a bit pointless.\Of course, rationally thinking, it's best for me to quit. I know that.\But that's quite unlikely as I'm not going to be one of those rumored contractors.\Thanks.\Hey, did you know? response:	When a star falls, it means a contractor has died.
context: There's eleven times more quinoline in the secondhand smoke than what you inhale.\Which translates to 18,000 nanograms.\Still, telling a Russian to quit smoking is a bit pointless.\Of course, rationally thinking, it's best for me to quit. I know that.\But that's quite unlikely as I'm not going to be one of those rumored contractors.\Thanks.\Hey, did you know?\When a star falls, it means a contractor has died. response:	Nope.
context: Which translates to 18,000 nanograms.\Still, telling a Russian to quit smoking is a bit pointless.\Of course, rationally thinking, it's best for me to quit. I know that.\But that's quite unlikely as I'm not going to be one of those rumored contractors.\Thanks.\Hey, did you know?\When a star falls, it means a contractor has died.\Nope. response:	Do they even exist?
context: Still, telling a Russian to quit smoking is a bit pointless.\Of course, rationally thinking, it's best for me to quit. I know that.\But that's quite unlikely as I'm not going to be one of those rumored contractors.\Thanks.\Hey, did you know?\When a star falls, it means a contractor has died.\Nope.\Do they even exist? response:	Want to see one?
context: Of course, rationally thinking, it's best for me to quit. I know that.\But that's quite unlikely as I'm not going to be one of those rumored contractors.\Thanks.\Hey, did you know?\When a star falls, it means a contractor has died.\Nope.\Do they even exist?\Want to see one? response:	Hell no.
context: But that's quite unlikely as I'm not going to be one of those rumored contractors.\Thanks.\Hey, did you know?\When a star falls, it means a contractor has died.\Nope.\Do they even exist?\Want to see one?\Hell no. response:	Aren't they kind of dangerous?
context: Thanks.\Hey, did you know?\When a star falls, it means a contractor has died.\Nope.\Do they even exist?\Want to see one?\Hell no.\Aren't they kind of dangerous? response:	I've had enough of hell.
context: Hey, did you know?\When a star falls, it means a contractor has died.\Nope.\Do they even exist?\Want to see one?\Hell no.\Aren't they kind of dangerous?\I've had enough of hell. response:	Huh?!
context: When a star falls, it means a contractor has died.\Nope.\Do they even exist?\Want to see one?\Hell no.\Aren't they kind of dangerous?\I've had enough of hell.\Huh?! response:	Why is it wet?
context: Nope.\Do they even exist?\Want to see one?\Hell no.\Aren't they kind of dangerous?\I've had enough of hell.\Huh?!\Why is it wet? response:	Glen Deveron 1968. Straight up, please.
context: Do they even exist?\Want to see one?\Hell no.\Aren't they kind of dangerous?\I've had enough of hell.\Huh?!\Why is it wet?\Glen Deveron 1968. Straight up, please. response:	Come again?
context: Want to see one?\Hell no.\Aren't they kind of dangerous?\I've had enough of hell.\Huh?!\Why is it wet?\Glen Deveron 1968. Straight up, please.\Come again? response:	Your thirty-three year old sherry cask.
context: Hell no.\Aren't they kind of dangerous?\I've had enough of hell.\Huh?!\Why is it wet?\Glen Deveron 1968. Straight up, please.\Come again?\Your thirty-three year old sherry cask. response:	I heard that some dead stock was found in the back of this bar.
context: Aren't they kind of dangerous?\I've had enough of hell.\Huh?!\Why is it wet?\Glen Deveron 1968. Straight up, please.\Come again?\Your thirty-three year old sherry cask.\I heard that some dead stock was found in the back of this bar. response:	How do you know that?
context: I've had enough of hell.\Huh?!\Why is it wet?\Glen Deveron 1968. Straight up, please.\Come again?\Your thirty-three year old sherry cask.\I heard that some dead stock was found in the back of this bar.\How do you know that? response:	Thanks.
context: Huh?!\Why is it wet?\Glen Deveron 1968. Straight up, please.\Come again?\Your thirty-three year old sherry cask.\I heard that some dead stock was found in the back of this bar.\How do you know that?\Thanks. response:	Good night.
context: Why is it wet?\Glen Deveron 1968. Straight up, please.\Come again?\Your thirty-three year old sherry cask.\I heard that some dead stock was found in the back of this bar.\How do you know that?\Thanks.\Good night. response:	April, right?
context: Glen Deveron 1968. Straight up, please.\Come again?\Your thirty-three year old sherry cask.\I heard that some dead stock was found in the back of this bar.\How do you know that?\Thanks.\Good night.\April, right? response:	And you're August 7th, the man called The Magician.
context: Come again?\Your thirty-three year old sherry cask.\I heard that some dead stock was found in the back of this bar.\How do you know that?\Thanks.\Good night.\April, right?\And you're August 7th, the man called The Magician. response:	Some intelligence has been leaked to the Russian authorities.
context: Your thirty-three year old sherry cask.\I heard that some dead stock was found in the back of this bar.\How do you know that?\Thanks.\Good night.\April, right?\And you're August 7th, the man called The Magician.\Some intelligence has been leaked to the Russian authorities. response:	The FSB will carry out a raid in two days.
context: I heard that some dead stock was found in the back of this bar.\How do you know that?\Thanks.\Good night.\April, right?\And you're August 7th, the man called The Magician.\Some intelligence has been leaked to the Russian authorities.\The FSB will carry out a raid in two days. response:	Okay.
context: How do you know that?\Thanks.\Good night.\April, right?\And you're August 7th, the man called The Magician.\Some intelligence has been leaked to the Russian authorities.\The FSB will carry out a raid in two days.\Okay. response:	I'll give up on the data I couldn't collect.
context: Thanks.\Good night.\April, right?\And you're August 7th, the man called The Magician.\Some intelligence has been leaked to the Russian authorities.\The FSB will carry out a raid in two days.\Okay.\I'll give up on the data I couldn't collect. response:	Where's July?
context: Good night.\April, right?\And you're August 7th, the man called The Magician.\Some intelligence has been leaked to the Russian authorities.\The FSB will carry out a raid in two days.\Okay.\I'll give up on the data I couldn't collect.\Where's July? response:	He's already here.
context: April, right?\And you're August 7th, the man called The Magician.\Some intelligence has been leaked to the Russian authorities.\The FSB will carry out a raid in two days.\Okay.\I'll give up on the data I couldn't collect.\Where's July?\He's already here. response:	Okay.
context: And you're August 7th, the man called The Magician.\Some intelligence has been leaked to the Russian authorities.\The FSB will carry out a raid in two days.\Okay.\I'll give up on the data I couldn't collect.\Where's July?\He's already here.\Okay. response:	All right!
context: Some intelligence has been leaked to the Russian authorities.\The FSB will carry out a raid in two days.\Okay.\I'll give up on the data I couldn't collect.\Where's July?\He's already here.\Okay.\All right! response:	I love you!
context: The FSB will carry out a raid in two days.\Okay.\I'll give up on the data I couldn't collect.\Where's July?\He's already here.\Okay.\All right!\I love you! response:	You always hang out with Suou, don't you?
context: Okay.\I'll give up on the data I couldn't collect.\Where's July?\He's already here.\Okay.\All right!\I love you!\You always hang out with Suou, don't you? response:	I've had my eye on you.
context: I'll give up on the data I couldn't collect.\Where's July?\He's already here.\Okay.\All right!\I love you!\You always hang out with Suou, don't you?\I've had my eye on you. response:	I can't get you out of my mind.
context: Where's July?\He's already here.\Okay.\All right!\I love you!\You always hang out with Suou, don't you?\I've had my eye on you.\I can't get you out of my mind. response:	Oh, that's Nika.
context: He's already here.\Okay.\All right!\I love you!\You always hang out with Suou, don't you?\I've had my eye on you.\I can't get you out of my mind.\Oh, that's Nika. response:	I'm stupid and I always get into fights.
context: Okay.\All right!\I love you!\You always hang out with Suou, don't you?\I've had my eye on you.\I can't get you out of my mind.\Oh, that's Nika.\I'm stupid and I always get into fights. response:	But I'll treasure you!
context: All right!\I love you!\You always hang out with Suou, don't you?\I've had my eye on you.\I can't get you out of my mind.\Oh, that's Nika.\I'm stupid and I always get into fights.\But I'll treasure you! response:	I want to cherish you!
context: I love you!\You always hang out with Suou, don't you?\I've had my eye on you.\I can't get you out of my mind.\Oh, that's Nika.\I'm stupid and I always get into fights.\But I'll treasure you!\I want to cherish you! response:	So... Uh...
context: You always hang out with Suou, don't you?\I've had my eye on you.\I can't get you out of my mind.\Oh, that's Nika.\I'm stupid and I always get into fights.\But I'll treasure you!\I want to cherish you!\So... Uh... response:	P-Please go out with me!
context: I've had my eye on you.\I can't get you out of my mind.\Oh, that's Nika.\I'm stupid and I always get into fights.\But I'll treasure you!\I want to cherish you!\So... Uh...\P-Please go out with me! response:	He's confessing to her!
context: I can't get you out of my mind.\Oh, that's Nika.\I'm stupid and I always get into fights.\But I'll treasure you!\I want to cherish you!\So... Uh...\P-Please go out with me!\He's confessing to her! response:	Argh, what should I do?
context: Oh, that's Nika.\I'm stupid and I always get into fights.\But I'll treasure you!\I want to cherish you!\So... Uh...\P-Please go out with me!\He's confessing to her!\Argh, what should I do? response:	What... What should I do?!
context: I'm stupid and I always get into fights.\But I'll treasure you!\I want to cherish you!\So... Uh...\P-Please go out with me!\He's confessing to her!\Argh, what should I do?\What... What should I do?! response:	Are you sure?
context: But I'll treasure you!\I want to cherish you!\So... Uh...\P-Please go out with me!\He's confessing to her!\Argh, what should I do?\What... What should I do?!\Are you sure? response:	Tanya...
context: I want to cherish you!\So... Uh...\P-Please go out with me!\He's confessing to her!\Argh, what should I do?\What... What should I do?!\Are you sure?\Tanya... response:	Am I good enough for you?
context: So... Uh...\P-Please go out with me!\He's confessing to her!\Argh, what should I do?\What... What should I do?!\Are you sure?\Tanya...\Am I good enough for you? response:	Y-Yes!
context: P-Please go out with me!\He's confessing to her!\Argh, what should I do?\What... What should I do?!\Are you sure?\Tanya...\Am I good enough for you?\Y-Yes! response:	Are you sure? You really like me?
context: He's confessing to her!\Argh, what should I do?\What... What should I do?!\Are you sure?\Tanya...\Am I good enough for you?\Y-Yes!\Are you sure? You really like me? response:	Yes.
context: Argh, what should I do?\What... What should I do?!\Are you sure?\Tanya...\Am I good enough for you?\Y-Yes!\Are you sure? You really like me?\Yes. response:	Yeah!
context: What... What should I do?!\Are you sure?\Tanya...\Am I good enough for you?\Y-Yes!\Are you sure? You really like me?\Yes.\Yeah! response:	Hell yeah!
context: Are you sure?\Tanya...\Am I good enough for you?\Y-Yes!\Are you sure? You really like me?\Yes.\Yeah!\Hell yeah! response:	Can we walk home together today?
context: Tanya...\Am I good enough for you?\Y-Yes!\Are you sure? You really like me?\Yes.\Yeah!\Hell yeah!\Can we walk home together today? response:	Sure!
context: Am I good enough for you?\Y-Yes!\Are you sure? You really like me?\Yes.\Yeah!\Hell yeah!\Can we walk home together today?\Sure! response:	Later!
context: Y-Yes!\Are you sure? You really like me?\Yes.\Yeah!\Hell yeah!\Can we walk home together today?\Sure!\Later! response:	Suou?
context: Are you sure? You really like me?\Yes.\Yeah!\Hell yeah!\Can we walk home together today?\Sure!\Later!\Suou? response:	You okay?
context: Yes.\Yeah!\Hell yeah!\Can we walk home together today?\Sure!\Later!\Suou?\You okay? response:	What are you do-
context: Yeah!\Hell yeah!\Can we walk home together today?\Sure!\Later!\Suou?\You okay?\What are you do- response:	D-Did you see us?
context: Hell yeah!\Can we walk home together today?\Sure!\Later!\Suou?\You okay?\What are you do-\D-Did you see us? response:	Yeah. Clearly.
context: Can we walk home together today?\Sure!\Later!\Suou?\You okay?\What are you do-\D-Did you see us?\Yeah. Clearly. response:	No, no! I wasn't peeping!
context: Sure!\Later!\Suou?\You okay?\What are you do-\D-Did you see us?\Yeah. Clearly.\No, no! I wasn't peeping! response:	It was just a coincidence!
context: Later!\Suou?\You okay?\What are you do-\D-Did you see us?\Yeah. Clearly.\No, no! I wasn't peeping!\It was just a coincidence! response:	H-Hey, you're holding a camera!
context: Suou?\You okay?\What are you do-\D-Did you see us?\Yeah. Clearly.\No, no! I wasn't peeping!\It was just a coincidence!\H-Hey, you're holding a camera! response:	No!
context: You okay?\What are you do-\D-Did you see us?\Yeah. Clearly.\No, no! I wasn't peeping!\It was just a coincidence!\H-Hey, you're holding a camera!\No! response:	Hey! Stop it!
context: What are you do-\D-Did you see us?\Yeah. Clearly.\No, no! I wasn't peeping!\It was just a coincidence!\H-Hey, you're holding a camera!\No!\Hey! Stop it! response:	But you looked really cute!
context: D-Did you see us?\Yeah. Clearly.\No, no! I wasn't peeping!\It was just a coincidence!\H-Hey, you're holding a camera!\No!\Hey! Stop it!\But you looked really cute! response:	Look.
context: Yeah. Clearly.\No, no! I wasn't peeping!\It was just a coincidence!\H-Hey, you're holding a camera!\No!\Hey! Stop it!\But you looked really cute!\Look. response:	Cute...
context: No, no! I wasn't peeping!\It was just a coincidence!\H-Hey, you're holding a camera!\No!\Hey! Stop it!\But you looked really cute!\Look.\Cute... response:	But are you okay with this?
context: It was just a coincidence!\H-Hey, you're holding a camera!\No!\Hey! Stop it!\But you looked really cute!\Look.\Cute...\But are you okay with this? response:	I mean Nika is...
context: H-Hey, you're holding a camera!\No!\Hey! Stop it!\But you looked really cute!\Look.\Cute...\But are you okay with this?\I mean Nika is... response:	Mine?
context: No!\Hey! Stop it!\But you looked really cute!\Look.\Cute...\But are you okay with this?\I mean Nika is...\Mine? response:	Not at all!
context: Hey! Stop it!\But you looked really cute!\Look.\Cute...\But are you okay with this?\I mean Nika is...\Mine?\Not at all! response:	We're just both in the photography club.
context: But you looked really cute!\Look.\Cute...\But are you okay with this?\I mean Nika is...\Mine?\Not at all!\We're just both in the photography club. response:	Who wants that delinquent...
context: Look.\Cute...\But are you okay with this?\I mean Nika is...\Mine?\Not at all!\We're just both in the photography club.\Who wants that delinquent... response:	Uh... Of course, I mean...
context: Cute...\But are you okay with this?\I mean Nika is...\Mine?\Not at all!\We're just both in the photography club.\Who wants that delinquent...\Uh... Of course, I mean... response:	He's a cool guy.
context: But are you okay with this?\I mean Nika is...\Mine?\Not at all!\We're just both in the photography club.\Who wants that delinquent...\Uh... Of course, I mean...\He's a cool guy. response:	He's a bit of a hothead and is a year older, but not mentally.
context: I mean Nika is...\Mine?\Not at all!\We're just both in the photography club.\Who wants that delinquent...\Uh... Of course, I mean...\He's a cool guy.\He's a bit of a hothead and is a year older, but not mentally. response:	And his common sense is a tad different...
context: Mine?\Not at all!\We're just both in the photography club.\Who wants that delinquent...\Uh... Of course, I mean...\He's a cool guy.\He's a bit of a hothead and is a year older, but not mentally.\And his common sense is a tad different... response:	But he's super nice to kids.
context: Not at all!\We're just both in the photography club.\Who wants that delinquent...\Uh... Of course, I mean...\He's a cool guy.\He's a bit of a hothead and is a year older, but not mentally.\And his common sense is a tad different...\But he's super nice to kids. response:	He's really a good guy.
context: We're just both in the photography club.\Who wants that delinquent...\Uh... Of course, I mean...\He's a cool guy.\He's a bit of a hothead and is a year older, but not mentally.\And his common sense is a tad different...\But he's super nice to kids.\He's really a good guy. response:	I promise you.
context: Who wants that delinquent...\Uh... Of course, I mean...\He's a cool guy.\He's a bit of a hothead and is a year older, but not mentally.\And his common sense is a tad different...\But he's super nice to kids.\He's really a good guy.\I promise you. response:	Thanks, Suou.
context: Uh... Of course, I mean...\He's a cool guy.\He's a bit of a hothead and is a year older, but not mentally.\And his common sense is a tad different...\But he's super nice to kids.\He's really a good guy.\I promise you.\Thanks, Suou. response:	So your world is all rosy now, eh?
context: He's a cool guy.\He's a bit of a hothead and is a year older, but not mentally.\And his common sense is a tad different...\But he's super nice to kids.\He's really a good guy.\I promise you.\Thanks, Suou.\So your world is all rosy now, eh? response:	Sheesh, stop it!
context: He's a bit of a hothead and is a year older, but not mentally.\And his common sense is a tad different...\But he's super nice to kids.\He's really a good guy.\I promise you.\Thanks, Suou.\So your world is all rosy now, eh?\Sheesh, stop it! response:	Suou! Tanya!
context: And his common sense is a tad different...\But he's super nice to kids.\He's really a good guy.\I promise you.\Thanks, Suou.\So your world is all rosy now, eh?\Sheesh, stop it!\Suou! Tanya! response:	What are you two doing?
context: But he's super nice to kids.\He's really a good guy.\I promise you.\Thanks, Suou.\So your world is all rosy now, eh?\Sheesh, stop it!\Suou! Tanya!\What are you two doing? response:	You have cleaning duty today!
context: He's really a good guy.\I promise you.\Thanks, Suou.\So your world is all rosy now, eh?\Sheesh, stop it!\Suou! Tanya!\What are you two doing?\You have cleaning duty today! response:	Ah, right!
context: I promise you.\Thanks, Suou.\So your world is all rosy now, eh?\Sheesh, stop it!\Suou! Tanya!\What are you two doing?\You have cleaning duty today!\Ah, right! response:	We're coming!
context: Thanks, Suou.\So your world is all rosy now, eh?\Sheesh, stop it!\Suou! Tanya!\What are you two doing?\You have cleaning duty today!\Ah, right!\We're coming! response:	There are several times in your life when your world changes overnight.
context: So your world is all rosy now, eh?\Sheesh, stop it!\Suou! Tanya!\What are you two doing?\You have cleaning duty today!\Ah, right!\We're coming!\There are several times in your life when your world changes overnight. response:	I still don't really know what love is.
context: Sheesh, stop it!\Suou! Tanya!\What are you two doing?\You have cleaning duty today!\Ah, right!\We're coming!\There are several times in your life when your world changes overnight.\I still don't really know what love is. response:	But I think Tanya has grasped its meaning.
context: Suou! Tanya!\What are you two doing?\You have cleaning duty today!\Ah, right!\We're coming!\There are several times in your life when your world changes overnight.\I still don't really know what love is.\But I think Tanya has grasped its meaning. response:	We haven't once seen the true starry sky. Not even once.
context: What are you two doing?\You have cleaning duty today!\Ah, right!\We're coming!\There are several times in your life when your world changes overnight.\I still don't really know what love is.\But I think Tanya has grasped its meaning.\We haven't once seen the true starry sky. Not even once. response:	One day thirteen years ago, gates appeared in Tokyo and Brazil.
context: You have cleaning duty today!\Ah, right!\We're coming!\There are several times in your life when your world changes overnight.\I still don't really know what love is.\But I think Tanya has grasped its meaning.\We haven't once seen the true starry sky. Not even once.\One day thirteen years ago, gates appeared in Tokyo and Brazil. response:	The one in Tokyo is called Hell's Gate,
context: Ah, right!\We're coming!\There are several times in your life when your world changes overnight.\I still don't really know what love is.\But I think Tanya has grasped its meaning.\We haven't once seen the true starry sky. Not even once.\One day thirteen years ago, gates appeared in Tokyo and Brazil.\The one in Tokyo is called Hell's Gate, response:	and the one in Brazil, Heaven's Gate.
context: We're coming!\There are several times in your life when your world changes overnight.\I still don't really know what love is.\But I think Tanya has grasped its meaning.\We haven't once seen the true starry sky. Not even once.\One day thirteen years ago, gates appeared in Tokyo and Brazil.\The one in Tokyo is called Hell's Gate,\and the one in Brazil, Heaven's Gate. response:	Near the gates there are unknown substances and phenomena beyond belief.
context: There are several times in your life when your world changes overnight.\I still don't really know what love is.\But I think Tanya has grasped its meaning.\We haven't once seen the true starry sky. Not even once.\One day thirteen years ago, gates appeared in Tokyo and Brazil.\The one in Tokyo is called Hell's Gate,\and the one in Brazil, Heaven's Gate.\Near the gates there are unknown substances and phenomena beyond belief. response:	Thus, no one was able to go near them.
context: I still don't really know what love is.\But I think Tanya has grasped its meaning.\We haven't once seen the true starry sky. Not even once.\One day thirteen years ago, gates appeared in Tokyo and Brazil.\The one in Tokyo is called Hell's Gate,\and the one in Brazil, Heaven's Gate.\Near the gates there are unknown substances and phenomena beyond belief.\Thus, no one was able to go near them. response:	What are you doing?
context: But I think Tanya has grasped its meaning.\We haven't once seen the true starry sky. Not even once.\One day thirteen years ago, gates appeared in Tokyo and Brazil.\The one in Tokyo is called Hell's Gate,\and the one in Brazil, Heaven's Gate.\Near the gates there are unknown substances and phenomena beyond belief.\Thus, no one was able to go near them.\What are you doing? response:	People are looking at you.
context: We haven't once seen the true starry sky. Not even once.\One day thirteen years ago, gates appeared in Tokyo and Brazil.\The one in Tokyo is called Hell's Gate,\and the one in Brazil, Heaven's Gate.\Near the gates there are unknown substances and phenomena beyond belief.\Thus, no one was able to go near them.\What are you doing?\People are looking at you. response:	So what? This isn't a macro lens.
context: One day thirteen years ago, gates appeared in Tokyo and Brazil.\The one in Tokyo is called Hell's Gate,\and the one in Brazil, Heaven's Gate.\Near the gates there are unknown substances and phenomena beyond belief.\Thus, no one was able to go near them.\What are you doing?\People are looking at you.\So what? This isn't a macro lens. response:	I wasn't talking about that.
