context: What a weird dream. response:	My name is Iwatani Naofumi.
context: What the hell, man?\But it all changed when I picked up this book.\The Records of the Four Cardinal Weapons\The Records of the Four Cardinal Weapons?\The Waves of Apocalyptic Catastrophe\The Waves of Apocalyptic Catastrophe...\To save the world from them, four heroes will be summoned from another world.\How very like an LN. response:	Each of the four heroes
context: But it all changed when I picked up this book.\The Records of the Four Cardinal Weapons\The Records of the Four Cardinal Weapons?\The Waves of Apocalyptic Catastrophe\The Waves of Apocalyptic Catastrophe...\To save the world from them, four heroes will be summoned from another world.\How very like an LN.\Each of the four heroes response:	wield a characteristic weapon: a sword, a spear, a bow, or a shield.
context: The Records of the Four Cardinal Weapons\The Records of the Four Cardinal Weapons?\The Waves of Apocalyptic Catastrophe\The Waves of Apocalyptic Catastrophe...\To save the world from them, four heroes will be summoned from another world.\How very like an LN.\Each of the four heroes\wield a characteristic weapon: a sword, a spear, a bow, or a shield. response:	Uh, I'm pretty sure a shield is more like armor than a weapon.
context: The Records of the Four Cardinal Weapons?\The Waves of Apocalyptic Catastrophe\The Waves of Apocalyptic Catastrophe...\To save the world from them, four heroes will be summoned from another world.\How very like an LN.\Each of the four heroes\wield a characteristic weapon: a sword, a spear, a bow, or a shield.\Uh, I'm pretty sure a shield is more like armor than a weapon. response:	And where's the heroine, anyway?
context: The Waves of Apocalyptic Catastrophe\The Waves of Apocalyptic Catastrophe...\To save the world from them, four heroes will be summoned from another world.\How very like an LN.\Each of the four heroes\wield a characteristic weapon: a sword, a spear, a bow, or a shield.\Uh, I'm pretty sure a shield is more like armor than a weapon.\And where's the heroine, anyway? response:	I don't think it's this princess. She seems kinda slutty.
context: The Waves of Apocalyptic Catastrophe...\To save the world from them, four heroes will be summoned from another world.\How very like an LN.\Each of the four heroes\wield a characteristic weapon: a sword, a spear, a bow, or a shield.\Uh, I'm pretty sure a shield is more like armor than a weapon.\And where's the heroine, anyway?\I don't think it's this princess. She seems kinda slutty. response:	Huh... Each of the heroes seems impressive and pretty damn cool.
context: To save the world from them, four heroes will be summoned from another world.\How very like an LN.\Each of the four heroes\wield a characteristic weapon: a sword, a spear, a bow, or a shield.\Uh, I'm pretty sure a shield is more like armor than a weapon.\And where's the heroine, anyway?\I don't think it's this princess. She seems kinda slutty.\Huh... Each of the heroes seems impressive and pretty damn cool. response:	I guess all four of them are the protagonists.
context: How very like an LN.\Each of the four heroes\wield a characteristic weapon: a sword, a spear, a bow, or a shield.\Uh, I'm pretty sure a shield is more like armor than a weapon.\And where's the heroine, anyway?\I don't think it's this princess. She seems kinda slutty.\Huh... Each of the heroes seems impressive and pretty damn cool.\I guess all four of them are the protagonists. response:	The sword, spear, and bow heroes all get spotlights,
context: Each of the four heroes\wield a characteristic weapon: a sword, a spear, a bow, or a shield.\Uh, I'm pretty sure a shield is more like armor than a weapon.\And where's the heroine, anyway?\I don't think it's this princess. She seems kinda slutty.\Huh... Each of the heroes seems impressive and pretty damn cool.\I guess all four of them are the protagonists.\The sword, spear, and bow heroes all get spotlights, response:	and even the shield hero gets focus...
context: wield a characteristic weapon: a sword, a spear, a bow, or a shield.\Uh, I'm pretty sure a shield is more like armor than a weapon.\And where's the heroine, anyway?\I don't think it's this princess. She seems kinda slutty.\Huh... Each of the heroes seems impressive and pretty damn cool.\I guess all four of them are the protagonists.\The sword, spear, and bow heroes all get spotlights,\and even the shield hero gets focus... response:	What the heck?
context: Uh, I'm pretty sure a shield is more like armor than a weapon.\And where's the heroine, anyway?\I don't think it's this princess. She seems kinda slutty.\Huh... Each of the heroes seems impressive and pretty damn cool.\I guess all four of them are the protagonists.\The sword, spear, and bow heroes all get spotlights,\and even the shield hero gets focus...\What the heck? response:	We did it! The summoning was a success!
context: And where's the heroine, anyway?\I don't think it's this princess. She seems kinda slutty.\Huh... Each of the heroes seems impressive and pretty damn cool.\I guess all four of them are the protagonists.\The sword, spear, and bow heroes all get spotlights,\and even the shield hero gets focus...\What the heck?\We did it! The summoning was a success! response:	Where am I?
context: I don't think it's this princess. She seems kinda slutty.\Huh... Each of the heroes seems impressive and pretty damn cool.\I guess all four of them are the protagonists.\The sword, spear, and bow heroes all get spotlights,\and even the shield hero gets focus...\What the heck?\We did it! The summoning was a success!\Where am I? response:	O brave heroes, please save our world!
context: Huh... Each of the heroes seems impressive and pretty damn cool.\I guess all four of them are the protagonists.\The sword, spear, and bow heroes all get spotlights,\and even the shield hero gets focus...\What the heck?\We did it! The summoning was a success!\Where am I?\O brave heroes, please save our world! response:	Excuse me?
context: I guess all four of them are the protagonists.\The sword, spear, and bow heroes all get spotlights,\and even the shield hero gets focus...\What the heck?\We did it! The summoning was a success!\Where am I?\O brave heroes, please save our world!\Excuse me? response:	Who are these guys?
context: The sword, spear, and bow heroes all get spotlights,\and even the shield hero gets focus...\What the heck?\We did it! The summoning was a success!\Where am I?\O brave heroes, please save our world!\Excuse me?\Who are these guys? response:	And where am I, anyway?
context: and even the shield hero gets focus...\What the heck?\We did it! The summoning was a success!\Where am I?\O brave heroes, please save our world!\Excuse me?\Who are these guys?\And where am I, anyway? response:	The hell is this?
context: What the heck?\We did it! The summoning was a success!\Where am I?\O brave heroes, please save our world!\Excuse me?\Who are these guys?\And where am I, anyway?\The hell is this? response:	A shield?
context: We did it! The summoning was a success!\Where am I?\O brave heroes, please save our world!\Excuse me?\Who are these guys?\And where am I, anyway?\The hell is this?\A shield? response:	The Rising of the Shield Hero
context: Where am I?\O brave heroes, please save our world!\Excuse me?\Who are these guys?\And where am I, anyway?\The hell is this?\A shield?\The Rising of the Shield Hero response:	The Shield Hero
context: O brave heroes, please save our world!\Excuse me?\Who are these guys?\And where am I, anyway?\The hell is this?\A shield?\The Rising of the Shield Hero\The Shield Hero response:	O brave heroes, please save our world!
context: Excuse me?\Who are these guys?\And where am I, anyway?\The hell is this?\A shield?\The Rising of the Shield Hero\The Shield Hero\O brave heroes, please save our world! response:	Seriously?
context: Who are these guys?\And where am I, anyway?\The hell is this?\A shield?\The Rising of the Shield Hero\The Shield Hero\O brave heroes, please save our world!\Seriously? response:	What do you mean by that?
context: And where am I, anyway?\The hell is this?\A shield?\The Rising of the Shield Hero\The Shield Hero\O brave heroes, please save our world!\Seriously?\What do you mean by that? response:	There is a long and complicated story behind this,
context: The hell is this?\A shield?\The Rising of the Shield Hero\The Shield Hero\O brave heroes, please save our world!\Seriously?\What do you mean by that?\There is a long and complicated story behind this, response:	but we've summoned you Four Cardinal Heroes here using an ancient ritual.
context: A shield?\The Rising of the Shield Hero\The Shield Hero\O brave heroes, please save our world!\Seriously?\What do you mean by that?\There is a long and complicated story behind this,\but we've summoned you Four Cardinal Heroes here using an ancient ritual. response:	Four Cardinal? So he thinks the four of us are heroes of legend?
context: The Rising of the Shield Hero\The Shield Hero\O brave heroes, please save our world!\Seriously?\What do you mean by that?\There is a long and complicated story behind this,\but we've summoned you Four Cardinal Heroes here using an ancient ritual.\Four Cardinal? So he thinks the four of us are heroes of legend? response:	Our world teeters on the brink of destruction.
context: The Shield Hero\O brave heroes, please save our world!\Seriously?\What do you mean by that?\There is a long and complicated story behind this,\but we've summoned you Four Cardinal Heroes here using an ancient ritual.\Four Cardinal? So he thinks the four of us are heroes of legend?\Our world teeters on the brink of destruction. response:	We beg you, O brave heroes! Please help us!
context: O brave heroes, please save our world!\Seriously?\What do you mean by that?\There is a long and complicated story behind this,\but we've summoned you Four Cardinal Heroes here using an ancient ritual.\Four Cardinal? So he thinks the four of us are heroes of legend?\Our world teeters on the brink of destruction.\We beg you, O brave heroes! Please help us! response:	I guess I could hear you out, at least.
context: Seriously?\What do you mean by that?\There is a long and complicated story behind this,\but we've summoned you Four Cardinal Heroes here using an ancient ritual.\Four Cardinal? So he thinks the four of us are heroes of legend?\Our world teeters on the brink of destruction.\We beg you, O brave heroes! Please help us!\I guess I could hear you out, at least. response:	I refuse.
context: What do you mean by that?\There is a long and complicated story behind this,\but we've summoned you Four Cardinal Heroes here using an ancient ritual.\Four Cardinal? So he thinks the four of us are heroes of legend?\Our world teeters on the brink of destruction.\We beg you, O brave heroes! Please help us!\I guess I could hear you out, at least.\I refuse. response:	Likewise.
context: There is a long and complicated story behind this,\but we've summoned you Four Cardinal Heroes here using an ancient ritual.\Four Cardinal? So he thinks the four of us are heroes of legend?\Our world teeters on the brink of destruction.\We beg you, O brave heroes! Please help us!\I guess I could hear you out, at least.\I refuse.\Likewise. response:	We can go back to our world, right?
context: but we've summoned you Four Cardinal Heroes here using an ancient ritual.\Four Cardinal? So he thinks the four of us are heroes of legend?\Our world teeters on the brink of destruction.\We beg you, O brave heroes! Please help us!\I guess I could hear you out, at least.\I refuse.\Likewise.\We can go back to our world, right? response:	We'll talk about your problems after that.
context: Four Cardinal? So he thinks the four of us are heroes of legend?\Our world teeters on the brink of destruction.\We beg you, O brave heroes! Please help us!\I guess I could hear you out, at least.\I refuse.\Likewise.\We can go back to our world, right?\We'll talk about your problems after that. response:	Don't you guys feel any guilt at all for bringing us here without our consent?
context: Our world teeters on the brink of destruction.\We beg you, O brave heroes! Please help us!\I guess I could hear you out, at least.\I refuse.\Likewise.\We can go back to our world, right?\We'll talk about your problems after that.\Don't you guys feel any guilt at all for bringing us here without our consent? response:	And if you throw us out as soon as peace is restored, we'd have worked for nothing.
context: We beg you, O brave heroes! Please help us!\I guess I could hear you out, at least.\I refuse.\Likewise.\We can go back to our world, right?\We'll talk about your problems after that.\Don't you guys feel any guilt at all for bringing us here without our consent?\And if you throw us out as soon as peace is restored, we'd have worked for nothing. response:	How willing are you to accommodate us?
context: I guess I could hear you out, at least.\I refuse.\Likewise.\We can go back to our world, right?\We'll talk about your problems after that.\Don't you guys feel any guilt at all for bringing us here without our consent?\And if you throw us out as soon as peace is restored, we'd have worked for nothing.\How willing are you to accommodate us? response:	Depending on your answer, we might end up becoming your enemies instead.
context: I refuse.\Likewise.\We can go back to our world, right?\We'll talk about your problems after that.\Don't you guys feel any guilt at all for bringing us here without our consent?\And if you throw us out as soon as peace is restored, we'd have worked for nothing.\How willing are you to accommodate us?\Depending on your answer, we might end up becoming your enemies instead. response:	Not only are these guys taking all this in stride,
context: Likewise.\We can go back to our world, right?\We'll talk about your problems after that.\Don't you guys feel any guilt at all for bringing us here without our consent?\And if you throw us out as soon as peace is restored, we'd have worked for nothing.\How willing are you to accommodate us?\Depending on your answer, we might end up becoming your enemies instead.\Not only are these guys taking all this in stride, response:	they've already started to demand respect and rewards!
context: We can go back to our world, right?\We'll talk about your problems after that.\Don't you guys feel any guilt at all for bringing us here without our consent?\And if you throw us out as soon as peace is restored, we'd have worked for nothing.\How willing are you to accommodate us?\Depending on your answer, we might end up becoming your enemies instead.\Not only are these guys taking all this in stride,\they've already started to demand respect and rewards! response:	F-First, we'd like you to have an audience with the king of our country, Melromarc.
context: We'll talk about your problems after that.\Don't you guys feel any guilt at all for bringing us here without our consent?\And if you throw us out as soon as peace is restored, we'd have worked for nothing.\How willing are you to accommodate us?\Depending on your answer, we might end up becoming your enemies instead.\Not only are these guys taking all this in stride,\they've already started to demand respect and rewards!\F-First, we'd like you to have an audience with the king of our country, Melromarc. response:	You can negotiate your reward after that, so please...
context: Don't you guys feel any guilt at all for bringing us here without our consent?\And if you throw us out as soon as peace is restored, we'd have worked for nothing.\How willing are you to accommodate us?\Depending on your answer, we might end up becoming your enemies instead.\Not only are these guys taking all this in stride,\they've already started to demand respect and rewards!\F-First, we'd like you to have an audience with the king of our country, Melromarc.\You can negotiate your reward after that, so please... response:	Fine, I guess.
context: And if you throw us out as soon as peace is restored, we'd have worked for nothing.\How willing are you to accommodate us?\Depending on your answer, we might end up becoming your enemies instead.\Not only are these guys taking all this in stride,\they've already started to demand respect and rewards!\F-First, we'd like you to have an audience with the king of our country, Melromarc.\You can negotiate your reward after that, so please...\Fine, I guess. response:	I suppose we could consider their offer.
context: How willing are you to accommodate us?\Depending on your answer, we might end up becoming your enemies instead.\Not only are these guys taking all this in stride,\they've already started to demand respect and rewards!\F-First, we'd like you to have an audience with the king of our country, Melromarc.\You can negotiate your reward after that, so please...\Fine, I guess.\I suppose we could consider their offer. response:	Not like our demands are gonna change, no matter who we talk to.
context: Depending on your answer, we might end up becoming your enemies instead.\Not only are these guys taking all this in stride,\they've already started to demand respect and rewards!\F-First, we'd like you to have an audience with the king of our country, Melromarc.\You can negotiate your reward after that, so please...\Fine, I guess.\I suppose we could consider their offer.\Not like our demands are gonna change, no matter who we talk to. response:	Yeesh! Could these guys be any more confident?
context: Not only are these guys taking all this in stride,\they've already started to demand respect and rewards!\F-First, we'd like you to have an audience with the king of our country, Melromarc.\You can negotiate your reward after that, so please...\Fine, I guess.\I suppose we could consider their offer.\Not like our demands are gonna change, no matter who we talk to.\Yeesh! Could these guys be any more confident? response:	We really are in another world, huh?
context: they've already started to demand respect and rewards!\F-First, we'd like you to have an audience with the king of our country, Melromarc.\You can negotiate your reward after that, so please...\Fine, I guess.\I suppose we could consider their offer.\Not like our demands are gonna change, no matter who we talk to.\Yeesh! Could these guys be any more confident?\We really are in another world, huh? response:	We sure are.
context: F-First, we'd like you to have an audience with the king of our country, Melromarc.\You can negotiate your reward after that, so please...\Fine, I guess.\I suppose we could consider their offer.\Not like our demands are gonna change, no matter who we talk to.\Yeesh! Could these guys be any more confident?\We really are in another world, huh?\We sure are. response:	Such a pleasant breeze...
context: You can negotiate your reward after that, so please...\Fine, I guess.\I suppose we could consider their offer.\Not like our demands are gonna change, no matter who we talk to.\Yeesh! Could these guys be any more confident?\We really are in another world, huh?\We sure are.\Such a pleasant breeze... response:	It's like the typical sales pitch in all those tour brochures.
context: Fine, I guess.\I suppose we could consider their offer.\Not like our demands are gonna change, no matter who we talk to.\Yeesh! Could these guys be any more confident?\We really are in another world, huh?\We sure are.\Such a pleasant breeze...\It's like the typical sales pitch in all those tour brochures. response:	Wait, have you never traveled out of Japan before?
context: I suppose we could consider their offer.\Not like our demands are gonna change, no matter who we talk to.\Yeesh! Could these guys be any more confident?\We really are in another world, huh?\We sure are.\Such a pleasant breeze...\It's like the typical sales pitch in all those tour brochures.\Wait, have you never traveled out of Japan before? response:	Going by the breeze outside,
context: Not like our demands are gonna change, no matter who we talk to.\Yeesh! Could these guys be any more confident?\We really are in another world, huh?\We sure are.\Such a pleasant breeze...\It's like the typical sales pitch in all those tour brochures.\Wait, have you never traveled out of Japan before?\Going by the breeze outside, response:	this place probably has your standard Mediterranean climate.
context: Yeesh! Could these guys be any more confident?\We really are in another world, huh?\We sure are.\Such a pleasant breeze...\It's like the typical sales pitch in all those tour brochures.\Wait, have you never traveled out of Japan before?\Going by the breeze outside,\this place probably has your standard Mediterranean climate. response:	Yeah, yeah. Excuse me for my lack of knowledge and vocabulary.
context: We really are in another world, huh?\We sure are.\Such a pleasant breeze...\It's like the typical sales pitch in all those tour brochures.\Wait, have you never traveled out of Japan before?\Going by the breeze outside,\this place probably has your standard Mediterranean climate.\Yeah, yeah. Excuse me for my lack of knowledge and vocabulary. response:	So these men are the Four Cardinal Heroes of ancient legend?
context: We sure are.\Such a pleasant breeze...\It's like the typical sales pitch in all those tour brochures.\Wait, have you never traveled out of Japan before?\Going by the breeze outside,\this place probably has your standard Mediterranean climate.\Yeah, yeah. Excuse me for my lack of knowledge and vocabulary.\So these men are the Four Cardinal Heroes of ancient legend? response:	I am the king of Melromarc, Aultcray Melromarc XXXII.
context: Such a pleasant breeze...\It's like the typical sales pitch in all those tour brochures.\Wait, have you never traveled out of Japan before?\Going by the breeze outside,\this place probably has your standard Mediterranean climate.\Yeah, yeah. Excuse me for my lack of knowledge and vocabulary.\So these men are the Four Cardinal Heroes of ancient legend?\I am the king of Melromarc, Aultcray Melromarc XXXII. response:	Heroes,
context: It's like the typical sales pitch in all those tour brochures.\Wait, have you never traveled out of Japan before?\Going by the breeze outside,\this place probably has your standard Mediterranean climate.\Yeah, yeah. Excuse me for my lack of knowledge and vocabulary.\So these men are the Four Cardinal Heroes of ancient legend?\I am the king of Melromarc, Aultcray Melromarc XXXII.\Heroes, response:	name yourselves.
context: Wait, have you never traveled out of Japan before?\Going by the breeze outside,\this place probably has your standard Mediterranean climate.\Yeah, yeah. Excuse me for my lack of knowledge and vocabulary.\So these men are the Four Cardinal Heroes of ancient legend?\I am the king of Melromarc, Aultcray Melromarc XXXII.\Heroes,\name yourselves. response:	Amaki Ren, sixteen years old, high schooler.
context: Going by the breeze outside,\this place probably has your standard Mediterranean climate.\Yeah, yeah. Excuse me for my lack of knowledge and vocabulary.\So these men are the Four Cardinal Heroes of ancient legend?\I am the king of Melromarc, Aultcray Melromarc XXXII.\Heroes,\name yourselves.\Amaki Ren, sixteen years old, high schooler. response:	I'm Kitamura Motoyasu. Twenty-one, and a college student.
context: this place probably has your standard Mediterranean climate.\Yeah, yeah. Excuse me for my lack of knowledge and vocabulary.\So these men are the Four Cardinal Heroes of ancient legend?\I am the king of Melromarc, Aultcray Melromarc XXXII.\Heroes,\name yourselves.\Amaki Ren, sixteen years old, high schooler.\I'm Kitamura Motoyasu. Twenty-one, and a college student. response:	I suppose I'm up next.
context: Yeah, yeah. Excuse me for my lack of knowledge and vocabulary.\So these men are the Four Cardinal Heroes of ancient legend?\I am the king of Melromarc, Aultcray Melromarc XXXII.\Heroes,\name yourselves.\Amaki Ren, sixteen years old, high schooler.\I'm Kitamura Motoyasu. Twenty-one, and a college student.\I suppose I'm up next. response:	Kawasumi Itsuki, seventeen years old, and a high schooler.
context: So these men are the Four Cardinal Heroes of ancient legend?\I am the king of Melromarc, Aultcray Melromarc XXXII.\Heroes,\name yourselves.\Amaki Ren, sixteen years old, high schooler.\I'm Kitamura Motoyasu. Twenty-one, and a college student.\I suppose I'm up next.\Kawasumi Itsuki, seventeen years old, and a high schooler. response:	And lastly, me. I'm...
context: I am the king of Melromarc, Aultcray Melromarc XXXII.\Heroes,\name yourselves.\Amaki Ren, sixteen years old, high schooler.\I'm Kitamura Motoyasu. Twenty-one, and a college student.\I suppose I'm up next.\Kawasumi Itsuki, seventeen years old, and a high schooler.\And lastly, me. I'm... response:	I see.
context: Heroes,\name yourselves.\Amaki Ren, sixteen years old, high schooler.\I'm Kitamura Motoyasu. Twenty-one, and a college student.\I suppose I'm up next.\Kawasumi Itsuki, seventeen years old, and a high schooler.\And lastly, me. I'm...\I see. response:	Ren, Motoyasu, and Itsuki, huh?
context: name yourselves.\Amaki Ren, sixteen years old, high schooler.\I'm Kitamura Motoyasu. Twenty-one, and a college student.\I suppose I'm up next.\Kawasumi Itsuki, seventeen years old, and a high schooler.\And lastly, me. I'm...\I see.\Ren, Motoyasu, and Itsuki, huh? response:	Y-Yo, King, aren't you forgetting me?
context: Amaki Ren, sixteen years old, high schooler.\I'm Kitamura Motoyasu. Twenty-one, and a college student.\I suppose I'm up next.\Kawasumi Itsuki, seventeen years old, and a high schooler.\And lastly, me. I'm...\I see.\Ren, Motoyasu, and Itsuki, huh?\Y-Yo, King, aren't you forgetting me? response:	Hmm? Oh, forgive me.
context: I'm Kitamura Motoyasu. Twenty-one, and a college student.\I suppose I'm up next.\Kawasumi Itsuki, seventeen years old, and a high schooler.\And lastly, me. I'm...\I see.\Ren, Motoyasu, and Itsuki, huh?\Y-Yo, King, aren't you forgetting me?\Hmm? Oh, forgive me. response:	Yo, King? You mustn't be so disrespectful.
context: I suppose I'm up next.\Kawasumi Itsuki, seventeen years old, and a high schooler.\And lastly, me. I'm...\I see.\Ren, Motoyasu, and Itsuki, huh?\Y-Yo, King, aren't you forgetting me?\Hmm? Oh, forgive me.\Yo, King? You mustn't be so disrespectful. response:	Should I call him His Highness, then?
context: Kawasumi Itsuki, seventeen years old, and a high schooler.\And lastly, me. I'm...\I see.\Ren, Motoyasu, and Itsuki, huh?\Y-Yo, King, aren't you forgetting me?\Hmm? Oh, forgive me.\Yo, King? You mustn't be so disrespectful.\Should I call him His Highness, then? response:	That's too formal, no?
context: And lastly, me. I'm...\I see.\Ren, Motoyasu, and Itsuki, huh?\Y-Yo, King, aren't you forgetting me?\Hmm? Oh, forgive me.\Yo, King? You mustn't be so disrespectful.\Should I call him His Highness, then?\That's too formal, no? response:	King is fine.
context: I see.\Ren, Motoyasu, and Itsuki, huh?\Y-Yo, King, aren't you forgetting me?\Hmm? Oh, forgive me.\Yo, King? You mustn't be so disrespectful.\Should I call him His Highness, then?\That's too formal, no?\King is fine. response:	Well, whatever works.
context: Ren, Motoyasu, and Itsuki, huh?\Y-Yo, King, aren't you forgetting me?\Hmm? Oh, forgive me.\Yo, King? You mustn't be so disrespectful.\Should I call him His Highness, then?\That's too formal, no?\King is fine.\Well, whatever works. response:	My name is Iwatani Naofumi. I'm twenty, and a college student.
context: Y-Yo, King, aren't you forgetting me?\Hmm? Oh, forgive me.\Yo, King? You mustn't be so disrespectful.\Should I call him His Highness, then?\That's too formal, no?\King is fine.\Well, whatever works.\My name is Iwatani Naofumi. I'm twenty, and a college student. response:	Now...
context: Hmm? Oh, forgive me.\Yo, King? You mustn't be so disrespectful.\Should I call him His Highness, then?\That's too formal, no?\King is fine.\Well, whatever works.\My name is Iwatani Naofumi. I'm twenty, and a college student.\Now... response:	I suppose I owe you an explanation.
context: Yo, King? You mustn't be so disrespectful.\Should I call him His Highness, then?\That's too formal, no?\King is fine.\Well, whatever works.\My name is Iwatani Naofumi. I'm twenty, and a college student.\Now...\I suppose I owe you an explanation. response:	You're ignoring me?
context: Should I call him His Highness, then?\That's too formal, no?\King is fine.\Well, whatever works.\My name is Iwatani Naofumi. I'm twenty, and a college student.\Now...\I suppose I owe you an explanation.\You're ignoring me? response:	My country, Melromarc, and the entire world is headed toward destruction.
context: That's too formal, no?\King is fine.\Well, whatever works.\My name is Iwatani Naofumi. I'm twenty, and a college student.\Now...\I suppose I owe you an explanation.\You're ignoring me?\My country, Melromarc, and the entire world is headed toward destruction. response:	I'm still pissed off at how the king's treating me, but here's the long story short.
context: King is fine.\Well, whatever works.\My name is Iwatani Naofumi. I'm twenty, and a college student.\Now...\I suppose I owe you an explanation.\You're ignoring me?\My country, Melromarc, and the entire world is headed toward destruction.\I'm still pissed off at how the king's treating me, but here's the long story short. response:	This world has an apocalyptic prophecy,
context: Well, whatever works.\My name is Iwatani Naofumi. I'm twenty, and a college student.\Now...\I suppose I owe you an explanation.\You're ignoring me?\My country, Melromarc, and the entire world is headed toward destruction.\I'm still pissed off at how the king's treating me, but here's the long story short.\This world has an apocalyptic prophecy, response:	which mentions Waves that will lead the world to ruin
context: My name is Iwatani Naofumi. I'm twenty, and a college student.\Now...\I suppose I owe you an explanation.\You're ignoring me?\My country, Melromarc, and the entire world is headed toward destruction.\I'm still pissed off at how the king's treating me, but here's the long story short.\This world has an apocalyptic prophecy,\which mentions Waves that will lead the world to ruin response:	and reportedly appear in, well, several waves.
