context: There it is... The old man's ship. response:	Right on time.
context: The entire crew is from the Speedwagon Foundation.\The Stand Chili Pepper can only move where there's electricity,\but I'm sure he'll do everything possible to get\over the water and onto the old man's ship.\If he gets there before we do, we lose.\The old man will be killed.\Jotaro!\We've finished checking the boat. response:	He's not in the battery.
context: The Stand Chili Pepper can only move where there's electricity,\but I'm sure he'll do everything possible to get\over the water and onto the old man's ship.\If he gets there before we do, we lose.\The old man will be killed.\Jotaro!\We've finished checking the boat.\He's not in the battery. response:	All clear. We can take off.
context: but I'm sure he'll do everything possible to get\over the water and onto the old man's ship.\If he gets there before we do, we lose.\The old man will be killed.\Jotaro!\We've finished checking the boat.\He's not in the battery.\All clear. We can take off. response:	Josuke, the only ones going to the old man's boat are me and Okuyasu.
context: over the water and onto the old man's ship.\If he gets there before we do, we lose.\The old man will be killed.\Jotaro!\We've finished checking the boat.\He's not in the battery.\All clear. We can take off.\Josuke, the only ones going to the old man's boat are me and Okuyasu. response:	Huh?
context: If he gets there before we do, we lose.\The old man will be killed.\Jotaro!\We've finished checking the boat.\He's not in the battery.\All clear. We can take off.\Josuke, the only ones going to the old man's boat are me and Okuyasu.\Huh? response:	You and Koichi will stay behind at the harbor.
context: The old man will be killed.\Jotaro!\We've finished checking the boat.\He's not in the battery.\All clear. We can take off.\Josuke, the only ones going to the old man's boat are me and Okuyasu.\Huh?\You and Koichi will stay behind at the harbor. response:	Stay behind?! Josuke and me?
context: Jotaro!\We've finished checking the boat.\He's not in the battery.\All clear. We can take off.\Josuke, the only ones going to the old man's boat are me and Okuyasu.\Huh?\You and Koichi will stay behind at the harbor.\Stay behind?! Josuke and me? response:	Why?
context: We've finished checking the boat.\He's not in the battery.\All clear. We can take off.\Josuke, the only ones going to the old man's boat are me and Okuyasu.\Huh?\You and Koichi will stay behind at the harbor.\Stay behind?! Josuke and me?\Why? response:	Josuke, Chili Pepper's user is hiding somewhere in this harbor, watching us.
context: He's not in the battery.\All clear. We can take off.\Josuke, the only ones going to the old man's boat are me and Okuyasu.\Huh?\You and Koichi will stay behind at the harbor.\Stay behind?! Josuke and me?\Why?\Josuke, Chili Pepper's user is hiding somewhere in this harbor, watching us. response:	He's waiting for us to make our move,
context: All clear. We can take off.\Josuke, the only ones going to the old man's boat are me and Okuyasu.\Huh?\You and Koichi will stay behind at the harbor.\Stay behind?! Josuke and me?\Why?\Josuke, Chili Pepper's user is hiding somewhere in this harbor, watching us.\He's waiting for us to make our move, response:	so he can confirm the boat's position.
context: Josuke, the only ones going to the old man's boat are me and Okuyasu.\Huh?\You and Koichi will stay behind at the harbor.\Stay behind?! Josuke and me?\Why?\Josuke, Chili Pepper's user is hiding somewhere in this harbor, watching us.\He's waiting for us to make our move,\so he can confirm the boat's position. response:	But my guess is that he won't be using a boat.
context: Huh?\You and Koichi will stay behind at the harbor.\Stay behind?! Josuke and me?\Why?\Josuke, Chili Pepper's user is hiding somewhere in this harbor, watching us.\He's waiting for us to make our move,\so he can confirm the boat's position.\But my guess is that he won't be using a boat. response:	All he needs is something with a battery that's faster than a motorboat.
context: You and Koichi will stay behind at the harbor.\Stay behind?! Josuke and me?\Why?\Josuke, Chili Pepper's user is hiding somewhere in this harbor, watching us.\He's waiting for us to make our move,\so he can confirm the boat's position.\But my guess is that he won't be using a boat.\All he needs is something with a battery that's faster than a motorboat. response:	Morioh Harbor Lighthouse
context: Stay behind?! Josuke and me?\Why?\Josuke, Chili Pepper's user is hiding somewhere in this harbor, watching us.\He's waiting for us to make our move,\so he can confirm the boat's position.\But my guess is that he won't be using a boat.\All he needs is something with a battery that's faster than a motorboat.\Morioh Harbor Lighthouse response:	Just like he did with the bike,
context: Why?\Josuke, Chili Pepper's user is hiding somewhere in this harbor, watching us.\He's waiting for us to make our move,\so he can confirm the boat's position.\But my guess is that he won't be using a boat.\All he needs is something with a battery that's faster than a motorboat.\Morioh Harbor Lighthouse\Just like he did with the bike, response:	he'll have Chili Pepper fly over in something that has a battery.
context: Josuke, Chili Pepper's user is hiding somewhere in this harbor, watching us.\He's waiting for us to make our move,\so he can confirm the boat's position.\But my guess is that he won't be using a boat.\All he needs is something with a battery that's faster than a motorboat.\Morioh Harbor Lighthouse\Just like he did with the bike,\he'll have Chili Pepper fly over in something that has a battery. response:	Fly? You mean it's actually going to fly through the air?
context: He's waiting for us to make our move,\so he can confirm the boat's position.\But my guess is that he won't be using a boat.\All he needs is something with a battery that's faster than a motorboat.\Morioh Harbor Lighthouse\Just like he did with the bike,\he'll have Chili Pepper fly over in something that has a battery.\Fly? You mean it's actually going to fly through the air? response:	Yeah.
context: so he can confirm the boat's position.\But my guess is that he won't be using a boat.\All he needs is something with a battery that's faster than a motorboat.\Morioh Harbor Lighthouse\Just like he did with the bike,\he'll have Chili Pepper fly over in something that has a battery.\Fly? You mean it's actually going to fly through the air?\Yeah. response:	I'm guessing Chili Pepper is
context: But my guess is that he won't be using a boat.\All he needs is something with a battery that's faster than a motorboat.\Morioh Harbor Lighthouse\Just like he did with the bike,\he'll have Chili Pepper fly over in something that has a battery.\Fly? You mean it's actually going to fly through the air?\Yeah.\I'm guessing Chili Pepper is response:	stealing a remote control model plane from the model shop right now.
context: All he needs is something with a battery that's faster than a motorboat.\Morioh Harbor Lighthouse\Just like he did with the bike,\he'll have Chili Pepper fly over in something that has a battery.\Fly? You mean it's actually going to fly through the air?\Yeah.\I'm guessing Chili Pepper is\stealing a remote control model plane from the model shop right now. response:	A remote control model plane?!
context: Morioh Harbor Lighthouse\Just like he did with the bike,\he'll have Chili Pepper fly over in something that has a battery.\Fly? You mean it's actually going to fly through the air?\Yeah.\I'm guessing Chili Pepper is\stealing a remote control model plane from the model shop right now.\A remote control model plane?! response:	That could work!
context: Just like he did with the bike,\he'll have Chili Pepper fly over in something that has a battery.\Fly? You mean it's actually going to fly through the air?\Yeah.\I'm guessing Chili Pepper is\stealing a remote control model plane from the model shop right now.\A remote control model plane?!\That could work! response:	Even model planes can travel over 100 kph!
context: he'll have Chili Pepper fly over in something that has a battery.\Fly? You mean it's actually going to fly through the air?\Yeah.\I'm guessing Chili Pepper is\stealing a remote control model plane from the model shop right now.\A remote control model plane?!\That could work!\Even model planes can travel over 100 kph! response:	That's faster than this motorboat.
context: Fly? You mean it's actually going to fly through the air?\Yeah.\I'm guessing Chili Pepper is\stealing a remote control model plane from the model shop right now.\A remote control model plane?!\That could work!\Even model planes can travel over 100 kph!\That's faster than this motorboat. response:	And because Chili Pepper is controlling it,
context: Yeah.\I'm guessing Chili Pepper is\stealing a remote control model plane from the model shop right now.\A remote control model plane?!\That could work!\Even model planes can travel over 100 kph!\That's faster than this motorboat.\And because Chili Pepper is controlling it, response:	he can keep going as long as the battery and fuel last!
context: I'm guessing Chili Pepper is\stealing a remote control model plane from the model shop right now.\A remote control model plane?!\That could work!\Even model planes can travel over 100 kph!\That's faster than this motorboat.\And because Chili Pepper is controlling it,\he can keep going as long as the battery and fuel last! response:	The controller signal's range won't matter!
context: stealing a remote control model plane from the model shop right now.\A remote control model plane?!\That could work!\Even model planes can travel over 100 kph!\That's faster than this motorboat.\And because Chili Pepper is controlling it,\he can keep going as long as the battery and fuel last!\The controller signal's range won't matter! response:	So Josuke, if you spot something flying, look for his user here at this harbor.
context: A remote control model plane?!\That could work!\Even model planes can travel over 100 kph!\That's faster than this motorboat.\And because Chili Pepper is controlling it,\he can keep going as long as the battery and fuel last!\The controller signal's range won't matter!\So Josuke, if you spot something flying, look for his user here at this harbor. response:	Koichi's Reverb has a range of 50 meters.
context: That could work!\Even model planes can travel over 100 kph!\That's faster than this motorboat.\And because Chili Pepper is controlling it,\he can keep going as long as the battery and fuel last!\The controller signal's range won't matter!\So Josuke, if you spot something flying, look for his user here at this harbor.\Koichi's Reverb has a range of 50 meters. response:	He can help find him.
context: Even model planes can travel over 100 kph!\That's faster than this motorboat.\And because Chili Pepper is controlling it,\he can keep going as long as the battery and fuel last!\The controller signal's range won't matter!\So Josuke, if you spot something flying, look for his user here at this harbor.\Koichi's Reverb has a range of 50 meters.\He can help find him. response:	If he makes his move before we do, the old man is finished.
context: That's faster than this motorboat.\And because Chili Pepper is controlling it,\he can keep going as long as the battery and fuel last!\The controller signal's range won't matter!\So Josuke, if you spot something flying, look for his user here at this harbor.\Koichi's Reverb has a range of 50 meters.\He can help find him.\If he makes his move before we do, the old man is finished. response:	You need to protect your father from on-shore. Got it, Josuke?
context: And because Chili Pepper is controlling it,\he can keep going as long as the battery and fuel last!\The controller signal's range won't matter!\So Josuke, if you spot something flying, look for his user here at this harbor.\Koichi's Reverb has a range of 50 meters.\He can help find him.\If he makes his move before we do, the old man is finished.\You need to protect your father from on-shore. Got it, Josuke? response:	Yeah, I get it. We don't have even a second to spare.
context: he can keep going as long as the battery and fuel last!\The controller signal's range won't matter!\So Josuke, if you spot something flying, look for his user here at this harbor.\Koichi's Reverb has a range of 50 meters.\He can help find him.\If he makes his move before we do, the old man is finished.\You need to protect your father from on-shore. Got it, Josuke?\Yeah, I get it. We don't have even a second to spare. response:	JoJo's Bizarre Adventure
context: The controller signal's range won't matter!\So Josuke, if you spot something flying, look for his user here at this harbor.\Koichi's Reverb has a range of 50 meters.\He can help find him.\If he makes his move before we do, the old man is finished.\You need to protect your father from on-shore. Got it, Josuke?\Yeah, I get it. We don't have even a second to spare.\JoJo's Bizarre Adventure response:	Diamond is Unbreakable
context: So Josuke, if you spot something flying, look for his user here at this harbor.\Koichi's Reverb has a range of 50 meters.\He can help find him.\If he makes his move before we do, the old man is finished.\You need to protect your father from on-shore. Got it, Josuke?\Yeah, I get it. We don't have even a second to spare.\JoJo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 12 Chili Pepper, Part 2
context: Koichi's Reverb has a range of 50 meters.\He can help find him.\If he makes his move before we do, the old man is finished.\You need to protect your father from on-shore. Got it, Josuke?\Yeah, I get it. We don't have even a second to spare.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 12 Chili Pepper, Part 2 response:	Do your best, Okuyasu.
context: He can help find him.\If he makes his move before we do, the old man is finished.\You need to protect your father from on-shore. Got it, Josuke?\Yeah, I get it. We don't have even a second to spare.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 12 Chili Pepper, Part 2\Do your best, Okuyasu. response:	Thanks, Koichi.
context: If he makes his move before we do, the old man is finished.\You need to protect your father from on-shore. Got it, Josuke?\Yeah, I get it. We don't have even a second to spare.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 12 Chili Pepper, Part 2\Do your best, Okuyasu.\Thanks, Koichi. response:	We'll arrive at Morioh Port in about twenty minutes, Mr. Joestar.
context: You need to protect your father from on-shore. Got it, Josuke?\Yeah, I get it. We don't have even a second to spare.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 12 Chili Pepper, Part 2\Do your best, Okuyasu.\Thanks, Koichi.\We'll arrive at Morioh Port in about twenty minutes, Mr. Joestar. response:	I see. Um...
context: Yeah, I get it. We don't have even a second to spare.\JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 12 Chili Pepper, Part 2\Do your best, Okuyasu.\Thanks, Koichi.\We'll arrive at Morioh Port in about twenty minutes, Mr. Joestar.\I see. Um... response:	Do you know where my cane is?
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Episode 12 Chili Pepper, Part 2\Do your best, Okuyasu.\Thanks, Koichi.\We'll arrive at Morioh Port in about twenty minutes, Mr. Joestar.\I see. Um...\Do you know where my cane is? response:	Huh? It's right in front of you.
context: Diamond is Unbreakable\Episode 12 Chili Pepper, Part 2\Do your best, Okuyasu.\Thanks, Koichi.\We'll arrive at Morioh Port in about twenty minutes, Mr. Joestar.\I see. Um...\Do you know where my cane is?\Huh? It's right in front of you. response:	Ahh...
context: Episode 12 Chili Pepper, Part 2\Do your best, Okuyasu.\Thanks, Koichi.\We'll arrive at Morioh Port in about twenty minutes, Mr. Joestar.\I see. Um...\Do you know where my cane is?\Huh? It's right in front of you.\Ahh... response:	My father, huh...
context: Do your best, Okuyasu.\Thanks, Koichi.\We'll arrive at Morioh Port in about twenty minutes, Mr. Joestar.\I see. Um...\Do you know where my cane is?\Huh? It's right in front of you.\Ahh...\My father, huh... response:	Josuke? Is something the matter?
context: Thanks, Koichi.\We'll arrive at Morioh Port in about twenty minutes, Mr. Joestar.\I see. Um...\Do you know where my cane is?\Huh? It's right in front of you.\Ahh...\My father, huh...\Josuke? Is something the matter? response:	Being told that some guy I've never met is my father is just kinda...
context: We'll arrive at Morioh Port in about twenty minutes, Mr. Joestar.\I see. Um...\Do you know where my cane is?\Huh? It's right in front of you.\Ahh...\My father, huh...\Josuke? Is something the matter?\Being told that some guy I've never met is my father is just kinda... response:	You know...
context: I see. Um...\Do you know where my cane is?\Huh? It's right in front of you.\Ahh...\My father, huh...\Josuke? Is something the matter?\Being told that some guy I've never met is my father is just kinda...\You know... response:	Well, it's different if his life's in danger.
context: Do you know where my cane is?\Huh? It's right in front of you.\Ahh...\My father, huh...\Josuke? Is something the matter?\Being told that some guy I've never met is my father is just kinda...\You know...\Well, it's different if his life's in danger. response:	I won't be able to sleep well unless I do my best to protect him.
context: Huh? It's right in front of you.\Ahh...\My father, huh...\Josuke? Is something the matter?\Being told that some guy I've never met is my father is just kinda...\You know...\Well, it's different if his life's in danger.\I won't be able to sleep well unless I do my best to protect him. response:	Besides, I'm sure my mom will bawl her eyes out if he dies.
context: Ahh...\My father, huh...\Josuke? Is something the matter?\Being told that some guy I've never met is my father is just kinda...\You know...\Well, it's different if his life's in danger.\I won't be able to sleep well unless I do my best to protect him.\Besides, I'm sure my mom will bawl her eyes out if he dies. response:	Damn it! It must have been Jotaro.
context: My father, huh...\Josuke? Is something the matter?\Being told that some guy I've never met is my father is just kinda...\You know...\Well, it's different if his life's in danger.\I won't be able to sleep well unless I do my best to protect him.\Besides, I'm sure my mom will bawl her eyes out if he dies.\Damn it! It must have been Jotaro. response:	If he had you two stay behind to find my user...
context: Josuke? Is something the matter?\Being told that some guy I've never met is my father is just kinda...\You know...\Well, it's different if his life's in danger.\I won't be able to sleep well unless I do my best to protect him.\Besides, I'm sure my mom will bawl her eyes out if he dies.\Damn it! It must have been Jotaro.\If he had you two stay behind to find my user... response:	Then he completely saw through my plan to use a remote control plane!
context: Being told that some guy I've never met is my father is just kinda...\You know...\Well, it's different if his life's in danger.\I won't be able to sleep well unless I do my best to protect him.\Besides, I'm sure my mom will bawl her eyes out if he dies.\Damn it! It must have been Jotaro.\If he had you two stay behind to find my user...\Then he completely saw through my plan to use a remote control plane! response:	Chili Pepper!
context: You know...\Well, it's different if his life's in danger.\I won't be able to sleep well unless I do my best to protect him.\Besides, I'm sure my mom will bawl her eyes out if he dies.\Damn it! It must have been Jotaro.\If he had you two stay behind to find my user...\Then he completely saw through my plan to use a remote control plane!\Chili Pepper! response:	Yeah!
context: Well, it's different if his life's in danger.\I won't be able to sleep well unless I do my best to protect him.\Besides, I'm sure my mom will bawl her eyes out if he dies.\Damn it! It must have been Jotaro.\If he had you two stay behind to find my user...\Then he completely saw through my plan to use a remote control plane!\Chili Pepper!\Yeah! response:	Jotaro Kujo is a smart man.
context: I won't be able to sleep well unless I do my best to protect him.\Besides, I'm sure my mom will bawl her eyes out if he dies.\Damn it! It must have been Jotaro.\If he had you two stay behind to find my user...\Then he completely saw through my plan to use a remote control plane!\Chili Pepper!\Yeah!\Jotaro Kujo is a smart man. response:	Yeah, he's the one person I don't want finding me.
context: Besides, I'm sure my mom will bawl her eyes out if he dies.\Damn it! It must have been Jotaro.\If he had you two stay behind to find my user...\Then he completely saw through my plan to use a remote control plane!\Chili Pepper!\Yeah!\Jotaro Kujo is a smart man.\Yeah, he's the one person I don't want finding me. response:	This Spitfire remote control plane
context: Damn it! It must have been Jotaro.\If he had you two stay behind to find my user...\Then he completely saw through my plan to use a remote control plane!\Chili Pepper!\Yeah!\Jotaro Kujo is a smart man.\Yeah, he's the one person I don't want finding me.\This Spitfire remote control plane response:	can get to Joseph Joestar in a mere five minutes.
context: If he had you two stay behind to find my user...\Then he completely saw through my plan to use a remote control plane!\Chili Pepper!\Yeah!\Jotaro Kujo is a smart man.\Yeah, he's the one person I don't want finding me.\This Spitfire remote control plane\can get to Joseph Joestar in a mere five minutes. response:	On the other hand, a motorboat will take about eight to ten minutes.
context: Then he completely saw through my plan to use a remote control plane!\Chili Pepper!\Yeah!\Jotaro Kujo is a smart man.\Yeah, he's the one person I don't want finding me.\This Spitfire remote control plane\can get to Joseph Joestar in a mere five minutes.\On the other hand, a motorboat will take about eight to ten minutes. response:	Which means if I take care of you two in about three minutes,
context: Chili Pepper!\Yeah!\Jotaro Kujo is a smart man.\Yeah, he's the one person I don't want finding me.\This Spitfire remote control plane\can get to Joseph Joestar in a mere five minutes.\On the other hand, a motorboat will take about eight to ten minutes.\Which means if I take care of you two in about three minutes, response:	I'll have plenty of time to get past them.
context: Yeah!\Jotaro Kujo is a smart man.\Yeah, he's the one person I don't want finding me.\This Spitfire remote control plane\can get to Joseph Joestar in a mere five minutes.\On the other hand, a motorboat will take about eight to ten minutes.\Which means if I take care of you two in about three minutes,\I'll have plenty of time to get past them. response:	Y-You're Chili Pepper's user?
context: Jotaro Kujo is a smart man.\Yeah, he's the one person I don't want finding me.\This Spitfire remote control plane\can get to Joseph Joestar in a mere five minutes.\On the other hand, a motorboat will take about eight to ten minutes.\Which means if I take care of you two in about three minutes,\I'll have plenty of time to get past them.\Y-You're Chili Pepper's user? response:	The name's Akira Otoishi, nineteen years old.
context: Yeah, he's the one person I don't want finding me.\This Spitfire remote control plane\can get to Joseph Joestar in a mere five minutes.\On the other hand, a motorboat will take about eight to ten minutes.\Which means if I take care of you two in about three minutes,\I'll have plenty of time to get past them.\Y-You're Chili Pepper's user?\The name's Akira Otoishi, nineteen years old. response:	Oh, and don't mind the guitar.
context: This Spitfire remote control plane\can get to Joseph Joestar in a mere five minutes.\On the other hand, a motorboat will take about eight to ten minutes.\Which means if I take care of you two in about three minutes,\I'll have plenty of time to get past them.\Y-You're Chili Pepper's user?\The name's Akira Otoishi, nineteen years old.\Oh, and don't mind the guitar. response:	My dream is to one day be an ultra super guitarist,
context: can get to Joseph Joestar in a mere five minutes.\On the other hand, a motorboat will take about eight to ten minutes.\Which means if I take care of you two in about three minutes,\I'll have plenty of time to get past them.\Y-You're Chili Pepper's user?\The name's Akira Otoishi, nineteen years old.\Oh, and don't mind the guitar.\My dream is to one day be an ultra super guitarist, response:	like Jimi Hendrix and Jeff Beck, who lives hard and passionately!
context: On the other hand, a motorboat will take about eight to ten minutes.\Which means if I take care of you two in about three minutes,\I'll have plenty of time to get past them.\Y-You're Chili Pepper's user?\The name's Akira Otoishi, nineteen years old.\Oh, and don't mind the guitar.\My dream is to one day be an ultra super guitarist,\like Jimi Hendrix and Jeff Beck, who lives hard and passionately! response:	So I keep it with me all the time.
context: Which means if I take care of you two in about three minutes,\I'll have plenty of time to get past them.\Y-You're Chili Pepper's user?\The name's Akira Otoishi, nineteen years old.\Oh, and don't mind the guitar.\My dream is to one day be an ultra super guitarist,\like Jimi Hendrix and Jeff Beck, who lives hard and passionately!\So I keep it with me all the time. response:	In the near future, I'm going to take my guitar
context: I'll have plenty of time to get past them.\Y-You're Chili Pepper's user?\The name's Akira Otoishi, nineteen years old.\Oh, and don't mind the guitar.\My dream is to one day be an ultra super guitarist,\like Jimi Hendrix and Jeff Beck, who lives hard and passionately!\So I keep it with me all the time.\In the near future, I'm going to take my guitar response:	and knock out people around the world!
context: Y-You're Chili Pepper's user?\The name's Akira Otoishi, nineteen years old.\Oh, and don't mind the guitar.\My dream is to one day be an ultra super guitarist,\like Jimi Hendrix and Jeff Beck, who lives hard and passionately!\So I keep it with me all the time.\In the near future, I'm going to take my guitar\and knock out people around the world! response:	Oh, yeah.
context: The name's Akira Otoishi, nineteen years old.\Oh, and don't mind the guitar.\My dream is to one day be an ultra super guitarist,\like Jimi Hendrix and Jeff Beck, who lives hard and passionately!\So I keep it with me all the time.\In the near future, I'm going to take my guitar\and knock out people around the world!\Oh, yeah. response:	I never even thought that the user would show himself on his own.
context: Oh, and don't mind the guitar.\My dream is to one day be an ultra super guitarist,\like Jimi Hendrix and Jeff Beck, who lives hard and passionately!\So I keep it with me all the time.\In the near future, I'm going to take my guitar\and knock out people around the world!\Oh, yeah.\I never even thought that the user would show himself on his own. response:	That must mean he's confident that he can kill both me and Josuke!
context: My dream is to one day be an ultra super guitarist,\like Jimi Hendrix and Jeff Beck, who lives hard and passionately!\So I keep it with me all the time.\In the near future, I'm going to take my guitar\and knock out people around the world!\Oh, yeah.\I never even thought that the user would show himself on his own.\That must mean he's confident that he can kill both me and Josuke! response:	Yeees
context: like Jimi Hendrix and Jeff Beck, who lives hard and passionately!\So I keep it with me all the time.\In the near future, I'm going to take my guitar\and knock out people around the world!\Oh, yeah.\I never even thought that the user would show himself on his own.\That must mean he's confident that he can kill both me and Josuke!\Yeees response:	I'll only use my pinky finger against your Shining Diamond,
context: So I keep it with me all the time.\In the near future, I'm going to take my guitar\and knock out people around the world!\Oh, yeah.\I never even thought that the user would show himself on his own.\That must mean he's confident that he can kill both me and Josuke!\Yeees\I'll only use my pinky finger against your Shining Diamond, response:	just like I did with Okuyasu earlier.
context: In the near future, I'm going to take my guitar\and knock out people around the world!\Oh, yeah.\I never even thought that the user would show himself on his own.\That must mean he's confident that he can kill both me and Josuke!\Yeees\I'll only use my pinky finger against your Shining Diamond,\just like I did with Okuyasu earlier. response:	Stay back, Koichi.
context: and knock out people around the world!\Oh, yeah.\I never even thought that the user would show himself on his own.\That must mean he's confident that he can kill both me and Josuke!\Yeees\I'll only use my pinky finger against your Shining Diamond,\just like I did with Okuyasu earlier.\Stay back, Koichi. response:	Here we go, Josuke Higashikata!
context: Oh, yeah.\I never even thought that the user would show himself on his own.\That must mean he's confident that he can kill both me and Josuke!\Yeees\I'll only use my pinky finger against your Shining Diamond,\just like I did with Okuyasu earlier.\Stay back, Koichi.\Here we go, Josuke Higashikata! response:	One sec.
context: I never even thought that the user would show himself on his own.\That must mean he's confident that he can kill both me and Josuke!\Yeees\I'll only use my pinky finger against your Shining Diamond,\just like I did with Okuyasu earlier.\Stay back, Koichi.\Here we go, Josuke Higashikata!\One sec. response:	Huh?
context: That must mean he's confident that he can kill both me and Josuke!\Yeees\I'll only use my pinky finger against your Shining Diamond,\just like I did with Okuyasu earlier.\Stay back, Koichi.\Here we go, Josuke Higashikata!\One sec.\Huh? response:	If you're going to use only your pinky,
context: Yeees\I'll only use my pinky finger against your Shining Diamond,\just like I did with Okuyasu earlier.\Stay back, Koichi.\Here we go, Josuke Higashikata!\One sec.\Huh?\If you're going to use only your pinky, response:	then I'm gonna make some rules, too.
context: I'll only use my pinky finger against your Shining Diamond,\just like I did with Okuyasu earlier.\Stay back, Koichi.\Here we go, Josuke Higashikata!\One sec.\Huh?\If you're going to use only your pinky,\then I'm gonna make some rules, too. response:	Rules? Don't get cocky!
context: just like I did with Okuyasu earlier.\Stay back, Koichi.\Here we go, Josuke Higashikata!\One sec.\Huh?\If you're going to use only your pinky,\then I'm gonna make some rules, too.\Rules? Don't get cocky! response:	Someone like you doesn't need any rules!
context: Stay back, Koichi.\Here we go, Josuke Higashikata!\One sec.\Huh?\If you're going to use only your pinky,\then I'm gonna make some rules, too.\Rules? Don't get cocky!\Someone like you doesn't need any rules! response:	How dare you do that, you bastard?!
context: Here we go, Josuke Higashikata!\One sec.\Huh?\If you're going to use only your pinky,\then I'm gonna make some rules, too.\Rules? Don't get cocky!\Someone like you doesn't need any rules!\How dare you do that, you bastard?! response:	Well, you said I didn't need any rules.
context: One sec.\Huh?\If you're going to use only your pinky,\then I'm gonna make some rules, too.\Rules? Don't get cocky!\Someone like you doesn't need any rules!\How dare you do that, you bastard?!\Well, you said I didn't need any rules. response:	Didn't you say something about taking care of me with just your pinky?
context: Huh?\If you're going to use only your pinky,\then I'm gonna make some rules, too.\Rules? Don't get cocky!\Someone like you doesn't need any rules!\How dare you do that, you bastard?!\Well, you said I didn't need any rules.\Didn't you say something about taking care of me with just your pinky? response:	So what are you going to do,
context: If you're going to use only your pinky,\then I'm gonna make some rules, too.\Rules? Don't get cocky!\Someone like you doesn't need any rules!\How dare you do that, you bastard?!\Well, you said I didn't need any rules.\Didn't you say something about taking care of me with just your pinky?\So what are you going to do, response:	Otoishi, my senpai?
context: then I'm gonna make some rules, too.\Rules? Don't get cocky!\Someone like you doesn't need any rules!\How dare you do that, you bastard?!\Well, you said I didn't need any rules.\Didn't you say something about taking care of me with just your pinky?\So what are you going to do,\Otoishi, my senpai? response:	I'm going to kill you.
context: Rules? Don't get cocky!\Someone like you doesn't need any rules!\How dare you do that, you bastard?!\Well, you said I didn't need any rules.\Didn't you say something about taking care of me with just your pinky?\So what are you going to do,\Otoishi, my senpai?\I'm going to kill you. response:	You already said that earlier!
context: Someone like you doesn't need any rules!\How dare you do that, you bastard?!\Well, you said I didn't need any rules.\Didn't you say something about taking care of me with just your pinky?\So what are you going to do,\Otoishi, my senpai?\I'm going to kill you.\You already said that earlier! response:	Stop saying the same thing over and over, you dumbass!
context: How dare you do that, you bastard?!\Well, you said I didn't need any rules.\Didn't you say something about taking care of me with just your pinky?\So what are you going to do,\Otoishi, my senpai?\I'm going to kill you.\You already said that earlier!\Stop saying the same thing over and over, you dumbass! response:	This agony and pain...
