context: We're about to enter Tokyo airspace. Three minutes until the drop point. response:	Open the hatch.
context: what it's like when a nation declines.\I'll secure the escape route.\We'll meet up in 36 hours.\Good luck!\Thanks!\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: I'll secure the escape route.\We'll meet up in 36 hours.\Good luck!\Thanks!\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: We'll meet up in 36 hours.\Good luck!\Thanks!\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Good luck!\Thanks!\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your eyes were given to you to acknowledge others,
context: Thanks!\The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others, response:	that your voice was given to you to tell others how you feel
context: The reality of the destruction around us fills our mind\The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel response:	All living things
context: The raging rain sounds like a storm of tears\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things response:	bear witness to my song
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song response:	Your heart contains all its truth
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth response:	Even when all you see in your path are storms
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms response:	remember that your strength is no coincidence
context: that your eyes were given to you to acknowledge others,\that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence response:	Man, Tokyo's changed a lot in such a short time...
context: that your eyes were given to you to acknowledge others,\that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Man, Tokyo's changed a lot in such a short time... response:	Kn-Knock it off!
context: that your voice was given to you to tell others how you feel\All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Man, Tokyo's changed a lot in such a short time...\Kn-Knock it off! response:	We're the ones who found this!
context: All living things\bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Man, Tokyo's changed a lot in such a short time...\Kn-Knock it off!\We're the ones who found this! response:	Stay back!
context: bear witness to my song\Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Man, Tokyo's changed a lot in such a short time...\Kn-Knock it off!\We're the ones who found this!\Stay back! response:	They're stealing vaccines from each other?
context: Your heart contains all its truth\Even when all you see in your path are storms\remember that your strength is no coincidence\Man, Tokyo's changed a lot in such a short time...\Kn-Knock it off!\We're the ones who found this!\Stay back!\They're stealing vaccines from each other? response:	That's... a Void?!
context: Even when all you see in your path are storms\remember that your strength is no coincidence\Man, Tokyo's changed a lot in such a short time...\Kn-Knock it off!\We're the ones who found this!\Stay back!\They're stealing vaccines from each other?\That's... a Void?! response:	We're looking for new recruits for a certain project.
context: remember that your strength is no coincidence\Man, Tokyo's changed a lot in such a short time...\Kn-Knock it off!\We're the ones who found this!\Stay back!\They're stealing vaccines from each other?\That's... a Void?!\We're looking for new recruits for a certain project. response:	If you swear your allegiance to President Ou ma,
context: Man, Tokyo's changed a lot in such a short time...\Kn-Knock it off!\We're the ones who found this!\Stay back!\They're stealing vaccines from each other?\That's... a Void?!\We're looking for new recruits for a certain project.\If you swear your allegiance to President Ou ma, response:	we'll grant you the right to live.
context: Kn-Knock it off!\We're the ones who found this!\Stay back!\They're stealing vaccines from each other?\That's... a Void?!\We're looking for new recruits for a certain project.\If you swear your allegiance to President Ou ma,\we'll grant you the right to live. response:	President Ouma...?
context: We're the ones who found this!\Stay back!\They're stealing vaccines from each other?\That's... a Void?!\We're looking for new recruits for a certain project.\If you swear your allegiance to President Ou ma,\we'll grant you the right to live.\President Ouma...? response:	They're a Secret Service!
context: Stay back!\They're stealing vaccines from each other?\That's... a Void?!\We're looking for new recruits for a certain project.\If you swear your allegiance to President Ou ma,\we'll grant you the right to live.\President Ouma...?\They're a Secret Service! response:	Why?!
context: They're stealing vaccines from each other?\That's... a Void?!\We're looking for new recruits for a certain project.\If you swear your allegiance to President Ou ma,\we'll grant you the right to live.\President Ouma...?\They're a Secret Service!\Why?! response:	Shall we do her, Nanba?
context: That's... a Void?!\We're looking for new recruits for a certain project.\If you swear your allegiance to President Ou ma,\we'll grant you the right to live.\President Ouma...?\They're a Secret Service!\Why?!\Shall we do her, Nanba? response:	Her Void's bound to be trash anyway.
context: We're looking for new recruits for a certain project.\If you swear your allegiance to President Ou ma,\we'll grant you the right to live.\President Ouma...?\They're a Secret Service!\Why?!\Shall we do her, Nanba?\Her Void's bound to be trash anyway. response:	Agreed.
context: If you swear your allegiance to President Ou ma,\we'll grant you the right to live.\President Ouma...?\They're a Secret Service!\Why?!\Shall we do her, Nanba?\Her Void's bound to be trash anyway.\Agreed. response:	That's far enough, cake-eaters.
context: we'll grant you the right to live.\President Ouma...?\They're a Secret Service!\Why?!\Shall we do her, Nanba?\Her Void's bound to be trash anyway.\Agreed.\That's far enough, cake-eaters. response:	Don't go showing off by using a girl who doesn't even know how to disengage the safety!
context: President Ouma...?\They're a Secret Service!\Why?!\Shall we do her, Nanba?\Her Void's bound to be trash anyway.\Agreed.\That's far enough, cake-eaters.\Don't go showing off by using a girl who doesn't even know how to disengage the safety! response:	An enemy?
context: They're a Secret Service!\Why?!\Shall we do her, Nanba?\Her Void's bound to be trash anyway.\Agreed.\That's far enough, cake-eaters.\Don't go showing off by using a girl who doesn't even know how to disengage the safety!\An enemy? response:	Hold on, Miyabi.
context: Why?!\Shall we do her, Nanba?\Her Void's bound to be trash anyway.\Agreed.\That's far enough, cake-eaters.\Don't go showing off by using a girl who doesn't even know how to disengage the safety!\An enemy?\Hold on, Miyabi. response:	That emblem... Could he be a member of the Undertakers?
context: Shall we do her, Nanba?\Her Void's bound to be trash anyway.\Agreed.\That's far enough, cake-eaters.\Don't go showing off by using a girl who doesn't even know how to disengage the safety!\An enemy?\Hold on, Miyabi.\That emblem... Could he be a member of the Undertakers? response:	What if I am?
context: Her Void's bound to be trash anyway.\Agreed.\That's far enough, cake-eaters.\Don't go showing off by using a girl who doesn't even know how to disengage the safety!\An enemy?\Hold on, Miyabi.\That emblem... Could he be a member of the Undertakers?\What if I am? response:	You mean...
context: Agreed.\That's far enough, cake-eaters.\Don't go showing off by using a girl who doesn't even know how to disengage the safety!\An enemy?\Hold on, Miyabi.\That emblem... Could he be a member of the Undertakers?\What if I am?\You mean... response:	The one running this school right now is Shu?
context: That's far enough, cake-eaters.\Don't go showing off by using a girl who doesn't even know how to disengage the safety!\An enemy?\Hold on, Miyabi.\That emblem... Could he be a member of the Undertakers?\What if I am?\You mean...\The one running this school right now is Shu? response:	I can't believe this... he's just Shu.
context: Don't go showing off by using a girl who doesn't even know how to disengage the safety!\An enemy?\Hold on, Miyabi.\That emblem... Could he be a member of the Undertakers?\What if I am?\You mean...\The one running this school right now is Shu?\I can't believe this... he's just Shu. response:	That was rude.
context: An enemy?\Hold on, Miyabi.\That emblem... Could he be a member of the Undertakers?\What if I am?\You mean...\The one running this school right now is Shu?\I can't believe this... he's just Shu.\That was rude. response:	Now, now.
context: Hold on, Miyabi.\That emblem... Could he be a member of the Undertakers?\What if I am?\You mean...\The one running this school right now is Shu?\I can't believe this... he's just Shu.\That was rude.\Now, now. response:	Sorry. She pretty much idolizes the president.
context: That emblem... Could he be a member of the Undertakers?\What if I am?\You mean...\The one running this school right now is Shu?\I can't believe this... he's just Shu.\That was rude.\Now, now.\Sorry. She pretty much idolizes the president. response:	Idolizes...?
context: What if I am?\You mean...\The one running this school right now is Shu?\I can't believe this... he's just Shu.\That was rude.\Now, now.\Sorry. She pretty much idolizes the president.\Idolizes...? response:	Secret Service members Takarada Ritsu and Herikawa Miyabi.
context: You mean...\The one running this school right now is Shu?\I can't believe this... he's just Shu.\That was rude.\Now, now.\Sorry. She pretty much idolizes the president.\Idolizes...?\Secret Service members Takarada Ritsu and Herikawa Miyabi. response:	We've brought a guest.
context: The one running this school right now is Shu?\I can't believe this... he's just Shu.\That was rude.\Now, now.\Sorry. She pretty much idolizes the president.\Idolizes...?\Secret Service members Takarada Ritsu and Herikawa Miyabi.\We've brought a guest. response:	What does the Resonance Gauge say?
context: I can't believe this... he's just Shu.\That was rude.\Now, now.\Sorry. She pretty much idolizes the president.\Idolizes...?\Secret Service members Takarada Ritsu and Herikawa Miyabi.\We've brought a guest.\What does the Resonance Gauge say? response:	Her number's higher than you'd think.
context: That was rude.\Now, now.\Sorry. She pretty much idolizes the president.\Idolizes...?\Secret Service members Takarada Ritsu and Herikawa Miyabi.\We've brought a guest.\What does the Resonance Gauge say?\Her number's higher than you'd think. response:	I see.
context: Now, now.\Sorry. She pretty much idolizes the president.\Idolizes...?\Secret Service members Takarada Ritsu and Herikawa Miyabi.\We've brought a guest.\What does the Resonance Gauge say?\Her number's higher than you'd think.\I see. response:	This one might be a good find, Shu.
context: Sorry. She pretty much idolizes the president.\Idolizes...?\Secret Service members Takarada Ritsu and Herikawa Miyabi.\We've brought a guest.\What does the Resonance Gauge say?\Her number's higher than you'd think.\I see.\This one might be a good find, Shu. response:	Shu?!
context: Idolizes...?\Secret Service members Takarada Ritsu and Herikawa Miyabi.\We've brought a guest.\What does the Resonance Gauge say?\Her number's higher than you'd think.\I see.\This one might be a good find, Shu.\Shu?! response:	I can't draw out her Void like that.
context: Secret Service members Takarada Ritsu and Herikawa Miyabi.\We've brought a guest.\What does the Resonance Gauge say?\Her number's higher than you'd think.\I see.\This one might be a good find, Shu.\Shu?!\I can't draw out her Void like that. response:	Make her look at me.
context: We've brought a guest.\What does the Resonance Gauge say?\Her number's higher than you'd think.\I see.\This one might be a good find, Shu.\Shu?!\I can't draw out her Void like that.\Make her look at me. response:	Congratulations. You're Rank A.
context: What does the Resonance Gauge say?\Her number's higher than you'd think.\I see.\This one might be a good find, Shu.\Shu?!\I can't draw out her Void like that.\Make her look at me.\Congratulations. You're Rank A. response:	I want you to work hard for this school.
context: Her number's higher than you'd think.\I see.\This one might be a good find, Shu.\Shu?!\I can't draw out her Void like that.\Make her look at me.\Congratulations. You're Rank A.\I want you to work hard for this school. response:	Rank... A?
context: I see.\This one might be a good find, Shu.\Shu?!\I can't draw out her Void like that.\Make her look at me.\Congratulations. You're Rank A.\I want you to work hard for this school.\Rank... A? response:	Me?
context: This one might be a good find, Shu.\Shu?!\I can't draw out her Void like that.\Make her look at me.\Congratulations. You're Rank A.\I want you to work hard for this school.\Rank... A?\Me? response:	Hey, Shu!
context: Shu?!\I can't draw out her Void like that.\Make her look at me.\Congratulations. You're Rank A.\I want you to work hard for this school.\Rank... A?\Me?\Hey, Shu! response:	Ah. It's been a long time, Argo.
context: I can't draw out her Void like that.\Make her look at me.\Congratulations. You're Rank A.\I want you to work hard for this school.\Rank... A?\Me?\Hey, Shu!\Ah. It's been a long time, Argo. response:	I'm glad you're all right.
context: Make her look at me.\Congratulations. You're Rank A.\I want you to work hard for this school.\Rank... A?\Me?\Hey, Shu!\Ah. It's been a long time, Argo.\I'm glad you're all right. response:	This is a pretty elaborate setup you have here.
context: Congratulations. You're Rank A.\I want you to work hard for this school.\Rank... A?\Me?\Hey, Shu!\Ah. It's been a long time, Argo.\I'm glad you're all right.\This is a pretty elaborate setup you have here. response:	There's a possibility the government is introducing a new genomic weapon.
context: I want you to work hard for this school.\Rank... A?\Me?\Hey, Shu!\Ah. It's been a long time, Argo.\I'm glad you're all right.\This is a pretty elaborate setup you have here.\There's a possibility the government is introducing a new genomic weapon. response:	Genomic weapon?
context: Rank... A?\Me?\Hey, Shu!\Ah. It's been a long time, Argo.\I'm glad you're all right.\This is a pretty elaborate setup you have here.\There's a possibility the government is introducing a new genomic weapon.\Genomic weapon? response:	Yes. One of the students fell victim to it a few days ago.
context: Me?\Hey, Shu!\Ah. It's been a long time, Argo.\I'm glad you're all right.\This is a pretty elaborate setup you have here.\There's a possibility the government is introducing a new genomic weapon.\Genomic weapon?\Yes. One of the students fell victim to it a few days ago. response:	By the way...
context: Hey, Shu!\Ah. It's been a long time, Argo.\I'm glad you're all right.\This is a pretty elaborate setup you have here.\There's a possibility the government is introducing a new genomic weapon.\Genomic weapon?\Yes. One of the students fell victim to it a few days ago.\By the way... response:	Wasn't the student council president a girl named Arisa Kuhouin?
context: Ah. It's been a long time, Argo.\I'm glad you're all right.\This is a pretty elaborate setup you have here.\There's a possibility the government is introducing a new genomic weapon.\Genomic weapon?\Yes. One of the students fell victim to it a few days ago.\By the way...\Wasn't the student council president a girl named Arisa Kuhouin? response:	Do you have business with her?
context: I'm glad you're all right.\This is a pretty elaborate setup you have here.\There's a possibility the government is introducing a new genomic weapon.\Genomic weapon?\Yes. One of the students fell victim to it a few days ago.\By the way...\Wasn't the student council president a girl named Arisa Kuhouin?\Do you have business with her? response:	I'm under orders from her grandfather to bring her back outside.
context: This is a pretty elaborate setup you have here.\There's a possibility the government is introducing a new genomic weapon.\Genomic weapon?\Yes. One of the students fell victim to it a few days ago.\By the way...\Wasn't the student council president a girl named Arisa Kuhouin?\Do you have business with her?\I'm under orders from her grandfather to bring her back outside. response:	So, where is she?
context: There's a possibility the government is introducing a new genomic weapon.\Genomic weapon?\Yes. One of the students fell victim to it a few days ago.\By the way...\Wasn't the student council president a girl named Arisa Kuhouin?\Do you have business with her?\I'm under orders from her grandfather to bring her back outside.\So, where is she? response:	I'm sorry, but Shu has a full schedule.
context: Genomic weapon?\Yes. One of the students fell victim to it a few days ago.\By the way...\Wasn't the student council president a girl named Arisa Kuhouin?\Do you have business with her?\I'm under orders from her grandfather to bring her back outside.\So, where is she?\I'm sorry, but Shu has a full schedule. response:	Can we walk and talk?
context: Yes. One of the students fell victim to it a few days ago.\By the way...\Wasn't the student council president a girl named Arisa Kuhouin?\Do you have business with her?\I'm under orders from her grandfather to bring her back outside.\So, where is she?\I'm sorry, but Shu has a full schedule.\Can we walk and talk? response:	Sure, fine by me.
context: By the way...\Wasn't the student council president a girl named Arisa Kuhouin?\Do you have business with her?\I'm under orders from her grandfather to bring her back outside.\So, where is she?\I'm sorry, but Shu has a full schedule.\Can we walk and talk?\Sure, fine by me. response:	What are they doing?
context: Wasn't the student council president a girl named Arisa Kuhouin?\Do you have business with her?\I'm under orders from her grandfather to bring her back outside.\So, where is she?\I'm sorry, but Shu has a full schedule.\Can we walk and talk?\Sure, fine by me.\What are they doing? response:	Look.
context: Do you have business with her?\I'm under orders from her grandfather to bring her back outside.\So, where is she?\I'm sorry, but Shu has a full schedule.\Can we walk and talk?\Sure, fine by me.\What are they doing?\Look. response:	It's an army transport ship abandoned during the confusion resulting from the sealing of Tokyo.
context: I'm under orders from her grandfather to bring her back outside.\So, where is she?\I'm sorry, but Shu has a full schedule.\Can we walk and talk?\Sure, fine by me.\What are they doing?\Look.\It's an army transport ship abandoned during the confusion resulting from the sealing of Tokyo. response:	It has vaccine and ammunition inside.
context: So, where is she?\I'm sorry, but Shu has a full schedule.\Can we walk and talk?\Sure, fine by me.\What are they doing?\Look.\It's an army transport ship abandoned during the confusion resulting from the sealing of Tokyo.\It has vaccine and ammunition inside. response:	And you're scavenging them.
context: I'm sorry, but Shu has a full schedule.\Can we walk and talk?\Sure, fine by me.\What are they doing?\Look.\It's an army transport ship abandoned during the confusion resulting from the sealing of Tokyo.\It has vaccine and ammunition inside.\And you're scavenging them. response:	Pretty miserly...
context: Can we walk and talk?\Sure, fine by me.\What are they doing?\Look.\It's an army transport ship abandoned during the confusion resulting from the sealing of Tokyo.\It has vaccine and ammunition inside.\And you're scavenging them.\Pretty miserly... response:	Whoa, hey!
context: Sure, fine by me.\What are they doing?\Look.\It's an army transport ship abandoned during the confusion resulting from the sealing of Tokyo.\It has vaccine and ammunition inside.\And you're scavenging them.\Pretty miserly...\Whoa, hey! response:	They're all symptomatic!
context: What are they doing?\Look.\It's an army transport ship abandoned during the confusion resulting from the sealing of Tokyo.\It has vaccine and ammunition inside.\And you're scavenging them.\Pretty miserly...\Whoa, hey!\They're all symptomatic! response:	These parts won't hold out.
context: Look.\It's an army transport ship abandoned during the confusion resulting from the sealing of Tokyo.\It has vaccine and ammunition inside.\And you're scavenging them.\Pretty miserly...\Whoa, hey!\They're all symptomatic!\These parts won't hold out. response:	Work something out.
context: It's an army transport ship abandoned during the confusion resulting from the sealing of Tokyo.\It has vaccine and ammunition inside.\And you're scavenging them.\Pretty miserly...\Whoa, hey!\They're all symptomatic!\These parts won't hold out.\Work something out. response:	It's okay.
context: It has vaccine and ammunition inside.\And you're scavenging them.\Pretty miserly...\Whoa, hey!\They're all symptomatic!\These parts won't hold out.\Work something out.\It's okay. response:	If they do their work, they can get injections before they hit Stage II.
context: And you're scavenging them.\Pretty miserly...\Whoa, hey!\They're all symptomatic!\These parts won't hold out.\Work something out.\It's okay.\If they do their work, they can get injections before they hit Stage II. response:	That's...!
context: Pretty miserly...\Whoa, hey!\They're all symptomatic!\These parts won't hold out.\Work something out.\It's okay.\If they do their work, they can get injections before they hit Stage II.\That's...! response:	Squad leader.
context: Whoa, hey!\They're all symptomatic!\These parts won't hold out.\Work something out.\It's okay.\If they do their work, they can get injections before they hit Stage II.\That's...!\Squad leader. response:	Yes, Sir!
context: They're all symptomatic!\These parts won't hold out.\Work something out.\It's okay.\If they do their work, they can get injections before they hit Stage II.\That's...!\Squad leader.\Yes, Sir! response:	You're not fulfilling your quota.
context: These parts won't hold out.\Work something out.\It's okay.\If they do their work, they can get injections before they hit Stage II.\That's...!\Squad leader.\Yes, Sir!\You're not fulfilling your quota. response:	I'd like to know why.
context: Work something out.\It's okay.\If they do their work, they can get injections before they hit Stage II.\That's...!\Squad leader.\Yes, Sir!\You're not fulfilling your quota.\I'd like to know why. response:	I'm afraid that the symptomatic students aren't able to work at their max
context: It's okay.\If they do their work, they can get injections before they hit Stage II.\That's...!\Squad leader.\Yes, Sir!\You're not fulfilling your quota.\I'd like to know why.\I'm afraid that the symptomatic students aren't able to work at their max response:	We've got trouble! It's pump 12!
context: If they do their work, they can get injections before they hit Stage II.\That's...!\Squad leader.\Yes, Sir!\You're not fulfilling your quota.\I'd like to know why.\I'm afraid that the symptomatic students aren't able to work at their max\We've got trouble! It's pump 12! response:	Whose is it?!
context: That's...!\Squad leader.\Yes, Sir!\You're not fulfilling your quota.\I'd like to know why.\I'm afraid that the symptomatic students aren't able to work at their max\We've got trouble! It's pump 12!\Whose is it?! response:	Tamadate Souta, from 2-A!
context: Squad leader.\Yes, Sir!\You're not fulfilling your quota.\I'd like to know why.\I'm afraid that the symptomatic students aren't able to work at their max\We've got trouble! It's pump 12!\Whose is it?!\Tamadate Souta, from 2-A! response:	Do we have a spare?
context: Yes, Sir!\You're not fulfilling your quota.\I'd like to know why.\I'm afraid that the symptomatic students aren't able to work at their max\We've got trouble! It's pump 12!\Whose is it?!\Tamadate Souta, from 2-A!\Do we have a spare? response:	No, they're all in use!
context: You're not fulfilling your quota.\I'd like to know why.\I'm afraid that the symptomatic students aren't able to work at their max\We've got trouble! It's pump 12!\Whose is it?!\Tamadate Souta, from 2-A!\Do we have a spare?\No, they're all in use! response:	No choice, then.
context: I'd like to know why.\I'm afraid that the symptomatic students aren't able to work at their max\We've got trouble! It's pump 12!\Whose is it?!\Tamadate Souta, from 2-A!\Do we have a spare?\No, they're all in use!\No choice, then. response:	We have that medical oxygen tank we salvaged, right?
context: I'm afraid that the symptomatic students aren't able to work at their max\We've got trouble! It's pump 12!\Whose is it?!\Tamadate Souta, from 2-A!\Do we have a spare?\No, they're all in use!\No choice, then.\We have that medical oxygen tank we salvaged, right? response:	Get that.
context: We've got trouble! It's pump 12!\Whose is it?!\Tamadate Souta, from 2-A!\Do we have a spare?\No, they're all in use!\No choice, then.\We have that medical oxygen tank we salvaged, right?\Get that. response:	Wait.
context: Whose is it?!\Tamadate Souta, from 2-A!\Do we have a spare?\No, they're all in use!\No choice, then.\We have that medical oxygen tank we salvaged, right?\Get that.\Wait. response:	His diving suit should have a small emergency tank, am I right?
context: Tamadate Souta, from 2-A!\Do we have a spare?\No, they're all in use!\No choice, then.\We have that medical oxygen tank we salvaged, right?\Get that.\Wait.\His diving suit should have a small emergency tank, am I right? response:	If he uses that, he should be able to cut the hose and escape.
context: Do we have a spare?\No, they're all in use!\No choice, then.\We have that medical oxygen tank we salvaged, right?\Get that.\Wait.\His diving suit should have a small emergency tank, am I right?\If he uses that, he should be able to cut the hose and escape. response:	There's a switch on the helmet.
context: No, they're all in use!\No choice, then.\We have that medical oxygen tank we salvaged, right?\Get that.\Wait.\His diving suit should have a small emergency tank, am I right?\If he uses that, he should be able to cut the hose and escape.\There's a switch on the helmet. response:	He has to figure it out for himself.
context: No choice, then.\We have that medical oxygen tank we salvaged, right?\Get that.\Wait.\His diving suit should have a small emergency tank, am I right?\If he uses that, he should be able to cut the hose and escape.\There's a switch on the helmet.\He has to figure it out for himself. response:	So don't interfere.
context: We have that medical oxygen tank we salvaged, right?\Get that.\Wait.\His diving suit should have a small emergency tank, am I right?\If he uses that, he should be able to cut the hose and escape.\There's a switch on the helmet.\He has to figure it out for himself.\So don't interfere. response:	What?!
context: Get that.\Wait.\His diving suit should have a small emergency tank, am I right?\If he uses that, he should be able to cut the hose and escape.\There's a switch on the helmet.\He has to figure it out for himself.\So don't interfere.\What?! response:	You're just gonna let him die?!
context: Wait.\His diving suit should have a small emergency tank, am I right?\If he uses that, he should be able to cut the hose and escape.\There's a switch on the helmet.\He has to figure it out for himself.\So don't interfere.\What?!\You're just gonna let him die?! response:	You're scum!
