context: hontou wa totemo totemo ureshikatta yo response:	but the truth is, I was really, really happy.
context: I'm sorry.\I'm sorry.\Hello?\Hi, Yukiatsu.\Poppo wants to meet up to make the final arrangements tonight.\Are you coming?\I don't know.\That's understandable. response:	Anyway, let's meet up in front of the subway station...
context: I'm sorry.\Hello?\Hi, Yukiatsu.\Poppo wants to meet up to make the final arrangements tonight.\Are you coming?\I don't know.\That's understandable.\Anyway, let's meet up in front of the subway station... response:	By the way, is Tsurumi still the same as always?
context: Hello?\Hi, Yukiatsu.\Poppo wants to meet up to make the final arrangements tonight.\Are you coming?\I don't know.\That's understandable.\Anyway, let's meet up in front of the subway station...\By the way, is Tsurumi still the same as always? response:	She acts like she's the only one who understands you.
context: Hi, Yukiatsu.\Poppo wants to meet up to make the final arrangements tonight.\Are you coming?\I don't know.\That's understandable.\Anyway, let's meet up in front of the subway station...\By the way, is Tsurumi still the same as always?\She acts like she's the only one who understands you. response:	He's 181 cm tall and weighs 68 kilos.
context: Poppo wants to meet up to make the final arrangements tonight.\Are you coming?\I don't know.\That's understandable.\Anyway, let's meet up in front of the subway station...\By the way, is Tsurumi still the same as always?\She acts like she's the only one who understands you.\He's 181 cm tall and weighs 68 kilos. response:	His favorite food is a bean paste pastry.
context: Are you coming?\I don't know.\That's understandable.\Anyway, let's meet up in front of the subway station...\By the way, is Tsurumi still the same as always?\She acts like she's the only one who understands you.\He's 181 cm tall and weighs 68 kilos.\His favorite food is a bean paste pastry. response:	His hobby is cross-dressing.
context: I don't know.\That's understandable.\Anyway, let's meet up in front of the subway station...\By the way, is Tsurumi still the same as always?\She acts like she's the only one who understands you.\He's 181 cm tall and weighs 68 kilos.\His favorite food is a bean paste pastry.\His hobby is cross-dressing. response:	Cross-dressing?
context: That's understandable.\Anyway, let's meet up in front of the subway station...\By the way, is Tsurumi still the same as always?\She acts like she's the only one who understands you.\He's 181 cm tall and weighs 68 kilos.\His favorite food is a bean paste pastry.\His hobby is cross-dressing.\Cross-dressing? response:	Wait Tsurumi, we still haven't asked what we wanted to.
context: Anyway, let's meet up in front of the subway station...\By the way, is Tsurumi still the same as always?\She acts like she's the only one who understands you.\He's 181 cm tall and weighs 68 kilos.\His favorite food is a bean paste pastry.\His hobby is cross-dressing.\Cross-dressing?\Wait Tsurumi, we still haven't asked what we wanted to. response:	Hey.
context: By the way, is Tsurumi still the same as always?\She acts like she's the only one who understands you.\He's 181 cm tall and weighs 68 kilos.\His favorite food is a bean paste pastry.\His hobby is cross-dressing.\Cross-dressing?\Wait Tsurumi, we still haven't asked what we wanted to.\Hey. response:	That hurts.
context: She acts like she's the only one who understands you.\He's 181 cm tall and weighs 68 kilos.\His favorite food is a bean paste pastry.\His hobby is cross-dressing.\Cross-dressing?\Wait Tsurumi, we still haven't asked what we wanted to.\Hey.\That hurts. response:	You agreed not to talk about that.
context: He's 181 cm tall and weighs 68 kilos.\His favorite food is a bean paste pastry.\His hobby is cross-dressing.\Cross-dressing?\Wait Tsurumi, we still haven't asked what we wanted to.\Hey.\That hurts.\You agreed not to talk about that. response:	It could really affect...
context: His favorite food is a bean paste pastry.\His hobby is cross-dressing.\Cross-dressing?\Wait Tsurumi, we still haven't asked what we wanted to.\Hey.\That hurts.\You agreed not to talk about that.\It could really affect... response:	That hurts.
context: His hobby is cross-dressing.\Cross-dressing?\Wait Tsurumi, we still haven't asked what we wanted to.\Hey.\That hurts.\You agreed not to talk about that.\It could really affect...\That hurts. response:	Tsurumi?
context: Cross-dressing?\Wait Tsurumi, we still haven't asked what we wanted to.\Hey.\That hurts.\You agreed not to talk about that.\It could really affect...\That hurts.\Tsurumi? response:	Alright, let's get to it!
context: Wait Tsurumi, we still haven't asked what we wanted to.\Hey.\That hurts.\You agreed not to talk about that.\It could really affect...\That hurts.\Tsurumi?\Alright, let's get to it! response:	Let's start our grand preparations for Menma's ascent to heaven tomorrow!
context: Hey.\That hurts.\You agreed not to talk about that.\It could really affect...\That hurts.\Tsurumi?\Alright, let's get to it!\Let's start our grand preparations for Menma's ascent to heaven tomorrow! response:	Let's make some decorations, partner!
context: That hurts.\You agreed not to talk about that.\It could really affect...\That hurts.\Tsurumi?\Alright, let's get to it!\Let's start our grand preparations for Menma's ascent to heaven tomorrow!\Let's make some decorations, partner! response:	I'm going to make flowers out of tissues!
context: You agreed not to talk about that.\It could really affect...\That hurts.\Tsurumi?\Alright, let's get to it!\Let's start our grand preparations for Menma's ascent to heaven tomorrow!\Let's make some decorations, partner!\I'm going to make flowers out of tissues! response:	You're the guest of honor. Why are you getting involved in the preparations?
context: It could really affect...\That hurts.\Tsurumi?\Alright, let's get to it!\Let's start our grand preparations for Menma's ascent to heaven tomorrow!\Let's make some decorations, partner!\I'm going to make flowers out of tissues!\You're the guest of honor. Why are you getting involved in the preparations? response:	Because it's fun.
context: That hurts.\Tsurumi?\Alright, let's get to it!\Let's start our grand preparations for Menma's ascent to heaven tomorrow!\Let's make some decorations, partner!\I'm going to make flowers out of tissues!\You're the guest of honor. Why are you getting involved in the preparations?\Because it's fun. response:	That looks good, Menma.
context: Tsurumi?\Alright, let's get to it!\Let's start our grand preparations for Menma's ascent to heaven tomorrow!\Let's make some decorations, partner!\I'm going to make flowers out of tissues!\You're the guest of honor. Why are you getting involved in the preparations?\Because it's fun.\That looks good, Menma. response:	Don't space out Jintan. Make a garbage can out of those papers.
context: Alright, let's get to it!\Let's start our grand preparations for Menma's ascent to heaven tomorrow!\Let's make some decorations, partner!\I'm going to make flowers out of tissues!\You're the guest of honor. Why are you getting involved in the preparations?\Because it's fun.\That looks good, Menma.\Don't space out Jintan. Make a garbage can out of those papers. response:	Wha...? Oh, right.
context: Let's start our grand preparations for Menma's ascent to heaven tomorrow!\Let's make some decorations, partner!\I'm going to make flowers out of tissues!\You're the guest of honor. Why are you getting involved in the preparations?\Because it's fun.\That looks good, Menma.\Don't space out Jintan. Make a garbage can out of those papers.\Wha...? Oh, right. response:	A garbage can?
context: Let's make some decorations, partner!\I'm going to make flowers out of tissues!\You're the guest of honor. Why are you getting involved in the preparations?\Because it's fun.\That looks good, Menma.\Don't space out Jintan. Make a garbage can out of those papers.\Wha...? Oh, right.\A garbage can? response:	Back in the day I was a little dork.
context: I'm going to make flowers out of tissues!\You're the guest of honor. Why are you getting involved in the preparations?\Because it's fun.\That looks good, Menma.\Don't space out Jintan. Make a garbage can out of those papers.\Wha...? Oh, right.\A garbage can?\Back in the day I was a little dork. response:	I acted like an idiot so people would pay attention to me.
context: You're the guest of honor. Why are you getting involved in the preparations?\Because it's fun.\That looks good, Menma.\Don't space out Jintan. Make a garbage can out of those papers.\Wha...? Oh, right.\A garbage can?\Back in the day I was a little dork.\I acted like an idiot so people would pay attention to me. response:	But Jintan and everyone else became my friends, and in the end...
context: Because it's fun.\That looks good, Menma.\Don't space out Jintan. Make a garbage can out of those papers.\Wha...? Oh, right.\A garbage can?\Back in the day I was a little dork.\I acted like an idiot so people would pay attention to me.\But Jintan and everyone else became my friends, and in the end... response:	Even though all I could do was watch everyone else from the sidelines...
context: That looks good, Menma.\Don't space out Jintan. Make a garbage can out of those papers.\Wha...? Oh, right.\A garbage can?\Back in the day I was a little dork.\I acted like an idiot so people would pay attention to me.\But Jintan and everyone else became my friends, and in the end...\Even though all I could do was watch everyone else from the sidelines... response:	All I could do was watch...
context: Don't space out Jintan. Make a garbage can out of those papers.\Wha...? Oh, right.\A garbage can?\Back in the day I was a little dork.\I acted like an idiot so people would pay attention to me.\But Jintan and everyone else became my friends, and in the end...\Even though all I could do was watch everyone else from the sidelines...\All I could do was watch... response:	Poppo?
context: Wha...? Oh, right.\A garbage can?\Back in the day I was a little dork.\I acted like an idiot so people would pay attention to me.\But Jintan and everyone else became my friends, and in the end...\Even though all I could do was watch everyone else from the sidelines...\All I could do was watch...\Poppo? response:	Anyway, that's why I'm taking care of everything this time.
context: A garbage can?\Back in the day I was a little dork.\I acted like an idiot so people would pay attention to me.\But Jintan and everyone else became my friends, and in the end...\Even though all I could do was watch everyone else from the sidelines...\All I could do was watch...\Poppo?\Anyway, that's why I'm taking care of everything this time. response:	I'll send you off in style, Menma.
context: Back in the day I was a little dork.\I acted like an idiot so people would pay attention to me.\But Jintan and everyone else became my friends, and in the end...\Even though all I could do was watch everyone else from the sidelines...\All I could do was watch...\Poppo?\Anyway, that's why I'm taking care of everything this time.\I'll send you off in style, Menma. response:	I'm looking forward to it.
context: I acted like an idiot so people would pay attention to me.\But Jintan and everyone else became my friends, and in the end...\Even though all I could do was watch everyone else from the sidelines...\All I could do was watch...\Poppo?\Anyway, that's why I'm taking care of everything this time.\I'll send you off in style, Menma.\I'm looking forward to it. response:	You're so nice, Poppo!
context: But Jintan and everyone else became my friends, and in the end...\Even though all I could do was watch everyone else from the sidelines...\All I could do was watch...\Poppo?\Anyway, that's why I'm taking care of everything this time.\I'll send you off in style, Menma.\I'm looking forward to it.\You're so nice, Poppo! response:	What do you plan to do about that?
context: Even though all I could do was watch everyone else from the sidelines...\All I could do was watch...\Poppo?\Anyway, that's why I'm taking care of everything this time.\I'll send you off in style, Menma.\I'm looking forward to it.\You're so nice, Poppo!\What do you plan to do about that? response:	There's no way I could go.
context: All I could do was watch...\Poppo?\Anyway, that's why I'm taking care of everything this time.\I'll send you off in style, Menma.\I'm looking forward to it.\You're so nice, Poppo!\What do you plan to do about that?\There's no way I could go. response:	How much will those kids torment me before they're satisfied?
context: Poppo?\Anyway, that's why I'm taking care of everything this time.\I'll send you off in style, Menma.\I'm looking forward to it.\You're so nice, Poppo!\What do you plan to do about that?\There's no way I could go.\How much will those kids torment me before they're satisfied? response:	How much...
context: Anyway, that's why I'm taking care of everything this time.\I'll send you off in style, Menma.\I'm looking forward to it.\You're so nice, Poppo!\What do you plan to do about that?\There's no way I could go.\How much will those kids torment me before they're satisfied?\How much... response:	I'm going.
context: I'll send you off in style, Menma.\I'm looking forward to it.\You're so nice, Poppo!\What do you plan to do about that?\There's no way I could go.\How much will those kids torment me before they're satisfied?\How much...\I'm going. response:	Why?
context: I'm looking forward to it.\You're so nice, Poppo!\What do you plan to do about that?\There's no way I could go.\How much will those kids torment me before they're satisfied?\How much...\I'm going.\Why? response:	Why would you do that, Saa?
context: You're so nice, Poppo!\What do you plan to do about that?\There's no way I could go.\How much will those kids torment me before they're satisfied?\How much...\I'm going.\Why?\Why would you do that, Saa? response:	Hey, calm down.
context: What do you plan to do about that?\There's no way I could go.\How much will those kids torment me before they're satisfied?\How much...\I'm going.\Why?\Why would you do that, Saa?\Hey, calm down. response:	Do you even know how tall I am?
context: There's no way I could go.\How much will those kids torment me before they're satisfied?\How much...\I'm going.\Why?\Why would you do that, Saa?\Hey, calm down.\Do you even know how tall I am? response:	I've grown a lot this past year.
context: How much will those kids torment me before they're satisfied?\How much...\I'm going.\Why?\Why would you do that, Saa?\Hey, calm down.\Do you even know how tall I am?\I've grown a lot this past year. response:	It must have been lonesome, for both you and Satoshi.
context: How much...\I'm going.\Why?\Why would you do that, Saa?\Hey, calm down.\Do you even know how tall I am?\I've grown a lot this past year.\It must have been lonesome, for both you and Satoshi. response:	There's no way you can forget about Meiko, and that's fine.
context: I'm going.\Why?\Why would you do that, Saa?\Hey, calm down.\Do you even know how tall I am?\I've grown a lot this past year.\It must have been lonesome, for both you and Satoshi.\There's no way you can forget about Meiko, and that's fine. response:	But I think we're all lonely.
context: Why?\Why would you do that, Saa?\Hey, calm down.\Do you even know how tall I am?\I've grown a lot this past year.\It must have been lonesome, for both you and Satoshi.\There's no way you can forget about Meiko, and that's fine.\But I think we're all lonely. response:	You, Satoshi, and myself, the three of us are together.
context: Why would you do that, Saa?\Hey, calm down.\Do you even know how tall I am?\I've grown a lot this past year.\It must have been lonesome, for both you and Satoshi.\There's no way you can forget about Meiko, and that's fine.\But I think we're all lonely.\You, Satoshi, and myself, the three of us are together. response:	I wonder what'll happen.
context: Hey, calm down.\Do you even know how tall I am?\I've grown a lot this past year.\It must have been lonesome, for both you and Satoshi.\There's no way you can forget about Meiko, and that's fine.\But I think we're all lonely.\You, Satoshi, and myself, the three of us are together.\I wonder what'll happen. response:	You mean if they launch the fireworks?
context: Do you even know how tall I am?\I've grown a lot this past year.\It must have been lonesome, for both you and Satoshi.\There's no way you can forget about Meiko, and that's fine.\But I think we're all lonely.\You, Satoshi, and myself, the three of us are together.\I wonder what'll happen.\You mean if they launch the fireworks? response:	If Menma disappears...
context: I've grown a lot this past year.\It must have been lonesome, for both you and Satoshi.\There's no way you can forget about Meiko, and that's fine.\But I think we're all lonely.\You, Satoshi, and myself, the three of us are together.\I wonder what'll happen.\You mean if they launch the fireworks?\If Menma disappears... response:	I used to think about it all the time.
context: It must have been lonesome, for both you and Satoshi.\There's no way you can forget about Meiko, and that's fine.\But I think we're all lonely.\You, Satoshi, and myself, the three of us are together.\I wonder what'll happen.\You mean if they launch the fireworks?\If Menma disappears...\I used to think about it all the time. response:	If Menma disappeared, Jintan and I would be able to get along well.
context: There's no way you can forget about Meiko, and that's fine.\But I think we're all lonely.\You, Satoshi, and myself, the three of us are together.\I wonder what'll happen.\You mean if they launch the fireworks?\If Menma disappears...\I used to think about it all the time.\If Menma disappeared, Jintan and I would be able to get along well. response:	But I was wrong.
context: But I think we're all lonely.\You, Satoshi, and myself, the three of us are together.\I wonder what'll happen.\You mean if they launch the fireworks?\If Menma disappears...\I used to think about it all the time.\If Menma disappeared, Jintan and I would be able to get along well.\But I was wrong. response:	When Menma really disappeared, Jintan and I only became more distant.
context: You, Satoshi, and myself, the three of us are together.\I wonder what'll happen.\You mean if they launch the fireworks?\If Menma disappears...\I used to think about it all the time.\If Menma disappeared, Jintan and I would be able to get along well.\But I was wrong.\When Menma really disappeared, Jintan and I only became more distant. response:	We've grown closer again, but that's only because Menma came back.
context: I wonder what'll happen.\You mean if they launch the fireworks?\If Menma disappears...\I used to think about it all the time.\If Menma disappeared, Jintan and I would be able to get along well.\But I was wrong.\When Menma really disappeared, Jintan and I only became more distant.\We've grown closer again, but that's only because Menma came back. response:	That's something to be grateful for.
context: You mean if they launch the fireworks?\If Menma disappears...\I used to think about it all the time.\If Menma disappeared, Jintan and I would be able to get along well.\But I was wrong.\When Menma really disappeared, Jintan and I only became more distant.\We've grown closer again, but that's only because Menma came back.\That's something to be grateful for. response:	Huh?
context: If Menma disappears...\I used to think about it all the time.\If Menma disappeared, Jintan and I would be able to get along well.\But I was wrong.\When Menma really disappeared, Jintan and I only became more distant.\We've grown closer again, but that's only because Menma came back.\That's something to be grateful for.\Huh? response:	Nothing.
context: I used to think about it all the time.\If Menma disappeared, Jintan and I would be able to get along well.\But I was wrong.\When Menma really disappeared, Jintan and I only became more distant.\We've grown closer again, but that's only because Menma came back.\That's something to be grateful for.\Huh?\Nothing. response:	It's Tsurumi.
context: If Menma disappeared, Jintan and I would be able to get along well.\But I was wrong.\When Menma really disappeared, Jintan and I only became more distant.\We've grown closer again, but that's only because Menma came back.\That's something to be grateful for.\Huh?\Nothing.\It's Tsurumi. response:	Yes?
context: But I was wrong.\When Menma really disappeared, Jintan and I only became more distant.\We've grown closer again, but that's only because Menma came back.\That's something to be grateful for.\Huh?\Nothing.\It's Tsurumi.\Yes? response:	Are you going to the secret base today?
context: When Menma really disappeared, Jintan and I only became more distant.\We've grown closer again, but that's only because Menma came back.\That's something to be grateful for.\Huh?\Nothing.\It's Tsurumi.\Yes?\Are you going to the secret base today? response:	Well actually...
context: We've grown closer again, but that's only because Menma came back.\That's something to be grateful for.\Huh?\Nothing.\It's Tsurumi.\Yes?\Are you going to the secret base today?\Well actually... response:	You're with Anjou, right?
context: That's something to be grateful for.\Huh?\Nothing.\It's Tsurumi.\Yes?\Are you going to the secret base today?\Well actually...\You're with Anjou, right? response:	Huh?
context: Huh?\Nothing.\It's Tsurumi.\Yes?\Are you going to the secret base today?\Well actually...\You're with Anjou, right?\Huh? response:	Yeah, that's right.
context: Nothing.\It's Tsurumi.\Yes?\Are you going to the secret base today?\Well actually...\You're with Anjou, right?\Huh?\Yeah, that's right. response:	You coward.
context: It's Tsurumi.\Yes?\Are you going to the secret base today?\Well actually...\You're with Anjou, right?\Huh?\Yeah, that's right.\You coward. response:	Tsuruko?
context: Yes?\Are you going to the secret base today?\Well actually...\You're with Anjou, right?\Huh?\Yeah, that's right.\You coward.\Tsuruko? response:	You pushed so hard for making her go to heaven, but now that it really comes down to it you're afraid.
context: Are you going to the secret base today?\Well actually...\You're with Anjou, right?\Huh?\Yeah, that's right.\You coward.\Tsuruko?\You pushed so hard for making her go to heaven, but now that it really comes down to it you're afraid. response:	That's not it.
context: Well actually...\You're with Anjou, right?\Huh?\Yeah, that's right.\You coward.\Tsuruko?\You pushed so hard for making her go to heaven, but now that it really comes down to it you're afraid.\That's not it. response:	It's really pathetic.
context: You're with Anjou, right?\Huh?\Yeah, that's right.\You coward.\Tsuruko?\You pushed so hard for making her go to heaven, but now that it really comes down to it you're afraid.\That's not it.\It's really pathetic. response:	You're afraid, so you run away from Menma and stay with Anjou.
context: Huh?\Yeah, that's right.\You coward.\Tsuruko?\You pushed so hard for making her go to heaven, but now that it really comes down to it you're afraid.\That's not it.\It's really pathetic.\You're afraid, so you run away from Menma and stay with Anjou. response:	You want to know you're not the only one who's miserable, don't you?
context: Yeah, that's right.\You coward.\Tsuruko?\You pushed so hard for making her go to heaven, but now that it really comes down to it you're afraid.\That's not it.\It's really pathetic.\You're afraid, so you run away from Menma and stay with Anjou.\You want to know you're not the only one who's miserable, don't you? response:	I remembered about that time when Menma called us.
context: You coward.\Tsuruko?\You pushed so hard for making her go to heaven, but now that it really comes down to it you're afraid.\That's not it.\It's really pathetic.\You're afraid, so you run away from Menma and stay with Anjou.\You want to know you're not the only one who's miserable, don't you?\I remembered about that time when Menma called us. response:	About what she said.
context: Tsuruko?\You pushed so hard for making her go to heaven, but now that it really comes down to it you're afraid.\That's not it.\It's really pathetic.\You're afraid, so you run away from Menma and stay with Anjou.\You want to know you're not the only one who's miserable, don't you?\I remembered about that time when Menma called us.\About what she said. response:	She wanted to ask us to do something for Jintan.
context: You pushed so hard for making her go to heaven, but now that it really comes down to it you're afraid.\That's not it.\It's really pathetic.\You're afraid, so you run away from Menma and stay with Anjou.\You want to know you're not the only one who's miserable, don't you?\I remembered about that time when Menma called us.\About what she said.\She wanted to ask us to do something for Jintan. response:	What happened? What did Tsuruko say?
context: That's not it.\It's really pathetic.\You're afraid, so you run away from Menma and stay with Anjou.\You want to know you're not the only one who's miserable, don't you?\I remembered about that time when Menma called us.\About what she said.\She wanted to ask us to do something for Jintan.\What happened? What did Tsuruko say? response:	I have a request for you.
context: It's really pathetic.\You're afraid, so you run away from Menma and stay with Anjou.\You want to know you're not the only one who's miserable, don't you?\I remembered about that time when Menma called us.\About what she said.\She wanted to ask us to do something for Jintan.\What happened? What did Tsuruko say?\I have a request for you. response:	It's something only you can do, Anaru.
context: You're afraid, so you run away from Menma and stay with Anjou.\You want to know you're not the only one who's miserable, don't you?\I remembered about that time when Menma called us.\About what she said.\She wanted to ask us to do something for Jintan.\What happened? What did Tsuruko say?\I have a request for you.\It's something only you can do, Anaru. response:	Why aren't they here?
context: You want to know you're not the only one who's miserable, don't you?\I remembered about that time when Menma called us.\About what she said.\She wanted to ask us to do something for Jintan.\What happened? What did Tsuruko say?\I have a request for you.\It's something only you can do, Anaru.\Why aren't they here? response:	It's fine, I'll see them tomorrow anyway.
context: I remembered about that time when Menma called us.\About what she said.\She wanted to ask us to do something for Jintan.\What happened? What did Tsuruko say?\I have a request for you.\It's something only you can do, Anaru.\Why aren't they here?\It's fine, I'll see them tomorrow anyway. response:	Let's get started.
context: About what she said.\She wanted to ask us to do something for Jintan.\What happened? What did Tsuruko say?\I have a request for you.\It's something only you can do, Anaru.\Why aren't they here?\It's fine, I'll see them tomorrow anyway.\Let's get started. response:	I'll go call them.
context: She wanted to ask us to do something for Jintan.\What happened? What did Tsuruko say?\I have a request for you.\It's something only you can do, Anaru.\Why aren't they here?\It's fine, I'll see them tomorrow anyway.\Let's get started.\I'll go call them. response:	Wait, Poppo...
context: What happened? What did Tsuruko say?\I have a request for you.\It's something only you can do, Anaru.\Why aren't they here?\It's fine, I'll see them tomorrow anyway.\Let's get started.\I'll go call them.\Wait, Poppo... response:	Good job setting up.
context: I have a request for you.\It's something only you can do, Anaru.\Why aren't they here?\It's fine, I'll see them tomorrow anyway.\Let's get started.\I'll go call them.\Wait, Poppo...\Good job setting up. response:	Tsuruko!
context: It's something only you can do, Anaru.\Why aren't they here?\It's fine, I'll see them tomorrow anyway.\Let's get started.\I'll go call them.\Wait, Poppo...\Good job setting up.\Tsuruko! response:	I brought some snacks.
context: Why aren't they here?\It's fine, I'll see them tomorrow anyway.\Let's get started.\I'll go call them.\Wait, Poppo...\Good job setting up.\Tsuruko!\I brought some snacks. response:	I expected no less from you.
context: It's fine, I'll see them tomorrow anyway.\Let's get started.\I'll go call them.\Wait, Poppo...\Good job setting up.\Tsuruko!\I brought some snacks.\I expected no less from you. response:	And I brought juice.
context: Let's get started.\I'll go call them.\Wait, Poppo...\Good job setting up.\Tsuruko!\I brought some snacks.\I expected no less from you.\And I brought juice. response:	I love you, Yukiatsu!
context: I'll go call them.\Wait, Poppo...\Good job setting up.\Tsuruko!\I brought some snacks.\I expected no less from you.\And I brought juice.\I love you, Yukiatsu! response:	It's a party!
context: Wait, Poppo...\Good job setting up.\Tsuruko!\I brought some snacks.\I expected no less from you.\And I brought juice.\I love you, Yukiatsu!\It's a party! response:	I believed in you guys!
context: Good job setting up.\Tsuruko!\I brought some snacks.\I expected no less from you.\And I brought juice.\I love you, Yukiatsu!\It's a party!\I believed in you guys! response:	Party, party!
context: Tsuruko!\I brought some snacks.\I expected no less from you.\And I brought juice.\I love you, Yukiatsu!\It's a party!\I believed in you guys!\Party, party! response:	I knew you'd show up!
context: I brought some snacks.\I expected no less from you.\And I brought juice.\I love you, Yukiatsu!\It's a party!\I believed in you guys!\Party, party!\I knew you'd show up! response:	I'm so happy.
context: I expected no less from you.\And I brought juice.\I love you, Yukiatsu!\It's a party!\I believed in you guys!\Party, party!\I knew you'd show up!\I'm so happy. response:	Oh, I love this stuff.
context: And I brought juice.\I love you, Yukiatsu!\It's a party!\I believed in you guys!\Party, party!\I knew you'd show up!\I'm so happy.\Oh, I love this stuff. response:	So they've all shown up.
context: I love you, Yukiatsu!\It's a party!\I believed in you guys!\Party, party!\I knew you'd show up!\I'm so happy.\Oh, I love this stuff.\So they've all shown up. response:	Huh?
context: It's a party!\I believed in you guys!\Party, party!\I knew you'd show up!\I'm so happy.\Oh, I love this stuff.\So they've all shown up.\Huh? response:	I mean...
context: I believed in you guys!\Party, party!\I knew you'd show up!\I'm so happy.\Oh, I love this stuff.\So they've all shown up.\Huh?\I mean... response:	I feel like the end is drawing closer.
context: Party, party!\I knew you'd show up!\I'm so happy.\Oh, I love this stuff.\So they've all shown up.\Huh?\I mean...\I feel like the end is drawing closer. response:	Ahem. We, the founders of the Super Peace Busters, together with Menma...
context: I knew you'd show up!\I'm so happy.\Oh, I love this stuff.\So they've all shown up.\Huh?\I mean...\I feel like the end is drawing closer.\Ahem. We, the founders of the Super Peace Busters, together with Menma... response:	Skip the introductions.
context: I'm so happy.\Oh, I love this stuff.\So they've all shown up.\Huh?\I mean...\I feel like the end is drawing closer.\Ahem. We, the founders of the Super Peace Busters, together with Menma...\Skip the introductions. response:	Sure.
context: Oh, I love this stuff.\So they've all shown up.\Huh?\I mean...\I feel like the end is drawing closer.\Ahem. We, the founders of the Super Peace Busters, together with Menma...\Skip the introductions.\Sure. response:	Well then, please come forward Menma, our guest of honor.
context: So they've all shown up.\Huh?\I mean...\I feel like the end is drawing closer.\Ahem. We, the founders of the Super Peace Busters, together with Menma...\Skip the introductions.\Sure.\Well then, please come forward Menma, our guest of honor. response:	Okay. Here.
context: Huh?\I mean...\I feel like the end is drawing closer.\Ahem. We, the founders of the Super Peace Busters, together with Menma...\Skip the introductions.\Sure.\Well then, please come forward Menma, our guest of honor.\Okay. Here. response:	And then this!
context: I mean...\I feel like the end is drawing closer.\Ahem. We, the founders of the Super Peace Busters, together with Menma...\Skip the introductions.\Sure.\Well then, please come forward Menma, our guest of honor.\Okay. Here.\And then this! response:	What a fine speech.
context: I feel like the end is drawing closer.\Ahem. We, the founders of the Super Peace Busters, together with Menma...\Skip the introductions.\Sure.\Well then, please come forward Menma, our guest of honor.\Okay. Here.\And then this!\What a fine speech. response:	Hey Menma, want some of this?
context: Ahem. We, the founders of the Super Peace Busters, together with Menma...\Skip the introductions.\Sure.\Well then, please come forward Menma, our guest of honor.\Okay. Here.\And then this!\What a fine speech.\Hey Menma, want some of this? response:	It's all red!
