context: I say yes response:	Stay with me
context: Lets change any future into hope\Don't touch! S\Touch me S\Y-You stupid dog!\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent response:	Dont touch! Because I wont listen to excuses
context: Don't touch! S\Touch me S\Y-You stupid dog!\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses response:	Touch me because I'm tired Hey, lend me your shoulder
context: Touch me S\Y-You stupid dog!\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder response:	I love you, its a lie
context: Y-You stupid dog!\Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie response:	I hate you, thats a lie, too
context: Be right here! close to me\Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too response:	Nay nay nay, its useless, its a misunderstanding
context: Always, always look at me at all times\You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding response:	So I wont say, I love you”
context: You looked away, didnt you? At other girls\Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you” response:	Non non non, because I absolutely wont forgive you
context: Ill punish those who are wavering and insolent\Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you response:	If you go to somewhere else
context: Dont touch! Because I wont listen to excuses\Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else response:	But
context: Touch me because I'm tired Hey, lend me your shoulder\I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But response:	The truth is, I want to be by your side more than anyone else
context: I love you, its a lie\I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else response:	Lets go take a walk in chains of love!
context: I hate you, thats a lie, too\Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love! response:	The Spy's Seal
context: Nay nay nay, its useless, its a misunderstanding\So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Spy's Seal response:	The Spy's Seal
context: So I wont say, I love you”\Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Spy's Seal\The Spy's Seal response:	Next Time
context: Non non non, because I absolutely wont forgive you\If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Spy's Seal\The Spy's Seal\Next Time response:	The Queen's Holiday
context: If you go to somewhere else\But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Spy's Seal\The Spy's Seal\Next Time\The Queen's Holiday response:	En garde!
context: But\The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Spy's Seal\The Spy's Seal\Next Time\The Queen's Holiday\En garde! response:	Strike!
context: The truth is, I want to be by your side more than anyone else\Lets go take a walk in chains of love!\The Spy's Seal\The Spy's Seal\Next Time\The Queen's Holiday\En garde!\Strike! response:	En garde!
context: Lets go take a walk in chains of love!\The Spy's Seal\The Spy's Seal\Next Time\The Queen's Holiday\En garde!\Strike!\En garde! response:	Strike!
context: The Spy's Seal\The Spy's Seal\Next Time\The Queen's Holiday\En garde!\Strike!\En garde!\Strike! response:	En garde!
context: The Spy's Seal\Next Time\The Queen's Holiday\En garde!\Strike!\En garde!\Strike!\En garde! response:	Strike!
context: Next Time\The Queen's Holiday\En garde!\Strike!\En garde!\Strike!\En garde!\Strike! response:	En garde!
context: The Queen's Holiday\En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde! response:	Strike!
context: En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike! response:	En garde!
context: Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde! response:	Strike!
context: En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike! response:	En garde!
context: Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde! response:	Strike!
context: En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike! response:	En garde!
context: Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde! response:	Strike!
context: En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike! response:	En garde!
context: Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde! response:	Strike!
context: En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike! response:	En garde!
context: Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde! response:	Strike!
context: En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike! response:	En garde!
context: Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde! response:	Strike!
context: En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike! response:	En garde!
context: Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde! response:	Strike!
context: En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike! response:	Stop!
context: Strike!\En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\Stop! response:	As you've all requested, we shall have you practice practical magic.
context: En garde!\Strike!\En garde!\Strike!\En garde!\Strike!\Stop!\As you've all requested, we shall have you practice practical magic. response:	For that, we brought a special teacher from the National Magic Academy.
context: Strike!\En garde!\Strike!\En garde!\Strike!\Stop!\As you've all requested, we shall have you practice practical magic.\For that, we brought a special teacher from the National Magic Academy. response:	That's -
context: En garde!\Strike!\En garde!\Strike!\Stop!\As you've all requested, we shall have you practice practical magic.\For that, we brought a special teacher from the National Magic Academy.\That's - response:	Onee-sama!
context: Strike!\En garde!\Strike!\Stop!\As you've all requested, we shall have you practice practical magic.\For that, we brought a special teacher from the National Magic Academy.\That's -\Onee-sama! response:	I am Eleonore de la Valliere.
context: En garde!\Strike!\Stop!\As you've all requested, we shall have you practice practical magic.\For that, we brought a special teacher from the National Magic Academy.\That's -\Onee-sama!\I am Eleonore de la Valliere. response:	It'll only be for a short while,
context: Strike!\Stop!\As you've all requested, we shall have you practice practical magic.\For that, we brought a special teacher from the National Magic Academy.\That's -\Onee-sama!\I am Eleonore de la Valliere.\It'll only be for a short while, response:	but let us all have an enjoyable training session.
context: Stop!\As you've all requested, we shall have you practice practical magic.\For that, we brought a special teacher from the National Magic Academy.\That's -\Onee-sama!\I am Eleonore de la Valliere.\It'll only be for a short while,\but let us all have an enjoyable training session. response:	Okay?
context: As you've all requested, we shall have you practice practical magic.\For that, we brought a special teacher from the National Magic Academy.\That's -\Onee-sama!\I am Eleonore de la Valliere.\It'll only be for a short while,\but let us all have an enjoyable training session.\Okay? response:	Is she your sister?
context: For that, we brought a special teacher from the National Magic Academy.\That's -\Onee-sama!\I am Eleonore de la Valliere.\It'll only be for a short while,\but let us all have an enjoyable training session.\Okay?\Is she your sister? response:	She seems like a kind person.
context: That's -\Onee-sama!\I am Eleonore de la Valliere.\It'll only be for a short while,\but let us all have an enjoyable training session.\Okay?\Is she your sister?\She seems like a kind person. response:	How so...?
context: Onee-sama!\I am Eleonore de la Valliere.\It'll only be for a short while,\but let us all have an enjoyable training session.\Okay?\Is she your sister?\She seems like a kind person.\How so...? response:	Like I said...
context: I am Eleonore de la Valliere.\It'll only be for a short while,\but let us all have an enjoyable training session.\Okay?\Is she your sister?\She seems like a kind person.\How so...?\Like I said... response:	Like I said...
context: It'll only be for a short while,\but let us all have an enjoyable training session.\Okay?\Is she your sister?\She seems like a kind person.\How so...?\Like I said...\Like I said... response:	Like I said...
context: but let us all have an enjoyable training session.\Okay?\Is she your sister?\She seems like a kind person.\How so...?\Like I said...\Like I said...\Like I said... response:	Queen Henrietta personally requested my assistance and sent me to this school.
context: Okay?\Is she your sister?\She seems like a kind person.\How so...?\Like I said...\Like I said...\Like I said...\Queen Henrietta personally requested my assistance and sent me to this school. response:	She did?
context: Is she your sister?\She seems like a kind person.\How so...?\Like I said...\Like I said...\Like I said...\Queen Henrietta personally requested my assistance and sent me to this school.\She did? response:	Apparently, someone told the Queen that Duke Valliere's family...
context: She seems like a kind person.\How so...?\Like I said...\Like I said...\Like I said...\Queen Henrietta personally requested my assistance and sent me to this school.\She did?\Apparently, someone told the Queen that Duke Valliere's family... response:	I wonder who was the one that said such a thing.
context: How so...?\Like I said...\Like I said...\Like I said...\Queen Henrietta personally requested my assistance and sent me to this school.\She did?\Apparently, someone told the Queen that Duke Valliere's family...\I wonder who was the one that said such a thing. response:	I really wonder who it was.
context: Like I said...\Like I said...\Like I said...\Queen Henrietta personally requested my assistance and sent me to this school.\She did?\Apparently, someone told the Queen that Duke Valliere's family...\I wonder who was the one that said such a thing.\I really wonder who it was. response:	It wasn't me.
context: Like I said...\Like I said...\Queen Henrietta personally requested my assistance and sent me to this school.\She did?\Apparently, someone told the Queen that Duke Valliere's family...\I wonder who was the one that said such a thing.\I really wonder who it was.\It wasn't me. response:	Huh?
context: Like I said...\Queen Henrietta personally requested my assistance and sent me to this school.\She did?\Apparently, someone told the Queen that Duke Valliere's family...\I wonder who was the one that said such a thing.\I really wonder who it was.\It wasn't me.\Huh? response:	The Princess came and personally asked me to help you.
context: Queen Henrietta personally requested my assistance and sent me to this school.\She did?\Apparently, someone told the Queen that Duke Valliere's family...\I wonder who was the one that said such a thing.\I really wonder who it was.\It wasn't me.\Huh?\The Princess came and personally asked me to help you. response:	In person!
context: She did?\Apparently, someone told the Queen that Duke Valliere's family...\I wonder who was the one that said such a thing.\I really wonder who it was.\It wasn't me.\Huh?\The Princess came and personally asked me to help you.\In person! response:	I've been told that you're doing something under the Princess' secret orders.
context: Apparently, someone told the Queen that Duke Valliere's family...\I wonder who was the one that said such a thing.\I really wonder who it was.\It wasn't me.\Huh?\The Princess came and personally asked me to help you.\In person!\I've been told that you're doing something under the Princess' secret orders. response:	What can you possibly be doing when you can't even use average magic?
context: I wonder who was the one that said such a thing.\I really wonder who it was.\It wasn't me.\Huh?\The Princess came and personally asked me to help you.\In person!\I've been told that you're doing something under the Princess' secret orders.\What can you possibly be doing when you can't even use average magic? response:	Well...
context: I really wonder who it was.\It wasn't me.\Huh?\The Princess came and personally asked me to help you.\In person!\I've been told that you're doing something under the Princess' secret orders.\What can you possibly be doing when you can't even use average magic?\Well... response:	Forget it. I bet it's nothing special, right?
context: It wasn't me.\Huh?\The Princess came and personally asked me to help you.\In person!\I've been told that you're doing something under the Princess' secret orders.\What can you possibly be doing when you can't even use average magic?\Well...\Forget it. I bet it's nothing special, right? response:	Anyway, it's a great opportunity, so I will watch over you from today onwards.
context: Huh?\The Princess came and personally asked me to help you.\In person!\I've been told that you're doing something under the Princess' secret orders.\What can you possibly be doing when you can't even use average magic?\Well...\Forget it. I bet it's nothing special, right?\Anyway, it's a great opportunity, so I will watch over you from today onwards. response:	So that strange things won't latch onto you.
context: The Princess came and personally asked me to help you.\In person!\I've been told that you're doing something under the Princess' secret orders.\What can you possibly be doing when you can't even use average magic?\Well...\Forget it. I bet it's nothing special, right?\Anyway, it's a great opportunity, so I will watch over you from today onwards.\So that strange things won't latch onto you. response:	Got it?
context: In person!\I've been told that you're doing something under the Princess' secret orders.\What can you possibly be doing when you can't even use average magic?\Well...\Forget it. I bet it's nothing special, right?\Anyway, it's a great opportunity, so I will watch over you from today onwards.\So that strange things won't latch onto you.\Got it? response:	Hey, this is...
context: I've been told that you're doing something under the Princess' secret orders.\What can you possibly be doing when you can't even use average magic?\Well...\Forget it. I bet it's nothing special, right?\Anyway, it's a great opportunity, so I will watch over you from today onwards.\So that strange things won't latch onto you.\Got it?\Hey, this is... response:	Louise.
context: What can you possibly be doing when you can't even use average magic?\Well...\Forget it. I bet it's nothing special, right?\Anyway, it's a great opportunity, so I will watch over you from today onwards.\So that strange things won't latch onto you.\Got it?\Hey, this is...\Louise. response:	Chii-neesama!
context: Well...\Forget it. I bet it's nothing special, right?\Anyway, it's a great opportunity, so I will watch over you from today onwards.\So that strange things won't latch onto you.\Got it?\Hey, this is...\Louise.\Chii-neesama! response:	You're here, too?
context: Forget it. I bet it's nothing special, right?\Anyway, it's a great opportunity, so I will watch over you from today onwards.\So that strange things won't latch onto you.\Got it?\Hey, this is...\Louise.\Chii-neesama!\You're here, too? response:	Yes, as Eleonore-neesama's assistant.
context: Anyway, it's a great opportunity, so I will watch over you from today onwards.\So that strange things won't latch onto you.\Got it?\Hey, this is...\Louise.\Chii-neesama!\You're here, too?\Yes, as Eleonore-neesama's assistant. response:	She's got a weak body, so she'd be better off staying home.
context: So that strange things won't latch onto you.\Got it?\Hey, this is...\Louise.\Chii-neesama!\You're here, too?\Yes, as Eleonore-neesama's assistant.\She's got a weak body, so she'd be better off staying home. response:	I want to be by Louise's side no matter what, she says.
context: Got it?\Hey, this is...\Louise.\Chii-neesama!\You're here, too?\Yes, as Eleonore-neesama's assistant.\She's got a weak body, so she'd be better off staying home.\I want to be by Louise's side no matter what, she says. response:	I'm delighted!
context: Hey, this is...\Louise.\Chii-neesama!\You're here, too?\Yes, as Eleonore-neesama's assistant.\She's got a weak body, so she'd be better off staying home.\I want to be by Louise's side no matter what, she says.\I'm delighted! response:	It'll be reassuring to have you around.
context: Louise.\Chii-neesama!\You're here, too?\Yes, as Eleonore-neesama's assistant.\She's got a weak body, so she'd be better off staying home.\I want to be by Louise's side no matter what, she says.\I'm delighted!\It'll be reassuring to have you around. response:	You mean, to have both of you around, right?
context: Chii-neesama!\You're here, too?\Yes, as Eleonore-neesama's assistant.\She's got a weak body, so she'd be better off staying home.\I want to be by Louise's side no matter what, she says.\I'm delighted!\It'll be reassuring to have you around.\You mean, to have both of you around, right? response:	Both of us!
context: You're here, too?\Yes, as Eleonore-neesama's assistant.\She's got a weak body, so she'd be better off staying home.\I want to be by Louise's side no matter what, she says.\I'm delighted!\It'll be reassuring to have you around.\You mean, to have both of you around, right?\Both of us! response:	Yes, you're right.
context: Yes, as Eleonore-neesama's assistant.\She's got a weak body, so she'd be better off staying home.\I want to be by Louise's side no matter what, she says.\I'm delighted!\It'll be reassuring to have you around.\You mean, to have both of you around, right?\Both of us!\Yes, you're right. response:	Man...
context: She's got a weak body, so she'd be better off staying home.\I want to be by Louise's side no matter what, she says.\I'm delighted!\It'll be reassuring to have you around.\You mean, to have both of you around, right?\Both of us!\Yes, you're right.\Man... response:	Do all of the Duke's daughters really wear ones like these?
context: I want to be by Louise's side no matter what, she says.\I'm delighted!\It'll be reassuring to have you around.\You mean, to have both of you around, right?\Both of us!\Yes, you're right.\Man...\Do all of the Duke's daughters really wear ones like these? response:	Oh, Saito-san.
context: I'm delighted!\It'll be reassuring to have you around.\You mean, to have both of you around, right?\Both of us!\Yes, you're right.\Man...\Do all of the Duke's daughters really wear ones like these?\Oh, Saito-san. response:	Siesta!
context: It'll be reassuring to have you around.\You mean, to have both of you around, right?\Both of us!\Yes, you're right.\Man...\Do all of the Duke's daughters really wear ones like these?\Oh, Saito-san.\Siesta! response:	No! This is...
context: You mean, to have both of you around, right?\Both of us!\Yes, you're right.\Man...\Do all of the Duke's daughters really wear ones like these?\Oh, Saito-san.\Siesta!\No! This is... response:	L-Louise's sister told me to unpack her luggage.
context: Both of us!\Yes, you're right.\Man...\Do all of the Duke's daughters really wear ones like these?\Oh, Saito-san.\Siesta!\No! This is...\L-Louise's sister told me to unpack her luggage. response:	I thought I spotted a lingerie burglar.
context: Yes, you're right.\Man...\Do all of the Duke's daughters really wear ones like these?\Oh, Saito-san.\Siesta!\No! This is...\L-Louise's sister told me to unpack her luggage.\I thought I spotted a lingerie burglar. response:	You're kidding, right...?
context: Man...\Do all of the Duke's daughters really wear ones like these?\Oh, Saito-san.\Siesta!\No! This is...\L-Louise's sister told me to unpack her luggage.\I thought I spotted a lingerie burglar.\You're kidding, right...? response:	Please leave this kind of thing to me.
context: Do all of the Duke's daughters really wear ones like these?\Oh, Saito-san.\Siesta!\No! This is...\L-Louise's sister told me to unpack her luggage.\I thought I spotted a lingerie burglar.\You're kidding, right...?\Please leave this kind of thing to me. response:	But...
context: Oh, Saito-san.\Siesta!\No! This is...\L-Louise's sister told me to unpack her luggage.\I thought I spotted a lingerie burglar.\You're kidding, right...?\Please leave this kind of thing to me.\But... response:	Wow, they're so pretty!
context: Siesta!\No! This is...\L-Louise's sister told me to unpack her luggage.\I thought I spotted a lingerie burglar.\You're kidding, right...?\Please leave this kind of thing to me.\But...\Wow, they're so pretty! response:	I wish I could wear something like these, even if it's only once,
context: No! This is...\L-Louise's sister told me to unpack her luggage.\I thought I spotted a lingerie burglar.\You're kidding, right...?\Please leave this kind of thing to me.\But...\Wow, they're so pretty!\I wish I could wear something like these, even if it's only once, response:	but they probably wouldn't suit me, right?
context: L-Louise's sister told me to unpack her luggage.\I thought I spotted a lingerie burglar.\You're kidding, right...?\Please leave this kind of thing to me.\But...\Wow, they're so pretty!\I wish I could wear something like these, even if it's only once,\but they probably wouldn't suit me, right? response:	N-No, that's not true!
context: I thought I spotted a lingerie burglar.\You're kidding, right...?\Please leave this kind of thing to me.\But...\Wow, they're so pretty!\I wish I could wear something like these, even if it's only once,\but they probably wouldn't suit me, right?\N-No, that's not true! response:	I'm sure you'd look fine in them.
context: You're kidding, right...?\Please leave this kind of thing to me.\But...\Wow, they're so pretty!\I wish I could wear something like these, even if it's only once,\but they probably wouldn't suit me, right?\N-No, that's not true!\I'm sure you'd look fine in them. response:	Then,
context: Please leave this kind of thing to me.\But...\Wow, they're so pretty!\I wish I could wear something like these, even if it's only once,\but they probably wouldn't suit me, right?\N-No, that's not true!\I'm sure you'd look fine in them.\Then, response:	may I try them on?
context: But...\Wow, they're so pretty!\I wish I could wear something like these, even if it's only once,\but they probably wouldn't suit me, right?\N-No, that's not true!\I'm sure you'd look fine in them.\Then,\may I try them on? response:	Yeah, yeah. Please go ahead.
context: Wow, they're so pretty!\I wish I could wear something like these, even if it's only once,\but they probably wouldn't suit me, right?\N-No, that's not true!\I'm sure you'd look fine in them.\Then,\may I try them on?\Yeah, yeah. Please go ahead. response:	If I were to wear ones like these, I wouldn't be inferior to Miss Valliere.
context: I wish I could wear something like these, even if it's only once,\but they probably wouldn't suit me, right?\N-No, that's not true!\I'm sure you'd look fine in them.\Then,\may I try them on?\Yeah, yeah. Please go ahead.\If I were to wear ones like these, I wouldn't be inferior to Miss Valliere. response:	What, you're changing here?
context: but they probably wouldn't suit me, right?\N-No, that's not true!\I'm sure you'd look fine in them.\Then,\may I try them on?\Yeah, yeah. Please go ahead.\If I were to wear ones like these, I wouldn't be inferior to Miss Valliere.\What, you're changing here? response:	How long is Saito going to take?
context: N-No, that's not true!\I'm sure you'd look fine in them.\Then,\may I try them on?\Yeah, yeah. Please go ahead.\If I were to wear ones like these, I wouldn't be inferior to Miss Valliere.\What, you're changing here?\How long is Saito going to take? response:	L-Louise, y-you got it all wrong!
context: I'm sure you'd look fine in them.\Then,\may I try them on?\Yeah, yeah. Please go ahead.\If I were to wear ones like these, I wouldn't be inferior to Miss Valliere.\What, you're changing here?\How long is Saito going to take?\L-Louise, y-you got it all wrong! response:	Siesta's only helping me organise the clothes.
context: Then,\may I try them on?\Yeah, yeah. Please go ahead.\If I were to wear ones like these, I wouldn't be inferior to Miss Valliere.\What, you're changing here?\How long is Saito going to take?\L-Louise, y-you got it all wrong!\Siesta's only helping me organise the clothes. response:	Yes, I only wanted to please Saito-san.
context: may I try them on?\Yeah, yeah. Please go ahead.\If I were to wear ones like these, I wouldn't be inferior to Miss Valliere.\What, you're changing here?\How long is Saito going to take?\L-Louise, y-you got it all wrong!\Siesta's only helping me organise the clothes.\Yes, I only wanted to please Saito-san. response:	W-What are you saying?
context: Yeah, yeah. Please go ahead.\If I were to wear ones like these, I wouldn't be inferior to Miss Valliere.\What, you're changing here?\How long is Saito going to take?\L-Louise, y-you got it all wrong!\Siesta's only helping me organise the clothes.\Yes, I only wanted to please Saito-san.\W-What are you saying? response:	Saito-san, you don't have to play dumb.
context: If I were to wear ones like these, I wouldn't be inferior to Miss Valliere.\What, you're changing here?\How long is Saito going to take?\L-Louise, y-you got it all wrong!\Siesta's only helping me organise the clothes.\Yes, I only wanted to please Saito-san.\W-What are you saying?\Saito-san, you don't have to play dumb. response:	I-I won't forgive you.
context: What, you're changing here?\How long is Saito going to take?\L-Louise, y-you got it all wrong!\Siesta's only helping me organise the clothes.\Yes, I only wanted to please Saito-san.\W-What are you saying?\Saito-san, you don't have to play dumb.\I-I won't forgive you. response:	You swore to me...
context: How long is Saito going to take?\L-Louise, y-you got it all wrong!\Siesta's only helping me organise the clothes.\Yes, I only wanted to please Saito-san.\W-What are you saying?\Saito-san, you don't have to play dumb.\I-I won't forgive you.\You swore to me... response:	You even kissed me...
context: L-Louise, y-you got it all wrong!\Siesta's only helping me organise the clothes.\Yes, I only wanted to please Saito-san.\W-What are you saying?\Saito-san, you don't have to play dumb.\I-I won't forgive you.\You swore to me...\You even kissed me... response:	Wait, you got it all wrong!
context: Siesta's only helping me organise the clothes.\Yes, I only wanted to please Saito-san.\W-What are you saying?\Saito-san, you don't have to play dumb.\I-I won't forgive you.\You swore to me...\You even kissed me...\Wait, you got it all wrong! response:	Shut up!
context: Yes, I only wanted to please Saito-san.\W-What are you saying?\Saito-san, you don't have to play dumb.\I-I won't forgive you.\You swore to me...\You even kissed me...\Wait, you got it all wrong!\Shut up! response:	You...
context: W-What are you saying?\Saito-san, you don't have to play dumb.\I-I won't forgive you.\You swore to me...\You even kissed me...\Wait, you got it all wrong!\Shut up!\You... response:	W-What was that?
context: Saito-san, you don't have to play dumb.\I-I won't forgive you.\You swore to me...\You even kissed me...\Wait, you got it all wrong!\Shut up!\You...\W-What was that? response:	Could it have been from the Principal's office?
context: I-I won't forgive you.\You swore to me...\You even kissed me...\Wait, you got it all wrong!\Shut up!\You...\W-What was that?\Could it have been from the Principal's office? response:	All right, let's go take a look.
context: You swore to me...\You even kissed me...\Wait, you got it all wrong!\Shut up!\You...\W-What was that?\Could it have been from the Principal's office?\All right, let's go take a look. response:	Hey!
context: You even kissed me...\Wait, you got it all wrong!\Shut up!\You...\W-What was that?\Could it have been from the Principal's office?\All right, let's go take a look.\Hey! response:	Wait!
context: Wait, you got it all wrong!\Shut up!\You...\W-What was that?\Could it have been from the Principal's office?\All right, let's go take a look.\Hey!\Wait! response:	I told you to wait...
context: Shut up!\You...\W-What was that?\Could it have been from the Principal's office?\All right, let's go take a look.\Hey!\Wait!\I told you to wait... response:	Colbert-sensei, what happened?
context: You...\W-What was that?\Could it have been from the Principal's office?\All right, let's go take a look.\Hey!\Wait!\I told you to wait...\Colbert-sensei, what happened? response:	Oh... I just got here myself.
