context: Miyagi Prefecture Tokonami High School response:	It's official.
context: The picture's huge.\Yeah!\What, what?\What? What's that?\Look.\Boy's High School This year, pay special attention to these three GUYS!\Shiratorizawa's Ushiwaka is among the three most-noticed high schoolers\in the whole country. response:	Shiratorizawa! That's where Kageyama couldn't get in.
context: Yeah!\What, what?\What? What's that?\Look.\Boy's High School This year, pay special attention to these three GUYS!\Shiratorizawa's Ushiwaka is among the three most-noticed high schoolers\in the whole country.\Shiratorizawa! That's where Kageyama couldn't get in. response:	Shut up.
context: What, what?\What? What's that?\Look.\Boy's High School This year, pay special attention to these three GUYS!\Shiratorizawa's Ushiwaka is among the three most-noticed high schoolers\in the whole country.\Shiratorizawa! That's where Kageyama couldn't get in.\Shut up. response:	What's so funny, you bastards?
context: What? What's that?\Look.\Boy's High School This year, pay special attention to these three GUYS!\Shiratorizawa's Ushiwaka is among the three most-noticed high schoolers\in the whole country.\Shiratorizawa! That's where Kageyama couldn't get in.\Shut up.\What's so funny, you bastards? response:	Who's Ushiwaka?
context: Look.\Boy's High School This year, pay special attention to these three GUYS!\Shiratorizawa's Ushiwaka is among the three most-noticed high schoolers\in the whole country.\Shiratorizawa! That's where Kageyama couldn't get in.\Shut up.\What's so funny, you bastards?\Who's Ushiwaka? response:	We're not laughing.
context: Boy's High School This year, pay special attention to these three GUYS!\Shiratorizawa's Ushiwaka is among the three most-noticed high schoolers\in the whole country.\Shiratorizawa! That's where Kageyama couldn't get in.\Shut up.\What's so funny, you bastards?\Who's Ushiwaka?\We're not laughing. response:	You don't know?
context: Shiratorizawa's Ushiwaka is among the three most-noticed high schoolers\in the whole country.\Shiratorizawa! That's where Kageyama couldn't get in.\Shut up.\What's so funny, you bastards?\Who's Ushiwaka?\We're not laughing.\You don't know? response:	You're full of it.
context: in the whole country.\Shiratorizawa! That's where Kageyama couldn't get in.\Shut up.\What's so funny, you bastards?\Who's Ushiwaka?\We're not laughing.\You don't know?\You're full of it. response:	That's because you're only a fan of the Little Giant.
context: Shiratorizawa! That's where Kageyama couldn't get in.\Shut up.\What's so funny, you bastards?\Who's Ushiwaka?\We're not laughing.\You don't know?\You're full of it.\That's because you're only a fan of the Little Giant. response:	Let me tell you about Ushiwaka.
context: Shut up.\What's so funny, you bastards?\Who's Ushiwaka?\We're not laughing.\You don't know?\You're full of it.\That's because you're only a fan of the Little Giant.\Let me tell you about Ushiwaka. response:	He's unmistakably the number-one ace of our prefecture: Ushijima Wakatoshi.
context: What's so funny, you bastards?\Who's Ushiwaka?\We're not laughing.\You don't know?\You're full of it.\That's because you're only a fan of the Little Giant.\Let me tell you about Ushiwaka.\He's unmistakably the number-one ace of our prefecture: Ushijima Wakatoshi. response:	Overwhelming power and height!! Super high-school ace!!
context: Who's Ushiwaka?\We're not laughing.\You don't know?\You're full of it.\That's because you're only a fan of the Little Giant.\Let me tell you about Ushiwaka.\He's unmistakably the number-one ace of our prefecture: Ushijima Wakatoshi.\Overwhelming power and height!! Super high-school ace!! response:	Miyagi
context: We're not laughing.\You don't know?\You're full of it.\That's because you're only a fan of the Little Giant.\Let me tell you about Ushiwaka.\He's unmistakably the number-one ace of our prefecture: Ushijima Wakatoshi.\Overwhelming power and height!! Super high-school ace!!\Miyagi response:	Shiratorizawa Academy
context: You don't know?\You're full of it.\That's because you're only a fan of the Little Giant.\Let me tell you about Ushiwaka.\He's unmistakably the number-one ace of our prefecture: Ushijima Wakatoshi.\Overwhelming power and height!! Super high-school ace!!\Miyagi\Shiratorizawa Academy response:	Third-year Ushijima Wakatoshi
context: You're full of it.\That's because you're only a fan of the Little Giant.\Let me tell you about Ushiwaka.\He's unmistakably the number-one ace of our prefecture: Ushijima Wakatoshi.\Overwhelming power and height!! Super high-school ace!!\Miyagi\Shiratorizawa Academy\Third-year Ushijima Wakatoshi response:	His goal: To conquer nationals, of course!
context: That's because you're only a fan of the Little Giant.\Let me tell you about Ushiwaka.\He's unmistakably the number-one ace of our prefecture: Ushijima Wakatoshi.\Overwhelming power and height!! Super high-school ace!!\Miyagi\Shiratorizawa Academy\Third-year Ushijima Wakatoshi\His goal: To conquer nationals, of course! response:	Hmm. He definitely has ace written all over him.
context: Let me tell you about Ushiwaka.\He's unmistakably the number-one ace of our prefecture: Ushijima Wakatoshi.\Overwhelming power and height!! Super high-school ace!!\Miyagi\Shiratorizawa Academy\Third-year Ushijima Wakatoshi\His goal: To conquer nationals, of course!\Hmm. He definitely has ace written all over him. response:	Hey, why are you looking at me?
context: He's unmistakably the number-one ace of our prefecture: Ushijima Wakatoshi.\Overwhelming power and height!! Super high-school ace!!\Miyagi\Shiratorizawa Academy\Third-year Ushijima Wakatoshi\His goal: To conquer nationals, of course!\Hmm. He definitely has ace written all over him.\Hey, why are you looking at me? response:	Kageyama, you were trying to get into a place with guys like this?
context: Overwhelming power and height!! Super high-school ace!!\Miyagi\Shiratorizawa Academy\Third-year Ushijima Wakatoshi\His goal: To conquer nationals, of course!\Hmm. He definitely has ace written all over him.\Hey, why are you looking at me?\Kageyama, you were trying to get into a place with guys like this? response:	And you were going to yell at the super high-school ace,
context: Miyagi\Shiratorizawa Academy\Third-year Ushijima Wakatoshi\His goal: To conquer nationals, of course!\Hmm. He definitely has ace written all over him.\Hey, why are you looking at me?\Kageyama, you were trying to get into a place with guys like this?\And you were going to yell at the super high-school ace, response:	Move faster, clumsy oaf! and stuff, right?
context: Shiratorizawa Academy\Third-year Ushijima Wakatoshi\His goal: To conquer nationals, of course!\Hmm. He definitely has ace written all over him.\Hey, why are you looking at me?\Kageyama, you were trying to get into a place with guys like this?\And you were going to yell at the super high-school ace,\Move faster, clumsy oaf! and stuff, right? response:	I wouldn't say that.
context: Third-year Ushijima Wakatoshi\His goal: To conquer nationals, of course!\Hmm. He definitely has ace written all over him.\Hey, why are you looking at me?\Kageyama, you were trying to get into a place with guys like this?\And you were going to yell at the super high-school ace,\Move faster, clumsy oaf! and stuff, right?\I wouldn't say that. response:	Monthly Volleyball
context: His goal: To conquer nationals, of course!\Hmm. He definitely has ace written all over him.\Hey, why are you looking at me?\Kageyama, you were trying to get into a place with guys like this?\And you were going to yell at the super high-school ace,\Move faster, clumsy oaf! and stuff, right?\I wouldn't say that.\Monthly Volleyball response:	If we don't defeat him, we can't play against Nekoma.
context: Hmm. He definitely has ace written all over him.\Hey, why are you looking at me?\Kageyama, you were trying to get into a place with guys like this?\And you were going to yell at the super high-school ace,\Move faster, clumsy oaf! and stuff, right?\I wouldn't say that.\Monthly Volleyball\If we don't defeat him, we can't play against Nekoma. response:	Hey, hey.
context: Hey, why are you looking at me?\Kageyama, you were trying to get into a place with guys like this?\And you were going to yell at the super high-school ace,\Move faster, clumsy oaf! and stuff, right?\I wouldn't say that.\Monthly Volleyball\If we don't defeat him, we can't play against Nekoma.\Hey, hey. response:	Shiratorizawa isn't the only formidable opponent.
context: Kageyama, you were trying to get into a place with guys like this?\And you were going to yell at the super high-school ace,\Move faster, clumsy oaf! and stuff, right?\I wouldn't say that.\Monthly Volleyball\If we don't defeat him, we can't play against Nekoma.\Hey, hey.\Shiratorizawa isn't the only formidable opponent. response:	Would the others be last year's best four?
context: And you were going to yell at the super high-school ace,\Move faster, clumsy oaf! and stuff, right?\I wouldn't say that.\Monthly Volleyball\If we don't defeat him, we can't play against Nekoma.\Hey, hey.\Shiratorizawa isn't the only formidable opponent.\Would the others be last year's best four? response:	Yes, but there are other formidable opponents this year.
context: Move faster, clumsy oaf! and stuff, right?\I wouldn't say that.\Monthly Volleyball\If we don't defeat him, we can't play against Nekoma.\Hey, hey.\Shiratorizawa isn't the only formidable opponent.\Would the others be last year's best four?\Yes, but there are other formidable opponents this year. response:	Wakutani Minami
context: I wouldn't say that.\Monthly Volleyball\If we don't defeat him, we can't play against Nekoma.\Hey, hey.\Shiratorizawa isn't the only formidable opponent.\Would the others be last year's best four?\Yes, but there are other formidable opponents this year.\Wakutani Minami response:	There's Wakutani Minami, which has superior defense and coordination.
context: Monthly Volleyball\If we don't defeat him, we can't play against Nekoma.\Hey, hey.\Shiratorizawa isn't the only formidable opponent.\Would the others be last year's best four?\Yes, but there are other formidable opponents this year.\Wakutani Minami\There's Wakutani Minami, which has superior defense and coordination. response:	Date Kogyo
context: If we don't defeat him, we can't play against Nekoma.\Hey, hey.\Shiratorizawa isn't the only formidable opponent.\Would the others be last year's best four?\Yes, but there are other formidable opponents this year.\Wakutani Minami\There's Wakutani Minami, which has superior defense and coordination.\Date Kogyo response:	Date Kogyo is also known as the Iron Wall, which says it all.
context: Hey, hey.\Shiratorizawa isn't the only formidable opponent.\Would the others be last year's best four?\Yes, but there are other formidable opponents this year.\Wakutani Minami\There's Wakutani Minami, which has superior defense and coordination.\Date Kogyo\Date Kogyo is also known as the Iron Wall, which says it all. response:	That team has the highest blocking rate in the country.
context: Shiratorizawa isn't the only formidable opponent.\Would the others be last year's best four?\Yes, but there are other formidable opponents this year.\Wakutani Minami\There's Wakutani Minami, which has superior defense and coordination.\Date Kogyo\Date Kogyo is also known as the Iron Wall, which says it all.\That team has the highest blocking rate in the country. response:	If I recall,
context: Would the others be last year's best four?\Yes, but there are other formidable opponents this year.\Wakutani Minami\There's Wakutani Minami, which has superior defense and coordination.\Date Kogyo\Date Kogyo is also known as the Iron Wall, which says it all.\That team has the highest blocking rate in the country.\If I recall, response:	we lost to Dateko 2-0 in the prefectural tournament last March.
context: Yes, but there are other formidable opponents this year.\Wakutani Minami\There's Wakutani Minami, which has superior defense and coordination.\Date Kogyo\Date Kogyo is also known as the Iron Wall, which says it all.\That team has the highest blocking rate in the country.\If I recall,\we lost to Dateko 2-0 in the prefectural tournament last March. response:	The match in March... an iron wall of blockers...
context: Wakutani Minami\There's Wakutani Minami, which has superior defense and coordination.\Date Kogyo\Date Kogyo is also known as the Iron Wall, which says it all.\That team has the highest blocking rate in the country.\If I recall,\we lost to Dateko 2-0 in the prefectural tournament last March.\The match in March... an iron wall of blockers... response:	Every single spike by Asahi got blocked in this one match.
context: There's Wakutani Minami, which has superior defense and coordination.\Date Kogyo\Date Kogyo is also known as the Iron Wall, which says it all.\That team has the highest blocking rate in the country.\If I recall,\we lost to Dateko 2-0 in the prefectural tournament last March.\The match in March... an iron wall of blockers...\Every single spike by Asahi got blocked in this one match. response:	Was Suga-san talking about the match against Date Kogyo?
context: Date Kogyo\Date Kogyo is also known as the Iron Wall, which says it all.\That team has the highest blocking rate in the country.\If I recall,\we lost to Dateko 2-0 in the prefectural tournament last March.\The match in March... an iron wall of blockers...\Every single spike by Asahi got blocked in this one match.\Was Suga-san talking about the match against Date Kogyo? response:	I hear there's a second-year named Aone who is particularly dangerous.
context: Date Kogyo is also known as the Iron Wall, which says it all.\That team has the highest blocking rate in the country.\If I recall,\we lost to Dateko 2-0 in the prefectural tournament last March.\The match in March... an iron wall of blockers...\Every single spike by Asahi got blocked in this one match.\Was Suga-san talking about the match against Date Kogyo?\I hear there's a second-year named Aone who is particularly dangerous. response:	Dateko is as strong as the other best four teams,
context: That team has the highest blocking rate in the country.\If I recall,\we lost to Dateko 2-0 in the prefectural tournament last March.\The match in March... an iron wall of blockers...\Every single spike by Asahi got blocked in this one match.\Was Suga-san talking about the match against Date Kogyo?\I hear there's a second-year named Aone who is particularly dangerous.\Dateko is as strong as the other best four teams, response:	but they lost their third-round match against the eventual champions, Shiratorizawa,
context: If I recall,\we lost to Dateko 2-0 in the prefectural tournament last March.\The match in March... an iron wall of blockers...\Every single spike by Asahi got blocked in this one match.\Was Suga-san talking about the match against Date Kogyo?\I hear there's a second-year named Aone who is particularly dangerous.\Dateko is as strong as the other best four teams,\but they lost their third-round match against the eventual champions, Shiratorizawa, response:	and only made the best sixteen.
context: we lost to Dateko 2-0 in the prefectural tournament last March.\The match in March... an iron wall of blockers...\Every single spike by Asahi got blocked in this one match.\Was Suga-san talking about the match against Date Kogyo?\I hear there's a second-year named Aone who is particularly dangerous.\Dateko is as strong as the other best four teams,\but they lost their third-round match against the eventual champions, Shiratorizawa,\and only made the best sixteen. response:	That's why they weren't seeded this year.
