context: When we started living in the same dorm together, response:	I figured trouble would come of it.
context: So, basically, a date, right?\No, it's not.\What is it, then?\A date?\See? What are you going to wear?\I haven't really decided yet...\You've got to wear a skirt!\Don't get careless and wear denim or something like that! response:	What?
context: No, it's not.\What is it, then?\A date?\See? What are you going to wear?\I haven't really decided yet...\You've got to wear a skirt!\Don't get careless and wear denim or something like that!\What? response:	A skirt, huh?
context: What is it, then?\A date?\See? What are you going to wear?\I haven't really decided yet...\You've got to wear a skirt!\Don't get careless and wear denim or something like that!\What?\A skirt, huh? response:	Rumi-san
context: A date?\See? What are you going to wear?\I haven't really decided yet...\You've got to wear a skirt!\Don't get careless and wear denim or something like that!\What?\A skirt, huh?\Rumi-san response:	Would you like to delete this entry?
context: See? What are you going to wear?\I haven't really decided yet...\You've got to wear a skirt!\Don't get careless and wear denim or something like that!\What?\A skirt, huh?\Rumi-san\Would you like to delete this entry? response:	If you study too hard,
context: I haven't really decided yet...\You've got to wear a skirt!\Don't get careless and wear denim or something like that!\What?\A skirt, huh?\Rumi-san\Would you like to delete this entry?\If you study too hard, response:	you'll get accepted into an art school in Osaka.
context: You've got to wear a skirt!\Don't get careless and wear denim or something like that!\What?\A skirt, huh?\Rumi-san\Would you like to delete this entry?\If you study too hard,\you'll get accepted into an art school in Osaka. response:	Is that something you should say to a friend...
context: Don't get careless and wear denim or something like that!\What?\A skirt, huh?\Rumi-san\Would you like to delete this entry?\If you study too hard,\you'll get accepted into an art school in Osaka.\Is that something you should say to a friend... response:	who's working hard to get into the school of his choice?
context: What?\A skirt, huh?\Rumi-san\Would you like to delete this entry?\If you study too hard,\you'll get accepted into an art school in Osaka.\Is that something you should say to a friend...\who's working hard to get into the school of his choice? response:	Who are you calling your friend?
context: A skirt, huh?\Rumi-san\Would you like to delete this entry?\If you study too hard,\you'll get accepted into an art school in Osaka.\Is that something you should say to a friend...\who's working hard to get into the school of his choice?\Who are you calling your friend? response:	Sorry. I meant, my best friend.
context: Rumi-san\Would you like to delete this entry?\If you study too hard,\you'll get accepted into an art school in Osaka.\Is that something you should say to a friend...\who's working hard to get into the school of his choice?\Who are you calling your friend?\Sorry. I meant, my best friend. response:	So, did you need something, Student Council President?
context: Would you like to delete this entry?\If you study too hard,\you'll get accepted into an art school in Osaka.\Is that something you should say to a friend...\who's working hard to get into the school of his choice?\Who are you calling your friend?\Sorry. I meant, my best friend.\So, did you need something, Student Council President? response:	It's former now.
context: If you study too hard,\you'll get accepted into an art school in Osaka.\Is that something you should say to a friend...\who's working hard to get into the school of his choice?\Who are you calling your friend?\Sorry. I meant, my best friend.\So, did you need something, Student Council President?\It's former now. response:	Are you serious about going to Osaka?
context: you'll get accepted into an art school in Osaka.\Is that something you should say to a friend...\who's working hard to get into the school of his choice?\Who are you calling your friend?\Sorry. I meant, my best friend.\So, did you need something, Student Council President?\It's former now.\Are you serious about going to Osaka? response:	You heard from Hau-hau? You two are rather close...
context: Is that something you should say to a friend...\who's working hard to get into the school of his choice?\Who are you calling your friend?\Sorry. I meant, my best friend.\So, did you need something, Student Council President?\It's former now.\Are you serious about going to Osaka?\You heard from Hau-hau? You two are rather close... response:	Our relationship isn't important.
context: who's working hard to get into the school of his choice?\Who are you calling your friend?\Sorry. I meant, my best friend.\So, did you need something, Student Council President?\It's former now.\Are you serious about going to Osaka?\You heard from Hau-hau? You two are rather close...\Our relationship isn't important. response:	You sure you can cope with the distance?
context: Who are you calling your friend?\Sorry. I meant, my best friend.\So, did you need something, Student Council President?\It's former now.\Are you serious about going to Osaka?\You heard from Hau-hau? You two are rather close...\Our relationship isn't important.\You sure you can cope with the distance? response:	Yes, it'll be fine.
context: Sorry. I meant, my best friend.\So, did you need something, Student Council President?\It's former now.\Are you serious about going to Osaka?\You heard from Hau-hau? You two are rather close...\Our relationship isn't important.\You sure you can cope with the distance?\Yes, it'll be fine. response:	For you, maybe.
context: So, did you need something, Student Council President?\It's former now.\Are you serious about going to Osaka?\You heard from Hau-hau? You two are rather close...\Our relationship isn't important.\You sure you can cope with the distance?\Yes, it'll be fine.\For you, maybe. response:	I'm sure you'll have no trouble...
context: It's former now.\Are you serious about going to Osaka?\You heard from Hau-hau? You two are rather close...\Our relationship isn't important.\You sure you can cope with the distance?\Yes, it'll be fine.\For you, maybe.\I'm sure you'll have no trouble... response:	finding girls to mess around with as soon as you get there.
context: Are you serious about going to Osaka?\You heard from Hau-hau? You two are rather close...\Our relationship isn't important.\You sure you can cope with the distance?\Yes, it'll be fine.\For you, maybe.\I'm sure you'll have no trouble...\finding girls to mess around with as soon as you get there. response:	But, Kamiigusa...
context: You heard from Hau-hau? You two are rather close...\Our relationship isn't important.\You sure you can cope with the distance?\Yes, it'll be fine.\For you, maybe.\I'm sure you'll have no trouble...\finding girls to mess around with as soon as you get there.\But, Kamiigusa... response:	I don't intend to.
context: Our relationship isn't important.\You sure you can cope with the distance?\Yes, it'll be fine.\For you, maybe.\I'm sure you'll have no trouble...\finding girls to mess around with as soon as you get there.\But, Kamiigusa...\I don't intend to. response:	I already broke up with all the women...
context: You sure you can cope with the distance?\Yes, it'll be fine.\For you, maybe.\I'm sure you'll have no trouble...\finding girls to mess around with as soon as you get there.\But, Kamiigusa...\I don't intend to.\I already broke up with all the women... response:	I've been messing around with.
context: Yes, it'll be fine.\For you, maybe.\I'm sure you'll have no trouble...\finding girls to mess around with as soon as you get there.\But, Kamiigusa...\I don't intend to.\I already broke up with all the women...\I've been messing around with. response:	Besides, Misaki isn't alone anymore.
context: For you, maybe.\I'm sure you'll have no trouble...\finding girls to mess around with as soon as you get there.\But, Kamiigusa...\I don't intend to.\I already broke up with all the women...\I've been messing around with.\Besides, Misaki isn't alone anymore. response:	She has Sakura Hall?
context: I'm sure you'll have no trouble...\finding girls to mess around with as soon as you get there.\But, Kamiigusa...\I don't intend to.\I already broke up with all the women...\I've been messing around with.\Besides, Misaki isn't alone anymore.\She has Sakura Hall? response:	Yeah.
context: finding girls to mess around with as soon as you get there.\But, Kamiigusa...\I don't intend to.\I already broke up with all the women...\I've been messing around with.\Besides, Misaki isn't alone anymore.\She has Sakura Hall?\Yeah. response:	Is there something else bothering you?
context: But, Kamiigusa...\I don't intend to.\I already broke up with all the women...\I've been messing around with.\Besides, Misaki isn't alone anymore.\She has Sakura Hall?\Yeah.\Is there something else bothering you? response:	What do you want to do?
context: I don't intend to.\I already broke up with all the women...\I've been messing around with.\Besides, Misaki isn't alone anymore.\She has Sakura Hall?\Yeah.\Is there something else bothering you?\What do you want to do? response:	What do you mean?
context: I already broke up with all the women...\I've been messing around with.\Besides, Misaki isn't alone anymore.\She has Sakura Hall?\Yeah.\Is there something else bothering you?\What do you want to do?\What do you mean? response:	What do you want? Tell me.
context: I've been messing around with.\Besides, Misaki isn't alone anymore.\She has Sakura Hall?\Yeah.\Is there something else bothering you?\What do you want to do?\What do you mean?\What do you want? Tell me. response:	I want her to look at me.
context: Besides, Misaki isn't alone anymore.\She has Sakura Hall?\Yeah.\Is there something else bothering you?\What do you want to do?\What do you mean?\What do you want? Tell me.\I want her to look at me. response:	What are you talking about?
context: She has Sakura Hall?\Yeah.\Is there something else bothering you?\What do you want to do?\What do you mean?\What do you want? Tell me.\I want her to look at me.\What are you talking about? response:	She's already looking right at you.
context: Yeah.\Is there something else bothering you?\What do you want to do?\What do you mean?\What do you want? Tell me.\I want her to look at me.\What are you talking about?\She's already looking right at you. response:	That's because she loves me.
context: Is there something else bothering you?\What do you want to do?\What do you mean?\What do you want? Tell me.\I want her to look at me.\What are you talking about?\She's already looking right at you.\That's because she loves me. response:	That's not what I mean.
context: What do you want to do?\What do you mean?\What do you want? Tell me.\I want her to look at me.\What are you talking about?\She's already looking right at you.\That's because she loves me.\That's not what I mean. response:	I don't just want her to love me,
context: What do you mean?\What do you want? Tell me.\I want her to look at me.\What are you talking about?\She's already looking right at you.\That's because she loves me.\That's not what I mean.\I don't just want her to love me, response:	I want to make her love me.
context: What do you want? Tell me.\I want her to look at me.\What are you talking about?\She's already looking right at you.\That's because she loves me.\That's not what I mean.\I don't just want her to love me,\I want to make her love me. response:	Why?
context: I want her to look at me.\What are you talking about?\She's already looking right at you.\That's because she loves me.\That's not what I mean.\I don't just want her to love me,\I want to make her love me.\Why? response:	Because I really do love her.
context: What are you talking about?\She's already looking right at you.\That's because she loves me.\That's not what I mean.\I don't just want her to love me,\I want to make her love me.\Why?\Because I really do love her. response:	Sakura Hall
context: She's already looking right at you.\That's because she loves me.\That's not what I mean.\I don't just want her to love me,\I want to make her love me.\Why?\Because I really do love her.\Sakura Hall response:	Well? How about this?
context: That's because she loves me.\That's not what I mean.\I don't just want her to love me,\I want to make her love me.\Why?\Because I really do love her.\Sakura Hall\Well? How about this? response:	It's not really me...
context: That's not what I mean.\I don't just want her to love me,\I want to make her love me.\Why?\Because I really do love her.\Sakura Hall\Well? How about this?\It's not really me... response:	That's not true! It's cute!
context: I don't just want her to love me,\I want to make her love me.\Why?\Because I really do love her.\Sakura Hall\Well? How about this?\It's not really me...\That's not true! It's cute! response:	It makes me want to marry you, Nanamin!
context: I want to make her love me.\Why?\Because I really do love her.\Sakura Hall\Well? How about this?\It's not really me...\That's not true! It's cute!\It makes me want to marry you, Nanamin! response:	You're taking it off?
context: Why?\Because I really do love her.\Sakura Hall\Well? How about this?\It's not really me...\That's not true! It's cute!\It makes me want to marry you, Nanamin!\You're taking it off? response:	You can borrow this, too!
context: Because I really do love her.\Sakura Hall\Well? How about this?\It's not really me...\That's not true! It's cute!\It makes me want to marry you, Nanamin!\You're taking it off?\You can borrow this, too! response:	Battle underwear.
context: Sakura Hall\Well? How about this?\It's not really me...\That's not true! It's cute!\It makes me want to marry you, Nanamin!\You're taking it off?\You can borrow this, too!\Battle underwear. response:	Kouhai-kun will love it!
context: Well? How about this?\It's not really me...\That's not true! It's cute!\It makes me want to marry you, Nanamin!\You're taking it off?\You can borrow this, too!\Battle underwear.\Kouhai-kun will love it! response:	Why did you mention Kanda-kun?!
context: It's not really me...\That's not true! It's cute!\It makes me want to marry you, Nanamin!\You're taking it off?\You can borrow this, too!\Battle underwear.\Kouhai-kun will love it!\Why did you mention Kanda-kun?! response:	I'm not letting him see my underwear!
context: That's not true! It's cute!\It makes me want to marry you, Nanamin!\You're taking it off?\You can borrow this, too!\Battle underwear.\Kouhai-kun will love it!\Why did you mention Kanda-kun?!\I'm not letting him see my underwear! response:	You've got to fight!
context: It makes me want to marry you, Nanamin!\You're taking it off?\You can borrow this, too!\Battle underwear.\Kouhai-kun will love it!\Why did you mention Kanda-kun?!\I'm not letting him see my underwear!\You've got to fight! response:	Yes, but... Kamiigusa-senpai, are you going to be okay?
context: You're taking it off?\You can borrow this, too!\Battle underwear.\Kouhai-kun will love it!\Why did you mention Kanda-kun?!\I'm not letting him see my underwear!\You've got to fight!\Yes, but... Kamiigusa-senpai, are you going to be okay? response:	What do you mean?
context: You can borrow this, too!\Battle underwear.\Kouhai-kun will love it!\Why did you mention Kanda-kun?!\I'm not letting him see my underwear!\You've got to fight!\Yes, but... Kamiigusa-senpai, are you going to be okay?\What do you mean? response:	What do I mean?
context: Battle underwear.\Kouhai-kun will love it!\Why did you mention Kanda-kun?!\I'm not letting him see my underwear!\You've got to fight!\Yes, but... Kamiigusa-senpai, are you going to be okay?\What do you mean?\What do I mean? response:	Your confession on Christmas Eve.
context: Kouhai-kun will love it!\Why did you mention Kanda-kun?!\I'm not letting him see my underwear!\You've got to fight!\Yes, but... Kamiigusa-senpai, are you going to be okay?\What do you mean?\What do I mean?\Your confession on Christmas Eve. response:	Aren't you afraid to tell him how you feel?
context: Why did you mention Kanda-kun?!\I'm not letting him see my underwear!\You've got to fight!\Yes, but... Kamiigusa-senpai, are you going to be okay?\What do you mean?\What do I mean?\Your confession on Christmas Eve.\Aren't you afraid to tell him how you feel? response:	What are you talking about, Nanamin?
context: I'm not letting him see my underwear!\You've got to fight!\Yes, but... Kamiigusa-senpai, are you going to be okay?\What do you mean?\What do I mean?\Your confession on Christmas Eve.\Aren't you afraid to tell him how you feel?\What are you talking about, Nanamin? response:	Of course I'm scared.
context: You've got to fight!\Yes, but... Kamiigusa-senpai, are you going to be okay?\What do you mean?\What do I mean?\Your confession on Christmas Eve.\Aren't you afraid to tell him how you feel?\What are you talking about, Nanamin?\Of course I'm scared. response:	After all, I've liked Jin since elementary school.
context: Yes, but... Kamiigusa-senpai, are you going to be okay?\What do you mean?\What do I mean?\Your confession on Christmas Eve.\Aren't you afraid to tell him how you feel?\What are you talking about, Nanamin?\Of course I'm scared.\After all, I've liked Jin since elementary school. response:	Though, I didn't realize how I felt until middle school.
