context: If I were to die now, I doubt Ren would die with me anymore. response:	But that's fine. That's how it should be.
context: It hangs there quietly, my sorrow\Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself response:	I show you my life now
context: Please, please God, forgive my sins\I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now response:	I show you my love now
context: I don't need to hide no more\Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now response:	I show you my everything yeah yeah
context: Flowing toward the turquoise light\Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah response:	You'd better change now You'd better catch now
context: Just keep going on\You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now response:	Don't ever change so be yourself
context: You've got the chance now\You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself response:	I'll show you my strength now
context: You've got the power\Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now response:	I'll show you my love now
context: Know you gotta be so true to yourself\I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now response:	I'll show you my everything yeah yeah
context: I show you my life now\I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah response:	Baby don't be afraid
context: I show you my love now\I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid response:	Yeah, yeah Yeah, yeah
context: I show you my everything yeah yeah\You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: You'd better change now You'd better catch now\Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Yeah, yeah Yeah, yeah
context: Don't ever change so be yourself\I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah response:	Yeah, yeah, keep going on
context: I'll show you my strength now\I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on response:	Excuse me, I'm from next door, and...
context: I'll show you my love now\I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Excuse me, I'm from next door, and... response:	I think she's hyperventilating.
context: I'll show you my everything yeah yeah\Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Excuse me, I'm from next door, and...\I think she's hyperventilating. response:	D-Do you have a plastic or paper bag?
context: Baby don't be afraid\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Excuse me, I'm from next door, and...\I think she's hyperventilating.\D-Do you have a plastic or paper bag? response:	You don't have one?
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Excuse me, I'm from next door, and...\I think she's hyperventilating.\D-Do you have a plastic or paper bag?\You don't have one? response:	A paper bag would be better.
context: Yeah, yeah, keep going on\Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Excuse me, I'm from next door, and...\I think she's hyperventilating.\D-Do you have a plastic or paper bag?\You don't have one?\A paper bag would be better. response:	If you don't use it right, plastic could make it worse.
context: Yeah, yeah Yeah, yeah\Yeah, yeah, keep going on\Excuse me, I'm from next door, and...\I think she's hyperventilating.\D-Do you have a plastic or paper bag?\You don't have one?\A paper bag would be better.\If you don't use it right, plastic could make it worse. response:	Really?
context: Yeah, yeah, keep going on\Excuse me, I'm from next door, and...\I think she's hyperventilating.\D-Do you have a plastic or paper bag?\You don't have one?\A paper bag would be better.\If you don't use it right, plastic could make it worse.\Really? response:	Or rather, how should she use it?
context: Excuse me, I'm from next door, and...\I think she's hyperventilating.\D-Do you have a plastic or paper bag?\You don't have one?\A paper bag would be better.\If you don't use it right, plastic could make it worse.\Really?\Or rather, how should she use it? response:	Well... um... I've never been in this situation before...
context: I think she's hyperventilating.\D-Do you have a plastic or paper bag?\You don't have one?\A paper bag would be better.\If you don't use it right, plastic could make it worse.\Really?\Or rather, how should she use it?\Well... um... I've never been in this situation before... response:	You seem like you know a lot.
context: D-Do you have a plastic or paper bag?\You don't have one?\A paper bag would be better.\If you don't use it right, plastic could make it worse.\Really?\Or rather, how should she use it?\Well... um... I've never been in this situation before...\You seem like you know a lot. response:	Is it safe for someone not in the medical profession to do it?
context: You don't have one?\A paper bag would be better.\If you don't use it right, plastic could make it worse.\Really?\Or rather, how should she use it?\Well... um... I've never been in this situation before...\You seem like you know a lot.\Is it safe for someone not in the medical profession to do it? response:	Sure. I always do it by myself.
context: A paper bag would be better.\If you don't use it right, plastic could make it worse.\Really?\Or rather, how should she use it?\Well... um... I've never been in this situation before...\You seem like you know a lot.\Is it safe for someone not in the medical profession to do it?\Sure. I always do it by myself. response:	Lay her on her back,
context: If you don't use it right, plastic could make it worse.\Really?\Or rather, how should she use it?\Well... um... I've never been in this situation before...\You seem like you know a lot.\Is it safe for someone not in the medical profession to do it?\Sure. I always do it by myself.\Lay her on her back, response:	then cover her nose and mouth with the paper bag,
context: Really?\Or rather, how should she use it?\Well... um... I've never been in this situation before...\You seem like you know a lot.\Is it safe for someone not in the medical profession to do it?\Sure. I always do it by myself.\Lay her on her back,\then cover her nose and mouth with the paper bag, response:	but make a little opening.
context: Or rather, how should she use it?\Well... um... I've never been in this situation before...\You seem like you know a lot.\Is it safe for someone not in the medical profession to do it?\Sure. I always do it by myself.\Lay her on her back,\then cover her nose and mouth with the paper bag,\but make a little opening. response:	Like this...
context: Well... um... I've never been in this situation before...\You seem like you know a lot.\Is it safe for someone not in the medical profession to do it?\Sure. I always do it by myself.\Lay her on her back,\then cover her nose and mouth with the paper bag,\but make a little opening.\Like this... response:	Have her take deep breaths, and it'll stop before long.
context: You seem like you know a lot.\Is it safe for someone not in the medical profession to do it?\Sure. I always do it by myself.\Lay her on her back,\then cover her nose and mouth with the paper bag,\but make a little opening.\Like this...\Have her take deep breaths, and it'll stop before long. response:	It's a living hell.
context: Is it safe for someone not in the medical profession to do it?\Sure. I always do it by myself.\Lay her on her back,\then cover her nose and mouth with the paper bag,\but make a little opening.\Like this...\Have her take deep breaths, and it'll stop before long.\It's a living hell. response:	Th-Thank you. I'll give it a shot.
context: Sure. I always do it by myself.\Lay her on her back,\then cover her nose and mouth with the paper bag,\but make a little opening.\Like this...\Have her take deep breaths, and it'll stop before long.\It's a living hell.\Th-Thank you. I'll give it a shot. response:	You don't have to freak out.
context: Lay her on her back,\then cover her nose and mouth with the paper bag,\but make a little opening.\Like this...\Have her take deep breaths, and it'll stop before long.\It's a living hell.\Th-Thank you. I'll give it a shot.\You don't have to freak out. response:	She's got that guy, who is like a tranquilizer.
context: then cover her nose and mouth with the paper bag,\but make a little opening.\Like this...\Have her take deep breaths, and it'll stop before long.\It's a living hell.\Th-Thank you. I'll give it a shot.\You don't have to freak out.\She's got that guy, who is like a tranquilizer. response:	Tranquilizer?
context: but make a little opening.\Like this...\Have her take deep breaths, and it'll stop before long.\It's a living hell.\Th-Thank you. I'll give it a shot.\You don't have to freak out.\She's got that guy, who is like a tranquilizer.\Tranquilizer? response:	I was jealous so I said something mean.
context: Like this...\Have her take deep breaths, and it'll stop before long.\It's a living hell.\Th-Thank you. I'll give it a shot.\You don't have to freak out.\She's got that guy, who is like a tranquilizer.\Tranquilizer?\I was jealous so I said something mean. response:	Sorry.
context: Have her take deep breaths, and it'll stop before long.\It's a living hell.\Th-Thank you. I'll give it a shot.\You don't have to freak out.\She's got that guy, who is like a tranquilizer.\Tranquilizer?\I was jealous so I said something mean.\Sorry. response:	As if being pulled up from the depths of the ocean,
context: It's a living hell.\Th-Thank you. I'll give it a shot.\You don't have to freak out.\She's got that guy, who is like a tranquilizer.\Tranquilizer?\I was jealous so I said something mean.\Sorry.\As if being pulled up from the depths of the ocean, response:	I was finally able to breathe.
context: Th-Thank you. I'll give it a shot.\You don't have to freak out.\She's got that guy, who is like a tranquilizer.\Tranquilizer?\I was jealous so I said something mean.\Sorry.\As if being pulled up from the depths of the ocean,\I was finally able to breathe. response:	Yasu's chest had the sweet scent of Black Stone.
context: You don't have to freak out.\She's got that guy, who is like a tranquilizer.\Tranquilizer?\I was jealous so I said something mean.\Sorry.\As if being pulled up from the depths of the ocean,\I was finally able to breathe.\Yasu's chest had the sweet scent of Black Stone. response:	I'm not going anywhere.
context: She's got that guy, who is like a tranquilizer.\Tranquilizer?\I was jealous so I said something mean.\Sorry.\As if being pulled up from the depths of the ocean,\I was finally able to breathe.\Yasu's chest had the sweet scent of Black Stone.\I'm not going anywhere. response:	- Ah, Ginpei. Keep up the good work. - Where's Nana?!
context: Tranquilizer?\I was jealous so I said something mean.\Sorry.\As if being pulled up from the depths of the ocean,\I was finally able to breathe.\Yasu's chest had the sweet scent of Black Stone.\I'm not going anywhere.\- Ah, Ginpei. Keep up the good work. - Where's Nana?! response:	602.
context: I was jealous so I said something mean.\Sorry.\As if being pulled up from the depths of the ocean,\I was finally able to breathe.\Yasu's chest had the sweet scent of Black Stone.\I'm not going anywhere.\- Ah, Ginpei. Keep up the good work. - Where's Nana?!\602. response:	How is she?! Did you notify Dr. Azuma?!
context: Sorry.\As if being pulled up from the depths of the ocean,\I was finally able to breathe.\Yasu's chest had the sweet scent of Black Stone.\I'm not going anywhere.\- Ah, Ginpei. Keep up the good work. - Where's Nana?!\602.\How is she?! Did you notify Dr. Azuma?! response:	Calm down. She was probably just hyperventilating.
context: As if being pulled up from the depths of the ocean,\I was finally able to breathe.\Yasu's chest had the sweet scent of Black Stone.\I'm not going anywhere.\- Ah, Ginpei. Keep up the good work. - Where's Nana?!\602.\How is she?! Did you notify Dr. Azuma?!\Calm down. She was probably just hyperventilating. response:	The same symptoms as Myu's.
context: I was finally able to breathe.\Yasu's chest had the sweet scent of Black Stone.\I'm not going anywhere.\- Ah, Ginpei. Keep up the good work. - Where's Nana?!\602.\How is she?! Did you notify Dr. Azuma?!\Calm down. She was probably just hyperventilating.\The same symptoms as Myu's. response:	That's a problem.
context: Yasu's chest had the sweet scent of Black Stone.\I'm not going anywhere.\- Ah, Ginpei. Keep up the good work. - Where's Nana?!\602.\How is she?! Did you notify Dr. Azuma?!\Calm down. She was probably just hyperventilating.\The same symptoms as Myu's.\That's a problem. response:	The security guard apparently phoned the agency
context: I'm not going anywhere.\- Ah, Ginpei. Keep up the good work. - Where's Nana?!\602.\How is she?! Did you notify Dr. Azuma?!\Calm down. She was probably just hyperventilating.\The same symptoms as Myu's.\That's a problem.\The security guard apparently phoned the agency response:	instead of getting an ambulance.
context: - Ah, Ginpei. Keep up the good work. - Where's Nana?!\602.\How is she?! Did you notify Dr. Azuma?!\Calm down. She was probably just hyperventilating.\The same symptoms as Myu's.\That's a problem.\The security guard apparently phoned the agency\instead of getting an ambulance. response:	Ginpei rushed over
context: 602.\How is she?! Did you notify Dr. Azuma?!\Calm down. She was probably just hyperventilating.\The same symptoms as Myu's.\That's a problem.\The security guard apparently phoned the agency\instead of getting an ambulance.\Ginpei rushed over response:	and he drove me to see a doctor he said he knew well.
context: How is she?! Did you notify Dr. Azuma?!\Calm down. She was probably just hyperventilating.\The same symptoms as Myu's.\That's a problem.\The security guard apparently phoned the agency\instead of getting an ambulance.\Ginpei rushed over\and he drove me to see a doctor he said he knew well. response:	By the time we arrived at the hospital,
context: Calm down. She was probably just hyperventilating.\The same symptoms as Myu's.\That's a problem.\The security guard apparently phoned the agency\instead of getting an ambulance.\Ginpei rushed over\and he drove me to see a doctor he said he knew well.\By the time we arrived at the hospital, response:	which was past its hours of operation,
context: The same symptoms as Myu's.\That's a problem.\The security guard apparently phoned the agency\instead of getting an ambulance.\Ginpei rushed over\and he drove me to see a doctor he said he knew well.\By the time we arrived at the hospital,\which was past its hours of operation, response:	I was feeling completely back to normal.
context: That's a problem.\The security guard apparently phoned the agency\instead of getting an ambulance.\Ginpei rushed over\and he drove me to see a doctor he said he knew well.\By the time we arrived at the hospital,\which was past its hours of operation,\I was feeling completely back to normal. response:	AZUMA CLINIC I was feeling completely back to normal.
context: The security guard apparently phoned the agency\instead of getting an ambulance.\Ginpei rushed over\and he drove me to see a doctor he said he knew well.\By the time we arrived at the hospital,\which was past its hours of operation,\I was feeling completely back to normal.\AZUMA CLINIC I was feeling completely back to normal. response:	AZUMA CLINIC
context: instead of getting an ambulance.\Ginpei rushed over\and he drove me to see a doctor he said he knew well.\By the time we arrived at the hospital,\which was past its hours of operation,\I was feeling completely back to normal.\AZUMA CLINIC I was feeling completely back to normal.\AZUMA CLINIC response:	AZUMA CLINIC But they insisted that I get checked just to be sure,
context: Ginpei rushed over\and he drove me to see a doctor he said he knew well.\By the time we arrived at the hospital,\which was past its hours of operation,\I was feeling completely back to normal.\AZUMA CLINIC I was feeling completely back to normal.\AZUMA CLINIC\AZUMA CLINIC But they insisted that I get checked just to be sure, response:	AZUMA CLINIC and I got a thorough physical checkup.
context: and he drove me to see a doctor he said he knew well.\By the time we arrived at the hospital,\which was past its hours of operation,\I was feeling completely back to normal.\AZUMA CLINIC I was feeling completely back to normal.\AZUMA CLINIC\AZUMA CLINIC But they insisted that I get checked just to be sure,\AZUMA CLINIC and I got a thorough physical checkup. response:	AZUMA CLINIC
context: By the time we arrived at the hospital,\which was past its hours of operation,\I was feeling completely back to normal.\AZUMA CLINIC I was feeling completely back to normal.\AZUMA CLINIC\AZUMA CLINIC But they insisted that I get checked just to be sure,\AZUMA CLINIC and I got a thorough physical checkup.\AZUMA CLINIC response:	Hyperventilation syndrome.
context: which was past its hours of operation,\I was feeling completely back to normal.\AZUMA CLINIC I was feeling completely back to normal.\AZUMA CLINIC\AZUMA CLINIC But they insisted that I get checked just to be sure,\AZUMA CLINIC and I got a thorough physical checkup.\AZUMA CLINIC\Hyperventilation syndrome. response:	Also known simply as hyperventilation.
context: I was feeling completely back to normal.\AZUMA CLINIC I was feeling completely back to normal.\AZUMA CLINIC\AZUMA CLINIC But they insisted that I get checked just to be sure,\AZUMA CLINIC and I got a thorough physical checkup.\AZUMA CLINIC\Hyperventilation syndrome.\Also known simply as hyperventilation. response:	What's that?
context: AZUMA CLINIC I was feeling completely back to normal.\AZUMA CLINIC\AZUMA CLINIC But they insisted that I get checked just to be sure,\AZUMA CLINIC and I got a thorough physical checkup.\AZUMA CLINIC\Hyperventilation syndrome.\Also known simply as hyperventilation.\What's that? response:	It's just as the words suggest.
context: AZUMA CLINIC\AZUMA CLINIC But they insisted that I get checked just to be sure,\AZUMA CLINIC and I got a thorough physical checkup.\AZUMA CLINIC\Hyperventilation syndrome.\Also known simply as hyperventilation.\What's that?\It's just as the words suggest. response:	It's caused by excessive breathing.
context: AZUMA CLINIC But they insisted that I get checked just to be sure,\AZUMA CLINIC and I got a thorough physical checkup.\AZUMA CLINIC\Hyperventilation syndrome.\Also known simply as hyperventilation.\What's that?\It's just as the words suggest.\It's caused by excessive breathing. response:	The carbon dioxide levels in your blood decrease,
context: AZUMA CLINIC and I got a thorough physical checkup.\AZUMA CLINIC\Hyperventilation syndrome.\Also known simply as hyperventilation.\What's that?\It's just as the words suggest.\It's caused by excessive breathing.\The carbon dioxide levels in your blood decrease, response:	causing the attack.
context: AZUMA CLINIC\Hyperventilation syndrome.\Also known simply as hyperventilation.\What's that?\It's just as the words suggest.\It's caused by excessive breathing.\The carbon dioxide levels in your blood decrease,\causing the attack. response:	Carbon dioxide levels in my blood?
context: Hyperventilation syndrome.\Also known simply as hyperventilation.\What's that?\It's just as the words suggest.\It's caused by excessive breathing.\The carbon dioxide levels in your blood decrease,\causing the attack.\Carbon dioxide levels in my blood? response:	Be quiet and listen.
context: Also known simply as hyperventilation.\What's that?\It's just as the words suggest.\It's caused by excessive breathing.\The carbon dioxide levels in your blood decrease,\causing the attack.\Carbon dioxide levels in my blood?\Be quiet and listen. response:	Your attack subsided
context: What's that?\It's just as the words suggest.\It's caused by excessive breathing.\The carbon dioxide levels in your blood decrease,\causing the attack.\Carbon dioxide levels in my blood?\Be quiet and listen.\Your attack subsided response:	when you placed a paper bag over your mouth
context: It's just as the words suggest.\It's caused by excessive breathing.\The carbon dioxide levels in your blood decrease,\causing the attack.\Carbon dioxide levels in my blood?\Be quiet and listen.\Your attack subsided\when you placed a paper bag over your mouth response:	and breathed into it.
context: It's caused by excessive breathing.\The carbon dioxide levels in your blood decrease,\causing the attack.\Carbon dioxide levels in my blood?\Be quiet and listen.\Your attack subsided\when you placed a paper bag over your mouth\and breathed into it. response:	This is called the paper bag technique, and...
context: The carbon dioxide levels in your blood decrease,\causing the attack.\Carbon dioxide levels in my blood?\Be quiet and listen.\Your attack subsided\when you placed a paper bag over your mouth\and breathed into it.\This is called the paper bag technique, and... response:	Doctor, I don't need you to share your knowledge with me.
context: causing the attack.\Carbon dioxide levels in my blood?\Be quiet and listen.\Your attack subsided\when you placed a paper bag over your mouth\and breathed into it.\This is called the paper bag technique, and...\Doctor, I don't need you to share your knowledge with me. response:	What the hell's wrong with me? Is it my lungs?
context: Carbon dioxide levels in my blood?\Be quiet and listen.\Your attack subsided\when you placed a paper bag over your mouth\and breathed into it.\This is called the paper bag technique, and...\Doctor, I don't need you to share your knowledge with me.\What the hell's wrong with me? Is it my lungs? response:	No.
context: Be quiet and listen.\Your attack subsided\when you placed a paper bag over your mouth\and breathed into it.\This is called the paper bag technique, and...\Doctor, I don't need you to share your knowledge with me.\What the hell's wrong with me? Is it my lungs?\No. response:	Then is it my blood?
context: Your attack subsided\when you placed a paper bag over your mouth\and breathed into it.\This is called the paper bag technique, and...\Doctor, I don't need you to share your knowledge with me.\What the hell's wrong with me? Is it my lungs?\No.\Then is it my blood? response:	No.
context: when you placed a paper bag over your mouth\and breathed into it.\This is called the paper bag technique, and...\Doctor, I don't need you to share your knowledge with me.\What the hell's wrong with me? Is it my lungs?\No.\Then is it my blood?\No. response:	Then it must be'cause I smoke even though I'm on the pill.
context: and breathed into it.\This is called the paper bag technique, and...\Doctor, I don't need you to share your knowledge with me.\What the hell's wrong with me? Is it my lungs?\No.\Then is it my blood?\No.\Then it must be'cause I smoke even though I'm on the pill. response:	But I heard that when you're young, a little is all right.
context: This is called the paper bag technique, and...\Doctor, I don't need you to share your knowledge with me.\What the hell's wrong with me? Is it my lungs?\No.\Then is it my blood?\No.\Then it must be'cause I smoke even though I'm on the pill.\But I heard that when you're young, a little is all right. response:	A little?
context: Doctor, I don't need you to share your knowledge with me.\What the hell's wrong with me? Is it my lungs?\No.\Then is it my blood?\No.\Then it must be'cause I smoke even though I'm on the pill.\But I heard that when you're young, a little is all right.\A little? response:	That's not good.
context: What the hell's wrong with me? Is it my lungs?\No.\Then is it my blood?\No.\Then it must be'cause I smoke even though I'm on the pill.\But I heard that when you're young, a little is all right.\A little?\That's not good. response:	You risk getting thrombosis, you know.
context: No.\Then is it my blood?\No.\Then it must be'cause I smoke even though I'm on the pill.\But I heard that when you're young, a little is all right.\A little?\That's not good.\You risk getting thrombosis, you know. response:	I know that, but I can't quit either.
context: Then is it my blood?\No.\Then it must be'cause I smoke even though I'm on the pill.\But I heard that when you're young, a little is all right.\A little?\That's not good.\You risk getting thrombosis, you know.\I know that, but I can't quit either. response:	What am I gonna do?
context: No.\Then it must be'cause I smoke even though I'm on the pill.\But I heard that when you're young, a little is all right.\A little?\That's not good.\You risk getting thrombosis, you know.\I know that, but I can't quit either.\What am I gonna do? response:	If you'd use protection instead, then the problem's solved.
context: Then it must be'cause I smoke even though I'm on the pill.\But I heard that when you're young, a little is all right.\A little?\That's not good.\You risk getting thrombosis, you know.\I know that, but I can't quit either.\What am I gonna do?\If you'd use protection instead, then the problem's solved. response:	Huh? Me?
context: But I heard that when you're young, a little is all right.\A little?\That's not good.\You risk getting thrombosis, you know.\I know that, but I can't quit either.\What am I gonna do?\If you'd use protection instead, then the problem's solved.\Huh? Me? response:	Come on, Doctor! You're misunderstanding!
context: A little?\That's not good.\You risk getting thrombosis, you know.\I know that, but I can't quit either.\What am I gonna do?\If you'd use protection instead, then the problem's solved.\Huh? Me?\Come on, Doctor! You're misunderstanding! response:	Yasu belongs to me!
context: That's not good.\You risk getting thrombosis, you know.\I know that, but I can't quit either.\What am I gonna do?\If you'd use protection instead, then the problem's solved.\Huh? Me?\Come on, Doctor! You're misunderstanding!\Yasu belongs to me! response:	My apologies. But in any case,
context: You risk getting thrombosis, you know.\I know that, but I can't quit either.\What am I gonna do?\If you'd use protection instead, then the problem's solved.\Huh? Me?\Come on, Doctor! You're misunderstanding!\Yasu belongs to me!\My apologies. But in any case, response:	the examination shows there is nothing wrong with you,
context: I know that, but I can't quit either.\What am I gonna do?\If you'd use protection instead, then the problem's solved.\Huh? Me?\Come on, Doctor! You're misunderstanding!\Yasu belongs to me!\My apologies. But in any case,\the examination shows there is nothing wrong with you, response:	so you can relax.
context: What am I gonna do?\If you'd use protection instead, then the problem's solved.\Huh? Me?\Come on, Doctor! You're misunderstanding!\Yasu belongs to me!\My apologies. But in any case,\the examination shows there is nothing wrong with you,\so you can relax. response:	Huh?!
context: If you'd use protection instead, then the problem's solved.\Huh? Me?\Come on, Doctor! You're misunderstanding!\Yasu belongs to me!\My apologies. But in any case,\the examination shows there is nothing wrong with you,\so you can relax.\Huh?! response:	I was in so much pain I thought I'd die!
context: Huh? Me?\Come on, Doctor! You're misunderstanding!\Yasu belongs to me!\My apologies. But in any case,\the examination shows there is nothing wrong with you,\so you can relax.\Huh?!\I was in so much pain I thought I'd die! response:	Did you examine me properly?! You rogue doctor!
context: Come on, Doctor! You're misunderstanding!\Yasu belongs to me!\My apologies. But in any case,\the examination shows there is nothing wrong with you,\so you can relax.\Huh?!\I was in so much pain I thought I'd die!\Did you examine me properly?! You rogue doctor! response:	Nana...
context: Yasu belongs to me!\My apologies. But in any case,\the examination shows there is nothing wrong with you,\so you can relax.\Huh?!\I was in so much pain I thought I'd die!\Did you examine me properly?! You rogue doctor!\Nana... response:	Miss Osaki, calm down.
context: My apologies. But in any case,\the examination shows there is nothing wrong with you,\so you can relax.\Huh?!\I was in so much pain I thought I'd die!\Did you examine me properly?! You rogue doctor!\Nana...\Miss Osaki, calm down. response:	Hyperventilation can occur after strenuous exercise,
context: the examination shows there is nothing wrong with you,\so you can relax.\Huh?!\I was in so much pain I thought I'd die!\Did you examine me properly?! You rogue doctor!\Nana...\Miss Osaki, calm down.\Hyperventilation can occur after strenuous exercise, response:	but it can also easily happen if you're overly nervous or excited.
context: so you can relax.\Huh?!\I was in so much pain I thought I'd die!\Did you examine me properly?! You rogue doctor!\Nana...\Miss Osaki, calm down.\Hyperventilation can occur after strenuous exercise,\but it can also easily happen if you're overly nervous or excited. response:	But she's always like this, Doctor.
context: Huh?!\I was in so much pain I thought I'd die!\Did you examine me properly?! You rogue doctor!\Nana...\Miss Osaki, calm down.\Hyperventilation can occur after strenuous exercise,\but it can also easily happen if you're overly nervous or excited.\But she's always like this, Doctor. response:	How can it be cured?
context: I was in so much pain I thought I'd die!\Did you examine me properly?! You rogue doctor!\Nana...\Miss Osaki, calm down.\Hyperventilation can occur after strenuous exercise,\but it can also easily happen if you're overly nervous or excited.\But she's always like this, Doctor.\How can it be cured? response:	Well, there's no guarantee it'll even happen again.
