context: Makise Kurisu! response:	I did knock, for what it's worth.
context: Can you do anything about him?\Just think of him as confused by events.\This is an emergency.\The Organization finally sent an agent to the lab!\What?\Then this, too, is the choice of Steins Gate?\Steins Gate?\Something Okarin made up. response:	It doesn't really mean anything.
context: Just think of him as confused by events.\This is an emergency.\The Organization finally sent an agent to the lab!\What?\Then this, too, is the choice of Steins Gate?\Steins Gate?\Something Okarin made up.\It doesn't really mean anything. response:	I'm sure.
context: This is an emergency.\The Organization finally sent an agent to the lab!\What?\Then this, too, is the choice of Steins Gate?\Steins Gate?\Something Okarin made up.\It doesn't really mean anything.\I'm sure. response:	He's mixing up his German and English.
context: The Organization finally sent an agent to the lab!\What?\Then this, too, is the choice of Steins Gate?\Steins Gate?\Something Okarin made up.\It doesn't really mean anything.\I'm sure.\He's mixing up his German and English. response:	Take your shoes off!
context: What?\Then this, too, is the choice of Steins Gate?\Steins Gate?\Something Okarin made up.\It doesn't really mean anything.\I'm sure.\He's mixing up his German and English.\Take your shoes off! response:	I'm sorry.
context: Then this, too, is the choice of Steins Gate?\Steins Gate?\Something Okarin made up.\It doesn't really mean anything.\I'm sure.\He's mixing up his German and English.\Take your shoes off!\I'm sorry. response:	I've been in America too long.
context: Steins Gate?\Something Okarin made up.\It doesn't really mean anything.\I'm sure.\He's mixing up his German and English.\Take your shoes off!\I'm sorry.\I've been in America too long. response:	Nice to meet you.
context: Something Okarin made up.\It doesn't really mean anything.\I'm sure.\He's mixing up his German and English.\Take your shoes off!\I'm sorry.\I've been in America too long.\Nice to meet you. response:	I'm Makise Kurisu.
context: It doesn't really mean anything.\I'm sure.\He's mixing up his German and English.\Take your shoes off!\I'm sorry.\I've been in America too long.\Nice to meet you.\I'm Makise Kurisu. response:	You can't even shake hands?
context: I'm sure.\He's mixing up his German and English.\Take your shoes off!\I'm sorry.\I've been in America too long.\Nice to meet you.\I'm Makise Kurisu.\You can't even shake hands? response:	Japanese men don't know how to do anything.
context: He's mixing up his German and English.\Take your shoes off!\I'm sorry.\I've been in America too long.\Nice to meet you.\I'm Makise Kurisu.\You can't even shake hands?\Japanese men don't know how to do anything. response:	You're freaking out too much.
context: Take your shoes off!\I'm sorry.\I've been in America too long.\Nice to meet you.\I'm Makise Kurisu.\You can't even shake hands?\Japanese men don't know how to do anything.\You're freaking out too much. response:	It's because I can feel murderous intent seeping from your every pore.
context: I'm sorry.\I've been in America too long.\Nice to meet you.\I'm Makise Kurisu.\You can't even shake hands?\Japanese men don't know how to do anything.\You're freaking out too much.\It's because I can feel murderous intent seeping from your every pore. response:	Is this what they call the martial arts?
context: I've been in America too long.\Nice to meet you.\I'm Makise Kurisu.\You can't even shake hands?\Japanese men don't know how to do anything.\You're freaking out too much.\It's because I can feel murderous intent seeping from your every pore.\Is this what they call the martial arts? response:	Where are you going?
context: Nice to meet you.\I'm Makise Kurisu.\You can't even shake hands?\Japanese men don't know how to do anything.\You're freaking out too much.\It's because I can feel murderous intent seeping from your every pore.\Is this what they call the martial arts?\Where are you going? response:	Honestly, I came here to see if your claim that I was stabbed was real
context: I'm Makise Kurisu.\You can't even shake hands?\Japanese men don't know how to do anything.\You're freaking out too much.\It's because I can feel murderous intent seeping from your every pore.\Is this what they call the martial arts?\Where are you going?\Honestly, I came here to see if your claim that I was stabbed was real response:	or just an excuse for sexual harassment.
context: You can't even shake hands?\Japanese men don't know how to do anything.\You're freaking out too much.\It's because I can feel murderous intent seeping from your every pore.\Is this what they call the martial arts?\Where are you going?\Honestly, I came here to see if your claim that I was stabbed was real\or just an excuse for sexual harassment. response:	But this is more important.
context: Japanese men don't know how to do anything.\You're freaking out too much.\It's because I can feel murderous intent seeping from your every pore.\Is this what they call the martial arts?\Where are you going?\Honestly, I came here to see if your claim that I was stabbed was real\or just an excuse for sexual harassment.\But this is more important. response:	OP
context: You're freaking out too much.\It's because I can feel murderous intent seeping from your every pore.\Is this what they call the martial arts?\Where are you going?\Honestly, I came here to see if your claim that I was stabbed was real\or just an excuse for sexual harassment.\But this is more important.\OP response:	suujuuoku mono kodou no kazu sae
context: It's because I can feel murderous intent seeping from your every pore.\Is this what they call the martial arts?\Where are you going?\Honestly, I came here to see if your claim that I was stabbed was real\or just an excuse for sexual harassment.\But this is more important.\OP\suujuuoku mono kodou no kazu sae response:	Even the world's billions of heartbeats
context: Is this what they call the martial arts?\Where are you going?\Honestly, I came here to see if your claim that I was stabbed was real\or just an excuse for sexual harassment.\But this is more important.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats response:	anata ni wa matataki teido no saji na toukyuu
context: Where are you going?\Honestly, I came here to see if your claim that I was stabbed was real\or just an excuse for sexual harassment.\But this is more important.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu response:	Are nothing to you but a fleeting and insignificant question
context: Honestly, I came here to see if your claim that I was stabbed was real\or just an excuse for sexual harassment.\But this is more important.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question response:	kako ni torawarete mirai wo nageku mo
context: or just an excuse for sexual harassment.\But this is more important.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo response:	We may be trapped in the past or lament the future
context: But this is more important.\OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future response:	chiri hitotsu gosan wo yurusanu hitsuzen
context: OP\suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen response:	But predetermination does not allow the slightest mistake
context: suujuuoku mono kodou no kazu sae\Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake response:	mugen ni hirogaru yume mo egaku mirai mo
context: Even the world's billions of heartbeats\anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo response:	The infinite dreams and imagined futures before us
context: anata ni wa matataki teido no saji na toukyuu\Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us response:	bokutachi ni yurusareta kyoei no genri
context: Are nothing to you but a fleeting and insignificant question\kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri response:	Are naught but vain theories we may hold
context: kako ni torawarete mirai wo nageku mo\We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold response:	yuugen sore wa futatsu no hari ga shimesu
context: We may be trapped in the past or lament the future\chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu response:	Finitude is what the two clock hands show
context: chiri hitotsu gosan wo yurusanu hitsuzen\But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show response:	zankoku na yakujou to sentaku e
context: But predetermination does not allow the slightest mistake\mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e response:	As they point toward a cruel destiny and choice
context: mugen ni hirogaru yume mo egaku mirai mo\The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice response:	Hacking to the Gate
context: The infinite dreams and imagined futures before us\bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate response:	dakara ima ichibyou goto ni sekaisen wo koete
context: bokutachi ni yurusareta kyoei no genri\Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete response:	And now I cross the boundary between worlds each second
context: Are naught but vain theories we may hold\yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second response:	kimi no sono egao mamoritai no sa
context: yuugen sore wa futatsu no hari ga shimesu\Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa response:	Because I want to protect that smile of yours
context: Finitude is what the two clock hands show\zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours response:	soshite mata kanashimi no nai jikan no ruupu e to
context: zankoku na yakujou to sentaku e\As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to response:	And a loop in time without sadness will once again
context: As they point toward a cruel destiny and choice\Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again response:	nomikomarete yuku kodoku no kansokusha
context: Hacking to the Gate\dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha response:	Engulf me, a lonely observer
context: dakara ima ichibyou goto ni sekaisen wo koete\And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer response:	Parallel World
context: And now I cross the boundary between worlds each second\kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Parallel World response:	Paranoia
context: kimi no sono egao mamoritai no sa\Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Parallel World\Paranoia response:	Parallel World
context: Because I want to protect that smile of yours\soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Parallel World\Paranoia\Parallel World response:	Parallel World
context: soshite mata kanashimi no nai jikan no ruupu e to\And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Parallel World\Paranoia\Parallel World\Parallel World response:	Parallel World
context: And a loop in time without sadness will once again\nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Parallel World\Paranoia\Parallel World\Parallel World\Parallel World response:	Parallel World
context: nomikomarete yuku kodoku no kansokusha\Engulf me, a lonely observer\Parallel World\Paranoia\Parallel World\Parallel World\Parallel World\Parallel World response:	Parallel World
context: Engulf me, a lonely observer\Parallel World\Paranoia\Parallel World\Parallel World\Parallel World\Parallel World\Parallel World response:	Parallel World
context: Parallel World\Paranoia\Parallel World\Parallel World\Parallel World\Parallel World\Parallel World\Parallel World response:	Parallel World
context: Paranoia\Parallel World\Parallel World\Parallel World\Parallel World\Parallel World\Parallel World\Parallel World response:	Paranoia
context: Parallel World\Parallel World\Parallel World\Parallel World\Parallel World\Parallel World\Parallel World\Paranoia response:	Paranoia
context: Parallel World\Parallel World\Parallel World\Parallel World\Parallel World\Parallel World\Paranoia\Paranoia response:	Paranoia
context: Parallel World\Parallel World\Parallel World\Parallel World\Parallel World\Paranoia\Paranoia\Paranoia response:	Paranoia
context: Parallel World\Parallel World\Parallel World\Parallel World\Paranoia\Paranoia\Paranoia\Paranoia response:	Paranoia
context: Parallel World\Parallel World\Parallel World\Paranoia\Paranoia\Paranoia\Paranoia\Paranoia response:	Paranoia
context: Parallel World\Parallel World\Paranoia\Paranoia\Paranoia\Paranoia\Paranoia\Paranoia response:	Paranoia
context: Parallel World\Paranoia\Paranoia\Paranoia\Paranoia\Paranoia\Paranoia\Paranoia response:	There's no damage to the connecting area.
context: Paranoia\Paranoia\Paranoia\Paranoia\Paranoia\Paranoia\Paranoia\There's no damage to the connecting area. response:	It's not some kind of trick.
context: Paranoia\Paranoia\Paranoia\Paranoia\Paranoia\Paranoia\There's no damage to the connecting area.\It's not some kind of trick. response:	She may attempt to set some kind of explosive.
context: Paranoia\Paranoia\Paranoia\Paranoia\Paranoia\There's no damage to the connecting area.\It's not some kind of trick.\She may attempt to set some kind of explosive. response:	Don't look away from her for a second.
context: Paranoia\Paranoia\Paranoia\Paranoia\There's no damage to the connecting area.\It's not some kind of trick.\She may attempt to set some kind of explosive.\Don't look away from her for a second. response:	No, she won't.
context: Paranoia\Paranoia\Paranoia\There's no damage to the connecting area.\It's not some kind of trick.\She may attempt to set some kind of explosive.\Don't look away from her for a second.\No, she won't. response:	Got any tweezers?
context: Paranoia\Paranoia\There's no damage to the connecting area.\It's not some kind of trick.\She may attempt to set some kind of explosive.\Don't look away from her for a second.\No, she won't.\Got any tweezers? response:	No!
context: Paranoia\There's no damage to the connecting area.\It's not some kind of trick.\She may attempt to set some kind of explosive.\Don't look away from her for a second.\No, she won't.\Got any tweezers?\No! response:	I see.
context: There's no damage to the connecting area.\It's not some kind of trick.\She may attempt to set some kind of explosive.\Don't look away from her for a second.\No, she won't.\Got any tweezers?\No!\I see. response:	It's mushy inside.
context: It's not some kind of trick.\She may attempt to set some kind of explosive.\Don't look away from her for a second.\No, she won't.\Got any tweezers?\No!\I see.\It's mushy inside. response:	It tastes...
context: She may attempt to set some kind of explosive.\Don't look away from her for a second.\No, she won't.\Got any tweezers?\No!\I see.\It's mushy inside.\It tastes... response:	Nothing.
context: Don't look away from her for a second.\No, she won't.\Got any tweezers?\No!\I see.\It's mushy inside.\It tastes...\Nothing. response:	Ew!
context: No, she won't.\Got any tweezers?\No!\I see.\It's mushy inside.\It tastes...\Nothing.\Ew! response:	You zombie!
context: Got any tweezers?\No!\I see.\It's mushy inside.\It tastes...\Nothing.\Ew!\You zombie! response:	If you're hungry, say so.
context: No!\I see.\It's mushy inside.\It tastes...\Nothing.\Ew!\You zombie!\If you're hungry, say so. response:	I'll give you a banana.
context: I see.\It's mushy inside.\It tastes...\Nothing.\Ew!\You zombie!\If you're hungry, say so.\I'll give you a banana. response:	I'm fine.
context: It's mushy inside.\It tastes...\Nothing.\Ew!\You zombie!\If you're hungry, say so.\I'll give you a banana.\I'm fine. response:	Who'd eat a pervert's banana anyway?
context: It tastes...\Nothing.\Ew!\You zombie!\If you're hungry, say so.\I'll give you a banana.\I'm fine.\Who'd eat a pervert's banana anyway? response:	Pervert?
context: Nothing.\Ew!\You zombie!\If you're hungry, say so.\I'll give you a banana.\I'm fine.\Who'd eat a pervert's banana anyway?\Pervert? response:	You poked at me, trying to touch me, out of nowhere.
context: Ew!\You zombie!\If you're hungry, say so.\I'll give you a banana.\I'm fine.\Who'd eat a pervert's banana anyway?\Pervert?\You poked at me, trying to touch me, out of nowhere. response:	Miss Makise? Miss Makise?
context: You zombie!\If you're hungry, say so.\I'll give you a banana.\I'm fine.\Who'd eat a pervert's banana anyway?\Pervert?\You poked at me, trying to touch me, out of nowhere.\Miss Makise? Miss Makise? response:	Yes?
context: If you're hungry, say so.\I'll give you a banana.\I'm fine.\Who'd eat a pervert's banana anyway?\Pervert?\You poked at me, trying to touch me, out of nowhere.\Miss Makise? Miss Makise?\Yes? response:	Can you say, Who'd eat a pervert's banana anyway?
context: I'll give you a banana.\I'm fine.\Who'd eat a pervert's banana anyway?\Pervert?\You poked at me, trying to touch me, out of nowhere.\Miss Makise? Miss Makise?\Yes?\Can you say, Who'd eat a pervert's banana anyway? response:	once more, you think?
context: I'm fine.\Who'd eat a pervert's banana anyway?\Pervert?\You poked at me, trying to touch me, out of nowhere.\Miss Makise? Miss Makise?\Yes?\Can you say, Who'd eat a pervert's banana anyway?\once more, you think? response:	If possible, with an upset expression.
context: Who'd eat a pervert's banana anyway?\Pervert?\You poked at me, trying to touch me, out of nowhere.\Miss Makise? Miss Makise?\Yes?\Can you say, Who'd eat a pervert's banana anyway?\once more, you think?\If possible, with an upset expression. response:	Upset.
context: Pervert?\You poked at me, trying to touch me, out of nowhere.\Miss Makise? Miss Makise?\Yes?\Can you say, Who'd eat a pervert's banana anyway?\once more, you think?\If possible, with an upset expression.\Upset. response:	Yes.
context: You poked at me, trying to touch me, out of nowhere.\Miss Makise? Miss Makise?\Yes?\Can you say, Who'd eat a pervert's banana anyway?\once more, you think?\If possible, with an upset expression.\Upset.\Yes. response:	Why the blushing?
context: Miss Makise? Miss Makise?\Yes?\Can you say, Who'd eat a pervert's banana anyway?\once more, you think?\If possible, with an upset expression.\Upset.\Yes.\Why the blushing? response:	Did you imagine something?
context: Yes?\Can you say, Who'd eat a pervert's banana anyway?\once more, you think?\If possible, with an upset expression.\Upset.\Yes.\Why the blushing?\Did you imagine something? response:	Say it, girl genius.
context: Can you say, Who'd eat a pervert's banana anyway?\once more, you think?\If possible, with an upset expression.\Upset.\Yes.\Why the blushing?\Did you imagine something?\Say it, girl genius. response:	Let's hear what the genius thought!
context: once more, you think?\If possible, with an upset expression.\Upset.\Yes.\Why the blushing?\Did you imagine something?\Say it, girl genius.\Let's hear what the genius thought! response:	It looks like you're both perverts.
context: If possible, with an upset expression.\Upset.\Yes.\Why the blushing?\Did you imagine something?\Say it, girl genius.\Let's hear what the genius thought!\It looks like you're both perverts. response:	Oh, my...
context: Upset.\Yes.\Why the blushing?\Did you imagine something?\Say it, girl genius.\Let's hear what the genius thought!\It looks like you're both perverts.\Oh, my... response:	It's not a compliment.
context: Yes.\Why the blushing?\Did you imagine something?\Say it, girl genius.\Let's hear what the genius thought!\It looks like you're both perverts.\Oh, my...\It's not a compliment. response:	I would say the person with the perverted imagination is the pervert.
context: Why the blushing?\Did you imagine something?\Say it, girl genius.\Let's hear what the genius thought!\It looks like you're both perverts.\Oh, my...\It's not a compliment.\I would say the person with the perverted imagination is the pervert. response:	You're a perverted girl genius!
context: Did you imagine something?\Say it, girl genius.\Let's hear what the genius thought!\It looks like you're both perverts.\Oh, my...\It's not a compliment.\I would say the person with the perverted imagination is the pervert.\You're a perverted girl genius! response:	Who's a pervert?
context: Say it, girl genius.\Let's hear what the genius thought!\It looks like you're both perverts.\Oh, my...\It's not a compliment.\I would say the person with the perverted imagination is the pervert.\You're a perverted girl genius!\Who's a pervert? response:	Okay...
context: Let's hear what the genius thought!\It looks like you're both perverts.\Oh, my...\It's not a compliment.\I would say the person with the perverted imagination is the pervert.\You're a perverted girl genius!\Who's a pervert?\Okay... response:	To be honest, we're at the point where
context: It looks like you're both perverts.\Oh, my...\It's not a compliment.\I would say the person with the perverted imagination is the pervert.\You're a perverted girl genius!\Who's a pervert?\Okay...\To be honest, we're at the point where response:	I could sue you for sexual harassment this minute, but I'll forget it for now.
context: Oh, my...\It's not a compliment.\I would say the person with the perverted imagination is the pervert.\You're a perverted girl genius!\Who's a pervert?\Okay...\To be honest, we're at the point where\I could sue you for sexual harassment this minute, but I'll forget it for now. response:	For now?
context: It's not a compliment.\I would say the person with the perverted imagination is the pervert.\You're a perverted girl genius!\Who's a pervert?\Okay...\To be honest, we're at the point where\I could sue you for sexual harassment this minute, but I'll forget it for now.\For now? response:	So tell me the details.
context: I would say the person with the perverted imagination is the pervert.\You're a perverted girl genius!\Who's a pervert?\Okay...\To be honest, we're at the point where\I could sue you for sexual harassment this minute, but I'll forget it for now.\For now?\So tell me the details. response:	This banana has something to do with that microwave, right?
context: You're a perverted girl genius!\Who's a pervert?\Okay...\To be honest, we're at the point where\I could sue you for sexual harassment this minute, but I'll forget it for now.\For now?\So tell me the details.\This banana has something to do with that microwave, right? response:	It's top-secret!
context: Who's a pervert?\Okay...\To be honest, we're at the point where\I could sue you for sexual harassment this minute, but I'll forget it for now.\For now?\So tell me the details.\This banana has something to do with that microwave, right?\It's top-secret! response:	Future Gadget 8, the Phone Microwave,
context: Okay...\To be honest, we're at the point where\I could sue you for sexual harassment this minute, but I'll forget it for now.\For now?\So tell me the details.\This banana has something to do with that microwave, right?\It's top-secret!\Future Gadget 8, the Phone Microwave, response:	is my lab's secret weapon.
context: To be honest, we're at the point where\I could sue you for sexual harassment this minute, but I'll forget it for now.\For now?\So tell me the details.\This banana has something to do with that microwave, right?\It's top-secret!\Future Gadget 8, the Phone Microwave,\is my lab's secret weapon. response:	But Miss Makise might be able to explain how this weird thing works.
context: I could sue you for sexual harassment this minute, but I'll forget it for now.\For now?\So tell me the details.\This banana has something to do with that microwave, right?\It's top-secret!\Future Gadget 8, the Phone Microwave,\is my lab's secret weapon.\But Miss Makise might be able to explain how this weird thing works. response:	But...
context: For now?\So tell me the details.\This banana has something to do with that microwave, right?\It's top-secret!\Future Gadget 8, the Phone Microwave,\is my lab's secret weapon.\But Miss Makise might be able to explain how this weird thing works.\But... response:	You need to understand, we'll never figure this out on our own.
context: So tell me the details.\This banana has something to do with that microwave, right?\It's top-secret!\Future Gadget 8, the Phone Microwave,\is my lab's secret weapon.\But Miss Makise might be able to explain how this weird thing works.\But...\You need to understand, we'll never figure this out on our own. response:	But this is the Future Gadget Lab's...
context: This banana has something to do with that microwave, right?\It's top-secret!\Future Gadget 8, the Phone Microwave,\is my lab's secret weapon.\But Miss Makise might be able to explain how this weird thing works.\But...\You need to understand, we'll never figure this out on our own.\But this is the Future Gadget Lab's... response:	You!
context: It's top-secret!\Future Gadget 8, the Phone Microwave,\is my lab's secret weapon.\But Miss Makise might be able to explain how this weird thing works.\But...\You need to understand, we'll never figure this out on our own.\But this is the Future Gadget Lab's...\You! response:	Christina, you said?
context: Future Gadget 8, the Phone Microwave,\is my lab's secret weapon.\But Miss Makise might be able to explain how this weird thing works.\But...\You need to understand, we'll never figure this out on our own.\But this is the Future Gadget Lab's...\You!\Christina, you said? response:	No, I never said that.
context: is my lab's secret weapon.\But Miss Makise might be able to explain how this weird thing works.\But...\You need to understand, we'll never figure this out on our own.\But this is the Future Gadget Lab's...\You!\Christina, you said?\No, I never said that. response:	I'll tell you the secrets of the Phone Microwave,
context: But Miss Makise might be able to explain how this weird thing works.\But...\You need to understand, we'll never figure this out on our own.\But this is the Future Gadget Lab's...\You!\Christina, you said?\No, I never said that.\I'll tell you the secrets of the Phone Microwave, response:	but on two conditions!
