context: What should I do? response:	I forget what I was like before I met you
context: Sen...\Hey, Sen! Why...?!\You don't care what happens to that painting?!\Hey!\W-What are you doing?! Let go of me!\What are you laughing at?!\Your stupidity must be contagious.\W-What...?! response:	Seriously, how stupid are you gonna be for somebody else's sake?
context: Hey, Sen! Why...?!\You don't care what happens to that painting?!\Hey!\W-What are you doing?! Let go of me!\What are you laughing at?!\Your stupidity must be contagious.\W-What...?!\Seriously, how stupid are you gonna be for somebody else's sake? response:	It's ridiculous.
context: You don't care what happens to that painting?!\Hey!\W-What are you doing?! Let go of me!\What are you laughing at?!\Your stupidity must be contagious.\W-What...?!\Seriously, how stupid are you gonna be for somebody else's sake?\It's ridiculous. response:	Wait. What about the painting?!
context: Hey!\W-What are you doing?! Let go of me!\What are you laughing at?!\Your stupidity must be contagious.\W-What...?!\Seriously, how stupid are you gonna be for somebody else's sake?\It's ridiculous.\Wait. What about the painting?! response:	Oh, I already said my goodbye to it back there.
context: W-What are you doing?! Let go of me!\What are you laughing at?!\Your stupidity must be contagious.\W-What...?!\Seriously, how stupid are you gonna be for somebody else's sake?\It's ridiculous.\Wait. What about the painting?!\Oh, I already said my goodbye to it back there. response:	I feel much better now.
context: What are you laughing at?!\Your stupidity must be contagious.\W-What...?!\Seriously, how stupid are you gonna be for somebody else's sake?\It's ridiculous.\Wait. What about the painting?!\Oh, I already said my goodbye to it back there.\I feel much better now. response:	Sen...
context: Your stupidity must be contagious.\W-What...?!\Seriously, how stupid are you gonna be for somebody else's sake?\It's ridiculous.\Wait. What about the painting?!\Oh, I already said my goodbye to it back there.\I feel much better now.\Sen... response:	Have you gotten a present from someone recently?
context: W-What...?!\Seriously, how stupid are you gonna be for somebody else's sake?\It's ridiculous.\Wait. What about the painting?!\Oh, I already said my goodbye to it back there.\I feel much better now.\Sen...\Have you gotten a present from someone recently? response:	Like something that was knitted...?
context: Seriously, how stupid are you gonna be for somebody else's sake?\It's ridiculous.\Wait. What about the painting?!\Oh, I already said my goodbye to it back there.\I feel much better now.\Sen...\Have you gotten a present from someone recently?\Like something that was knitted...? response:	Yeah, I did.
context: It's ridiculous.\Wait. What about the painting?!\Oh, I already said my goodbye to it back there.\I feel much better now.\Sen...\Have you gotten a present from someone recently?\Like something that was knitted...?\Yeah, I did. response:	I knitted Sentaro a sweater and used the leftover yarn to make the mittens!
context: Wait. What about the painting?!\Oh, I already said my goodbye to it back there.\I feel much better now.\Sen...\Have you gotten a present from someone recently?\Like something that was knitted...?\Yeah, I did.\I knitted Sentaro a sweater and used the leftover yarn to make the mittens! response:	That's cruel... But it figures...
context: Oh, I already said my goodbye to it back there.\I feel much better now.\Sen...\Have you gotten a present from someone recently?\Like something that was knitted...?\Yeah, I did.\I knitted Sentaro a sweater and used the leftover yarn to make the mittens!\That's cruel... But it figures... response:	This! It's called Lily-yarn or something. I got it from Sachiko yesterday.
context: I feel much better now.\Sen...\Have you gotten a present from someone recently?\Like something that was knitted...?\Yeah, I did.\I knitted Sentaro a sweater and used the leftover yarn to make the mittens!\That's cruel... But it figures...\This! It's called Lily-yarn or something. I got it from Sachiko yesterday. response:	Anything else?
context: Sen...\Have you gotten a present from someone recently?\Like something that was knitted...?\Yeah, I did.\I knitted Sentaro a sweater and used the leftover yarn to make the mittens!\That's cruel... But it figures...\This! It's called Lily-yarn or something. I got it from Sachiko yesterday.\Anything else? response:	Nope. This is it.
context: Have you gotten a present from someone recently?\Like something that was knitted...?\Yeah, I did.\I knitted Sentaro a sweater and used the leftover yarn to make the mittens!\That's cruel... But it figures...\This! It's called Lily-yarn or something. I got it from Sachiko yesterday.\Anything else?\Nope. This is it. response:	But what am I supposed to do with this string?
context: Like something that was knitted...?\Yeah, I did.\I knitted Sentaro a sweater and used the leftover yarn to make the mittens!\That's cruel... But it figures...\This! It's called Lily-yarn or something. I got it from Sachiko yesterday.\Anything else?\Nope. This is it.\But what am I supposed to do with this string? response:	Huh?
context: Yeah, I did.\I knitted Sentaro a sweater and used the leftover yarn to make the mittens!\That's cruel... But it figures...\This! It's called Lily-yarn or something. I got it from Sachiko yesterday.\Anything else?\Nope. This is it.\But what am I supposed to do with this string?\Huh? response:	Strike!
context: I knitted Sentaro a sweater and used the leftover yarn to make the mittens!\That's cruel... But it figures...\This! It's called Lily-yarn or something. I got it from Sachiko yesterday.\Anything else?\Nope. This is it.\But what am I supposed to do with this string?\Huh?\Strike! response:	What the heck are you...?! You...!
context: That's cruel... But it figures...\This! It's called Lily-yarn or something. I got it from Sachiko yesterday.\Anything else?\Nope. This is it.\But what am I supposed to do with this string?\Huh?\Strike!\What the heck are you...?! You...! response:	Now you're gonna get it!
context: This! It's called Lily-yarn or something. I got it from Sachiko yesterday.\Anything else?\Nope. This is it.\But what am I supposed to do with this string?\Huh?\Strike!\What the heck are you...?! You...!\Now you're gonna get it! response:	Richie, wait!
context: Anything else?\Nope. This is it.\But what am I supposed to do with this string?\Huh?\Strike!\What the heck are you...?! You...!\Now you're gonna get it!\Richie, wait! response:	Richie!
context: Nope. This is it.\But what am I supposed to do with this string?\Huh?\Strike!\What the heck are you...?! You...!\Now you're gonna get it!\Richie, wait!\Richie! response:	U-Um, these are really warm... Thank you.
context: But what am I supposed to do with this string?\Huh?\Strike!\What the heck are you...?! You...!\Now you're gonna get it!\Richie, wait!\Richie!\U-Um, these are really warm... Thank you. response:	Ow! Dammit! What are you doing?!
context: Huh?\Strike!\What the heck are you...?! You...!\Now you're gonna get it!\Richie, wait!\Richie!\U-Um, these are really warm... Thank you.\Ow! Dammit! What are you doing?! response:	Hey, I'm over here!
context: Strike!\What the heck are you...?! You...!\Now you're gonna get it!\Richie, wait!\Richie!\U-Um, these are really warm... Thank you.\Ow! Dammit! What are you doing?!\Hey, I'm over here! response:	Nope, over here!
context: What the heck are you...?! You...!\Now you're gonna get it!\Richie, wait!\Richie!\U-Um, these are really warm... Thank you.\Ow! Dammit! What are you doing?!\Hey, I'm over here!\Nope, over here! response:	Come to think of it, we'll be changing classes again soon.
context: Now you're gonna get it!\Richie, wait!\Richie!\U-Um, these are really warm... Thank you.\Ow! Dammit! What are you doing?!\Hey, I'm over here!\Nope, over here!\Come to think of it, we'll be changing classes again soon. response:	I guess third-years are split up according to their grades,
context: Richie, wait!\Richie!\U-Um, these are really warm... Thank you.\Ow! Dammit! What are you doing?!\Hey, I'm over here!\Nope, over here!\Come to think of it, we'll be changing classes again soon.\I guess third-years are split up according to their grades, response:	so you probably won't be in the same class as Kaoru-san.
context: Richie!\U-Um, these are really warm... Thank you.\Ow! Dammit! What are you doing?!\Hey, I'm over here!\Nope, over here!\Come to think of it, we'll be changing classes again soon.\I guess third-years are split up according to their grades,\so you probably won't be in the same class as Kaoru-san. response:	Goin' for college entrance exams, right Richie?
context: U-Um, these are really warm... Thank you.\Ow! Dammit! What are you doing?!\Hey, I'm over here!\Nope, over here!\Come to think of it, we'll be changing classes again soon.\I guess third-years are split up according to their grades,\so you probably won't be in the same class as Kaoru-san.\Goin' for college entrance exams, right Richie? response:	Y-Yeah...
context: Ow! Dammit! What are you doing?!\Hey, I'm over here!\Nope, over here!\Come to think of it, we'll be changing classes again soon.\I guess third-years are split up according to their grades,\so you probably won't be in the same class as Kaoru-san.\Goin' for college entrance exams, right Richie?\Y-Yeah... response:	I intend to go to college, too.
context: Hey, I'm over here!\Nope, over here!\Come to think of it, we'll be changing classes again soon.\I guess third-years are split up according to their grades,\so you probably won't be in the same class as Kaoru-san.\Goin' for college entrance exams, right Richie?\Y-Yeah...\I intend to go to college, too. response:	I'm thinking about becoming an elementary school teacher.
context: Nope, over here!\Come to think of it, we'll be changing classes again soon.\I guess third-years are split up according to their grades,\so you probably won't be in the same class as Kaoru-san.\Goin' for college entrance exams, right Richie?\Y-Yeah...\I intend to go to college, too.\I'm thinking about becoming an elementary school teacher. response:	So you're gonna be a teacher, huh?
context: Come to think of it, we'll be changing classes again soon.\I guess third-years are split up according to their grades,\so you probably won't be in the same class as Kaoru-san.\Goin' for college entrance exams, right Richie?\Y-Yeah...\I intend to go to college, too.\I'm thinking about becoming an elementary school teacher.\So you're gonna be a teacher, huh? response:	What about it?
context: I guess third-years are split up according to their grades,\so you probably won't be in the same class as Kaoru-san.\Goin' for college entrance exams, right Richie?\Y-Yeah...\I intend to go to college, too.\I'm thinking about becoming an elementary school teacher.\So you're gonna be a teacher, huh?\What about it? response:	Long time ago, you said you wanted to have a bakery or cake shop.
context: so you probably won't be in the same class as Kaoru-san.\Goin' for college entrance exams, right Richie?\Y-Yeah...\I intend to go to college, too.\I'm thinking about becoming an elementary school teacher.\So you're gonna be a teacher, huh?\What about it?\Long time ago, you said you wanted to have a bakery or cake shop. response:	What? When was this?
context: Goin' for college entrance exams, right Richie?\Y-Yeah...\I intend to go to college, too.\I'm thinking about becoming an elementary school teacher.\So you're gonna be a teacher, huh?\What about it?\Long time ago, you said you wanted to have a bakery or cake shop.\What? When was this? response:	Come on, don't you remember? You were a glutton.
context: Y-Yeah...\I intend to go to college, too.\I'm thinking about becoming an elementary school teacher.\So you're gonna be a teacher, huh?\What about it?\Long time ago, you said you wanted to have a bakery or cake shop.\What? When was this?\Come on, don't you remember? You were a glutton. response:	That's why you wanted a shop!
context: I intend to go to college, too.\I'm thinking about becoming an elementary school teacher.\So you're gonna be a teacher, huh?\What about it?\Long time ago, you said you wanted to have a bakery or cake shop.\What? When was this?\Come on, don't you remember? You were a glutton.\That's why you wanted a shop! response:	I never said that!
context: I'm thinking about becoming an elementary school teacher.\So you're gonna be a teacher, huh?\What about it?\Long time ago, you said you wanted to have a bakery or cake shop.\What? When was this?\Come on, don't you remember? You were a glutton.\That's why you wanted a shop!\I never said that! response:	Kaoru-san, where do you want to go to college?
context: So you're gonna be a teacher, huh?\What about it?\Long time ago, you said you wanted to have a bakery or cake shop.\What? When was this?\Come on, don't you remember? You were a glutton.\That's why you wanted a shop!\I never said that!\Kaoru-san, where do you want to go to college? response:	Oh, I... haven't decided yet.
context: What about it?\Long time ago, you said you wanted to have a bakery or cake shop.\What? When was this?\Come on, don't you remember? You were a glutton.\That's why you wanted a shop!\I never said that!\Kaoru-san, where do you want to go to college?\Oh, I... haven't decided yet. response:	As for me, never mind about college. I might not even make it to third-year.
context: Long time ago, you said you wanted to have a bakery or cake shop.\What? When was this?\Come on, don't you remember? You were a glutton.\That's why you wanted a shop!\I never said that!\Kaoru-san, where do you want to go to college?\Oh, I... haven't decided yet.\As for me, never mind about college. I might not even make it to third-year. response:	I see...
context: What? When was this?\Come on, don't you remember? You were a glutton.\That's why you wanted a shop!\I never said that!\Kaoru-san, where do you want to go to college?\Oh, I... haven't decided yet.\As for me, never mind about college. I might not even make it to third-year.\I see... response:	Wait, what did you just say?!
context: Come on, don't you remember? You were a glutton.\That's why you wanted a shop!\I never said that!\Kaoru-san, where do you want to go to college?\Oh, I... haven't decided yet.\As for me, never mind about college. I might not even make it to third-year.\I see...\Wait, what did you just say?! response:	Alright, it all comes down to the next make-up exam.
context: That's why you wanted a shop!\I never said that!\Kaoru-san, where do you want to go to college?\Oh, I... haven't decided yet.\As for me, never mind about college. I might not even make it to third-year.\I see...\Wait, what did you just say?!\Alright, it all comes down to the next make-up exam. response:	Start with these basic problems.
context: I never said that!\Kaoru-san, where do you want to go to college?\Oh, I... haven't decided yet.\As for me, never mind about college. I might not even make it to third-year.\I see...\Wait, what did you just say?!\Alright, it all comes down to the next make-up exam.\Start with these basic problems. response:	I'll make you some flash cards in the meanwhile.
context: Kaoru-san, where do you want to go to college?\Oh, I... haven't decided yet.\As for me, never mind about college. I might not even make it to third-year.\I see...\Wait, what did you just say?!\Alright, it all comes down to the next make-up exam.\Start with these basic problems.\I'll make you some flash cards in the meanwhile. response:	You handle that.
context: Oh, I... haven't decided yet.\As for me, never mind about college. I might not even make it to third-year.\I see...\Wait, what did you just say?!\Alright, it all comes down to the next make-up exam.\Start with these basic problems.\I'll make you some flash cards in the meanwhile.\You handle that. response:	Hey!
context: As for me, never mind about college. I might not even make it to third-year.\I see...\Wait, what did you just say?!\Alright, it all comes down to the next make-up exam.\Start with these basic problems.\I'll make you some flash cards in the meanwhile.\You handle that.\Hey! response:	I'm just not cut out for studying.
context: I see...\Wait, what did you just say?!\Alright, it all comes down to the next make-up exam.\Start with these basic problems.\I'll make you some flash cards in the meanwhile.\You handle that.\Hey!\I'm just not cut out for studying. response:	What are you going to do if you fail this?!
context: Wait, what did you just say?!\Alright, it all comes down to the next make-up exam.\Start with these basic problems.\I'll make you some flash cards in the meanwhile.\You handle that.\Hey!\I'm just not cut out for studying.\What are you going to do if you fail this?! response:	Oh, I'll just quit school an' get a job.
context: Alright, it all comes down to the next make-up exam.\Start with these basic problems.\I'll make you some flash cards in the meanwhile.\You handle that.\Hey!\I'm just not cut out for studying.\What are you going to do if you fail this?!\Oh, I'll just quit school an' get a job. response:	You must be joking...
context: Start with these basic problems.\I'll make you some flash cards in the meanwhile.\You handle that.\Hey!\I'm just not cut out for studying.\What are you going to do if you fail this?!\Oh, I'll just quit school an' get a job.\You must be joking... response:	It ain't a joke.
context: I'll make you some flash cards in the meanwhile.\You handle that.\Hey!\I'm just not cut out for studying.\What are you going to do if you fail this?!\Oh, I'll just quit school an' get a job.\You must be joking...\It ain't a joke. response:	When I think about my family, I can't afford to repeat a year.
context: You handle that.\Hey!\I'm just not cut out for studying.\What are you going to do if you fail this?!\Oh, I'll just quit school an' get a job.\You must be joking...\It ain't a joke.\When I think about my family, I can't afford to repeat a year. response:	No way!
context: Hey!\I'm just not cut out for studying.\What are you going to do if you fail this?!\Oh, I'll just quit school an' get a job.\You must be joking...\It ain't a joke.\When I think about my family, I can't afford to repeat a year.\No way! response:	I won't let that happen!
