context: Hm? response:	Kageyama
context: Akagi Leadership: 1000 Moderate Faction: 2\Gozu Leadership: 1100 Extremist Faction: 5\Fuji Leadership: 1400 Extremist Faction: 3\Bandai Leadership: 1300 Diehards: 1\Mob Psycho 100\Exaltation I've Obtained Loss\Man, thanks for helping me out.\I managed to make it back from the particle level by myself, response:	but my spiritual energy is way less than what it used to be,
context: Gozu Leadership: 1100 Extremist Faction: 5\Fuji Leadership: 1400 Extremist Faction: 3\Bandai Leadership: 1300 Diehards: 1\Mob Psycho 100\Exaltation I've Obtained Loss\Man, thanks for helping me out.\I managed to make it back from the particle level by myself,\but my spiritual energy is way less than what it used to be, response:	so I wasn't able to get into the house anymore.
context: Fuji Leadership: 1400 Extremist Faction: 3\Bandai Leadership: 1300 Diehards: 1\Mob Psycho 100\Exaltation I've Obtained Loss\Man, thanks for helping me out.\I managed to make it back from the particle level by myself,\but my spiritual energy is way less than what it used to be,\so I wasn't able to get into the house anymore. response:	It appears that low-level spirits
context: Bandai Leadership: 1300 Diehards: 1\Mob Psycho 100\Exaltation I've Obtained Loss\Man, thanks for helping me out.\I managed to make it back from the particle level by myself,\but my spiritual energy is way less than what it used to be,\so I wasn't able to get into the house anymore.\It appears that low-level spirits response:	can't even go near this place just because Shigeo lives here.
context: Mob Psycho 100\Exaltation I've Obtained Loss\Man, thanks for helping me out.\I managed to make it back from the particle level by myself,\but my spiritual energy is way less than what it used to be,\so I wasn't able to get into the house anymore.\It appears that low-level spirits\can't even go near this place just because Shigeo lives here. response:	What...
context: Exaltation I've Obtained Loss\Man, thanks for helping me out.\I managed to make it back from the particle level by myself,\but my spiritual energy is way less than what it used to be,\so I wasn't able to get into the house anymore.\It appears that low-level spirits\can't even go near this place just because Shigeo lives here.\What... response:	is this ugly jellyfish-looking thing that talks?
context: Man, thanks for helping me out.\I managed to make it back from the particle level by myself,\but my spiritual energy is way less than what it used to be,\so I wasn't able to get into the house anymore.\It appears that low-level spirits\can't even go near this place just because Shigeo lives here.\What...\is this ugly jellyfish-looking thing that talks? response:	But the first thing that I need to do is...
context: I managed to make it back from the particle level by myself,\but my spiritual energy is way less than what it used to be,\so I wasn't able to get into the house anymore.\It appears that low-level spirits\can't even go near this place just because Shigeo lives here.\What...\is this ugly jellyfish-looking thing that talks?\But the first thing that I need to do is... response:	What? You wanna shake hands?
context: but my spiritual energy is way less than what it used to be,\so I wasn't able to get into the house anymore.\It appears that low-level spirits\can't even go near this place just because Shigeo lives here.\What...\is this ugly jellyfish-looking thing that talks?\But the first thing that I need to do is...\What? You wanna shake hands? response:	I have to exorcise it!
context: so I wasn't able to get into the house anymore.\It appears that low-level spirits\can't even go near this place just because Shigeo lives here.\What...\is this ugly jellyfish-looking thing that talks?\But the first thing that I need to do is...\What? You wanna shake hands?\I have to exorcise it! response:	Wait!
context: It appears that low-level spirits\can't even go near this place just because Shigeo lives here.\What...\is this ugly jellyfish-looking thing that talks?\But the first thing that I need to do is...\What? You wanna shake hands?\I have to exorcise it!\Wait! response:	Stop kneeing me in the face! I'm Shigeo's friend!
context: can't even go near this place just because Shigeo lives here.\What...\is this ugly jellyfish-looking thing that talks?\But the first thing that I need to do is...\What? You wanna shake hands?\I have to exorcise it!\Wait!\Stop kneeing me in the face! I'm Shigeo's friend! response:	Nii-san's?
context: What...\is this ugly jellyfish-looking thing that talks?\But the first thing that I need to do is...\What? You wanna shake hands?\I have to exorcise it!\Wait!\Stop kneeing me in the face! I'm Shigeo's friend!\Nii-san's? response:	You could even call me his mentor!
context: is this ugly jellyfish-looking thing that talks?\But the first thing that I need to do is...\What? You wanna shake hands?\I have to exorcise it!\Wait!\Stop kneeing me in the face! I'm Shigeo's friend!\Nii-san's?\You could even call me his mentor! response:	I'll let you off the hook this time, because you obviously panicked.
context: But the first thing that I need to do is...\What? You wanna shake hands?\I have to exorcise it!\Wait!\Stop kneeing me in the face! I'm Shigeo's friend!\Nii-san's?\You could even call me his mentor!\I'll let you off the hook this time, because you obviously panicked. response:	That aside...
context: What? You wanna shake hands?\I have to exorcise it!\Wait!\Stop kneeing me in the face! I'm Shigeo's friend!\Nii-san's?\You could even call me his mentor!\I'll let you off the hook this time, because you obviously panicked.\That aside... response:	How about it, Ricchan?
context: I have to exorcise it!\Wait!\Stop kneeing me in the face! I'm Shigeo's friend!\Nii-san's?\You could even call me his mentor!\I'll let you off the hook this time, because you obviously panicked.\That aside...\How about it, Ricchan? response:	Wanna pair up with me?
context: Wait!\Stop kneeing me in the face! I'm Shigeo's friend!\Nii-san's?\You could even call me his mentor!\I'll let you off the hook this time, because you obviously panicked.\That aside...\How about it, Ricchan?\Wanna pair up with me? response:	No.
context: Stop kneeing me in the face! I'm Shigeo's friend!\Nii-san's?\You could even call me his mentor!\I'll let you off the hook this time, because you obviously panicked.\That aside...\How about it, Ricchan?\Wanna pair up with me?\No. response:	That was too fast. Wait a sec, just hear me out.
context: Nii-san's?\You could even call me his mentor!\I'll let you off the hook this time, because you obviously panicked.\That aside...\How about it, Ricchan?\Wanna pair up with me?\No.\That was too fast. Wait a sec, just hear me out. response:	You just awakened to your psychic powers, didn't you?
context: You could even call me his mentor!\I'll let you off the hook this time, because you obviously panicked.\That aside...\How about it, Ricchan?\Wanna pair up with me?\No.\That was too fast. Wait a sec, just hear me out.\You just awakened to your psychic powers, didn't you? response:	What? I have psychic powers?
context: I'll let you off the hook this time, because you obviously panicked.\That aside...\How about it, Ricchan?\Wanna pair up with me?\No.\That was too fast. Wait a sec, just hear me out.\You just awakened to your psychic powers, didn't you?\What? I have psychic powers? response:	The fact that you can see me is proof.
context: That aside...\How about it, Ricchan?\Wanna pair up with me?\No.\That was too fast. Wait a sec, just hear me out.\You just awakened to your psychic powers, didn't you?\What? I have psychic powers?\The fact that you can see me is proof. response:	I'm Dimple. I'm basically what they call a ghost.
context: How about it, Ricchan?\Wanna pair up with me?\No.\That was too fast. Wait a sec, just hear me out.\You just awakened to your psychic powers, didn't you?\What? I have psychic powers?\The fact that you can see me is proof.\I'm Dimple. I'm basically what they call a ghost. response:	So are my psychic powers only strong enough to let me see you?
context: Wanna pair up with me?\No.\That was too fast. Wait a sec, just hear me out.\You just awakened to your psychic powers, didn't you?\What? I have psychic powers?\The fact that you can see me is proof.\I'm Dimple. I'm basically what they call a ghost.\So are my psychic powers only strong enough to let me see you? response:	I see you haven't realized what your powers are, let alone how to use them.
context: No.\That was too fast. Wait a sec, just hear me out.\You just awakened to your psychic powers, didn't you?\What? I have psychic powers?\The fact that you can see me is proof.\I'm Dimple. I'm basically what they call a ghost.\So are my psychic powers only strong enough to let me see you?\I see you haven't realized what your powers are, let alone how to use them. response:	Go ahead. You should be able to do that now.
context: That was too fast. Wait a sec, just hear me out.\You just awakened to your psychic powers, didn't you?\What? I have psychic powers?\The fact that you can see me is proof.\I'm Dimple. I'm basically what they call a ghost.\So are my psychic powers only strong enough to let me see you?\I see you haven't realized what your powers are, let alone how to use them.\Go ahead. You should be able to do that now. response:	I shouldn't get my hopes up.
context: You just awakened to your psychic powers, didn't you?\What? I have psychic powers?\The fact that you can see me is proof.\I'm Dimple. I'm basically what they call a ghost.\So are my psychic powers only strong enough to let me see you?\I see you haven't realized what your powers are, let alone how to use them.\Go ahead. You should be able to do that now.\I shouldn't get my hopes up. response:	What's the matter?
context: What? I have psychic powers?\The fact that you can see me is proof.\I'm Dimple. I'm basically what they call a ghost.\So are my psychic powers only strong enough to let me see you?\I see you haven't realized what your powers are, let alone how to use them.\Go ahead. You should be able to do that now.\I shouldn't get my hopes up.\What's the matter? response:	It's a world that's out of my reach...
context: The fact that you can see me is proof.\I'm Dimple. I'm basically what they call a ghost.\So are my psychic powers only strong enough to let me see you?\I see you haven't realized what your powers are, let alone how to use them.\Go ahead. You should be able to do that now.\I shouldn't get my hopes up.\What's the matter?\It's a world that's out of my reach... response:	What's with him? Does he have a complex or something?
context: I'm Dimple. I'm basically what they call a ghost.\So are my psychic powers only strong enough to let me see you?\I see you haven't realized what your powers are, let alone how to use them.\Go ahead. You should be able to do that now.\I shouldn't get my hopes up.\What's the matter?\It's a world that's out of my reach...\What's with him? Does he have a complex or something? response:	Well, it's understandable, given who his brother is.
context: So are my psychic powers only strong enough to let me see you?\I see you haven't realized what your powers are, let alone how to use them.\Go ahead. You should be able to do that now.\I shouldn't get my hopes up.\What's the matter?\It's a world that's out of my reach...\What's with him? Does he have a complex or something?\Well, it's understandable, given who his brother is. response:	It...
context: I see you haven't realized what your powers are, let alone how to use them.\Go ahead. You should be able to do that now.\I shouldn't get my hopes up.\What's the matter?\It's a world that's out of my reach...\What's with him? Does he have a complex or something?\Well, it's understandable, given who his brother is.\It... response:	It's...
context: Go ahead. You should be able to do that now.\I shouldn't get my hopes up.\What's the matter?\It's a world that's out of my reach...\What's with him? Does he have a complex or something?\Well, it's understandable, given who his brother is.\It...\It's... response:	It's not...
context: I shouldn't get my hopes up.\What's the matter?\It's a world that's out of my reach...\What's with him? Does he have a complex or something?\Well, it's understandable, given who his brother is.\It...\It's...\It's not... response:	It's not bending!
context: What's the matter?\It's a world that's out of my reach...\What's with him? Does he have a complex or something?\Well, it's understandable, given who his brother is.\It...\It's...\It's not...\It's not bending! response:	D-Dimple!
context: It's a world that's out of my reach...\What's with him? Does he have a complex or something?\Well, it's understandable, given who his brother is.\It...\It's...\It's not...\It's not bending!\D-Dimple! response:	It's not bending!
context: What's with him? Does he have a complex or something?\Well, it's understandable, given who his brother is.\It...\It's...\It's not...\It's not bending!\D-Dimple!\It's not bending! response:	Calm down.
context: Well, it's understandable, given who his brother is.\It...\It's...\It's not...\It's not bending!\D-Dimple!\It's not bending!\Calm down. response:	What?
context: It...\It's...\It's not...\It's not bending!\D-Dimple!\It's not bending!\Calm down.\What? response:	Did I do this?
context: It's...\It's not...\It's not bending!\D-Dimple!\It's not bending!\Calm down.\What?\Did I do this? response:	Join me, Ricchan,
context: It's not...\It's not bending!\D-Dimple!\It's not bending!\Calm down.\What?\Did I do this?\Join me, Ricchan, response:	if you want to surpass your brother.
context: It's not bending!\D-Dimple!\It's not bending!\Calm down.\What?\Did I do this?\Join me, Ricchan,\if you want to surpass your brother. response:	Surpass Nii-san?
context: D-Dimple!\It's not bending!\Calm down.\What?\Did I do this?\Join me, Ricchan,\if you want to surpass your brother.\Surpass Nii-san? response:	Is that possible?
context: It's not bending!\Calm down.\What?\Did I do this?\Join me, Ricchan,\if you want to surpass your brother.\Surpass Nii-san?\Is that possible? response:	I can be like my brother?
context: Calm down.\What?\Did I do this?\Join me, Ricchan,\if you want to surpass your brother.\Surpass Nii-san?\Is that possible?\I can be like my brother? response:	If you'll let me use your body.
context: What?\Did I do this?\Join me, Ricchan,\if you want to surpass your brother.\Surpass Nii-san?\Is that possible?\I can be like my brother?\If you'll let me use your body. response:	Huh?
context: Did I do this?\Join me, Ricchan,\if you want to surpass your brother.\Surpass Nii-san?\Is that possible?\I can be like my brother?\If you'll let me use your body.\Huh? response:	Ritsu's not eating?
context: Join me, Ricchan,\if you want to surpass your brother.\Surpass Nii-san?\Is that possible?\I can be like my brother?\If you'll let me use your body.\Huh?\Ritsu's not eating? response:	He doesn't seem to have an appetite.
context: if you want to surpass your brother.\Surpass Nii-san?\Is that possible?\I can be like my brother?\If you'll let me use your body.\Huh?\Ritsu's not eating?\He doesn't seem to have an appetite. response:	I wonder what's wrong with him.
context: Surpass Nii-san?\Is that possible?\I can be like my brother?\If you'll let me use your body.\Huh?\Ritsu's not eating?\He doesn't seem to have an appetite.\I wonder what's wrong with him. response:	Is he feeling down?
context: Is that possible?\I can be like my brother?\If you'll let me use your body.\Huh?\Ritsu's not eating?\He doesn't seem to have an appetite.\I wonder what's wrong with him.\Is he feeling down? response:	No...
context: I can be like my brother?\If you'll let me use your body.\Huh?\Ritsu's not eating?\He doesn't seem to have an appetite.\I wonder what's wrong with him.\Is he feeling down?\No... response:	He seemed oddly happy.
context: If you'll let me use your body.\Huh?\Ritsu's not eating?\He doesn't seem to have an appetite.\I wonder what's wrong with him.\Is he feeling down?\No...\He seemed oddly happy. response:	How do I get to use my powers freely?
context: Huh?\Ritsu's not eating?\He doesn't seem to have an appetite.\I wonder what's wrong with him.\Is he feeling down?\No...\He seemed oddly happy.\How do I get to use my powers freely? response:	It's better to actually try them out, rather than explain, Ricchan.
context: Ritsu's not eating?\He doesn't seem to have an appetite.\I wonder what's wrong with him.\Is he feeling down?\No...\He seemed oddly happy.\How do I get to use my powers freely?\It's better to actually try them out, rather than explain, Ricchan. response:	Don't call me that.
context: He doesn't seem to have an appetite.\I wonder what's wrong with him.\Is he feeling down?\No...\He seemed oddly happy.\How do I get to use my powers freely?\It's better to actually try them out, rather than explain, Ricchan.\Don't call me that. response:	Okay, then.
context: I wonder what's wrong with him.\Is he feeling down?\No...\He seemed oddly happy.\How do I get to use my powers freely?\It's better to actually try them out, rather than explain, Ricchan.\Don't call me that.\Okay, then. response:	I'll just call you Ritsu.
context: Is he feeling down?\No...\He seemed oddly happy.\How do I get to use my powers freely?\It's better to actually try them out, rather than explain, Ricchan.\Don't call me that.\Okay, then.\I'll just call you Ritsu. response:	Close your eyes, and relax your whole body.
context: No...\He seemed oddly happy.\How do I get to use my powers freely?\It's better to actually try them out, rather than explain, Ricchan.\Don't call me that.\Okay, then.\I'll just call you Ritsu.\Close your eyes, and relax your whole body. response:	Possession!
context: He seemed oddly happy.\How do I get to use my powers freely?\It's better to actually try them out, rather than explain, Ricchan.\Don't call me that.\Okay, then.\I'll just call you Ritsu.\Close your eyes, and relax your whole body.\Possession! response:	You fool! Now your body's mine!
context: How do I get to use my powers freely?\It's better to actually try them out, rather than explain, Ricchan.\Don't call me that.\Okay, then.\I'll just call you Ritsu.\Close your eyes, and relax your whole body.\Possession!\You fool! Now your body's mine! response:	What?!
context: It's better to actually try them out, rather than explain, Ricchan.\Don't call me that.\Okay, then.\I'll just call you Ritsu.\Close your eyes, and relax your whole body.\Possession!\You fool! Now your body's mine!\What?! response:	I can't control his body!
context: Don't call me that.\Okay, then.\I'll just call you Ritsu.\Close your eyes, and relax your whole body.\Possession!\You fool! Now your body's mine!\What?!\I can't control his body! response:	Where'd you go, Dimple?
context: Okay, then.\I'll just call you Ritsu.\Close your eyes, and relax your whole body.\Possession!\You fool! Now your body's mine!\What?!\I can't control his body!\Where'd you go, Dimple? response:	It's because my spiritual powers have become so weak... Damn it!
context: I'll just call you Ritsu.\Close your eyes, and relax your whole body.\Possession!\You fool! Now your body's mine!\What?!\I can't control his body!\Where'd you go, Dimple?\It's because my spiritual powers have become so weak... Damn it! response:	I heard that the student council took care of the problem.
context: Close your eyes, and relax your whole body.\Possession!\You fool! Now your body's mine!\What?!\I can't control his body!\Where'd you go, Dimple?\It's because my spiritual powers have become so weak... Damn it!\I heard that the student council took care of the problem. response:	You mean about the perv gang leader?
context: Possession!\You fool! Now your body's mine!\What?!\I can't control his body!\Where'd you go, Dimple?\It's because my spiritual powers have become so weak... Damn it!\I heard that the student council took care of the problem.\You mean about the perv gang leader? response:	They're like heroes.
context: You fool! Now your body's mine!\What?!\I can't control his body!\Where'd you go, Dimple?\It's because my spiritual powers have become so weak... Damn it!\I heard that the student council took care of the problem.\You mean about the perv gang leader?\They're like heroes. response:	They're the heroes of the school.
context: What?!\I can't control his body!\Where'd you go, Dimple?\It's because my spiritual powers have become so weak... Damn it!\I heard that the student council took care of the problem.\You mean about the perv gang leader?\They're like heroes.\They're the heroes of the school. response:	Yamazaki-kun from Class 2-4,
context: I can't control his body!\Where'd you go, Dimple?\It's because my spiritual powers have become so weak... Damn it!\I heard that the student council took care of the problem.\You mean about the perv gang leader?\They're like heroes.\They're the heroes of the school.\Yamazaki-kun from Class 2-4, response:	I'd like a word with you.
context: Where'd you go, Dimple?\It's because my spiritual powers have become so weak... Damn it!\I heard that the student council took care of the problem.\You mean about the perv gang leader?\They're like heroes.\They're the heroes of the school.\Yamazaki-kun from Class 2-4,\I'd like a word with you. response:	What do you want?
context: It's because my spiritual powers have become so weak... Damn it!\I heard that the student council took care of the problem.\You mean about the perv gang leader?\They're like heroes.\They're the heroes of the school.\Yamazaki-kun from Class 2-4,\I'd like a word with you.\What do you want? response:	You haven't fully buttoned up your coat.
context: I heard that the student council took care of the problem.\You mean about the perv gang leader?\They're like heroes.\They're the heroes of the school.\Yamazaki-kun from Class 2-4,\I'd like a word with you.\What do you want?\You haven't fully buttoned up your coat. response:	So what? Buzz off.
context: You mean about the perv gang leader?\They're like heroes.\They're the heroes of the school.\Yamazaki-kun from Class 2-4,\I'd like a word with you.\What do you want?\You haven't fully buttoned up your coat.\So what? Buzz off. response:	I can use them...
context: They're like heroes.\They're the heroes of the school.\Yamazaki-kun from Class 2-4,\I'd like a word with you.\What do you want?\You haven't fully buttoned up your coat.\So what? Buzz off.\I can use them... response:	I can use psychic powers, Dimple.
context: They're the heroes of the school.\Yamazaki-kun from Class 2-4,\I'd like a word with you.\What do you want?\You haven't fully buttoned up your coat.\So what? Buzz off.\I can use them...\I can use psychic powers, Dimple. response:	It's because I'm controlling the output,
context: Yamazaki-kun from Class 2-4,\I'd like a word with you.\What do you want?\You haven't fully buttoned up your coat.\So what? Buzz off.\I can use them...\I can use psychic powers, Dimple.\It's because I'm controlling the output, response:	but you've always had latent psychic powers, Ritsu.
