context: < Ishizaki Kanami > response:	< Friend>
context: What?!\This was taken 26 hours ago...\In Tokyo.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: This was taken 26 hours ago...\In Tokyo.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: In Tokyo.\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Nee dareka oshiete
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete response:	Hey, someone, tell me
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me response:	Minna sou na no kana?
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana? response:	Is everyone like that?
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that? response:	Kyou ga shiawase nara
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara response:	That they'feel it's good enough
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough response:	Sore de ii to omoeru tte
context: No matter how broken today looks\Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte response:	if they're if happy today'
context: Nee dareka oshiete\Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today' response:	Osanai koro ni wa
context: Hey, someone, tell me\Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa response:	When I was young
context: Minna sou na no kana?\Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young response:	Tashika ni atta yo
context: Is everyone like that?\Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo response:	They certainly existed
context: Kyou ga shiawase nara\That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed response:	Yume o oikaketeta
context: That they'feel it's good enough\Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta response:	I pursued my dreams
context: Sore de ii to omoeru tte\if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams response:	Demo sore mo tooi kioku
context: if they're if happy today'\Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku response:	But that's also a distant memory
context: Osanai koro ni wa\When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory response:	Kotae no nai mainichi ga
context: When I was young\Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga response:	The each unanswered day-
context: Tashika ni atta yo\They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day- response:	Tada sugite iku jikan ga
context: They certainly existed\Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga response:	The time that is simply passing by-
context: Yume o oikaketeta\I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by- response:	Kore kara saki dou naru no darou?
context: I pursued my dreams\Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou? response:	What will happen beyond now?
context: Demo sore mo tooi kioku\But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now? response:	Wakaranai...
context: But that's also a distant memory\Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai... response:	They don't know...
context: Kotae no nai mainichi ga\The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know... response:	Tsukiakari no michishirube
context: The each unanswered day-\Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube response:	The moonlight's guiding sign
context: Tada sugite iku jikan ga\The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign response:	Kumo o koe boku ni todoke
context: The time that is simply passing by-\Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke response:	Reaches me over the clouds
context: Kore kara saki dou naru no darou?\What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds response:	Susumu beki michi o terashite yo
context: What will happen beyond now?\Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo response:	Illuminate the road that I must advance on
context: Wakaranai...\They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on response:	Kyou ga donna ni kowaresou de mo
context: They don't know...\Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo response:	No matter how broken today looks
context: Tsukiakari no michishirube\The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks response:	Ishizaka Kanami - Friend
context: The moonlight's guiding sign\Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Ishizaka Kanami - Friend response:	Who are you waiting for?
context: Kumo o koe boku ni todoke\Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Ishizaka Kanami - Friend\Who are you waiting for? response:	How did you...
context: Reaches me over the clouds\Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Ishizaka Kanami - Friend\Who are you waiting for?\How did you... response:	Why are you here?
context: Susumu beki michi o terashite yo\Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Ishizaka Kanami - Friend\Who are you waiting for?\How did you...\Why are you here? response:	That's my line.
context: Illuminate the road that I must advance on\Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Ishizaka Kanami - Friend\Who are you waiting for?\How did you...\Why are you here?\That's my line. response:	I thought you would be in the archives,
context: Kyou ga donna ni kowaresou de mo\No matter how broken today looks\Ishizaka Kanami - Friend\Who are you waiting for?\How did you...\Why are you here?\That's my line.\I thought you would be in the archives, response:	yet you are here in this creepy place.
context: No matter how broken today looks\Ishizaka Kanami - Friend\Who are you waiting for?\How did you...\Why are you here?\That's my line.\I thought you would be in the archives,\yet you are here in this creepy place. response:	Oh, wasn't this place the hive of the dolls?
context: Ishizaka Kanami - Friend\Who are you waiting for?\How did you...\Why are you here?\That's my line.\I thought you would be in the archives,\yet you are here in this creepy place.\Oh, wasn't this place the hive of the dolls? response:	Are you looking for Izanami-chan?
context: Who are you waiting for?\How did you...\Why are you here?\That's my line.\I thought you would be in the archives,\yet you are here in this creepy place.\Oh, wasn't this place the hive of the dolls?\Are you looking for Izanami-chan? response:	At least you were discrete enough not to call your friend.
context: How did you...\Why are you here?\That's my line.\I thought you would be in the archives,\yet you are here in this creepy place.\Oh, wasn't this place the hive of the dolls?\Are you looking for Izanami-chan?\At least you were discrete enough not to call your friend. response:	The lines are obviously tapped, and would cause that person a lot of trouble.
context: Why are you here?\That's my line.\I thought you would be in the archives,\yet you are here in this creepy place.\Oh, wasn't this place the hive of the dolls?\Are you looking for Izanami-chan?\At least you were discrete enough not to call your friend.\The lines are obviously tapped, and would cause that person a lot of trouble. response:	And you might be able to notice now that
context: That's my line.\I thought you would be in the archives,\yet you are here in this creepy place.\Oh, wasn't this place the hive of the dolls?\Are you looking for Izanami-chan?\At least you were discrete enough not to call your friend.\The lines are obviously tapped, and would cause that person a lot of trouble.\And you might be able to notice now that response:	you're already being watched.
context: I thought you would be in the archives,\yet you are here in this creepy place.\Oh, wasn't this place the hive of the dolls?\Are you looking for Izanami-chan?\At least you were discrete enough not to call your friend.\The lines are obviously tapped, and would cause that person a lot of trouble.\And you might be able to notice now that\you're already being watched. response:	A surveillance spirit?
context: yet you are here in this creepy place.\Oh, wasn't this place the hive of the dolls?\Are you looking for Izanami-chan?\At least you were discrete enough not to call your friend.\The lines are obviously tapped, and would cause that person a lot of trouble.\And you might be able to notice now that\you're already being watched.\A surveillance spirit? response:	You're lucky there aren't any power lines here, though.
context: Oh, wasn't this place the hive of the dolls?\Are you looking for Izanami-chan?\At least you were discrete enough not to call your friend.\The lines are obviously tapped, and would cause that person a lot of trouble.\And you might be able to notice now that\you're already being watched.\A surveillance spirit?\You're lucky there aren't any power lines here, though. response:	We took all the know-how after the astronomy division was closed.
context: Are you looking for Izanami-chan?\At least you were discrete enough not to call your friend.\The lines are obviously tapped, and would cause that person a lot of trouble.\And you might be able to notice now that\you're already being watched.\A surveillance spirit?\You're lucky there aren't any power lines here, though.\We took all the know-how after the astronomy division was closed. response:	And now we've got Izanami.
context: At least you were discrete enough not to call your friend.\The lines are obviously tapped, and would cause that person a lot of trouble.\And you might be able to notice now that\you're already being watched.\A surveillance spirit?\You're lucky there aren't any power lines here, though.\We took all the know-how after the astronomy division was closed.\And now we've got Izanami. response:	What are they planning anyway?
context: The lines are obviously tapped, and would cause that person a lot of trouble.\And you might be able to notice now that\you're already being watched.\A surveillance spirit?\You're lucky there aren't any power lines here, though.\We took all the know-how after the astronomy division was closed.\And now we've got Izanami.\What are they planning anyway? response:	Why are you telling me this?
context: And you might be able to notice now that\you're already being watched.\A surveillance spirit?\You're lucky there aren't any power lines here, though.\We took all the know-how after the astronomy division was closed.\And now we've got Izanami.\What are they planning anyway?\Why are you telling me this? response:	We're in the same boat.
context: you're already being watched.\A surveillance spirit?\You're lucky there aren't any power lines here, though.\We took all the know-how after the astronomy division was closed.\And now we've got Izanami.\What are they planning anyway?\Why are you telling me this?\We're in the same boat. response:	A grunt like me won't be informed of anything important.
context: A surveillance spirit?\You're lucky there aren't any power lines here, though.\We took all the know-how after the astronomy division was closed.\And now we've got Izanami.\What are they planning anyway?\Why are you telling me this?\We're in the same boat.\A grunt like me won't be informed of anything important. response:	I want to know what the higher-ups are thinking.
context: You're lucky there aren't any power lines here, though.\We took all the know-how after the astronomy division was closed.\And now we've got Izanami.\What are they planning anyway?\Why are you telling me this?\We're in the same boat.\A grunt like me won't be informed of anything important.\I want to know what the higher-ups are thinking. response:	So? Wanna partner up with me?
context: We took all the know-how after the astronomy division was closed.\And now we've got Izanami.\What are they planning anyway?\Why are you telling me this?\We're in the same boat.\A grunt like me won't be informed of anything important.\I want to know what the higher-ups are thinking.\So? Wanna partner up with me? response:	Not only do you have the Japanese Public Safety on your ass,
context: And now we've got Izanami.\What are they planning anyway?\Why are you telling me this?\We're in the same boat.\A grunt like me won't be informed of anything important.\I want to know what the higher-ups are thinking.\So? Wanna partner up with me?\Not only do you have the Japanese Public Safety on your ass, response:	but the CIA which you betrayed and the Russian organization, too.
context: What are they planning anyway?\Why are you telling me this?\We're in the same boat.\A grunt like me won't be informed of anything important.\I want to know what the higher-ups are thinking.\So? Wanna partner up with me?\Not only do you have the Japanese Public Safety on your ass,\but the CIA which you betrayed and the Russian organization, too. response:	It won't be easy to get out of Hokkaido.
context: Why are you telling me this?\We're in the same boat.\A grunt like me won't be informed of anything important.\I want to know what the higher-ups are thinking.\So? Wanna partner up with me?\Not only do you have the Japanese Public Safety on your ass,\but the CIA which you betrayed and the Russian organization, too.\It won't be easy to get out of Hokkaido. response:	A transporter?
context: We're in the same boat.\A grunt like me won't be informed of anything important.\I want to know what the higher-ups are thinking.\So? Wanna partner up with me?\Not only do you have the Japanese Public Safety on your ass,\but the CIA which you betrayed and the Russian organization, too.\It won't be easy to get out of Hokkaido.\A transporter? response:	Of the underground.
context: A grunt like me won't be informed of anything important.\I want to know what the higher-ups are thinking.\So? Wanna partner up with me?\Not only do you have the Japanese Public Safety on your ass,\but the CIA which you betrayed and the Russian organization, too.\It won't be easy to get out of Hokkaido.\A transporter?\Of the underground. response:	They'll help if we pay them.
context: I want to know what the higher-ups are thinking.\So? Wanna partner up with me?\Not only do you have the Japanese Public Safety on your ass,\but the CIA which you betrayed and the Russian organization, too.\It won't be easy to get out of Hokkaido.\A transporter?\Of the underground.\They'll help if we pay them. response:	Can we trust them?
context: So? Wanna partner up with me?\Not only do you have the Japanese Public Safety on your ass,\but the CIA which you betrayed and the Russian organization, too.\It won't be easy to get out of Hokkaido.\A transporter?\Of the underground.\They'll help if we pay them.\Can we trust them? response:	It's the same with an informant.
context: Not only do you have the Japanese Public Safety on your ass,\but the CIA which you betrayed and the Russian organization, too.\It won't be easy to get out of Hokkaido.\A transporter?\Of the underground.\They'll help if we pay them.\Can we trust them?\It's the same with an informant. response:	We do business if we both have common goals.
context: but the CIA which you betrayed and the Russian organization, too.\It won't be easy to get out of Hokkaido.\A transporter?\Of the underground.\They'll help if we pay them.\Can we trust them?\It's the same with an informant.\We do business if we both have common goals. response:	It's that simple.
context: It won't be easy to get out of Hokkaido.\A transporter?\Of the underground.\They'll help if we pay them.\Can we trust them?\It's the same with an informant.\We do business if we both have common goals.\It's that simple. response:	Is it cold?
context: A transporter?\Of the underground.\They'll help if we pay them.\Can we trust them?\It's the same with an informant.\We do business if we both have common goals.\It's that simple.\Is it cold? response:	Hey! That's not a nice way to greet people!
context: Of the underground.\They'll help if we pay them.\Can we trust them?\It's the same with an informant.\We do business if we both have common goals.\It's that simple.\Is it cold?\Hey! That's not a nice way to greet people! response:	They're 200m ahead.
context: They'll help if we pay them.\Can we trust them?\It's the same with an informant.\We do business if we both have common goals.\It's that simple.\Is it cold?\Hey! That's not a nice way to greet people!\They're 200m ahead. response:	There's an inspection ahead.
context: Can we trust them?\It's the same with an informant.\We do business if we both have common goals.\It's that simple.\Is it cold?\Hey! That's not a nice way to greet people!\They're 200m ahead.\There's an inspection ahead. response:	Take a different route.
context: It's the same with an informant.\We do business if we both have common goals.\It's that simple.\Is it cold?\Hey! That's not a nice way to greet people!\They're 200m ahead.\There's an inspection ahead.\Take a different route. response:	Is he a doll?
context: We do business if we both have common goals.\It's that simple.\Is it cold?\Hey! That's not a nice way to greet people!\They're 200m ahead.\There's an inspection ahead.\Take a different route.\Is he a doll? response:	Yes.
context: It's that simple.\Is it cold?\Hey! That's not a nice way to greet people!\They're 200m ahead.\There's an inspection ahead.\Take a different route.\Is he a doll?\Yes. response:	If they are checking this place too, I don't think there's another way out of Hokkaido.
context: Is it cold?\Hey! That's not a nice way to greet people!\They're 200m ahead.\There's an inspection ahead.\Take a different route.\Is he a doll?\Yes.\If they are checking this place too, I don't think there's another way out of Hokkaido. response:	I'm pretty sure they have covered every path.
context: Hey! That's not a nice way to greet people!\They're 200m ahead.\There's an inspection ahead.\Take a different route.\Is he a doll?\Yes.\If they are checking this place too, I don't think there's another way out of Hokkaido.\I'm pretty sure they have covered every path. response:	We'll have to think this thoroughly before we get to Hakodate.
context: They're 200m ahead.\There's an inspection ahead.\Take a different route.\Is he a doll?\Yes.\If they are checking this place too, I don't think there's another way out of Hokkaido.\I'm pretty sure they have covered every path.\We'll have to think this thoroughly before we get to Hakodate. response:	That has its price too, of course.
context: There's an inspection ahead.\Take a different route.\Is he a doll?\Yes.\If they are checking this place too, I don't think there's another way out of Hokkaido.\I'm pretty sure they have covered every path.\We'll have to think this thoroughly before we get to Hakodate.\That has its price too, of course. response:	There were some deviations in the plan, but we've managed to get Izanami.
context: Take a different route.\Is he a doll?\Yes.\If they are checking this place too, I don't think there's another way out of Hokkaido.\I'm pretty sure they have covered every path.\We'll have to think this thoroughly before we get to Hakodate.\That has its price too, of course.\There were some deviations in the plan, but we've managed to get Izanami. response:	If I'm not mistaken, they tried to kill Izanami, right?
context: Is he a doll?\Yes.\If they are checking this place too, I don't think there's another way out of Hokkaido.\I'm pretty sure they have covered every path.\We'll have to think this thoroughly before we get to Hakodate.\That has its price too, of course.\There were some deviations in the plan, but we've managed to get Izanami.\If I'm not mistaken, they tried to kill Izanami, right? response:	It looked that way, yes.
context: Yes.\If they are checking this place too, I don't think there's another way out of Hokkaido.\I'm pretty sure they have covered every path.\We'll have to think this thoroughly before we get to Hakodate.\That has its price too, of course.\There were some deviations in the plan, but we've managed to get Izanami.\If I'm not mistaken, they tried to kill Izanami, right?\It looked that way, yes. response:	We're still investigating who's behind this and where the information was leaked.
context: If they are checking this place too, I don't think there's another way out of Hokkaido.\I'm pretty sure they have covered every path.\We'll have to think this thoroughly before we get to Hakodate.\That has its price too, of course.\There were some deviations in the plan, but we've managed to get Izanami.\If I'm not mistaken, they tried to kill Izanami, right?\It looked that way, yes.\We're still investigating who's behind this and where the information was leaked. response:	Thank you.
context: I'm pretty sure they have covered every path.\We'll have to think this thoroughly before we get to Hakodate.\That has its price too, of course.\There were some deviations in the plan, but we've managed to get Izanami.\If I'm not mistaken, they tried to kill Izanami, right?\It looked that way, yes.\We're still investigating who's behind this and where the information was leaked.\Thank you. response:	Is it true that Izanami's father is here?
context: We'll have to think this thoroughly before we get to Hakodate.\That has its price too, of course.\There were some deviations in the plan, but we've managed to get Izanami.\If I'm not mistaken, they tried to kill Izanami, right?\It looked that way, yes.\We're still investigating who's behind this and where the information was leaked.\Thank you.\Is it true that Izanami's father is here? response:	As expected. You've already heard about that.
context: That has its price too, of course.\There were some deviations in the plan, but we've managed to get Izanami.\If I'm not mistaken, they tried to kill Izanami, right?\It looked that way, yes.\We're still investigating who's behind this and where the information was leaked.\Thank you.\Is it true that Izanami's father is here?\As expected. You've already heard about that. response:	You've got to drink it all.
context: There were some deviations in the plan, but we've managed to get Izanami.\If I'm not mistaken, they tried to kill Izanami, right?\It looked that way, yes.\We're still investigating who's behind this and where the information was leaked.\Thank you.\Is it true that Izanami's father is here?\As expected. You've already heard about that.\You've got to drink it all. response:	It's delicious.
context: If I'm not mistaken, they tried to kill Izanami, right?\It looked that way, yes.\We're still investigating who's behind this and where the information was leaked.\Thank you.\Is it true that Izanami's father is here?\As expected. You've already heard about that.\You've got to drink it all.\It's delicious. response:	So far, we've only received information that we found a matching person.
context: It looked that way, yes.\We're still investigating who's behind this and where the information was leaked.\Thank you.\Is it true that Izanami's father is here?\As expected. You've already heard about that.\You've got to drink it all.\It's delicious.\So far, we've only received information that we found a matching person. response:	We're still investigating that matter.
