context: Graduation response:	Captain Simon, congratulations on successfully
context: Precisely.\We must prepare for the Wulgaru's counter-attack.\We have already confirmed signs of enemy movement.\You are speaking out of line, Deputy Amane.\My apologies.\But after this, I imagine the MJP will be back\on track, training pilots.\If they pump out more excellent students, response:	we might actually win this war!
context: We must prepare for the Wulgaru's counter-attack.\We have already confirmed signs of enemy movement.\You are speaking out of line, Deputy Amane.\My apologies.\But after this, I imagine the MJP will be back\on track, training pilots.\If they pump out more excellent students,\we might actually win this war! response:	Yes, indeed!
context: We have already confirmed signs of enemy movement.\You are speaking out of line, Deputy Amane.\My apologies.\But after this, I imagine the MJP will be back\on track, training pilots.\If they pump out more excellent students,\we might actually win this war!\Yes, indeed! response:	We need to increase the AHSMB unit's production speed.
context: You are speaking out of line, Deputy Amane.\My apologies.\But after this, I imagine the MJP will be back\on track, training pilots.\If they pump out more excellent students,\we might actually win this war!\Yes, indeed!\We need to increase the AHSMB unit's production speed. response:	Yo!
context: My apologies.\But after this, I imagine the MJP will be back\on track, training pilots.\If they pump out more excellent students,\we might actually win this war!\Yes, indeed!\We need to increase the AHSMB unit's production speed.\Yo! response:	See, that was a pretty hard fight back there,
context: But after this, I imagine the MJP will be back\on track, training pilots.\If they pump out more excellent students,\we might actually win this war!\Yes, indeed!\We need to increase the AHSMB unit's production speed.\Yo!\See, that was a pretty hard fight back there, response:	so maintenance has been killer.
context: on track, training pilots.\If they pump out more excellent students,\we might actually win this war!\Yes, indeed!\We need to increase the AHSMB unit's production speed.\Yo!\See, that was a pretty hard fight back there,\so maintenance has been killer. response:	Our Rhinos are just prototypes for your AHSMBs.
context: If they pump out more excellent students,\we might actually win this war!\Yes, indeed!\We need to increase the AHSMB unit's production speed.\Yo!\See, that was a pretty hard fight back there,\so maintenance has been killer.\Our Rhinos are just prototypes for your AHSMBs. response:	But the way you fought with them...!
context: we might actually win this war!\Yes, indeed!\We need to increase the AHSMB unit's production speed.\Yo!\See, that was a pretty hard fight back there,\so maintenance has been killer.\Our Rhinos are just prototypes for your AHSMBs.\But the way you fought with them...! response:	You guys should be able to show us up easy.
context: Yes, indeed!\We need to increase the AHSMB unit's production speed.\Yo!\See, that was a pretty hard fight back there,\so maintenance has been killer.\Our Rhinos are just prototypes for your AHSMBs.\But the way you fought with them...!\You guys should be able to show us up easy. response:	You've just gotta get a grasp on your units first.
context: We need to increase the AHSMB unit's production speed.\Yo!\See, that was a pretty hard fight back there,\so maintenance has been killer.\Our Rhinos are just prototypes for your AHSMBs.\But the way you fought with them...!\You guys should be able to show us up easy.\You've just gotta get a grasp on your units first. response:	Our DNA has been programmed into our units,
context: Yo!\See, that was a pretty hard fight back there,\so maintenance has been killer.\Our Rhinos are just prototypes for your AHSMBs.\But the way you fought with them...!\You guys should be able to show us up easy.\You've just gotta get a grasp on your units first.\Our DNA has been programmed into our units, response:	which makes piloting them relatively easy.
context: See, that was a pretty hard fight back there,\so maintenance has been killer.\Our Rhinos are just prototypes for your AHSMBs.\But the way you fought with them...!\You guys should be able to show us up easy.\You've just gotta get a grasp on your units first.\Our DNA has been programmed into our units,\which makes piloting them relatively easy. response:	But don't rely too heavily on your machine's abilities.
context: so maintenance has been killer.\Our Rhinos are just prototypes for your AHSMBs.\But the way you fought with them...!\You guys should be able to show us up easy.\You've just gotta get a grasp on your units first.\Our DNA has been programmed into our units,\which makes piloting them relatively easy.\But don't rely too heavily on your machine's abilities. response:	If one side relies too heavily on the other, the relationship is screwed.
context: Our Rhinos are just prototypes for your AHSMBs.\But the way you fought with them...!\You guys should be able to show us up easy.\You've just gotta get a grasp on your units first.\Our DNA has been programmed into our units,\which makes piloting them relatively easy.\But don't rely too heavily on your machine's abilities.\If one side relies too heavily on the other, the relationship is screwed. response:	So, did ya need somethin'?
context: But the way you fought with them...!\You guys should be able to show us up easy.\You've just gotta get a grasp on your units first.\Our DNA has been programmed into our units,\which makes piloting them relatively easy.\But don't rely too heavily on your machine's abilities.\If one side relies too heavily on the other, the relationship is screwed.\So, did ya need somethin'? response:	I don't have any porn on hand if that's what ya want.
context: You guys should be able to show us up easy.\You've just gotta get a grasp on your units first.\Our DNA has been programmed into our units,\which makes piloting them relatively easy.\But don't rely too heavily on your machine's abilities.\If one side relies too heavily on the other, the relationship is screwed.\So, did ya need somethin'?\I don't have any porn on hand if that's what ya want. response:	Uh, no!
context: You've just gotta get a grasp on your units first.\Our DNA has been programmed into our units,\which makes piloting them relatively easy.\But don't rely too heavily on your machine's abilities.\If one side relies too heavily on the other, the relationship is screwed.\So, did ya need somethin'?\I don't have any porn on hand if that's what ya want.\Uh, no! response:	We received orders to return to the academy again.
context: Our DNA has been programmed into our units,\which makes piloting them relatively easy.\But don't rely too heavily on your machine's abilities.\If one side relies too heavily on the other, the relationship is screwed.\So, did ya need somethin'?\I don't have any porn on hand if that's what ya want.\Uh, no!\We received orders to return to the academy again. response:	I just wanted to say Goodbye first.
context: which makes piloting them relatively easy.\But don't rely too heavily on your machine's abilities.\If one side relies too heavily on the other, the relationship is screwed.\So, did ya need somethin'?\I don't have any porn on hand if that's what ya want.\Uh, no!\We received orders to return to the academy again.\I just wanted to say Goodbye first. response:	That right?
context: But don't rely too heavily on your machine's abilities.\If one side relies too heavily on the other, the relationship is screwed.\So, did ya need somethin'?\I don't have any porn on hand if that's what ya want.\Uh, no!\We received orders to return to the academy again.\I just wanted to say Goodbye first.\That right? response:	Well, I'm sure we'll run into each other again someday.
context: If one side relies too heavily on the other, the relationship is screwed.\So, did ya need somethin'?\I don't have any porn on hand if that's what ya want.\Uh, no!\We received orders to return to the academy again.\I just wanted to say Goodbye first.\That right?\Well, I'm sure we'll run into each other again someday. response:	After all, the enemy is already on the move.
context: So, did ya need somethin'?\I don't have any porn on hand if that's what ya want.\Uh, no!\We received orders to return to the academy again.\I just wanted to say Goodbye first.\That right?\Well, I'm sure we'll run into each other again someday.\After all, the enemy is already on the move. response:	Oh, right! Before I forget.
context: I don't have any porn on hand if that's what ya want.\Uh, no!\We received orders to return to the academy again.\I just wanted to say Goodbye first.\That right?\Well, I'm sure we'll run into each other again someday.\After all, the enemy is already on the move.\Oh, right! Before I forget. response:	This contains the data from our last battle.
context: Uh, no!\We received orders to return to the academy again.\I just wanted to say Goodbye first.\That right?\Well, I'm sure we'll run into each other again someday.\After all, the enemy is already on the move.\Oh, right! Before I forget.\This contains the data from our last battle. response:	I had it stored on my Rhinos.
context: We received orders to return to the academy again.\I just wanted to say Goodbye first.\That right?\Well, I'm sure we'll run into each other again someday.\After all, the enemy is already on the move.\Oh, right! Before I forget.\This contains the data from our last battle.\I had it stored on my Rhinos. response:	One of our duties is to collect combat data for future generations.
context: I just wanted to say Goodbye first.\That right?\Well, I'm sure we'll run into each other again someday.\After all, the enemy is already on the move.\Oh, right! Before I forget.\This contains the data from our last battle.\I had it stored on my Rhinos.\One of our duties is to collect combat data for future generations. response:	Thank you.
context: That right?\Well, I'm sure we'll run into each other again someday.\After all, the enemy is already on the move.\Oh, right! Before I forget.\This contains the data from our last battle.\I had it stored on my Rhinos.\One of our duties is to collect combat data for future generations.\Thank you. response:	Hang in there!
context: Well, I'm sure we'll run into each other again someday.\After all, the enemy is already on the move.\Oh, right! Before I forget.\This contains the data from our last battle.\I had it stored on my Rhinos.\One of our duties is to collect combat data for future generations.\Thank you.\Hang in there! response:	After this, we'll be headin' back to the frontlines.
context: After all, the enemy is already on the move.\Oh, right! Before I forget.\This contains the data from our last battle.\I had it stored on my Rhinos.\One of our duties is to collect combat data for future generations.\Thank you.\Hang in there!\After this, we'll be headin' back to the frontlines. response:	See ya'round.
context: Oh, right! Before I forget.\This contains the data from our last battle.\I had it stored on my Rhinos.\One of our duties is to collect combat data for future generations.\Thank you.\Hang in there!\After this, we'll be headin' back to the frontlines.\See ya'round. response:	Right!
context: This contains the data from our last battle.\I had it stored on my Rhinos.\One of our duties is to collect combat data for future generations.\Thank you.\Hang in there!\After this, we'll be headin' back to the frontlines.\See ya'round.\Right! response:	Data from the Rhinos units, huh?
context: I had it stored on my Rhinos.\One of our duties is to collect combat data for future generations.\Thank you.\Hang in there!\After this, we'll be headin' back to the frontlines.\See ya'round.\Right!\Data from the Rhinos units, huh? response:	As far as the bigwigs are concerned, all of us are just data.
context: One of our duties is to collect combat data for future generations.\Thank you.\Hang in there!\After this, we'll be headin' back to the frontlines.\See ya'round.\Right!\Data from the Rhinos units, huh?\As far as the bigwigs are concerned, all of us are just data. response:	Where is Doberman going next?
context: Thank you.\Hang in there!\After this, we'll be headin' back to the frontlines.\See ya'round.\Right!\Data from the Rhinos units, huh?\As far as the bigwigs are concerned, all of us are just data.\Where is Doberman going next? response:	Back to the frontlines.
context: Hang in there!\After this, we'll be headin' back to the frontlines.\See ya'round.\Right!\Data from the Rhinos units, huh?\As far as the bigwigs are concerned, all of us are just data.\Where is Doberman going next?\Back to the frontlines. response:	Is that right?
context: After this, we'll be headin' back to the frontlines.\See ya'round.\Right!\Data from the Rhinos units, huh?\As far as the bigwigs are concerned, all of us are just data.\Where is Doberman going next?\Back to the frontlines.\Is that right? response:	We'll see them again.
context: See ya'round.\Right!\Data from the Rhinos units, huh?\As far as the bigwigs are concerned, all of us are just data.\Where is Doberman going next?\Back to the frontlines.\Is that right?\We'll see them again. response:	Huh? What're you doing here?
context: Right!\Data from the Rhinos units, huh?\As far as the bigwigs are concerned, all of us are just data.\Where is Doberman going next?\Back to the frontlines.\Is that right?\We'll see them again.\Huh? What're you doing here? response:	Why the heck did you come back?
context: Data from the Rhinos units, huh?\As far as the bigwigs are concerned, all of us are just data.\Where is Doberman going next?\Back to the frontlines.\Is that right?\We'll see them again.\Huh? What're you doing here?\Why the heck did you come back? response:	Well, we're not sure why ourselves.
context: As far as the bigwigs are concerned, all of us are just data.\Where is Doberman going next?\Back to the frontlines.\Is that right?\We'll see them again.\Huh? What're you doing here?\Why the heck did you come back?\Well, we're not sure why ourselves. response:	You're still lacking where it counts.
context: Where is Doberman going next?\Back to the frontlines.\Is that right?\We'll see them again.\Huh? What're you doing here?\Why the heck did you come back?\Well, we're not sure why ourselves.\You're still lacking where it counts. response:	That's what makes you the Fail Five!
context: Back to the frontlines.\Is that right?\We'll see them again.\Huh? What're you doing here?\Why the heck did you come back?\Well, we're not sure why ourselves.\You're still lacking where it counts.\That's what makes you the Fail Five! response:	That last strike only worked because
context: Is that right?\We'll see them again.\Huh? What're you doing here?\Why the heck did you come back?\Well, we're not sure why ourselves.\You're still lacking where it counts.\That's what makes you the Fail Five!\That last strike only worked because response:	those other pilots were there, huh?
context: We'll see them again.\Huh? What're you doing here?\Why the heck did you come back?\Well, we're not sure why ourselves.\You're still lacking where it counts.\That's what makes you the Fail Five!\That last strike only worked because\those other pilots were there, huh? response:	Just try not to make the rest of us look bad.
context: Huh? What're you doing here?\Why the heck did you come back?\Well, we're not sure why ourselves.\You're still lacking where it counts.\That's what makes you the Fail Five!\That last strike only worked because\those other pilots were there, huh?\Just try not to make the rest of us look bad. response:	Asagi!
context: Why the heck did you come back?\Well, we're not sure why ourselves.\You're still lacking where it counts.\That's what makes you the Fail Five!\That last strike only worked because\those other pilots were there, huh?\Just try not to make the rest of us look bad.\Asagi! response:	This place never changes!
context: Well, we're not sure why ourselves.\You're still lacking where it counts.\That's what makes you the Fail Five!\That last strike only worked because\those other pilots were there, huh?\Just try not to make the rest of us look bad.\Asagi!\This place never changes! response:	Yep. It's kinda relaxing.
context: You're still lacking where it counts.\That's what makes you the Fail Five!\That last strike only worked because\those other pilots were there, huh?\Just try not to make the rest of us look bad.\Asagi!\This place never changes!\Yep. It's kinda relaxing. response:	That isn't relaxing!
context: That's what makes you the Fail Five!\That last strike only worked because\those other pilots were there, huh?\Just try not to make the rest of us look bad.\Asagi!\This place never changes!\Yep. It's kinda relaxing.\That isn't relaxing! response:	And here we're working our butts off!
context: That last strike only worked because\those other pilots were there, huh?\Just try not to make the rest of us look bad.\Asagi!\This place never changes!\Yep. It's kinda relaxing.\That isn't relaxing!\And here we're working our butts off! response:	Seriously!
context: those other pilots were there, huh?\Just try not to make the rest of us look bad.\Asagi!\This place never changes!\Yep. It's kinda relaxing.\That isn't relaxing!\And here we're working our butts off!\Seriously! response:	Ah, sirs!
context: Just try not to make the rest of us look bad.\Asagi!\This place never changes!\Yep. It's kinda relaxing.\That isn't relaxing!\And here we're working our butts off!\Seriously!\Ah, sirs! response:	Instructor Suzukaze is calling for you.
context: Asagi!\This place never changes!\Yep. It's kinda relaxing.\That isn't relaxing!\And here we're working our butts off!\Seriously!\Ah, sirs!\Instructor Suzukaze is calling for you. response:	Oh, thank you.
context: This place never changes!\Yep. It's kinda relaxing.\That isn't relaxing!\And here we're working our butts off!\Seriously!\Ah, sirs!\Instructor Suzukaze is calling for you.\Oh, thank you. response:	It was nothing.
context: Yep. It's kinda relaxing.\That isn't relaxing!\And here we're working our butts off!\Seriously!\Ah, sirs!\Instructor Suzukaze is calling for you.\Oh, thank you.\It was nothing. response:	Now if you'll pardon me, Team Fail.
context: That isn't relaxing!\And here we're working our butts off!\Seriously!\Ah, sirs!\Instructor Suzukaze is calling for you.\Oh, thank you.\It was nothing.\Now if you'll pardon me, Team Fail. response:	Team Fail?
context: And here we're working our butts off!\Seriously!\Ah, sirs!\Instructor Suzukaze is calling for you.\Oh, thank you.\It was nothing.\Now if you'll pardon me, Team Fail.\Team Fail? response:	Did she do that on purpose?
context: Seriously!\Ah, sirs!\Instructor Suzukaze is calling for you.\Oh, thank you.\It was nothing.\Now if you'll pardon me, Team Fail.\Team Fail?\Did she do that on purpose? response:	She seriously thought that was our team name...
context: Ah, sirs!\Instructor Suzukaze is calling for you.\Oh, thank you.\It was nothing.\Now if you'll pardon me, Team Fail.\Team Fail?\Did she do that on purpose?\She seriously thought that was our team name... response:	Huh?
context: Instructor Suzukaze is calling for you.\Oh, thank you.\It was nothing.\Now if you'll pardon me, Team Fail.\Team Fail?\Did she do that on purpose?\She seriously thought that was our team name...\Huh? response:	What does graduating entail?
context: Oh, thank you.\It was nothing.\Now if you'll pardon me, Team Fail.\Team Fail?\Did she do that on purpose?\She seriously thought that was our team name...\Huh?\What does graduating entail? response:	In short, it means you have completed your training
context: It was nothing.\Now if you'll pardon me, Team Fail.\Team Fail?\Did she do that on purpose?\She seriously thought that was our team name...\Huh?\What does graduating entail?\In short, it means you have completed your training response:	and will officially enter the GDF army.
context: Now if you'll pardon me, Team Fail.\Team Fail?\Did she do that on purpose?\She seriously thought that was our team name...\Huh?\What does graduating entail?\In short, it means you have completed your training\and will officially enter the GDF army. response:	The five of you will be graduating early.
context: Team Fail?\Did she do that on purpose?\She seriously thought that was our team name...\Huh?\What does graduating entail?\In short, it means you have completed your training\and will officially enter the GDF army.\The five of you will be graduating early. response:	Likewise, I will be transferring with you.
context: Did she do that on purpose?\She seriously thought that was our team name...\Huh?\What does graduating entail?\In short, it means you have completed your training\and will officially enter the GDF army.\The five of you will be graduating early.\Likewise, I will be transferring with you. response:	I will be the captain of the Godinion: your superior commander.
context: She seriously thought that was our team name...\Huh?\What does graduating entail?\In short, it means you have completed your training\and will officially enter the GDF army.\The five of you will be graduating early.\Likewise, I will be transferring with you.\I will be the captain of the Godinion: your superior commander. response:	Pack your belongings in your dorm rooms.
context: Huh?\What does graduating entail?\In short, it means you have completed your training\and will officially enter the GDF army.\The five of you will be graduating early.\Likewise, I will be transferring with you.\I will be the captain of the Godinion: your superior commander.\Pack your belongings in your dorm rooms. response:	You will return to Star Rose tomorrow
context: What does graduating entail?\In short, it means you have completed your training\and will officially enter the GDF army.\The five of you will be graduating early.\Likewise, I will be transferring with you.\I will be the captain of the Godinion: your superior commander.\Pack your belongings in your dorm rooms.\You will return to Star Rose tomorrow response:	and remain on standby until tomorrow's mission.
context: In short, it means you have completed your training\and will officially enter the GDF army.\The five of you will be graduating early.\Likewise, I will be transferring with you.\I will be the captain of the Godinion: your superior commander.\Pack your belongings in your dorm rooms.\You will return to Star Rose tomorrow\and remain on standby until tomorrow's mission. response:	Understood?
context: and will officially enter the GDF army.\The five of you will be graduating early.\Likewise, I will be transferring with you.\I will be the captain of the Godinion: your superior commander.\Pack your belongings in your dorm rooms.\You will return to Star Rose tomorrow\and remain on standby until tomorrow's mission.\Understood? response:	What Life Brought You
context: The five of you will be graduating early.\Likewise, I will be transferring with you.\I will be the captain of the Godinion: your superior commander.\Pack your belongings in your dorm rooms.\You will return to Star Rose tomorrow\and remain on standby until tomorrow's mission.\Understood?\What Life Brought You response:	Now they're rushing us through graduation?
context: Likewise, I will be transferring with you.\I will be the captain of the Godinion: your superior commander.\Pack your belongings in your dorm rooms.\You will return to Star Rose tomorrow\and remain on standby until tomorrow's mission.\Understood?\What Life Brought You\Now they're rushing us through graduation? response:	Guess that means, From now on,
context: I will be the captain of the Godinion: your superior commander.\Pack your belongings in your dorm rooms.\You will return to Star Rose tomorrow\and remain on standby until tomorrow's mission.\Understood?\What Life Brought You\Now they're rushing us through graduation?\Guess that means, From now on, response:	we can throw you into as many battles as we want! huh?
context: Pack your belongings in your dorm rooms.\You will return to Star Rose tomorrow\and remain on standby until tomorrow's mission.\Understood?\What Life Brought You\Now they're rushing us through graduation?\Guess that means, From now on,\we can throw you into as many battles as we want! huh? response:	Aren't you going to miss this place?
context: You will return to Star Rose tomorrow\and remain on standby until tomorrow's mission.\Understood?\What Life Brought You\Now they're rushing us through graduation?\Guess that means, From now on,\we can throw you into as many battles as we want! huh?\Aren't you going to miss this place? response:	I never dreamed I'd feel this way when I first came here...
context: and remain on standby until tomorrow's mission.\Understood?\What Life Brought You\Now they're rushing us through graduation?\Guess that means, From now on,\we can throw you into as many battles as we want! huh?\Aren't you going to miss this place?\I never dreamed I'd feel this way when I first came here... response:	We were practically thrown into the school.
context: Understood?\What Life Brought You\Now they're rushing us through graduation?\Guess that means, From now on,\we can throw you into as many battles as we want! huh?\Aren't you going to miss this place?\I never dreamed I'd feel this way when I first came here...\We were practically thrown into the school. response:	Boy was I shocked when I found out we were on the same team...
context: What Life Brought You\Now they're rushing us through graduation?\Guess that means, From now on,\we can throw you into as many battles as we want! huh?\Aren't you going to miss this place?\I never dreamed I'd feel this way when I first came here...\We were practically thrown into the school.\Boy was I shocked when I found out we were on the same team... response:	Now for the next team.
context: Now they're rushing us through graduation?\Guess that means, From now on,\we can throw you into as many battles as we want! huh?\Aren't you going to miss this place?\I never dreamed I'd feel this way when I first came here...\We were practically thrown into the school.\Boy was I shocked when I found out we were on the same team...\Now for the next team. response:	Toshikazu Asagi,
context: Guess that means, From now on,\we can throw you into as many battles as we want! huh?\Aren't you going to miss this place?\I never dreamed I'd feel this way when I first came here...\We were practically thrown into the school.\Boy was I shocked when I found out we were on the same team...\Now for the next team.\Toshikazu Asagi, response:	Ataru Suruga,
context: we can throw you into as many battles as we want! huh?\Aren't you going to miss this place?\I never dreamed I'd feel this way when I first came here...\We were practically thrown into the school.\Boy was I shocked when I found out we were on the same team...\Now for the next team.\Toshikazu Asagi,\Ataru Suruga, response:	Izuru Hitachi,
context: Aren't you going to miss this place?\I never dreamed I'd feel this way when I first came here...\We were practically thrown into the school.\Boy was I shocked when I found out we were on the same team...\Now for the next team.\Toshikazu Asagi,\Ataru Suruga,\Izuru Hitachi, response:	Kei Kugimiya,
context: I never dreamed I'd feel this way when I first came here...\We were practically thrown into the school.\Boy was I shocked when I found out we were on the same team...\Now for the next team.\Toshikazu Asagi,\Ataru Suruga,\Izuru Hitachi,\Kei Kugimiya, response:	and Tamaki Irie.
context: We were practically thrown into the school.\Boy was I shocked when I found out we were on the same team...\Now for the next team.\Toshikazu Asagi,\Ataru Suruga,\Izuru Hitachi,\Kei Kugimiya,\and Tamaki Irie. response:	Ma'am...
context: Boy was I shocked when I found out we were on the same team...\Now for the next team.\Toshikazu Asagi,\Ataru Suruga,\Izuru Hitachi,\Kei Kugimiya,\and Tamaki Irie.\Ma'am... response:	Yes?
context: Now for the next team.\Toshikazu Asagi,\Ataru Suruga,\Izuru Hitachi,\Kei Kugimiya,\and Tamaki Irie.\Ma'am...\Yes? response:	Everyone is younger than me...
context: Toshikazu Asagi,\Ataru Suruga,\Izuru Hitachi,\Kei Kugimiya,\and Tamaki Irie.\Ma'am...\Yes?\Everyone is younger than me... response:	Is that a problem?
context: Ataru Suruga,\Izuru Hitachi,\Kei Kugimiya,\and Tamaki Irie.\Ma'am...\Yes?\Everyone is younger than me...\Is that a problem? response:	So if you have any questions, please feel free to ask.
context: Izuru Hitachi,\Kei Kugimiya,\and Tamaki Irie.\Ma'am...\Yes?\Everyone is younger than me...\Is that a problem?\So if you have any questions, please feel free to ask. response:	Come to think of it, Suruga, didn't you start out pretty quiet?
context: Kei Kugimiya,\and Tamaki Irie.\Ma'am...\Yes?\Everyone is younger than me...\Is that a problem?\So if you have any questions, please feel free to ask.\Come to think of it, Suruga, didn't you start out pretty quiet? response:	I had no idea what to talk about!
context: and Tamaki Irie.\Ma'am...\Yes?\Everyone is younger than me...\Is that a problem?\So if you have any questions, please feel free to ask.\Come to think of it, Suruga, didn't you start out pretty quiet?\I had no idea what to talk about! response:	Our memories had just been wiped.
context: Ma'am...\Yes?\Everyone is younger than me...\Is that a problem?\So if you have any questions, please feel free to ask.\Come to think of it, Suruga, didn't you start out pretty quiet?\I had no idea what to talk about!\Our memories had just been wiped. response:	True enough.
context: Yes?\Everyone is younger than me...\Is that a problem?\So if you have any questions, please feel free to ask.\Come to think of it, Suruga, didn't you start out pretty quiet?\I had no idea what to talk about!\Our memories had just been wiped.\True enough. response:	Aside from class and the weather, there was nothing to talk about.
context: Everyone is younger than me...\Is that a problem?\So if you have any questions, please feel free to ask.\Come to think of it, Suruga, didn't you start out pretty quiet?\I had no idea what to talk about!\Our memories had just been wiped.\True enough.\Aside from class and the weather, there was nothing to talk about. response:	Whoo, class!
context: Is that a problem?\So if you have any questions, please feel free to ask.\Come to think of it, Suruga, didn't you start out pretty quiet?\I had no idea what to talk about!\Our memories had just been wiped.\True enough.\Aside from class and the weather, there was nothing to talk about.\Whoo, class! response:	Team Rabbits, you have excellent offensive capabilities and mobility,
context: So if you have any questions, please feel free to ask.\Come to think of it, Suruga, didn't you start out pretty quiet?\I had no idea what to talk about!\Our memories had just been wiped.\True enough.\Aside from class and the weather, there was nothing to talk about.\Whoo, class!\Team Rabbits, you have excellent offensive capabilities and mobility, response:	but you're getting E's in cooperation, concentration and operational stability!
context: Come to think of it, Suruga, didn't you start out pretty quiet?\I had no idea what to talk about!\Our memories had just been wiped.\True enough.\Aside from class and the weather, there was nothing to talk about.\Whoo, class!\Team Rabbits, you have excellent offensive capabilities and mobility,\but you're getting E's in cooperation, concentration and operational stability! response:	Cooperation is an outright E-!
context: I had no idea what to talk about!\Our memories had just been wiped.\True enough.\Aside from class and the weather, there was nothing to talk about.\Whoo, class!\Team Rabbits, you have excellent offensive capabilities and mobility,\but you're getting E's in cooperation, concentration and operational stability!\Cooperation is an outright E-! response:	That'd give her a fairly large cup size...
context: Our memories had just been wiped.\True enough.\Aside from class and the weather, there was nothing to talk about.\Whoo, class!\Team Rabbits, you have excellent offensive capabilities and mobility,\but you're getting E's in cooperation, concentration and operational stability!\Cooperation is an outright E-!\That'd give her a fairly large cup size... response:	What are you talking about?
context: True enough.\Aside from class and the weather, there was nothing to talk about.\Whoo, class!\Team Rabbits, you have excellent offensive capabilities and mobility,\but you're getting E's in cooperation, concentration and operational stability!\Cooperation is an outright E-!\That'd give her a fairly large cup size...\What are you talking about? response:	An F would have been even better yet.
context: Aside from class and the weather, there was nothing to talk about.\Whoo, class!\Team Rabbits, you have excellent offensive capabilities and mobility,\but you're getting E's in cooperation, concentration and operational stability!\Cooperation is an outright E-!\That'd give her a fairly large cup size...\What are you talking about?\An F would have been even better yet. response:	E is the lowest grade you can get!
context: Whoo, class!\Team Rabbits, you have excellent offensive capabilities and mobility,\but you're getting E's in cooperation, concentration and operational stability!\Cooperation is an outright E-!\That'd give her a fairly large cup size...\What are you talking about?\An F would have been even better yet.\E is the lowest grade you can get! response:	Uh, guys...!
