context: Hey, are you the bastards trying to make a power grab around here lately? response:	Akura-oh and Tomoe, I believe it was.
context: Because there's no limit to my love\Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention response:	You're not paying attention
context: Spinning around, around, around the world\Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention response:	Sometimes love keeps being one-sided
context: Spinning around, around, around the world\I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided response:	Sometimes love keeps being one-sided
context: I want to tell you that I love you, even if it confuses me\I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided response:	It's gotten so hopelessly complex
context: I want to tell you that I love you, even if it confuses me\Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex response:	It's gotten so hopelessly complex
context: Bam, bam, bam\Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex response:	But I'll make it all true with a miracle
context: Bam, bam, bam\You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle response:	But I'll make it all true with a miracle
context: You're not paying attention\You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle response:	Hey, God,
context: You're not paying attention\Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God, response:	Hey, God,
context: Sometimes love keeps being one-sided\Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God, response:	I'm your god
context: Sometimes love keeps being one-sided\It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god response:	I'm your god
context: It's gotten so hopelessly complex\It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god response:	I think
context: It's gotten so hopelessly complex\But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think response:	I think
context: But I'll make it all true with a miracle\But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think response:	Ah! I fell asleep writing talismans!
context: But I'll make it all true with a miracle\Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\Ah! I fell asleep writing talismans! response:	That is what you get for writing so many!
context: Hey, God,\Hey, God,\I'm your god\I'm your god\I think\I think\Ah! I fell asleep writing talismans!\That is what you get for writing so many! response:	World Peace
context: Hey, God,\I'm your god\I'm your god\I think\I think\Ah! I fell asleep writing talismans!\That is what you get for writing so many!\World Peace response:	Isn't this a little unreasonable?
context: I'm your god\I'm your god\I think\I think\Ah! I fell asleep writing talismans!\That is what you get for writing so many!\World Peace\Isn't this a little unreasonable? response:	Oh, I'm going to be late!
context: I'm your god\I think\I think\Ah! I fell asleep writing talismans!\That is what you get for writing so many!\World Peace\Isn't this a little unreasonable?\Oh, I'm going to be late! response:	Momozono Nanami is a high school student.
context: I think\I think\Ah! I fell asleep writing talismans!\That is what you get for writing so many!\World Peace\Isn't this a little unreasonable?\Oh, I'm going to be late!\Momozono Nanami is a high school student. response:	When her father ran away and left her without a place to live,
context: I think\Ah! I fell asleep writing talismans!\That is what you get for writing so many!\World Peace\Isn't this a little unreasonable?\Oh, I'm going to be late!\Momozono Nanami is a high school student.\When her father ran away and left her without a place to live, response:	she went to the park and met Mikage the land god there by chance,
context: Ah! I fell asleep writing talismans!\That is what you get for writing so many!\World Peace\Isn't this a little unreasonable?\Oh, I'm going to be late!\Momozono Nanami is a high school student.\When her father ran away and left her without a place to live,\she went to the park and met Mikage the land god there by chance, response:	who made her the god of his former shrine, saddling her with all the responsibilities that came with the position.
context: That is what you get for writing so many!\World Peace\Isn't this a little unreasonable?\Oh, I'm going to be late!\Momozono Nanami is a high school student.\When her father ran away and left her without a place to live,\she went to the park and met Mikage the land god there by chance,\who made her the god of his former shrine, saddling her with all the responsibilities that came with the position. response:	Oh, wait!
context: World Peace\Isn't this a little unreasonable?\Oh, I'm going to be late!\Momozono Nanami is a high school student.\When her father ran away and left her without a place to live,\she went to the park and met Mikage the land god there by chance,\who made her the god of his former shrine, saddling her with all the responsibilities that came with the position.\Oh, wait! response:	Oh, wait!
context: Isn't this a little unreasonable?\Oh, I'm going to be late!\Momozono Nanami is a high school student.\When her father ran away and left her without a place to live,\she went to the park and met Mikage the land god there by chance,\who made her the god of his former shrine, saddling her with all the responsibilities that came with the position.\Oh, wait!\Oh, wait! response:	Honk
context: Oh, I'm going to be late!\Momozono Nanami is a high school student.\When her father ran away and left her without a place to live,\she went to the park and met Mikage the land god there by chance,\who made her the god of his former shrine, saddling her with all the responsibilities that came with the position.\Oh, wait!\Oh, wait!\Honk response:	Honk
context: Momozono Nanami is a high school student.\When her father ran away and left her without a place to live,\she went to the park and met Mikage the land god there by chance,\who made her the god of his former shrine, saddling her with all the responsibilities that came with the position.\Oh, wait!\Oh, wait!\Honk\Honk response:	With the help of her familiars, Tomoe and Mizuki,
context: When her father ran away and left her without a place to live,\she went to the park and met Mikage the land god there by chance,\who made her the god of his former shrine, saddling her with all the responsibilities that came with the position.\Oh, wait!\Oh, wait!\Honk\Honk\With the help of her familiars, Tomoe and Mizuki, response:	and the will-o'-the-wisps, Onikiri and Kotetsu, who serve as shrine spirits,
context: she went to the park and met Mikage the land god there by chance,\who made her the god of his former shrine, saddling her with all the responsibilities that came with the position.\Oh, wait!\Oh, wait!\Honk\Honk\With the help of her familiars, Tomoe and Mizuki,\and the will-o'-the-wisps, Onikiri and Kotetsu, who serve as shrine spirits, response:	Nanami came to live the life of a god,
context: who made her the god of his former shrine, saddling her with all the responsibilities that came with the position.\Oh, wait!\Oh, wait!\Honk\Honk\With the help of her familiars, Tomoe and Mizuki,\and the will-o'-the-wisps, Onikiri and Kotetsu, who serve as shrine spirits,\Nanami came to live the life of a god, response:	but there was just one problem.
context: Oh, wait!\Oh, wait!\Honk\Honk\With the help of her familiars, Tomoe and Mizuki,\and the will-o'-the-wisps, Onikiri and Kotetsu, who serve as shrine spirits,\Nanami came to live the life of a god,\but there was just one problem. response:	The new term starts tomorrow.
context: Oh, wait!\Honk\Honk\With the help of her familiars, Tomoe and Mizuki,\and the will-o'-the-wisps, Onikiri and Kotetsu, who serve as shrine spirits,\Nanami came to live the life of a god,\but there was just one problem.\The new term starts tomorrow. response:	The new term starts tomorrow.
context: Honk\Honk\With the help of her familiars, Tomoe and Mizuki,\and the will-o'-the-wisps, Onikiri and Kotetsu, who serve as shrine spirits,\Nanami came to live the life of a god,\but there was just one problem.\The new term starts tomorrow.\The new term starts tomorrow. response:	You hasty fool.
context: Honk\With the help of her familiars, Tomoe and Mizuki,\and the will-o'-the-wisps, Onikiri and Kotetsu, who serve as shrine spirits,\Nanami came to live the life of a god,\but there was just one problem.\The new term starts tomorrow.\The new term starts tomorrow.\You hasty fool. response:	You hasty fool.
context: With the help of her familiars, Tomoe and Mizuki,\and the will-o'-the-wisps, Onikiri and Kotetsu, who serve as shrine spirits,\Nanami came to live the life of a god,\but there was just one problem.\The new term starts tomorrow.\The new term starts tomorrow.\You hasty fool.\You hasty fool. response:	What?
context: and the will-o'-the-wisps, Onikiri and Kotetsu, who serve as shrine spirits,\Nanami came to live the life of a god,\but there was just one problem.\The new term starts tomorrow.\The new term starts tomorrow.\You hasty fool.\You hasty fool.\What? response:	What?
context: Nanami came to live the life of a god,\but there was just one problem.\The new term starts tomorrow.\The new term starts tomorrow.\You hasty fool.\You hasty fool.\What?\What? response:	She had fallen in love with Tomoe, her familiar.
context: but there was just one problem.\The new term starts tomorrow.\The new term starts tomorrow.\You hasty fool.\You hasty fool.\What?\What?\She had fallen in love with Tomoe, her familiar. response:	I' ve Started the' Being a God' Thing Again
context: The new term starts tomorrow.\The new term starts tomorrow.\You hasty fool.\You hasty fool.\What?\What?\She had fallen in love with Tomoe, her familiar.\I' ve Started the' Being a God' Thing Again response:	I'm just gonna sleep today.
context: The new term starts tomorrow.\You hasty fool.\You hasty fool.\What?\What?\She had fallen in love with Tomoe, her familiar.\I' ve Started the' Being a God' Thing Again\I'm just gonna sleep today. response:	Why am I all nervous? And why'd I reflexively get up?
context: You hasty fool.\You hasty fool.\What?\What?\She had fallen in love with Tomoe, her familiar.\I' ve Started the' Being a God' Thing Again\I'm just gonna sleep today.\Why am I all nervous? And why'd I reflexively get up? response:	Oh, come to think of it...
context: You hasty fool.\What?\What?\She had fallen in love with Tomoe, her familiar.\I' ve Started the' Being a God' Thing Again\I'm just gonna sleep today.\Why am I all nervous? And why'd I reflexively get up?\Oh, come to think of it... response:	I've heard that Lord Mikage's avatar is the butterfly.
context: What?\What?\She had fallen in love with Tomoe, her familiar.\I' ve Started the' Being a God' Thing Again\I'm just gonna sleep today.\Why am I all nervous? And why'd I reflexively get up?\Oh, come to think of it...\I've heard that Lord Mikage's avatar is the butterfly. response:	Avatar?
context: What?\She had fallen in love with Tomoe, her familiar.\I' ve Started the' Being a God' Thing Again\I'm just gonna sleep today.\Why am I all nervous? And why'd I reflexively get up?\Oh, come to think of it...\I've heard that Lord Mikage's avatar is the butterfly.\Avatar? response:	Each god has the ability to dwell in a particular vessel.
context: She had fallen in love with Tomoe, her familiar.\I' ve Started the' Being a God' Thing Again\I'm just gonna sleep today.\Why am I all nervous? And why'd I reflexively get up?\Oh, come to think of it...\I've heard that Lord Mikage's avatar is the butterfly.\Avatar?\Each god has the ability to dwell in a particular vessel. response:	In Lady Yonomori's case, it was plum blossoms.
context: I' ve Started the' Being a God' Thing Again\I'm just gonna sleep today.\Why am I all nervous? And why'd I reflexively get up?\Oh, come to think of it...\I've heard that Lord Mikage's avatar is the butterfly.\Avatar?\Each god has the ability to dwell in a particular vessel.\In Lady Yonomori's case, it was plum blossoms. response:	And Lord Mikage has...
context: I'm just gonna sleep today.\Why am I all nervous? And why'd I reflexively get up?\Oh, come to think of it...\I've heard that Lord Mikage's avatar is the butterfly.\Avatar?\Each god has the ability to dwell in a particular vessel.\In Lady Yonomori's case, it was plum blossoms.\And Lord Mikage has... response:	the butterfly.
context: Why am I all nervous? And why'd I reflexively get up?\Oh, come to think of it...\I've heard that Lord Mikage's avatar is the butterfly.\Avatar?\Each god has the ability to dwell in a particular vessel.\In Lady Yonomori's case, it was plum blossoms.\And Lord Mikage has...\the butterfly. response:	Tomoe...
context: Oh, come to think of it...\I've heard that Lord Mikage's avatar is the butterfly.\Avatar?\Each god has the ability to dwell in a particular vessel.\In Lady Yonomori's case, it was plum blossoms.\And Lord Mikage has...\the butterfly.\Tomoe... response:	I wonder if he...
context: I've heard that Lord Mikage's avatar is the butterfly.\Avatar?\Each god has the ability to dwell in a particular vessel.\In Lady Yonomori's case, it was plum blossoms.\And Lord Mikage has...\the butterfly.\Tomoe...\I wonder if he... response:	misses Mikage.
context: Avatar?\Each god has the ability to dwell in a particular vessel.\In Lady Yonomori's case, it was plum blossoms.\And Lord Mikage has...\the butterfly.\Tomoe...\I wonder if he...\misses Mikage. response:	Hey, girl, long time no see!
context: Each god has the ability to dwell in a particular vessel.\In Lady Yonomori's case, it was plum blossoms.\And Lord Mikage has...\the butterfly.\Tomoe...\I wonder if he...\misses Mikage.\Hey, girl, long time no see! response:	The he-she guy!
context: In Lady Yonomori's case, it was plum blossoms.\And Lord Mikage has...\the butterfly.\Tomoe...\I wonder if he...\misses Mikage.\Hey, girl, long time no see!\The he-she guy! response:	Who are you calling he-she?!
context: And Lord Mikage has...\the butterfly.\Tomoe...\I wonder if he...\misses Mikage.\Hey, girl, long time no see!\The he-she guy!\Who are you calling he-she?! response:	He is Otohikogami the wind god.
context: the butterfly.\Tomoe...\I wonder if he...\misses Mikage.\Hey, girl, long time no see!\The he-she guy!\Who are you calling he-she?!\He is Otohikogami the wind god. response:	Thanks for the intro.
context: Tomoe...\I wonder if he...\misses Mikage.\Hey, girl, long time no see!\The he-she guy!\Who are you calling he-she?!\He is Otohikogami the wind god.\Thanks for the intro. response:	I haven't seen you since the ritual dance.
context: I wonder if he...\misses Mikage.\Hey, girl, long time no see!\The he-she guy!\Who are you calling he-she?!\He is Otohikogami the wind god.\Thanks for the intro.\I haven't seen you since the ritual dance. response:	I came to see your festival. However...
context: misses Mikage.\Hey, girl, long time no see!\The he-she guy!\Who are you calling he-she?!\He is Otohikogami the wind god.\Thanks for the intro.\I haven't seen you since the ritual dance.\I came to see your festival. However... response:	Well, it wasn't bad,
context: Hey, girl, long time no see!\The he-she guy!\Who are you calling he-she?!\He is Otohikogami the wind god.\Thanks for the intro.\I haven't seen you since the ritual dance.\I came to see your festival. However...\Well, it wasn't bad, response:	but I can't accept you just yet.
context: The he-she guy!\Who are you calling he-she?!\He is Otohikogami the wind god.\Thanks for the intro.\I haven't seen you since the ritual dance.\I came to see your festival. However...\Well, it wasn't bad,\but I can't accept you just yet. response:	What?
context: Who are you calling he-she?!\He is Otohikogami the wind god.\Thanks for the intro.\I haven't seen you since the ritual dance.\I came to see your festival. However...\Well, it wasn't bad,\but I can't accept you just yet.\What? response:	You are being circuitous, Lord Otohiko.
context: He is Otohikogami the wind god.\Thanks for the intro.\I haven't seen you since the ritual dance.\I came to see your festival. However...\Well, it wasn't bad,\but I can't accept you just yet.\What?\You are being circuitous, Lord Otohiko. response:	Have you not come to deliver the summons from Izumo?
context: Thanks for the intro.\I haven't seen you since the ritual dance.\I came to see your festival. However...\Well, it wasn't bad,\but I can't accept you just yet.\What?\You are being circuitous, Lord Otohiko.\Have you not come to deliver the summons from Izumo? response:	I have! Oh, Tomoe, it's been so long!
context: I haven't seen you since the ritual dance.\I came to see your festival. However...\Well, it wasn't bad,\but I can't accept you just yet.\What?\You are being circuitous, Lord Otohiko.\Have you not come to deliver the summons from Izumo?\I have! Oh, Tomoe, it's been so long! response:	Okay, clink.
context: I came to see your festival. However...\Well, it wasn't bad,\but I can't accept you just yet.\What?\You are being circuitous, Lord Otohiko.\Have you not come to deliver the summons from Izumo?\I have! Oh, Tomoe, it's been so long!\Okay, clink. response:	Every year, for one week in October, gods from all across the country gather at Izumo for a meeting.
context: Well, it wasn't bad,\but I can't accept you just yet.\What?\You are being circuitous, Lord Otohiko.\Have you not come to deliver the summons from Izumo?\I have! Oh, Tomoe, it's been so long!\Okay, clink.\Every year, for one week in October, gods from all across the country gather at Izumo for a meeting. response:	With Mikage gone, there's one vacant seat, right?
context: but I can't accept you just yet.\What?\You are being circuitous, Lord Otohiko.\Have you not come to deliver the summons from Izumo?\I have! Oh, Tomoe, it's been so long!\Okay, clink.\Every year, for one week in October, gods from all across the country gather at Izumo for a meeting.\With Mikage gone, there's one vacant seat, right? response:	So...
context: What?\You are being circuitous, Lord Otohiko.\Have you not come to deliver the summons from Izumo?\I have! Oh, Tomoe, it's been so long!\Okay, clink.\Every year, for one week in October, gods from all across the country gather at Izumo for a meeting.\With Mikage gone, there's one vacant seat, right?\So... response:	We got to talking about inviting you as his successor,
context: You are being circuitous, Lord Otohiko.\Have you not come to deliver the summons from Izumo?\I have! Oh, Tomoe, it's been so long!\Okay, clink.\Every year, for one week in October, gods from all across the country gather at Izumo for a meeting.\With Mikage gone, there's one vacant seat, right?\So...\We got to talking about inviting you as his successor, response:	but even as a human god, you're lacking in skills, right?
context: Have you not come to deliver the summons from Izumo?\I have! Oh, Tomoe, it's been so long!\Okay, clink.\Every year, for one week in October, gods from all across the country gather at Izumo for a meeting.\With Mikage gone, there's one vacant seat, right?\So...\We got to talking about inviting you as his successor,\but even as a human god, you're lacking in skills, right? response:	We debated it quite a bit up there.
context: I have! Oh, Tomoe, it's been so long!\Okay, clink.\Every year, for one week in October, gods from all across the country gather at Izumo for a meeting.\With Mikage gone, there's one vacant seat, right?\So...\We got to talking about inviting you as his successor,\but even as a human god, you're lacking in skills, right?\We debated it quite a bit up there. response:	It may have been rushed, but you are the god of Mikage Shrine now,
context: Okay, clink.\Every year, for one week in October, gods from all across the country gather at Izumo for a meeting.\With Mikage gone, there's one vacant seat, right?\So...\We got to talking about inviting you as his successor,\but even as a human god, you're lacking in skills, right?\We debated it quite a bit up there.\It may have been rushed, but you are the god of Mikage Shrine now, response:	so, well...
context: Every year, for one week in October, gods from all across the country gather at Izumo for a meeting.\With Mikage gone, there's one vacant seat, right?\So...\We got to talking about inviting you as his successor,\but even as a human god, you're lacking in skills, right?\We debated it quite a bit up there.\It may have been rushed, but you are the god of Mikage Shrine now,\so, well... response:	We decided that you may attend if you can pass a test.
context: With Mikage gone, there's one vacant seat, right?\So...\We got to talking about inviting you as his successor,\but even as a human god, you're lacking in skills, right?\We debated it quite a bit up there.\It may have been rushed, but you are the god of Mikage Shrine now,\so, well...\We decided that you may attend if you can pass a test. response:	Attending the Divine Assembly would be huge for you, so try not to screw this up.
