context: Sign: Vampire Fanclub response:	Sign: Public Safety Commission
context: But we'll definitely pay...!\Mom!\Help!\This is really boring.\Let's slack off like this then.\I agree totally.\Students who are not serious shall be punished in the name of justice!\The Public Safety Commission! response:	T-This is bad!
context: Mom!\Help!\This is really boring.\Let's slack off like this then.\I agree totally.\Students who are not serious shall be punished in the name of justice!\The Public Safety Commission!\T-This is bad! response:	Run for it!
context: Help!\This is really boring.\Let's slack off like this then.\I agree totally.\Students who are not serious shall be punished in the name of justice!\The Public Safety Commission!\T-This is bad!\Run for it! response:	So this is how the Newspaper Club gathered evidence against the Public Safety Commission's tyranny.
context: This is really boring.\Let's slack off like this then.\I agree totally.\Students who are not serious shall be punished in the name of justice!\The Public Safety Commission!\T-This is bad!\Run for it!\So this is how the Newspaper Club gathered evidence against the Public Safety Commission's tyranny. response:	Just as the rumors say, they really do whatever they want.
context: Let's slack off like this then.\I agree totally.\Students who are not serious shall be punished in the name of justice!\The Public Safety Commission!\T-This is bad!\Run for it!\So this is how the Newspaper Club gathered evidence against the Public Safety Commission's tyranny.\Just as the rumors say, they really do whatever they want. response:	All that's left is to gather evidence from the victims themselves.
context: I agree totally.\Students who are not serious shall be punished in the name of justice!\The Public Safety Commission!\T-This is bad!\Run for it!\So this is how the Newspaper Club gathered evidence against the Public Safety Commission's tyranny.\Just as the rumors say, they really do whatever they want.\All that's left is to gather evidence from the victims themselves. response:	But then, even if we were to go and ask them, they probably won't help.
context: Students who are not serious shall be punished in the name of justice!\The Public Safety Commission!\T-This is bad!\Run for it!\So this is how the Newspaper Club gathered evidence against the Public Safety Commission's tyranny.\Just as the rumors say, they really do whatever they want.\All that's left is to gather evidence from the victims themselves.\But then, even if we were to go and ask them, they probably won't help. response:	They're all afraid of retaliation.
context: The Public Safety Commission!\T-This is bad!\Run for it!\So this is how the Newspaper Club gathered evidence against the Public Safety Commission's tyranny.\Just as the rumors say, they really do whatever they want.\All that's left is to gather evidence from the victims themselves.\But then, even if we were to go and ask them, they probably won't help.\They're all afraid of retaliation. response:	But at this rate, we can only put out a half-completed article.
context: T-This is bad!\Run for it!\So this is how the Newspaper Club gathered evidence against the Public Safety Commission's tyranny.\Just as the rumors say, they really do whatever they want.\All that's left is to gather evidence from the victims themselves.\But then, even if we were to go and ask them, they probably won't help.\They're all afraid of retaliation.\But at this rate, we can only put out a half-completed article. response:	We'll have to try to find informants.
context: Run for it!\So this is how the Newspaper Club gathered evidence against the Public Safety Commission's tyranny.\Just as the rumors say, they really do whatever they want.\All that's left is to gather evidence from the victims themselves.\But then, even if we were to go and ask them, they probably won't help.\They're all afraid of retaliation.\But at this rate, we can only put out a half-completed article.\We'll have to try to find informants. response:	I've already found one.
context: So this is how the Newspaper Club gathered evidence against the Public Safety Commission's tyranny.\Just as the rumors say, they really do whatever they want.\All that's left is to gather evidence from the victims themselves.\But then, even if we were to go and ask them, they probably won't help.\They're all afraid of retaliation.\But at this rate, we can only put out a half-completed article.\We'll have to try to find informants.\I've already found one. response:	M-Mizore-chan, when did you...
context: Just as the rumors say, they really do whatever they want.\All that's left is to gather evidence from the victims themselves.\But then, even if we were to go and ask them, they probably won't help.\They're all afraid of retaliation.\But at this rate, we can only put out a half-completed article.\We'll have to try to find informants.\I've already found one.\M-Mizore-chan, when did you... response:	The way you call me... is nice.
context: All that's left is to gather evidence from the victims themselves.\But then, even if we were to go and ask them, they probably won't help.\They're all afraid of retaliation.\But at this rate, we can only put out a half-completed article.\We'll have to try to find informants.\I've already found one.\M-Mizore-chan, when did you...\The way you call me... is nice. response:	Anyway, what did you find?
context: But then, even if we were to go and ask them, they probably won't help.\They're all afraid of retaliation.\But at this rate, we can only put out a half-completed article.\We'll have to try to find informants.\I've already found one.\M-Mizore-chan, when did you...\The way you call me... is nice.\Anyway, what did you find? response:	An informant.
context: They're all afraid of retaliation.\But at this rate, we can only put out a half-completed article.\We'll have to try to find informants.\I've already found one.\M-Mizore-chan, when did you...\The way you call me... is nice.\Anyway, what did you find?\An informant. response:	Eh?!
context: But at this rate, we can only put out a half-completed article.\We'll have to try to find informants.\I've already found one.\M-Mizore-chan, when did you...\The way you call me... is nice.\Anyway, what did you find?\An informant.\Eh?! response:	A club that can't pay the tribute and is about to crumble,
context: We'll have to try to find informants.\I've already found one.\M-Mizore-chan, when did you...\The way you call me... is nice.\Anyway, what did you find?\An informant.\Eh?!\A club that can't pay the tribute and is about to crumble, response:	I spoke to them.
context: I've already found one.\M-Mizore-chan, when did you...\The way you call me... is nice.\Anyway, what did you find?\An informant.\Eh?!\A club that can't pay the tribute and is about to crumble,\I spoke to them. response:	Who the heck is that woman?
context: M-Mizore-chan, when did you...\The way you call me... is nice.\Anyway, what did you find?\An informant.\Eh?!\A club that can't pay the tribute and is about to crumble,\I spoke to them.\Who the heck is that woman? response:	She looks a little cute though.
context: The way you call me... is nice.\Anyway, what did you find?\An informant.\Eh?!\A club that can't pay the tribute and is about to crumble,\I spoke to them.\Who the heck is that woman?\She looks a little cute though. response:	But she sends a chill down my spine.
context: Anyway, what did you find?\An informant.\Eh?!\A club that can't pay the tribute and is about to crumble,\I spoke to them.\Who the heck is that woman?\She looks a little cute though.\But she sends a chill down my spine. response:	Hey.
context: An informant.\Eh?!\A club that can't pay the tribute and is about to crumble,\I spoke to them.\Who the heck is that woman?\She looks a little cute though.\But she sends a chill down my spine.\Hey. response:	S-She's still looking at us...
context: Eh?!\A club that can't pay the tribute and is about to crumble,\I spoke to them.\Who the heck is that woman?\She looks a little cute though.\But she sends a chill down my spine.\Hey.\S-She's still looking at us... response:	Even though I can't see her, this chill is unmistakable.
context: A club that can't pay the tribute and is about to crumble,\I spoke to them.\Who the heck is that woman?\She looks a little cute though.\But she sends a chill down my spine.\Hey.\S-She's still looking at us...\Even though I can't see her, this chill is unmistakable. response:	Hey.
context: I spoke to them.\Who the heck is that woman?\She looks a little cute though.\But she sends a chill down my spine.\Hey.\S-She's still looking at us...\Even though I can't see her, this chill is unmistakable.\Hey. response:	YES!
context: Who the heck is that woman?\She looks a little cute though.\But she sends a chill down my spine.\Hey.\S-She's still looking at us...\Even though I can't see her, this chill is unmistakable.\Hey.\YES! response:	Tell me about the Public Safety Commission.
context: She looks a little cute though.\But she sends a chill down my spine.\Hey.\S-She's still looking at us...\Even though I can't see her, this chill is unmistakable.\Hey.\YES!\Tell me about the Public Safety Commission. response:	P-Public Safety Commission?!
context: But she sends a chill down my spine.\Hey.\S-She's still looking at us...\Even though I can't see her, this chill is unmistakable.\Hey.\YES!\Tell me about the Public Safety Commission.\P-Public Safety Commission?! response:	W-We don't know anything about it!
context: Hey.\S-She's still looking at us...\Even though I can't see her, this chill is unmistakable.\Hey.\YES!\Tell me about the Public Safety Commission.\P-Public Safety Commission?!\W-We don't know anything about it! response:	Is that the truth?
context: S-She's still looking at us...\Even though I can't see her, this chill is unmistakable.\Hey.\YES!\Tell me about the Public Safety Commission.\P-Public Safety Commission?!\W-We don't know anything about it!\Is that the truth? response:	If you guys were to lie to me...
context: Even though I can't see her, this chill is unmistakable.\Hey.\YES!\Tell me about the Public Safety Commission.\P-Public Safety Commission?!\W-We don't know anything about it!\Is that the truth?\If you guys were to lie to me... response:	I will stalk and freeze you all.
context: Hey.\YES!\Tell me about the Public Safety Commission.\P-Public Safety Commission?!\W-We don't know anything about it!\Is that the truth?\If you guys were to lie to me...\I will stalk and freeze you all. response:	She's scary!
context: YES!\Tell me about the Public Safety Commission.\P-Public Safety Commission?!\W-We don't know anything about it!\Is that the truth?\If you guys were to lie to me...\I will stalk and freeze you all.\She's scary! response:	I'm going to freeze to death!
context: Tell me about the Public Safety Commission.\P-Public Safety Commission?!\W-We don't know anything about it!\Is that the truth?\If you guys were to lie to me...\I will stalk and freeze you all.\She's scary!\I'm going to freeze to death! response:	So that's what happened.
context: P-Public Safety Commission?!\W-We don't know anything about it!\Is that the truth?\If you guys were to lie to me...\I will stalk and freeze you all.\She's scary!\I'm going to freeze to death!\So that's what happened. response:	Umm...
context: W-We don't know anything about it!\Is that the truth?\If you guys were to lie to me...\I will stalk and freeze you all.\She's scary!\I'm going to freeze to death!\So that's what happened.\Umm... response:	That was a great help, Shirayuki-san.
context: Is that the truth?\If you guys were to lie to me...\I will stalk and freeze you all.\She's scary!\I'm going to freeze to death!\So that's what happened.\Umm...\That was a great help, Shirayuki-san. response:	Those guys are superior in stalking but once they're the targets, they can't take it.
context: If you guys were to lie to me...\I will stalk and freeze you all.\She's scary!\I'm going to freeze to death!\So that's what happened.\Umm...\That was a great help, Shirayuki-san.\Those guys are superior in stalking but once they're the targets, they can't take it. response:	Excuse me...
context: I will stalk and freeze you all.\She's scary!\I'm going to freeze to death!\So that's what happened.\Umm...\That was a great help, Shirayuki-san.\Those guys are superior in stalking but once they're the targets, they can't take it.\Excuse me... response:	Sorry for intruding.
context: She's scary!\I'm going to freeze to death!\So that's what happened.\Umm...\That was a great help, Shirayuki-san.\Those guys are superior in stalking but once they're the targets, they can't take it.\Excuse me...\Sorry for intruding. response:	Anything I can do for you guys?
context: I'm going to freeze to death!\So that's what happened.\Umm...\That was a great help, Shirayuki-san.\Those guys are superior in stalking but once they're the targets, they can't take it.\Excuse me...\Sorry for intruding.\Anything I can do for you guys? response:	Do you know the guys from the Fanclub Alliance?
context: So that's what happened.\Umm...\That was a great help, Shirayuki-san.\Those guys are superior in stalking but once they're the targets, they can't take it.\Excuse me...\Sorry for intruding.\Anything I can do for you guys?\Do you know the guys from the Fanclub Alliance? response:	Oh, those guys were taken away by the Public Safety Commission-
context: Umm...\That was a great help, Shirayuki-san.\Those guys are superior in stalking but once they're the targets, they can't take it.\Excuse me...\Sorry for intruding.\Anything I can do for you guys?\Do you know the guys from the Fanclub Alliance?\Oh, those guys were taken away by the Public Safety Commission- response:	Hey!
context: That was a great help, Shirayuki-san.\Those guys are superior in stalking but once they're the targets, they can't take it.\Excuse me...\Sorry for intruding.\Anything I can do for you guys?\Do you know the guys from the Fanclub Alliance?\Oh, those guys were taken away by the Public Safety Commission-\Hey! response:	I-I don't know anything about it!
context: Those guys are superior in stalking but once they're the targets, they can't take it.\Excuse me...\Sorry for intruding.\Anything I can do for you guys?\Do you know the guys from the Fanclub Alliance?\Oh, those guys were taken away by the Public Safety Commission-\Hey!\I-I don't know anything about it! response:	Wait a minute!
context: Excuse me...\Sorry for intruding.\Anything I can do for you guys?\Do you know the guys from the Fanclub Alliance?\Oh, those guys were taken away by the Public Safety Commission-\Hey!\I-I don't know anything about it!\Wait a minute! response:	The Public Safety Commission?
context: Sorry for intruding.\Anything I can do for you guys?\Do you know the guys from the Fanclub Alliance?\Oh, those guys were taken away by the Public Safety Commission-\Hey!\I-I don't know anything about it!\Wait a minute!\The Public Safety Commission? response:	What do you mean by that?
context: Anything I can do for you guys?\Do you know the guys from the Fanclub Alliance?\Oh, those guys were taken away by the Public Safety Commission-\Hey!\I-I don't know anything about it!\Wait a minute!\The Public Safety Commission?\What do you mean by that? response:	Enough of this, go back already!
context: Do you know the guys from the Fanclub Alliance?\Oh, those guys were taken away by the Public Safety Commission-\Hey!\I-I don't know anything about it!\Wait a minute!\The Public Safety Commission?\What do you mean by that?\Enough of this, go back already! response:	This has nothing to do with us!
context: Oh, those guys were taken away by the Public Safety Commission-\Hey!\I-I don't know anything about it!\Wait a minute!\The Public Safety Commission?\What do you mean by that?\Enough of this, go back already!\This has nothing to do with us! response:	Excuse me.
context: Hey!\I-I don't know anything about it!\Wait a minute!\The Public Safety Commission?\What do you mean by that?\Enough of this, go back already!\This has nothing to do with us!\Excuse me. response:	What's the matter?
context: I-I don't know anything about it!\Wait a minute!\The Public Safety Commission?\What do you mean by that?\Enough of this, go back already!\This has nothing to do with us!\Excuse me.\What's the matter? response:	I heard some interesting news from the low-breeds I brought back to silence.
context: Wait a minute!\The Public Safety Commission?\What do you mean by that?\Enough of this, go back already!\This has nothing to do with us!\Excuse me.\What's the matter?\I heard some interesting news from the low-breeds I brought back to silence. response:	Interesting... news?
context: The Public Safety Commission?\What do you mean by that?\Enough of this, go back already!\This has nothing to do with us!\Excuse me.\What's the matter?\I heard some interesting news from the low-breeds I brought back to silence.\Interesting... news? response:	And so, we go on to tomorrow morning!
context: What do you mean by that?\Enough of this, go back already!\This has nothing to do with us!\Excuse me.\What's the matter?\I heard some interesting news from the low-breeds I brought back to silence.\Interesting... news?\And so, we go on to tomorrow morning! response:	Good morning, Tsukune!
context: Enough of this, go back already!\This has nothing to do with us!\Excuse me.\What's the matter?\I heard some interesting news from the low-breeds I brought back to silence.\Interesting... news?\And so, we go on to tomorrow morning!\Good morning, Tsukune! response:	What's wrong? You seem a bit sleepy.
context: This has nothing to do with us!\Excuse me.\What's the matter?\I heard some interesting news from the low-breeds I brought back to silence.\Interesting... news?\And so, we go on to tomorrow morning!\Good morning, Tsukune!\What's wrong? You seem a bit sleepy. response:	I was thinking about how we were going to gather evidence and I ended up being unable to sleep.
context: Excuse me.\What's the matter?\I heard some interesting news from the low-breeds I brought back to silence.\Interesting... news?\And so, we go on to tomorrow morning!\Good morning, Tsukune!\What's wrong? You seem a bit sleepy.\I was thinking about how we were going to gather evidence and I ended up being unable to sleep. response:	Is that so...
context: What's the matter?\I heard some interesting news from the low-breeds I brought back to silence.\Interesting... news?\And so, we go on to tomorrow morning!\Good morning, Tsukune!\What's wrong? You seem a bit sleepy.\I was thinking about how we were going to gather evidence and I ended up being unable to sleep.\Is that so... response:	The evidence we have now can't be written into an article that can expose their tyranny.
context: I heard some interesting news from the low-breeds I brought back to silence.\Interesting... news?\And so, we go on to tomorrow morning!\Good morning, Tsukune!\What's wrong? You seem a bit sleepy.\I was thinking about how we were going to gather evidence and I ended up being unable to sleep.\Is that so...\The evidence we have now can't be written into an article that can expose their tyranny. response:	If we don't have concrete evidence...
context: Interesting... news?\And so, we go on to tomorrow morning!\Good morning, Tsukune!\What's wrong? You seem a bit sleepy.\I was thinking about how we were going to gather evidence and I ended up being unable to sleep.\Is that so...\The evidence we have now can't be written into an article that can expose their tyranny.\If we don't have concrete evidence... response:	Tsukune...
context: And so, we go on to tomorrow morning!\Good morning, Tsukune!\What's wrong? You seem a bit sleepy.\I was thinking about how we were going to gather evidence and I ended up being unable to sleep.\Is that so...\The evidence we have now can't be written into an article that can expose their tyranny.\If we don't have concrete evidence...\Tsukune... response:	What?
context: Good morning, Tsukune!\What's wrong? You seem a bit sleepy.\I was thinking about how we were going to gather evidence and I ended up being unable to sleep.\Is that so...\The evidence we have now can't be written into an article that can expose their tyranny.\If we don't have concrete evidence...\Tsukune...\What? response:	Compared to when you first entered school, I feel that you've become much stronger.
context: What's wrong? You seem a bit sleepy.\I was thinking about how we were going to gather evidence and I ended up being unable to sleep.\Is that so...\The evidence we have now can't be written into an article that can expose their tyranny.\If we don't have concrete evidence...\Tsukune...\What?\Compared to when you first entered school, I feel that you've become much stronger. response:	Really?
context: I was thinking about how we were going to gather evidence and I ended up being unable to sleep.\Is that so...\The evidence we have now can't be written into an article that can expose their tyranny.\If we don't have concrete evidence...\Tsukune...\What?\Compared to when you first entered school, I feel that you've become much stronger.\Really? response:	I feel kind of...
context: Is that so...\The evidence we have now can't be written into an article that can expose their tyranny.\If we don't have concrete evidence...\Tsukune...\What?\Compared to when you first entered school, I feel that you've become much stronger.\Really?\I feel kind of... response:	Oh my, this fragrance...
context: The evidence we have now can't be written into an article that can expose their tyranny.\If we don't have concrete evidence...\Tsukune...\What?\Compared to when you first entered school, I feel that you've become much stronger.\Really?\I feel kind of...\Oh my, this fragrance... response:	Could it be that Moka-san...
context: If we don't have concrete evidence...\Tsukune...\What?\Compared to when you first entered school, I feel that you've become much stronger.\Really?\I feel kind of...\Oh my, this fragrance...\Could it be that Moka-san... response:	wants it like always?
context: Tsukune...\What?\Compared to when you first entered school, I feel that you've become much stronger.\Really?\I feel kind of...\Oh my, this fragrance...\Could it be that Moka-san...\wants it like always? response:	Yes, like always...
context: What?\Compared to when you first entered school, I feel that you've become much stronger.\Really?\I feel kind of...\Oh my, this fragrance...\Could it be that Moka-san...\wants it like always?\Yes, like always... response:	Kurumu-chan kick!
context: Compared to when you first entered school, I feel that you've become much stronger.\Really?\I feel kind of...\Oh my, this fragrance...\Could it be that Moka-san...\wants it like always?\Yes, like always...\Kurumu-chan kick! response:	It's going to be a busy day today!
context: Really?\I feel kind of...\Oh my, this fragrance...\Could it be that Moka-san...\wants it like always?\Yes, like always...\Kurumu-chan kick!\It's going to be a busy day today! response:	You can't start sucking Tsukune's energy right from the start of morning!
context: I feel kind of...\Oh my, this fragrance...\Could it be that Moka-san...\wants it like always?\Yes, like always...\Kurumu-chan kick!\It's going to be a busy day today!\You can't start sucking Tsukune's energy right from the start of morning! response:	Let's gather our energy and continue to search for more materials!
context: Oh my, this fragrance...\Could it be that Moka-san...\wants it like always?\Yes, like always...\Kurumu-chan kick!\It's going to be a busy day today!\You can't start sucking Tsukune's energy right from the start of morning!\Let's gather our energy and continue to search for more materials! response:	I'll stalk those who seem to have information even harder.
context: Could it be that Moka-san...\wants it like always?\Yes, like always...\Kurumu-chan kick!\It's going to be a busy day today!\You can't start sucking Tsukune's energy right from the start of morning!\Let's gather our energy and continue to search for more materials!\I'll stalk those who seem to have information even harder. response:	Yeah, just thinking about it is of no use. We have to take action!
context: wants it like always?\Yes, like always...\Kurumu-chan kick!\It's going to be a busy day today!\You can't start sucking Tsukune's energy right from the start of morning!\Let's gather our energy and continue to search for more materials!\I'll stalk those who seem to have information even harder.\Yeah, just thinking about it is of no use. We have to take action! response:	Yeah!
context: Yes, like always...\Kurumu-chan kick!\It's going to be a busy day today!\You can't start sucking Tsukune's energy right from the start of morning!\Let's gather our energy and continue to search for more materials!\I'll stalk those who seem to have information even harder.\Yeah, just thinking about it is of no use. We have to take action!\Yeah! response:	I wonder who my prey will be today.
context: Kurumu-chan kick!\It's going to be a busy day today!\You can't start sucking Tsukune's energy right from the start of morning!\Let's gather our energy and continue to search for more materials!\I'll stalk those who seem to have information even harder.\Yeah, just thinking about it is of no use. We have to take action!\Yeah!\I wonder who my prey will be today. response:	That's...
context: It's going to be a busy day today!\You can't start sucking Tsukune's energy right from the start of morning!\Let's gather our energy and continue to search for more materials!\I'll stalk those who seem to have information even harder.\Yeah, just thinking about it is of no use. We have to take action!\Yeah!\I wonder who my prey will be today.\That's... response:	And this is why
context: You can't start sucking Tsukune's energy right from the start of morning!\Let's gather our energy and continue to search for more materials!\I'll stalk those who seem to have information even harder.\Yeah, just thinking about it is of no use. We have to take action!\Yeah!\I wonder who my prey will be today.\That's...\And this is why response:	this article's description is frightening.
context: Let's gather our energy and continue to search for more materials!\I'll stalk those who seem to have information even harder.\Yeah, just thinking about it is of no use. We have to take action!\Yeah!\I wonder who my prey will be today.\That's...\And this is why\this article's description is frightening. response:	These descriptions...
context: I'll stalk those who seem to have information even harder.\Yeah, just thinking about it is of no use. We have to take action!\Yeah!\I wonder who my prey will be today.\That's...\And this is why\this article's description is frightening.\These descriptions... response:	The Public Safety Commission?
context: Yeah, just thinking about it is of no use. We have to take action!\Yeah!\I wonder who my prey will be today.\That's...\And this is why\this article's description is frightening.\These descriptions...\The Public Safety Commission? response:	Why?
context: Yeah!\I wonder who my prey will be today.\That's...\And this is why\this article's description is frightening.\These descriptions...\The Public Safety Commission?\Why? response:	I'm having a class right now, but what's the matter?
context: I wonder who my prey will be today.\That's...\And this is why\this article's description is frightening.\These descriptions...\The Public Safety Commission?\Why?\I'm having a class right now, but what's the matter? response:	No need to worry.
context: That's...\And this is why\this article's description is frightening.\These descriptions...\The Public Safety Commission?\Why?\I'm having a class right now, but what's the matter?\No need to worry. response:	It will be over in a jiffy.
context: And this is why\this article's description is frightening.\These descriptions...\The Public Safety Commission?\Why?\I'm having a class right now, but what's the matter?\No need to worry.\It will be over in a jiffy. response:	Aono Tsukune.
context: this article's description is frightening.\These descriptions...\The Public Safety Commission?\Why?\I'm having a class right now, but what's the matter?\No need to worry.\It will be over in a jiffy.\Aono Tsukune. response:	Yes?
context: These descriptions...\The Public Safety Commission?\Why?\I'm having a class right now, but what's the matter?\No need to worry.\It will be over in a jiffy.\Aono Tsukune.\Yes? response:	You are suspected of being a human.
context: The Public Safety Commission?\Why?\I'm having a class right now, but what's the matter?\No need to worry.\It will be over in a jiffy.\Aono Tsukune.\Yes?\You are suspected of being a human. response:	Aono-kun?
context: Why?\I'm having a class right now, but what's the matter?\No need to worry.\It will be over in a jiffy.\Aono Tsukune.\Yes?\You are suspected of being a human.\Aono-kun? response:	It can't be...
context: I'm having a class right now, but what's the matter?\No need to worry.\It will be over in a jiffy.\Aono Tsukune.\Yes?\You are suspected of being a human.\Aono-kun?\It can't be... response:	But it's true that no one know of his true form...
context: No need to worry.\It will be over in a jiffy.\Aono Tsukune.\Yes?\You are suspected of being a human.\Aono-kun?\It can't be...\But it's true that no one know of his true form... response:	Thus, we, the Public Safety Commission, will take you in for questioning.
context: It will be over in a jiffy.\Aono Tsukune.\Yes?\You are suspected of being a human.\Aono-kun?\It can't be...\But it's true that no one know of his true form...\Thus, we, the Public Safety Commission, will take you in for questioning. response:	Wait a minute!
context: Aono Tsukune.\Yes?\You are suspected of being a human.\Aono-kun?\It can't be...\But it's true that no one know of his true form...\Thus, we, the Public Safety Commission, will take you in for questioning.\Wait a minute! response:	Yeah, there's no way there could be humans in this school!
context: Yes?\You are suspected of being a human.\Aono-kun?\It can't be...\But it's true that no one know of his true form...\Thus, we, the Public Safety Commission, will take you in for questioning.\Wait a minute!\Yeah, there's no way there could be humans in this school! response:	Please don't give weird excuses to find us at fault-
context: You are suspected of being a human.\Aono-kun?\It can't be...\But it's true that no one know of his true form...\Thus, we, the Public Safety Commission, will take you in for questioning.\Wait a minute!\Yeah, there's no way there could be humans in this school!\Please don't give weird excuses to find us at fault- response:	Silence!
context: Aono-kun?\It can't be...\But it's true that no one know of his true form...\Thus, we, the Public Safety Commission, will take you in for questioning.\Wait a minute!\Yeah, there's no way there could be humans in this school!\Please don't give weird excuses to find us at fault-\Silence! response:	What's with this man's demonic power...
context: It can't be...\But it's true that no one know of his true form...\Thus, we, the Public Safety Commission, will take you in for questioning.\Wait a minute!\Yeah, there's no way there could be humans in this school!\Please don't give weird excuses to find us at fault-\Silence!\What's with this man's demonic power... response:	Judging from the situation, you guys might be accomplices too.
context: But it's true that no one know of his true form...\Thus, we, the Public Safety Commission, will take you in for questioning.\Wait a minute!\Yeah, there's no way there could be humans in this school!\Please don't give weird excuses to find us at fault-\Silence!\What's with this man's demonic power...\Judging from the situation, you guys might be accomplices too. response:	Akashiya Moka, Kurono Kurumu and Shirayuki Mizore.
context: Thus, we, the Public Safety Commission, will take you in for questioning.\Wait a minute!\Yeah, there's no way there could be humans in this school!\Please don't give weird excuses to find us at fault-\Silence!\What's with this man's demonic power...\Judging from the situation, you guys might be accomplices too.\Akashiya Moka, Kurono Kurumu and Shirayuki Mizore. response:	All of you must come for questioning too.
context: Wait a minute!\Yeah, there's no way there could be humans in this school!\Please don't give weird excuses to find us at fault-\Silence!\What's with this man's demonic power...\Judging from the situation, you guys might be accomplices too.\Akashiya Moka, Kurono Kurumu and Shirayuki Mizore.\All of you must come for questioning too. response:	Accomplices...?
context: Yeah, there's no way there could be humans in this school!\Please don't give weird excuses to find us at fault-\Silence!\What's with this man's demonic power...\Judging from the situation, you guys might be accomplices too.\Akashiya Moka, Kurono Kurumu and Shirayuki Mizore.\All of you must come for questioning too.\Accomplices...? response:	How? How was my cover blown...?
context: Please don't give weird excuses to find us at fault-\Silence!\What's with this man's demonic power...\Judging from the situation, you guys might be accomplices too.\Akashiya Moka, Kurono Kurumu and Shirayuki Mizore.\All of you must come for questioning too.\Accomplices...?\How? How was my cover blown...? response:	Tsukune?
context: Silence!\What's with this man's demonic power...\Judging from the situation, you guys might be accomplices too.\Akashiya Moka, Kurono Kurumu and Shirayuki Mizore.\All of you must come for questioning too.\Accomplices...?\How? How was my cover blown...?\Tsukune? response:	What's wrong?
context: What's with this man's demonic power...\Judging from the situation, you guys might be accomplices too.\Akashiya Moka, Kurono Kurumu and Shirayuki Mizore.\All of you must come for questioning too.\Accomplices...?\How? How was my cover blown...?\Tsukune?\What's wrong? response:	Don't worry, you're not a human.
context: Judging from the situation, you guys might be accomplices too.\Akashiya Moka, Kurono Kurumu and Shirayuki Mizore.\All of you must come for questioning too.\Accomplices...?\How? How was my cover blown...?\Tsukune?\What's wrong?\Don't worry, you're not a human. response:	I'll be your witness.
context: Akashiya Moka, Kurono Kurumu and Shirayuki Mizore.\All of you must come for questioning too.\Accomplices...?\How? How was my cover blown...?\Tsukune?\What's wrong?\Don't worry, you're not a human.\I'll be your witness. response:	E-Everyone... please stay calm!
context: All of you must come for questioning too.\Accomplices...?\How? How was my cover blown...?\Tsukune?\What's wrong?\Don't worry, you're not a human.\I'll be your witness.\E-Everyone... please stay calm! response:	Don't tell me this guy is...
context: Accomplices...?\How? How was my cover blown...?\Tsukune?\What's wrong?\Don't worry, you're not a human.\I'll be your witness.\E-Everyone... please stay calm!\Don't tell me this guy is... response:	He's...
context: How? How was my cover blown...?\Tsukune?\What's wrong?\Don't worry, you're not a human.\I'll be your witness.\E-Everyone... please stay calm!\Don't tell me this guy is...\He's... response:	Aono Tsukune!
context: Tsukune?\What's wrong?\Don't worry, you're not a human.\I'll be your witness.\E-Everyone... please stay calm!\Don't tell me this guy is...\He's...\Aono Tsukune! response:	What about the other members of the newspaper club?
