context: I'm Gouda Takeo, a first-year in high school. response:	He's Sunakawa Makoto, a friend of mine.
context: we won't make it to nationals!\It's pretty much our Battle of Mt. Tennou!\It's a team competition where we need to win three out of five matches,\but our champion's been injured,\and we have no one to take his place.\Please fight for me!\The explanation's so long\that you weren't able to take it in, right? response:	So I just have to try to win the match happening in a month?
context: It's pretty much our Battle of Mt. Tennou!\It's a team competition where we need to win three out of five matches,\but our champion's been injured,\and we have no one to take his place.\Please fight for me!\The explanation's so long\that you weren't able to take it in, right?\So I just have to try to win the match happening in a month? response:	That's right.
context: It's a team competition where we need to win three out of five matches,\but our champion's been injured,\and we have no one to take his place.\Please fight for me!\The explanation's so long\that you weren't able to take it in, right?\So I just have to try to win the match happening in a month?\That's right. response:	Oh, guess you got the gist of it.
context: but our champion's been injured,\and we have no one to take his place.\Please fight for me!\The explanation's so long\that you weren't able to take it in, right?\So I just have to try to win the match happening in a month?\That's right.\Oh, guess you got the gist of it. response:	Thanks, Gouda!
context: and we have no one to take his place.\Please fight for me!\The explanation's so long\that you weren't able to take it in, right?\So I just have to try to win the match happening in a month?\That's right.\Oh, guess you got the gist of it.\Thanks, Gouda! response:	I'll do it!
context: Please fight for me!\The explanation's so long\that you weren't able to take it in, right?\So I just have to try to win the match happening in a month?\That's right.\Oh, guess you got the gist of it.\Thanks, Gouda!\I'll do it! response:	See you at morning practice tomorrow!
context: The explanation's so long\that you weren't able to take it in, right?\So I just have to try to win the match happening in a month?\That's right.\Oh, guess you got the gist of it.\Thanks, Gouda!\I'll do it!\See you at morning practice tomorrow! response:	Right!
context: that you weren't able to take it in, right?\So I just have to try to win the match happening in a month?\That's right.\Oh, guess you got the gist of it.\Thanks, Gouda!\I'll do it!\See you at morning practice tomorrow!\Right! response:	We're counting on you!
context: So I just have to try to win the match happening in a month?\That's right.\Oh, guess you got the gist of it.\Thanks, Gouda!\I'll do it!\See you at morning practice tomorrow!\Right!\We're counting on you! response:	It's amazing that they'd ask you for help.
context: That's right.\Oh, guess you got the gist of it.\Thanks, Gouda!\I'll do it!\See you at morning practice tomorrow!\Right!\We're counting on you!\It's amazing that they'd ask you for help. response:	I didn't know you did judo, Takeo-kun.
context: Oh, guess you got the gist of it.\Thanks, Gouda!\I'll do it!\See you at morning practice tomorrow!\Right!\We're counting on you!\It's amazing that they'd ask you for help.\I didn't know you did judo, Takeo-kun. response:	Up till the end of junior high.
context: Thanks, Gouda!\I'll do it!\See you at morning practice tomorrow!\Right!\We're counting on you!\It's amazing that they'd ask you for help.\I didn't know you did judo, Takeo-kun.\Up till the end of junior high. response:	You even competed in the nationals.
context: I'll do it!\See you at morning practice tomorrow!\Right!\We're counting on you!\It's amazing that they'd ask you for help.\I didn't know you did judo, Takeo-kun.\Up till the end of junior high.\You even competed in the nationals. response:	Eh? Wow!
context: See you at morning practice tomorrow!\Right!\We're counting on you!\It's amazing that they'd ask you for help.\I didn't know you did judo, Takeo-kun.\Up till the end of junior high.\You even competed in the nationals.\Eh? Wow! response:	That's so cool!
context: Right!\We're counting on you!\It's amazing that they'd ask you for help.\I didn't know you did judo, Takeo-kun.\Up till the end of junior high.\You even competed in the nationals.\Eh? Wow!\That's so cool! response:	Why did you stop in high school?
context: We're counting on you!\It's amazing that they'd ask you for help.\I didn't know you did judo, Takeo-kun.\Up till the end of junior high.\You even competed in the nationals.\Eh? Wow!\That's so cool!\Why did you stop in high school? response:	I forgot to join...
context: It's amazing that they'd ask you for help.\I didn't know you did judo, Takeo-kun.\Up till the end of junior high.\You even competed in the nationals.\Eh? Wow!\That's so cool!\Why did you stop in high school?\I forgot to join... response:	Why bother?
context: I didn't know you did judo, Takeo-kun.\Up till the end of junior high.\You even competed in the nationals.\Eh? Wow!\That's so cool!\Why did you stop in high school?\I forgot to join...\Why bother? response:	You're strong enough.
context: Up till the end of junior high.\You even competed in the nationals.\Eh? Wow!\That's so cool!\Why did you stop in high school?\I forgot to join...\Why bother?\You're strong enough. response:	No, there are many more who are stronger than I!
context: You even competed in the nationals.\Eh? Wow!\That's so cool!\Why did you stop in high school?\I forgot to join...\Why bother?\You're strong enough.\No, there are many more who are stronger than I! response:	I'm sure you'd rank pretty high,
context: Eh? Wow!\That's so cool!\Why did you stop in high school?\I forgot to join...\Why bother?\You're strong enough.\No, there are many more who are stronger than I!\I'm sure you'd rank pretty high, response:	if anyone ranked all humanity in order of their strength.
context: That's so cool!\Why did you stop in high school?\I forgot to join...\Why bother?\You're strong enough.\No, there are many more who are stronger than I!\I'm sure you'd rank pretty high,\if anyone ranked all humanity in order of their strength. response:	I wonder where you'd place...
context: Why did you stop in high school?\I forgot to join...\Why bother?\You're strong enough.\No, there are many more who are stronger than I!\I'm sure you'd rank pretty high,\if anyone ranked all humanity in order of their strength.\I wonder where you'd place... response:	I've got a way to go.
context: I forgot to join...\Why bother?\You're strong enough.\No, there are many more who are stronger than I!\I'm sure you'd rank pretty high,\if anyone ranked all humanity in order of their strength.\I wonder where you'd place...\I've got a way to go. response:	Strongest Primate
context: Why bother?\You're strong enough.\No, there are many more who are stronger than I!\I'm sure you'd rank pretty high,\if anyone ranked all humanity in order of their strength.\I wonder where you'd place...\I've got a way to go.\Strongest Primate response:	After all, there are people like Karelin.
context: You're strong enough.\No, there are many more who are stronger than I!\I'm sure you'd rank pretty high,\if anyone ranked all humanity in order of their strength.\I wonder where you'd place...\I've got a way to go.\Strongest Primate\After all, there are people like Karelin. response:	I see
context: No, there are many more who are stronger than I!\I'm sure you'd rank pretty high,\if anyone ranked all humanity in order of their strength.\I wonder where you'd place...\I've got a way to go.\Strongest Primate\After all, there are people like Karelin.\I see response:	Yup
context: I'm sure you'd rank pretty high,\if anyone ranked all humanity in order of their strength.\I wonder where you'd place...\I've got a way to go.\Strongest Primate\After all, there are people like Karelin.\I see\Yup response:	That's good and all, but...
context: if anyone ranked all humanity in order of their strength.\I wonder where you'd place...\I've got a way to go.\Strongest Primate\After all, there are people like Karelin.\I see\Yup\That's good and all, but... response:	If you're going to train for the match,
context: I wonder where you'd place...\I've got a way to go.\Strongest Primate\After all, there are people like Karelin.\I see\Yup\That's good and all, but...\If you're going to train for the match, response:	doesn't that mean you won't be able to see Yamato-san
context: I've got a way to go.\Strongest Primate\After all, there are people like Karelin.\I see\Yup\That's good and all, but...\If you're going to train for the match,\doesn't that mean you won't be able to see Yamato-san response:	for about a month?
context: Strongest Primate\After all, there are people like Karelin.\I see\Yup\That's good and all, but...\If you're going to train for the match,\doesn't that mean you won't be able to see Yamato-san\for about a month? response:	I see...
context: After all, there are people like Karelin.\I see\Yup\That's good and all, but...\If you're going to train for the match,\doesn't that mean you won't be able to see Yamato-san\for about a month?\I see... response:	I'm sorry, Yamato.
context: I see\Yup\That's good and all, but...\If you're going to train for the match,\doesn't that mean you won't be able to see Yamato-san\for about a month?\I see...\I'm sorry, Yamato. response:	I'll be fine, Takeo-kun!
context: Yup\That's good and all, but...\If you're going to train for the match,\doesn't that mean you won't be able to see Yamato-san\for about a month?\I see...\I'm sorry, Yamato.\I'll be fine, Takeo-kun! response:	Help the judo club.
context: That's good and all, but...\If you're going to train for the match,\doesn't that mean you won't be able to see Yamato-san\for about a month?\I see...\I'm sorry, Yamato.\I'll be fine, Takeo-kun!\Help the judo club. response:	It's great that they'd come to you for help.
context: If you're going to train for the match,\doesn't that mean you won't be able to see Yamato-san\for about a month?\I see...\I'm sorry, Yamato.\I'll be fine, Takeo-kun!\Help the judo club.\It's great that they'd come to you for help. response:	Yamato...
context: doesn't that mean you won't be able to see Yamato-san\for about a month?\I see...\I'm sorry, Yamato.\I'll be fine, Takeo-kun!\Help the judo club.\It's great that they'd come to you for help.\Yamato... response:	Besides, I want to see you do judo.
context: for about a month?\I see...\I'm sorry, Yamato.\I'll be fine, Takeo-kun!\Help the judo club.\It's great that they'd come to you for help.\Yamato...\Besides, I want to see you do judo. response:	I love her!
context: I see...\I'm sorry, Yamato.\I'll be fine, Takeo-kun!\Help the judo club.\It's great that they'd come to you for help.\Yamato...\Besides, I want to see you do judo.\I love her! response:	If you really want to see me,
context: I'm sorry, Yamato.\I'll be fine, Takeo-kun!\Help the judo club.\It's great that they'd come to you for help.\Yamato...\Besides, I want to see you do judo.\I love her!\If you really want to see me, response:	just say the word.
context: I'll be fine, Takeo-kun!\Help the judo club.\It's great that they'd come to you for help.\Yamato...\Besides, I want to see you do judo.\I love her!\If you really want to see me,\just say the word. response:	I'll come right away.
context: Help the judo club.\It's great that they'd come to you for help.\Yamato...\Besides, I want to see you do judo.\I love her!\If you really want to see me,\just say the word.\I'll come right away. response:	You will?
context: It's great that they'd come to you for help.\Yamato...\Besides, I want to see you do judo.\I love her!\If you really want to see me,\just say the word.\I'll come right away.\You will? response:	Okay!
context: Yamato...\Besides, I want to see you do judo.\I love her!\If you really want to see me,\just say the word.\I'll come right away.\You will?\Okay! response:	I'll be cheering you on, so I'll be fine.
context: Besides, I want to see you do judo.\I love her!\If you really want to see me,\just say the word.\I'll come right away.\You will?\Okay!\I'll be cheering you on, so I'll be fine. response:	Good luck, Takeo-kun!
context: I love her!\If you really want to see me,\just say the word.\I'll come right away.\You will?\Okay!\I'll be cheering you on, so I'll be fine.\Good luck, Takeo-kun! response:	Yamato,
context: If you really want to see me,\just say the word.\I'll come right away.\You will?\Okay!\I'll be cheering you on, so I'll be fine.\Good luck, Takeo-kun!\Yamato, response:	I know you're looking out for me!
context: just say the word.\I'll come right away.\You will?\Okay!\I'll be cheering you on, so I'll be fine.\Good luck, Takeo-kun!\Yamato,\I know you're looking out for me! response:	Begin!
context: I'll come right away.\You will?\Okay!\I'll be cheering you on, so I'll be fine.\Good luck, Takeo-kun!\Yamato,\I know you're looking out for me!\Begin! response:	Okay! I'm next!
context: You will?\Okay!\I'll be cheering you on, so I'll be fine.\Good luck, Takeo-kun!\Yamato,\I know you're looking out for me!\Begin!\Okay! I'm next! response:	'Kay!
context: Okay!\I'll be cheering you on, so I'll be fine.\Good luck, Takeo-kun!\Yamato,\I know you're looking out for me!\Begin!\Okay! I'm next!\'Kay! response:	I've...
context: I'll be cheering you on, so I'll be fine.\Good luck, Takeo-kun!\Yamato,\I know you're looking out for me!\Begin!\Okay! I'm next!\'Kay!\I've... response:	got this...
context: Good luck, Takeo-kun!\Yamato,\I know you're looking out for me!\Begin!\Okay! I'm next!\'Kay!\I've...\got this... response:	Yamato!
context: Yamato,\I know you're looking out for me!\Begin!\Okay! I'm next!\'Kay!\I've...\got this...\Yamato! response:	Gouda...
context: I know you're looking out for me!\Begin!\Okay! I'm next!\'Kay!\I've...\got this...\Yamato!\Gouda... response:	All for us...
context: Begin!\Okay! I'm next!\'Kay!\I've...\got this...\Yamato!\Gouda...\All for us... response:	C'mon, guys!
context: Okay! I'm next!\'Kay!\I've...\got this...\Yamato!\Gouda...\All for us...\C'mon, guys! response:	Right!
context: 'Kay!\I've...\got this...\Yamato!\Gouda...\All for us...\C'mon, guys!\Right! response:	Thank you!
context: I've...\got this...\Yamato!\Gouda...\All for us...\C'mon, guys!\Right!\Thank you! response:	Yamato!
context: got this...\Yamato!\Gouda...\All for us...\C'mon, guys!\Right!\Thank you!\Yamato! response:	Oh, Takeo-kun!
context: Yamato!\Gouda...\All for us...\C'mon, guys!\Right!\Thank you!\Yamato!\Oh, Takeo-kun! response:	Good job!
context: Gouda...\All for us...\C'mon, guys!\Right!\Thank you!\Yamato!\Oh, Takeo-kun!\Good job! response:	Sorry I came without telling you.
context: All for us...\C'mon, guys!\Right!\Thank you!\Yamato!\Oh, Takeo-kun!\Good job!\Sorry I came without telling you. response:	Something's in your hair.
context: C'mon, guys!\Right!\Thank you!\Yamato!\Oh, Takeo-kun!\Good job!\Sorry I came without telling you.\Something's in your hair. response:	Oh.
context: Right!\Thank you!\Yamato!\Oh, Takeo-kun!\Good job!\Sorry I came without telling you.\Something's in your hair.\Oh. response:	Earlier...
context: Thank you!\Yamato!\Oh, Takeo-kun!\Good job!\Sorry I came without telling you.\Something's in your hair.\Oh.\Earlier... response:	I thought about keeping it a secret,
context: Yamato!\Oh, Takeo-kun!\Good job!\Sorry I came without telling you.\Something's in your hair.\Oh.\Earlier...\I thought about keeping it a secret, response:	but I peeked into your practice session.
context: Oh, Takeo-kun!\Good job!\Sorry I came without telling you.\Something's in your hair.\Oh.\Earlier...\I thought about keeping it a secret,\but I peeked into your practice session. response:	You were so cool!
context: Good job!\Sorry I came without telling you.\Something's in your hair.\Oh.\Earlier...\I thought about keeping it a secret,\but I peeked into your practice session.\You were so cool! response:	Yamato...
context: Sorry I came without telling you.\Something's in your hair.\Oh.\Earlier...\I thought about keeping it a secret,\but I peeked into your practice session.\You were so cool!\Yamato... response:	Oh, here. I made this for you.
context: Something's in your hair.\Oh.\Earlier...\I thought about keeping it a secret,\but I peeked into your practice session.\You were so cool!\Yamato...\Oh, here. I made this for you. response:	They're rice balls.
context: Oh.\Earlier...\I thought about keeping it a secret,\but I peeked into your practice session.\You were so cool!\Yamato...\Oh, here. I made this for you.\They're rice balls. response:	I can make other things, see?
context: Earlier...\I thought about keeping it a secret,\but I peeked into your practice session.\You were so cool!\Yamato...\Oh, here. I made this for you.\They're rice balls.\I can make other things, see? response:	Yamato...
context: I thought about keeping it a secret,\but I peeked into your practice session.\You were so cool!\Yamato...\Oh, here. I made this for you.\They're rice balls.\I can make other things, see?\Yamato... response:	I got a little too into it this morning and made a ton.
context: but I peeked into your practice session.\You were so cool!\Yamato...\Oh, here. I made this for you.\They're rice balls.\I can make other things, see?\Yamato...\I got a little too into it this morning and made a ton. response:	I might have made too much.
context: You were so cool!\Yamato...\Oh, here. I made this for you.\They're rice balls.\I can make other things, see?\Yamato...\I got a little too into it this morning and made a ton.\I might have made too much. response:	Beware of Gropers
context: Yamato...\Oh, here. I made this for you.\They're rice balls.\I can make other things, see?\Yamato...\I got a little too into it this morning and made a ton.\I might have made too much.\Beware of Gropers response:	Takeo-kun?
context: Oh, here. I made this for you.\They're rice balls.\I can make other things, see?\Yamato...\I got a little too into it this morning and made a ton.\I might have made too much.\Beware of Gropers\Takeo-kun? response:	Thank you, Yamato.
context: They're rice balls.\I can make other things, see?\Yamato...\I got a little too into it this morning and made a ton.\I might have made too much.\Beware of Gropers\Takeo-kun?\Thank you, Yamato. response:	But you shouldn't come here again.
context: I can make other things, see?\Yamato...\I got a little too into it this morning and made a ton.\I might have made too much.\Beware of Gropers\Takeo-kun?\Thank you, Yamato.\But you shouldn't come here again. response:	Eh?
context: Yamato...\I got a little too into it this morning and made a ton.\I might have made too much.\Beware of Gropers\Takeo-kun?\Thank you, Yamato.\But you shouldn't come here again.\Eh? response:	Let's go.
context: I got a little too into it this morning and made a ton.\I might have made too much.\Beware of Gropers\Takeo-kun?\Thank you, Yamato.\But you shouldn't come here again.\Eh?\Let's go. response:	I'll walk you home.
context: I might have made too much.\Beware of Gropers\Takeo-kun?\Thank you, Yamato.\But you shouldn't come here again.\Eh?\Let's go.\I'll walk you home. response:	Oh, okay...
context: Beware of Gropers\Takeo-kun?\Thank you, Yamato.\But you shouldn't come here again.\Eh?\Let's go.\I'll walk you home.\Oh, okay... response:	It's dark and unsafe.
context: Takeo-kun?\Thank you, Yamato.\But you shouldn't come here again.\Eh?\Let's go.\I'll walk you home.\Oh, okay...\It's dark and unsafe. response:	If anything were to happen to Yamato,
context: Thank you, Yamato.\But you shouldn't come here again.\Eh?\Let's go.\I'll walk you home.\Oh, okay...\It's dark and unsafe.\If anything were to happen to Yamato, response:	I'd never forgive myself.
context: But you shouldn't come here again.\Eh?\Let's go.\I'll walk you home.\Oh, okay...\It's dark and unsafe.\If anything were to happen to Yamato,\I'd never forgive myself. response:	Thanks for the food!
context: Eh?\Let's go.\I'll walk you home.\Oh, okay...\It's dark and unsafe.\If anything were to happen to Yamato,\I'd never forgive myself.\Thanks for the food! response:	This is salmon.
context: Let's go.\I'll walk you home.\Oh, okay...\It's dark and unsafe.\If anything were to happen to Yamato,\I'd never forgive myself.\Thanks for the food!\This is salmon. response:	This one's pickled plum.
context: I'll walk you home.\Oh, okay...\It's dark and unsafe.\If anything were to happen to Yamato,\I'd never forgive myself.\Thanks for the food!\This is salmon.\This one's pickled plum. response:	Cod roe.
context: Oh, okay...\It's dark and unsafe.\If anything were to happen to Yamato,\I'd never forgive myself.\Thanks for the food!\This is salmon.\This one's pickled plum.\Cod roe. response:	Salmon roe.
context: It's dark and unsafe.\If anything were to happen to Yamato,\I'd never forgive myself.\Thanks for the food!\This is salmon.\This one's pickled plum.\Cod roe.\Salmon roe. response:	BBQ beef.
context: If anything were to happen to Yamato,\I'd never forgive myself.\Thanks for the food!\This is salmon.\This one's pickled plum.\Cod roe.\Salmon roe.\BBQ beef. response:	Tuna with mayo!
context: I'd never forgive myself.\Thanks for the food!\This is salmon.\This one's pickled plum.\Cod roe.\Salmon roe.\BBQ beef.\Tuna with mayo! response:	She made all these different kinds
context: Thanks for the food!\This is salmon.\This one's pickled plum.\Cod roe.\Salmon roe.\BBQ beef.\Tuna with mayo!\She made all these different kinds response:	with those tiny hands of hers.
context: This is salmon.\This one's pickled plum.\Cod roe.\Salmon roe.\BBQ beef.\Tuna with mayo!\She made all these different kinds\with those tiny hands of hers. response:	The rice must've been piping hot, too.
context: This one's pickled plum.\Cod roe.\Salmon roe.\BBQ beef.\Tuna with mayo!\She made all these different kinds\with those tiny hands of hers.\The rice must've been piping hot, too. response:	They're delicious.
context: Cod roe.\Salmon roe.\BBQ beef.\Tuna with mayo!\She made all these different kinds\with those tiny hands of hers.\The rice must've been piping hot, too.\They're delicious. response:	They're delicious, Yamato!
context: Salmon roe.\BBQ beef.\Tuna with mayo!\She made all these different kinds\with those tiny hands of hers.\The rice must've been piping hot, too.\They're delicious.\They're delicious, Yamato! response:	I love her!
context: BBQ beef.\Tuna with mayo!\She made all these different kinds\with those tiny hands of hers.\The rice must've been piping hot, too.\They're delicious.\They're delicious, Yamato!\I love her! response:	The rice balls are awesome!
context: Tuna with mayo!\She made all these different kinds\with those tiny hands of hers.\The rice must've been piping hot, too.\They're delicious.\They're delicious, Yamato!\I love her!\The rice balls are awesome! response:	Thank you.
context: She made all these different kinds\with those tiny hands of hers.\The rice must've been piping hot, too.\They're delicious.\They're delicious, Yamato!\I love her!\The rice balls are awesome!\Thank you. response:	Thanks for the food.
context: with those tiny hands of hers.\The rice must've been piping hot, too.\They're delicious.\They're delicious, Yamato!\I love her!\The rice balls are awesome!\Thank you.\Thanks for the food. response:	Great!
context: The rice must've been piping hot, too.\They're delicious.\They're delicious, Yamato!\I love her!\The rice balls are awesome!\Thank you.\Thanks for the food.\Great! response:	I thought you might get hungry.
context: They're delicious.\They're delicious, Yamato!\I love her!\The rice balls are awesome!\Thank you.\Thanks for the food.\Great!\I thought you might get hungry. response:	Eat up and good luck!
context: They're delicious, Yamato!\I love her!\The rice balls are awesome!\Thank you.\Thanks for the food.\Great!\I thought you might get hungry.\Eat up and good luck! response:	I'm gonna give it everything I've got!
context: I love her!\The rice balls are awesome!\Thank you.\Thanks for the food.\Great!\I thought you might get hungry.\Eat up and good luck!\I'm gonna give it everything I've got! response:	Takeo-kun, how's it going?
context: The rice balls are awesome!\Thank you.\Thanks for the food.\Great!\I thought you might get hungry.\Eat up and good luck!\I'm gonna give it everything I've got!\Takeo-kun, how's it going? response:	Today, there are lots of flowers blooming at school.
context: Thank you.\Thanks for the food.\Great!\I thought you might get hungry.\Eat up and good luck!\I'm gonna give it everything I've got!\Takeo-kun, how's it going?\Today, there are lots of flowers blooming at school. response:	I only know the name of flowers like tulips and stuff,
