context: Whether or not anyone asked for you, response:	you will all be participating in internships with pros.
context: He's alive!\Man...\When I was carrying a string of sausages with ketchup poured over them, I fell!\Pro Hero - Gran Torino\Izuku Midoriya - Quirk: One For All\That's too easily misunderstood!\Who are you?\I'm Izuku Midoriya from U.A.! response:	What?
context: Man...\When I was carrying a string of sausages with ketchup poured over them, I fell!\Pro Hero - Gran Torino\Izuku Midoriya - Quirk: One For All\That's too easily misunderstood!\Who are you?\I'm Izuku Midoriya from U.A.!\What? response:	I'm Izuku Midoriya!
context: When I was carrying a string of sausages with ketchup poured over them, I fell!\Pro Hero - Gran Torino\Izuku Midoriya - Quirk: One For All\That's too easily misunderstood!\Who are you?\I'm Izuku Midoriya from U.A.!\What?\I'm Izuku Midoriya! response:	Who are you?
context: Pro Hero - Gran Torino\Izuku Midoriya - Quirk: One For All\That's too easily misunderstood!\Who are you?\I'm Izuku Midoriya from U.A.!\What?\I'm Izuku Midoriya!\Who are you? response:	C-Crap...
context: Izuku Midoriya - Quirk: One For All\That's too easily misunderstood!\Who are you?\I'm Izuku Midoriya from U.A.!\What?\I'm Izuku Midoriya!\Who are you?\C-Crap... response:	He's All Might's teacher.
context: That's too easily misunderstood!\Who are you?\I'm Izuku Midoriya from U.A.!\What?\I'm Izuku Midoriya!\Who are you?\C-Crap...\He's All Might's teacher. response:	I knew he would be pretty old, but this is...
context: Who are you?\I'm Izuku Midoriya from U.A.!\What?\I'm Izuku Midoriya!\Who are you?\C-Crap...\He's All Might's teacher.\I knew he would be pretty old, but this is... response:	I wanna eat something.
context: I'm Izuku Midoriya from U.A.!\What?\I'm Izuku Midoriya!\Who are you?\C-Crap...\He's All Might's teacher.\I knew he would be pretty old, but this is...\I wanna eat something. response:	Eat?!
context: What?\I'm Izuku Midoriya!\Who are you?\C-Crap...\He's All Might's teacher.\I knew he would be pretty old, but this is...\I wanna eat something.\Eat?! response:	Toshinori!
context: I'm Izuku Midoriya!\Who are you?\C-Crap...\He's All Might's teacher.\I knew he would be pretty old, but this is...\I wanna eat something.\Eat?!\Toshinori! response:	No, that's not me!
context: Who are you?\C-Crap...\He's All Might's teacher.\I knew he would be pretty old, but this is...\I wanna eat something.\Eat?!\Toshinori!\No, that's not me! response:	Excuse me, I'm going to make a phone call...
context: C-Crap...\He's All Might's teacher.\I knew he would be pretty old, but this is...\I wanna eat something.\Eat?!\Toshinori!\No, that's not me!\Excuse me, I'm going to make a phone call... response:	Anyway, I should let All Might know about the state this guy's in...
context: He's All Might's teacher.\I knew he would be pretty old, but this is...\I wanna eat something.\Eat?!\Toshinori!\No, that's not me!\Excuse me, I'm going to make a phone call...\Anyway, I should let All Might know about the state this guy's in... response:	What're you doing?!
context: I knew he would be pretty old, but this is...\I wanna eat something.\Eat?!\Toshinori!\No, that's not me!\Excuse me, I'm going to make a phone call...\Anyway, I should let All Might know about the state this guy's in...\What're you doing?! response:	Fire off a One For All at me.
context: I wanna eat something.\Eat?!\Toshinori!\No, that's not me!\Excuse me, I'm going to make a phone call...\Anyway, I should let All Might know about the state this guy's in...\What're you doing?!\Fire off a One For All at me. response:	I wanna know how well you can handle it.
context: Eat?!\Toshinori!\No, that's not me!\Excuse me, I'm going to make a phone call...\Anyway, I should let All Might know about the state this guy's in...\What're you doing?!\Fire off a One For All at me.\I wanna know how well you can handle it. response:	What's with this guy? Suddenly...
context: Toshinori!\No, that's not me!\Excuse me, I'm going to make a phone call...\Anyway, I should let All Might know about the state this guy's in...\What're you doing?!\Fire off a One For All at me.\I wanna know how well you can handle it.\What's with this guy? Suddenly... response:	This is a good costume. Wear it and fire!
context: No, that's not me!\Excuse me, I'm going to make a phone call...\Anyway, I should let All Might know about the state this guy's in...\What're you doing?!\Fire off a One For All at me.\I wanna know how well you can handle it.\What's with this guy? Suddenly...\This is a good costume. Wear it and fire! response:	Um...
context: Excuse me, I'm going to make a phone call...\Anyway, I should let All Might know about the state this guy's in...\What're you doing?!\Fire off a One For All at me.\I wanna know how well you can handle it.\What's with this guy? Suddenly...\This is a good costume. Wear it and fire!\Um... response:	Who are you?
context: Anyway, I should let All Might know about the state this guy's in...\What're you doing?!\Fire off a One For All at me.\I wanna know how well you can handle it.\What's with this guy? Suddenly...\This is a good costume. Wear it and fire!\Um...\Who are you? response:	I-It's no good!
context: What're you doing?!\Fire off a One For All at me.\I wanna know how well you can handle it.\What's with this guy? Suddenly...\This is a good costume. Wear it and fire!\Um...\Who are you?\I-It's no good! response:	I need to hurry
context: Fire off a One For All at me.\I wanna know how well you can handle it.\What's with this guy? Suddenly...\This is a good costume. Wear it and fire!\Um...\Who are you?\I-It's no good!\I need to hurry response:	and quickly become able to handle my power.
context: I wanna know how well you can handle it.\What's with this guy? Suddenly...\This is a good costume. Wear it and fire!\Um...\Who are you?\I-It's no good!\I need to hurry\and quickly become able to handle my power. response:	Because All Might doesn't have any time left.
context: What's with this guy? Suddenly...\This is a good costume. Wear it and fire!\Um...\Who are you?\I-It's no good!\I need to hurry\and quickly become able to handle my power.\Because All Might doesn't have any time left. response:	That's why...
context: This is a good costume. Wear it and fire!\Um...\Who are you?\I-It's no good!\I need to hurry\and quickly become able to handle my power.\Because All Might doesn't have any time left.\That's why... response:	I can't waste time messing around with you, sir.
context: Um...\Who are you?\I-It's no good!\I need to hurry\and quickly become able to handle my power.\Because All Might doesn't have any time left.\That's why...\I can't waste time messing around with you, sir. response:	Please excuse me.
context: Who are you?\I-It's no good!\I need to hurry\and quickly become able to handle my power.\Because All Might doesn't have any time left.\That's why...\I can't waste time messing around with you, sir.\Please excuse me. response:	In that case...
context: I-It's no good!\I need to hurry\and quickly become able to handle my power.\Because All Might doesn't have any time left.\That's why...\I can't waste time messing around with you, sir.\Please excuse me.\In that case... response:	In that case, there's even more reason to fire one off!
context: I need to hurry\and quickly become able to handle my power.\Because All Might doesn't have any time left.\That's why...\I can't waste time messing around with you, sir.\Please excuse me.\In that case...\In that case, there's even more reason to fire one off! response:	You zygote!
context: and quickly become able to handle my power.\Because All Might doesn't have any time left.\That's why...\I can't waste time messing around with you, sir.\Please excuse me.\In that case...\In that case, there's even more reason to fire one off!\You zygote! response:	Bizarre! Gran Torino Appears
context: Because All Might doesn't have any time left.\That's why...\I can't waste time messing around with you, sir.\Please excuse me.\In that case...\In that case, there's even more reason to fire one off!\You zygote!\Bizarre! Gran Torino Appears response:	I watched the U.A. sports festival on TV.
context: That's why...\I can't waste time messing around with you, sir.\Please excuse me.\In that case...\In that case, there's even more reason to fire one off!\You zygote!\Bizarre! Gran Torino Appears\I watched the U.A. sports festival on TV. response:	The way you used that power was unthinkable!
context: I can't waste time messing around with you, sir.\Please excuse me.\In that case...\In that case, there's even more reason to fire one off!\You zygote!\Bizarre! Gran Torino Appears\I watched the U.A. sports festival on TV.\The way you used that power was unthinkable! response:	He's called the symbol of peace and the number one hero,
context: Please excuse me.\In that case...\In that case, there's even more reason to fire one off!\You zygote!\Bizarre! Gran Torino Appears\I watched the U.A. sports festival on TV.\The way you used that power was unthinkable!\He's called the symbol of peace and the number one hero, response:	but that justice-obsessed All Might is worse than a novice when it comes to teaching.
context: In that case...\In that case, there's even more reason to fire one off!\You zygote!\Bizarre! Gran Torino Appears\I watched the U.A. sports festival on TV.\The way you used that power was unthinkable!\He's called the symbol of peace and the number one hero,\but that justice-obsessed All Might is worse than a novice when it comes to teaching. response:	Now, shall we begin, you zygotes?
context: In that case, there's even more reason to fire one off!\You zygote!\Bizarre! Gran Torino Appears\I watched the U.A. sports festival on TV.\The way you used that power was unthinkable!\He's called the symbol of peace and the number one hero,\but that justice-obsessed All Might is worse than a novice when it comes to teaching.\Now, shall we begin, you zygotes? response:	He's using the same phrase.
context: You zygote!\Bizarre! Gran Torino Appears\I watched the U.A. sports festival on TV.\The way you used that power was unthinkable!\He's called the symbol of peace and the number one hero,\but that justice-obsessed All Might is worse than a novice when it comes to teaching.\Now, shall we begin, you zygotes?\He's using the same phrase. response:	The way they play dumb is the same, too.
context: Bizarre! Gran Torino Appears\I watched the U.A. sports festival on TV.\The way you used that power was unthinkable!\He's called the symbol of peace and the number one hero,\but that justice-obsessed All Might is worse than a novice when it comes to teaching.\Now, shall we begin, you zygotes?\He's using the same phrase.\The way they play dumb is the same, too. response:	This person must be All Might's teacher, after all!
context: I watched the U.A. sports festival on TV.\The way you used that power was unthinkable!\He's called the symbol of peace and the number one hero,\but that justice-obsessed All Might is worse than a novice when it comes to teaching.\Now, shall we begin, you zygotes?\He's using the same phrase.\The way they play dumb is the same, too.\This person must be All Might's teacher, after all! response:	I can't stand watching how you're using your power,
context: The way you used that power was unthinkable!\He's called the symbol of peace and the number one hero,\but that justice-obsessed All Might is worse than a novice when it comes to teaching.\Now, shall we begin, you zygotes?\He's using the same phrase.\The way they play dumb is the same, too.\This person must be All Might's teacher, after all!\I can't stand watching how you're using your power, response:	so I'll teach you.
context: He's called the symbol of peace and the number one hero,\but that justice-obsessed All Might is worse than a novice when it comes to teaching.\Now, shall we begin, you zygotes?\He's using the same phrase.\The way they play dumb is the same, too.\This person must be All Might's teacher, after all!\I can't stand watching how you're using your power,\so I'll teach you. response:	Now, put on your costume!
context: but that justice-obsessed All Might is worse than a novice when it comes to teaching.\Now, shall we begin, you zygotes?\He's using the same phrase.\The way they play dumb is the same, too.\This person must be All Might's teacher, after all!\I can't stand watching how you're using your power,\so I'll teach you.\Now, put on your costume! response:	I look forward to working with you!
context: Now, shall we begin, you zygotes?\He's using the same phrase.\The way they play dumb is the same, too.\This person must be All Might's teacher, after all!\I can't stand watching how you're using your power,\so I'll teach you.\Now, put on your costume!\I look forward to working with you! response:	Hero Costume B for Mr. Izuku Midoriya Specifications User Manual
context: He's using the same phrase.\The way they play dumb is the same, too.\This person must be All Might's teacher, after all!\I can't stand watching how you're using your power,\so I'll teach you.\Now, put on your costume!\I look forward to working with you!\Hero Costume B for Mr. Izuku Midoriya Specifications User Manual response:	The user manual.
context: The way they play dumb is the same, too.\This person must be All Might's teacher, after all!\I can't stand watching how you're using your power,\so I'll teach you.\Now, put on your costume!\I look forward to working with you!\Hero Costume B for Mr. Izuku Midoriya Specifications User Manual\The user manual. response:	Dear Mr. Izuku Midoriya,
context: This person must be All Might's teacher, after all!\I can't stand watching how you're using your power,\so I'll teach you.\Now, put on your costume!\I look forward to working with you!\Hero Costume B for Mr. Izuku Midoriya Specifications User Manual\The user manual.\Dear Mr. Izuku Midoriya, response:	when making repairs to your costume,
context: I can't stand watching how you're using your power,\so I'll teach you.\Now, put on your costume!\I look forward to working with you!\Hero Costume B for Mr. Izuku Midoriya Specifications User Manual\The user manual.\Dear Mr. Izuku Midoriya,\when making repairs to your costume, response:	our company decided to make some changes to the materials and design.
context: so I'll teach you.\Now, put on your costume!\I look forward to working with you!\Hero Costume B for Mr. Izuku Midoriya Specifications User Manual\The user manual.\Dear Mr. Izuku Midoriya,\when making repairs to your costume,\our company decided to make some changes to the materials and design. response:	Thank you for understanding.
context: Now, put on your costume!\I look forward to working with you!\Hero Costume B for Mr. Izuku Midoriya Specifications User Manual\The user manual.\Dear Mr. Izuku Midoriya,\when making repairs to your costume,\our company decided to make some changes to the materials and design.\Thank you for understanding. response:	I mean, it'll definitely be a lot cooler like this!
context: I look forward to working with you!\Hero Costume B for Mr. Izuku Midoriya Specifications User Manual\The user manual.\Dear Mr. Izuku Midoriya,\when making repairs to your costume,\our company decided to make some changes to the materials and design.\Thank you for understanding.\I mean, it'll definitely be a lot cooler like this! response:	They changed the materials and design without asking...
context: Hero Costume B for Mr. Izuku Midoriya Specifications User Manual\The user manual.\Dear Mr. Izuku Midoriya,\when making repairs to your costume,\our company decided to make some changes to the materials and design.\Thank you for understanding.\I mean, it'll definitely be a lot cooler like this!\They changed the materials and design without asking... response:	I wonder if everyone in the support business is like Hatsume...
context: The user manual.\Dear Mr. Izuku Midoriya,\when making repairs to your costume,\our company decided to make some changes to the materials and design.\Thank you for understanding.\I mean, it'll definitely be a lot cooler like this!\They changed the materials and design without asking...\I wonder if everyone in the support business is like Hatsume... response:	Either way, it's my first battle with version B of my mom's suit!
context: Dear Mr. Izuku Midoriya,\when making repairs to your costume,\our company decided to make some changes to the materials and design.\Thank you for understanding.\I mean, it'll definitely be a lot cooler like this!\They changed the materials and design without asking...\I wonder if everyone in the support business is like Hatsume...\Either way, it's my first battle with version B of my mom's suit! response:	My preparations are complete.
context: when making repairs to your costume,\our company decided to make some changes to the materials and design.\Thank you for understanding.\I mean, it'll definitely be a lot cooler like this!\They changed the materials and design without asking...\I wonder if everyone in the support business is like Hatsume...\Either way, it's my first battle with version B of my mom's suit!\My preparations are complete. response:	Then, do it.
context: our company decided to make some changes to the materials and design.\Thank you for understanding.\I mean, it'll definitely be a lot cooler like this!\They changed the materials and design without asking...\I wonder if everyone in the support business is like Hatsume...\Either way, it's my first battle with version B of my mom's suit!\My preparations are complete.\Then, do it. response:	I-Is this really okay?
context: Thank you for understanding.\I mean, it'll definitely be a lot cooler like this!\They changed the materials and design without asking...\I wonder if everyone in the support business is like Hatsume...\Either way, it's my first battle with version B of my mom's suit!\My preparations are complete.\Then, do it.\I-Is this really okay? response:	Honestly, I don't know how well I can use this suit yet,
context: I mean, it'll definitely be a lot cooler like this!\They changed the materials and design without asking...\I wonder if everyone in the support business is like Hatsume...\Either way, it's my first battle with version B of my mom's suit!\My preparations are complete.\Then, do it.\I-Is this really okay?\Honestly, I don't know how well I can use this suit yet, response:	and if there isn't more space, if I fire at 100 by accident,
context: They changed the materials and design without asking...\I wonder if everyone in the support business is like Hatsume...\Either way, it's my first battle with version B of my mom's suit!\My preparations are complete.\Then, do it.\I-Is this really okay?\Honestly, I don't know how well I can use this suit yet,\and if there isn't more space, if I fire at 100 by accident, response:	your body wouldn't be able to take it, sir...
context: I wonder if everyone in the support business is like Hatsume...\Either way, it's my first battle with version B of my mom's suit!\My preparations are complete.\Then, do it.\I-Is this really okay?\Honestly, I don't know how well I can use this suit yet,\and if there isn't more space, if I fire at 100 by accident,\your body wouldn't be able to take it, sir... response:	Good grief, you're such a chatterbox...
context: Either way, it's my first battle with version B of my mom's suit!\My preparations are complete.\Then, do it.\I-Is this really okay?\Honestly, I don't know how well I can use this suit yet,\and if there isn't more space, if I fire at 100 by accident,\your body wouldn't be able to take it, sir...\Good grief, you're such a chatterbox... response:	I'm losing patience!
context: My preparations are complete.\Then, do it.\I-Is this really okay?\Honestly, I don't know how well I can use this suit yet,\and if there isn't more space, if I fire at 100 by accident,\your body wouldn't be able to take it, sir...\Good grief, you're such a chatterbox...\I'm losing patience! response:	We're having real combat?
context: Then, do it.\I-Is this really okay?\Honestly, I don't know how well I can use this suit yet,\and if there isn't more space, if I fire at 100 by accident,\your body wouldn't be able to take it, sir...\Good grief, you're such a chatterbox...\I'm losing patience!\We're having real combat? response:	You couldn't see my true strength with that hit earlier?
context: I-Is this really okay?\Honestly, I don't know how well I can use this suit yet,\and if there isn't more space, if I fire at 100 by accident,\your body wouldn't be able to take it, sir...\Good grief, you're such a chatterbox...\I'm losing patience!\We're having real combat?\You couldn't see my true strength with that hit earlier? response:	I can't believe the ninth holder of One For All is such a wet blanket...
context: Honestly, I don't know how well I can use this suit yet,\and if there isn't more space, if I fire at 100 by accident,\your body wouldn't be able to take it, sir...\Good grief, you're such a chatterbox...\I'm losing patience!\We're having real combat?\You couldn't see my true strength with that hit earlier?\I can't believe the ninth holder of One For All is such a wet blanket... response:	All Might is a real novice.
context: and if there isn't more space, if I fire at 100 by accident,\your body wouldn't be able to take it, sir...\Good grief, you're such a chatterbox...\I'm losing patience!\We're having real combat?\You couldn't see my true strength with that hit earlier?\I can't believe the ninth holder of One For All is such a wet blanket...\All Might is a real novice. response:	He's too fast!
context: your body wouldn't be able to take it, sir...\Good grief, you're such a chatterbox...\I'm losing patience!\We're having real combat?\You couldn't see my true strength with that hit earlier?\I can't believe the ninth holder of One For All is such a wet blanket...\All Might is a real novice.\He's too fast! response:	What's his Quirk?
context: Good grief, you're such a chatterbox...\I'm losing patience!\We're having real combat?\You couldn't see my true strength with that hit earlier?\I can't believe the ninth holder of One For All is such a wet blanket...\All Might is a real novice.\He's too fast!\What's his Quirk? response:	No, that's not it.
context: I'm losing patience!\We're having real combat?\You couldn't see my true strength with that hit earlier?\I can't believe the ninth holder of One For All is such a wet blanket...\All Might is a real novice.\He's too fast!\What's his Quirk?\No, that's not it. response:	Under these circumstances where there's no place to hide and no openings,
context: We're having real combat?\You couldn't see my true strength with that hit earlier?\I can't believe the ninth holder of One For All is such a wet blanket...\All Might is a real novice.\He's too fast!\What's his Quirk?\No, that's not it.\Under these circumstances where there's no place to hide and no openings, response:	rather than carefully figuring out where he is,
context: You couldn't see my true strength with that hit earlier?\I can't believe the ninth holder of One For All is such a wet blanket...\All Might is a real novice.\He's too fast!\What's his Quirk?\No, that's not it.\Under these circumstances where there's no place to hide and no openings,\rather than carefully figuring out where he is, response:	I should keep him from moving.
context: I can't believe the ninth holder of One For All is such a wet blanket...\All Might is a real novice.\He's too fast!\What's his Quirk?\No, that's not it.\Under these circumstances where there's no place to hide and no openings,\rather than carefully figuring out where he is,\I should keep him from moving. response:	Imagine the egg not breaking inside the microwave!
context: All Might is a real novice.\He's too fast!\What's his Quirk?\No, that's not it.\Under these circumstances where there's no place to hide and no openings,\rather than carefully figuring out where he is,\I should keep him from moving.\Imagine the egg not breaking inside the microwave! response:	He's passed behind me twice!
context: He's too fast!\What's his Quirk?\No, that's not it.\Under these circumstances where there's no place to hide and no openings,\rather than carefully figuring out where he is,\I should keep him from moving.\Imagine the egg not breaking inside the microwave!\He's passed behind me twice! response:	Then-
context: What's his Quirk?\No, that's not it.\Under these circumstances where there's no place to hide and no openings,\rather than carefully figuring out where he is,\I should keep him from moving.\Imagine the egg not breaking inside the microwave!\He's passed behind me twice!\Then- response:	Analysis and prediction, huh?
context: No, that's not it.\Under these circumstances where there's no place to hide and no openings,\rather than carefully figuring out where he is,\I should keep him from moving.\Imagine the egg not breaking inside the microwave!\He's passed behind me twice!\Then-\Analysis and prediction, huh? response:	Smash...!
context: Under these circumstances where there's no place to hide and no openings,\rather than carefully figuring out where he is,\I should keep him from moving.\Imagine the egg not breaking inside the microwave!\He's passed behind me twice!\Then-\Analysis and prediction, huh?\Smash...! response:	But,
context: rather than carefully figuring out where he is,\I should keep him from moving.\Imagine the egg not breaking inside the microwave!\He's passed behind me twice!\Then-\Analysis and prediction, huh?\Smash...!\But, response:	you're stiff!
context: I should keep him from moving.\Imagine the egg not breaking inside the microwave!\He's passed behind me twice!\Then-\Analysis and prediction, huh?\Smash...!\But,\you're stiff! response:	And there's discord within your mind!
context: Imagine the egg not breaking inside the microwave!\He's passed behind me twice!\Then-\Analysis and prediction, huh?\Smash...!\But,\you're stiff!\And there's discord within your mind! response:	That's why it turned out like this.
context: He's passed behind me twice!\Then-\Analysis and prediction, huh?\Smash...!\But,\you're stiff!\And there's discord within your mind!\That's why it turned out like this. response:	I thought I had you for sure!
context: Then-\Analysis and prediction, huh?\Smash...!\But,\you're stiff!\And there's discord within your mind!\That's why it turned out like this.\I thought I had you for sure! response:	That's it.
context: Analysis and prediction, huh?\Smash...!\But,\you're stiff!\And there's discord within your mind!\That's why it turned out like this.\I thought I had you for sure!\That's it. response:	The way you used One For All in the cavalry battle and the tournament...
context: Smash...!\But,\you're stiff!\And there's discord within your mind!\That's why it turned out like this.\I thought I had you for sure!\That's it.\The way you used One For All in the cavalry battle and the tournament... response:	You should already understand it.
context: But,\you're stiff!\And there's discord within your mind!\That's why it turned out like this.\I thought I had you for sure!\That's it.\The way you used One For All in the cavalry battle and the tournament...\You should already understand it. response:	But your admiration for All Might and your sense of duty are like shackles.
context: you're stiff!\And there's discord within your mind!\That's why it turned out like this.\I thought I had you for sure!\That's it.\The way you used One For All in the cavalry battle and the tournament...\You should already understand it.\But your admiration for All Might and your sense of duty are like shackles. response:	Shackles...?
context: And there's discord within your mind!\That's why it turned out like this.\I thought I had you for sure!\That's it.\The way you used One For All in the cavalry battle and the tournament...\You should already understand it.\But your admiration for All Might and your sense of duty are like shackles.\Shackles...? response:	It's true that you need to get stronger, fast.
context: That's why it turned out like this.\I thought I had you for sure!\That's it.\The way you used One For All in the cavalry battle and the tournament...\You should already understand it.\But your admiration for All Might and your sense of duty are like shackles.\Shackles...?\It's true that you need to get stronger, fast. response:	But time and enemies won't wait until you get stronger.
context: I thought I had you for sure!\That's it.\The way you used One For All in the cavalry battle and the tournament...\You should already understand it.\But your admiration for All Might and your sense of duty are like shackles.\Shackles...?\It's true that you need to get stronger, fast.\But time and enemies won't wait until you get stronger. response:	You're thinking One For All is more special than it is.
context: That's it.\The way you used One For All in the cavalry battle and the tournament...\You should already understand it.\But your admiration for All Might and your sense of duty are like shackles.\Shackles...?\It's true that you need to get stronger, fast.\But time and enemies won't wait until you get stronger.\You're thinking One For All is more special than it is. response:	Then, what should I do?
context: The way you used One For All in the cavalry battle and the tournament...\You should already understand it.\But your admiration for All Might and your sense of duty are like shackles.\Shackles...?\It's true that you need to get stronger, fast.\But time and enemies won't wait until you get stronger.\You're thinking One For All is more special than it is.\Then, what should I do? response:	Think about the answer yourself.
context: You should already understand it.\But your admiration for All Might and your sense of duty are like shackles.\Shackles...?\It's true that you need to get stronger, fast.\But time and enemies won't wait until you get stronger.\You're thinking One For All is more special than it is.\Then, what should I do?\Think about the answer yourself. response:	I'll go buy some grub.
context: But your admiration for All Might and your sense of duty are like shackles.\Shackles...?\It's true that you need to get stronger, fast.\But time and enemies won't wait until you get stronger.\You're thinking One For All is more special than it is.\Then, what should I do?\Think about the answer yourself.\I'll go buy some grub. response:	I'll leave the cleaning to you.
context: Shackles...?\It's true that you need to get stronger, fast.\But time and enemies won't wait until you get stronger.\You're thinking One For All is more special than it is.\Then, what should I do?\Think about the answer yourself.\I'll go buy some grub.\I'll leave the cleaning to you. response:	Huh?!
context: It's true that you need to get stronger, fast.\But time and enemies won't wait until you get stronger.\You're thinking One For All is more special than it is.\Then, what should I do?\Think about the answer yourself.\I'll go buy some grub.\I'll leave the cleaning to you.\Huh?! response:	My admiration for All Might... is a shackle?
context: But time and enemies won't wait until you get stronger.\You're thinking One For All is more special than it is.\Then, what should I do?\Think about the answer yourself.\I'll go buy some grub.\I'll leave the cleaning to you.\Huh?!\My admiration for All Might... is a shackle? response:	Same Time - Hosu City
context: You're thinking One For All is more special than it is.\Then, what should I do?\Think about the answer yourself.\I'll go buy some grub.\I'll leave the cleaning to you.\Huh?!\My admiration for All Might... is a shackle?\Same Time - Hosu City response:	Normally, we're mostly just waiting for calls from clients,
context: Then, what should I do?\Think about the answer yourself.\I'll go buy some grub.\I'll leave the cleaning to you.\Huh?!\My admiration for All Might... is a shackle?\Same Time - Hosu City\Normally, we're mostly just waiting for calls from clients, response:	but recently, you know, Hosu's been kind of hectic.
context: Think about the answer yourself.\I'll go buy some grub.\I'll leave the cleaning to you.\Huh?!\My admiration for All Might... is a shackle?\Same Time - Hosu City\Normally, we're mostly just waiting for calls from clients,\but recently, you know, Hosu's been kind of hectic. response:	Pro Hero - Manual Tenya Iida - Quirk: Engine
context: I'll go buy some grub.\I'll leave the cleaning to you.\Huh?!\My admiration for All Might... is a shackle?\Same Time - Hosu City\Normally, we're mostly just waiting for calls from clients,\but recently, you know, Hosu's been kind of hectic.\Pro Hero - Manual Tenya Iida - Quirk: Engine response:	Street patrols become a way to suppress crime.
context: I'll leave the cleaning to you.\Huh?!\My admiration for All Might... is a shackle?\Same Time - Hosu City\Normally, we're mostly just waiting for calls from clients,\but recently, you know, Hosu's been kind of hectic.\Pro Hero - Manual Tenya Iida - Quirk: Engine\Street patrols become a way to suppress crime. response:	That's right.
context: Huh?!\My admiration for All Might... is a shackle?\Same Time - Hosu City\Normally, we're mostly just waiting for calls from clients,\but recently, you know, Hosu's been kind of hectic.\Pro Hero - Manual Tenya Iida - Quirk: Engine\Street patrols become a way to suppress crime.\That's right. response:	But man, I can't believe Ingenium's little brother is interning at my agency.
context: My admiration for All Might... is a shackle?\Same Time - Hosu City\Normally, we're mostly just waiting for calls from clients,\but recently, you know, Hosu's been kind of hectic.\Pro Hero - Manual Tenya Iida - Quirk: Engine\Street patrols become a way to suppress crime.\That's right.\But man, I can't believe Ingenium's little brother is interning at my agency. response:	I'm sure you had offers from heroes more capable than me.
