context: Yuueisha response:	Hey, Hattori!
context: For the early report, we're first!\Yes!\But don't get relaxed.\You two have thirty-three votes.\Niizuma-kun has thirty-one votes.\That Hattori guy...\If Eiji loses, it will definitely put a damper on our serialization.\No, there's no way Niizuma Eiji will lose. response:	I just got the results for the real deal.
context: Yes!\But don't get relaxed.\You two have thirty-three votes.\Niizuma-kun has thirty-one votes.\That Hattori guy...\If Eiji loses, it will definitely put a damper on our serialization.\No, there's no way Niizuma Eiji will lose.\I just got the results for the real deal. response:	Your rank for the real deal is...
context: But don't get relaxed.\You two have thirty-three votes.\Niizuma-kun has thirty-one votes.\That Hattori guy...\If Eiji loses, it will definitely put a damper on our serialization.\No, there's no way Niizuma Eiji will lose.\I just got the results for the real deal.\Your rank for the real deal is... response:	Third place.
context: You two have thirty-three votes.\Niizuma-kun has thirty-one votes.\That Hattori guy...\If Eiji loses, it will definitely put a damper on our serialization.\No, there's no way Niizuma Eiji will lose.\I just got the results for the real deal.\Your rank for the real deal is...\Third place. response:	Third?
context: Niizuma-kun has thirty-one votes.\That Hattori guy...\If Eiji loses, it will definitely put a damper on our serialization.\No, there's no way Niizuma Eiji will lose.\I just got the results for the real deal.\Your rank for the real deal is...\Third place.\Third? response:	Niizuma-kun, you got first place in the questionnaires.
context: That Hattori guy...\If Eiji loses, it will definitely put a damper on our serialization.\No, there's no way Niizuma Eiji will lose.\I just got the results for the real deal.\Your rank for the real deal is...\Third place.\Third?\Niizuma-kun, you got first place in the questionnaires. response:	Congratulations!
context: If Eiji loses, it will definitely put a damper on our serialization.\No, there's no way Niizuma Eiji will lose.\I just got the results for the real deal.\Your rank for the real deal is...\Third place.\Third?\Niizuma-kun, you got first place in the questionnaires.\Congratulations! response:	What are questionnaires?
context: No, there's no way Niizuma Eiji will lose.\I just got the results for the real deal.\Your rank for the real deal is...\Third place.\Third?\Niizuma-kun, you got first place in the questionnaires.\Congratulations!\What are questionnaires? response:	I think I can make the character designs for serialization even better.
context: I just got the results for the real deal.\Your rank for the real deal is...\Third place.\Third?\Niizuma-kun, you got first place in the questionnaires.\Congratulations!\What are questionnaires?\I think I can make the character designs for serialization even better. response:	I can probably go with this protagonist.
context: Your rank for the real deal is...\Third place.\Third?\Niizuma-kun, you got first place in the questionnaires.\Congratulations!\What are questionnaires?\I think I can make the character designs for serialization even better.\I can probably go with this protagonist. response:	This is fine.
context: Third place.\Third?\Niizuma-kun, you got first place in the questionnaires.\Congratulations!\What are questionnaires?\I think I can make the character designs for serialization even better.\I can probably go with this protagonist.\This is fine. response:	This boy doesn't need to know about the questionnaires and stuff.
context: Third?\Niizuma-kun, you got first place in the questionnaires.\Congratulations!\What are questionnaires?\I think I can make the character designs for serialization even better.\I can probably go with this protagonist.\This is fine.\This boy doesn't need to know about the questionnaires and stuff. response:	Saikou...
context: Niizuma-kun, you got first place in the questionnaires.\Congratulations!\What are questionnaires?\I think I can make the character designs for serialization even better.\I can probably go with this protagonist.\This is fine.\This boy doesn't need to know about the questionnaires and stuff.\Saikou... response:	There are lots of people who do mainstream,
context: Congratulations!\What are questionnaires?\I think I can make the character designs for serialization even better.\I can probably go with this protagonist.\This is fine.\This boy doesn't need to know about the questionnaires and stuff.\Saikou...\There are lots of people who do mainstream, response:	so being number one is hard.
context: What are questionnaires?\I think I can make the character designs for serialization even better.\I can probably go with this protagonist.\This is fine.\This boy doesn't need to know about the questionnaires and stuff.\Saikou...\There are lots of people who do mainstream,\so being number one is hard. response:	In other words, doing cult is just running away!
context: I think I can make the character designs for serialization even better.\I can probably go with this protagonist.\This is fine.\This boy doesn't need to know about the questionnaires and stuff.\Saikou...\There are lots of people who do mainstream,\so being number one is hard.\In other words, doing cult is just running away! response:	What we're aiming for is number one in Japan!
context: I can probably go with this protagonist.\This is fine.\This boy doesn't need to know about the questionnaires and stuff.\Saikou...\There are lots of people who do mainstream,\so being number one is hard.\In other words, doing cult is just running away!\What we're aiming for is number one in Japan! response:	Are you really sure about this?
context: This is fine.\This boy doesn't need to know about the questionnaires and stuff.\Saikou...\There are lots of people who do mainstream,\so being number one is hard.\In other words, doing cult is just running away!\What we're aiming for is number one in Japan!\Are you really sure about this? response:	Yup!
context: This boy doesn't need to know about the questionnaires and stuff.\Saikou...\There are lots of people who do mainstream,\so being number one is hard.\In other words, doing cult is just running away!\What we're aiming for is number one in Japan!\Are you really sure about this?\Yup! response:	Whatever you say, but why are you going so far for this?
context: Saikou...\There are lots of people who do mainstream,\so being number one is hard.\In other words, doing cult is just running away!\What we're aiming for is number one in Japan!\Are you really sure about this?\Yup!\Whatever you say, but why are you going so far for this? response:	Don't worry about it. Just make sure you don't hold back.
context: There are lots of people who do mainstream,\so being number one is hard.\In other words, doing cult is just running away!\What we're aiming for is number one in Japan!\Are you really sure about this?\Yup!\Whatever you say, but why are you going so far for this?\Don't worry about it. Just make sure you don't hold back. response:	Hey, what are they doing?
context: so being number one is hard.\In other words, doing cult is just running away!\What we're aiming for is number one in Japan!\Are you really sure about this?\Yup!\Whatever you say, but why are you going so far for this?\Don't worry about it. Just make sure you don't hold back.\Hey, what are they doing? response:	Boxing?
context: In other words, doing cult is just running away!\What we're aiming for is number one in Japan!\Are you really sure about this?\Yup!\Whatever you say, but why are you going so far for this?\Don't worry about it. Just make sure you don't hold back.\Hey, what are they doing?\Boxing? response:	No, that's mixed martial arts!
context: What we're aiming for is number one in Japan!\Are you really sure about this?\Yup!\Whatever you say, but why are you going so far for this?\Don't worry about it. Just make sure you don't hold back.\Hey, what are they doing?\Boxing?\No, that's mixed martial arts! response:	Hey, keep it down.
context: Are you really sure about this?\Yup!\Whatever you say, but why are you going so far for this?\Don't worry about it. Just make sure you don't hold back.\Hey, what are they doing?\Boxing?\No, that's mixed martial arts!\Hey, keep it down. response:	We're not playing around here.
context: Yup!\Whatever you say, but why are you going so far for this?\Don't worry about it. Just make sure you don't hold back.\Hey, what are they doing?\Boxing?\No, that's mixed martial arts!\Hey, keep it down.\We're not playing around here. response:	Good luck, miss!
context: Whatever you say, but why are you going so far for this?\Don't worry about it. Just make sure you don't hold back.\Hey, what are they doing?\Boxing?\No, that's mixed martial arts!\Hey, keep it down.\We're not playing around here.\Good luck, miss! response:	Hey! Come on already!
context: Don't worry about it. Just make sure you don't hold back.\Hey, what are they doing?\Boxing?\No, that's mixed martial arts!\Hey, keep it down.\We're not playing around here.\Good luck, miss!\Hey! Come on already! response:	SStop it, I give, I give!
context: Hey, what are they doing?\Boxing?\No, that's mixed martial arts!\Hey, keep it down.\We're not playing around here.\Good luck, miss!\Hey! Come on already!\SStop it, I give, I give! response:	What happened, Shuujin?
context: Boxing?\No, that's mixed martial arts!\Hey, keep it down.\We're not playing around here.\Good luck, miss!\Hey! Come on already!\SStop it, I give, I give!\What happened, Shuujin? response:	You get beat up by Miyoshi again?
context: No, that's mixed martial arts!\Hey, keep it down.\We're not playing around here.\Good luck, miss!\Hey! Come on already!\SStop it, I give, I give!\What happened, Shuujin?\You get beat up by Miyoshi again? response:	No, I asked her to do this.
context: Hey, keep it down.\We're not playing around here.\Good luck, miss!\Hey! Come on already!\SStop it, I give, I give!\What happened, Shuujin?\You get beat up by Miyoshi again?\No, I asked her to do this. response:	I thought that I didn't understand the feelings of people who fight in battle stories.
context: We're not playing around here.\Good luck, miss!\Hey! Come on already!\SStop it, I give, I give!\What happened, Shuujin?\You get beat up by Miyoshi again?\No, I asked her to do this.\I thought that I didn't understand the feelings of people who fight in battle stories. response:	Isn't that kind of different?
context: Good luck, miss!\Hey! Come on already!\SStop it, I give, I give!\What happened, Shuujin?\You get beat up by Miyoshi again?\No, I asked her to do this.\I thought that I didn't understand the feelings of people who fight in battle stories.\Isn't that kind of different? response:	Well, maybe you have a point...
context: Hey! Come on already!\SStop it, I give, I give!\What happened, Shuujin?\You get beat up by Miyoshi again?\No, I asked her to do this.\I thought that I didn't understand the feelings of people who fight in battle stories.\Isn't that kind of different?\Well, maybe you have a point... response:	Did you learn anything?
context: SStop it, I give, I give!\What happened, Shuujin?\You get beat up by Miyoshi again?\No, I asked her to do this.\I thought that I didn't understand the feelings of people who fight in battle stories.\Isn't that kind of different?\Well, maybe you have a point...\Did you learn anything? response:	Fighting is scary.
context: What happened, Shuujin?\You get beat up by Miyoshi again?\No, I asked her to do this.\I thought that I didn't understand the feelings of people who fight in battle stories.\Isn't that kind of different?\Well, maybe you have a point...\Did you learn anything?\Fighting is scary. response:	That's really the truth.
context: You get beat up by Miyoshi again?\No, I asked her to do this.\I thought that I didn't understand the feelings of people who fight in battle stories.\Isn't that kind of different?\Well, maybe you have a point...\Did you learn anything?\Fighting is scary.\That's really the truth. response:	We can't make a story about a protagonist who's afraid of fighting, though.
context: No, I asked her to do this.\I thought that I didn't understand the feelings of people who fight in battle stories.\Isn't that kind of different?\Well, maybe you have a point...\Did you learn anything?\Fighting is scary.\That's really the truth.\We can't make a story about a protagonist who's afraid of fighting, though. response:	Saikou-kun, congratulations on placing third in Jack NEXT!!
context: I thought that I didn't understand the feelings of people who fight in battle stories.\Isn't that kind of different?\Well, maybe you have a point...\Did you learn anything?\Fighting is scary.\That's really the truth.\We can't make a story about a protagonist who's afraid of fighting, though.\Saikou-kun, congratulations on placing third in Jack NEXT!! response:	If it were the main magazine, it would be a different story.
context: Isn't that kind of different?\Well, maybe you have a point...\Did you learn anything?\Fighting is scary.\That's really the truth.\We can't make a story about a protagonist who's afraid of fighting, though.\Saikou-kun, congratulations on placing third in Jack NEXT!!\If it were the main magazine, it would be a different story. response:	But getting that rank in NEXT! has no meaning.
context: Well, maybe you have a point...\Did you learn anything?\Fighting is scary.\That's really the truth.\We can't make a story about a protagonist who's afraid of fighting, though.\Saikou-kun, congratulations on placing third in Jack NEXT!!\If it were the main magazine, it would be a different story.\But getting that rank in NEXT! has no meaning. response:	Huh? Why?
context: Did you learn anything?\Fighting is scary.\That's really the truth.\We can't make a story about a protagonist who's afraid of fighting, though.\Saikou-kun, congratulations on placing third in Jack NEXT!!\If it were the main magazine, it would be a different story.\But getting that rank in NEXT! has no meaning.\Huh? Why? response:	I told you, didn't I?
context: Fighting is scary.\That's really the truth.\We can't make a story about a protagonist who's afraid of fighting, though.\Saikou-kun, congratulations on placing third in Jack NEXT!!\If it were the main magazine, it would be a different story.\But getting that rank in NEXT! has no meaning.\Huh? Why?\I told you, didn't I? response:	What we're going for is first.
context: That's really the truth.\We can't make a story about a protagonist who's afraid of fighting, though.\Saikou-kun, congratulations on placing third in Jack NEXT!!\If it were the main magazine, it would be a different story.\But getting that rank in NEXT! has no meaning.\Huh? Why?\I told you, didn't I?\What we're going for is first. response:	Otherwise, it's not enough to get us serialized.
context: We can't make a story about a protagonist who's afraid of fighting, though.\Saikou-kun, congratulations on placing third in Jack NEXT!!\If it were the main magazine, it would be a different story.\But getting that rank in NEXT! has no meaning.\Huh? Why?\I told you, didn't I?\What we're going for is first.\Otherwise, it's not enough to get us serialized. response:	Well, that may be true...
context: Saikou-kun, congratulations on placing third in Jack NEXT!!\If it were the main magazine, it would be a different story.\But getting that rank in NEXT! has no meaning.\Huh? Why?\I told you, didn't I?\What we're going for is first.\Otherwise, it's not enough to get us serialized.\Well, that may be true... response:	But...
context: If it were the main magazine, it would be a different story.\But getting that rank in NEXT! has no meaning.\Huh? Why?\I told you, didn't I?\What we're going for is first.\Otherwise, it's not enough to get us serialized.\Well, that may be true...\But... response:	In the end, everything in the world has ranks.
context: But getting that rank in NEXT! has no meaning.\Huh? Why?\I told you, didn't I?\What we're going for is first.\Otherwise, it's not enough to get us serialized.\Well, that may be true...\But...\In the end, everything in the world has ranks. response:	I really don't like it.
context: Huh? Why?\I told you, didn't I?\What we're going for is first.\Otherwise, it's not enough to get us serialized.\Well, that may be true...\But...\In the end, everything in the world has ranks.\I really don't like it. response:	So, Saikou, why are you drawing Dragon Ball?
context: I told you, didn't I?\What we're going for is first.\Otherwise, it's not enough to get us serialized.\Well, that may be true...\But...\In the end, everything in the world has ranks.\I really don't like it.\So, Saikou, why are you drawing Dragon Ball? response:	Isn't that someone else's manga?!
context: What we're going for is first.\Otherwise, it's not enough to get us serialized.\Well, that may be true...\But...\In the end, everything in the world has ranks.\I really don't like it.\So, Saikou, why are you drawing Dragon Ball?\Isn't that someone else's manga?! response:	You're not supposed to copy it, right?
context: Otherwise, it's not enough to get us serialized.\Well, that may be true...\But...\In the end, everything in the world has ranks.\I really don't like it.\So, Saikou, why are you drawing Dragon Ball?\Isn't that someone else's manga?!\You're not supposed to copy it, right? response:	I decided to find scenes I scenes that stood out in ten battle manga...
context: Well, that may be true...\But...\In the end, everything in the world has ranks.\I really don't like it.\So, Saikou, why are you drawing Dragon Ball?\Isn't that someone else's manga?!\You're not supposed to copy it, right?\I decided to find scenes I scenes that stood out in ten battle manga... response:	and copy at least a hundred pages from each.
context: But...\In the end, everything in the world has ranks.\I really don't like it.\So, Saikou, why are you drawing Dragon Ball?\Isn't that someone else's manga?!\You're not supposed to copy it, right?\I decided to find scenes I scenes that stood out in ten battle manga...\and copy at least a hundred pages from each. response:	A hundred pages each from ten works?!
context: In the end, everything in the world has ranks.\I really don't like it.\So, Saikou, why are you drawing Dragon Ball?\Isn't that someone else's manga?!\You're not supposed to copy it, right?\I decided to find scenes I scenes that stood out in ten battle manga...\and copy at least a hundred pages from each.\A hundred pages each from ten works?! response:	If I can't even do this much, I don't think I'll be able to draw a battle manga.
context: I really don't like it.\So, Saikou, why are you drawing Dragon Ball?\Isn't that someone else's manga?!\You're not supposed to copy it, right?\I decided to find scenes I scenes that stood out in ten battle manga...\and copy at least a hundred pages from each.\A hundred pages each from ten works?!\If I can't even do this much, I don't think I'll be able to draw a battle manga. response:	Doing this will help me make my own original drawings.
context: So, Saikou, why are you drawing Dragon Ball?\Isn't that someone else's manga?!\You're not supposed to copy it, right?\I decided to find scenes I scenes that stood out in ten battle manga...\and copy at least a hundred pages from each.\A hundred pages each from ten works?!\If I can't even do this much, I don't think I'll be able to draw a battle manga.\Doing this will help me make my own original drawings. response:	What does he mean?
context: Isn't that someone else's manga?!\You're not supposed to copy it, right?\I decided to find scenes I scenes that stood out in ten battle manga...\and copy at least a hundred pages from each.\A hundred pages each from ten works?!\If I can't even do this much, I don't think I'll be able to draw a battle manga.\Doing this will help me make my own original drawings.\What does he mean? response:	Well, it's kind of hard to explain, but...
context: You're not supposed to copy it, right?\I decided to find scenes I scenes that stood out in ten battle manga...\and copy at least a hundred pages from each.\A hundred pages each from ten works?!\If I can't even do this much, I don't think I'll be able to draw a battle manga.\Doing this will help me make my own original drawings.\What does he mean?\Well, it's kind of hard to explain, but... response:	To put it simply, what we did for NEXT! was a cult type manga.
context: I decided to find scenes I scenes that stood out in ten battle manga...\and copy at least a hundred pages from each.\A hundred pages each from ten works?!\If I can't even do this much, I don't think I'll be able to draw a battle manga.\Doing this will help me make my own original drawings.\What does he mean?\Well, it's kind of hard to explain, but...\To put it simply, what we did for NEXT! was a cult type manga. response:	We thought that to get first in Jack,
context: and copy at least a hundred pages from each.\A hundred pages each from ten works?!\If I can't even do this much, I don't think I'll be able to draw a battle manga.\Doing this will help me make my own original drawings.\What does he mean?\Well, it's kind of hard to explain, but...\To put it simply, what we did for NEXT! was a cult type manga.\We thought that to get first in Jack, response:	we need to do a mainstream battle manga.
context: A hundred pages each from ten works?!\If I can't even do this much, I don't think I'll be able to draw a battle manga.\Doing this will help me make my own original drawings.\What does he mean?\Well, it's kind of hard to explain, but...\To put it simply, what we did for NEXT! was a cult type manga.\We thought that to get first in Jack,\we need to do a mainstream battle manga. response:	So, we're going to try that.
context: If I can't even do this much, I don't think I'll be able to draw a battle manga.\Doing this will help me make my own original drawings.\What does he mean?\Well, it's kind of hard to explain, but...\To put it simply, what we did for NEXT! was a cult type manga.\We thought that to get first in Jack,\we need to do a mainstream battle manga.\So, we're going to try that. response:	I don't really get what you mean about this mainstream and cult stuff.
context: Doing this will help me make my own original drawings.\What does he mean?\Well, it's kind of hard to explain, but...\To put it simply, what we did for NEXT! was a cult type manga.\We thought that to get first in Jack,\we need to do a mainstream battle manga.\So, we're going to try that.\I don't really get what you mean about this mainstream and cult stuff. response:	But that's why Mashiro is studying Dragon Ball's artwork
context: What does he mean?\Well, it's kind of hard to explain, but...\To put it simply, what we did for NEXT! was a cult type manga.\We thought that to get first in Jack,\we need to do a mainstream battle manga.\So, we're going to try that.\I don't really get what you mean about this mainstream and cult stuff.\But that's why Mashiro is studying Dragon Ball's artwork response:	and why you asked me to fight you seriously?
context: Well, it's kind of hard to explain, but...\To put it simply, what we did for NEXT! was a cult type manga.\We thought that to get first in Jack,\we need to do a mainstream battle manga.\So, we're going to try that.\I don't really get what you mean about this mainstream and cult stuff.\But that's why Mashiro is studying Dragon Ball's artwork\and why you asked me to fight you seriously? response:	Basically.
context: To put it simply, what we did for NEXT! was a cult type manga.\We thought that to get first in Jack,\we need to do a mainstream battle manga.\So, we're going to try that.\I don't really get what you mean about this mainstream and cult stuff.\But that's why Mashiro is studying Dragon Ball's artwork\and why you asked me to fight you seriously?\Basically. response:	I didn't really learn much from it, though.
context: We thought that to get first in Jack,\we need to do a mainstream battle manga.\So, we're going to try that.\I don't really get what you mean about this mainstream and cult stuff.\But that's why Mashiro is studying Dragon Ball's artwork\and why you asked me to fight you seriously?\Basically.\I didn't really learn much from it, though. response:	You guys are amazing.
context: we need to do a mainstream battle manga.\So, we're going to try that.\I don't really get what you mean about this mainstream and cult stuff.\But that's why Mashiro is studying Dragon Ball's artwork\and why you asked me to fight you seriously?\Basically.\I didn't really learn much from it, though.\You guys are amazing. response:	How can you face forward and head straight for your dreams like that?
context: So, we're going to try that.\I don't really get what you mean about this mainstream and cult stuff.\But that's why Mashiro is studying Dragon Ball's artwork\and why you asked me to fight you seriously?\Basically.\I didn't really learn much from it, though.\You guys are amazing.\How can you face forward and head straight for your dreams like that? response:	You know, right?
context: I don't really get what you mean about this mainstream and cult stuff.\But that's why Mashiro is studying Dragon Ball's artwork\and why you asked me to fight you seriously?\Basically.\I didn't really learn much from it, though.\You guys are amazing.\How can you face forward and head straight for your dreams like that?\You know, right? response:	About how in the second year of middle school, I went all the way to the national championships for karate.
context: But that's why Mashiro is studying Dragon Ball's artwork\and why you asked me to fight you seriously?\Basically.\I didn't really learn much from it, though.\You guys are amazing.\How can you face forward and head straight for your dreams like that?\You know, right?\About how in the second year of middle school, I went all the way to the national championships for karate. response:	But I knew there were tons of people there stronger than me,
context: and why you asked me to fight you seriously?\Basically.\I didn't really learn much from it, though.\You guys are amazing.\How can you face forward and head straight for your dreams like that?\You know, right?\About how in the second year of middle school, I went all the way to the national championships for karate.\But I knew there were tons of people there stronger than me, response:	and I also had exams to take, so I quit pretty easily.
context: Basically.\I didn't really learn much from it, though.\You guys are amazing.\How can you face forward and head straight for your dreams like that?\You know, right?\About how in the second year of middle school, I went all the way to the national championships for karate.\But I knew there were tons of people there stronger than me,\and I also had exams to take, so I quit pretty easily. response:	Even Miho keeps trying and doesn't get discouraged when she fails an audition.
context: I didn't really learn much from it, though.\You guys are amazing.\How can you face forward and head straight for your dreams like that?\You know, right?\About how in the second year of middle school, I went all the way to the national championships for karate.\But I knew there were tons of people there stronger than me,\and I also had exams to take, so I quit pretty easily.\Even Miho keeps trying and doesn't get discouraged when she fails an audition. response:	So, Azuki failed some auditions?
context: You guys are amazing.\How can you face forward and head straight for your dreams like that?\You know, right?\About how in the second year of middle school, I went all the way to the national championships for karate.\But I knew there were tons of people there stronger than me,\and I also had exams to take, so I quit pretty easily.\Even Miho keeps trying and doesn't get discouraged when she fails an audition.\So, Azuki failed some auditions? response:	Didn't you know?
context: How can you face forward and head straight for your dreams like that?\You know, right?\About how in the second year of middle school, I went all the way to the national championships for karate.\But I knew there were tons of people there stronger than me,\and I also had exams to take, so I quit pretty easily.\Even Miho keeps trying and doesn't get discouraged when she fails an audition.\So, Azuki failed some auditions?\Didn't you know? response:	You didn't get an email about it?
context: You know, right?\About how in the second year of middle school, I went all the way to the national championships for karate.\But I knew there were tons of people there stronger than me,\and I also had exams to take, so I quit pretty easily.\Even Miho keeps trying and doesn't get discouraged when she fails an audition.\So, Azuki failed some auditions?\Didn't you know?\You didn't get an email about it? response:	I never got one like that.
context: About how in the second year of middle school, I went all the way to the national championships for karate.\But I knew there were tons of people there stronger than me,\and I also had exams to take, so I quit pretty easily.\Even Miho keeps trying and doesn't get discouraged when she fails an audition.\So, Azuki failed some auditions?\Didn't you know?\You didn't get an email about it?\I never got one like that. response:	I get it.
context: But I knew there were tons of people there stronger than me,\and I also had exams to take, so I quit pretty easily.\Even Miho keeps trying and doesn't get discouraged when she fails an audition.\So, Azuki failed some auditions?\Didn't you know?\You didn't get an email about it?\I never got one like that.\I get it. response:	I didn't send her an email about getting third, which wasn't good enough.
context: and I also had exams to take, so I quit pretty easily.\Even Miho keeps trying and doesn't get discouraged when she fails an audition.\So, Azuki failed some auditions?\Didn't you know?\You didn't get an email about it?\I never got one like that.\I get it.\I didn't send her an email about getting third, which wasn't good enough. response:	I'm sure Azuki will only tell me when she overcomes hurdles...
context: Even Miho keeps trying and doesn't get discouraged when she fails an audition.\So, Azuki failed some auditions?\Didn't you know?\You didn't get an email about it?\I never got one like that.\I get it.\I didn't send her an email about getting third, which wasn't good enough.\I'm sure Azuki will only tell me when she overcomes hurdles... response:	and gets closer to her dream, too.
context: So, Azuki failed some auditions?\Didn't you know?\You didn't get an email about it?\I never got one like that.\I get it.\I didn't send her an email about getting third, which wasn't good enough.\I'm sure Azuki will only tell me when she overcomes hurdles...\and gets closer to her dream, too. response:	That seems like her.
context: Didn't you know?\You didn't get an email about it?\I never got one like that.\I get it.\I didn't send her an email about getting third, which wasn't good enough.\I'm sure Azuki will only tell me when she overcomes hurdles...\and gets closer to her dream, too.\That seems like her. response:	I see... Miho sure is strong.
context: You didn't get an email about it?\I never got one like that.\I get it.\I didn't send her an email about getting third, which wasn't good enough.\I'm sure Azuki will only tell me when she overcomes hurdles...\and gets closer to her dream, too.\That seems like her.\I see... Miho sure is strong. response:	Most girls, when they fail or feel down,
context: I never got one like that.\I get it.\I didn't send her an email about getting third, which wasn't good enough.\I'm sure Azuki will only tell me when she overcomes hurdles...\and gets closer to her dream, too.\That seems like her.\I see... Miho sure is strong.\Most girls, when they fail or feel down, response:	want to be encouraged by the person they like.
context: I get it.\I didn't send her an email about getting third, which wasn't good enough.\I'm sure Azuki will only tell me when she overcomes hurdles...\and gets closer to her dream, too.\That seems like her.\I see... Miho sure is strong.\Most girls, when they fail or feel down,\want to be encouraged by the person they like. response:	I'm going to send Azuki a quick email.
context: I didn't send her an email about getting third, which wasn't good enough.\I'm sure Azuki will only tell me when she overcomes hurdles...\and gets closer to her dream, too.\That seems like her.\I see... Miho sure is strong.\Most girls, when they fail or feel down,\want to be encouraged by the person they like.\I'm going to send Azuki a quick email. response:	Eh? Why?
context: I'm sure Azuki will only tell me when she overcomes hurdles...\and gets closer to her dream, too.\That seems like her.\I see... Miho sure is strong.\Most girls, when they fail or feel down,\want to be encouraged by the person they like.\I'm going to send Azuki a quick email.\Eh? Why? response:	To tell her that the results from NEXT! weren't good this time,
context: and gets closer to her dream, too.\That seems like her.\I see... Miho sure is strong.\Most girls, when they fail or feel down,\want to be encouraged by the person they like.\I'm going to send Azuki a quick email.\Eh? Why?\To tell her that the results from NEXT! weren't good this time, response:	but I'm using it as motivation to try harder.
context: That seems like her.\I see... Miho sure is strong.\Most girls, when they fail or feel down,\want to be encouraged by the person they like.\I'm going to send Azuki a quick email.\Eh? Why?\To tell her that the results from NEXT! weren't good this time,\but I'm using it as motivation to try harder. response:	So, you do have some sense in you?
context: I see... Miho sure is strong.\Most girls, when they fail or feel down,\want to be encouraged by the person they like.\I'm going to send Azuki a quick email.\Eh? Why?\To tell her that the results from NEXT! weren't good this time,\but I'm using it as motivation to try harder.\So, you do have some sense in you? response:	That will definitely encourage Miho.
context: Most girls, when they fail or feel down,\want to be encouraged by the person they like.\I'm going to send Azuki a quick email.\Eh? Why?\To tell her that the results from NEXT! weren't good this time,\but I'm using it as motivation to try harder.\So, you do have some sense in you?\That will definitely encourage Miho. response:	Okay, send!
context: want to be encouraged by the person they like.\I'm going to send Azuki a quick email.\Eh? Why?\To tell her that the results from NEXT! weren't good this time,\but I'm using it as motivation to try harder.\So, you do have some sense in you?\That will definitely encourage Miho.\Okay, send! response:	That was fast!
context: I'm going to send Azuki a quick email.\Eh? Why?\To tell her that the results from NEXT! weren't good this time,\but I'm using it as motivation to try harder.\So, you do have some sense in you?\That will definitely encourage Miho.\Okay, send!\That was fast! response:	Is that Miho's reply?
context: Eh? Why?\To tell her that the results from NEXT! weren't good this time,\but I'm using it as motivation to try harder.\So, you do have some sense in you?\That will definitely encourage Miho.\Okay, send!\That was fast!\Is that Miho's reply? response:	They're short, but when they write to each other, they're always fast.
context: To tell her that the results from NEXT! weren't good this time,\but I'm using it as motivation to try harder.\So, you do have some sense in you?\That will definitely encourage Miho.\Okay, send!\That was fast!\Is that Miho's reply?\They're short, but when they write to each other, they're always fast. response:	Well? What did Miho say?
context: but I'm using it as motivation to try harder.\So, you do have some sense in you?\That will definitely encourage Miho.\Okay, send!\That was fast!\Is that Miho's reply?\They're short, but when they write to each other, they're always fast.\Well? What did Miho say? response:	Kaya told Mashiro to do something unnecessary, didn't she?
