context: Let's see... response:	Goku- sa, look at this! Gohan is already solvin' problems as difficult as this!
context: You pierced through this armor quite easily. That's quite a technique.\If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around!\It doesn't mean anything if I don't hit you!\All right!\Wow, I did it! response:	I lost a great deal of time to Old Lady Snake there.
context: If I had taken that head-on, I would have been out!\That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around!\It doesn't mean anything if I don't hit you!\All right!\Wow, I did it!\I lost a great deal of time to Old Lady Snake there. response:	If I don't hurry up, things will get nasty!
context: That doesn't mean anything if I don't hit you!\To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around!\It doesn't mean anything if I don't hit you!\All right!\Wow, I did it!\I lost a great deal of time to Old Lady Snake there.\If I don't hurry up, things will get nasty! response:	Oh, no you don't!
context: To think that you would inflict injury upon me!\You're going to pay for this! I'm through playing around!\It doesn't mean anything if I don't hit you!\All right!\Wow, I did it!\I lost a great deal of time to Old Lady Snake there.\If I don't hurry up, things will get nasty!\Oh, no you don't! response:	Hey, we meet again!
context: You're going to pay for this! I'm through playing around!\It doesn't mean anything if I don't hit you!\All right!\Wow, I did it!\I lost a great deal of time to Old Lady Snake there.\If I don't hurry up, things will get nasty!\Oh, no you don't!\Hey, we meet again! response:	It sure is big!
context: It doesn't mean anything if I don't hit you!\All right!\Wow, I did it!\I lost a great deal of time to Old Lady Snake there.\If I don't hurry up, things will get nasty!\Oh, no you don't!\Hey, we meet again!\It sure is big! response:	I wonder how long this beach goes on for.
context: All right!\Wow, I did it!\I lost a great deal of time to Old Lady Snake there.\If I don't hurry up, things will get nasty!\Oh, no you don't!\Hey, we meet again!\It sure is big!\I wonder how long this beach goes on for. response:	Mother...
context: Wow, I did it!\I lost a great deal of time to Old Lady Snake there.\If I don't hurry up, things will get nasty!\Oh, no you don't!\Hey, we meet again!\It sure is big!\I wonder how long this beach goes on for.\Mother... response:	Chichi!
context: I lost a great deal of time to Old Lady Snake there.\If I don't hurry up, things will get nasty!\Oh, no you don't!\Hey, we meet again!\It sure is big!\I wonder how long this beach goes on for.\Mother...\Chichi! response:	I brung some of my special-made porridge.
context: If I don't hurry up, things will get nasty!\Oh, no you don't!\Hey, we meet again!\It sure is big!\I wonder how long this beach goes on for.\Mother...\Chichi!\I brung some of my special-made porridge. response:	Eat some of this, you'll feel better, Chichi.
context: Oh, no you don't!\Hey, we meet again!\It sure is big!\I wonder how long this beach goes on for.\Mother...\Chichi!\I brung some of my special-made porridge.\Eat some of this, you'll feel better, Chichi. response:	Nope.
context: Hey, we meet again!\It sure is big!\I wonder how long this beach goes on for.\Mother...\Chichi!\I brung some of my special-made porridge.\Eat some of this, you'll feel better, Chichi.\Nope. response:	You ain't eaten nothin' for a whole week now, have you?
context: It sure is big!\I wonder how long this beach goes on for.\Mother...\Chichi!\I brung some of my special-made porridge.\Eat some of this, you'll feel better, Chichi.\Nope.\You ain't eaten nothin' for a whole week now, have you? response:	Come on, just eat this.
context: I wonder how long this beach goes on for.\Mother...\Chichi!\I brung some of my special-made porridge.\Eat some of this, you'll feel better, Chichi.\Nope.\You ain't eaten nothin' for a whole week now, have you?\Come on, just eat this. response:	I'm not goin' to...
context: Mother...\Chichi!\I brung some of my special-made porridge.\Eat some of this, you'll feel better, Chichi.\Nope.\You ain't eaten nothin' for a whole week now, have you?\Come on, just eat this.\I'm not goin' to... response:	Gohan...
context: Chichi!\I brung some of my special-made porridge.\Eat some of this, you'll feel better, Chichi.\Nope.\You ain't eaten nothin' for a whole week now, have you?\Come on, just eat this.\I'm not goin' to...\Gohan... response:	Huh? That's what I made!
context: I brung some of my special-made porridge.\Eat some of this, you'll feel better, Chichi.\Nope.\You ain't eaten nothin' for a whole week now, have you?\Come on, just eat this.\I'm not goin' to...\Gohan...\Huh? That's what I made! response:	I've come back to the starting point.
context: Eat some of this, you'll feel better, Chichi.\Nope.\You ain't eaten nothin' for a whole week now, have you?\Come on, just eat this.\I'm not goin' to...\Gohan...\Huh? That's what I made!\I've come back to the starting point. response:	All right, then...
context: Nope.\You ain't eaten nothin' for a whole week now, have you?\Come on, just eat this.\I'm not goin' to...\Gohan...\Huh? That's what I made!\I've come back to the starting point.\All right, then... response:	This is an island!
context: You ain't eaten nothin' for a whole week now, have you?\Come on, just eat this.\I'm not goin' to...\Gohan...\Huh? That's what I made!\I've come back to the starting point.\All right, then...\This is an island! response:	Beyond there is Mother! All right, then!
context: Come on, just eat this.\I'm not goin' to...\Gohan...\Huh? That's what I made!\I've come back to the starting point.\All right, then...\This is an island!\Beyond there is Mother! All right, then! response:	Makankosappo!!
context: I'm not goin' to...\Gohan...\Huh? That's what I made!\I've come back to the starting point.\All right, then...\This is an island!\Beyond there is Mother! All right, then!\Makankosappo!! response:	This one looks like it's the best.
context: Gohan...\Huh? That's what I made!\I've come back to the starting point.\All right, then...\This is an island!\Beyond there is Mother! All right, then!\Makankosappo!!\This one looks like it's the best. response:	All right, then...
context: Huh? That's what I made!\I've come back to the starting point.\All right, then...\This is an island!\Beyond there is Mother! All right, then!\Makankosappo!!\This one looks like it's the best.\All right, then... response:	Thank you!
context: I've come back to the starting point.\All right, then...\This is an island!\Beyond there is Mother! All right, then!\Makankosappo!!\This one looks like it's the best.\All right, then...\Thank you! response:	Move it, move it, you're in the way!
context: All right, then...\This is an island!\Beyond there is Mother! All right, then!\Makankosappo!!\This one looks like it's the best.\All right, then...\Thank you!\Move it, move it, you're in the way! response:	It's finished!
context: This is an island!\Beyond there is Mother! All right, then!\Makankosappo!!\This one looks like it's the best.\All right, then...\Thank you!\Move it, move it, you're in the way!\It's finished! response:	All right, now...
context: Beyond there is Mother! All right, then!\Makankosappo!!\This one looks like it's the best.\All right, then...\Thank you!\Move it, move it, you're in the way!\It's finished!\All right, now... response:	All right, here I go!
context: Makankosappo!!\This one looks like it's the best.\All right, then...\Thank you!\Move it, move it, you're in the way!\It's finished!\All right, now...\All right, here I go! response:	It's okay, I'll be back right away!
context: This one looks like it's the best.\All right, then...\Thank you!\Move it, move it, you're in the way!\It's finished!\All right, now...\All right, here I go!\It's okay, I'll be back right away! response:	I'm just going to go see my mother for a little while.
context: All right, then...\Thank you!\Move it, move it, you're in the way!\It's finished!\All right, now...\All right, here I go!\It's okay, I'll be back right away!\I'm just going to go see my mother for a little while. response:	That should be good enough...
context: Thank you!\Move it, move it, you're in the way!\It's finished!\All right, now...\All right, here I go!\It's okay, I'll be back right away!\I'm just going to go see my mother for a little while.\That should be good enough... response:	-The kid! -It couldn't be!
context: Move it, move it, you're in the way!\It's finished!\All right, now...\All right, here I go!\It's okay, I'll be back right away!\I'm just going to go see my mother for a little while.\That should be good enough...\-The kid! -It couldn't be! response:	Rain?
context: It's finished!\All right, now...\All right, here I go!\It's okay, I'll be back right away!\I'm just going to go see my mother for a little while.\That should be good enough...\-The kid! -It couldn't be!\Rain? response:	There's a storm coming!
context: All right, now...\All right, here I go!\It's okay, I'll be back right away!\I'm just going to go see my mother for a little while.\That should be good enough...\-The kid! -It couldn't be!\Rain?\There's a storm coming! response:	I can't turn back now!
context: All right, here I go!\It's okay, I'll be back right away!\I'm just going to go see my mother for a little while.\That should be good enough...\-The kid! -It couldn't be!\Rain?\There's a storm coming!\I can't turn back now! response:	I've got to tough it out! Got to tough it out!
context: It's okay, I'll be back right away!\I'm just going to go see my mother for a little while.\That should be good enough...\-The kid! -It couldn't be!\Rain?\There's a storm coming!\I can't turn back now!\I've got to tough it out! Got to tough it out! response:	It's okay, it's okay. I'll get through... I'll get through the storm soon enough!
context: I'm just going to go see my mother for a little while.\That should be good enough...\-The kid! -It couldn't be!\Rain?\There's a storm coming!\I can't turn back now!\I've got to tough it out! Got to tough it out!\It's okay, it's okay. I'll get through... I'll get through the storm soon enough! response:	Ah, this is bad! If this keeps up, I'll be swamped! And I can't swim!
context: That should be good enough...\-The kid! -It couldn't be!\Rain?\There's a storm coming!\I can't turn back now!\I've got to tough it out! Got to tough it out!\It's okay, it's okay. I'll get through... I'll get through the storm soon enough!\Ah, this is bad! If this keeps up, I'll be swamped! And I can't swim! response:	That dirty brat! Where the hell did he go?
context: -The kid! -It couldn't be!\Rain?\There's a storm coming!\I can't turn back now!\I've got to tough it out! Got to tough it out!\It's okay, it's okay. I'll get through... I'll get through the storm soon enough!\Ah, this is bad! If this keeps up, I'll be swamped! And I can't swim!\That dirty brat! Where the hell did he go? response:	Gohan, what about your training with Piccolo?
context: Rain?\There's a storm coming!\I can't turn back now!\I've got to tough it out! Got to tough it out!\It's okay, it's okay. I'll get through... I'll get through the storm soon enough!\Ah, this is bad! If this keeps up, I'll be swamped! And I can't swim!\That dirty brat! Where the hell did he go?\Gohan, what about your training with Piccolo? response:	Have you forgotten about the crisis the world is in?
context: There's a storm coming!\I can't turn back now!\I've got to tough it out! Got to tough it out!\It's okay, it's okay. I'll get through... I'll get through the storm soon enough!\Ah, this is bad! If this keeps up, I'll be swamped! And I can't swim!\That dirty brat! Where the hell did he go?\Gohan, what about your training with Piccolo?\Have you forgotten about the crisis the world is in? response:	Eight months remain until the Saiyans arrive.
