context: Hey, are we there yet? response:	It's just a little farther, Ben-chan.
context: What?\Unless you tell me all about your trip.\And I shared a fish with Veronica.\What? Who's that?\Veronica's like a cat, except she's not a cat.\She's huge.\Yukimura-sama decided to bring the pirate and Ben-chan.\I think he'll introduce them to you tomorrow. response:	Our group's gotten quite big.
context: Unless you tell me all about your trip.\And I shared a fish with Veronica.\What? Who's that?\Veronica's like a cat, except she's not a cat.\She's huge.\Yukimura-sama decided to bring the pirate and Ben-chan.\I think he'll introduce them to you tomorrow.\Our group's gotten quite big. response:	You're right. We're like a big family.
context: And I shared a fish with Veronica.\What? Who's that?\Veronica's like a cat, except she's not a cat.\She's huge.\Yukimura-sama decided to bring the pirate and Ben-chan.\I think he'll introduce them to you tomorrow.\Our group's gotten quite big.\You're right. We're like a big family. response:	I wonder if this is what you'd call a home.
context: What? Who's that?\Veronica's like a cat, except she's not a cat.\She's huge.\Yukimura-sama decided to bring the pirate and Ben-chan.\I think he'll introduce them to you tomorrow.\Our group's gotten quite big.\You're right. We're like a big family.\I wonder if this is what you'd call a home. response:	It feels so cozy being with everyone.
context: Veronica's like a cat, except she's not a cat.\She's huge.\Yukimura-sama decided to bring the pirate and Ben-chan.\I think he'll introduce them to you tomorrow.\Our group's gotten quite big.\You're right. We're like a big family.\I wonder if this is what you'd call a home.\It feels so cozy being with everyone. response:	Right, Ana?
context: She's huge.\Yukimura-sama decided to bring the pirate and Ben-chan.\I think he'll introduce them to you tomorrow.\Our group's gotten quite big.\You're right. We're like a big family.\I wonder if this is what you'd call a home.\It feels so cozy being with everyone.\Right, Ana? response:	Yeah.
context: Yukimura-sama decided to bring the pirate and Ben-chan.\I think he'll introduce them to you tomorrow.\Our group's gotten quite big.\You're right. We're like a big family.\I wonder if this is what you'd call a home.\It feels so cozy being with everyone.\Right, Ana?\Yeah. response:	I'm not looking for male company tonight.
context: I think he'll introduce them to you tomorrow.\Our group's gotten quite big.\You're right. We're like a big family.\I wonder if this is what you'd call a home.\It feels so cozy being with everyone.\Right, Ana?\Yeah.\I'm not looking for male company tonight. response:	If you knew I was here, you should've said so.
context: Our group's gotten quite big.\You're right. We're like a big family.\I wonder if this is what you'd call a home.\It feels so cozy being with everyone.\Right, Ana?\Yeah.\I'm not looking for male company tonight.\If you knew I was here, you should've said so. response:	Are you going to sleep with me tonight?
context: You're right. We're like a big family.\I wonder if this is what you'd call a home.\It feels so cozy being with everyone.\Right, Ana?\Yeah.\I'm not looking for male company tonight.\If you knew I was here, you should've said so.\Are you going to sleep with me tonight? response:	I'll kill you.
context: I wonder if this is what you'd call a home.\It feels so cozy being with everyone.\Right, Ana?\Yeah.\I'm not looking for male company tonight.\If you knew I was here, you should've said so.\Are you going to sleep with me tonight?\I'll kill you. response:	Then what do you want?
context: It feels so cozy being with everyone.\Right, Ana?\Yeah.\I'm not looking for male company tonight.\If you knew I was here, you should've said so.\Are you going to sleep with me tonight?\I'll kill you.\Then what do you want? response:	What's this business...
context: Right, Ana?\Yeah.\I'm not looking for male company tonight.\If you knew I was here, you should've said so.\Are you going to sleep with me tonight?\I'll kill you.\Then what do you want?\What's this business... response:	I'm sick of you blowing us off.
context: Yeah.\I'm not looking for male company tonight.\If you knew I was here, you should've said so.\Are you going to sleep with me tonight?\I'll kill you.\Then what do you want?\What's this business...\I'm sick of you blowing us off. response:	Let's talk man to man.
context: I'm not looking for male company tonight.\If you knew I was here, you should've said so.\Are you going to sleep with me tonight?\I'll kill you.\Then what do you want?\What's this business...\I'm sick of you blowing us off.\Let's talk man to man. response:	They're my brave and powerful warriors.
context: If you knew I was here, you should've said so.\Are you going to sleep with me tonight?\I'll kill you.\Then what do you want?\What's this business...\I'm sick of you blowing us off.\Let's talk man to man.\They're my brave and powerful warriors. response:	I already know that.
context: Are you going to sleep with me tonight?\I'll kill you.\Then what do you want?\What's this business...\I'm sick of you blowing us off.\Let's talk man to man.\They're my brave and powerful warriors.\I already know that. response:	Besides, that's just a front.
context: I'll kill you.\Then what do you want?\What's this business...\I'm sick of you blowing us off.\Let's talk man to man.\They're my brave and powerful warriors.\I already know that.\Besides, that's just a front. response:	Why have you gathered us?
context: Then what do you want?\What's this business...\I'm sick of you blowing us off.\Let's talk man to man.\They're my brave and powerful warriors.\I already know that.\Besides, that's just a front.\Why have you gathered us? response:	With ten men, I can rule the world.
context: What's this business...\I'm sick of you blowing us off.\Let's talk man to man.\They're my brave and powerful warriors.\I already know that.\Besides, that's just a front.\Why have you gathered us?\With ten men, I can rule the world. response:	Like hell you can, you idiot!
context: I'm sick of you blowing us off.\Let's talk man to man.\They're my brave and powerful warriors.\I already know that.\Besides, that's just a front.\Why have you gathered us?\With ten men, I can rule the world.\Like hell you can, you idiot! response:	Would you prefer to do the job yourself?
context: Let's talk man to man.\They're my brave and powerful warriors.\I already know that.\Besides, that's just a front.\Why have you gathered us?\With ten men, I can rule the world.\Like hell you can, you idiot!\Would you prefer to do the job yourself? response:	What are you drawing?
context: They're my brave and powerful warriors.\I already know that.\Besides, that's just a front.\Why have you gathered us?\With ten men, I can rule the world.\Like hell you can, you idiot!\Would you prefer to do the job yourself?\What are you drawing? response:	This.
context: I already know that.\Besides, that's just a front.\Why have you gathered us?\With ten men, I can rule the world.\Like hell you can, you idiot!\Would you prefer to do the job yourself?\What are you drawing?\This. response:	It's just a yin-yang.
context: Besides, that's just a front.\Why have you gathered us?\With ten men, I can rule the world.\Like hell you can, you idiot!\Would you prefer to do the job yourself?\What are you drawing?\This.\It's just a yin-yang. response:	There's nothing unusual about it.
context: Why have you gathered us?\With ten men, I can rule the world.\Like hell you can, you idiot!\Would you prefer to do the job yourself?\What are you drawing?\This.\It's just a yin-yang.\There's nothing unusual about it. response:	But what are these circles around it?
context: With ten men, I can rule the world.\Like hell you can, you idiot!\Would you prefer to do the job yourself?\What are you drawing?\This.\It's just a yin-yang.\There's nothing unusual about it.\But what are these circles around it? response:	This symbol represents the ten primordial elements that make up the universe.
context: Like hell you can, you idiot!\Would you prefer to do the job yourself?\What are you drawing?\This.\It's just a yin-yang.\There's nothing unusual about it.\But what are these circles around it?\This symbol represents the ten primordial elements that make up the universe. response:	It's in the Sanada family book of secrets.
context: Would you prefer to do the job yourself?\What are you drawing?\This.\It's just a yin-yang.\There's nothing unusual about it.\But what are these circles around it?\This symbol represents the ten primordial elements that make up the universe.\It's in the Sanada family book of secrets. response:	Earth, metal, thunder, fire, wind,
context: What are you drawing?\This.\It's just a yin-yang.\There's nothing unusual about it.\But what are these circles around it?\This symbol represents the ten primordial elements that make up the universe.\It's in the Sanada family book of secrets.\Earth, metal, thunder, fire, wind, response:	ice, water, grass, light, and dark.
context: This.\It's just a yin-yang.\There's nothing unusual about it.\But what are these circles around it?\This symbol represents the ten primordial elements that make up the universe.\It's in the Sanada family book of secrets.\Earth, metal, thunder, fire, wind,\ice, water, grass, light, and dark. response:	He who controls the power of these elements will change the world.
context: It's just a yin-yang.\There's nothing unusual about it.\But what are these circles around it?\This symbol represents the ten primordial elements that make up the universe.\It's in the Sanada family book of secrets.\Earth, metal, thunder, fire, wind,\ice, water, grass, light, and dark.\He who controls the power of these elements will change the world. response:	That's what you all are.
context: There's nothing unusual about it.\But what are these circles around it?\This symbol represents the ten primordial elements that make up the universe.\It's in the Sanada family book of secrets.\Earth, metal, thunder, fire, wind,\ice, water, grass, light, and dark.\He who controls the power of these elements will change the world.\That's what you all are. response:	Seikai of the Earth, who causes the ground to quake.
context: But what are these circles around it?\This symbol represents the ten primordial elements that make up the universe.\It's in the Sanada family book of secrets.\Earth, metal, thunder, fire, wind,\ice, water, grass, light, and dark.\He who controls the power of these elements will change the world.\That's what you all are.\Seikai of the Earth, who causes the ground to quake. response:	Juzo of Metal, who fights with a metal gun.
context: This symbol represents the ten primordial elements that make up the universe.\It's in the Sanada family book of secrets.\Earth, metal, thunder, fire, wind,\ice, water, grass, light, and dark.\He who controls the power of these elements will change the world.\That's what you all are.\Seikai of the Earth, who causes the ground to quake.\Juzo of Metal, who fights with a metal gun. response:	Jinpachi of Thunder, who summons lightning.
context: It's in the Sanada family book of secrets.\Earth, metal, thunder, fire, wind,\ice, water, grass, light, and dark.\He who controls the power of these elements will change the world.\That's what you all are.\Seikai of the Earth, who causes the ground to quake.\Juzo of Metal, who fights with a metal gun.\Jinpachi of Thunder, who summons lightning. response:	Benmaru of Fire, who knows about explosives.
context: Earth, metal, thunder, fire, wind,\ice, water, grass, light, and dark.\He who controls the power of these elements will change the world.\That's what you all are.\Seikai of the Earth, who causes the ground to quake.\Juzo of Metal, who fights with a metal gun.\Jinpachi of Thunder, who summons lightning.\Benmaru of Fire, who knows about explosives. response:	Kamanosuke of the Wind, who controls the wind.
context: ice, water, grass, light, and dark.\He who controls the power of these elements will change the world.\That's what you all are.\Seikai of the Earth, who causes the ground to quake.\Juzo of Metal, who fights with a metal gun.\Jinpachi of Thunder, who summons lightning.\Benmaru of Fire, who knows about explosives.\Kamanosuke of the Wind, who controls the wind. response:	Sasuke of the Grass, whose playground is the forest.
context: He who controls the power of these elements will change the world.\That's what you all are.\Seikai of the Earth, who causes the ground to quake.\Juzo of Metal, who fights with a metal gun.\Jinpachi of Thunder, who summons lightning.\Benmaru of Fire, who knows about explosives.\Kamanosuke of the Wind, who controls the wind.\Sasuke of the Grass, whose playground is the forest. response:	Finally, there's Anastasia of Ice,
context: That's what you all are.\Seikai of the Earth, who causes the ground to quake.\Juzo of Metal, who fights with a metal gun.\Jinpachi of Thunder, who summons lightning.\Benmaru of Fire, who knows about explosives.\Kamanosuke of the Wind, who controls the wind.\Sasuke of the Grass, whose playground is the forest.\Finally, there's Anastasia of Ice, response:	and Rokuro of the Water,
context: Seikai of the Earth, who causes the ground to quake.\Juzo of Metal, who fights with a metal gun.\Jinpachi of Thunder, who summons lightning.\Benmaru of Fire, who knows about explosives.\Kamanosuke of the Wind, who controls the wind.\Sasuke of the Grass, whose playground is the forest.\Finally, there's Anastasia of Ice,\and Rokuro of the Water, response:	who recalls everything just as the water's surface reflects all.
context: Juzo of Metal, who fights with a metal gun.\Jinpachi of Thunder, who summons lightning.\Benmaru of Fire, who knows about explosives.\Kamanosuke of the Wind, who controls the wind.\Sasuke of the Grass, whose playground is the forest.\Finally, there's Anastasia of Ice,\and Rokuro of the Water,\who recalls everything just as the water's surface reflects all. response:	Your reactions are quicker than I thought.
context: Jinpachi of Thunder, who summons lightning.\Benmaru of Fire, who knows about explosives.\Kamanosuke of the Wind, who controls the wind.\Sasuke of the Grass, whose playground is the forest.\Finally, there's Anastasia of Ice,\and Rokuro of the Water,\who recalls everything just as the water's surface reflects all.\Your reactions are quicker than I thought. response:	What do you think you're doing, Ana?
context: Benmaru of Fire, who knows about explosives.\Kamanosuke of the Wind, who controls the wind.\Sasuke of the Grass, whose playground is the forest.\Finally, there's Anastasia of Ice,\and Rokuro of the Water,\who recalls everything just as the water's surface reflects all.\Your reactions are quicker than I thought.\What do you think you're doing, Ana? response:	Surely there is a more appropriate time for pranks.
context: Kamanosuke of the Wind, who controls the wind.\Sasuke of the Grass, whose playground is the forest.\Finally, there's Anastasia of Ice,\and Rokuro of the Water,\who recalls everything just as the water's surface reflects all.\Your reactions are quicker than I thought.\What do you think you're doing, Ana?\Surely there is a more appropriate time for pranks. response:	Pranks?
context: Sasuke of the Grass, whose playground is the forest.\Finally, there's Anastasia of Ice,\and Rokuro of the Water,\who recalls everything just as the water's surface reflects all.\Your reactions are quicker than I thought.\What do you think you're doing, Ana?\Surely there is a more appropriate time for pranks.\Pranks? response:	I want you, Unno Rokuro.
context: Finally, there's Anastasia of Ice,\and Rokuro of the Water,\who recalls everything just as the water's surface reflects all.\Your reactions are quicker than I thought.\What do you think you're doing, Ana?\Surely there is a more appropriate time for pranks.\Pranks?\I want you, Unno Rokuro. response:	The Ten Elements.
context: and Rokuro of the Water,\who recalls everything just as the water's surface reflects all.\Your reactions are quicker than I thought.\What do you think you're doing, Ana?\Surely there is a more appropriate time for pranks.\Pranks?\I want you, Unno Rokuro.\The Ten Elements. response:	I guess they do fit.
context: who recalls everything just as the water's surface reflects all.\Your reactions are quicker than I thought.\What do you think you're doing, Ana?\Surely there is a more appropriate time for pranks.\Pranks?\I want you, Unno Rokuro.\The Ten Elements.\I guess they do fit. response:	What am I, then? Darkness?
context: Your reactions are quicker than I thought.\What do you think you're doing, Ana?\Surely there is a more appropriate time for pranks.\Pranks?\I want you, Unno Rokuro.\The Ten Elements.\I guess they do fit.\What am I, then? Darkness? response:	No, you're this.
context: What do you think you're doing, Ana?\Surely there is a more appropriate time for pranks.\Pranks?\I want you, Unno Rokuro.\The Ten Elements.\I guess they do fit.\What am I, then? Darkness?\No, you're this. response:	You are the Light, Saizo.
context: Surely there is a more appropriate time for pranks.\Pranks?\I want you, Unno Rokuro.\The Ten Elements.\I guess they do fit.\What am I, then? Darkness?\No, you're this.\You are the Light, Saizo. response:	That's impossible! That doesn't fit me!
context: Pranks?\I want you, Unno Rokuro.\The Ten Elements.\I guess they do fit.\What am I, then? Darkness?\No, you're this.\You are the Light, Saizo.\That's impossible! That doesn't fit me! response:	What, then? That would mean Darkness is...
context: I want you, Unno Rokuro.\The Ten Elements.\I guess they do fit.\What am I, then? Darkness?\No, you're this.\You are the Light, Saizo.\That's impossible! That doesn't fit me!\What, then? That would mean Darkness is... response:	It's Isanami.
context: The Ten Elements.\I guess they do fit.\What am I, then? Darkness?\No, you're this.\You are the Light, Saizo.\That's impossible! That doesn't fit me!\What, then? That would mean Darkness is...\It's Isanami. response:	Hold on! That makes even less sense!
context: I guess they do fit.\What am I, then? Darkness?\No, you're this.\You are the Light, Saizo.\That's impossible! That doesn't fit me!\What, then? That would mean Darkness is...\It's Isanami.\Hold on! That makes even less sense! response:	You've seen it, too. Isanami's power.
context: What am I, then? Darkness?\No, you're this.\You are the Light, Saizo.\That's impossible! That doesn't fit me!\What, then? That would mean Darkness is...\It's Isanami.\Hold on! That makes even less sense!\You've seen it, too. Isanami's power. response:	That's the power of her hairpin!
context: No, you're this.\You are the Light, Saizo.\That's impossible! That doesn't fit me!\What, then? That would mean Darkness is...\It's Isanami.\Hold on! That makes even less sense!\You've seen it, too. Isanami's power.\That's the power of her hairpin! response:	Let me see that secret book of whatever!
context: You are the Light, Saizo.\That's impossible! That doesn't fit me!\What, then? That would mean Darkness is...\It's Isanami.\Hold on! That makes even less sense!\You've seen it, too. Isanami's power.\That's the power of her hairpin!\Let me see that secret book of whatever! response:	It's gone. I burned it.
context: That's impossible! That doesn't fit me!\What, then? That would mean Darkness is...\It's Isanami.\Hold on! That makes even less sense!\You've seen it, too. Isanami's power.\That's the power of her hairpin!\Let me see that secret book of whatever!\It's gone. I burned it. response:	What?
context: What, then? That would mean Darkness is...\It's Isanami.\Hold on! That makes even less sense!\You've seen it, too. Isanami's power.\That's the power of her hairpin!\Let me see that secret book of whatever!\It's gone. I burned it.\What? response:	A lot of men would like to get their hands on the book.
context: It's Isanami.\Hold on! That makes even less sense!\You've seen it, too. Isanami's power.\That's the power of her hairpin!\Let me see that secret book of whatever!\It's gone. I burned it.\What?\A lot of men would like to get their hands on the book. response:	I had Rokuro memorize its contents.
context: Hold on! That makes even less sense!\You've seen it, too. Isanami's power.\That's the power of her hairpin!\Let me see that secret book of whatever!\It's gone. I burned it.\What?\A lot of men would like to get their hands on the book.\I had Rokuro memorize its contents. response:	Rokuro-san, huh?
context: You've seen it, too. Isanami's power.\That's the power of her hairpin!\Let me see that secret book of whatever!\It's gone. I burned it.\What?\A lot of men would like to get their hands on the book.\I had Rokuro memorize its contents.\Rokuro-san, huh? response:	Y-You mean my right eye?
context: That's the power of her hairpin!\Let me see that secret book of whatever!\It's gone. I burned it.\What?\A lot of men would like to get their hands on the book.\I had Rokuro memorize its contents.\Rokuro-san, huh?\Y-You mean my right eye? response:	I'll be taking that.
context: Let me see that secret book of whatever!\It's gone. I burned it.\What?\A lot of men would like to get their hands on the book.\I had Rokuro memorize its contents.\Rokuro-san, huh?\Y-You mean my right eye?\I'll be taking that. response:	Why are you doing this?
context: It's gone. I burned it.\What?\A lot of men would like to get their hands on the book.\I had Rokuro memorize its contents.\Rokuro-san, huh?\Y-You mean my right eye?\I'll be taking that.\Why are you doing this? response:	I told you.
context: What?\A lot of men would like to get their hands on the book.\I had Rokuro memorize its contents.\Rokuro-san, huh?\Y-You mean my right eye?\I'll be taking that.\Why are you doing this?\I told you. response:	I want that eye of yours that remembers everything.
context: A lot of men would like to get their hands on the book.\I had Rokuro memorize its contents.\Rokuro-san, huh?\Y-You mean my right eye?\I'll be taking that.\Why are you doing this?\I told you.\I want that eye of yours that remembers everything. response:	You can't move now. Just hand it over.
context: I had Rokuro memorize its contents.\Rokuro-san, huh?\Y-You mean my right eye?\I'll be taking that.\Why are you doing this?\I told you.\I want that eye of yours that remembers everything.\You can't move now. Just hand it over. response:	I won't hurt you.
context: Rokuro-san, huh?\Y-You mean my right eye?\I'll be taking that.\Why are you doing this?\I told you.\I want that eye of yours that remembers everything.\You can't move now. Just hand it over.\I won't hurt you. response:	I will not let you take it.
context: Y-You mean my right eye?\I'll be taking that.\Why are you doing this?\I told you.\I want that eye of yours that remembers everything.\You can't move now. Just hand it over.\I won't hurt you.\I will not let you take it. response:	I'd rather destroy it than let you steal it.
context: I'll be taking that.\Why are you doing this?\I told you.\I want that eye of yours that remembers everything.\You can't move now. Just hand it over.\I won't hurt you.\I will not let you take it.\I'd rather destroy it than let you steal it. response:	You bastard.
context: Why are you doing this?\I told you.\I want that eye of yours that remembers everything.\You can't move now. Just hand it over.\I won't hurt you.\I will not let you take it.\I'd rather destroy it than let you steal it.\You bastard. response:	Rokuro.
context: I told you.\I want that eye of yours that remembers everything.\You can't move now. Just hand it over.\I won't hurt you.\I will not let you take it.\I'd rather destroy it than let you steal it.\You bastard.\Rokuro. response:	What are you?
context: I want that eye of yours that remembers everything.\You can't move now. Just hand it over.\I won't hurt you.\I will not let you take it.\I'd rather destroy it than let you steal it.\You bastard.\Rokuro.\What are you? response:	What am I? A ninja.
context: You can't move now. Just hand it over.\I won't hurt you.\I will not let you take it.\I'd rather destroy it than let you steal it.\You bastard.\Rokuro.\What are you?\What am I? A ninja. response:	Annoying creature!
context: I won't hurt you.\I will not let you take it.\I'd rather destroy it than let you steal it.\You bastard.\Rokuro.\What are you?\What am I? A ninja.\Annoying creature! response:	If you get in my way, I'll kill you.
context: I will not let you take it.\I'd rather destroy it than let you steal it.\You bastard.\Rokuro.\What are you?\What am I? A ninja.\Annoying creature!\If you get in my way, I'll kill you. response:	Her intent to kill is real.
context: I'd rather destroy it than let you steal it.\You bastard.\Rokuro.\What are you?\What am I? A ninja.\Annoying creature!\If you get in my way, I'll kill you.\Her intent to kill is real. response:	What is all this racket?!
context: You bastard.\Rokuro.\What are you?\What am I? A ninja.\Annoying creature!\If you get in my way, I'll kill you.\Her intent to kill is real.\What is all this racket?! response:	Lord Rokuro?
context: Rokuro.\What are you?\What am I? A ninja.\Annoying creature!\If you get in my way, I'll kill you.\Her intent to kill is real.\What is all this racket?!\Lord Rokuro? response:	You! Wait!
context: What are you?\What am I? A ninja.\Annoying creature!\If you get in my way, I'll kill you.\Her intent to kill is real.\What is all this racket?!\Lord Rokuro?\You! Wait! response:	Get Rokuro.
context: What am I? A ninja.\Annoying creature!\If you get in my way, I'll kill you.\Her intent to kill is real.\What is all this racket?!\Lord Rokuro?\You! Wait!\Get Rokuro. response:	This is...
