context: Hey, that lndian prince who's visiting... response:	You think so? I wasn't that impressed...
context: If you can wait here, I'll send someone on with a message.\It's a bit far to send someone home...\Well then, how about a carriage?\I don't have any money with me...\Ah...\William.\What is that? People are going in.\Oh, that's Mudie's. It's a book lender. response:	Mudie's?
context: It's a bit far to send someone home...\Well then, how about a carriage?\I don't have any money with me...\Ah...\William.\What is that? People are going in.\Oh, that's Mudie's. It's a book lender.\Mudie's? response:	It looks interesting.
context: Well then, how about a carriage?\I don't have any money with me...\Ah...\William.\What is that? People are going in.\Oh, that's Mudie's. It's a book lender.\Mudie's?\It looks interesting. response:	What? H-Hey, Hakim!
context: I don't have any money with me...\Ah...\William.\What is that? People are going in.\Oh, that's Mudie's. It's a book lender.\Mudie's?\It looks interesting.\What? H-Hey, Hakim! response:	Hey wait, what about the automobile?
context: Ah...\William.\What is that? People are going in.\Oh, that's Mudie's. It's a book lender.\Mudie's?\It looks interesting.\What? H-Hey, Hakim!\Hey wait, what about the automobile? response:	Sorry! I'll come back for it.
context: William.\What is that? People are going in.\Oh, that's Mudie's. It's a book lender.\Mudie's?\It looks interesting.\What? H-Hey, Hakim!\Hey wait, what about the automobile?\Sorry! I'll come back for it. response:	Oh, look!
context: What is that? People are going in.\Oh, that's Mudie's. It's a book lender.\Mudie's?\It looks interesting.\What? H-Hey, Hakim!\Hey wait, what about the automobile?\Sorry! I'll come back for it.\Oh, look! response:	Here, this book!
context: Oh, that's Mudie's. It's a book lender.\Mudie's?\It looks interesting.\What? H-Hey, Hakim!\Hey wait, what about the automobile?\Sorry! I'll come back for it.\Oh, look!\Here, this book! response:	This is such a lovely story.
context: Mudie's?\It looks interesting.\What? H-Hey, Hakim!\Hey wait, what about the automobile?\Sorry! I'll come back for it.\Oh, look!\Here, this book!\This is such a lovely story. response:	It's about a woman born into a poor family...
context: It looks interesting.\What? H-Hey, Hakim!\Hey wait, what about the automobile?\Sorry! I'll come back for it.\Oh, look!\Here, this book!\This is such a lovely story.\It's about a woman born into a poor family... response:	My, how romantic! I think I'll borrow it next time!
context: What? H-Hey, Hakim!\Hey wait, what about the automobile?\Sorry! I'll come back for it.\Oh, look!\Here, this book!\This is such a lovely story.\It's about a woman born into a poor family...\My, how romantic! I think I'll borrow it next time! response:	Yes! I certainly reccomend it.
context: Hey wait, what about the automobile?\Sorry! I'll come back for it.\Oh, look!\Here, this book!\This is such a lovely story.\It's about a woman born into a poor family...\My, how romantic! I think I'll borrow it next time!\Yes! I certainly reccomend it. response:	I look forward to it! Yes! I certainly reccomend it.
context: Sorry! I'll come back for it.\Oh, look!\Here, this book!\This is such a lovely story.\It's about a woman born into a poor family...\My, how romantic! I think I'll borrow it next time!\Yes! I certainly reccomend it.\I look forward to it! Yes! I certainly reccomend it. response:	I look forward to it!
context: Oh, look!\Here, this book!\This is such a lovely story.\It's about a woman born into a poor family...\My, how romantic! I think I'll borrow it next time!\Yes! I certainly reccomend it.\I look forward to it! Yes! I certainly reccomend it.\I look forward to it! response:	H-Hey, Hakim!
context: Here, this book!\This is such a lovely story.\It's about a woman born into a poor family...\My, how romantic! I think I'll borrow it next time!\Yes! I certainly reccomend it.\I look forward to it! Yes! I certainly reccomend it.\I look forward to it!\H-Hey, Hakim! response:	Don't just wander off like that!
context: This is such a lovely story.\It's about a woman born into a poor family...\My, how romantic! I think I'll borrow it next time!\Yes! I certainly reccomend it.\I look forward to it! Yes! I certainly reccomend it.\I look forward to it!\H-Hey, Hakim!\Don't just wander off like that! response:	William, look at this.
context: It's about a woman born into a poor family...\My, how romantic! I think I'll borrow it next time!\Yes! I certainly reccomend it.\I look forward to it! Yes! I certainly reccomend it.\I look forward to it!\H-Hey, Hakim!\Don't just wander off like that!\William, look at this. response:	It's filled with pictures of women.
context: My, how romantic! I think I'll borrow it next time!\Yes! I certainly reccomend it.\I look forward to it! Yes! I certainly reccomend it.\I look forward to it!\H-Hey, Hakim!\Don't just wander off like that!\William, look at this.\It's filled with pictures of women. response:	Hakim! What on Earth are you looking at?
context: Yes! I certainly reccomend it.\I look forward to it! Yes! I certainly reccomend it.\I look forward to it!\H-Hey, Hakim!\Don't just wander off like that!\William, look at this.\It's filled with pictures of women.\Hakim! What on Earth are you looking at? response:	Oh, I see. So it's one of those books.
context: I look forward to it! Yes! I certainly reccomend it.\I look forward to it!\H-Hey, Hakim!\Don't just wander off like that!\William, look at this.\It's filled with pictures of women.\Hakim! What on Earth are you looking at?\Oh, I see. So it's one of those books. response:	Where did you find such a book?
context: I look forward to it!\H-Hey, Hakim!\Don't just wander off like that!\William, look at this.\It's filled with pictures of women.\Hakim! What on Earth are you looking at?\Oh, I see. So it's one of those books.\Where did you find such a book? response:	It was right there.
context: H-Hey, Hakim!\Don't just wander off like that!\William, look at this.\It's filled with pictures of women.\Hakim! What on Earth are you looking at?\Oh, I see. So it's one of those books.\Where did you find such a book?\It was right there. response:	Let's see... Two books then, miss?
context: Don't just wander off like that!\William, look at this.\It's filled with pictures of women.\Hakim! What on Earth are you looking at?\Oh, I see. So it's one of those books.\Where did you find such a book?\It was right there.\Let's see... Two books then, miss? response:	This one will be on my card.
context: William, look at this.\It's filled with pictures of women.\Hakim! What on Earth are you looking at?\Oh, I see. So it's one of those books.\Where did you find such a book?\It was right there.\Let's see... Two books then, miss?\This one will be on my card. response:	Then, please go to counter E. Here you are, your member card.
context: It's filled with pictures of women.\Hakim! What on Earth are you looking at?\Oh, I see. So it's one of those books.\Where did you find such a book?\It was right there.\Let's see... Two books then, miss?\This one will be on my card.\Then, please go to counter E. Here you are, your member card. response:	Sign here, please.
context: Hakim! What on Earth are you looking at?\Oh, I see. So it's one of those books.\Where did you find such a book?\It was right there.\Let's see... Two books then, miss?\This one will be on my card.\Then, please go to counter E. Here you are, your member card.\Sign here, please. response:	Yes...
context: Oh, I see. So it's one of those books.\Where did you find such a book?\It was right there.\Let's see... Two books then, miss?\This one will be on my card.\Then, please go to counter E. Here you are, your member card.\Sign here, please.\Yes... response:	Nothing at all remarkable. How boring.
context: Where did you find such a book?\It was right there.\Let's see... Two books then, miss?\This one will be on my card.\Then, please go to counter E. Here you are, your member card.\Sign here, please.\Yes...\Nothing at all remarkable. How boring. response:	Just because your women go around half-naked most of the time...
context: It was right there.\Let's see... Two books then, miss?\This one will be on my card.\Then, please go to counter E. Here you are, your member card.\Sign here, please.\Yes...\Nothing at all remarkable. How boring.\Just because your women go around half-naked most of the time... response:	How about this woman?
context: Let's see... Two books then, miss?\This one will be on my card.\Then, please go to counter E. Here you are, your member card.\Sign here, please.\Yes...\Nothing at all remarkable. How boring.\Just because your women go around half-naked most of the time...\How about this woman? response:	Well, I think this one's a bit better.
context: This one will be on my card.\Then, please go to counter E. Here you are, your member card.\Sign here, please.\Yes...\Nothing at all remarkable. How boring.\Just because your women go around half-naked most of the time...\How about this woman?\Well, I think this one's a bit better. response:	Which one?
context: Then, please go to counter E. Here you are, your member card.\Sign here, please.\Yes...\Nothing at all remarkable. How boring.\Just because your women go around half-naked most of the time...\How about this woman?\Well, I think this one's a bit better.\Which one? response:	She's nice.
context: Sign here, please.\Yes...\Nothing at all remarkable. How boring.\Just because your women go around half-naked most of the time...\How about this woman?\Well, I think this one's a bit better.\Which one?\She's nice. response:	Isn't she?
context: Yes...\Nothing at all remarkable. How boring.\Just because your women go around half-naked most of the time...\How about this woman?\Well, I think this one's a bit better.\Which one?\She's nice.\Isn't she? response:	Hakim...?
context: Nothing at all remarkable. How boring.\Just because your women go around half-naked most of the time...\How about this woman?\Well, I think this one's a bit better.\Which one?\She's nice.\Isn't she?\Hakim...? response:	Hey, Haki-
context: Just because your women go around half-naked most of the time...\How about this woman?\Well, I think this one's a bit better.\Which one?\She's nice.\Isn't she?\Hakim...?\Hey, Haki- response:	Eh?! Oh, um... Emma! That is...
context: How about this woman?\Well, I think this one's a bit better.\Which one?\She's nice.\Isn't she?\Hakim...?\Hey, Haki-\Eh?! Oh, um... Emma! That is... response:	Why are you...
context: Well, I think this one's a bit better.\Which one?\She's nice.\Isn't she?\Hakim...?\Hey, Haki-\Eh?! Oh, um... Emma! That is...\Why are you... response:	Wait, asking why is silly.
context: Which one?\She's nice.\Isn't she?\Hakim...?\Hey, Haki-\Eh?! Oh, um... Emma! That is...\Why are you...\Wait, asking why is silly. response:	You're here to borrow a book, of course.
context: She's nice.\Isn't she?\Hakim...?\Hey, Haki-\Eh?! Oh, um... Emma! That is...\Why are you...\Wait, asking why is silly.\You're here to borrow a book, of course. response:	But, to meet you here!
context: Isn't she?\Hakim...?\Hey, Haki-\Eh?! Oh, um... Emma! That is...\Why are you...\Wait, asking why is silly.\You're here to borrow a book, of course.\But, to meet you here! response:	Were you about to go home?
context: Hakim...?\Hey, Haki-\Eh?! Oh, um... Emma! That is...\Why are you...\Wait, asking why is silly.\You're here to borrow a book, of course.\But, to meet you here!\Were you about to go home? response:	Yes...
context: Hey, Haki-\Eh?! Oh, um... Emma! That is...\Why are you...\Wait, asking why is silly.\You're here to borrow a book, of course.\But, to meet you here!\Were you about to go home?\Yes... response:	Well, I'll take you home, then!
context: Eh?! Oh, um... Emma! That is...\Why are you...\Wait, asking why is silly.\You're here to borrow a book, of course.\But, to meet you here!\Were you about to go home?\Yes...\Well, I'll take you home, then! response:	Oh, wait, the automobile isn't working.
context: Why are you...\Wait, asking why is silly.\You're here to borrow a book, of course.\But, to meet you here!\Were you about to go home?\Yes...\Well, I'll take you home, then!\Oh, wait, the automobile isn't working. response:	Erm, ah...
context: Wait, asking why is silly.\You're here to borrow a book, of course.\But, to meet you here!\Were you about to go home?\Yes...\Well, I'll take you home, then!\Oh, wait, the automobile isn't working.\Erm, ah... response:	Um... I have to be going now...
context: You're here to borrow a book, of course.\But, to meet you here!\Were you about to go home?\Yes...\Well, I'll take you home, then!\Oh, wait, the automobile isn't working.\Erm, ah...\Um... I have to be going now... response:	Huh? Emma?
context: But, to meet you here!\Were you about to go home?\Yes...\Well, I'll take you home, then!\Oh, wait, the automobile isn't working.\Erm, ah...\Um... I have to be going now...\Huh? Emma? response:	Hm?
context: Were you about to go home?\Yes...\Well, I'll take you home, then!\Oh, wait, the automobile isn't working.\Erm, ah...\Um... I have to be going now...\Huh? Emma?\Hm? response:	That's Kelly's maid...
context: Yes...\Well, I'll take you home, then!\Oh, wait, the automobile isn't working.\Erm, ah...\Um... I have to be going now...\Huh? Emma?\Hm?\That's Kelly's maid... response:	What?
context: Well, I'll take you home, then!\Oh, wait, the automobile isn't working.\Erm, ah...\Um... I have to be going now...\Huh? Emma?\Hm?\That's Kelly's maid...\What? response:	She's running...
context: Oh, wait, the automobile isn't working.\Erm, ah...\Um... I have to be going now...\Huh? Emma?\Hm?\That's Kelly's maid...\What?\She's running... response:	She's so young! She's running...
context: Erm, ah...\Um... I have to be going now...\Huh? Emma?\Hm?\That's Kelly's maid...\What?\She's running...\She's so young! She's running... response:	She's so young!
context: Um... I have to be going now...\Huh? Emma?\Hm?\That's Kelly's maid...\What?\She's running...\She's so young! She's running...\She's so young! response:	Run, run, o young one!
context: Huh? Emma?\Hm?\That's Kelly's maid...\What?\She's running...\She's so young! She's running...\She's so young!\Run, run, o young one! response:	In a life so short and fragile as a dream...
context: Hm?\That's Kelly's maid...\What?\She's running...\She's so young! She's running...\She's so young!\Run, run, o young one!\In a life so short and fragile as a dream... response:	Is that Goethe?
context: That's Kelly's maid...\What?\She's running...\She's so young! She's running...\She's so young!\Run, run, o young one!\In a life so short and fragile as a dream...\Is that Goethe? response:	It's me.
context: What?\She's running...\She's so young! She's running...\She's so young!\Run, run, o young one!\In a life so short and fragile as a dream...\Is that Goethe?\It's me. response:	What is it?
context: She's running...\She's so young! She's running...\She's so young!\Run, run, o young one!\In a life so short and fragile as a dream...\Is that Goethe?\It's me.\What is it? response:	Nothing...
context: She's so young! She's running...\She's so young!\Run, run, o young one!\In a life so short and fragile as a dream...\Is that Goethe?\It's me.\What is it?\Nothing... response:	Hakim... Are you hiding something from me?
context: She's so young!\Run, run, o young one!\In a life so short and fragile as a dream...\Is that Goethe?\It's me.\What is it?\Nothing...\Hakim... Are you hiding something from me? response:	That's right.
context: Run, run, o young one!\In a life so short and fragile as a dream...\Is that Goethe?\It's me.\What is it?\Nothing...\Hakim... Are you hiding something from me?\That's right. response:	Grace invited me to a game of tennis.
context: In a life so short and fragile as a dream...\Is that Goethe?\It's me.\What is it?\Nothing...\Hakim... Are you hiding something from me?\That's right.\Grace invited me to a game of tennis. response:	Huh?
context: Is that Goethe?\It's me.\What is it?\Nothing...\Hakim... Are you hiding something from me?\That's right.\Grace invited me to a game of tennis.\Huh? response:	So much free time on her hands... She's always looking for something to do.
context: It's me.\What is it?\Nothing...\Hakim... Are you hiding something from me?\That's right.\Grace invited me to a game of tennis.\Huh?\So much free time on her hands... She's always looking for something to do. response:	That's all my sisters ever think about.
context: What is it?\Nothing...\Hakim... Are you hiding something from me?\That's right.\Grace invited me to a game of tennis.\Huh?\So much free time on her hands... She's always looking for something to do.\That's all my sisters ever think about. response:	A leisurely life makes for beautiful ladies.
context: Nothing...\Hakim... Are you hiding something from me?\That's right.\Grace invited me to a game of tennis.\Huh?\So much free time on her hands... She's always looking for something to do.\That's all my sisters ever think about.\A leisurely life makes for beautiful ladies. response:	What?
context: Hakim... Are you hiding something from me?\That's right.\Grace invited me to a game of tennis.\Huh?\So much free time on her hands... She's always looking for something to do.\That's all my sisters ever think about.\A leisurely life makes for beautiful ladies.\What? response:	And they give us pleasure in return.
context: That's right.\Grace invited me to a game of tennis.\Huh?\So much free time on her hands... She's always looking for something to do.\That's all my sisters ever think about.\A leisurely life makes for beautiful ladies.\What?\And they give us pleasure in return. response:	Have you ever honestly loved anyone?!
context: Grace invited me to a game of tennis.\Huh?\So much free time on her hands... She's always looking for something to do.\That's all my sisters ever think about.\A leisurely life makes for beautiful ladies.\What?\And they give us pleasure in return.\Have you ever honestly loved anyone?! response:	Is there a way to falsely love someone?
context: Huh?\So much free time on her hands... She's always looking for something to do.\That's all my sisters ever think about.\A leisurely life makes for beautiful ladies.\What?\And they give us pleasure in return.\Have you ever honestly loved anyone?!\Is there a way to falsely love someone? response:	I pity the woman who falls in love with you!
context: So much free time on her hands... She's always looking for something to do.\That's all my sisters ever think about.\A leisurely life makes for beautiful ladies.\What?\And they give us pleasure in return.\Have you ever honestly loved anyone?!\Is there a way to falsely love someone?\I pity the woman who falls in love with you! response:	Why are you so angry?
context: That's all my sisters ever think about.\A leisurely life makes for beautiful ladies.\What?\And they give us pleasure in return.\Have you ever honestly loved anyone?!\Is there a way to falsely love someone?\I pity the woman who falls in love with you!\Why are you so angry? response:	Shut up!
context: A leisurely life makes for beautiful ladies.\What?\And they give us pleasure in return.\Have you ever honestly loved anyone?!\Is there a way to falsely love someone?\I pity the woman who falls in love with you!\Why are you so angry?\Shut up! response:	Honestly, brother Arthur! Playing so seriously against a child...
context: What?\And they give us pleasure in return.\Have you ever honestly loved anyone?!\Is there a way to falsely love someone?\I pity the woman who falls in love with you!\Why are you so angry?\Shut up!\Honestly, brother Arthur! Playing so seriously against a child... response:	You're being immature!
context: And they give us pleasure in return.\Have you ever honestly loved anyone?!\Is there a way to falsely love someone?\I pity the woman who falls in love with you!\Why are you so angry?\Shut up!\Honestly, brother Arthur! Playing so seriously against a child...\You're being immature! response:	A match is a match.
context: Have you ever honestly loved anyone?!\Is there a way to falsely love someone?\I pity the woman who falls in love with you!\Why are you so angry?\Shut up!\Honestly, brother Arthur! Playing so seriously against a child...\You're being immature!\A match is a match. response:	You make that child excuse whenever it suits you.
context: Is there a way to falsely love someone?\I pity the woman who falls in love with you!\Why are you so angry?\Shut up!\Honestly, brother Arthur! Playing so seriously against a child...\You're being immature!\A match is a match.\You make that child excuse whenever it suits you. response:	Fine, I quit.
context: I pity the woman who falls in love with you!\Why are you so angry?\Shut up!\Honestly, brother Arthur! Playing so seriously against a child...\You're being immature!\A match is a match.\You make that child excuse whenever it suits you.\Fine, I quit. response:	I'll play a match with you, if you'd like.
context: Why are you so angry?\Shut up!\Honestly, brother Arthur! Playing so seriously against a child...\You're being immature!\A match is a match.\You make that child excuse whenever it suits you.\Fine, I quit.\I'll play a match with you, if you'd like. response:	Ah, Prince Hakim!
context: Shut up!\Honestly, brother Arthur! Playing so seriously against a child...\You're being immature!\A match is a match.\You make that child excuse whenever it suits you.\Fine, I quit.\I'll play a match with you, if you'd like.\Ah, Prince Hakim! response:	Please, let's play!
context: Honestly, brother Arthur! Playing so seriously against a child...\You're being immature!\A match is a match.\You make that child excuse whenever it suits you.\Fine, I quit.\I'll play a match with you, if you'd like.\Ah, Prince Hakim!\Please, let's play! response:	Isn't Hakim wonderful?
context: You're being immature!\A match is a match.\You make that child excuse whenever it suits you.\Fine, I quit.\I'll play a match with you, if you'd like.\Ah, Prince Hakim!\Please, let's play!\Isn't Hakim wonderful? response:	He truly is wonderful!
context: A match is a match.\You make that child excuse whenever it suits you.\Fine, I quit.\I'll play a match with you, if you'd like.\Ah, Prince Hakim!\Please, let's play!\Isn't Hakim wonderful?\He truly is wonderful! response:	More than wondeful, he's a prince!
context: You make that child excuse whenever it suits you.\Fine, I quit.\I'll play a match with you, if you'd like.\Ah, Prince Hakim!\Please, let's play!\Isn't Hakim wonderful?\He truly is wonderful!\More than wondeful, he's a prince! response:	How lovely, to be a prince.
context: Fine, I quit.\I'll play a match with you, if you'd like.\Ah, Prince Hakim!\Please, let's play!\Isn't Hakim wonderful?\He truly is wonderful!\More than wondeful, he's a prince!\How lovely, to be a prince. response:	But being married to a prince would be difficult.
