context: Historia response:	Come on! The goal is right here!
context: I wish they'd let us inside already.\I bet they're busy putting together a huge feast for us! Yum...\Hey!\Christa is missing.\Huh?\She was sticking with Daz since he wasn't doing so well.\Daz isn't here either.\Ymir as well. response:	Maybe they're with the last squad?
context: I bet they're busy putting together a huge feast for us! Yum...\Hey!\Christa is missing.\Huh?\She was sticking with Daz since he wasn't doing so well.\Daz isn't here either.\Ymir as well.\Maybe they're with the last squad? response:	Can't be. The last squad, led by Thomas, just arrived.
context: Hey!\Christa is missing.\Huh?\She was sticking with Daz since he wasn't doing so well.\Daz isn't here either.\Ymir as well.\Maybe they're with the last squad?\Can't be. The last squad, led by Thomas, just arrived. response:	They never saw those three.
context: Christa is missing.\Huh?\She was sticking with Daz since he wasn't doing so well.\Daz isn't here either.\Ymir as well.\Maybe they're with the last squad?\Can't be. The last squad, led by Thomas, just arrived.\They never saw those three. response:	Huh?
context: Huh?\She was sticking with Daz since he wasn't doing so well.\Daz isn't here either.\Ymir as well.\Maybe they're with the last squad?\Can't be. The last squad, led by Thomas, just arrived.\They never saw those three.\Huh? response:	You don't think... they got lost?
context: She was sticking with Daz since he wasn't doing so well.\Daz isn't here either.\Ymir as well.\Maybe they're with the last squad?\Can't be. The last squad, led by Thomas, just arrived.\They never saw those three.\Huh?\You don't think... they got lost? response:	Hey...
context: Daz isn't here either.\Ymir as well.\Maybe they're with the last squad?\Can't be. The last squad, led by Thomas, just arrived.\They never saw those three.\Huh?\You don't think... they got lost?\Hey... response:	They don't stand a chance if they're stuck in this blizzard.
context: Ymir as well.\Maybe they're with the last squad?\Can't be. The last squad, led by Thomas, just arrived.\They never saw those three.\Huh?\You don't think... they got lost?\Hey...\They don't stand a chance if they're stuck in this blizzard. response:	Shit!
context: Maybe they're with the last squad?\Can't be. The last squad, led by Thomas, just arrived.\They never saw those three.\Huh?\You don't think... they got lost?\Hey...\They don't stand a chance if they're stuck in this blizzard.\Shit! response:	Eren!
context: Can't be. The last squad, led by Thomas, just arrived.\They never saw those three.\Huh?\You don't think... they got lost?\Hey...\They don't stand a chance if they're stuck in this blizzard.\Shit!\Eren! response:	I'm going back out to try and find them!
context: They never saw those three.\Huh?\You don't think... they got lost?\Hey...\They don't stand a chance if they're stuck in this blizzard.\Shit!\Eren!\I'm going back out to try and find them! response:	Me, too.
context: Huh?\You don't think... they got lost?\Hey...\They don't stand a chance if they're stuck in this blizzard.\Shit!\Eren!\I'm going back out to try and find them!\Me, too. response:	Everyone, get in the cabin.
context: You don't think... they got lost?\Hey...\They don't stand a chance if they're stuck in this blizzard.\Shit!\Eren!\I'm going back out to try and find them!\Me, too.\Everyone, get in the cabin. response:	But... Christa and-
context: Hey...\They don't stand a chance if they're stuck in this blizzard.\Shit!\Eren!\I'm going back out to try and find them!\Me, too.\Everyone, get in the cabin.\But... Christa and- response:	Yeah. We'll send a rescue team first thing in the morning.
context: They don't stand a chance if they're stuck in this blizzard.\Shit!\Eren!\I'm going back out to try and find them!\Me, too.\Everyone, get in the cabin.\But... Christa and-\Yeah. We'll send a rescue team first thing in the morning. response:	It'll be too late by then!
context: Shit!\Eren!\I'm going back out to try and find them!\Me, too.\Everyone, get in the cabin.\But... Christa and-\Yeah. We'll send a rescue team first thing in the morning.\It'll be too late by then! response:	We won't make any more victims!
context: Eren!\I'm going back out to try and find them!\Me, too.\Everyone, get in the cabin.\But... Christa and-\Yeah. We'll send a rescue team first thing in the morning.\It'll be too late by then!\We won't make any more victims! response:	Shit.
context: I'm going back out to try and find them!\Me, too.\Everyone, get in the cabin.\But... Christa and-\Yeah. We'll send a rescue team first thing in the morning.\It'll be too late by then!\We won't make any more victims!\Shit. response:	Christa.
context: Me, too.\Everyone, get in the cabin.\But... Christa and-\Yeah. We'll send a rescue team first thing in the morning.\It'll be too late by then!\We won't make any more victims!\Shit.\Christa. response:	Christa, give it up.
context: Everyone, get in the cabin.\But... Christa and-\Yeah. We'll send a rescue team first thing in the morning.\It'll be too late by then!\We won't make any more victims!\Shit.\Christa.\Christa, give it up. response:	Listen to me.
context: But... Christa and-\Yeah. We'll send a rescue team first thing in the morning.\It'll be too late by then!\We won't make any more victims!\Shit.\Christa.\Christa, give it up.\Listen to me. response:	Never.
context: Yeah. We'll send a rescue team first thing in the morning.\It'll be too late by then!\We won't make any more victims!\Shit.\Christa.\Christa, give it up.\Listen to me.\Never. response:	Daz already has one foot in the grave.
context: It'll be too late by then!\We won't make any more victims!\Shit.\Christa.\Christa, give it up.\Listen to me.\Never.\Daz already has one foot in the grave. response:	It's his own fault for doing this training to boost his score
context: We won't make any more victims!\Shit.\Christa.\Christa, give it up.\Listen to me.\Never.\Daz already has one foot in the grave.\It's his own fault for doing this training to boost his score response:	without knowing how much his body can take.
context: Shit.\Christa.\Christa, give it up.\Listen to me.\Never.\Daz already has one foot in the grave.\It's his own fault for doing this training to boost his score\without knowing how much his body can take. response:	He's just not cut out to be a soldier.
context: Christa.\Christa, give it up.\Listen to me.\Never.\Daz already has one foot in the grave.\It's his own fault for doing this training to boost his score\without knowing how much his body can take.\He's just not cut out to be a soldier. response:	If you keep crawling to the foot of the mountain at this rate,
context: Christa, give it up.\Listen to me.\Never.\Daz already has one foot in the grave.\It's his own fault for doing this training to boost his score\without knowing how much his body can take.\He's just not cut out to be a soldier.\If you keep crawling to the foot of the mountain at this rate, response:	he'll probably be a goner by then, and we'd be lucky not to be.
context: Listen to me.\Never.\Daz already has one foot in the grave.\It's his own fault for doing this training to boost his score\without knowing how much his body can take.\He's just not cut out to be a soldier.\If you keep crawling to the foot of the mountain at this rate,\he'll probably be a goner by then, and we'd be lucky not to be. response:	Which means there's only two outcomes.
context: Never.\Daz already has one foot in the grave.\It's his own fault for doing this training to boost his score\without knowing how much his body can take.\He's just not cut out to be a soldier.\If you keep crawling to the foot of the mountain at this rate,\he'll probably be a goner by then, and we'd be lucky not to be.\Which means there's only two outcomes. response:	Leave Daz here and save ourselves, or all three of us die.
context: Daz already has one foot in the grave.\It's his own fault for doing this training to boost his score\without knowing how much his body can take.\He's just not cut out to be a soldier.\If you keep crawling to the foot of the mountain at this rate,\he'll probably be a goner by then, and we'd be lucky not to be.\Which means there's only two outcomes.\Leave Daz here and save ourselves, or all three of us die. response:	Which will it be?
context: It's his own fault for doing this training to boost his score\without knowing how much his body can take.\He's just not cut out to be a soldier.\If you keep crawling to the foot of the mountain at this rate,\he'll probably be a goner by then, and we'd be lucky not to be.\Which means there's only two outcomes.\Leave Daz here and save ourselves, or all three of us die.\Which will it be? response:	You forgot one.
context: without knowing how much his body can take.\He's just not cut out to be a soldier.\If you keep crawling to the foot of the mountain at this rate,\he'll probably be a goner by then, and we'd be lucky not to be.\Which means there's only two outcomes.\Leave Daz here and save ourselves, or all three of us die.\Which will it be?\You forgot one. response:	That your prediction is entirely wrong.
context: He's just not cut out to be a soldier.\If you keep crawling to the foot of the mountain at this rate,\he'll probably be a goner by then, and we'd be lucky not to be.\Which means there's only two outcomes.\Leave Daz here and save ourselves, or all three of us die.\Which will it be?\You forgot one.\That your prediction is entirely wrong. response:	I'll be able to reach our base at the foot of the mountain... with Daz.
context: If you keep crawling to the foot of the mountain at this rate,\he'll probably be a goner by then, and we'd be lucky not to be.\Which means there's only two outcomes.\Leave Daz here and save ourselves, or all three of us die.\Which will it be?\You forgot one.\That your prediction is entirely wrong.\I'll be able to reach our base at the foot of the mountain... with Daz. response:	You can go ahead of us and get back safe.
context: he'll probably be a goner by then, and we'd be lucky not to be.\Which means there's only two outcomes.\Leave Daz here and save ourselves, or all three of us die.\Which will it be?\You forgot one.\That your prediction is entirely wrong.\I'll be able to reach our base at the foot of the mountain... with Daz.\You can go ahead of us and get back safe. response:	How about that?
context: Which means there's only two outcomes.\Leave Daz here and save ourselves, or all three of us die.\Which will it be?\You forgot one.\That your prediction is entirely wrong.\I'll be able to reach our base at the foot of the mountain... with Daz.\You can go ahead of us and get back safe.\How about that? response:	There's no trouble in it for you.
context: Leave Daz here and save ourselves, or all three of us die.\Which will it be?\You forgot one.\That your prediction is entirely wrong.\I'll be able to reach our base at the foot of the mountain... with Daz.\You can go ahead of us and get back safe.\How about that?\There's no trouble in it for you. response:	We'll make it back for sure.
context: Which will it be?\You forgot one.\That your prediction is entirely wrong.\I'll be able to reach our base at the foot of the mountain... with Daz.\You can go ahead of us and get back safe.\How about that?\There's no trouble in it for you.\We'll make it back for sure. response:	Go ahead of us.
context: You forgot one.\That your prediction is entirely wrong.\I'll be able to reach our base at the foot of the mountain... with Daz.\You can go ahead of us and get back safe.\How about that?\There's no trouble in it for you.\We'll make it back for sure.\Go ahead of us. response:	Hey. Why haven't you asked me to help at all?
context: That your prediction is entirely wrong.\I'll be able to reach our base at the foot of the mountain... with Daz.\You can go ahead of us and get back safe.\How about that?\There's no trouble in it for you.\We'll make it back for sure.\Go ahead of us.\Hey. Why haven't you asked me to help at all? response:	I think...
context: I'll be able to reach our base at the foot of the mountain... with Daz.\You can go ahead of us and get back safe.\How about that?\There's no trouble in it for you.\We'll make it back for sure.\Go ahead of us.\Hey. Why haven't you asked me to help at all?\I think... response:	You don't care. You've resigned yourself to death already.
context: You can go ahead of us and get back safe.\How about that?\There's no trouble in it for you.\We'll make it back for sure.\Go ahead of us.\Hey. Why haven't you asked me to help at all?\I think...\You don't care. You've resigned yourself to death already. response:	You're hoping to die here, aren't you?
context: How about that?\There's no trouble in it for you.\We'll make it back for sure.\Go ahead of us.\Hey. Why haven't you asked me to help at all?\I think...\You don't care. You've resigned yourself to death already.\You're hoping to die here, aren't you? response:	How could you?
context: There's no trouble in it for you.\We'll make it back for sure.\Go ahead of us.\Hey. Why haven't you asked me to help at all?\I think...\You don't care. You've resigned yourself to death already.\You're hoping to die here, aren't you?\How could you? response:	I thought you were a good girl.
context: We'll make it back for sure.\Go ahead of us.\Hey. Why haven't you asked me to help at all?\I think...\You don't care. You've resigned yourself to death already.\You're hoping to die here, aren't you?\How could you?\I thought you were a good girl. response:	You've gotta at least make it look like you're trying to save his life.
context: Go ahead of us.\Hey. Why haven't you asked me to help at all?\I think...\You don't care. You've resigned yourself to death already.\You're hoping to die here, aren't you?\How could you?\I thought you were a good girl.\You've gotta at least make it look like you're trying to save his life. response:	If you want people to remember you as a
context: Hey. Why haven't you asked me to help at all?\I think...\You don't care. You've resigned yourself to death already.\You're hoping to die here, aren't you?\How could you?\I thought you were a good girl.\You've gotta at least make it look like you're trying to save his life.\If you want people to remember you as a response:	hero who died trying to save someone,
context: I think...\You don't care. You've resigned yourself to death already.\You're hoping to die here, aren't you?\How could you?\I thought you were a good girl.\You've gotta at least make it look like you're trying to save his life.\If you want people to remember you as a\hero who died trying to save someone, response:	don't drag him down with you.
context: You don't care. You've resigned yourself to death already.\You're hoping to die here, aren't you?\How could you?\I thought you were a good girl.\You've gotta at least make it look like you're trying to save his life.\If you want people to remember you as a\hero who died trying to save someone,\don't drag him down with you. response:	That's what a bad girl would do.
context: You're hoping to die here, aren't you?\How could you?\I thought you were a good girl.\You've gotta at least make it look like you're trying to save his life.\If you want people to remember you as a\hero who died trying to save someone,\don't drag him down with you.\That's what a bad girl would do. response:	You're wrong!
context: How could you?\I thought you were a good girl.\You've gotta at least make it look like you're trying to save his life.\If you want people to remember you as a\hero who died trying to save someone,\don't drag him down with you.\That's what a bad girl would do.\You're wrong! response:	I didn't...
context: I thought you were a good girl.\You've gotta at least make it look like you're trying to save his life.\If you want people to remember you as a\hero who died trying to save someone,\don't drag him down with you.\That's what a bad girl would do.\You're wrong!\I didn't... response:	That's not...
context: You've gotta at least make it look like you're trying to save his life.\If you want people to remember you as a\hero who died trying to save someone,\don't drag him down with you.\That's what a bad girl would do.\You're wrong!\I didn't...\That's not... response:	It's you, right? The mistress' daughter who had people after your life.
context: If you want people to remember you as a\hero who died trying to save someone,\don't drag him down with you.\That's what a bad girl would do.\You're wrong!\I didn't...\That's not...\It's you, right? The mistress' daughter who had people after your life. response:	How do you know?
context: hero who died trying to save someone,\don't drag him down with you.\That's what a bad girl would do.\You're wrong!\I didn't...\That's not...\It's you, right? The mistress' daughter who had people after your life.\How do you know? response:	I see...
context: don't drag him down with you.\That's what a bad girl would do.\You're wrong!\I didn't...\That's not...\It's you, right? The mistress' daughter who had people after your life.\How do you know?\I see... response:	So it was you after all.
context: That's what a bad girl would do.\You're wrong!\I didn't...\That's not...\It's you, right? The mistress' daughter who had people after your life.\How do you know?\I see...\So it was you after all. response:	It's something I happened to overhear.
context: You're wrong!\I didn't...\That's not...\It's you, right? The mistress' daughter who had people after your life.\How do you know?\I see...\So it was you after all.\It's something I happened to overhear. response:	At a church in the interior,
context: I didn't...\That's not...\It's you, right? The mistress' daughter who had people after your life.\How do you know?\I see...\So it was you after all.\It's something I happened to overhear.\At a church in the interior, response:	back when I snuck around borrowing things to stay alive.
context: That's not...\It's you, right? The mistress' daughter who had people after your life.\How do you know?\I see...\So it was you after all.\It's something I happened to overhear.\At a church in the interior,\back when I snuck around borrowing things to stay alive. response:	What a sob story it was.
context: It's you, right? The mistress' daughter who had people after your life.\How do you know?\I see...\So it was you after all.\It's something I happened to overhear.\At a church in the interior,\back when I snuck around borrowing things to stay alive.\What a sob story it was. response:	An illegitimate child can't succeed a powerful noble.
context: How do you know?\I see...\So it was you after all.\It's something I happened to overhear.\At a church in the interior,\back when I snuck around borrowing things to stay alive.\What a sob story it was.\An illegitimate child can't succeed a powerful noble. response:	So they just wanted to kill her, to end all the fuss once and for all.
context: I see...\So it was you after all.\It's something I happened to overhear.\At a church in the interior,\back when I snuck around borrowing things to stay alive.\What a sob story it was.\An illegitimate child can't succeed a powerful noble.\So they just wanted to kill her, to end all the fuss once and for all. response:	But they'd look aside if she changed her name and lived a humble life.
context: So it was you after all.\It's something I happened to overhear.\At a church in the interior,\back when I snuck around borrowing things to stay alive.\What a sob story it was.\An illegitimate child can't succeed a powerful noble.\So they just wanted to kill her, to end all the fuss once and for all.\But they'd look aside if she changed her name and lived a humble life. response:	In the end, I heard the girl was forced to join the Cadet Corps.
context: It's something I happened to overhear.\At a church in the interior,\back when I snuck around borrowing things to stay alive.\What a sob story it was.\An illegitimate child can't succeed a powerful noble.\So they just wanted to kill her, to end all the fuss once and for all.\But they'd look aside if she changed her name and lived a humble life.\In the end, I heard the girl was forced to join the Cadet Corps. response:	Don't you worry.
context: At a church in the interior,\back when I snuck around borrowing things to stay alive.\What a sob story it was.\An illegitimate child can't succeed a powerful noble.\So they just wanted to kill her, to end all the fuss once and for all.\But they'd look aside if she changed her name and lived a humble life.\In the end, I heard the girl was forced to join the Cadet Corps.\Don't you worry. response:	I haven't told anyone. I don't plan to either.
context: back when I snuck around borrowing things to stay alive.\What a sob story it was.\An illegitimate child can't succeed a powerful noble.\So they just wanted to kill her, to end all the fuss once and for all.\But they'd look aside if she changed her name and lived a humble life.\In the end, I heard the girl was forced to join the Cadet Corps.\Don't you worry.\I haven't told anyone. I don't plan to either. response:	Then...
context: What a sob story it was.\An illegitimate child can't succeed a powerful noble.\So they just wanted to kill her, to end all the fuss once and for all.\But they'd look aside if she changed her name and lived a humble life.\In the end, I heard the girl was forced to join the Cadet Corps.\Don't you worry.\I haven't told anyone. I don't plan to either.\Then... response:	If that's the case... why?
context: An illegitimate child can't succeed a powerful noble.\So they just wanted to kill her, to end all the fuss once and for all.\But they'd look aside if she changed her name and lived a humble life.\In the end, I heard the girl was forced to join the Cadet Corps.\Don't you worry.\I haven't told anyone. I don't plan to either.\Then...\If that's the case... why? response:	Who knows. Maybe because we're similar.
context: So they just wanted to kill her, to end all the fuss once and for all.\But they'd look aside if she changed her name and lived a humble life.\In the end, I heard the girl was forced to join the Cadet Corps.\Don't you worry.\I haven't told anyone. I don't plan to either.\Then...\If that's the case... why?\Who knows. Maybe because we're similar. response:	What?
context: But they'd look aside if she changed her name and lived a humble life.\In the end, I heard the girl was forced to join the Cadet Corps.\Don't you worry.\I haven't told anyone. I don't plan to either.\Then...\If that's the case... why?\Who knows. Maybe because we're similar.\What? response:	You and me... have similar backgrounds?
context: In the end, I heard the girl was forced to join the Cadet Corps.\Don't you worry.\I haven't told anyone. I don't plan to either.\Then...\If that's the case... why?\Who knows. Maybe because we're similar.\What?\You and me... have similar backgrounds? response:	Well, more or less.
context: Don't you worry.\I haven't told anyone. I don't plan to either.\Then...\If that's the case... why?\Who knows. Maybe because we're similar.\What?\You and me... have similar backgrounds?\Well, more or less. response:	That's the reason you became a soldier?
context: I haven't told anyone. I don't plan to either.\Then...\If that's the case... why?\Who knows. Maybe because we're similar.\What?\You and me... have similar backgrounds?\Well, more or less.\That's the reason you became a soldier? response:	Could be. I don't really know.
context: Then...\If that's the case... why?\Who knows. Maybe because we're similar.\What?\You and me... have similar backgrounds?\Well, more or less.\That's the reason you became a soldier?\Could be. I don't really know. response:	No, it's not.
context: If that's the case... why?\Who knows. Maybe because we're similar.\What?\You and me... have similar backgrounds?\Well, more or less.\That's the reason you became a soldier?\Could be. I don't really know.\No, it's not. response:	You wanted...
context: Who knows. Maybe because we're similar.\What?\You and me... have similar backgrounds?\Well, more or less.\That's the reason you became a soldier?\Could be. I don't really know.\No, it's not.\You wanted... response:	Huh? You've got to be kidding me.
context: What?\You and me... have similar backgrounds?\Well, more or less.\That's the reason you became a soldier?\Could be. I don't really know.\No, it's not.\You wanted...\Huh? You've got to be kidding me. response:	You and I can't even compare.
context: You and me... have similar backgrounds?\Well, more or less.\That's the reason you became a soldier?\Could be. I don't really know.\No, it's not.\You wanted...\Huh? You've got to be kidding me.\You and I can't even compare. response:	We both got a second chance at life.
context: Well, more or less.\That's the reason you became a soldier?\Could be. I don't really know.\No, it's not.\You wanted...\Huh? You've got to be kidding me.\You and I can't even compare.\We both got a second chance at life. response:	But I'm not the one who took on a fake name.
context: That's the reason you became a soldier?\Could be. I don't really know.\No, it's not.\You wanted...\Huh? You've got to be kidding me.\You and I can't even compare.\We both got a second chance at life.\But I'm not the one who took on a fake name. response:	If I abandon my name and reject who I am, they win.
context: Could be. I don't really know.\No, it's not.\You wanted...\Huh? You've got to be kidding me.\You and I can't even compare.\We both got a second chance at life.\But I'm not the one who took on a fake name.\If I abandon my name and reject who I am, they win. response:	I'm going to keep the name I have and make the best of my life.
context: No, it's not.\You wanted...\Huh? You've got to be kidding me.\You and I can't even compare.\We both got a second chance at life.\But I'm not the one who took on a fake name.\If I abandon my name and reject who I am, they win.\I'm going to keep the name I have and make the best of my life. response:	That's the one and only way I can get my revenge.
context: You wanted...\Huh? You've got to be kidding me.\You and I can't even compare.\We both got a second chance at life.\But I'm not the one who took on a fake name.\If I abandon my name and reject who I am, they win.\I'm going to keep the name I have and make the best of my life.\That's the one and only way I can get my revenge. response:	So how do you explain yourself?
context: Huh? You've got to be kidding me.\You and I can't even compare.\We both got a second chance at life.\But I'm not the one who took on a fake name.\If I abandon my name and reject who I am, they win.\I'm going to keep the name I have and make the best of my life.\That's the one and only way I can get my revenge.\So how do you explain yourself? response:	Are you gonna commit suicide
context: You and I can't even compare.\We both got a second chance at life.\But I'm not the one who took on a fake name.\If I abandon my name and reject who I am, they win.\I'm going to keep the name I have and make the best of my life.\That's the one and only way I can get my revenge.\So how do you explain yourself?\Are you gonna commit suicide response:	and make everyone who ruined your life happy?
context: We both got a second chance at life.\But I'm not the one who took on a fake name.\If I abandon my name and reject who I am, they win.\I'm going to keep the name I have and make the best of my life.\That's the one and only way I can get my revenge.\So how do you explain yourself?\Are you gonna commit suicide\and make everyone who ruined your life happy? response:	Why is your desire to kill aimed at yourself?
context: But I'm not the one who took on a fake name.\If I abandon my name and reject who I am, they win.\I'm going to keep the name I have and make the best of my life.\That's the one and only way I can get my revenge.\So how do you explain yourself?\Are you gonna commit suicide\and make everyone who ruined your life happy?\Why is your desire to kill aimed at yourself? response:	If you're so eager, use that passion to change your own fate!
context: If I abandon my name and reject who I am, they win.\I'm going to keep the name I have and make the best of my life.\That's the one and only way I can get my revenge.\So how do you explain yourself?\Are you gonna commit suicide\and make everyone who ruined your life happy?\Why is your desire to kill aimed at yourself?\If you're so eager, use that passion to change your own fate! response:	Even now...
context: I'm going to keep the name I have and make the best of my life.\That's the one and only way I can get my revenge.\So how do you explain yourself?\Are you gonna commit suicide\and make everyone who ruined your life happy?\Why is your desire to kill aimed at yourself?\If you're so eager, use that passion to change your own fate!\Even now... response:	There's no way the three of us can make it out of here alive.
context: That's the one and only way I can get my revenge.\So how do you explain yourself?\Are you gonna commit suicide\and make everyone who ruined your life happy?\Why is your desire to kill aimed at yourself?\If you're so eager, use that passion to change your own fate!\Even now...\There's no way the three of us can make it out of here alive. response:	There is.
context: So how do you explain yourself?\Are you gonna commit suicide\and make everyone who ruined your life happy?\Why is your desire to kill aimed at yourself?\If you're so eager, use that passion to change your own fate!\Even now...\There's no way the three of us can make it out of here alive.\There is. response:	Huh?
context: Are you gonna commit suicide\and make everyone who ruined your life happy?\Why is your desire to kill aimed at yourself?\If you're so eager, use that passion to change your own fate!\Even now...\There's no way the three of us can make it out of here alive.\There is.\Huh? response:	I can see the base straight down from here.
context: and make everyone who ruined your life happy?\Why is your desire to kill aimed at yourself?\If you're so eager, use that passion to change your own fate!\Even now...\There's no way the three of us can make it out of here alive.\There is.\Huh?\I can see the base straight down from here. response:	We drop Daz off this cliff.
context: Why is your desire to kill aimed at yourself?\If you're so eager, use that passion to change your own fate!\Even now...\There's no way the three of us can make it out of here alive.\There is.\Huh?\I can see the base straight down from here.\We drop Daz off this cliff. response:	What?
context: If you're so eager, use that passion to change your own fate!\Even now...\There's no way the three of us can make it out of here alive.\There is.\Huh?\I can see the base straight down from here.\We drop Daz off this cliff.\What? response:	Hopefully he survives the fall,
context: Even now...\There's no way the three of us can make it out of here alive.\There is.\Huh?\I can see the base straight down from here.\We drop Daz off this cliff.\What?\Hopefully he survives the fall, response:	and hopefully someone down there finds him.
context: There's no way the three of us can make it out of here alive.\There is.\Huh?\I can see the base straight down from here.\We drop Daz off this cliff.\What?\Hopefully he survives the fall,\and hopefully someone down there finds him. response:	Sure, it might be a long shot, but...
context: There is.\Huh?\I can see the base straight down from here.\We drop Daz off this cliff.\What?\Hopefully he survives the fall,\and hopefully someone down there finds him.\Sure, it might be a long shot, but... response:	Unless some miracle happens,
context: Huh?\I can see the base straight down from here.\We drop Daz off this cliff.\What?\Hopefully he survives the fall,\and hopefully someone down there finds him.\Sure, it might be a long shot, but...\Unless some miracle happens, response:	he'll be an icicle long before you drag him down.
context: I can see the base straight down from here.\We drop Daz off this cliff.\What?\Hopefully he survives the fall,\and hopefully someone down there finds him.\Sure, it might be a long shot, but...\Unless some miracle happens,\he'll be an icicle long before you drag him down. response:	But...
context: We drop Daz off this cliff.\What?\Hopefully he survives the fall,\and hopefully someone down there finds him.\Sure, it might be a long shot, but...\Unless some miracle happens,\he'll be an icicle long before you drag him down.\But... response:	But he'll die for sure if he falls!
context: What?\Hopefully he survives the fall,\and hopefully someone down there finds him.\Sure, it might be a long shot, but...\Unless some miracle happens,\he'll be an icicle long before you drag him down.\But...\But he'll die for sure if he falls! response:	Shut up!
context: Hopefully he survives the fall,\and hopefully someone down there finds him.\Sure, it might be a long shot, but...\Unless some miracle happens,\he'll be an icicle long before you drag him down.\But...\But he'll die for sure if he falls!\Shut up! response:	Huh?
context: and hopefully someone down there finds him.\Sure, it might be a long shot, but...\Unless some miracle happens,\he'll be an icicle long before you drag him down.\But...\But he'll die for sure if he falls!\Shut up!\Huh? response:	Quit it!
context: Sure, it might be a long shot, but...\Unless some miracle happens,\he'll be an icicle long before you drag him down.\But...\But he'll die for sure if he falls!\Shut up!\Huh?\Quit it! response:	Ymir!
context: Unless some miracle happens,\he'll be an icicle long before you drag him down.\But...\But he'll die for sure if he falls!\Shut up!\Huh?\Quit it!\Ymir! response:	I'll do it myself, so get moving already!
context: he'll be an icicle long before you drag him down.\But...\But he'll die for sure if he falls!\Shut up!\Huh?\Quit it!\Ymir!\I'll do it myself, so get moving already! response:	It can't be...
context: But...\But he'll die for sure if he falls!\Shut up!\Huh?\Quit it!\Ymir!\I'll do it myself, so get moving already!\It can't be... response:	Wait!
context: But he'll die for sure if he falls!\Shut up!\Huh?\Quit it!\Ymir!\I'll do it myself, so get moving already!\It can't be...\Wait! response:	Ymir, wait!
context: Shut up!\Huh?\Quit it!\Ymir!\I'll do it myself, so get moving already!\It can't be...\Wait!\Ymir, wait! response:	They're both...
context: Huh?\Quit it!\Ymir!\I'll do it myself, so get moving already!\It can't be...\Wait!\Ymir, wait!\They're both... response:	It's better if you guys don't come along.
context: Quit it!\Ymir!\I'll do it myself, so get moving already!\It can't be...\Wait!\Ymir, wait!\They're both...\It's better if you guys don't come along. response:	Like our instructor said, you'll only end up becoming more victims.
context: Ymir!\I'll do it myself, so get moving already!\It can't be...\Wait!\Ymir, wait!\They're both...\It's better if you guys don't come along.\Like our instructor said, you'll only end up becoming more victims. response:	I'm going so that doesn't happen.
