context: Hey, Rin! response:	Rin! Come on!
context: Why is Professor Okumura...\He's still a student...\He's the same Middle First Class as I.\In addition to accepting the position of the Branch leader,\I have also received the title of Paladin as of today.\I request your cooperation.\What? Yukio is the new Paladin?\And also Head of the Japanese Branch. response:	I wonder what this new pope is thinking.
context: He's still a student...\He's the same Middle First Class as I.\In addition to accepting the position of the Branch leader,\I have also received the title of Paladin as of today.\I request your cooperation.\What? Yukio is the new Paladin?\And also Head of the Japanese Branch.\I wonder what this new pope is thinking. response:	Dammit, he got ahead of me!
context: He's the same Middle First Class as I.\In addition to accepting the position of the Branch leader,\I have also received the title of Paladin as of today.\I request your cooperation.\What? Yukio is the new Paladin?\And also Head of the Japanese Branch.\I wonder what this new pope is thinking.\Dammit, he got ahead of me! response:	I wanted to be the first to become Paladin!
context: In addition to accepting the position of the Branch leader,\I have also received the title of Paladin as of today.\I request your cooperation.\What? Yukio is the new Paladin?\And also Head of the Japanese Branch.\I wonder what this new pope is thinking.\Dammit, he got ahead of me!\I wanted to be the first to become Paladin! response:	Is that your problem?
context: I have also received the title of Paladin as of today.\I request your cooperation.\What? Yukio is the new Paladin?\And also Head of the Japanese Branch.\I wonder what this new pope is thinking.\Dammit, he got ahead of me!\I wanted to be the first to become Paladin!\Is that your problem? response:	Have you ever gotten even close to my level?
context: I request your cooperation.\What? Yukio is the new Paladin?\And also Head of the Japanese Branch.\I wonder what this new pope is thinking.\Dammit, he got ahead of me!\I wanted to be the first to become Paladin!\Is that your problem?\Have you ever gotten even close to my level? response:	Yukio!
context: What? Yukio is the new Paladin?\And also Head of the Japanese Branch.\I wonder what this new pope is thinking.\Dammit, he got ahead of me!\I wanted to be the first to become Paladin!\Is that your problem?\Have you ever gotten even close to my level?\Yukio! response:	Are you really the new Paladin?
context: And also Head of the Japanese Branch.\I wonder what this new pope is thinking.\Dammit, he got ahead of me!\I wanted to be the first to become Paladin!\Is that your problem?\Have you ever gotten even close to my level?\Yukio!\Are you really the new Paladin? response:	I have the title of the strongest Exorcist, just like Father had.
context: I wonder what this new pope is thinking.\Dammit, he got ahead of me!\I wanted to be the first to become Paladin!\Is that your problem?\Have you ever gotten even close to my level?\Yukio!\Are you really the new Paladin?\I have the title of the strongest Exorcist, just like Father had. response:	You're my little brother and I know that you work your ass off when no one's looking,
context: Dammit, he got ahead of me!\I wanted to be the first to become Paladin!\Is that your problem?\Have you ever gotten even close to my level?\Yukio!\Are you really the new Paladin?\I have the title of the strongest Exorcist, just like Father had.\You're my little brother and I know that you work your ass off when no one's looking, response:	but why didn't you tell me something this important?!
context: I wanted to be the first to become Paladin!\Is that your problem?\Have you ever gotten even close to my level?\Yukio!\Are you really the new Paladin?\I have the title of the strongest Exorcist, just like Father had.\You're my little brother and I know that you work your ass off when no one's looking,\but why didn't you tell me something this important?! response:	It was an urgent summon.
context: Is that your problem?\Have you ever gotten even close to my level?\Yukio!\Are you really the new Paladin?\I have the title of the strongest Exorcist, just like Father had.\You're my little brother and I know that you work your ass off when no one's looking,\but why didn't you tell me something this important?!\It was an urgent summon. response:	Then at least send me an e-mail!
context: Have you ever gotten even close to my level?\Yukio!\Are you really the new Paladin?\I have the title of the strongest Exorcist, just like Father had.\You're my little brother and I know that you work your ass off when no one's looking,\but why didn't you tell me something this important?!\It was an urgent summon.\Then at least send me an e-mail! response:	Sorry. I will do that next time.
context: Yukio!\Are you really the new Paladin?\I have the title of the strongest Exorcist, just like Father had.\You're my little brother and I know that you work your ass off when no one's looking,\but why didn't you tell me something this important?!\It was an urgent summon.\Then at least send me an e-mail!\Sorry. I will do that next time. response:	Then it's okay.
context: Are you really the new Paladin?\I have the title of the strongest Exorcist, just like Father had.\You're my little brother and I know that you work your ass off when no one's looking,\but why didn't you tell me something this important?!\It was an urgent summon.\Then at least send me an e-mail!\Sorry. I will do that next time.\Then it's okay. response:	The only reason I've been appointed Paladin
context: I have the title of the strongest Exorcist, just like Father had.\You're my little brother and I know that you work your ass off when no one's looking,\but why didn't you tell me something this important?!\It was an urgent summon.\Then at least send me an e-mail!\Sorry. I will do that next time.\Then it's okay.\The only reason I've been appointed Paladin response:	is so I could carry out the plan of the Vatican.
context: You're my little brother and I know that you work your ass off when no one's looking,\but why didn't you tell me something this important?!\It was an urgent summon.\Then at least send me an e-mail!\Sorry. I will do that next time.\Then it's okay.\The only reason I've been appointed Paladin\is so I could carry out the plan of the Vatican. response:	What plan?
context: but why didn't you tell me something this important?!\It was an urgent summon.\Then at least send me an e-mail!\Sorry. I will do that next time.\Then it's okay.\The only reason I've been appointed Paladin\is so I could carry out the plan of the Vatican.\What plan? response:	My people! Our whole history we have lived in fear of the demons.
context: It was an urgent summon.\Then at least send me an e-mail!\Sorry. I will do that next time.\Then it's okay.\The only reason I've been appointed Paladin\is so I could carry out the plan of the Vatican.\What plan?\My people! Our whole history we have lived in fear of the demons. response:	But that shall end today!
context: Then at least send me an e-mail!\Sorry. I will do that next time.\Then it's okay.\The only reason I've been appointed Paladin\is so I could carry out the plan of the Vatican.\What plan?\My people! Our whole history we have lived in fear of the demons.\But that shall end today! response:	Just as the light of civilization drove away the darkness,
context: Sorry. I will do that next time.\Then it's okay.\The only reason I've been appointed Paladin\is so I could carry out the plan of the Vatican.\What plan?\My people! Our whole history we have lived in fear of the demons.\But that shall end today!\Just as the light of civilization drove away the darkness, response:	we shall drive away all the demons from this world
context: Then it's okay.\The only reason I've been appointed Paladin\is so I could carry out the plan of the Vatican.\What plan?\My people! Our whole history we have lived in fear of the demons.\But that shall end today!\Just as the light of civilization drove away the darkness,\we shall drive away all the demons from this world response:	and return Assiah to the hands of humankind once again!
context: The only reason I've been appointed Paladin\is so I could carry out the plan of the Vatican.\What plan?\My people! Our whole history we have lived in fear of the demons.\But that shall end today!\Just as the light of civilization drove away the darkness,\we shall drive away all the demons from this world\and return Assiah to the hands of humankind once again! response:	I, Pope Ernst, hereby order all Exorcists around the world.
context: is so I could carry out the plan of the Vatican.\What plan?\My people! Our whole history we have lived in fear of the demons.\But that shall end today!\Just as the light of civilization drove away the darkness,\we shall drive away all the demons from this world\and return Assiah to the hands of humankind once again!\I, Pope Ernst, hereby order all Exorcists around the world. response:	Begin Operation Jacob's Ladder!
context: What plan?\My people! Our whole history we have lived in fear of the demons.\But that shall end today!\Just as the light of civilization drove away the darkness,\we shall drive away all the demons from this world\and return Assiah to the hands of humankind once again!\I, Pope Ernst, hereby order all Exorcists around the world.\Begin Operation Jacob's Ladder! response:	Jacob's Ladder?
context: My people! Our whole history we have lived in fear of the demons.\But that shall end today!\Just as the light of civilization drove away the darkness,\we shall drive away all the demons from this world\and return Assiah to the hands of humankind once again!\I, Pope Ernst, hereby order all Exorcists around the world.\Begin Operation Jacob's Ladder!\Jacob's Ladder? response:	I am responsible for carrying out that plan.
context: But that shall end today!\Just as the light of civilization drove away the darkness,\we shall drive away all the demons from this world\and return Assiah to the hands of humankind once again!\I, Pope Ernst, hereby order all Exorcists around the world.\Begin Operation Jacob's Ladder!\Jacob's Ladder?\I am responsible for carrying out that plan. response:	You'll help us too, won't you Rin?
context: Just as the light of civilization drove away the darkness,\we shall drive away all the demons from this world\and return Assiah to the hands of humankind once again!\I, Pope Ernst, hereby order all Exorcists around the world.\Begin Operation Jacob's Ladder!\Jacob's Ladder?\I am responsible for carrying out that plan.\You'll help us too, won't you Rin? response:	Sure!
context: we shall drive away all the demons from this world\and return Assiah to the hands of humankind once again!\I, Pope Ernst, hereby order all Exorcists around the world.\Begin Operation Jacob's Ladder!\Jacob's Ladder?\I am responsible for carrying out that plan.\You'll help us too, won't you Rin?\Sure! response:	I'm off to a meeting now.
context: and return Assiah to the hands of humankind once again!\I, Pope Ernst, hereby order all Exorcists around the world.\Begin Operation Jacob's Ladder!\Jacob's Ladder?\I am responsible for carrying out that plan.\You'll help us too, won't you Rin?\Sure!\I'm off to a meeting now. response:	Sure, do your best!
context: I, Pope Ernst, hereby order all Exorcists around the world.\Begin Operation Jacob's Ladder!\Jacob's Ladder?\I am responsible for carrying out that plan.\You'll help us too, won't you Rin?\Sure!\I'm off to a meeting now.\Sure, do your best! response:	Umm, what's this?
context: Begin Operation Jacob's Ladder!\Jacob's Ladder?\I am responsible for carrying out that plan.\You'll help us too, won't you Rin?\Sure!\I'm off to a meeting now.\Sure, do your best!\Umm, what's this? response:	Demon slayer weapons developed by the Vatican.
context: Jacob's Ladder?\I am responsible for carrying out that plan.\You'll help us too, won't you Rin?\Sure!\I'm off to a meeting now.\Sure, do your best!\Umm, what's this?\Demon slayer weapons developed by the Vatican. response:	It takes the power of the defeated demon and boosts your Exorcism.
context: I am responsible for carrying out that plan.\You'll help us too, won't you Rin?\Sure!\I'm off to a meeting now.\Sure, do your best!\Umm, what's this?\Demon slayer weapons developed by the Vatican.\It takes the power of the defeated demon and boosts your Exorcism. response:	When I hold this in my hand I feel like fighting too.
context: You'll help us too, won't you Rin?\Sure!\I'm off to a meeting now.\Sure, do your best!\Umm, what's this?\Demon slayer weapons developed by the Vatican.\It takes the power of the defeated demon and boosts your Exorcism.\When I hold this in my hand I feel like fighting too. response:	Shima, it's not a toy...
context: Sure!\I'm off to a meeting now.\Sure, do your best!\Umm, what's this?\Demon slayer weapons developed by the Vatican.\It takes the power of the defeated demon and boosts your Exorcism.\When I hold this in my hand I feel like fighting too.\Shima, it's not a toy... response:	We're supposed to be Tamers...
context: I'm off to a meeting now.\Sure, do your best!\Umm, what's this?\Demon slayer weapons developed by the Vatican.\It takes the power of the defeated demon and boosts your Exorcism.\When I hold this in my hand I feel like fighting too.\Shima, it's not a toy...\We're supposed to be Tamers... response:	Then use that grimoire.
context: Sure, do your best!\Umm, what's this?\Demon slayer weapons developed by the Vatican.\It takes the power of the defeated demon and boosts your Exorcism.\When I hold this in my hand I feel like fighting too.\Shima, it's not a toy...\We're supposed to be Tamers...\Then use that grimoire. response:	We'll rather stick with these.
context: Umm, what's this?\Demon slayer weapons developed by the Vatican.\It takes the power of the defeated demon and boosts your Exorcism.\When I hold this in my hand I feel like fighting too.\Shima, it's not a toy...\We're supposed to be Tamers...\Then use that grimoire.\We'll rather stick with these. response:	Although you're permitted to carry arms, you still lack experience.
context: Demon slayer weapons developed by the Vatican.\It takes the power of the defeated demon and boosts your Exorcism.\When I hold this in my hand I feel like fighting too.\Shima, it's not a toy...\We're supposed to be Tamers...\Then use that grimoire.\We'll rather stick with these.\Although you're permitted to carry arms, you still lack experience. response:	Be careful not to get in the way of other Exorcists.
context: It takes the power of the defeated demon and boosts your Exorcism.\When I hold this in my hand I feel like fighting too.\Shima, it's not a toy...\We're supposed to be Tamers...\Then use that grimoire.\We'll rather stick with these.\Although you're permitted to carry arms, you still lack experience.\Be careful not to get in the way of other Exorcists. response:	Yes.
context: When I hold this in my hand I feel like fighting too.\Shima, it's not a toy...\We're supposed to be Tamers...\Then use that grimoire.\We'll rather stick with these.\Although you're permitted to carry arms, you still lack experience.\Be careful not to get in the way of other Exorcists.\Yes. response:	O Sylphs born of the dark mist. gather in the lands of honey and milk.
context: Shima, it's not a toy...\We're supposed to be Tamers...\Then use that grimoire.\We'll rather stick with these.\Although you're permitted to carry arms, you still lack experience.\Be careful not to get in the way of other Exorcists.\Yes.\O Sylphs born of the dark mist. gather in the lands of honey and milk. response:	Spread your crystalline wings and dance in the sky!
context: We're supposed to be Tamers...\Then use that grimoire.\We'll rather stick with these.\Although you're permitted to carry arms, you still lack experience.\Be careful not to get in the way of other Exorcists.\Yes.\O Sylphs born of the dark mist. gather in the lands of honey and milk.\Spread your crystalline wings and dance in the sky! response:	Shima!
context: Then use that grimoire.\We'll rather stick with these.\Although you're permitted to carry arms, you still lack experience.\Be careful not to get in the way of other Exorcists.\Yes.\O Sylphs born of the dark mist. gather in the lands of honey and milk.\Spread your crystalline wings and dance in the sky!\Shima! response:	Dammit!
context: We'll rather stick with these.\Although you're permitted to carry arms, you still lack experience.\Be careful not to get in the way of other Exorcists.\Yes.\O Sylphs born of the dark mist. gather in the lands of honey and milk.\Spread your crystalline wings and dance in the sky!\Shima!\Dammit! response:	Now, shoot!
context: Although you're permitted to carry arms, you still lack experience.\Be careful not to get in the way of other Exorcists.\Yes.\O Sylphs born of the dark mist. gather in the lands of honey and milk.\Spread your crystalline wings and dance in the sky!\Shima!\Dammit!\Now, shoot! response:	You did well! We won!
context: Be careful not to get in the way of other Exorcists.\Yes.\O Sylphs born of the dark mist. gather in the lands of honey and milk.\Spread your crystalline wings and dance in the sky!\Shima!\Dammit!\Now, shoot!\You did well! We won! response:	This... is so one-sided.
context: Yes.\O Sylphs born of the dark mist. gather in the lands of honey and milk.\Spread your crystalline wings and dance in the sky!\Shima!\Dammit!\Now, shoot!\You did well! We won!\This... is so one-sided. response:	Hey, Rin! Is this what Exorcists do?
context: O Sylphs born of the dark mist. gather in the lands of honey and milk.\Spread your crystalline wings and dance in the sky!\Shima!\Dammit!\Now, shoot!\You did well! We won!\This... is so one-sided.\Hey, Rin! Is this what Exorcists do? response:	To me it feels we're...
context: Spread your crystalline wings and dance in the sky!\Shima!\Dammit!\Now, shoot!\You did well! We won!\This... is so one-sided.\Hey, Rin! Is this what Exorcists do?\To me it feels we're... response:	Report.
context: Shima!\Dammit!\Now, shoot!\You did well! We won!\This... is so one-sided.\Hey, Rin! Is this what Exorcists do?\To me it feels we're...\Report. response:	We have already completed cleansing 443 556 regions,
context: Dammit!\Now, shoot!\You did well! We won!\This... is so one-sided.\Hey, Rin! Is this what Exorcists do?\To me it feels we're...\Report.\We have already completed cleansing 443 556 regions, response:	but we're facing resistance in a number of other regions...
context: Now, shoot!\You did well! We won!\This... is so one-sided.\Hey, Rin! Is this what Exorcists do?\To me it feels we're...\Report.\We have already completed cleansing 443 556 regions,\but we're facing resistance in a number of other regions... response:	Tell every single Exorcist that this is a Crusade.
context: You did well! We won!\This... is so one-sided.\Hey, Rin! Is this what Exorcists do?\To me it feels we're...\Report.\We have already completed cleansing 443 556 regions,\but we're facing resistance in a number of other regions...\Tell every single Exorcist that this is a Crusade. response:	Without sacrifices our dreams will never come true.
context: This... is so one-sided.\Hey, Rin! Is this what Exorcists do?\To me it feels we're...\Report.\We have already completed cleansing 443 556 regions,\but we're facing resistance in a number of other regions...\Tell every single Exorcist that this is a Crusade.\Without sacrifices our dreams will never come true. response:	What is it? Is there something you'd like to say?
context: Hey, Rin! Is this what Exorcists do?\To me it feels we're...\Report.\We have already completed cleansing 443 556 regions,\but we're facing resistance in a number of other regions...\Tell every single Exorcist that this is a Crusade.\Without sacrifices our dreams will never come true.\What is it? Is there something you'd like to say? response:	No.
context: To me it feels we're...\Report.\We have already completed cleansing 443 556 regions,\but we're facing resistance in a number of other regions...\Tell every single Exorcist that this is a Crusade.\Without sacrifices our dreams will never come true.\What is it? Is there something you'd like to say?\No. response:	Will you turn Rin back to human?
context: Report.\We have already completed cleansing 443 556 regions,\but we're facing resistance in a number of other regions...\Tell every single Exorcist that this is a Crusade.\Without sacrifices our dreams will never come true.\What is it? Is there something you'd like to say?\No.\Will you turn Rin back to human? response:	Is that even possible?
context: We have already completed cleansing 443 556 regions,\but we're facing resistance in a number of other regions...\Tell every single Exorcist that this is a Crusade.\Without sacrifices our dreams will never come true.\What is it? Is there something you'd like to say?\No.\Will you turn Rin back to human?\Is that even possible? response:	The Kurikara has sealed Rin's blue flames into Gehenna.
context: but we're facing resistance in a number of other regions...\Tell every single Exorcist that this is a Crusade.\Without sacrifices our dreams will never come true.\What is it? Is there something you'd like to say?\No.\Will you turn Rin back to human?\Is that even possible?\The Kurikara has sealed Rin's blue flames into Gehenna. response:	The human world of Assiah and the demon world of Gehenna
context: Tell every single Exorcist that this is a Crusade.\Without sacrifices our dreams will never come true.\What is it? Is there something you'd like to say?\No.\Will you turn Rin back to human?\Is that even possible?\The Kurikara has sealed Rin's blue flames into Gehenna.\The human world of Assiah and the demon world of Gehenna response:	are like the two sides of a mirror.
context: Without sacrifices our dreams will never come true.\What is it? Is there something you'd like to say?\No.\Will you turn Rin back to human?\Is that even possible?\The Kurikara has sealed Rin's blue flames into Gehenna.\The human world of Assiah and the demon world of Gehenna\are like the two sides of a mirror. response:	If we destroy Gehenna as a whole, all demonic power will be gone,
context: What is it? Is there something you'd like to say?\No.\Will you turn Rin back to human?\Is that even possible?\The Kurikara has sealed Rin's blue flames into Gehenna.\The human world of Assiah and the demon world of Gehenna\are like the two sides of a mirror.\If we destroy Gehenna as a whole, all demonic power will be gone, response:	and Rin will return to an ordinary human.
context: No.\Will you turn Rin back to human?\Is that even possible?\The Kurikara has sealed Rin's blue flames into Gehenna.\The human world of Assiah and the demon world of Gehenna\are like the two sides of a mirror.\If we destroy Gehenna as a whole, all demonic power will be gone,\and Rin will return to an ordinary human. response:	That's impossible...
context: Will you turn Rin back to human?\Is that even possible?\The Kurikara has sealed Rin's blue flames into Gehenna.\The human world of Assiah and the demon world of Gehenna\are like the two sides of a mirror.\If we destroy Gehenna as a whole, all demonic power will be gone,\and Rin will return to an ordinary human.\That's impossible... response:	It's impossible to destroy Gehenna.
context: Is that even possible?\The Kurikara has sealed Rin's blue flames into Gehenna.\The human world of Assiah and the demon world of Gehenna\are like the two sides of a mirror.\If we destroy Gehenna as a whole, all demonic power will be gone,\and Rin will return to an ordinary human.\That's impossible...\It's impossible to destroy Gehenna. response:	No, it is possible.
context: The Kurikara has sealed Rin's blue flames into Gehenna.\The human world of Assiah and the demon world of Gehenna\are like the two sides of a mirror.\If we destroy Gehenna as a whole, all demonic power will be gone,\and Rin will return to an ordinary human.\That's impossible...\It's impossible to destroy Gehenna.\No, it is possible. response:	We have spent 15 years to develop the ultimate weapon, the Messiah.
context: The human world of Assiah and the demon world of Gehenna\are like the two sides of a mirror.\If we destroy Gehenna as a whole, all demonic power will be gone,\and Rin will return to an ordinary human.\That's impossible...\It's impossible to destroy Gehenna.\No, it is possible.\We have spent 15 years to develop the ultimate weapon, the Messiah. response:	The Messiah can be launched anytime on my command,
context: are like the two sides of a mirror.\If we destroy Gehenna as a whole, all demonic power will be gone,\and Rin will return to an ordinary human.\That's impossible...\It's impossible to destroy Gehenna.\No, it is possible.\We have spent 15 years to develop the ultimate weapon, the Messiah.\The Messiah can be launched anytime on my command, response:	but the Gehenna Gate needs to be opened first.
context: If we destroy Gehenna as a whole, all demonic power will be gone,\and Rin will return to an ordinary human.\That's impossible...\It's impossible to destroy Gehenna.\No, it is possible.\We have spent 15 years to develop the ultimate weapon, the Messiah.\The Messiah can be launched anytime on my command,\but the Gehenna Gate needs to be opened first. response:	The Gehenna Gate?
context: and Rin will return to an ordinary human.\That's impossible...\It's impossible to destroy Gehenna.\No, it is possible.\We have spent 15 years to develop the ultimate weapon, the Messiah.\The Messiah can be launched anytime on my command,\but the Gehenna Gate needs to be opened first.\The Gehenna Gate? response:	It literally is a gate in space-time between Assiah and Gehenna.
context: That's impossible...\It's impossible to destroy Gehenna.\No, it is possible.\We have spent 15 years to develop the ultimate weapon, the Messiah.\The Messiah can be launched anytime on my command,\but the Gehenna Gate needs to be opened first.\The Gehenna Gate?\It literally is a gate in space-time between Assiah and Gehenna. response:	It is believed that only Satan can open it, but we managed to create an artificial one.
context: It's impossible to destroy Gehenna.\No, it is possible.\We have spent 15 years to develop the ultimate weapon, the Messiah.\The Messiah can be launched anytime on my command,\but the Gehenna Gate needs to be opened first.\The Gehenna Gate?\It literally is a gate in space-time between Assiah and Gehenna.\It is believed that only Satan can open it, but we managed to create an artificial one. response:	To maintain the Gate for a longer time, we need immense amounts of demon blood.
context: No, it is possible.\We have spent 15 years to develop the ultimate weapon, the Messiah.\The Messiah can be launched anytime on my command,\but the Gehenna Gate needs to be opened first.\The Gehenna Gate?\It literally is a gate in space-time between Assiah and Gehenna.\It is believed that only Satan can open it, but we managed to create an artificial one.\To maintain the Gate for a longer time, we need immense amounts of demon blood. response:	Can Rin really become human again if we destroy Gehenna?
context: We have spent 15 years to develop the ultimate weapon, the Messiah.\The Messiah can be launched anytime on my command,\but the Gehenna Gate needs to be opened first.\The Gehenna Gate?\It literally is a gate in space-time between Assiah and Gehenna.\It is believed that only Satan can open it, but we managed to create an artificial one.\To maintain the Gate for a longer time, we need immense amounts of demon blood.\Can Rin really become human again if we destroy Gehenna? response:	Not only Rin, but you as well.
