context: The Other House response:	While I was hanging up the laundry, the phone rang.
context: I was worried about you since you never came by.\I was going to say that, but stopped myself.\This boy understood everything\and did us a favor by staying away.\As I awkwardly sat with him, unable to look him in the eyes,\he still sat across from me.\So mellow...\That's it, mellow. response:	He seems much more mellow now.
context: I was going to say that, but stopped myself.\This boy understood everything\and did us a favor by staying away.\As I awkwardly sat with him, unable to look him in the eyes,\he still sat across from me.\So mellow...\That's it, mellow.\He seems much more mellow now. response:	He'd become an adult.
context: This boy understood everything\and did us a favor by staying away.\As I awkwardly sat with him, unable to look him in the eyes,\he still sat across from me.\So mellow...\That's it, mellow.\He seems much more mellow now.\He'd become an adult. response:	Is he the same age as Ayumu? I can't believe it.
context: and did us a favor by staying away.\As I awkwardly sat with him, unable to look him in the eyes,\he still sat across from me.\So mellow...\That's it, mellow.\He seems much more mellow now.\He'd become an adult.\Is he the same age as Ayumu? I can't believe it. response:	My son hasn't even changed, and he's still a child.
context: As I awkwardly sat with him, unable to look him in the eyes,\he still sat across from me.\So mellow...\That's it, mellow.\He seems much more mellow now.\He'd become an adult.\Is he the same age as Ayumu? I can't believe it.\My son hasn't even changed, and he's still a child. response:	I realized my children were no match for him at a fairly early stage.
context: he still sat across from me.\So mellow...\That's it, mellow.\He seems much more mellow now.\He'd become an adult.\Is he the same age as Ayumu? I can't believe it.\My son hasn't even changed, and he's still a child.\I realized my children were no match for him at a fairly early stage. response:	It was a simple situation.
context: So mellow...\That's it, mellow.\He seems much more mellow now.\He'd become an adult.\Is he the same age as Ayumu? I can't believe it.\My son hasn't even changed, and he's still a child.\I realized my children were no match for him at a fairly early stage.\It was a simple situation. response:	Anyone could see that the amount of practice he did was unbelievable.
context: That's it, mellow.\He seems much more mellow now.\He'd become an adult.\Is he the same age as Ayumu? I can't believe it.\My son hasn't even changed, and he's still a child.\I realized my children were no match for him at a fairly early stage.\It was a simple situation.\Anyone could see that the amount of practice he did was unbelievable. response:	But if they didn't want to lose to him, they would have to practice even more than he did.
context: He seems much more mellow now.\He'd become an adult.\Is he the same age as Ayumu? I can't believe it.\My son hasn't even changed, and he's still a child.\I realized my children were no match for him at a fairly early stage.\It was a simple situation.\Anyone could see that the amount of practice he did was unbelievable.\But if they didn't want to lose to him, they would have to practice even more than he did. response:	It was a simple answer.
context: He'd become an adult.\Is he the same age as Ayumu? I can't believe it.\My son hasn't even changed, and he's still a child.\I realized my children were no match for him at a fairly early stage.\It was a simple situation.\Anyone could see that the amount of practice he did was unbelievable.\But if they didn't want to lose to him, they would have to practice even more than he did.\It was a simple answer. response:	However, could they do it? No, they couldn't.
context: Is he the same age as Ayumu? I can't believe it.\My son hasn't even changed, and he's still a child.\I realized my children were no match for him at a fairly early stage.\It was a simple situation.\Anyone could see that the amount of practice he did was unbelievable.\But if they didn't want to lose to him, they would have to practice even more than he did.\It was a simple answer.\However, could they do it? No, they couldn't. response:	He silently embodied sound reasoning and in his presence,
context: My son hasn't even changed, and he's still a child.\I realized my children were no match for him at a fairly early stage.\It was a simple situation.\Anyone could see that the amount of practice he did was unbelievable.\But if they didn't want to lose to him, they would have to practice even more than he did.\It was a simple answer.\However, could they do it? No, they couldn't.\He silently embodied sound reasoning and in his presence, response:	my children's own weakness made them lose their equilibrium
context: I realized my children were no match for him at a fairly early stage.\It was a simple situation.\Anyone could see that the amount of practice he did was unbelievable.\But if they didn't want to lose to him, they would have to practice even more than he did.\It was a simple answer.\However, could they do it? No, they couldn't.\He silently embodied sound reasoning and in his presence,\my children's own weakness made them lose their equilibrium response:	and they collapsed into pieces.
context: It was a simple situation.\Anyone could see that the amount of practice he did was unbelievable.\But if they didn't want to lose to him, they would have to practice even more than he did.\It was a simple answer.\However, could they do it? No, they couldn't.\He silently embodied sound reasoning and in his presence,\my children's own weakness made them lose their equilibrium\and they collapsed into pieces. response:	When my own children turned against me, I was lost,
context: Anyone could see that the amount of practice he did was unbelievable.\But if they didn't want to lose to him, they would have to practice even more than he did.\It was a simple answer.\However, could they do it? No, they couldn't.\He silently embodied sound reasoning and in his presence,\my children's own weakness made them lose their equilibrium\and they collapsed into pieces.\When my own children turned against me, I was lost, response:	and my husband silently watched it all unfold.
context: But if they didn't want to lose to him, they would have to practice even more than he did.\It was a simple answer.\However, could they do it? No, they couldn't.\He silently embodied sound reasoning and in his presence,\my children's own weakness made them lose their equilibrium\and they collapsed into pieces.\When my own children turned against me, I was lost,\and my husband silently watched it all unfold. response:	People who need other people to motivate them will eventually come up against a brick wall.
context: It was a simple answer.\However, could they do it? No, they couldn't.\He silently embodied sound reasoning and in his presence,\my children's own weakness made them lose their equilibrium\and they collapsed into pieces.\When my own children turned against me, I was lost,\and my husband silently watched it all unfold.\People who need other people to motivate them will eventually come up against a brick wall. response:	That was his view.
context: However, could they do it? No, they couldn't.\He silently embodied sound reasoning and in his presence,\my children's own weakness made them lose their equilibrium\and they collapsed into pieces.\When my own children turned against me, I was lost,\and my husband silently watched it all unfold.\People who need other people to motivate them will eventually come up against a brick wall.\That was his view. response:	Unable to look at their weak selves,
context: He silently embodied sound reasoning and in his presence,\my children's own weakness made them lose their equilibrium\and they collapsed into pieces.\When my own children turned against me, I was lost,\and my husband silently watched it all unfold.\People who need other people to motivate them will eventually come up against a brick wall.\That was his view.\Unable to look at their weak selves, response:	they became caught up in enjoyments within their reach.
context: my children's own weakness made them lose their equilibrium\and they collapsed into pieces.\When my own children turned against me, I was lost,\and my husband silently watched it all unfold.\People who need other people to motivate them will eventually come up against a brick wall.\That was his view.\Unable to look at their weak selves,\they became caught up in enjoyments within their reach. response:	One day, Ayumu declared, Being able to make an effort is a talent too!
context: and they collapsed into pieces.\When my own children turned against me, I was lost,\and my husband silently watched it all unfold.\People who need other people to motivate them will eventually come up against a brick wall.\That was his view.\Unable to look at their weak selves,\they became caught up in enjoyments within their reach.\One day, Ayumu declared, Being able to make an effort is a talent too! response:	To those words, my husband just chuckled, .
context: When my own children turned against me, I was lost,\and my husband silently watched it all unfold.\People who need other people to motivate them will eventually come up against a brick wall.\That was his view.\Unable to look at their weak selves,\they became caught up in enjoyments within their reach.\One day, Ayumu declared, Being able to make an effort is a talent too!\To those words, my husband just chuckled, . response:	I think that was the moment he gave up on Ayumu becoming a professional shogi player.
context: and my husband silently watched it all unfold.\People who need other people to motivate them will eventually come up against a brick wall.\That was his view.\Unable to look at their weak selves,\they became caught up in enjoyments within their reach.\One day, Ayumu declared, Being able to make an effort is a talent too!\To those words, my husband just chuckled, .\I think that was the moment he gave up on Ayumu becoming a professional shogi player. response:	Being around that boy, they realized that people who wanted to reach a certain place
context: People who need other people to motivate them will eventually come up against a brick wall.\That was his view.\Unable to look at their weak selves,\they became caught up in enjoyments within their reach.\One day, Ayumu declared, Being able to make an effort is a talent too!\To those words, my husband just chuckled, .\I think that was the moment he gave up on Ayumu becoming a professional shogi player.\Being around that boy, they realized that people who wanted to reach a certain place response:	had to pursue it to that extent.
context: That was his view.\Unable to look at their weak selves,\they became caught up in enjoyments within their reach.\One day, Ayumu declared, Being able to make an effort is a talent too!\To those words, my husband just chuckled, .\I think that was the moment he gave up on Ayumu becoming a professional shogi player.\Being around that boy, they realized that people who wanted to reach a certain place\had to pursue it to that extent. response:	I always thought only a small handful of people can become what they want to be.
context: Unable to look at their weak selves,\they became caught up in enjoyments within their reach.\One day, Ayumu declared, Being able to make an effort is a talent too!\To those words, my husband just chuckled, .\I think that was the moment he gave up on Ayumu becoming a professional shogi player.\Being around that boy, they realized that people who wanted to reach a certain place\had to pursue it to that extent.\I always thought only a small handful of people can become what they want to be. response:	and I never thought about what you have to do to become something.
context: they became caught up in enjoyments within their reach.\One day, Ayumu declared, Being able to make an effort is a talent too!\To those words, my husband just chuckled, .\I think that was the moment he gave up on Ayumu becoming a professional shogi player.\Being around that boy, they realized that people who wanted to reach a certain place\had to pursue it to that extent.\I always thought only a small handful of people can become what they want to be.\and I never thought about what you have to do to become something. response:	And so that boy's situation was a dreary weight on my chest.
context: One day, Ayumu declared, Being able to make an effort is a talent too!\To those words, my husband just chuckled, .\I think that was the moment he gave up on Ayumu becoming a professional shogi player.\Being around that boy, they realized that people who wanted to reach a certain place\had to pursue it to that extent.\I always thought only a small handful of people can become what they want to be.\and I never thought about what you have to do to become something.\And so that boy's situation was a dreary weight on my chest. response:	And then one day, I finally came to a realization.
context: To those words, my husband just chuckled, .\I think that was the moment he gave up on Ayumu becoming a professional shogi player.\Being around that boy, they realized that people who wanted to reach a certain place\had to pursue it to that extent.\I always thought only a small handful of people can become what they want to be.\and I never thought about what you have to do to become something.\And so that boy's situation was a dreary weight on my chest.\And then one day, I finally came to a realization. response:	That my husband had a similar childhood as that boy.
context: I think that was the moment he gave up on Ayumu becoming a professional shogi player.\Being around that boy, they realized that people who wanted to reach a certain place\had to pursue it to that extent.\I always thought only a small handful of people can become what they want to be.\and I never thought about what you have to do to become something.\And so that boy's situation was a dreary weight on my chest.\And then one day, I finally came to a realization.\That my husband had a similar childhood as that boy. response:	I thought I understood, but I really didn't.
context: Being around that boy, they realized that people who wanted to reach a certain place\had to pursue it to that extent.\I always thought only a small handful of people can become what they want to be.\and I never thought about what you have to do to become something.\And so that boy's situation was a dreary weight on my chest.\And then one day, I finally came to a realization.\That my husband had a similar childhood as that boy.\I thought I understood, but I really didn't. response:	Looking past shogi, out of all the people in the house,
context: had to pursue it to that extent.\I always thought only a small handful of people can become what they want to be.\and I never thought about what you have to do to become something.\And so that boy's situation was a dreary weight on my chest.\And then one day, I finally came to a realization.\That my husband had a similar childhood as that boy.\I thought I understood, but I really didn't.\Looking past shogi, out of all the people in the house, response:	the person my husband related to the most wasn't a family member, but that boy.
context: I always thought only a small handful of people can become what they want to be.\and I never thought about what you have to do to become something.\And so that boy's situation was a dreary weight on my chest.\And then one day, I finally came to a realization.\That my husband had a similar childhood as that boy.\I thought I understood, but I really didn't.\Looking past shogi, out of all the people in the house,\the person my husband related to the most wasn't a family member, but that boy. response:	He was wholeheartedly dedicated to shogi,
context: and I never thought about what you have to do to become something.\And so that boy's situation was a dreary weight on my chest.\And then one day, I finally came to a realization.\That my husband had a similar childhood as that boy.\I thought I understood, but I really didn't.\Looking past shogi, out of all the people in the house,\the person my husband related to the most wasn't a family member, but that boy.\He was wholeheartedly dedicated to shogi, response:	silently studied and did homework,
context: And so that boy's situation was a dreary weight on my chest.\And then one day, I finally came to a realization.\That my husband had a similar childhood as that boy.\I thought I understood, but I really didn't.\Looking past shogi, out of all the people in the house,\the person my husband related to the most wasn't a family member, but that boy.\He was wholeheartedly dedicated to shogi,\silently studied and did homework, response:	and even helped out around the house.
context: And then one day, I finally came to a realization.\That my husband had a similar childhood as that boy.\I thought I understood, but I really didn't.\Looking past shogi, out of all the people in the house,\the person my husband related to the most wasn't a family member, but that boy.\He was wholeheartedly dedicated to shogi,\silently studied and did homework,\and even helped out around the house. response:	He really was a good boy.
context: That my husband had a similar childhood as that boy.\I thought I understood, but I really didn't.\Looking past shogi, out of all the people in the house,\the person my husband related to the most wasn't a family member, but that boy.\He was wholeheartedly dedicated to shogi,\silently studied and did homework,\and even helped out around the house.\He really was a good boy. response:	But that made my children suffer all the more.
context: I thought I understood, but I really didn't.\Looking past shogi, out of all the people in the house,\the person my husband related to the most wasn't a family member, but that boy.\He was wholeheartedly dedicated to shogi,\silently studied and did homework,\and even helped out around the house.\He really was a good boy.\But that made my children suffer all the more. response:	Why is he such a good boy?
context: Looking past shogi, out of all the people in the house,\the person my husband related to the most wasn't a family member, but that boy.\He was wholeheartedly dedicated to shogi,\silently studied and did homework,\and even helped out around the house.\He really was a good boy.\But that made my children suffer all the more.\Why is he such a good boy? response:	Why didn't my children turn out like that?
context: the person my husband related to the most wasn't a family member, but that boy.\He was wholeheartedly dedicated to shogi,\silently studied and did homework,\and even helped out around the house.\He really was a good boy.\But that made my children suffer all the more.\Why is he such a good boy?\Why didn't my children turn out like that? response:	What were the differences between the way his mother raised him and how I raised my kids?
context: He was wholeheartedly dedicated to shogi,\silently studied and did homework,\and even helped out around the house.\He really was a good boy.\But that made my children suffer all the more.\Why is he such a good boy?\Why didn't my children turn out like that?\What were the differences between the way his mother raised him and how I raised my kids? response:	Did I fail in raising my children?
context: silently studied and did homework,\and even helped out around the house.\He really was a good boy.\But that made my children suffer all the more.\Why is he such a good boy?\Why didn't my children turn out like that?\What were the differences between the way his mother raised him and how I raised my kids?\Did I fail in raising my children? response:	Or is he just playing the role of a good boy as best he can since he's a freeloader?
context: and even helped out around the house.\He really was a good boy.\But that made my children suffer all the more.\Why is he such a good boy?\Why didn't my children turn out like that?\What were the differences between the way his mother raised him and how I raised my kids?\Did I fail in raising my children?\Or is he just playing the role of a good boy as best he can since he's a freeloader? response:	Maybe he's laughing at us behind our backs.
context: He really was a good boy.\But that made my children suffer all the more.\Why is he such a good boy?\Why didn't my children turn out like that?\What were the differences between the way his mother raised him and how I raised my kids?\Did I fail in raising my children?\Or is he just playing the role of a good boy as best he can since he's a freeloader?\Maybe he's laughing at us behind our backs. response:	No...
context: But that made my children suffer all the more.\Why is he such a good boy?\Why didn't my children turn out like that?\What were the differences between the way his mother raised him and how I raised my kids?\Did I fail in raising my children?\Or is he just playing the role of a good boy as best he can since he's a freeloader?\Maybe he's laughing at us behind our backs.\No... response:	That's wrong.
context: Why is he such a good boy?\Why didn't my children turn out like that?\What were the differences between the way his mother raised him and how I raised my kids?\Did I fail in raising my children?\Or is he just playing the role of a good boy as best he can since he's a freeloader?\Maybe he's laughing at us behind our backs.\No...\That's wrong. response:	He was...
context: Why didn't my children turn out like that?\What were the differences between the way his mother raised him and how I raised my kids?\Did I fail in raising my children?\Or is he just playing the role of a good boy as best he can since he's a freeloader?\Maybe he's laughing at us behind our backs.\No...\That's wrong.\He was... response:	Rei really was...
context: What were the differences between the way his mother raised him and how I raised my kids?\Did I fail in raising my children?\Or is he just playing the role of a good boy as best he can since he's a freeloader?\Maybe he's laughing at us behind our backs.\No...\That's wrong.\He was...\Rei really was... response:	just a really good boy.
context: Did I fail in raising my children?\Or is he just playing the role of a good boy as best he can since he's a freeloader?\Maybe he's laughing at us behind our backs.\No...\That's wrong.\He was...\Rei really was...\just a really good boy. response:	My children understood that, and so did I.
context: Or is he just playing the role of a good boy as best he can since he's a freeloader?\Maybe he's laughing at us behind our backs.\No...\That's wrong.\He was...\Rei really was...\just a really good boy.\My children understood that, and so did I. response:	We took advantage of him.
context: Maybe he's laughing at us behind our backs.\No...\That's wrong.\He was...\Rei really was...\just a really good boy.\My children understood that, and so did I.\We took advantage of him. response:	We took advantage, pushed him away, treated him shoddily,
context: No...\That's wrong.\He was...\Rei really was...\just a really good boy.\My children understood that, and so did I.\We took advantage of him.\We took advantage, pushed him away, treated him shoddily, response:	and didn't give him a place to belong.
context: That's wrong.\He was...\Rei really was...\just a really good boy.\My children understood that, and so did I.\We took advantage of him.\We took advantage, pushed him away, treated him shoddily,\and didn't give him a place to belong. response:	And so he felt like...
context: He was...\Rei really was...\just a really good boy.\My children understood that, and so did I.\We took advantage of him.\We took advantage, pushed him away, treated him shoddily,\and didn't give him a place to belong.\And so he felt like... response:	The longer I'm around, the more strained everyone's relations will become.
context: Rei really was...\just a really good boy.\My children understood that, and so did I.\We took advantage of him.\We took advantage, pushed him away, treated him shoddily,\and didn't give him a place to belong.\And so he felt like...\The longer I'm around, the more strained everyone's relations will become. response:	But he didn't even say that.
context: just a really good boy.\My children understood that, and so did I.\We took advantage of him.\We took advantage, pushed him away, treated him shoddily,\and didn't give him a place to belong.\And so he felt like...\The longer I'm around, the more strained everyone's relations will become.\But he didn't even say that. response:	He just quietly left the house.
context: My children understood that, and so did I.\We took advantage of him.\We took advantage, pushed him away, treated him shoddily,\and didn't give him a place to belong.\And so he felt like...\The longer I'm around, the more strained everyone's relations will become.\But he didn't even say that.\He just quietly left the house. response:	When the five o'clock bell rang out, Rei got up from his chair.
context: We took advantage of him.\We took advantage, pushed him away, treated him shoddily,\and didn't give him a place to belong.\And so he felt like...\The longer I'm around, the more strained everyone's relations will become.\But he didn't even say that.\He just quietly left the house.\When the five o'clock bell rang out, Rei got up from his chair. response:	He said, Well... and skipped any other closing remarks,
context: We took advantage, pushed him away, treated him shoddily,\and didn't give him a place to belong.\And so he felt like...\The longer I'm around, the more strained everyone's relations will become.\But he didn't even say that.\He just quietly left the house.\When the five o'clock bell rang out, Rei got up from his chair.\He said, Well... and skipped any other closing remarks, response:	apart from, I'll come again.
context: and didn't give him a place to belong.\And so he felt like...\The longer I'm around, the more strained everyone's relations will become.\But he didn't even say that.\He just quietly left the house.\When the five o'clock bell rang out, Rei got up from his chair.\He said, Well... and skipped any other closing remarks,\apart from, I'll come again. response:	Yes, come again, I answered.
context: And so he felt like...\The longer I'm around, the more strained everyone's relations will become.\But he didn't even say that.\He just quietly left the house.\When the five o'clock bell rang out, Rei got up from his chair.\He said, Well... and skipped any other closing remarks,\apart from, I'll come again.\Yes, come again, I answered. response:	After all, what else could I say?
context: The longer I'm around, the more strained everyone's relations will become.\But he didn't even say that.\He just quietly left the house.\When the five o'clock bell rang out, Rei got up from his chair.\He said, Well... and skipped any other closing remarks,\apart from, I'll come again.\Yes, come again, I answered.\After all, what else could I say? response:	See you, Tarou.
context: But he didn't even say that.\He just quietly left the house.\When the five o'clock bell rang out, Rei got up from his chair.\He said, Well... and skipped any other closing remarks,\apart from, I'll come again.\Yes, come again, I answered.\After all, what else could I say?\See you, Tarou. response:	Live a long life, okay?
context: He just quietly left the house.\When the five o'clock bell rang out, Rei got up from his chair.\He said, Well... and skipped any other closing remarks,\apart from, I'll come again.\Yes, come again, I answered.\After all, what else could I say?\See you, Tarou.\Live a long life, okay? response:	Take care.
context: When the five o'clock bell rang out, Rei got up from his chair.\He said, Well... and skipped any other closing remarks,\apart from, I'll come again.\Yes, come again, I answered.\After all, what else could I say?\See you, Tarou.\Live a long life, okay?\Take care. response:	After Rei left, I started preparing dinner in the kitchen.
context: He said, Well... and skipped any other closing remarks,\apart from, I'll come again.\Yes, come again, I answered.\After all, what else could I say?\See you, Tarou.\Live a long life, okay?\Take care.\After Rei left, I started preparing dinner in the kitchen. response:	As always.
context: apart from, I'll come again.\Yes, come again, I answered.\After all, what else could I say?\See you, Tarou.\Live a long life, okay?\Take care.\After Rei left, I started preparing dinner in the kitchen.\As always. response:	Even if no one calls me, I stand here every day.
context: Yes, come again, I answered.\After all, what else could I say?\See you, Tarou.\Live a long life, okay?\Take care.\After Rei left, I started preparing dinner in the kitchen.\As always.\Even if no one calls me, I stand here every day. response:	I make dinner and wait for everyone.
context: After all, what else could I say?\See you, Tarou.\Live a long life, okay?\Take care.\After Rei left, I started preparing dinner in the kitchen.\As always.\Even if no one calls me, I stand here every day.\I make dinner and wait for everyone. response:	That night, I had a dream.
context: See you, Tarou.\Live a long life, okay?\Take care.\After Rei left, I started preparing dinner in the kitchen.\As always.\Even if no one calls me, I stand here every day.\I make dinner and wait for everyone.\That night, I had a dream. response:	In the dream, Rei was really my son.
context: Live a long life, okay?\Take care.\After Rei left, I started preparing dinner in the kitchen.\As always.\Even if no one calls me, I stand here every day.\I make dinner and wait for everyone.\That night, I had a dream.\In the dream, Rei was really my son. response:	Now that he was my son,
