context: Once upon a time, there was a handsome slave. response:	What bound him were not heavy chains, but the princess's love.
context: Let go of me. I can walk by myself.\No...\That's right, princess Tutu helped me, and...\Binding my wounds? What an unnecessary...\Hey...\Oh, Fakir, how are your injuries?\Don't give me that. Why are you still Tutu?\What? Oh... response:	I thought maybe it'd be bad if I went into the boys' dorm looking like my usual self.
context: No...\That's right, princess Tutu helped me, and...\Binding my wounds? What an unnecessary...\Hey...\Oh, Fakir, how are your injuries?\Don't give me that. Why are you still Tutu?\What? Oh...\I thought maybe it'd be bad if I went into the boys' dorm looking like my usual self. response:	Was that weird somehow?
context: That's right, princess Tutu helped me, and...\Binding my wounds? What an unnecessary...\Hey...\Oh, Fakir, how are your injuries?\Don't give me that. Why are you still Tutu?\What? Oh...\I thought maybe it'd be bad if I went into the boys' dorm looking like my usual self.\Was that weird somehow? response:	No...
context: Binding my wounds? What an unnecessary...\Hey...\Oh, Fakir, how are your injuries?\Don't give me that. Why are you still Tutu?\What? Oh...\I thought maybe it'd be bad if I went into the boys' dorm looking like my usual self.\Was that weird somehow?\No... response:	Sorry for having troubled you.
context: Hey...\Oh, Fakir, how are your injuries?\Don't give me that. Why are you still Tutu?\What? Oh...\I thought maybe it'd be bad if I went into the boys' dorm looking like my usual self.\Was that weird somehow?\No...\Sorry for having troubled you. response:	That's nothing at all.
context: Oh, Fakir, how are your injuries?\Don't give me that. Why are you still Tutu?\What? Oh...\I thought maybe it'd be bad if I went into the boys' dorm looking like my usual self.\Was that weird somehow?\No...\Sorry for having troubled you.\That's nothing at all. response:	Oh, are you okay? Can you get up?
context: Don't give me that. Why are you still Tutu?\What? Oh...\I thought maybe it'd be bad if I went into the boys' dorm looking like my usual self.\Was that weird somehow?\No...\Sorry for having troubled you.\That's nothing at all.\Oh, are you okay? Can you get up? response:	However, that doesn't mean that I'm going to cooperate with you.
context: What? Oh...\I thought maybe it'd be bad if I went into the boys' dorm looking like my usual self.\Was that weird somehow?\No...\Sorry for having troubled you.\That's nothing at all.\Oh, are you okay? Can you get up?\However, that doesn't mean that I'm going to cooperate with you. response:	But you're going to go looking for Mytho, right?
context: I thought maybe it'd be bad if I went into the boys' dorm looking like my usual self.\Was that weird somehow?\No...\Sorry for having troubled you.\That's nothing at all.\Oh, are you okay? Can you get up?\However, that doesn't mean that I'm going to cooperate with you.\But you're going to go looking for Mytho, right? response:	We could at least cooperate on that, couldn't we?
context: Was that weird somehow?\No...\Sorry for having troubled you.\That's nothing at all.\Oh, are you okay? Can you get up?\However, that doesn't mean that I'm going to cooperate with you.\But you're going to go looking for Mytho, right?\We could at least cooperate on that, couldn't we? response:	Let's look for Mytho together.
context: No...\Sorry for having troubled you.\That's nothing at all.\Oh, are you okay? Can you get up?\However, that doesn't mean that I'm going to cooperate with you.\But you're going to go looking for Mytho, right?\We could at least cooperate on that, couldn't we?\Let's look for Mytho together. response:	Banquet of Darkness
context: Sorry for having troubled you.\That's nothing at all.\Oh, are you okay? Can you get up?\However, that doesn't mean that I'm going to cooperate with you.\But you're going to go looking for Mytho, right?\We could at least cooperate on that, couldn't we?\Let's look for Mytho together.\Banquet of Darkness response:	You can forget about everything.
context: That's nothing at all.\Oh, are you okay? Can you get up?\However, that doesn't mean that I'm going to cooperate with you.\But you're going to go looking for Mytho, right?\We could at least cooperate on that, couldn't we?\Let's look for Mytho together.\Banquet of Darkness\You can forget about everything. response:	And you can just fill every void you have with me.
context: Oh, are you okay? Can you get up?\However, that doesn't mean that I'm going to cooperate with you.\But you're going to go looking for Mytho, right?\We could at least cooperate on that, couldn't we?\Let's look for Mytho together.\Banquet of Darkness\You can forget about everything.\And you can just fill every void you have with me. response:	No one will come here. It will be just you and me.
context: However, that doesn't mean that I'm going to cooperate with you.\But you're going to go looking for Mytho, right?\We could at least cooperate on that, couldn't we?\Let's look for Mytho together.\Banquet of Darkness\You can forget about everything.\And you can just fill every void you have with me.\No one will come here. It will be just you and me. response:	So all you have to do is love only me.
context: But you're going to go looking for Mytho, right?\We could at least cooperate on that, couldn't we?\Let's look for Mytho together.\Banquet of Darkness\You can forget about everything.\And you can just fill every void you have with me.\No one will come here. It will be just you and me.\So all you have to do is love only me. response:	Tell me that you love only me.
context: We could at least cooperate on that, couldn't we?\Let's look for Mytho together.\Banquet of Darkness\You can forget about everything.\And you can just fill every void you have with me.\No one will come here. It will be just you and me.\So all you have to do is love only me.\Tell me that you love only me. response:	I love only you, Kraehe.
context: Let's look for Mytho together.\Banquet of Darkness\You can forget about everything.\And you can just fill every void you have with me.\No one will come here. It will be just you and me.\So all you have to do is love only me.\Tell me that you love only me.\I love only you, Kraehe. response:	Really?
context: Banquet of Darkness\You can forget about everything.\And you can just fill every void you have with me.\No one will come here. It will be just you and me.\So all you have to do is love only me.\Tell me that you love only me.\I love only you, Kraehe.\Really? response:	Really...
context: You can forget about everything.\And you can just fill every void you have with me.\No one will come here. It will be just you and me.\So all you have to do is love only me.\Tell me that you love only me.\I love only you, Kraehe.\Really?\Really... response:	It can't be...
context: And you can just fill every void you have with me.\No one will come here. It will be just you and me.\So all you have to do is love only me.\Tell me that you love only me.\I love only you, Kraehe.\Really?\Really...\It can't be... response:	How much?
context: No one will come here. It will be just you and me.\So all you have to do is love only me.\Tell me that you love only me.\I love only you, Kraehe.\Really?\Really...\It can't be...\How much? response:	If you love me, smile for me.
context: So all you have to do is love only me.\Tell me that you love only me.\I love only you, Kraehe.\Really?\Really...\It can't be...\How much?\If you love me, smile for me. response:	Just like you did on the night of the Fire Festival.
context: Tell me that you love only me.\I love only you, Kraehe.\Really?\Really...\It can't be...\How much?\If you love me, smile for me.\Just like you did on the night of the Fire Festival. response:	How?
context: I love only you, Kraehe.\Really?\Really...\It can't be...\How much?\If you love me, smile for me.\Just like you did on the night of the Fire Festival.\How? response:	Have you gone back to being the doll you used to be?
context: Really?\Really...\It can't be...\How much?\If you love me, smile for me.\Just like you did on the night of the Fire Festival.\How?\Have you gone back to being the doll you used to be? response:	Because I yanked out that piece of your heart...
context: Really...\It can't be...\How much?\If you love me, smile for me.\Just like you did on the night of the Fire Festival.\How?\Have you gone back to being the doll you used to be?\Because I yanked out that piece of your heart... response:	So, you've also shut away all your other emotions because of that?
context: It can't be...\How much?\If you love me, smile for me.\Just like you did on the night of the Fire Festival.\How?\Have you gone back to being the doll you used to be?\Because I yanked out that piece of your heart...\So, you've also shut away all your other emotions because of that? response:	If that's true, then that's fine.
context: How much?\If you love me, smile for me.\Just like you did on the night of the Fire Festival.\How?\Have you gone back to being the doll you used to be?\Because I yanked out that piece of your heart...\So, you've also shut away all your other emotions because of that?\If that's true, then that's fine. response:	If you're going to love someone else, better not to love anyone.
context: If you love me, smile for me.\Just like you did on the night of the Fire Festival.\How?\Have you gone back to being the doll you used to be?\Because I yanked out that piece of your heart...\So, you've also shut away all your other emotions because of that?\If that's true, then that's fine.\If you're going to love someone else, better not to love anyone. response:	It's your fault, you know.
context: Just like you did on the night of the Fire Festival.\How?\Have you gone back to being the doll you used to be?\Because I yanked out that piece of your heart...\So, you've also shut away all your other emotions because of that?\If that's true, then that's fine.\If you're going to love someone else, better not to love anyone.\It's your fault, you know. response:	It's because you wouldn't look at me when I love you so much!
context: How?\Have you gone back to being the doll you used to be?\Because I yanked out that piece of your heart...\So, you've also shut away all your other emotions because of that?\If that's true, then that's fine.\If you're going to love someone else, better not to love anyone.\It's your fault, you know.\It's because you wouldn't look at me when I love you so much! response:	No, you're not the one to blame, are you?
context: Have you gone back to being the doll you used to be?\Because I yanked out that piece of your heart...\So, you've also shut away all your other emotions because of that?\If that's true, then that's fine.\If you're going to love someone else, better not to love anyone.\It's your fault, you know.\It's because you wouldn't look at me when I love you so much!\No, you're not the one to blame, are you? response:	Yes, if you hadn't begun to regain your heart, everything would have gone well.
context: Because I yanked out that piece of your heart...\So, you've also shut away all your other emotions because of that?\If that's true, then that's fine.\If you're going to love someone else, better not to love anyone.\It's your fault, you know.\It's because you wouldn't look at me when I love you so much!\No, you're not the one to blame, are you?\Yes, if you hadn't begun to regain your heart, everything would have gone well. response:	And I wouldn't have had to remember that I was a crow.
context: So, you've also shut away all your other emotions because of that?\If that's true, then that's fine.\If you're going to love someone else, better not to love anyone.\It's your fault, you know.\It's because you wouldn't look at me when I love you so much!\No, you're not the one to blame, are you?\Yes, if you hadn't begun to regain your heart, everything would have gone well.\And I wouldn't have had to remember that I was a crow. response:	It's all that nuisance's fault.
context: If that's true, then that's fine.\If you're going to love someone else, better not to love anyone.\It's your fault, you know.\It's because you wouldn't look at me when I love you so much!\No, you're not the one to blame, are you?\Yes, if you hadn't begun to regain your heart, everything would have gone well.\And I wouldn't have had to remember that I was a crow.\It's all that nuisance's fault. response:	Because she IS a nuisance.
context: If you're going to love someone else, better not to love anyone.\It's your fault, you know.\It's because you wouldn't look at me when I love you so much!\No, you're not the one to blame, are you?\Yes, if you hadn't begun to regain your heart, everything would have gone well.\And I wouldn't have had to remember that I was a crow.\It's all that nuisance's fault.\Because she IS a nuisance. response:	If I am to have her leave, the sooner the better.
context: It's your fault, you know.\It's because you wouldn't look at me when I love you so much!\No, you're not the one to blame, are you?\Yes, if you hadn't begun to regain your heart, everything would have gone well.\And I wouldn't have had to remember that I was a crow.\It's all that nuisance's fault.\Because she IS a nuisance.\If I am to have her leave, the sooner the better. response:	A single prince has no need of two princesses.
context: It's because you wouldn't look at me when I love you so much!\No, you're not the one to blame, are you?\Yes, if you hadn't begun to regain your heart, everything would have gone well.\And I wouldn't have had to remember that I was a crow.\It's all that nuisance's fault.\Because she IS a nuisance.\If I am to have her leave, the sooner the better.\A single prince has no need of two princesses. response:	Isn't that right,
context: No, you're not the one to blame, are you?\Yes, if you hadn't begun to regain your heart, everything would have gone well.\And I wouldn't have had to remember that I was a crow.\It's all that nuisance's fault.\Because she IS a nuisance.\If I am to have her leave, the sooner the better.\A single prince has no need of two princesses.\Isn't that right, response:	Herr Drosselmeyer?
context: Yes, if you hadn't begun to regain your heart, everything would have gone well.\And I wouldn't have had to remember that I was a crow.\It's all that nuisance's fault.\Because she IS a nuisance.\If I am to have her leave, the sooner the better.\A single prince has no need of two princesses.\Isn't that right,\Herr Drosselmeyer? response:	What?! Impossible! Did she just call my name?
context: And I wouldn't have had to remember that I was a crow.\It's all that nuisance's fault.\Because she IS a nuisance.\If I am to have her leave, the sooner the better.\A single prince has no need of two princesses.\Isn't that right,\Herr Drosselmeyer?\What?! Impossible! Did she just call my name? response:	You're watching from somewhere, aren't you?
context: It's all that nuisance's fault.\Because she IS a nuisance.\If I am to have her leave, the sooner the better.\A single prince has no need of two princesses.\Isn't that right,\Herr Drosselmeyer?\What?! Impossible! Did she just call my name?\You're watching from somewhere, aren't you? response:	Oh-ho!
context: Because she IS a nuisance.\If I am to have her leave, the sooner the better.\A single prince has no need of two princesses.\Isn't that right,\Herr Drosselmeyer?\What?! Impossible! Did she just call my name?\You're watching from somewhere, aren't you?\Oh-ho! response:	You are quite formidable to call on me.
context: If I am to have her leave, the sooner the better.\A single prince has no need of two princesses.\Isn't that right,\Herr Drosselmeyer?\What?! Impossible! Did she just call my name?\You're watching from somewhere, aren't you?\Oh-ho!\You are quite formidable to call on me. response:	I'll tell you the best story ever.
context: A single prince has no need of two princesses.\Isn't that right,\Herr Drosselmeyer?\What?! Impossible! Did she just call my name?\You're watching from somewhere, aren't you?\Oh-ho!\You are quite formidable to call on me.\I'll tell you the best story ever. response:	What?! Really?!
context: Isn't that right,\Herr Drosselmeyer?\What?! Impossible! Did she just call my name?\You're watching from somewhere, aren't you?\Oh-ho!\You are quite formidable to call on me.\I'll tell you the best story ever.\What?! Really?! response:	The best story ever must have the best ending ever.
context: Herr Drosselmeyer?\What?! Impossible! Did she just call my name?\You're watching from somewhere, aren't you?\Oh-ho!\You are quite formidable to call on me.\I'll tell you the best story ever.\What?! Really?!\The best story ever must have the best ending ever. response:	And for that, a worthy stage is needed.
context: What?! Impossible! Did she just call my name?\You're watching from somewhere, aren't you?\Oh-ho!\You are quite formidable to call on me.\I'll tell you the best story ever.\What?! Really?!\The best story ever must have the best ending ever.\And for that, a worthy stage is needed. response:	Yeah, you're right.
context: You're watching from somewhere, aren't you?\Oh-ho!\You are quite formidable to call on me.\I'll tell you the best story ever.\What?! Really?!\The best story ever must have the best ending ever.\And for that, a worthy stage is needed.\Yeah, you're right. response:	In that case, I've got a stage I've been saving for just such an occasion.
context: Oh-ho!\You are quite formidable to call on me.\I'll tell you the best story ever.\What?! Really?!\The best story ever must have the best ending ever.\And for that, a worthy stage is needed.\Yeah, you're right.\In that case, I've got a stage I've been saving for just such an occasion. response:	A lake that no one has visited in 200 years...
context: You are quite formidable to call on me.\I'll tell you the best story ever.\What?! Really?!\The best story ever must have the best ending ever.\And for that, a worthy stage is needed.\Yeah, you're right.\In that case, I've got a stage I've been saving for just such an occasion.\A lake that no one has visited in 200 years... response:	I shall show you the way there.
context: I'll tell you the best story ever.\What?! Really?!\The best story ever must have the best ending ever.\And for that, a worthy stage is needed.\Yeah, you're right.\In that case, I've got a stage I've been saving for just such an occasion.\A lake that no one has visited in 200 years...\I shall show you the way there. response:	Mytho!
context: What?! Really?!\The best story ever must have the best ending ever.\And for that, a worthy stage is needed.\Yeah, you're right.\In that case, I've got a stage I've been saving for just such an occasion.\A lake that no one has visited in 200 years...\I shall show you the way there.\Mytho! response:	He's not here either.
context: The best story ever must have the best ending ever.\And for that, a worthy stage is needed.\Yeah, you're right.\In that case, I've got a stage I've been saving for just such an occasion.\A lake that no one has visited in 200 years...\I shall show you the way there.\Mytho!\He's not here either. response:	He's not around.
context: And for that, a worthy stage is needed.\Yeah, you're right.\In that case, I've got a stage I've been saving for just such an occasion.\A lake that no one has visited in 200 years...\I shall show you the way there.\Mytho!\He's not here either.\He's not around. response:	Of course, he is.
context: Yeah, you're right.\In that case, I've got a stage I've been saving for just such an occasion.\A lake that no one has visited in 200 years...\I shall show you the way there.\Mytho!\He's not here either.\He's not around.\Of course, he is. response:	It's just that we haven't been able to find him.
context: In that case, I've got a stage I've been saving for just such an occasion.\A lake that no one has visited in 200 years...\I shall show you the way there.\Mytho!\He's not here either.\He's not around.\Of course, he is.\It's just that we haven't been able to find him. response:	Right...
context: A lake that no one has visited in 200 years...\I shall show you the way there.\Mytho!\He's not here either.\He's not around.\Of course, he is.\It's just that we haven't been able to find him.\Right... response:	Oh!
context: I shall show you the way there.\Mytho!\He's not here either.\He's not around.\Of course, he is.\It's just that we haven't been able to find him.\Right...\Oh! response:	What about the lesson room?
context: Mytho!\He's not here either.\He's not around.\Of course, he is.\It's just that we haven't been able to find him.\Right...\Oh!\What about the lesson room? response:	Huh?
context: He's not here either.\He's not around.\Of course, he is.\It's just that we haven't been able to find him.\Right...\Oh!\What about the lesson room?\Huh? response:	He might be dancing in the lesson room about now.
context: He's not around.\Of course, he is.\It's just that we haven't been able to find him.\Right...\Oh!\What about the lesson room?\Huh?\He might be dancing in the lesson room about now. response:	Why would he be?
context: Of course, he is.\It's just that we haven't been able to find him.\Right...\Oh!\What about the lesson room?\Huh?\He might be dancing in the lesson room about now.\Why would he be? response:	What? Because Mytho loves to dance...
context: It's just that we haven't been able to find him.\Right...\Oh!\What about the lesson room?\Huh?\He might be dancing in the lesson room about now.\Why would he be?\What? Because Mytho loves to dance... response:	There's no way he'll be there.
context: Right...\Oh!\What about the lesson room?\Huh?\He might be dancing in the lesson room about now.\Why would he be?\What? Because Mytho loves to dance...\There's no way he'll be there. response:	But, but, the last time he got taken away, he was back before we knew it, right?
context: Oh!\What about the lesson room?\Huh?\He might be dancing in the lesson room about now.\Why would he be?\What? Because Mytho loves to dance...\There's no way he'll be there.\But, but, the last time he got taken away, he was back before we knew it, right? response:	So I thought it might be the same again this time...
context: What about the lesson room?\Huh?\He might be dancing in the lesson room about now.\Why would he be?\What? Because Mytho loves to dance...\There's no way he'll be there.\But, but, the last time he got taken away, he was back before we knew it, right?\So I thought it might be the same again this time... response:	Besides, there's nowhere else I can think of.
context: Huh?\He might be dancing in the lesson room about now.\Why would he be?\What? Because Mytho loves to dance...\There's no way he'll be there.\But, but, the last time he got taken away, he was back before we knew it, right?\So I thought it might be the same again this time...\Besides, there's nowhere else I can think of. response:	I guess we can go check it out, since we have nothing to lose.
context: He might be dancing in the lesson room about now.\Why would he be?\What? Because Mytho loves to dance...\There's no way he'll be there.\But, but, the last time he got taken away, he was back before we knew it, right?\So I thought it might be the same again this time...\Besides, there's nowhere else I can think of.\I guess we can go check it out, since we have nothing to lose. response:	What? Oh, wait for me!
context: Why would he be?\What? Because Mytho loves to dance...\There's no way he'll be there.\But, but, the last time he got taken away, he was back before we knew it, right?\So I thought it might be the same again this time...\Besides, there's nowhere else I can think of.\I guess we can go check it out, since we have nothing to lose.\What? Oh, wait for me! response:	The school sure is quiet on Sundays, isn't it?
context: What? Because Mytho loves to dance...\There's no way he'll be there.\But, but, the last time he got taken away, he was back before we knew it, right?\So I thought it might be the same again this time...\Besides, there's nowhere else I can think of.\I guess we can go check it out, since we have nothing to lose.\What? Oh, wait for me!\The school sure is quiet on Sundays, isn't it? response:	I guess.
context: There's no way he'll be there.\But, but, the last time he got taken away, he was back before we knew it, right?\So I thought it might be the same again this time...\Besides, there's nowhere else I can think of.\I guess we can go check it out, since we have nothing to lose.\What? Oh, wait for me!\The school sure is quiet on Sundays, isn't it?\I guess. response:	Maybe it's Mytho!
context: But, but, the last time he got taken away, he was back before we knew it, right?\So I thought it might be the same again this time...\Besides, there's nowhere else I can think of.\I guess we can go check it out, since we have nothing to lose.\What? Oh, wait for me!\The school sure is quiet on Sundays, isn't it?\I guess.\Maybe it's Mytho! response:	Oh!
context: So I thought it might be the same again this time...\Besides, there's nowhere else I can think of.\I guess we can go check it out, since we have nothing to lose.\What? Oh, wait for me!\The school sure is quiet on Sundays, isn't it?\I guess.\Maybe it's Mytho!\Oh! response:	Meow?!
context: Besides, there's nowhere else I can think of.\I guess we can go check it out, since we have nothing to lose.\What? Oh, wait for me!\The school sure is quiet on Sundays, isn't it?\I guess.\Maybe it's Mytho!\Oh!\Meow?! response:	Hey...
context: I guess we can go check it out, since we have nothing to lose.\What? Oh, wait for me!\The school sure is quiet on Sundays, isn't it?\I guess.\Maybe it's Mytho!\Oh!\Meow?!\Hey... response:	Huh?
context: What? Oh, wait for me!\The school sure is quiet on Sundays, isn't it?\I guess.\Maybe it's Mytho!\Oh!\Meow?!\Hey...\Huh? response:	Huh?
context: The school sure is quiet on Sundays, isn't it?\I guess.\Maybe it's Mytho!\Oh!\Meow?!\Hey...\Huh?\Huh? response:	He can see you.
context: I guess.\Maybe it's Mytho!\Oh!\Meow?!\Hey...\Huh?\Huh?\He can see you. response:	What? Where? What? What?
context: Maybe it's Mytho!\Oh!\Meow?!\Hey...\Huh?\Huh?\He can see you.\What? Where? What? What? response:	Huh?
context: Oh!\Meow?!\Hey...\Huh?\Huh?\He can see you.\What? Where? What? What?\Huh? response:	Who dares to disturb my Sunday practice?!
context: Meow?!\Hey...\Huh?\Huh?\He can see you.\What? Where? What? What?\Huh?\Who dares to disturb my Sunday practice?! response:	Ahiru-san, as punishment for disturbing my tireless effort,
context: Hey...\Huh?\Huh?\He can see you.\What? Where? What? What?\Huh?\Who dares to disturb my Sunday practice?!\Ahiru-san, as punishment for disturbing my tireless effort, response:	I will have you marry me right away!
context: Huh?\Huh?\He can see you.\What? Where? What? What?\Huh?\Who dares to disturb my Sunday practice?!\Ahiru-san, as punishment for disturbing my tireless effort,\I will have you marry me right away! response:	I'm so sorry!
context: Huh?\He can see you.\What? Where? What? What?\Huh?\Who dares to disturb my Sunday practice?!\Ahiru-san, as punishment for disturbing my tireless effort,\I will have you marry me right away!\I'm so sorry! response:	What are you doing?
context: He can see you.\What? Where? What? What?\Huh?\Who dares to disturb my Sunday practice?!\Ahiru-san, as punishment for disturbing my tireless effort,\I will have you marry me right away!\I'm so sorry!\What are you doing? response:	But...
context: What? Where? What? What?\Huh?\Who dares to disturb my Sunday practice?!\Ahiru-san, as punishment for disturbing my tireless effort,\I will have you marry me right away!\I'm so sorry!\What are you doing?\But... response:	Hey, there.
context: Huh?\Who dares to disturb my Sunday practice?!\Ahiru-san, as punishment for disturbing my tireless effort,\I will have you marry me right away!\I'm so sorry!\What are you doing?\But...\Hey, there. response:	Mytho!
context: Who dares to disturb my Sunday practice?!\Ahiru-san, as punishment for disturbing my tireless effort,\I will have you marry me right away!\I'm so sorry!\What are you doing?\But...\Hey, there.\Mytho! response:	He's okay! Thank goodness!
context: Ahiru-san, as punishment for disturbing my tireless effort,\I will have you marry me right away!\I'm so sorry!\What are you doing?\But...\Hey, there.\Mytho!\He's okay! Thank goodness! response:	Wait!
context: I will have you marry me right away!\I'm so sorry!\What are you doing?\But...\Hey, there.\Mytho!\He's okay! Thank goodness!\Wait! response:	Do you know the story of the Prince and the Raven?
context: I'm so sorry!\What are you doing?\But...\Hey, there.\Mytho!\He's okay! Thank goodness!\Wait!\Do you know the story of the Prince and the Raven? response:	It's a story where a brave prince fights a raven.
context: What are you doing?\But...\Hey, there.\Mytho!\He's okay! Thank goodness!\Wait!\Do you know the story of the Prince and the Raven?\It's a story where a brave prince fights a raven. response:	There was a knight that the prince trusted.
context: But...\Hey, there.\Mytho!\He's okay! Thank goodness!\Wait!\Do you know the story of the Prince and the Raven?\It's a story where a brave prince fights a raven.\There was a knight that the prince trusted. response:	But that knight was torn in two by the raven's claws without his sword ever even touching the raven.
context: Hey, there.\Mytho!\He's okay! Thank goodness!\Wait!\Do you know the story of the Prince and the Raven?\It's a story where a brave prince fights a raven.\There was a knight that the prince trusted.\But that knight was torn in two by the raven's claws without his sword ever even touching the raven. response:	A useless good-for-nothing, who could only talk of protecting the prince!
context: Mytho!\He's okay! Thank goodness!\Wait!\Do you know the story of the Prince and the Raven?\It's a story where a brave prince fights a raven.\There was a knight that the prince trusted.\But that knight was torn in two by the raven's claws without his sword ever even touching the raven.\A useless good-for-nothing, who could only talk of protecting the prince! response:	That's why the prince suffered great hardships.
context: He's okay! Thank goodness!\Wait!\Do you know the story of the Prince and the Raven?\It's a story where a brave prince fights a raven.\There was a knight that the prince trusted.\But that knight was torn in two by the raven's claws without his sword ever even touching the raven.\A useless good-for-nothing, who could only talk of protecting the prince!\That's why the prince suffered great hardships. response:	The raven leapt out of the story and he had no choice but to pursue it alone and seal it away alone,
context: Wait!\Do you know the story of the Prince and the Raven?\It's a story where a brave prince fights a raven.\There was a knight that the prince trusted.\But that knight was torn in two by the raven's claws without his sword ever even touching the raven.\A useless good-for-nothing, who could only talk of protecting the prince!\That's why the prince suffered great hardships.\The raven leapt out of the story and he had no choice but to pursue it alone and seal it away alone, response:	by using a forbidden power of his own will.
context: Do you know the story of the Prince and the Raven?\It's a story where a brave prince fights a raven.\There was a knight that the prince trusted.\But that knight was torn in two by the raven's claws without his sword ever even touching the raven.\A useless good-for-nothing, who could only talk of protecting the prince!\That's why the prince suffered great hardships.\The raven leapt out of the story and he had no choice but to pursue it alone and seal it away alone,\by using a forbidden power of his own will. response:	That's right.
context: It's a story where a brave prince fights a raven.\There was a knight that the prince trusted.\But that knight was torn in two by the raven's claws without his sword ever even touching the raven.\A useless good-for-nothing, who could only talk of protecting the prince!\That's why the prince suffered great hardships.\The raven leapt out of the story and he had no choice but to pursue it alone and seal it away alone,\by using a forbidden power of his own will.\That's right. response:	The prince took his very own heart...
context: There was a knight that the prince trusted.\But that knight was torn in two by the raven's claws without his sword ever even touching the raven.\A useless good-for-nothing, who could only talk of protecting the prince!\That's why the prince suffered great hardships.\The raven leapt out of the story and he had no choice but to pursue it alone and seal it away alone,\by using a forbidden power of his own will.\That's right.\The prince took his very own heart... response:	Out of his body!
context: But that knight was torn in two by the raven's claws without his sword ever even touching the raven.\A useless good-for-nothing, who could only talk of protecting the prince!\That's why the prince suffered great hardships.\The raven leapt out of the story and he had no choice but to pursue it alone and seal it away alone,\by using a forbidden power of his own will.\That's right.\The prince took his very own heart...\Out of his body! response:	What?
context: A useless good-for-nothing, who could only talk of protecting the prince!\That's why the prince suffered great hardships.\The raven leapt out of the story and he had no choice but to pursue it alone and seal it away alone,\by using a forbidden power of his own will.\That's right.\The prince took his very own heart...\Out of his body!\What? response:	It can't be!
context: That's why the prince suffered great hardships.\The raven leapt out of the story and he had no choice but to pursue it alone and seal it away alone,\by using a forbidden power of his own will.\That's right.\The prince took his very own heart...\Out of his body!\What?\It can't be! response:	He took out his heart himself?
context: The raven leapt out of the story and he had no choice but to pursue it alone and seal it away alone,\by using a forbidden power of his own will.\That's right.\The prince took his very own heart...\Out of his body!\What?\It can't be!\He took out his heart himself? response:	It's true.
context: by using a forbidden power of his own will.\That's right.\The prince took his very own heart...\Out of his body!\What?\It can't be!\He took out his heart himself?\It's true. response:	Rue-chan!
context: That's right.\The prince took his very own heart...\Out of his body!\What?\It can't be!\He took out his heart himself?\It's true.\Rue-chan! response:	You don't know anything, do you, Ahiru?
