context: It's no good, I can't get close. response:	Show it your perseverance.
context: You have too little power.\What was that brat?\That was too bad, Sakura-chan.\Yeah, there is no helping it.\She is hiding her distress inside.\Umm'\Nothing good at all happened today.\Kero-chan, I wonder if it really is impossible for me. response:	Kero-chan,
context: What was that brat?\That was too bad, Sakura-chan.\Yeah, there is no helping it.\She is hiding her distress inside.\Umm'\Nothing good at all happened today.\Kero-chan, I wonder if it really is impossible for me.\Kero-chan, response:	are you listening?
context: That was too bad, Sakura-chan.\Yeah, there is no helping it.\She is hiding her distress inside.\Umm'\Nothing good at all happened today.\Kero-chan, I wonder if it really is impossible for me.\Kero-chan,\are you listening? response:	Hey, Kero-chan.
context: Yeah, there is no helping it.\She is hiding her distress inside.\Umm'\Nothing good at all happened today.\Kero-chan, I wonder if it really is impossible for me.\Kero-chan,\are you listening?\Hey, Kero-chan. response:	Kero-chan!
context: She is hiding her distress inside.\Umm'\Nothing good at all happened today.\Kero-chan, I wonder if it really is impossible for me.\Kero-chan,\are you listening?\Hey, Kero-chan.\Kero-chan! response:	Why are you screaming,
context: Umm'\Nothing good at all happened today.\Kero-chan, I wonder if it really is impossible for me.\Kero-chan,\are you listening?\Hey, Kero-chan.\Kero-chan!\Why are you screaming, response:	after I was thinking of a way to win against that brat.
context: Nothing good at all happened today.\Kero-chan, I wonder if it really is impossible for me.\Kero-chan,\are you listening?\Hey, Kero-chan.\Kero-chan!\Why are you screaming,\after I was thinking of a way to win against that brat. response:	Eh? That is what you were doing?
context: Kero-chan, I wonder if it really is impossible for me.\Kero-chan,\are you listening?\Hey, Kero-chan.\Kero-chan!\Why are you screaming,\after I was thinking of a way to win against that brat.\Eh? That is what you were doing? response:	Sorry.
context: Kero-chan,\are you listening?\Hey, Kero-chan.\Kero-chan!\Why are you screaming,\after I was thinking of a way to win against that brat.\Eh? That is what you were doing?\Sorry. response:	So, that way is?
context: are you listening?\Hey, Kero-chan.\Kero-chan!\Why are you screaming,\after I was thinking of a way to win against that brat.\Eh? That is what you were doing?\Sorry.\So, that way is? response:	Way?
context: Hey, Kero-chan.\Kero-chan!\Why are you screaming,\after I was thinking of a way to win against that brat.\Eh? That is what you were doing?\Sorry.\So, that way is?\Way? response:	I forgot it.
context: Kero-chan!\Why are you screaming,\after I was thinking of a way to win against that brat.\Eh? That is what you were doing?\Sorry.\So, that way is?\Way?\I forgot it. response:	Geeze, and I was expecting something.
context: Why are you screaming,\after I was thinking of a way to win against that brat.\Eh? That is what you were doing?\Sorry.\So, that way is?\Way?\I forgot it.\Geeze, and I was expecting something. response:	I really had thought of something,
context: after I was thinking of a way to win against that brat.\Eh? That is what you were doing?\Sorry.\So, that way is?\Way?\I forgot it.\Geeze, and I was expecting something.\I really had thought of something, response:	but your idiotic voice made me forget it.
context: Eh? That is what you were doing?\Sorry.\So, that way is?\Way?\I forgot it.\Geeze, and I was expecting something.\I really had thought of something,\but your idiotic voice made me forget it. response:	I didn't have any idiotic voice.
context: Sorry.\So, that way is?\Way?\I forgot it.\Geeze, and I was expecting something.\I really had thought of something,\but your idiotic voice made me forget it.\I didn't have any idiotic voice. response:	No, you did.
context: So, that way is?\Way?\I forgot it.\Geeze, and I was expecting something.\I really had thought of something,\but your idiotic voice made me forget it.\I didn't have any idiotic voice.\No, you did. response:	You're wrong.
context: Way?\I forgot it.\Geeze, and I was expecting something.\I really had thought of something,\but your idiotic voice made me forget it.\I didn't have any idiotic voice.\No, you did.\You're wrong. response:	You did!
context: I forgot it.\Geeze, and I was expecting something.\I really had thought of something,\but your idiotic voice made me forget it.\I didn't have any idiotic voice.\No, you did.\You're wrong.\You did! response:	Huh!
context: Geeze, and I was expecting something.\I really had thought of something,\but your idiotic voice made me forget it.\I didn't have any idiotic voice.\No, you did.\You're wrong.\You did!\Huh! response:	I need a place
context: I really had thought of something,\but your idiotic voice made me forget it.\I didn't have any idiotic voice.\No, you did.\You're wrong.\You did!\Huh!\I need a place response:	where I can relax and think
context: but your idiotic voice made me forget it.\I didn't have any idiotic voice.\No, you did.\You're wrong.\You did!\Huh!\I need a place\where I can relax and think response:	without being interrupted by Sakura.
context: I didn't have any idiotic voice.\No, you did.\You're wrong.\You did!\Huh!\I need a place\where I can relax and think\without being interrupted by Sakura. response:	I didn't interrupt.
context: No, you did.\You're wrong.\You did!\Huh!\I need a place\where I can relax and think\without being interrupted by Sakura.\I didn't interrupt. response:	You did!
context: You're wrong.\You did!\Huh!\I need a place\where I can relax and think\without being interrupted by Sakura.\I didn't interrupt.\You did! response:	I didn't.
context: You did!\Huh!\I need a place\where I can relax and think\without being interrupted by Sakura.\I didn't interrupt.\You did!\I didn't. response:	If I said you did, you did.
context: Huh!\I need a place\where I can relax and think\without being interrupted by Sakura.\I didn't interrupt.\You did!\I didn't.\If I said you did, you did. response:	I didn't.
context: I need a place\where I can relax and think\without being interrupted by Sakura.\I didn't interrupt.\You did!\I didn't.\If I said you did, you did.\I didn't. response:	I don't care any more.
context: where I can relax and think\without being interrupted by Sakura.\I didn't interrupt.\You did!\I didn't.\If I said you did, you did.\I didn't.\I don't care any more. response:	Good night.
context: without being interrupted by Sakura.\I didn't interrupt.\You did!\I didn't.\If I said you did, you did.\I didn't.\I don't care any more.\Good night. response:	Huh!
context: I didn't interrupt.\You did!\I didn't.\If I said you did, you did.\I didn't.\I don't care any more.\Good night.\Huh! response:	Just when I was about to have a good idea.
context: You did!\I didn't.\If I said you did, you did.\I didn't.\I don't care any more.\Good night.\Huh!\Just when I was about to have a good idea. response:	Sakura, you moron.
context: I didn't.\If I said you did, you did.\I didn't.\I don't care any more.\Good night.\Huh!\Just when I was about to have a good idea.\Sakura, you moron. response:	I feel better after sleeping.
context: If I said you did, you did.\I didn't.\I don't care any more.\Good night.\Huh!\Just when I was about to have a good idea.\Sakura, you moron.\I feel better after sleeping. response:	I'm not angry anymore, come out Kero-chan.
context: I didn't.\I don't care any more.\Good night.\Huh!\Just when I was about to have a good idea.\Sakura, you moron.\I feel better after sleeping.\I'm not angry anymore, come out Kero-chan. response:	Eh!
context: I don't care any more.\Good night.\Huh!\Just when I was about to have a good idea.\Sakura, you moron.\I feel better after sleeping.\I'm not angry anymore, come out Kero-chan.\Eh! response:	Kero-chan?
context: Good night.\Huh!\Just when I was about to have a good idea.\Sakura, you moron.\I feel better after sleeping.\I'm not angry anymore, come out Kero-chan.\Eh!\Kero-chan? response:	Where are you?
context: Huh!\Just when I was about to have a good idea.\Sakura, you moron.\I feel better after sleeping.\I'm not angry anymore, come out Kero-chan.\Eh!\Kero-chan?\Where are you? response:	I'm in here.
context: Just when I was about to have a good idea.\Sakura, you moron.\I feel better after sleeping.\I'm not angry anymore, come out Kero-chan.\Eh!\Kero-chan?\Where are you?\I'm in here. response:	Are you OK?
context: Sakura, you moron.\I feel better after sleeping.\I'm not angry anymore, come out Kero-chan.\Eh!\Kero-chan?\Where are you?\I'm in here.\Are you OK? response:	What are you doing in there?
context: I feel better after sleeping.\I'm not angry anymore, come out Kero-chan.\Eh!\Kero-chan?\Where are you?\I'm in here.\Are you OK?\What are you doing in there? response:	How do you like it? I made it last night after thinking it up.
context: I'm not angry anymore, come out Kero-chan.\Eh!\Kero-chan?\Where are you?\I'm in here.\Are you OK?\What are you doing in there?\How do you like it? I made it last night after thinking it up. response:	Pretty good for being made in one night?
context: Eh!\Kero-chan?\Where are you?\I'm in here.\Are you OK?\What are you doing in there?\How do you like it? I made it last night after thinking it up.\Pretty good for being made in one night? response:	Now if I only had something for a sofa
context: Kero-chan?\Where are you?\I'm in here.\Are you OK?\What are you doing in there?\How do you like it? I made it last night after thinking it up.\Pretty good for being made in one night?\Now if I only had something for a sofa response:	or a nice table.
context: Where are you?\I'm in here.\Are you OK?\What are you doing in there?\How do you like it? I made it last night after thinking it up.\Pretty good for being made in one night?\Now if I only had something for a sofa\or a nice table. response:	This is' This is'
context: I'm in here.\Are you OK?\What are you doing in there?\How do you like it? I made it last night after thinking it up.\Pretty good for being made in one night?\Now if I only had something for a sofa\or a nice table.\This is' This is' response:	Where are the contents of the drawer?
context: Are you OK?\What are you doing in there?\How do you like it? I made it last night after thinking it up.\Pretty good for being made in one night?\Now if I only had something for a sofa\or a nice table.\This is' This is'\Where are the contents of the drawer? response:	Ah that stuff?
context: What are you doing in there?\How do you like it? I made it last night after thinking it up.\Pretty good for being made in one night?\Now if I only had something for a sofa\or a nice table.\This is' This is'\Where are the contents of the drawer?\Ah that stuff? response:	Over there.
context: How do you like it? I made it last night after thinking it up.\Pretty good for being made in one night?\Now if I only had something for a sofa\or a nice table.\This is' This is'\Where are the contents of the drawer?\Ah that stuff?\Over there. response:	Eh!
context: Pretty good for being made in one night?\Now if I only had something for a sofa\or a nice table.\This is' This is'\Where are the contents of the drawer?\Ah that stuff?\Over there.\Eh! response:	What are you doing?
context: Now if I only had something for a sofa\or a nice table.\This is' This is'\Where are the contents of the drawer?\Ah that stuff?\Over there.\Eh!\What are you doing? response:	Geeze,
context: or a nice table.\This is' This is'\Where are the contents of the drawer?\Ah that stuff?\Over there.\Eh!\What are you doing?\Geeze, response:	you messed up the drawer.
context: This is' This is'\Where are the contents of the drawer?\Ah that stuff?\Over there.\Eh!\What are you doing?\Geeze,\you messed up the drawer. response:	My room that I went through all that trouble to make!
context: Where are the contents of the drawer?\Ah that stuff?\Over there.\Eh!\What are you doing?\Geeze,\you messed up the drawer.\My room that I went through all that trouble to make! response:	It's too cruel!
context: Ah that stuff?\Over there.\Eh!\What are you doing?\Geeze,\you messed up the drawer.\My room that I went through all that trouble to make!\It's too cruel! response:	You are the one who was cruel.
context: Over there.\Eh!\What are you doing?\Geeze,\you messed up the drawer.\My room that I went through all that trouble to make!\It's too cruel!\You are the one who was cruel. response:	Beast!
context: Eh!\What are you doing?\Geeze,\you messed up the drawer.\My room that I went through all that trouble to make!\It's too cruel!\You are the one who was cruel.\Beast! response:	What was that?
context: What are you doing?\Geeze,\you messed up the drawer.\My room that I went through all that trouble to make!\It's too cruel!\You are the one who was cruel.\Beast!\What was that? response:	If you aren't a beast, you are a monster!
context: Geeze,\you messed up the drawer.\My room that I went through all that trouble to make!\It's too cruel!\You are the one who was cruel.\Beast!\What was that?\If you aren't a beast, you are a monster! response:	What did you say?
context: you messed up the drawer.\My room that I went through all that trouble to make!\It's too cruel!\You are the one who was cruel.\Beast!\What was that?\If you aren't a beast, you are a monster!\What did you say? response:	I called you a monster because you destroyed my room.
context: My room that I went through all that trouble to make!\It's too cruel!\You are the one who was cruel.\Beast!\What was that?\If you aren't a beast, you are a monster!\What did you say?\I called you a monster because you destroyed my room. response:	Monster Sakura!
context: It's too cruel!\You are the one who was cruel.\Beast!\What was that?\If you aren't a beast, you are a monster!\What did you say?\I called you a monster because you destroyed my room.\Monster Sakura! response:	Monster!
context: You are the one who was cruel.\Beast!\What was that?\If you aren't a beast, you are a monster!\What did you say?\I called you a monster because you destroyed my room.\Monster Sakura!\Monster! response:	Geeze.
context: Beast!\What was that?\If you aren't a beast, you are a monster!\What did you say?\I called you a monster because you destroyed my room.\Monster Sakura!\Monster!\Geeze. response:	You seem one level more the monster today.
context: What was that?\If you aren't a beast, you are a monster!\What did you say?\I called you a monster because you destroyed my room.\Monster Sakura!\Monster!\Geeze.\You seem one level more the monster today. response:	Monster.
context: If you aren't a beast, you are a monster!\What did you say?\I called you a monster because you destroyed my room.\Monster Sakura!\Monster!\Geeze.\You seem one level more the monster today.\Monster. response:	So that is why you have been
context: What did you say?\I called you a monster because you destroyed my room.\Monster Sakura!\Monster!\Geeze.\You seem one level more the monster today.\Monster.\So that is why you have been response:	in a cross mood all morning.
context: I called you a monster because you destroyed my room.\Monster Sakura!\Monster!\Geeze.\You seem one level more the monster today.\Monster.\So that is why you have been\in a cross mood all morning. response:	I had to clean up after it all.
context: Monster Sakura!\Monster!\Geeze.\You seem one level more the monster today.\Monster.\So that is why you have been\in a cross mood all morning.\I had to clean up after it all. response:	There were important things in there too.
context: Monster!\Geeze.\You seem one level more the monster today.\Monster.\So that is why you have been\in a cross mood all morning.\I had to clean up after it all.\There were important things in there too. response:	There was a letter I got from you in there too.
context: Geeze.\You seem one level more the monster today.\Monster.\So that is why you have been\in a cross mood all morning.\I had to clean up after it all.\There were important things in there too.\There was a letter I got from you in there too. response:	Oh?
context: You seem one level more the monster today.\Monster.\So that is why you have been\in a cross mood all morning.\I had to clean up after it all.\There were important things in there too.\There was a letter I got from you in there too.\Oh? response:	Damn it,
context: Monster.\So that is why you have been\in a cross mood all morning.\I had to clean up after it all.\There were important things in there too.\There was a letter I got from you in there too.\Oh?\Damn it, response:	I can't calm down.
context: So that is why you have been\in a cross mood all morning.\I had to clean up after it all.\There were important things in there too.\There was a letter I got from you in there too.\Oh?\Damn it,\I can't calm down. response:	Geeze.
context: in a cross mood all morning.\I had to clean up after it all.\There were important things in there too.\There was a letter I got from you in there too.\Oh?\Damn it,\I can't calm down.\Geeze. response:	Eh!
context: I had to clean up after it all.\There were important things in there too.\There was a letter I got from you in there too.\Oh?\Damn it,\I can't calm down.\Geeze.\Eh! response:	A gift from somebody?
context: There were important things in there too.\There was a letter I got from you in there too.\Oh?\Damn it,\I can't calm down.\Geeze.\Eh!\A gift from somebody? response:	I wonder if it is something to eat.
context: There was a letter I got from you in there too.\Oh?\Damn it,\I can't calm down.\Geeze.\Eh!\A gift from somebody?\I wonder if it is something to eat. response:	No.
context: Oh?\Damn it,\I can't calm down.\Geeze.\Eh!\A gift from somebody?\I wonder if it is something to eat.\No. response:	Sakura will get mad at me.
context: Damn it,\I can't calm down.\Geeze.\Eh!\A gift from somebody?\I wonder if it is something to eat.\No.\Sakura will get mad at me. response:	No, I am angry too!
context: I can't calm down.\Geeze.\Eh!\A gift from somebody?\I wonder if it is something to eat.\No.\Sakura will get mad at me.\No, I am angry too! response:	What is this?
context: Geeze.\Eh!\A gift from somebody?\I wonder if it is something to eat.\No.\Sakura will get mad at me.\No, I am angry too!\What is this? response:	It's chocolate!
context: Eh!\A gift from somebody?\I wonder if it is something to eat.\No.\Sakura will get mad at me.\No, I am angry too!\What is this?\It's chocolate! response:	This is good!
context: A gift from somebody?\I wonder if it is something to eat.\No.\Sakura will get mad at me.\No, I am angry too!\What is this?\It's chocolate!\This is good! response:	I understand Kero-chan wanting some privacy, but'
context: I wonder if it is something to eat.\No.\Sakura will get mad at me.\No, I am angry too!\What is this?\It's chocolate!\This is good!\I understand Kero-chan wanting some privacy, but' response:	I am sure he didn't intend anything bad.
context: No.\Sakura will get mad at me.\No, I am angry too!\What is this?\It's chocolate!\This is good!\I understand Kero-chan wanting some privacy, but'\I am sure he didn't intend anything bad. response:	But
context: Sakura will get mad at me.\No, I am angry too!\What is this?\It's chocolate!\This is good!\I understand Kero-chan wanting some privacy, but'\I am sure he didn't intend anything bad.\But response:	then Kero-chan called me a monster.
context: No, I am angry too!\What is this?\It's chocolate!\This is good!\I understand Kero-chan wanting some privacy, but'\I am sure he didn't intend anything bad.\But\then Kero-chan called me a monster. response:	Monster Sakura.
context: What is this?\It's chocolate!\This is good!\I understand Kero-chan wanting some privacy, but'\I am sure he didn't intend anything bad.\But\then Kero-chan called me a monster.\Monster Sakura. response:	My, I would love a monster
context: It's chocolate!\This is good!\I understand Kero-chan wanting some privacy, but'\I am sure he didn't intend anything bad.\But\then Kero-chan called me a monster.\Monster Sakura.\My, I would love a monster response:	that was cute like Sakura-chan.
context: This is good!\I understand Kero-chan wanting some privacy, but'\I am sure he didn't intend anything bad.\But\then Kero-chan called me a monster.\Monster Sakura.\My, I would love a monster\that was cute like Sakura-chan. response:	Eh!
context: I understand Kero-chan wanting some privacy, but'\I am sure he didn't intend anything bad.\But\then Kero-chan called me a monster.\Monster Sakura.\My, I would love a monster\that was cute like Sakura-chan.\Eh! response:	This chocolate really is good.
context: I am sure he didn't intend anything bad.\But\then Kero-chan called me a monster.\Monster Sakura.\My, I would love a monster\that was cute like Sakura-chan.\Eh!\This chocolate really is good. response:	Great!
context: But\then Kero-chan called me a monster.\Monster Sakura.\My, I would love a monster\that was cute like Sakura-chan.\Eh!\This chocolate really is good.\Great! response:	Kero-chan must have done this,
context: then Kero-chan called me a monster.\Monster Sakura.\My, I would love a monster\that was cute like Sakura-chan.\Eh!\This chocolate really is good.\Great!\Kero-chan must have done this, response:	to make such a mess eating.
context: Monster Sakura.\My, I would love a monster\that was cute like Sakura-chan.\Eh!\This chocolate really is good.\Great!\Kero-chan must have done this,\to make such a mess eating. response:	Isn't this chocolate with alcohol in it?
context: My, I would love a monster\that was cute like Sakura-chan.\Eh!\This chocolate really is good.\Great!\Kero-chan must have done this,\to make such a mess eating.\Isn't this chocolate with alcohol in it? response:	Geeze, he ate them all.
context: that was cute like Sakura-chan.\Eh!\This chocolate really is good.\Great!\Kero-chan must have done this,\to make such a mess eating.\Isn't this chocolate with alcohol in it?\Geeze, he ate them all. response:	Eh!
context: Eh!\This chocolate really is good.\Great!\Kero-chan must have done this,\to make such a mess eating.\Isn't this chocolate with alcohol in it?\Geeze, he ate them all.\Eh! response:	Thanks for dinner.
context: This chocolate really is good.\Great!\Kero-chan must have done this,\to make such a mess eating.\Isn't this chocolate with alcohol in it?\Geeze, he ate them all.\Eh!\Thanks for dinner. response:	Ah, Sakura,
context: Great!\Kero-chan must have done this,\to make such a mess eating.\Isn't this chocolate with alcohol in it?\Geeze, he ate them all.\Eh!\Thanks for dinner.\Ah, Sakura, response:	have you seen a package
context: Kero-chan must have done this,\to make such a mess eating.\Isn't this chocolate with alcohol in it?\Geeze, he ate them all.\Eh!\Thanks for dinner.\Ah, Sakura,\have you seen a package response:	I left out?
context: to make such a mess eating.\Isn't this chocolate with alcohol in it?\Geeze, he ate them all.\Eh!\Thanks for dinner.\Ah, Sakura,\have you seen a package\I left out? response:	It had chocolate in it.
context: Isn't this chocolate with alcohol in it?\Geeze, he ate them all.\Eh!\Thanks for dinner.\Ah, Sakura,\have you seen a package\I left out?\It had chocolate in it. response:	Chocolate?
context: Geeze, he ate them all.\Eh!\Thanks for dinner.\Ah, Sakura,\have you seen a package\I left out?\It had chocolate in it.\Chocolate? response:	Yes, chocolate.
context: Eh!\Thanks for dinner.\Ah, Sakura,\have you seen a package\I left out?\It had chocolate in it.\Chocolate?\Yes, chocolate. response:	Well I am going to sleep,
context: Thanks for dinner.\Ah, Sakura,\have you seen a package\I left out?\It had chocolate in it.\Chocolate?\Yes, chocolate.\Well I am going to sleep, response:	good night.
context: Ah, Sakura,\have you seen a package\I left out?\It had chocolate in it.\Chocolate?\Yes, chocolate.\Well I am going to sleep,\good night. response:	Geeze, Kero-chan'
context: have you seen a package\I left out?\It had chocolate in it.\Chocolate?\Yes, chocolate.\Well I am going to sleep,\good night.\Geeze, Kero-chan' response:	Where did he go?
context: I left out?\It had chocolate in it.\Chocolate?\Yes, chocolate.\Well I am going to sleep,\good night.\Geeze, Kero-chan'\Where did he go? response:	You see?
context: It had chocolate in it.\Chocolate?\Yes, chocolate.\Well I am going to sleep,\good night.\Geeze, Kero-chan'\Where did he go?\You see? response:	I am really Cerberus,
context: Chocolate?\Yes, chocolate.\Well I am going to sleep,\good night.\Geeze, Kero-chan'\Where did he go?\You see?\I am really Cerberus, response:	I was protecting that book the whole time.
context: Yes, chocolate.\Well I am going to sleep,\good night.\Geeze, Kero-chan'\Where did he go?\You see?\I am really Cerberus,\I was protecting that book the whole time. response:	In rain or wind.
context: Well I am going to sleep,\good night.\Geeze, Kero-chan'\Where did he go?\You see?\I am really Cerberus,\I was protecting that book the whole time.\In rain or wind. response:	Lots of terrible things happened.
context: good night.\Geeze, Kero-chan'\Where did he go?\You see?\I am really Cerberus,\I was protecting that book the whole time.\In rain or wind.\Lots of terrible things happened. response:	You're the only one to listen to my story.
context: Geeze, Kero-chan'\Where did he go?\You see?\I am really Cerberus,\I was protecting that book the whole time.\In rain or wind.\Lots of terrible things happened.\You're the only one to listen to my story. response:	I feel kinda sleepy.
context: Where did he go?\You see?\I am really Cerberus,\I was protecting that book the whole time.\In rain or wind.\Lots of terrible things happened.\You're the only one to listen to my story.\I feel kinda sleepy. response:	Do you know someplace
context: You see?\I am really Cerberus,\I was protecting that book the whole time.\In rain or wind.\Lots of terrible things happened.\You're the only one to listen to my story.\I feel kinda sleepy.\Do you know someplace response:	I could sleep?
context: I am really Cerberus,\I was protecting that book the whole time.\In rain or wind.\Lots of terrible things happened.\You're the only one to listen to my story.\I feel kinda sleepy.\Do you know someplace\I could sleep? response:	Over there?
context: I was protecting that book the whole time.\In rain or wind.\Lots of terrible things happened.\You're the only one to listen to my story.\I feel kinda sleepy.\Do you know someplace\I could sleep?\Over there? response:	Oh, it's a bed.
context: In rain or wind.\Lots of terrible things happened.\You're the only one to listen to my story.\I feel kinda sleepy.\Do you know someplace\I could sleep?\Over there?\Oh, it's a bed. response:	This is good.
context: Lots of terrible things happened.\You're the only one to listen to my story.\I feel kinda sleepy.\Do you know someplace\I could sleep?\Over there?\Oh, it's a bed.\This is good. response:	Thank you.
context: You're the only one to listen to my story.\I feel kinda sleepy.\Do you know someplace\I could sleep?\Over there?\Oh, it's a bed.\This is good.\Thank you. response:	Eh!
context: I feel kinda sleepy.\Do you know someplace\I could sleep?\Over there?\Oh, it's a bed.\This is good.\Thank you.\Eh! response:	Sakura, you moron.
context: Do you know someplace\I could sleep?\Over there?\Oh, it's a bed.\This is good.\Thank you.\Eh!\Sakura, you moron. response:	Where is this?
context: I could sleep?\Over there?\Oh, it's a bed.\This is good.\Thank you.\Eh!\Sakura, you moron.\Where is this? response:	Are you awake?
context: Over there?\Oh, it's a bed.\This is good.\Thank you.\Eh!\Sakura, you moron.\Where is this?\Are you awake? response:	Who is that?
context: Oh, it's a bed.\This is good.\Thank you.\Eh!\Sakura, you moron.\Where is this?\Are you awake?\Who is that? response:	I brought breakfast.
context: This is good.\Thank you.\Eh!\Sakura, you moron.\Where is this?\Are you awake?\Who is that?\I brought breakfast. response:	What is your name?
context: Thank you.\Eh!\Sakura, you moron.\Where is this?\Are you awake?\Who is that?\I brought breakfast.\What is your name? response:	What?
context: Eh!\Sakura, you moron.\Where is this?\Are you awake?\Who is that?\I brought breakfast.\What is your name?\What? response:	Here.
context: Sakura, you moron.\Where is this?\Are you awake?\Who is that?\I brought breakfast.\What is your name?\What?\Here. response:	Do you not like milk?
context: Where is this?\Are you awake?\Who is that?\I brought breakfast.\What is your name?\What?\Here.\Do you not like milk? response:	You're a cat aren't you?
context: Are you awake?\Who is that?\I brought breakfast.\What is your name?\What?\Here.\Do you not like milk?\You're a cat aren't you? response:	No I'm not.
context: Who is that?\I brought breakfast.\What is your name?\What?\Here.\Do you not like milk?\You're a cat aren't you?\No I'm not. response:	Oh, it's over.
context: I brought breakfast.\What is your name?\What?\Here.\Do you not like milk?\You're a cat aren't you?\No I'm not.\Oh, it's over. response:	Oh no, I spoke.
context: What is your name?\What?\Here.\Do you not like milk?\You're a cat aren't you?\No I'm not.\Oh, it's over.\Oh no, I spoke. response:	You have an interesting meow.
context: What?\Here.\Do you not like milk?\You're a cat aren't you?\No I'm not.\Oh, it's over.\Oh no, I spoke.\You have an interesting meow. response:	Your name is Chau-chan right?
context: Here.\Do you not like milk?\You're a cat aren't you?\No I'm not.\Oh, it's over.\Oh no, I spoke.\You have an interesting meow.\Your name is Chau-chan right? response:	No.
