context: How's it going, Lucy-neesan? Have you found the ancient letters? response:	Nope. I'm not having any luck at all...
context: Alright, leave it to me...\Wake up!\You want something?\I've got a little bone to pick with the members of Fairy Tail...\You're one of them, aren't you?\What if I am?\What if you are? Then I'll flatten you like a pancake!\Pain in the ass... response:	That's...
context: Wake up!\You want something?\I've got a little bone to pick with the members of Fairy Tail...\You're one of them, aren't you?\What if I am?\What if you are? Then I'll flatten you like a pancake!\Pain in the ass...\That's... response:	It has to be...
context: You want something?\I've got a little bone to pick with the members of Fairy Tail...\You're one of them, aren't you?\What if I am?\What if you are? Then I'll flatten you like a pancake!\Pain in the ass...\That's...\It has to be... response:	What's wrong?
context: I've got a little bone to pick with the members of Fairy Tail...\You're one of them, aren't you?\What if I am?\What if you are? Then I'll flatten you like a pancake!\Pain in the ass...\That's...\It has to be...\What's wrong? response:	It's Laxus.
context: You're one of them, aren't you?\What if I am?\What if you are? Then I'll flatten you like a pancake!\Pain in the ass...\That's...\It has to be...\What's wrong?\It's Laxus. response:	That bastard! I was wondering where he went off to,
context: What if I am?\What if you are? Then I'll flatten you like a pancake!\Pain in the ass...\That's...\It has to be...\What's wrong?\It's Laxus.\That bastard! I was wondering where he went off to, response:	but it looks like he's been livin' around here!
context: What if you are? Then I'll flatten you like a pancake!\Pain in the ass...\That's...\It has to be...\What's wrong?\It's Laxus.\That bastard! I was wondering where he went off to,\but it looks like he's been livin' around here! response:	But Laxus is still in exile.
context: Pain in the ass...\That's...\It has to be...\What's wrong?\It's Laxus.\That bastard! I was wondering where he went off to,\but it looks like he's been livin' around here!\But Laxus is still in exile. response:	You probably saw something else!
context: That's...\It has to be...\What's wrong?\It's Laxus.\That bastard! I was wondering where he went off to,\but it looks like he's been livin' around here!\But Laxus is still in exile.\You probably saw something else! response:	I'm gonna check it out!
context: It has to be...\What's wrong?\It's Laxus.\That bastard! I was wondering where he went off to,\but it looks like he's been livin' around here!\But Laxus is still in exile.\You probably saw something else!\I'm gonna check it out! response:	Natsu!
context: What's wrong?\It's Laxus.\That bastard! I was wondering where he went off to,\but it looks like he's been livin' around here!\But Laxus is still in exile.\You probably saw something else!\I'm gonna check it out!\Natsu! response:	Wait for me!
context: It's Laxus.\That bastard! I was wondering where he went off to,\but it looks like he's been livin' around here!\But Laxus is still in exile.\You probably saw something else!\I'm gonna check it out!\Natsu!\Wait for me! response:	Raging Battle! Natsu vs. Laxus!
context: That bastard! I was wondering where he went off to,\but it looks like he's been livin' around here!\But Laxus is still in exile.\You probably saw something else!\I'm gonna check it out!\Natsu!\Wait for me!\Raging Battle! Natsu vs. Laxus! response:	Gajeel!
context: but it looks like he's been livin' around here!\But Laxus is still in exile.\You probably saw something else!\I'm gonna check it out!\Natsu!\Wait for me!\Raging Battle! Natsu vs. Laxus!\Gajeel! response:	Salamander!
context: But Laxus is still in exile.\You probably saw something else!\I'm gonna check it out!\Natsu!\Wait for me!\Raging Battle! Natsu vs. Laxus!\Gajeel!\Salamander! response:	Where you goin'?
context: You probably saw something else!\I'm gonna check it out!\Natsu!\Wait for me!\Raging Battle! Natsu vs. Laxus!\Gajeel!\Salamander!\Where you goin'? response:	Where you goin'?!
context: I'm gonna check it out!\Natsu!\Wait for me!\Raging Battle! Natsu vs. Laxus!\Gajeel!\Salamander!\Where you goin'?\Where you goin'?! response:	Wherever I want!
context: Natsu!\Wait for me!\Raging Battle! Natsu vs. Laxus!\Gajeel!\Salamander!\Where you goin'?\Where you goin'?!\Wherever I want! response:	Same here!
context: Wait for me!\Raging Battle! Natsu vs. Laxus!\Gajeel!\Salamander!\Where you goin'?\Where you goin'?!\Wherever I want!\Same here! response:	Don't follow me!
context: Raging Battle! Natsu vs. Laxus!\Gajeel!\Salamander!\Where you goin'?\Where you goin'?!\Wherever I want!\Same here!\Don't follow me! response:	You get outta my face!
context: Gajeel!\Salamander!\Where you goin'?\Where you goin'?!\Wherever I want!\Same here!\Don't follow me!\You get outta my face! response:	Oh yeah?!
context: Salamander!\Where you goin'?\Where you goin'?!\Wherever I want!\Same here!\Don't follow me!\You get outta my face!\Oh yeah?! response:	You wanna have a go?!
context: Where you goin'?\Where you goin'?!\Wherever I want!\Same here!\Don't follow me!\You get outta my face!\Oh yeah?!\You wanna have a go?! response:	Cut it out, both of you!
context: Where you goin'?!\Wherever I want!\Same here!\Don't follow me!\You get outta my face!\Oh yeah?!\You wanna have a go?!\Cut it out, both of you! response:	The idea was to check out the source of that lightning, right?
context: Wherever I want!\Same here!\Don't follow me!\You get outta my face!\Oh yeah?!\You wanna have a go?!\Cut it out, both of you!\The idea was to check out the source of that lightning, right? response:	Yeah, and if it's Laxus, I'm gonna have a showdown with him!
context: Same here!\Don't follow me!\You get outta my face!\Oh yeah?!\You wanna have a go?!\Cut it out, both of you!\The idea was to check out the source of that lightning, right?\Yeah, and if it's Laxus, I'm gonna have a showdown with him! response:	You wouldn't be able to beat Laxus yet!
context: Don't follow me!\You get outta my face!\Oh yeah?!\You wanna have a go?!\Cut it out, both of you!\The idea was to check out the source of that lightning, right?\Yeah, and if it's Laxus, I'm gonna have a showdown with him!\You wouldn't be able to beat Laxus yet! response:	After all, that one time...
context: You get outta my face!\Oh yeah?!\You wanna have a go?!\Cut it out, both of you!\The idea was to check out the source of that lightning, right?\Yeah, and if it's Laxus, I'm gonna have a showdown with him!\You wouldn't be able to beat Laxus yet!\After all, that one time... response:	I totally pitched in and even then, look what happened.
context: Oh yeah?!\You wanna have a go?!\Cut it out, both of you!\The idea was to check out the source of that lightning, right?\Yeah, and if it's Laxus, I'm gonna have a showdown with him!\You wouldn't be able to beat Laxus yet!\After all, that one time...\I totally pitched in and even then, look what happened. response:	Shut up! I didn't need your help then!
context: You wanna have a go?!\Cut it out, both of you!\The idea was to check out the source of that lightning, right?\Yeah, and if it's Laxus, I'm gonna have a showdown with him!\You wouldn't be able to beat Laxus yet!\After all, that one time...\I totally pitched in and even then, look what happened.\Shut up! I didn't need your help then! response:	Next time, I'm gonna win for sure!
context: Cut it out, both of you!\The idea was to check out the source of that lightning, right?\Yeah, and if it's Laxus, I'm gonna have a showdown with him!\You wouldn't be able to beat Laxus yet!\After all, that one time...\I totally pitched in and even then, look what happened.\Shut up! I didn't need your help then!\Next time, I'm gonna win for sure! response:	No, I'm gonna win!
context: The idea was to check out the source of that lightning, right?\Yeah, and if it's Laxus, I'm gonna have a showdown with him!\You wouldn't be able to beat Laxus yet!\After all, that one time...\I totally pitched in and even then, look what happened.\Shut up! I didn't need your help then!\Next time, I'm gonna win for sure!\No, I'm gonna win! response:	That's enough out of you two.
context: Yeah, and if it's Laxus, I'm gonna have a showdown with him!\You wouldn't be able to beat Laxus yet!\After all, that one time...\I totally pitched in and even then, look what happened.\Shut up! I didn't need your help then!\Next time, I'm gonna win for sure!\No, I'm gonna win!\That's enough out of you two. response:	Laxus?!
context: You wouldn't be able to beat Laxus yet!\After all, that one time...\I totally pitched in and even then, look what happened.\Shut up! I didn't need your help then!\Next time, I'm gonna win for sure!\No, I'm gonna win!\That's enough out of you two.\Laxus?! response:	It really was Laxus!
context: After all, that one time...\I totally pitched in and even then, look what happened.\Shut up! I didn't need your help then!\Next time, I'm gonna win for sure!\No, I'm gonna win!\That's enough out of you two.\Laxus?!\It really was Laxus! response:	Laxus!
context: I totally pitched in and even then, look what happened.\Shut up! I didn't need your help then!\Next time, I'm gonna win for sure!\No, I'm gonna win!\That's enough out of you two.\Laxus?!\It really was Laxus!\Laxus! response:	What, Natsu is here too?
context: Shut up! I didn't need your help then!\Next time, I'm gonna win for sure!\No, I'm gonna win!\That's enough out of you two.\Laxus?!\It really was Laxus!\Laxus!\What, Natsu is here too? response:	And Gajeel?!
context: Next time, I'm gonna win for sure!\No, I'm gonna win!\That's enough out of you two.\Laxus?!\It really was Laxus!\Laxus!\What, Natsu is here too?\And Gajeel?! response:	Stop carrying on like little kids.
context: No, I'm gonna win!\That's enough out of you two.\Laxus?!\It really was Laxus!\Laxus!\What, Natsu is here too?\And Gajeel?!\Stop carrying on like little kids. response:	Laxus, you're livin' around here?
context: That's enough out of you two.\Laxus?!\It really was Laxus!\Laxus!\What, Natsu is here too?\And Gajeel?!\Stop carrying on like little kids.\Laxus, you're livin' around here? response:	The place I moved to just happens to be near here.
context: Laxus?!\It really was Laxus!\Laxus!\What, Natsu is here too?\And Gajeel?!\Stop carrying on like little kids.\Laxus, you're livin' around here?\The place I moved to just happens to be near here. response:	Then you oughta come back to the guild.
context: It really was Laxus!\Laxus!\What, Natsu is here too?\And Gajeel?!\Stop carrying on like little kids.\Laxus, you're livin' around here?\The place I moved to just happens to be near here.\Then you oughta come back to the guild. response:	Mind your own business.
context: Laxus!\What, Natsu is here too?\And Gajeel?!\Stop carrying on like little kids.\Laxus, you're livin' around here?\The place I moved to just happens to be near here.\Then you oughta come back to the guild.\Mind your own business. response:	I don't give a crap if you come back or not.
context: What, Natsu is here too?\And Gajeel?!\Stop carrying on like little kids.\Laxus, you're livin' around here?\The place I moved to just happens to be near here.\Then you oughta come back to the guild.\Mind your own business.\I don't give a crap if you come back or not. response:	But since you're here, let's settle once and for all who's stronger!
context: And Gajeel?!\Stop carrying on like little kids.\Laxus, you're livin' around here?\The place I moved to just happens to be near here.\Then you oughta come back to the guild.\Mind your own business.\I don't give a crap if you come back or not.\But since you're here, let's settle once and for all who's stronger! response:	With me too.
context: Stop carrying on like little kids.\Laxus, you're livin' around here?\The place I moved to just happens to be near here.\Then you oughta come back to the guild.\Mind your own business.\I don't give a crap if you come back or not.\But since you're here, let's settle once and for all who's stronger!\With me too. response:	I know your game.
context: Laxus, you're livin' around here?\The place I moved to just happens to be near here.\Then you oughta come back to the guild.\Mind your own business.\I don't give a crap if you come back or not.\But since you're here, let's settle once and for all who's stronger!\With me too.\I know your game. response:	You wanna piss me off so I'll battle you, but I'm not gonna bite.
context: The place I moved to just happens to be near here.\Then you oughta come back to the guild.\Mind your own business.\I don't give a crap if you come back or not.\But since you're here, let's settle once and for all who's stronger!\With me too.\I know your game.\You wanna piss me off so I'll battle you, but I'm not gonna bite. response:	You gonna run away?
context: Then you oughta come back to the guild.\Mind your own business.\I don't give a crap if you come back or not.\But since you're here, let's settle once and for all who's stronger!\With me too.\I know your game.\You wanna piss me off so I'll battle you, but I'm not gonna bite.\You gonna run away? response:	'Scuse me?
context: Mind your own business.\I don't give a crap if you come back or not.\But since you're here, let's settle once and for all who's stronger!\With me too.\I know your game.\You wanna piss me off so I'll battle you, but I'm not gonna bite.\You gonna run away?\'Scuse me? response:	You ain't the kinda guy that backs down when someone picks a fight, are you...
context: I don't give a crap if you come back or not.\But since you're here, let's settle once and for all who's stronger!\With me too.\I know your game.\You wanna piss me off so I'll battle you, but I'm not gonna bite.\You gonna run away?\'Scuse me?\You ain't the kinda guy that backs down when someone picks a fight, are you... response:	What are you trying to pull, Natsu?
context: But since you're here, let's settle once and for all who's stronger!\With me too.\I know your game.\You wanna piss me off so I'll battle you, but I'm not gonna bite.\You gonna run away?\'Scuse me?\You ain't the kinda guy that backs down when someone picks a fight, are you...\What are you trying to pull, Natsu? response:	Fine.
context: With me too.\I know your game.\You wanna piss me off so I'll battle you, but I'm not gonna bite.\You gonna run away?\'Scuse me?\You ain't the kinda guy that backs down when someone picks a fight, are you...\What are you trying to pull, Natsu?\Fine. response:	Alright!
context: I know your game.\You wanna piss me off so I'll battle you, but I'm not gonna bite.\You gonna run away?\'Scuse me?\You ain't the kinda guy that backs down when someone picks a fight, are you...\What are you trying to pull, Natsu?\Fine.\Alright! response:	Laxus doesn't have to fight.
context: You wanna piss me off so I'll battle you, but I'm not gonna bite.\You gonna run away?\'Scuse me?\You ain't the kinda guy that backs down when someone picks a fight, are you...\What are you trying to pull, Natsu?\Fine.\Alright!\Laxus doesn't have to fight. response:	Your opponents are the Raijinshuu.
context: You gonna run away?\'Scuse me?\You ain't the kinda guy that backs down when someone picks a fight, are you...\What are you trying to pull, Natsu?\Fine.\Alright!\Laxus doesn't have to fight.\Your opponents are the Raijinshuu. response:	Our fate is joined with Laxus!
context: 'Scuse me?\You ain't the kinda guy that backs down when someone picks a fight, are you...\What are you trying to pull, Natsu?\Fine.\Alright!\Laxus doesn't have to fight.\Your opponents are the Raijinshuu.\Our fate is joined with Laxus! response:	No, no. My own fists will pound some sense into their thick skulls.
context: You ain't the kinda guy that backs down when someone picks a fight, are you...\What are you trying to pull, Natsu?\Fine.\Alright!\Laxus doesn't have to fight.\Your opponents are the Raijinshuu.\Our fate is joined with Laxus!\No, no. My own fists will pound some sense into their thick skulls. response:	Music to my ears!
context: What are you trying to pull, Natsu?\Fine.\Alright!\Laxus doesn't have to fight.\Your opponents are the Raijinshuu.\Our fate is joined with Laxus!\No, no. My own fists will pound some sense into their thick skulls.\Music to my ears! response:	Alright, Natsu. I'll start with you.
context: Fine.\Alright!\Laxus doesn't have to fight.\Your opponents are the Raijinshuu.\Our fate is joined with Laxus!\No, no. My own fists will pound some sense into their thick skulls.\Music to my ears!\Alright, Natsu. I'll start with you. response:	Stop right there!
context: Alright!\Laxus doesn't have to fight.\Your opponents are the Raijinshuu.\Our fate is joined with Laxus!\No, no. My own fists will pound some sense into their thick skulls.\Music to my ears!\Alright, Natsu. I'll start with you.\Stop right there! response:	Wendy...
context: Laxus doesn't have to fight.\Your opponents are the Raijinshuu.\Our fate is joined with Laxus!\No, no. My own fists will pound some sense into their thick skulls.\Music to my ears!\Alright, Natsu. I'll start with you.\Stop right there!\Wendy... response:	I think something like this should be carried out with a plan!
context: Your opponents are the Raijinshuu.\Our fate is joined with Laxus!\No, no. My own fists will pound some sense into their thick skulls.\Music to my ears!\Alright, Natsu. I'll start with you.\Stop right there!\Wendy...\I think something like this should be carried out with a plan! response:	A plan?
context: Our fate is joined with Laxus!\No, no. My own fists will pound some sense into their thick skulls.\Music to my ears!\Alright, Natsu. I'll start with you.\Stop right there!\Wendy...\I think something like this should be carried out with a plan!\A plan? response:	What are you talking about?
context: No, no. My own fists will pound some sense into their thick skulls.\Music to my ears!\Alright, Natsu. I'll start with you.\Stop right there!\Wendy...\I think something like this should be carried out with a plan!\A plan?\What are you talking about? response:	The showdown is tomorrow!
context: Music to my ears!\Alright, Natsu. I'll start with you.\Stop right there!\Wendy...\I think something like this should be carried out with a plan!\A plan?\What are you talking about?\The showdown is tomorrow! response:	I don't know what you mean, but fine.
context: Alright, Natsu. I'll start with you.\Stop right there!\Wendy...\I think something like this should be carried out with a plan!\A plan?\What are you talking about?\The showdown is tomorrow!\I don't know what you mean, but fine. response:	Alright, our battle's tomorrow.
context: Stop right there!\Wendy...\I think something like this should be carried out with a plan!\A plan?\What are you talking about?\The showdown is tomorrow!\I don't know what you mean, but fine.\Alright, our battle's tomorrow. response:	Let's have it at the Sola tree in the South Gate Park!
context: Wendy...\I think something like this should be carried out with a plan!\A plan?\What are you talking about?\The showdown is tomorrow!\I don't know what you mean, but fine.\Alright, our battle's tomorrow.\Let's have it at the Sola tree in the South Gate Park! response:	And you fight me after that.
context: I think something like this should be carried out with a plan!\A plan?\What are you talking about?\The showdown is tomorrow!\I don't know what you mean, but fine.\Alright, our battle's tomorrow.\Let's have it at the Sola tree in the South Gate Park!\And you fight me after that. response:	Whatever...
context: A plan?\What are you talking about?\The showdown is tomorrow!\I don't know what you mean, but fine.\Alright, our battle's tomorrow.\Let's have it at the Sola tree in the South Gate Park!\And you fight me after that.\Whatever... response:	A duel, seriously?!
context: What are you talking about?\The showdown is tomorrow!\I don't know what you mean, but fine.\Alright, our battle's tomorrow.\Let's have it at the Sola tree in the South Gate Park!\And you fight me after that.\Whatever...\A duel, seriously?! response:	Those two never learn their lesson...
context: The showdown is tomorrow!\I don't know what you mean, but fine.\Alright, our battle's tomorrow.\Let's have it at the Sola tree in the South Gate Park!\And you fight me after that.\Whatever...\A duel, seriously?!\Those two never learn their lesson... response:	I guess Laxus has been living in a corner of Magnolia.
context: I don't know what you mean, but fine.\Alright, our battle's tomorrow.\Let's have it at the Sola tree in the South Gate Park!\And you fight me after that.\Whatever...\A duel, seriously?!\Those two never learn their lesson...\I guess Laxus has been living in a corner of Magnolia. response:	Who cares about that?! Showdowns are a Man!
context: Alright, our battle's tomorrow.\Let's have it at the Sola tree in the South Gate Park!\And you fight me after that.\Whatever...\A duel, seriously?!\Those two never learn their lesson...\I guess Laxus has been living in a corner of Magnolia.\Who cares about that?! Showdowns are a Man! response:	But are Natsu and Gajeel going to be okay?
context: Let's have it at the Sola tree in the South Gate Park!\And you fight me after that.\Whatever...\A duel, seriously?!\Those two never learn their lesson...\I guess Laxus has been living in a corner of Magnolia.\Who cares about that?! Showdowns are a Man!\But are Natsu and Gajeel going to be okay? response:	Look, you...
context: And you fight me after that.\Whatever...\A duel, seriously?!\Those two never learn their lesson...\I guess Laxus has been living in a corner of Magnolia.\Who cares about that?! Showdowns are a Man!\But are Natsu and Gajeel going to be okay?\Look, you... response:	Well, I don't think there is any way you can have a safe battle with Laxus...
context: Whatever...\A duel, seriously?!\Those two never learn their lesson...\I guess Laxus has been living in a corner of Magnolia.\Who cares about that?! Showdowns are a Man!\But are Natsu and Gajeel going to be okay?\Look, you...\Well, I don't think there is any way you can have a safe battle with Laxus... response:	Is Laxus really that strong?
context: A duel, seriously?!\Those two never learn their lesson...\I guess Laxus has been living in a corner of Magnolia.\Who cares about that?! Showdowns are a Man!\But are Natsu and Gajeel going to be okay?\Look, you...\Well, I don't think there is any way you can have a safe battle with Laxus...\Is Laxus really that strong? response:	Strong, hell. When he was part of the guild,
context: Those two never learn their lesson...\I guess Laxus has been living in a corner of Magnolia.\Who cares about that?! Showdowns are a Man!\But are Natsu and Gajeel going to be okay?\Look, you...\Well, I don't think there is any way you can have a safe battle with Laxus...\Is Laxus really that strong?\Strong, hell. When he was part of the guild, response:	he was probably only second to Gildarts when it came to strength.
context: I guess Laxus has been living in a corner of Magnolia.\Who cares about that?! Showdowns are a Man!\But are Natsu and Gajeel going to be okay?\Look, you...\Well, I don't think there is any way you can have a safe battle with Laxus...\Is Laxus really that strong?\Strong, hell. When he was part of the guild,\he was probably only second to Gildarts when it came to strength. response:	Okay! As Master here, it's my duty to liven this up!
context: Who cares about that?! Showdowns are a Man!\But are Natsu and Gajeel going to be okay?\Look, you...\Well, I don't think there is any way you can have a safe battle with Laxus...\Is Laxus really that strong?\Strong, hell. When he was part of the guild,\he was probably only second to Gildarts when it came to strength.\Okay! As Master here, it's my duty to liven this up! response:	Festival, I say! Festival!
context: But are Natsu and Gajeel going to be okay?\Look, you...\Well, I don't think there is any way you can have a safe battle with Laxus...\Is Laxus really that strong?\Strong, hell. When he was part of the guild,\he was probably only second to Gildarts when it came to strength.\Okay! As Master here, it's my duty to liven this up!\Festival, I say! Festival! response:	Festivals are a Man!
context: Look, you...\Well, I don't think there is any way you can have a safe battle with Laxus...\Is Laxus really that strong?\Strong, hell. When he was part of the guild,\he was probably only second to Gildarts when it came to strength.\Okay! As Master here, it's my duty to liven this up!\Festival, I say! Festival!\Festivals are a Man! response:	That's a great idea! It's a rare occasion, so let's have fun with it!
context: Well, I don't think there is any way you can have a safe battle with Laxus...\Is Laxus really that strong?\Strong, hell. When he was part of the guild,\he was probably only second to Gildarts when it came to strength.\Okay! As Master here, it's my duty to liven this up!\Festival, I say! Festival!\Festivals are a Man!\That's a great idea! It's a rare occasion, so let's have fun with it! response:	Agreed!
context: Is Laxus really that strong?\Strong, hell. When he was part of the guild,\he was probably only second to Gildarts when it came to strength.\Okay! As Master here, it's my duty to liven this up!\Festival, I say! Festival!\Festivals are a Man!\That's a great idea! It's a rare occasion, so let's have fun with it!\Agreed! response:	Hey!
context: Strong, hell. When he was part of the guild,\he was probably only second to Gildarts when it came to strength.\Okay! As Master here, it's my duty to liven this up!\Festival, I say! Festival!\Festivals are a Man!\That's a great idea! It's a rare occasion, so let's have fun with it!\Agreed!\Hey! response:	What the heck is this?! There's a festival goin' on?!
context: he was probably only second to Gildarts when it came to strength.\Okay! As Master here, it's my duty to liven this up!\Festival, I say! Festival!\Festivals are a Man!\That's a great idea! It's a rare occasion, so let's have fun with it!\Agreed!\Hey!\What the heck is this?! There's a festival goin' on?! response:	Looks like everyone's having a good time!
