context: My first time switching schools... response:	Dad decided to open a studio in the countryside,
context: Thanks again for before.\The fireworks.\You're here for the fireworks, right?\Not too many are around yet, but there'll be more people.\I moved here.\There's a fireworks festival today?\Yeah.\Oh, yeah? response:	There's a beach and a pier to the right of that harbor.
context: The fireworks.\You're here for the fireworks, right?\Not too many are around yet, but there'll be more people.\I moved here.\There's a fireworks festival today?\Yeah.\Oh, yeah?\There's a beach and a pier to the right of that harbor. response:	That's the stage for the fireworks.
context: You're here for the fireworks, right?\Not too many are around yet, but there'll be more people.\I moved here.\There's a fireworks festival today?\Yeah.\Oh, yeah?\There's a beach and a pier to the right of that harbor.\That's the stage for the fireworks. response:	Ah.
context: Not too many are around yet, but there'll be more people.\I moved here.\There's a fireworks festival today?\Yeah.\Oh, yeah?\There's a beach and a pier to the right of that harbor.\That's the stage for the fireworks.\Ah. response:	Cafe Kazemichi
context: I moved here.\There's a fireworks festival today?\Yeah.\Oh, yeah?\There's a beach and a pier to the right of that harbor.\That's the stage for the fireworks.\Ah.\Cafe Kazemichi response:	Kakeru's late.
context: There's a fireworks festival today?\Yeah.\Oh, yeah?\There's a beach and a pier to the right of that harbor.\That's the stage for the fireworks.\Ah.\Cafe Kazemichi\Kakeru's late. response:	I bet he's snowed in and stuck in his tent.
context: Yeah.\Oh, yeah?\There's a beach and a pier to the right of that harbor.\That's the stage for the fireworks.\Ah.\Cafe Kazemichi\Kakeru's late.\I bet he's snowed in and stuck in his tent. response:	He's still living in his tent? In this snow?
context: Oh, yeah?\There's a beach and a pier to the right of that harbor.\That's the stage for the fireworks.\Ah.\Cafe Kazemichi\Kakeru's late.\I bet he's snowed in and stuck in his tent.\He's still living in his tent? In this snow? response:	I doubt it.
context: There's a beach and a pier to the right of that harbor.\That's the stage for the fireworks.\Ah.\Cafe Kazemichi\Kakeru's late.\I bet he's snowed in and stuck in his tent.\He's still living in his tent? In this snow?\I doubt it. response:	If Sacchan says no, then no.
context: That's the stage for the fireworks.\Ah.\Cafe Kazemichi\Kakeru's late.\I bet he's snowed in and stuck in his tent.\He's still living in his tent? In this snow?\I doubt it.\If Sacchan says no, then no. response:	Say what?
context: Ah.\Cafe Kazemichi\Kakeru's late.\I bet he's snowed in and stuck in his tent.\He's still living in his tent? In this snow?\I doubt it.\If Sacchan says no, then no.\Say what? response:	Hey.
context: Cafe Kazemichi\Kakeru's late.\I bet he's snowed in and stuck in his tent.\He's still living in his tent? In this snow?\I doubt it.\If Sacchan says no, then no.\Say what?\Hey. response:	Here's your hot orange.
context: Kakeru's late.\I bet he's snowed in and stuck in his tent.\He's still living in his tent? In this snow?\I doubt it.\If Sacchan says no, then no.\Say what?\Hey.\Here's your hot orange. response:	I'm Touko Fukami.
context: I bet he's snowed in and stuck in his tent.\He's still living in his tent? In this snow?\I doubt it.\If Sacchan says no, then no.\Say what?\Hey.\Here's your hot orange.\I'm Touko Fukami. response:	Nice to meet you.
context: He's still living in his tent? In this snow?\I doubt it.\If Sacchan says no, then no.\Say what?\Hey.\Here's your hot orange.\I'm Touko Fukami.\Nice to meet you. response:	So, are you going to introduce yourselves?
context: I doubt it.\If Sacchan says no, then no.\Say what?\Hey.\Here's your hot orange.\I'm Touko Fukami.\Nice to meet you.\So, are you going to introduce yourselves? response:	Oh, right.
context: If Sacchan says no, then no.\Say what?\Hey.\Here's your hot orange.\I'm Touko Fukami.\Nice to meet you.\So, are you going to introduce yourselves?\Oh, right. response:	I'm Hiro Shirosaki.
context: Say what?\Hey.\Here's your hot orange.\I'm Touko Fukami.\Nice to meet you.\So, are you going to introduce yourselves?\Oh, right.\I'm Hiro Shirosaki. response:	My name's Yanagi Takayama.
context: Hey.\Here's your hot orange.\I'm Touko Fukami.\Nice to meet you.\So, are you going to introduce yourselves?\Oh, right.\I'm Hiro Shirosaki.\My name's Yanagi Takayama. response:	I'm Yukinari Imi.
context: Here's your hot orange.\I'm Touko Fukami.\Nice to meet you.\So, are you going to introduce yourselves?\Oh, right.\I'm Hiro Shirosaki.\My name's Yanagi Takayama.\I'm Yukinari Imi. response:	What's with that? Yuki was just staring at Fukami-san.
context: I'm Touko Fukami.\Nice to meet you.\So, are you going to introduce yourselves?\Oh, right.\I'm Hiro Shirosaki.\My name's Yanagi Takayama.\I'm Yukinari Imi.\What's with that? Yuki was just staring at Fukami-san. response:	Yukinari falls in love with everyone.
context: Nice to meet you.\So, are you going to introduce yourselves?\Oh, right.\I'm Hiro Shirosaki.\My name's Yanagi Takayama.\I'm Yukinari Imi.\What's with that? Yuki was just staring at Fukami-san.\Yukinari falls in love with everyone. response:	Dude.
context: So, are you going to introduce yourselves?\Oh, right.\I'm Hiro Shirosaki.\My name's Yanagi Takayama.\I'm Yukinari Imi.\What's with that? Yuki was just staring at Fukami-san.\Yukinari falls in love with everyone.\Dude. response:	It'll be my job to show her
context: Oh, right.\I'm Hiro Shirosaki.\My name's Yanagi Takayama.\I'm Yukinari Imi.\What's with that? Yuki was just staring at Fukami-san.\Yukinari falls in love with everyone.\Dude.\It'll be my job to show her response:	around Hinode-hama today.
context: I'm Hiro Shirosaki.\My name's Yanagi Takayama.\I'm Yukinari Imi.\What's with that? Yuki was just staring at Fukami-san.\Yukinari falls in love with everyone.\Dude.\It'll be my job to show her\around Hinode-hama today. response:	Too bad, Yuki.
context: My name's Yanagi Takayama.\I'm Yukinari Imi.\What's with that? Yuki was just staring at Fukami-san.\Yukinari falls in love with everyone.\Dude.\It'll be my job to show her\around Hinode-hama today.\Too bad, Yuki. response:	I'm Sachi Nagamiya. Nice to meet you.
context: I'm Yukinari Imi.\What's with that? Yuki was just staring at Fukami-san.\Yukinari falls in love with everyone.\Dude.\It'll be my job to show her\around Hinode-hama today.\Too bad, Yuki.\I'm Sachi Nagamiya. Nice to meet you. response:	Nice to meet you, too.
context: What's with that? Yuki was just staring at Fukami-san.\Yukinari falls in love with everyone.\Dude.\It'll be my job to show her\around Hinode-hama today.\Too bad, Yuki.\I'm Sachi Nagamiya. Nice to meet you.\Nice to meet you, too. response:	My father is opening a studio here.
context: Yukinari falls in love with everyone.\Dude.\It'll be my job to show her\around Hinode-hama today.\Too bad, Yuki.\I'm Sachi Nagamiya. Nice to meet you.\Nice to meet you, too.\My father is opening a studio here. response:	A studio?
context: Dude.\It'll be my job to show her\around Hinode-hama today.\Too bad, Yuki.\I'm Sachi Nagamiya. Nice to meet you.\Nice to meet you, too.\My father is opening a studio here.\A studio? response:	Yeah, he makes art glass and vases and things.
context: It'll be my job to show her\around Hinode-hama today.\Too bad, Yuki.\I'm Sachi Nagamiya. Nice to meet you.\Nice to meet you, too.\My father is opening a studio here.\A studio?\Yeah, he makes art glass and vases and things. response:	That's so cool.
context: around Hinode-hama today.\Too bad, Yuki.\I'm Sachi Nagamiya. Nice to meet you.\Nice to meet you, too.\My father is opening a studio here.\A studio?\Yeah, he makes art glass and vases and things.\That's so cool. response:	I think it's a lot more hot and tedious than you might think.
context: Too bad, Yuki.\I'm Sachi Nagamiya. Nice to meet you.\Nice to meet you, too.\My father is opening a studio here.\A studio?\Yeah, he makes art glass and vases and things.\That's so cool.\I think it's a lot more hot and tedious than you might think. response:	You're here for the fireworks, right? The fireworks here are pretty awesome.
context: I'm Sachi Nagamiya. Nice to meet you.\Nice to meet you, too.\My father is opening a studio here.\A studio?\Yeah, he makes art glass and vases and things.\That's so cool.\I think it's a lot more hot and tedious than you might think.\You're here for the fireworks, right? The fireworks here are pretty awesome. response:	Well...
context: Nice to meet you, too.\My father is opening a studio here.\A studio?\Yeah, he makes art glass and vases and things.\That's so cool.\I think it's a lot more hot and tedious than you might think.\You're here for the fireworks, right? The fireworks here are pretty awesome.\Well... response:	Apparently, she didn't know about the fireworks today.
context: My father is opening a studio here.\A studio?\Yeah, he makes art glass and vases and things.\That's so cool.\I think it's a lot more hot and tedious than you might think.\You're here for the fireworks, right? The fireworks here are pretty awesome.\Well...\Apparently, she didn't know about the fireworks today. response:	Oh, yeah?
context: A studio?\Yeah, he makes art glass and vases and things.\That's so cool.\I think it's a lot more hot and tedious than you might think.\You're here for the fireworks, right? The fireworks here are pretty awesome.\Well...\Apparently, she didn't know about the fireworks today.\Oh, yeah? response:	We all get together every year to watch the fireworks
context: Yeah, he makes art glass and vases and things.\That's so cool.\I think it's a lot more hot and tedious than you might think.\You're here for the fireworks, right? The fireworks here are pretty awesome.\Well...\Apparently, she didn't know about the fireworks today.\Oh, yeah?\We all get together every year to watch the fireworks response:	from a place called Hinode-hama Shrine.
context: That's so cool.\I think it's a lot more hot and tedious than you might think.\You're here for the fireworks, right? The fireworks here are pretty awesome.\Well...\Apparently, she didn't know about the fireworks today.\Oh, yeah?\We all get together every year to watch the fireworks\from a place called Hinode-hama Shrine. response:	It's been a long time now. All the way from elementary school?
context: I think it's a lot more hot and tedious than you might think.\You're here for the fireworks, right? The fireworks here are pretty awesome.\Well...\Apparently, she didn't know about the fireworks today.\Oh, yeah?\We all get together every year to watch the fireworks\from a place called Hinode-hama Shrine.\It's been a long time now. All the way from elementary school? response:	I think it's been like that ever since we set up
context: You're here for the fireworks, right? The fireworks here are pretty awesome.\Well...\Apparently, she didn't know about the fireworks today.\Oh, yeah?\We all get together every year to watch the fireworks\from a place called Hinode-hama Shrine.\It's been a long time now. All the way from elementary school?\I think it's been like that ever since we set up response:	a weird new rule when we were younger
context: Well...\Apparently, she didn't know about the fireworks today.\Oh, yeah?\We all get together every year to watch the fireworks\from a place called Hinode-hama Shrine.\It's been a long time now. All the way from elementary school?\I think it's been like that ever since we set up\a weird new rule when we were younger response:	that we always had to be in groups of three.
context: Apparently, she didn't know about the fireworks today.\Oh, yeah?\We all get together every year to watch the fireworks\from a place called Hinode-hama Shrine.\It's been a long time now. All the way from elementary school?\I think it's been like that ever since we set up\a weird new rule when we were younger\that we always had to be in groups of three. response:	It's something that ends up happening without anyone really talking about it.
context: Oh, yeah?\We all get together every year to watch the fireworks\from a place called Hinode-hama Shrine.\It's been a long time now. All the way from elementary school?\I think it's been like that ever since we set up\a weird new rule when we were younger\that we always had to be in groups of three.\It's something that ends up happening without anyone really talking about it. response:	You should come with us.
context: We all get together every year to watch the fireworks\from a place called Hinode-hama Shrine.\It's been a long time now. All the way from elementary school?\I think it's been like that ever since we set up\a weird new rule when we were younger\that we always had to be in groups of three.\It's something that ends up happening without anyone really talking about it.\You should come with us. response:	It'll be twice as fun.
context: from a place called Hinode-hama Shrine.\It's been a long time now. All the way from elementary school?\I think it's been like that ever since we set up\a weird new rule when we were younger\that we always had to be in groups of three.\It's something that ends up happening without anyone really talking about it.\You should come with us.\It'll be twice as fun. response:	May I?
context: It's been a long time now. All the way from elementary school?\I think it's been like that ever since we set up\a weird new rule when we were younger\that we always had to be in groups of three.\It's something that ends up happening without anyone really talking about it.\You should come with us.\It'll be twice as fun.\May I? response:	Of course. Right, Yuki?
context: I think it's been like that ever since we set up\a weird new rule when we were younger\that we always had to be in groups of three.\It's something that ends up happening without anyone really talking about it.\You should come with us.\It'll be twice as fun.\May I?\Of course. Right, Yuki? response:	Of course.
context: a weird new rule when we were younger\that we always had to be in groups of three.\It's something that ends up happening without anyone really talking about it.\You should come with us.\It'll be twice as fun.\May I?\Of course. Right, Yuki?\Of course. response:	It's settled, then.
context: that we always had to be in groups of three.\It's something that ends up happening without anyone really talking about it.\You should come with us.\It'll be twice as fun.\May I?\Of course. Right, Yuki?\Of course.\It's settled, then. response:	Okay.
context: It's something that ends up happening without anyone really talking about it.\You should come with us.\It'll be twice as fun.\May I?\Of course. Right, Yuki?\Of course.\It's settled, then.\Okay. response:	Are you not used to the snow?
context: You should come with us.\It'll be twice as fun.\May I?\Of course. Right, Yuki?\Of course.\It's settled, then.\Okay.\Are you not used to the snow? response:	Yeah, I grew up where there's no snow.
context: It'll be twice as fun.\May I?\Of course. Right, Yuki?\Of course.\It's settled, then.\Okay.\Are you not used to the snow?\Yeah, I grew up where there's no snow. response:	Try to keep your center of gravity straight above your body,
context: May I?\Of course. Right, Yuki?\Of course.\It's settled, then.\Okay.\Are you not used to the snow?\Yeah, I grew up where there's no snow.\Try to keep your center of gravity straight above your body, response:	and walk in small steps.
context: Of course. Right, Yuki?\Of course.\It's settled, then.\Okay.\Are you not used to the snow?\Yeah, I grew up where there's no snow.\Try to keep your center of gravity straight above your body,\and walk in small steps. response:	Thanks.
context: Of course.\It's settled, then.\Okay.\Are you not used to the snow?\Yeah, I grew up where there's no snow.\Try to keep your center of gravity straight above your body,\and walk in small steps.\Thanks. response:	You can see all of Hinode-hama from the deck on the fourth floor here.
context: It's settled, then.\Okay.\Are you not used to the snow?\Yeah, I grew up where there's no snow.\Try to keep your center of gravity straight above your body,\and walk in small steps.\Thanks.\You can see all of Hinode-hama from the deck on the fourth floor here. response:	Want to go up?
context: Okay.\Are you not used to the snow?\Yeah, I grew up where there's no snow.\Try to keep your center of gravity straight above your body,\and walk in small steps.\Thanks.\You can see all of Hinode-hama from the deck on the fourth floor here.\Want to go up? response:	I can't wait for the fireworks.
context: Are you not used to the snow?\Yeah, I grew up where there's no snow.\Try to keep your center of gravity straight above your body,\and walk in small steps.\Thanks.\You can see all of Hinode-hama from the deck on the fourth floor here.\Want to go up?\I can't wait for the fireworks. response:	You don't really hear about fireworks in the winter, do you?
context: Yeah, I grew up where there's no snow.\Try to keep your center of gravity straight above your body,\and walk in small steps.\Thanks.\You can see all of Hinode-hama from the deck on the fourth floor here.\Want to go up?\I can't wait for the fireworks.\You don't really hear about fireworks in the winter, do you? response:	Yeah. I wonder what fireworks are like in the snow.
context: Try to keep your center of gravity straight above your body,\and walk in small steps.\Thanks.\You can see all of Hinode-hama from the deck on the fourth floor here.\Want to go up?\I can't wait for the fireworks.\You don't really hear about fireworks in the winter, do you?\Yeah. I wonder what fireworks are like in the snow. response:	You probably wouldn't be able to see them anywhere else.
context: and walk in small steps.\Thanks.\You can see all of Hinode-hama from the deck on the fourth floor here.\Want to go up?\I can't wait for the fireworks.\You don't really hear about fireworks in the winter, do you?\Yeah. I wonder what fireworks are like in the snow.\You probably wouldn't be able to see them anywhere else. response:	Everyone else is looking forward to going with you, too, Touko.
context: Thanks.\You can see all of Hinode-hama from the deck on the fourth floor here.\Want to go up?\I can't wait for the fireworks.\You don't really hear about fireworks in the winter, do you?\Yeah. I wonder what fireworks are like in the snow.\You probably wouldn't be able to see them anywhere else.\Everyone else is looking forward to going with you, too, Touko. response:	You're calling me by my first name.
context: You can see all of Hinode-hama from the deck on the fourth floor here.\Want to go up?\I can't wait for the fireworks.\You don't really hear about fireworks in the winter, do you?\Yeah. I wonder what fireworks are like in the snow.\You probably wouldn't be able to see them anywhere else.\Everyone else is looking forward to going with you, too, Touko.\You're calling me by my first name. response:	Touko, are you going to Hinode-hama High School for your third year?
context: Want to go up?\I can't wait for the fireworks.\You don't really hear about fireworks in the winter, do you?\Yeah. I wonder what fireworks are like in the snow.\You probably wouldn't be able to see them anywhere else.\Everyone else is looking forward to going with you, too, Touko.\You're calling me by my first name.\Touko, are you going to Hinode-hama High School for your third year? response:	Yeah, I hope to.
context: I can't wait for the fireworks.\You don't really hear about fireworks in the winter, do you?\Yeah. I wonder what fireworks are like in the snow.\You probably wouldn't be able to see them anywhere else.\Everyone else is looking forward to going with you, too, Touko.\You're calling me by my first name.\Touko, are you going to Hinode-hama High School for your third year?\Yeah, I hope to. response:	Must be tough transferring in your third year.
context: You don't really hear about fireworks in the winter, do you?\Yeah. I wonder what fireworks are like in the snow.\You probably wouldn't be able to see them anywhere else.\Everyone else is looking forward to going with you, too, Touko.\You're calling me by my first name.\Touko, are you going to Hinode-hama High School for your third year?\Yeah, I hope to.\Must be tough transferring in your third year. response:	I'm want to go to art school, so it's probably more about practice than studying.
context: Yeah. I wonder what fireworks are like in the snow.\You probably wouldn't be able to see them anywhere else.\Everyone else is looking forward to going with you, too, Touko.\You're calling me by my first name.\Touko, are you going to Hinode-hama High School for your third year?\Yeah, I hope to.\Must be tough transferring in your third year.\I'm want to go to art school, so it's probably more about practice than studying. response:	Oh, yeah?
context: You probably wouldn't be able to see them anywhere else.\Everyone else is looking forward to going with you, too, Touko.\You're calling me by my first name.\Touko, are you going to Hinode-hama High School for your third year?\Yeah, I hope to.\Must be tough transferring in your third year.\I'm want to go to art school, so it's probably more about practice than studying.\Oh, yeah? response:	Are you taking over for your father?
context: Everyone else is looking forward to going with you, too, Touko.\You're calling me by my first name.\Touko, are you going to Hinode-hama High School for your third year?\Yeah, I hope to.\Must be tough transferring in your third year.\I'm want to go to art school, so it's probably more about practice than studying.\Oh, yeah?\Are you taking over for your father? response:	I haven't decided yet.
context: You're calling me by my first name.\Touko, are you going to Hinode-hama High School for your third year?\Yeah, I hope to.\Must be tough transferring in your third year.\I'm want to go to art school, so it's probably more about practice than studying.\Oh, yeah?\Are you taking over for your father?\I haven't decided yet. response:	I've never been outside this town, so I don't really know.
context: Touko, are you going to Hinode-hama High School for your third year?\Yeah, I hope to.\Must be tough transferring in your third year.\I'm want to go to art school, so it's probably more about practice than studying.\Oh, yeah?\Are you taking over for your father?\I haven't decided yet.\I've never been outside this town, so I don't really know. response:	What's it like being in a new town?
context: Yeah, I hope to.\Must be tough transferring in your third year.\I'm want to go to art school, so it's probably more about practice than studying.\Oh, yeah?\Are you taking over for your father?\I haven't decided yet.\I've never been outside this town, so I don't really know.\What's it like being in a new town? response:	It's exciting.
context: Must be tough transferring in your third year.\I'm want to go to art school, so it's probably more about practice than studying.\Oh, yeah?\Are you taking over for your father?\I haven't decided yet.\I've never been outside this town, so I don't really know.\What's it like being in a new town?\It's exciting. response:	I want to see the city more before the fireworks start.
context: I'm want to go to art school, so it's probably more about practice than studying.\Oh, yeah?\Are you taking over for your father?\I haven't decided yet.\I've never been outside this town, so I don't really know.\What's it like being in a new town?\It's exciting.\I want to see the city more before the fireworks start. response:	I'll show you around some more.
context: Oh, yeah?\Are you taking over for your father?\I haven't decided yet.\I've never been outside this town, so I don't really know.\What's it like being in a new town?\It's exciting.\I want to see the city more before the fireworks start.\I'll show you around some more. response:	Thanks.
context: Are you taking over for your father?\I haven't decided yet.\I've never been outside this town, so I don't really know.\What's it like being in a new town?\It's exciting.\I want to see the city more before the fireworks start.\I'll show you around some more.\Thanks. response:	But I'll try walking by myself.
context: I haven't decided yet.\I've never been outside this town, so I don't really know.\What's it like being in a new town?\It's exciting.\I want to see the city more before the fireworks start.\I'll show you around some more.\Thanks.\But I'll try walking by myself. response:	Yeah? Good idea.
context: I've never been outside this town, so I don't really know.\What's it like being in a new town?\It's exciting.\I want to see the city more before the fireworks start.\I'll show you around some more.\Thanks.\But I'll try walking by myself.\Yeah? Good idea. response:	It's not a big town, and everyone's nice.
context: What's it like being in a new town?\It's exciting.\I want to see the city more before the fireworks start.\I'll show you around some more.\Thanks.\But I'll try walking by myself.\Yeah? Good idea.\It's not a big town, and everyone's nice. response:	I heard there's a new girl.
context: It's exciting.\I want to see the city more before the fireworks start.\I'll show you around some more.\Thanks.\But I'll try walking by myself.\Yeah? Good idea.\It's not a big town, and everyone's nice.\I heard there's a new girl. response:	I won't ask you to knock anymore,
context: I want to see the city more before the fireworks start.\I'll show you around some more.\Thanks.\But I'll try walking by myself.\Yeah? Good idea.\It's not a big town, and everyone's nice.\I heard there's a new girl.\I won't ask you to knock anymore, response:	but when you're coming up to a boy's room,
context: I'll show you around some more.\Thanks.\But I'll try walking by myself.\Yeah? Good idea.\It's not a big town, and everyone's nice.\I heard there's a new girl.\I won't ask you to knock anymore,\but when you're coming up to a boy's room, response:	can you at least put out a vibe that you're approaching?
context: Thanks.\But I'll try walking by myself.\Yeah? Good idea.\It's not a big town, and everyone's nice.\I heard there's a new girl.\I won't ask you to knock anymore,\but when you're coming up to a boy's room,\can you at least put out a vibe that you're approaching? response:	Why?
context: But I'll try walking by myself.\Yeah? Good idea.\It's not a big town, and everyone's nice.\I heard there's a new girl.\I won't ask you to knock anymore,\but when you're coming up to a boy's room,\can you at least put out a vibe that you're approaching?\Why? response:	Why? Because it's dangerous.
context: Yeah? Good idea.\It's not a big town, and everyone's nice.\I heard there's a new girl.\I won't ask you to knock anymore,\but when you're coming up to a boy's room,\can you at least put out a vibe that you're approaching?\Why?\Why? Because it's dangerous. response:	So how was she?
context: It's not a big town, and everyone's nice.\I heard there's a new girl.\I won't ask you to knock anymore,\but when you're coming up to a boy's room,\can you at least put out a vibe that you're approaching?\Why?\Why? Because it's dangerous.\So how was she? response:	She's passable.
context: I heard there's a new girl.\I won't ask you to knock anymore,\but when you're coming up to a boy's room,\can you at least put out a vibe that you're approaching?\Why?\Why? Because it's dangerous.\So how was she?\She's passable. response:	Nothing can beat the tragic glasses girl, huh?
context: I won't ask you to knock anymore,\but when you're coming up to a boy's room,\can you at least put out a vibe that you're approaching?\Why?\Why? Because it's dangerous.\So how was she?\She's passable.\Nothing can beat the tragic glasses girl, huh? response:	Go away, if you have nothing to say.
context: but when you're coming up to a boy's room,\can you at least put out a vibe that you're approaching?\Why?\Why? Because it's dangerous.\So how was she?\She's passable.\Nothing can beat the tragic glasses girl, huh?\Go away, if you have nothing to say. response:	Fine, fine.
context: can you at least put out a vibe that you're approaching?\Why?\Why? Because it's dangerous.\So how was she?\She's passable.\Nothing can beat the tragic glasses girl, huh?\Go away, if you have nothing to say.\Fine, fine. response:	Tee hee!
context: Why?\Why? Because it's dangerous.\So how was she?\She's passable.\Nothing can beat the tragic glasses girl, huh?\Go away, if you have nothing to say.\Fine, fine.\Tee hee! response:	Dammit!
context: Why? Because it's dangerous.\So how was she?\She's passable.\Nothing can beat the tragic glasses girl, huh?\Go away, if you have nothing to say.\Fine, fine.\Tee hee!\Dammit! response:	Don't overdo it just because you seem okay.
context: So how was she?\She's passable.\Nothing can beat the tragic glasses girl, huh?\Go away, if you have nothing to say.\Fine, fine.\Tee hee!\Dammit!\Don't overdo it just because you seem okay. response:	Roger. It'd be a shame if I got injured.
context: She's passable.\Nothing can beat the tragic glasses girl, huh?\Go away, if you have nothing to say.\Fine, fine.\Tee hee!\Dammit!\Don't overdo it just because you seem okay.\Roger. It'd be a shame if I got injured. response:	Hurry up. It's cold.
context: Nothing can beat the tragic glasses girl, huh?\Go away, if you have nothing to say.\Fine, fine.\Tee hee!\Dammit!\Don't overdo it just because you seem okay.\Roger. It'd be a shame if I got injured.\Hurry up. It's cold. response:	Twelve more seconds.
context: Go away, if you have nothing to say.\Fine, fine.\Tee hee!\Dammit!\Don't overdo it just because you seem okay.\Roger. It'd be a shame if I got injured.\Hurry up. It's cold.\Twelve more seconds. response:	Fine, fine.
context: Fine, fine.\Tee hee!\Dammit!\Don't overdo it just because you seem okay.\Roger. It'd be a shame if I got injured.\Hurry up. It's cold.\Twelve more seconds.\Fine, fine. response:	Your routine is important to you. I get it.
context: Tee hee!\Dammit!\Don't overdo it just because you seem okay.\Roger. It'd be a shame if I got injured.\Hurry up. It's cold.\Twelve more seconds.\Fine, fine.\Your routine is important to you. I get it. response:	That girl...
context: Dammit!\Don't overdo it just because you seem okay.\Roger. It'd be a shame if I got injured.\Hurry up. It's cold.\Twelve more seconds.\Fine, fine.\Your routine is important to you. I get it.\That girl... response:	Fukami-san?
context: Don't overdo it just because you seem okay.\Roger. It'd be a shame if I got injured.\Hurry up. It's cold.\Twelve more seconds.\Fine, fine.\Your routine is important to you. I get it.\That girl...\Fukami-san? response:	Yeah?
context: Roger. It'd be a shame if I got injured.\Hurry up. It's cold.\Twelve more seconds.\Fine, fine.\Your routine is important to you. I get it.\That girl...\Fukami-san?\Yeah? response:	She's cute, don't you think?
context: Hurry up. It's cold.\Twelve more seconds.\Fine, fine.\Your routine is important to you. I get it.\That girl...\Fukami-san?\Yeah?\She's cute, don't you think? response:	So cold.
