context: Mongolia response:	Pub
context: We've definitely gone down a thorny path.\No, thanks. If I drink any more, I'll definitely feel it tomorrow.\That's for sure.\Well, if they were like they were during the Seijoh match,\they could have probably won a few more.\Manabu, are you saying you're too good for my liquor?\The team's offense was styled around Hinata and Kageyama's\weirdo quick and their bait routine, and they executed them well. response:	No, um...
context: No, thanks. If I drink any more, I'll definitely feel it tomorrow.\That's for sure.\Well, if they were like they were during the Seijoh match,\they could have probably won a few more.\Manabu, are you saying you're too good for my liquor?\The team's offense was styled around Hinata and Kageyama's\weirdo quick and their bait routine, and they executed them well.\No, um... response:	I'm just kidding!
context: That's for sure.\Well, if they were like they were during the Seijoh match,\they could have probably won a few more.\Manabu, are you saying you're too good for my liquor?\The team's offense was styled around Hinata and Kageyama's\weirdo quick and their bait routine, and they executed them well.\No, um...\I'm just kidding! response:	But we could see the limits of that strategy.
context: Well, if they were like they were during the Seijoh match,\they could have probably won a few more.\Manabu, are you saying you're too good for my liquor?\The team's offense was styled around Hinata and Kageyama's\weirdo quick and their bait routine, and they executed them well.\No, um...\I'm just kidding!\But we could see the limits of that strategy. response:	The truth is that they lost to Seijoh,
context: they could have probably won a few more.\Manabu, are you saying you're too good for my liquor?\The team's offense was styled around Hinata and Kageyama's\weirdo quick and their bait routine, and they executed them well.\No, um...\I'm just kidding!\But we could see the limits of that strategy.\The truth is that they lost to Seijoh, response:	and that's why they started changing things up.
context: Manabu, are you saying you're too good for my liquor?\The team's offense was styled around Hinata and Kageyama's\weirdo quick and their bait routine, and they executed them well.\No, um...\I'm just kidding!\But we could see the limits of that strategy.\The truth is that they lost to Seijoh,\and that's why they started changing things up. response:	I know.
context: The team's offense was styled around Hinata and Kageyama's\weirdo quick and their bait routine, and they executed them well.\No, um...\I'm just kidding!\But we could see the limits of that strategy.\The truth is that they lost to Seijoh,\and that's why they started changing things up.\I know. response:	They're all developing their own cogs.
context: weirdo quick and their bait routine, and they executed them well.\No, um...\I'm just kidding!\But we could see the limits of that strategy.\The truth is that they lost to Seijoh,\and that's why they started changing things up.\I know.\They're all developing their own cogs. response:	There's no way they could beat
context: No, um...\I'm just kidding!\But we could see the limits of that strategy.\The truth is that they lost to Seijoh,\and that's why they started changing things up.\I know.\They're all developing their own cogs.\There's no way they could beat response:	the powerhouse schools of Kanto while they're still incomplete.
context: I'm just kidding!\But we could see the limits of that strategy.\The truth is that they lost to Seijoh,\and that's why they started changing things up.\I know.\They're all developing their own cogs.\There's no way they could beat\the powerhouse schools of Kanto while they're still incomplete. response:	But... Once all the cogs fit together...
context: But we could see the limits of that strategy.\The truth is that they lost to Seijoh,\and that's why they started changing things up.\I know.\They're all developing their own cogs.\There's no way they could beat\the powerhouse schools of Kanto while they're still incomplete.\But... Once all the cogs fit together... response:	Hey! Don't think that you can beat Nekoma that easily.
context: The truth is that they lost to Seijoh,\and that's why they started changing things up.\I know.\They're all developing their own cogs.\There's no way they could beat\the powerhouse schools of Kanto while they're still incomplete.\But... Once all the cogs fit together...\Hey! Don't think that you can beat Nekoma that easily. response:	I certainly didn't mean to say that it would be easy!
context: and that's why they started changing things up.\I know.\They're all developing their own cogs.\There's no way they could beat\the powerhouse schools of Kanto while they're still incomplete.\But... Once all the cogs fit together...\Hey! Don't think that you can beat Nekoma that easily.\I certainly didn't mean to say that it would be easy! response:	But we'll still do our absolute and win.
context: I know.\They're all developing their own cogs.\There's no way they could beat\the powerhouse schools of Kanto while they're still incomplete.\But... Once all the cogs fit together...\Hey! Don't think that you can beat Nekoma that easily.\I certainly didn't mean to say that it would be easy!\But we'll still do our absolute and win. response:	You sure talk big now, Sensei.
context: They're all developing their own cogs.\There's no way they could beat\the powerhouse schools of Kanto while they're still incomplete.\But... Once all the cogs fit together...\Hey! Don't think that you can beat Nekoma that easily.\I certainly didn't mean to say that it would be easy!\But we'll still do our absolute and win.\You sure talk big now, Sensei. response:	You, too, Ukai-chan.
context: There's no way they could beat\the powerhouse schools of Kanto while they're still incomplete.\But... Once all the cogs fit together...\Hey! Don't think that you can beat Nekoma that easily.\I certainly didn't mean to say that it would be easy!\But we'll still do our absolute and win.\You sure talk big now, Sensei.\You, too, Ukai-chan. response:	Karasuno Fukurodani
context: the powerhouse schools of Kanto while they're still incomplete.\But... Once all the cogs fit together...\Hey! Don't think that you can beat Nekoma that easily.\I certainly didn't mean to say that it would be easy!\But we'll still do our absolute and win.\You sure talk big now, Sensei.\You, too, Ukai-chan.\Karasuno Fukurodani response:	This is the final set...
context: But... Once all the cogs fit together...\Hey! Don't think that you can beat Nekoma that easily.\I certainly didn't mean to say that it would be easy!\But we'll still do our absolute and win.\You sure talk big now, Sensei.\You, too, Ukai-chan.\Karasuno Fukurodani\This is the final set... response:	of our losing streak at these away games.
context: Hey! Don't think that you can beat Nekoma that easily.\I certainly didn't mean to say that it would be easy!\But we'll still do our absolute and win.\You sure talk big now, Sensei.\You, too, Ukai-chan.\Karasuno Fukurodani\This is the final set...\of our losing streak at these away games. response:	Let's at least try to win this one set against
context: I certainly didn't mean to say that it would be easy!\But we'll still do our absolute and win.\You sure talk big now, Sensei.\You, too, Ukai-chan.\Karasuno Fukurodani\This is the final set...\of our losing streak at these away games.\Let's at least try to win this one set against response:	the strongest school at the training camp, Fukurodani,
context: But we'll still do our absolute and win.\You sure talk big now, Sensei.\You, too, Ukai-chan.\Karasuno Fukurodani\This is the final set...\of our losing streak at these away games.\Let's at least try to win this one set against\the strongest school at the training camp, Fukurodani, response:	before we go home.
context: You sure talk big now, Sensei.\You, too, Ukai-chan.\Karasuno Fukurodani\This is the final set...\of our losing streak at these away games.\Let's at least try to win this one set against\the strongest school at the training camp, Fukurodani,\before we go home. response:	Yeah!
context: You, too, Ukai-chan.\Karasuno Fukurodani\This is the final set...\of our losing streak at these away games.\Let's at least try to win this one set against\the strongest school at the training camp, Fukurodani,\before we go home.\Yeah! response:	I'll show you my progress
context: Karasuno Fukurodani\This is the final set...\of our losing streak at these away games.\Let's at least try to win this one set against\the strongest school at the training camp, Fukurodani,\before we go home.\Yeah!\I'll show you my progress response:	from the training camp!
context: This is the final set...\of our losing streak at these away games.\Let's at least try to win this one set against\the strongest school at the training camp, Fukurodani,\before we go home.\Yeah!\I'll show you my progress\from the training camp! response:	Haikyu!!
context: of our losing streak at these away games.\Let's at least try to win this one set against\the strongest school at the training camp, Fukurodani,\before we go home.\Yeah!\I'll show you my progress\from the training camp!\Haikyu!! response:	Episode 10: Cogs
context: Let's at least try to win this one set against\the strongest school at the training camp, Fukurodani,\before we go home.\Yeah!\I'll show you my progress\from the training camp!\Haikyu!!\Episode 10: Cogs response:	Karasuno Fukurodani
context: the strongest school at the training camp, Fukurodani,\before we go home.\Yeah!\I'll show you my progress\from the training camp!\Haikyu!!\Episode 10: Cogs\Karasuno Fukurodani response:	Let's play!
context: before we go home.\Yeah!\I'll show you my progress\from the training camp!\Haikyu!!\Episode 10: Cogs\Karasuno Fukurodani\Let's play! response:	We're gonna get this one!
context: Yeah!\I'll show you my progress\from the training camp!\Haikyu!!\Episode 10: Cogs\Karasuno Fukurodani\Let's play!\We're gonna get this one! response:	Yeah!
context: I'll show you my progress\from the training camp!\Haikyu!!\Episode 10: Cogs\Karasuno Fukurodani\Let's play!\We're gonna get this one!\Yeah! response:	All right! Bring it, Karasuno!
context: from the training camp!\Haikyu!!\Episode 10: Cogs\Karasuno Fukurodani\Let's play!\We're gonna get this one!\Yeah!\All right! Bring it, Karasuno! response:	Asahi-san, nice serve!
context: Haikyu!!\Episode 10: Cogs\Karasuno Fukurodani\Let's play!\We're gonna get this one!\Yeah!\All right! Bring it, Karasuno!\Asahi-san, nice serve! response:	It's a bit off!
context: Episode 10: Cogs\Karasuno Fukurodani\Let's play!\We're gonna get this one!\Yeah!\All right! Bring it, Karasuno!\Asahi-san, nice serve!\It's a bit off! response:	Bokuto-san!
context: Karasuno Fukurodani\Let's play!\We're gonna get this one!\Yeah!\All right! Bring it, Karasuno!\Asahi-san, nice serve!\It's a bit off!\Bokuto-san! response:	Right!
context: Let's play!\We're gonna get this one!\Yeah!\All right! Bring it, Karasuno!\Asahi-san, nice serve!\It's a bit off!\Bokuto-san!\Right! response:	Left, 4!
context: We're gonna get this one!\Yeah!\All right! Bring it, Karasuno!\Asahi-san, nice serve!\It's a bit off!\Bokuto-san!\Right!\Left, 4! response:	Tighten up for the straight.
context: Yeah!\All right! Bring it, Karasuno!\Asahi-san, nice serve!\It's a bit off!\Bokuto-san!\Right!\Left, 4!\Tighten up for the straight. response:	If there's even the slightest gap, it'll get through.
context: All right! Bring it, Karasuno!\Asahi-san, nice serve!\It's a bit off!\Bokuto-san!\Right!\Left, 4!\Tighten up for the straight.\If there's even the slightest gap, it'll get through. response:	Out!
context: Asahi-san, nice serve!\It's a bit off!\Bokuto-san!\Right!\Left, 4!\Tighten up for the straight.\If there's even the slightest gap, it'll get through.\Out! response:	A wipe, huh...
context: It's a bit off!\Bokuto-san!\Right!\Left, 4!\Tighten up for the straight.\If there's even the slightest gap, it'll get through.\Out!\A wipe, huh... response:	So close!
context: Bokuto-san!\Right!\Left, 4!\Tighten up for the straight.\If there's even the slightest gap, it'll get through.\Out!\A wipe, huh...\So close! response:	Don't worry about it, Tsukishima! You were close!
context: Right!\Left, 4!\Tighten up for the straight.\If there's even the slightest gap, it'll get through.\Out!\A wipe, huh...\So close!\Don't worry about it, Tsukishima! You were close! response:	You guys keep getting better every day, and it's annoying.
context: Left, 4!\Tighten up for the straight.\If there's even the slightest gap, it'll get through.\Out!\A wipe, huh...\So close!\Don't worry about it, Tsukishima! You were close!\You guys keep getting better every day, and it's annoying. response:	Right.
context: Tighten up for the straight.\If there's even the slightest gap, it'll get through.\Out!\A wipe, huh...\So close!\Don't worry about it, Tsukishima! You were close!\You guys keep getting better every day, and it's annoying.\Right. response:	Karasuno Fukurodani
context: If there's even the slightest gap, it'll get through.\Out!\A wipe, huh...\So close!\Don't worry about it, Tsukishima! You were close!\You guys keep getting better every day, and it's annoying.\Right.\Karasuno Fukurodani response:	Left, left!
context: Out!\A wipe, huh...\So close!\Don't worry about it, Tsukishima! You were close!\You guys keep getting better every day, and it's annoying.\Right.\Karasuno Fukurodani\Left, left! response:	Whoa, he got it!
context: A wipe, huh...\So close!\Don't worry about it, Tsukishima! You were close!\You guys keep getting better every day, and it's annoying.\Right.\Karasuno Fukurodani\Left, left!\Whoa, he got it! response:	But it's off!
context: So close!\Don't worry about it, Tsukishima! You were close!\You guys keep getting better every day, and it's annoying.\Right.\Karasuno Fukurodani\Left, left!\Whoa, he got it!\But it's off! response:	A quick from there?!
context: Don't worry about it, Tsukishima! You were close!\You guys keep getting better every day, and it's annoying.\Right.\Karasuno Fukurodani\Left, left!\Whoa, he got it!\But it's off!\A quick from there?! response:	Even if the receive is a little off,
context: You guys keep getting better every day, and it's annoying.\Right.\Karasuno Fukurodani\Left, left!\Whoa, he got it!\But it's off!\A quick from there?!\Even if the receive is a little off, response:	they confidently pull off a quick.
context: Right.\Karasuno Fukurodani\Left, left!\Whoa, he got it!\But it's off!\A quick from there?!\Even if the receive is a little off,\they confidently pull off a quick. response:	Their setter's pretty skilled, as well.
context: Karasuno Fukurodani\Left, left!\Whoa, he got it!\But it's off!\A quick from there?!\Even if the receive is a little off,\they confidently pull off a quick.\Their setter's pretty skilled, as well. response:	Nice serve.
context: Left, left!\Whoa, he got it!\But it's off!\A quick from there?!\Even if the receive is a little off,\they confidently pull off a quick.\Their setter's pretty skilled, as well.\Nice serve. response:	Break it off after the first one!
context: Whoa, he got it!\But it's off!\A quick from there?!\Even if the receive is a little off,\they confidently pull off a quick.\Their setter's pretty skilled, as well.\Nice serve.\Break it off after the first one! response:	Their 4 is up front now.
context: But it's off!\A quick from there?!\Even if the receive is a little off,\they confidently pull off a quick.\Their setter's pretty skilled, as well.\Nice serve.\Break it off after the first one!\Their 4 is up front now. response:	Now I can finally hit up front.
context: A quick from there?!\Even if the receive is a little off,\they confidently pull off a quick.\Their setter's pretty skilled, as well.\Nice serve.\Break it off after the first one!\Their 4 is up front now.\Now I can finally hit up front. response:	Nice serve!
context: Even if the receive is a little off,\they confidently pull off a quick.\Their setter's pretty skilled, as well.\Nice serve.\Break it off after the first one!\Their 4 is up front now.\Now I can finally hit up front.\Nice serve! response:	Nishinoya!
context: they confidently pull off a quick.\Their setter's pretty skilled, as well.\Nice serve.\Break it off after the first one!\Their 4 is up front now.\Now I can finally hit up front.\Nice serve!\Nishinoya! response:	Nice receive!
context: Their setter's pretty skilled, as well.\Nice serve.\Break it off after the first one!\Their 4 is up front now.\Now I can finally hit up front.\Nice serve!\Nishinoya!\Nice receive! response:	Nice, monkey!
context: Nice serve.\Break it off after the first one!\Their 4 is up front now.\Now I can finally hit up front.\Nice serve!\Nishinoya!\Nice receive!\Nice, monkey! response:	Give me the last one!
context: Break it off after the first one!\Their 4 is up front now.\Now I can finally hit up front.\Nice serve!\Nishinoya!\Nice receive!\Nice, monkey!\Give me the last one! response:	Right now, our front row is in the rotation where the wall is at its highest.
context: Their 4 is up front now.\Now I can finally hit up front.\Nice serve!\Nishinoya!\Nice receive!\Nice, monkey!\Give me the last one!\Right now, our front row is in the rotation where the wall is at its highest. response:	Make sure you stop the ball!
context: Now I can finally hit up front.\Nice serve!\Nishinoya!\Nice receive!\Nice, monkey!\Give me the last one!\Right now, our front row is in the rotation where the wall is at its highest.\Make sure you stop the ball! response:	That's an insane cut shot...
context: Nice serve!\Nishinoya!\Nice receive!\Nice, monkey!\Give me the last one!\Right now, our front row is in the rotation where the wall is at its highest.\Make sure you stop the ball!\That's an insane cut shot... response:	Hitting at a sharp angle against three blockers is really tricky.
context: Nishinoya!\Nice receive!\Nice, monkey!\Give me the last one!\Right now, our front row is in the rotation where the wall is at its highest.\Make sure you stop the ball!\That's an insane cut shot...\Hitting at a sharp angle against three blockers is really tricky. response:	It can be hard on your shoulders if they're not flexible, too.
context: Nice receive!\Nice, monkey!\Give me the last one!\Right now, our front row is in the rotation where the wall is at its highest.\Make sure you stop the ball!\That's an insane cut shot...\Hitting at a sharp angle against three blockers is really tricky.\It can be hard on your shoulders if they're not flexible, too. response:	All right!
context: Nice, monkey!\Give me the last one!\Right now, our front row is in the rotation where the wall is at its highest.\Make sure you stop the ball!\That's an insane cut shot...\Hitting at a sharp angle against three blockers is really tricky.\It can be hard on your shoulders if they're not flexible, too.\All right! response:	Did you see that, Akaashi?
context: Give me the last one!\Right now, our front row is in the rotation where the wall is at its highest.\Make sure you stop the ball!\That's an insane cut shot...\Hitting at a sharp angle against three blockers is really tricky.\It can be hard on your shoulders if they're not flexible, too.\All right!\Did you see that, Akaashi? response:	Hey, did you see my awesome cut shot right now?
context: Right now, our front row is in the rotation where the wall is at its highest.\Make sure you stop the ball!\That's an insane cut shot...\Hitting at a sharp angle against three blockers is really tricky.\It can be hard on your shoulders if they're not flexible, too.\All right!\Did you see that, Akaashi?\Hey, did you see my awesome cut shot right now? response:	I did. Amazing.
context: Make sure you stop the ball!\That's an insane cut shot...\Hitting at a sharp angle against three blockers is really tricky.\It can be hard on your shoulders if they're not flexible, too.\All right!\Did you see that, Akaashi?\Hey, did you see my awesome cut shot right now?\I did. Amazing. response:	It was pure luck, though!
context: That's an insane cut shot...\Hitting at a sharp angle against three blockers is really tricky.\It can be hard on your shoulders if they're not flexible, too.\All right!\Did you see that, Akaashi?\Hey, did you see my awesome cut shot right now?\I did. Amazing.\It was pure luck, though! response:	Bokuto is so annoying.
context: Hitting at a sharp angle against three blockers is really tricky.\It can be hard on your shoulders if they're not flexible, too.\All right!\Did you see that, Akaashi?\Hey, did you see my awesome cut shot right now?\I did. Amazing.\It was pure luck, though!\Bokuto is so annoying. response:	That's amazing, even if it was luck.
context: It can be hard on your shoulders if they're not flexible, too.\All right!\Did you see that, Akaashi?\Hey, did you see my awesome cut shot right now?\I did. Amazing.\It was pure luck, though!\Bokuto is so annoying.\That's amazing, even if it was luck. response:	I'd love to hit something like that.
context: All right!\Did you see that, Akaashi?\Hey, did you see my awesome cut shot right now?\I did. Amazing.\It was pure luck, though!\Bokuto is so annoying.\That's amazing, even if it was luck.\I'd love to hit something like that. response:	Fukurodani's Bokuto-kun is a real puzzle.
context: Did you see that, Akaashi?\Hey, did you see my awesome cut shot right now?\I did. Amazing.\It was pure luck, though!\Bokuto is so annoying.\That's amazing, even if it was luck.\I'd love to hit something like that.\Fukurodani's Bokuto-kun is a real puzzle. response:	Hey, can I try hitting that again?
context: Hey, did you see my awesome cut shot right now?\I did. Amazing.\It was pure luck, though!\Bokuto is so annoying.\That's amazing, even if it was luck.\I'd love to hit something like that.\Fukurodani's Bokuto-kun is a real puzzle.\Hey, can I try hitting that again? response:	Even when he's your opponent, you kind of want to cheer for him.
context: I did. Amazing.\It was pure luck, though!\Bokuto is so annoying.\That's amazing, even if it was luck.\I'd love to hit something like that.\Fukurodani's Bokuto-kun is a real puzzle.\Hey, can I try hitting that again?\Even when he's your opponent, you kind of want to cheer for him. response:	I wanna do it again!
context: It was pure luck, though!\Bokuto is so annoying.\That's amazing, even if it was luck.\I'd love to hit something like that.\Fukurodani's Bokuto-kun is a real puzzle.\Hey, can I try hitting that again?\Even when he's your opponent, you kind of want to cheer for him.\I wanna do it again! response:	The other team's completely on to you, Bokuto-san.
context: Bokuto is so annoying.\That's amazing, even if it was luck.\I'd love to hit something like that.\Fukurodani's Bokuto-kun is a real puzzle.\Hey, can I try hitting that again?\Even when he's your opponent, you kind of want to cheer for him.\I wanna do it again!\The other team's completely on to you, Bokuto-san. response:	Though that might be because I think he's a player on a completely different level.
context: That's amazing, even if it was luck.\I'd love to hit something like that.\Fukurodani's Bokuto-kun is a real puzzle.\Hey, can I try hitting that again?\Even when he's your opponent, you kind of want to cheer for him.\I wanna do it again!\The other team's completely on to you, Bokuto-san.\Though that might be because I think he's a player on a completely different level. response:	Oh, crap! My bad.
context: I'd love to hit something like that.\Fukurodani's Bokuto-kun is a real puzzle.\Hey, can I try hitting that again?\Even when he's your opponent, you kind of want to cheer for him.\I wanna do it again!\The other team's completely on to you, Bokuto-san.\Though that might be because I think he's a player on a completely different level.\Oh, crap! My bad. response:	Then maybe I'll go for a straight.
context: Fukurodani's Bokuto-kun is a real puzzle.\Hey, can I try hitting that again?\Even when he's your opponent, you kind of want to cheer for him.\I wanna do it again!\The other team's completely on to you, Bokuto-san.\Though that might be because I think he's a player on a completely different level.\Oh, crap! My bad.\Then maybe I'll go for a straight. response:	True...
context: Hey, can I try hitting that again?\Even when he's your opponent, you kind of want to cheer for him.\I wanna do it again!\The other team's completely on to you, Bokuto-san.\Though that might be because I think he's a player on a completely different level.\Oh, crap! My bad.\Then maybe I'll go for a straight.\True... response:	He might just be a player
context: Even when he's your opponent, you kind of want to cheer for him.\I wanna do it again!\The other team's completely on to you, Bokuto-san.\Though that might be because I think he's a player on a completely different level.\Oh, crap! My bad.\Then maybe I'll go for a straight.\True...\He might just be a player response:	who lifts the spirits of both his teammates and his opponents.
context: I wanna do it again!\The other team's completely on to you, Bokuto-san.\Though that might be because I think he's a player on a completely different level.\Oh, crap! My bad.\Then maybe I'll go for a straight.\True...\He might just be a player\who lifts the spirits of both his teammates and his opponents. response:	Karasuno Fukurodani
context: The other team's completely on to you, Bokuto-san.\Though that might be because I think he's a player on a completely different level.\Oh, crap! My bad.\Then maybe I'll go for a straight.\True...\He might just be a player\who lifts the spirits of both his teammates and his opponents.\Karasuno Fukurodani response:	Yeah!
context: Though that might be because I think he's a player on a completely different level.\Oh, crap! My bad.\Then maybe I'll go for a straight.\True...\He might just be a player\who lifts the spirits of both his teammates and his opponents.\Karasuno Fukurodani\Yeah! response:	Tsukishima, nice serve!
context: Oh, crap! My bad.\Then maybe I'll go for a straight.\True...\He might just be a player\who lifts the spirits of both his teammates and his opponents.\Karasuno Fukurodani\Yeah!\Tsukishima, nice serve! response:	A special attack?!
context: Then maybe I'll go for a straight.\True...\He might just be a player\who lifts the spirits of both his teammates and his opponents.\Karasuno Fukurodani\Yeah!\Tsukishima, nice serve!\A special attack?! response:	Yup!
context: True...\He might just be a player\who lifts the spirits of both his teammates and his opponents.\Karasuno Fukurodani\Yeah!\Tsukishima, nice serve!\A special attack?!\Yup! response:	Listen up. The best way to describe this attack
context: He might just be a player\who lifts the spirits of both his teammates and his opponents.\Karasuno Fukurodani\Yeah!\Tsukishima, nice serve!\A special attack?!\Yup!\Listen up. The best way to describe this attack response:	is something born from upsetting the balance of stillness and motion.
context: who lifts the spirits of both his teammates and his opponents.\Karasuno Fukurodani\Yeah!\Tsukishima, nice serve!\A special attack?!\Yup!\Listen up. The best way to describe this attack\is something born from upsetting the balance of stillness and motion. response:	Whoa! Whoa...
context: Karasuno Fukurodani\Yeah!\Tsukishima, nice serve!\A special attack?!\Yup!\Listen up. The best way to describe this attack\is something born from upsetting the balance of stillness and motion.\Whoa! Whoa... response:	There he goes, trying to sound cool again.
context: Yeah!\Tsukishima, nice serve!\A special attack?!\Yup!\Listen up. The best way to describe this attack\is something born from upsetting the balance of stillness and motion.\Whoa! Whoa...\There he goes, trying to sound cool again. response:	Do you have any idea what he's talking about?
context: Tsukishima, nice serve!\A special attack?!\Yup!\Listen up. The best way to describe this attack\is something born from upsetting the balance of stillness and motion.\Whoa! Whoa...\There he goes, trying to sound cool again.\Do you have any idea what he's talking about? response:	I have an idea.
context: A special attack?!\Yup!\Listen up. The best way to describe this attack\is something born from upsetting the balance of stillness and motion.\Whoa! Whoa...\There he goes, trying to sound cool again.\Do you have any idea what he's talking about?\I have an idea. response:	This isn't a move that you use to run away.
context: Yup!\Listen up. The best way to describe this attack\is something born from upsetting the balance of stillness and motion.\Whoa! Whoa...\There he goes, trying to sound cool again.\Do you have any idea what he's talking about?\I have an idea.\This isn't a move that you use to run away. response:	You have to have the perfect timing, the perfect toss,
context: Listen up. The best way to describe this attack\is something born from upsetting the balance of stillness and motion.\Whoa! Whoa...\There he goes, trying to sound cool again.\Do you have any idea what he's talking about?\I have an idea.\This isn't a move that you use to run away.\You have to have the perfect timing, the perfect toss, response:	and look like you're about to hit the perfect spike.
context: is something born from upsetting the balance of stillness and motion.\Whoa! Whoa...\There he goes, trying to sound cool again.\Do you have any idea what he's talking about?\I have an idea.\This isn't a move that you use to run away.\You have to have the perfect timing, the perfect toss,\and look like you're about to hit the perfect spike. response:	When everyone thinks you're about to hit a powerful spike...
context: Whoa! Whoa...\There he goes, trying to sound cool again.\Do you have any idea what he's talking about?\I have an idea.\This isn't a move that you use to run away.\You have to have the perfect timing, the perfect toss,\and look like you're about to hit the perfect spike.\When everyone thinks you're about to hit a powerful spike... response:	More than anything, it works best
context: There he goes, trying to sound cool again.\Do you have any idea what he's talking about?\I have an idea.\This isn't a move that you use to run away.\You have to have the perfect timing, the perfect toss,\and look like you're about to hit the perfect spike.\When everyone thinks you're about to hit a powerful spike...\More than anything, it works best response:	when you think you're about to hit a powerful one yourself.
context: Do you have any idea what he's talking about?\I have an idea.\This isn't a move that you use to run away.\You have to have the perfect timing, the perfect toss,\and look like you're about to hit the perfect spike.\When everyone thinks you're about to hit a powerful spike...\More than anything, it works best\when you think you're about to hit a powerful one yourself. response:	Leave it to me!
context: I have an idea.\This isn't a move that you use to run away.\You have to have the perfect timing, the perfect toss,\and look like you're about to hit the perfect spike.\When everyone thinks you're about to hit a powerful spike...\More than anything, it works best\when you think you're about to hit a powerful one yourself.\Leave it to me! response:	Nice receive!
context: This isn't a move that you use to run away.\You have to have the perfect timing, the perfect toss,\and look like you're about to hit the perfect spike.\When everyone thinks you're about to hit a powerful spike...\More than anything, it works best\when you think you're about to hit a powerful one yourself.\Leave it to me!\Nice receive! response:	Just like you're sneering...
context: You have to have the perfect timing, the perfect toss,\and look like you're about to hit the perfect spike.\When everyone thinks you're about to hit a powerful spike...\More than anything, it works best\when you think you're about to hit a powerful one yourself.\Leave it to me!\Nice receive!\Just like you're sneering... response:	Let them have it!
context: and look like you're about to hit the perfect spike.\When everyone thinks you're about to hit a powerful spike...\More than anything, it works best\when you think you're about to hit a powerful one yourself.\Leave it to me!\Nice receive!\Just like you're sneering...\Let them have it! response:	Ah!
context: When everyone thinks you're about to hit a powerful spike...\More than anything, it works best\when you think you're about to hit a powerful one yourself.\Leave it to me!\Nice receive!\Just like you're sneering...\Let them have it!\Ah! response:	Hinata just...
context: More than anything, it works best\when you think you're about to hit a powerful one yourself.\Leave it to me!\Nice receive!\Just like you're sneering...\Let them have it!\Ah!\Hinata just... response:	When you get a feint in,
context: when you think you're about to hit a powerful one yourself.\Leave it to me!\Nice receive!\Just like you're sneering...\Let them have it!\Ah!\Hinata just...\When you get a feint in, response:	there's a completely different sense of satisfaction than you get from a good spike.
context: Leave it to me!\Nice receive!\Just like you're sneering...\Let them have it!\Ah!\Hinata just...\When you get a feint in,\there's a completely different sense of satisfaction than you get from a good spike. response:	You know how a handful of receivers will dive for the falling ball?
context: Nice receive!\Just like you're sneering...\Let them have it!\Ah!\Hinata just...\When you get a feint in,\there's a completely different sense of satisfaction than you get from a good spike.\You know how a handful of receivers will dive for the falling ball? response:	Yeah.
context: Just like you're sneering...\Let them have it!\Ah!\Hinata just...\When you get a feint in,\there's a completely different sense of satisfaction than you get from a good spike.\You know how a handful of receivers will dive for the falling ball?\Yeah. response:	You're usually eye level with them or above,
context: Let them have it!\Ah!\Hinata just...\When you get a feint in,\there's a completely different sense of satisfaction than you get from a good spike.\You know how a handful of receivers will dive for the falling ball?\Yeah.\You're usually eye level with them or above, response:	but the moment they try to reach for the ball, miss, then look up...
