context: Stop! Stop! response:	Wait for the traffic light!
context: I don't say things like no matter what happens, we'll always be friends.\After all, there's no one who could replace you.\That's why I'm going to try my hardest to keep our friendship intact.\I guess I must like you or something.\This must be the real confession time, huh?\Just kidding.\I'm glad you're my friend.\You better make sure you don't forget those words. response:	W-What the hell?! What are you guys doing here?!
context: After all, there's no one who could replace you.\That's why I'm going to try my hardest to keep our friendship intact.\I guess I must like you or something.\This must be the real confession time, huh?\Just kidding.\I'm glad you're my friend.\You better make sure you don't forget those words.\W-What the hell?! What are you guys doing here?! response:	Hold him down!
context: That's why I'm going to try my hardest to keep our friendship intact.\I guess I must like you or something.\This must be the real confession time, huh?\Just kidding.\I'm glad you're my friend.\You better make sure you don't forget those words.\W-What the hell?! What are you guys doing here?!\Hold him down! response:	Hurry and tie him up!
context: I guess I must like you or something.\This must be the real confession time, huh?\Just kidding.\I'm glad you're my friend.\You better make sure you don't forget those words.\W-What the hell?! What are you guys doing here?!\Hold him down!\Hurry and tie him up! response:	Don't hate us for this!
context: This must be the real confession time, huh?\Just kidding.\I'm glad you're my friend.\You better make sure you don't forget those words.\W-What the hell?! What are you guys doing here?!\Hold him down!\Hurry and tie him up!\Don't hate us for this! response:	Don't hate you for this? Moto! Help me!
context: Just kidding.\I'm glad you're my friend.\You better make sure you don't forget those words.\W-What the hell?! What are you guys doing here?!\Hold him down!\Hurry and tie him up!\Don't hate us for this!\Don't hate you for this? Moto! Help me! response:	I told you that I'd try my hardest to keep our friendship intact, didn't I?
context: I'm glad you're my friend.\You better make sure you don't forget those words.\W-What the hell?! What are you guys doing here?!\Hold him down!\Hurry and tie him up!\Don't hate us for this!\Don't hate you for this? Moto! Help me!\I told you that I'd try my hardest to keep our friendship intact, didn't I? response:	If everything goes well between me and Takahashi, everything will be fine!
context: You better make sure you don't forget those words.\W-What the hell?! What are you guys doing here?!\Hold him down!\Hurry and tie him up!\Don't hate us for this!\Don't hate you for this? Moto! Help me!\I told you that I'd try my hardest to keep our friendship intact, didn't I?\If everything goes well between me and Takahashi, everything will be fine! response:	That's why I'm not going to let you confess to her.
context: W-What the hell?! What are you guys doing here?!\Hold him down!\Hurry and tie him up!\Don't hate us for this!\Don't hate you for this? Moto! Help me!\I told you that I'd try my hardest to keep our friendship intact, didn't I?\If everything goes well between me and Takahashi, everything will be fine!\That's why I'm not going to let you confess to her. response:	This is the best way to do that, right?
context: Hold him down!\Hurry and tie him up!\Don't hate us for this!\Don't hate you for this? Moto! Help me!\I told you that I'd try my hardest to keep our friendship intact, didn't I?\If everything goes well between me and Takahashi, everything will be fine!\That's why I'm not going to let you confess to her.\This is the best way to do that, right? response:	T-That's dirty!
context: Hurry and tie him up!\Don't hate us for this!\Don't hate you for this? Moto! Help me!\I told you that I'd try my hardest to keep our friendship intact, didn't I?\If everything goes well between me and Takahashi, everything will be fine!\That's why I'm not going to let you confess to her.\This is the best way to do that, right?\T-That's dirty! response:	You're too naive.
context: Don't hate us for this!\Don't hate you for this? Moto! Help me!\I told you that I'd try my hardest to keep our friendship intact, didn't I?\If everything goes well between me and Takahashi, everything will be fine!\That's why I'm not going to let you confess to her.\This is the best way to do that, right?\T-That's dirty!\You're too naive. response:	Sorry! Once I'm all finished, I'll let you go.
context: Don't hate you for this? Moto! Help me!\I told you that I'd try my hardest to keep our friendship intact, didn't I?\If everything goes well between me and Takahashi, everything will be fine!\That's why I'm not going to let you confess to her.\This is the best way to do that, right?\T-That's dirty!\You're too naive.\Sorry! Once I'm all finished, I'll let you go. response:	Love you, Take-chan!
context: I told you that I'd try my hardest to keep our friendship intact, didn't I?\If everything goes well between me and Takahashi, everything will be fine!\That's why I'm not going to let you confess to her.\This is the best way to do that, right?\T-That's dirty!\You're too naive.\Sorry! Once I'm all finished, I'll let you go.\Love you, Take-chan! response:	See ya!
context: If everything goes well between me and Takahashi, everything will be fine!\That's why I'm not going to let you confess to her.\This is the best way to do that, right?\T-That's dirty!\You're too naive.\Sorry! Once I'm all finished, I'll let you go.\Love you, Take-chan!\See ya! response:	H-Hey!
context: That's why I'm not going to let you confess to her.\This is the best way to do that, right?\T-That's dirty!\You're too naive.\Sorry! Once I'm all finished, I'll let you go.\Love you, Take-chan!\See ya!\H-Hey! response:	Ah, carry him over to the science room.
context: This is the best way to do that, right?\T-That's dirty!\You're too naive.\Sorry! Once I'm all finished, I'll let you go.\Love you, Take-chan!\See ya!\H-Hey!\Ah, carry him over to the science room. response:	Moto!
context: T-That's dirty!\You're too naive.\Sorry! Once I'm all finished, I'll let you go.\Love you, Take-chan!\See ya!\H-Hey!\Ah, carry him over to the science room.\Moto! response:	I didn't want this kind of confession!
context: You're too naive.\Sorry! Once I'm all finished, I'll let you go.\Love you, Take-chan!\See ya!\H-Hey!\Ah, carry him over to the science room.\Moto!\I didn't want this kind of confession! response:	They just turned on the music.
context: Sorry! Once I'm all finished, I'll let you go.\Love you, Take-chan!\See ya!\H-Hey!\Ah, carry him over to the science room.\Moto!\I didn't want this kind of confession!\They just turned on the music. response:	Here comes the time for confessions this year!
context: Love you, Take-chan!\See ya!\H-Hey!\Ah, carry him over to the science room.\Moto!\I didn't want this kind of confession!\They just turned on the music.\Here comes the time for confessions this year! response:	Ah, look over there! He's confessing to her!
context: See ya!\H-Hey!\Ah, carry him over to the science room.\Moto!\I didn't want this kind of confession!\They just turned on the music.\Here comes the time for confessions this year!\Ah, look over there! He's confessing to her! response:	No way!
context: H-Hey!\Ah, carry him over to the science room.\Moto!\I didn't want this kind of confession!\They just turned on the music.\Here comes the time for confessions this year!\Ah, look over there! He's confessing to her!\No way! response:	I do!
context: Ah, carry him over to the science room.\Moto!\I didn't want this kind of confession!\They just turned on the music.\Here comes the time for confessions this year!\Ah, look over there! He's confessing to her!\No way!\I do! response:	Are we getting married out here?
context: Moto!\I didn't want this kind of confession!\They just turned on the music.\Here comes the time for confessions this year!\Ah, look over there! He's confessing to her!\No way!\I do!\Are we getting married out here? response:	You're crazy.
context: I didn't want this kind of confession!\They just turned on the music.\Here comes the time for confessions this year!\Ah, look over there! He's confessing to her!\No way!\I do!\Are we getting married out here?\You're crazy. response:	Takahashi.
context: They just turned on the music.\Here comes the time for confessions this year!\Ah, look over there! He's confessing to her!\No way!\I do!\Are we getting married out here?\You're crazy.\Takahashi. response:	I'll only say this once, so listen carefully.
context: Here comes the time for confessions this year!\Ah, look over there! He's confessing to her!\No way!\I do!\Are we getting married out here?\You're crazy.\Takahashi.\I'll only say this once, so listen carefully. response:	I love you.
context: Ah, look over there! He's confessing to her!\No way!\I do!\Are we getting married out here?\You're crazy.\Takahashi.\I'll only say this once, so listen carefully.\I love you. response:	Every time I remember, my heart beats so fast... as if it happened only yesterday.
context: No way!\I do!\Are we getting married out here?\You're crazy.\Takahashi.\I'll only say this once, so listen carefully.\I love you.\Every time I remember, my heart beats so fast... as if it happened only yesterday. response:	Umm, excuse me...
context: I do!\Are we getting married out here?\You're crazy.\Takahashi.\I'll only say this once, so listen carefully.\I love you.\Every time I remember, my heart beats so fast... as if it happened only yesterday.\Umm, excuse me... response:	Do you have a minute?
context: Are we getting married out here?\You're crazy.\Takahashi.\I'll only say this once, so listen carefully.\I love you.\Every time I remember, my heart beats so fast... as if it happened only yesterday.\Umm, excuse me...\Do you have a minute? response:	I'm sorry. Save it for later.
context: You're crazy.\Takahashi.\I'll only say this once, so listen carefully.\I love you.\Every time I remember, my heart beats so fast... as if it happened only yesterday.\Umm, excuse me...\Do you have a minute?\I'm sorry. Save it for later. response:	Later...?
context: Takahashi.\I'll only say this once, so listen carefully.\I love you.\Every time I remember, my heart beats so fast... as if it happened only yesterday.\Umm, excuse me...\Do you have a minute?\I'm sorry. Save it for later.\Later...? response:	Mizuguchi.
context: I'll only say this once, so listen carefully.\I love you.\Every time I remember, my heart beats so fast... as if it happened only yesterday.\Umm, excuse me...\Do you have a minute?\I'm sorry. Save it for later.\Later...?\Mizuguchi. response:	Hello?
context: I love you.\Every time I remember, my heart beats so fast... as if it happened only yesterday.\Umm, excuse me...\Do you have a minute?\I'm sorry. Save it for later.\Later...?\Mizuguchi.\Hello? response:	Nana. Where are you right now?
context: Every time I remember, my heart beats so fast... as if it happened only yesterday.\Umm, excuse me...\Do you have a minute?\I'm sorry. Save it for later.\Later...?\Mizuguchi.\Hello?\Nana. Where are you right now? response:	Huh? I'm helping out at the announcement booth.
context: Umm, excuse me...\Do you have a minute?\I'm sorry. Save it for later.\Later...?\Mizuguchi.\Hello?\Nana. Where are you right now?\Huh? I'm helping out at the announcement booth. response:	Something happen?
context: Do you have a minute?\I'm sorry. Save it for later.\Later...?\Mizuguchi.\Hello?\Nana. Where are you right now?\Huh? I'm helping out at the announcement booth.\Something happen? response:	How can you ask something like that right now?
context: I'm sorry. Save it for later.\Later...?\Mizuguchi.\Hello?\Nana. Where are you right now?\Huh? I'm helping out at the announcement booth.\Something happen?\How can you ask something like that right now? response:	He's here...
context: Later...?\Mizuguchi.\Hello?\Nana. Where are you right now?\Huh? I'm helping out at the announcement booth.\Something happen?\How can you ask something like that right now?\He's here... response:	The announcement booth?
context: Mizuguchi.\Hello?\Nana. Where are you right now?\Huh? I'm helping out at the announcement booth.\Something happen?\How can you ask something like that right now?\He's here...\The announcement booth? response:	Tell her I'll be right there, so stay put!
context: Hello?\Nana. Where are you right now?\Huh? I'm helping out at the announcement booth.\Something happen?\How can you ask something like that right now?\He's here...\The announcement booth?\Tell her I'll be right there, so stay put! response:	Yano just left, headed your way.
context: Nana. Where are you right now?\Huh? I'm helping out at the announcement booth.\Something happen?\How can you ask something like that right now?\He's here...\The announcement booth?\Tell her I'll be right there, so stay put!\Yano just left, headed your way. response:	And one more thing...
context: Huh? I'm helping out at the announcement booth.\Something happen?\How can you ask something like that right now?\He's here...\The announcement booth?\Tell her I'll be right there, so stay put!\Yano just left, headed your way.\And one more thing... response:	If my intuition's correct, Takeuchi-kun's coming, too.
context: Something happen?\How can you ask something like that right now?\He's here...\The announcement booth?\Tell her I'll be right there, so stay put!\Yano just left, headed your way.\And one more thing...\If my intuition's correct, Takeuchi-kun's coming, too. response:	Think hard about it and give them an answer, okay?
context: How can you ask something like that right now?\He's here...\The announcement booth?\Tell her I'll be right there, so stay put!\Yano just left, headed your way.\And one more thing...\If my intuition's correct, Takeuchi-kun's coming, too.\Think hard about it and give them an answer, okay? response:	No way...
context: He's here...\The announcement booth?\Tell her I'll be right there, so stay put!\Yano just left, headed your way.\And one more thing...\If my intuition's correct, Takeuchi-kun's coming, too.\Think hard about it and give them an answer, okay?\No way... response:	Both of them are coming...
context: The announcement booth?\Tell her I'll be right there, so stay put!\Yano just left, headed your way.\And one more thing...\If my intuition's correct, Takeuchi-kun's coming, too.\Think hard about it and give them an answer, okay?\No way...\Both of them are coming... response:	What'll I do...?
context: Tell her I'll be right there, so stay put!\Yano just left, headed your way.\And one more thing...\If my intuition's correct, Takeuchi-kun's coming, too.\Think hard about it and give them an answer, okay?\No way...\Both of them are coming...\What'll I do...? response:	Is Takahashi here?!
context: Yano just left, headed your way.\And one more thing...\If my intuition's correct, Takeuchi-kun's coming, too.\Think hard about it and give them an answer, okay?\No way...\Both of them are coming...\What'll I do...?\Is Takahashi here?! response:	Huh? She was just here a minute ago...
context: And one more thing...\If my intuition's correct, Takeuchi-kun's coming, too.\Think hard about it and give them an answer, okay?\No way...\Both of them are coming...\What'll I do...?\Is Takahashi here?!\Huh? She was just here a minute ago... response:	Did she go somewhere?
context: If my intuition's correct, Takeuchi-kun's coming, too.\Think hard about it and give them an answer, okay?\No way...\Both of them are coming...\What'll I do...?\Is Takahashi here?!\Huh? She was just here a minute ago...\Did she go somewhere? response:	Huh?
context: Think hard about it and give them an answer, okay?\No way...\Both of them are coming...\What'll I do...?\Is Takahashi here?!\Huh? She was just here a minute ago...\Did she go somewhere?\Huh? response:	She ran away, didn't she?
context: No way...\Both of them are coming...\What'll I do...?\Is Takahashi here?!\Huh? She was just here a minute ago...\Did she go somewhere?\Huh?\She ran away, didn't she? response:	What'll I do?
context: Both of them are coming...\What'll I do...?\Is Takahashi here?!\Huh? She was just here a minute ago...\Did she go somewhere?\Huh?\She ran away, didn't she?\What'll I do? response:	I'm still not sure about my feelings...
context: What'll I do...?\Is Takahashi here?!\Huh? She was just here a minute ago...\Did she go somewhere?\Huh?\She ran away, didn't she?\What'll I do?\I'm still not sure about my feelings... response:	Damn it! They locked me in!
context: Is Takahashi here?!\Huh? She was just here a minute ago...\Did she go somewhere?\Huh?\She ran away, didn't she?\What'll I do?\I'm still not sure about my feelings...\Damn it! They locked me in! response:	Out of my way!
context: Huh? She was just here a minute ago...\Did she go somewhere?\Huh?\She ran away, didn't she?\What'll I do?\I'm still not sure about my feelings...\Damn it! They locked me in!\Out of my way! response:	It's no good... I'm too much of a coward...
context: Did she go somewhere?\Huh?\She ran away, didn't she?\What'll I do?\I'm still not sure about my feelings...\Damn it! They locked me in!\Out of my way!\It's no good... I'm too much of a coward... response:	I'm too gutless to actually break the glass...
context: Huh?\She ran away, didn't she?\What'll I do?\I'm still not sure about my feelings...\Damn it! They locked me in!\Out of my way!\It's no good... I'm too much of a coward...\I'm too gutless to actually break the glass... response:	I'm sure he could shatter it without a second thought!
context: She ran away, didn't she?\What'll I do?\I'm still not sure about my feelings...\Damn it! They locked me in!\Out of my way!\It's no good... I'm too much of a coward...\I'm too gutless to actually break the glass...\I'm sure he could shatter it without a second thought! response:	You're too naive.
context: What'll I do?\I'm still not sure about my feelings...\Damn it! They locked me in!\Out of my way!\It's no good... I'm too much of a coward...\I'm too gutless to actually break the glass...\I'm sure he could shatter it without a second thought!\You're too naive. response:	I have my own way of doing things.
context: I'm still not sure about my feelings...\Damn it! They locked me in!\Out of my way!\It's no good... I'm too much of a coward...\I'm too gutless to actually break the glass...\I'm sure he could shatter it without a second thought!\You're too naive.\I have my own way of doing things. response:	I can drop down onto the roof of that storage shed.
context: Damn it! They locked me in!\Out of my way!\It's no good... I'm too much of a coward...\I'm too gutless to actually break the glass...\I'm sure he could shatter it without a second thought!\You're too naive.\I have my own way of doing things.\I can drop down onto the roof of that storage shed. response:	If I screw up... I'll come back as a ghost and haunt you!
context: Out of my way!\It's no good... I'm too much of a coward...\I'm too gutless to actually break the glass...\I'm sure he could shatter it without a second thought!\You're too naive.\I have my own way of doing things.\I can drop down onto the roof of that storage shed.\If I screw up... I'll come back as a ghost and haunt you! response:	Takahashi!
context: It's no good... I'm too much of a coward...\I'm too gutless to actually break the glass...\I'm sure he could shatter it without a second thought!\You're too naive.\I have my own way of doing things.\I can drop down onto the roof of that storage shed.\If I screw up... I'll come back as a ghost and haunt you!\Takahashi! response:	Takahashi!
context: I'm too gutless to actually break the glass...\I'm sure he could shatter it without a second thought!\You're too naive.\I have my own way of doing things.\I can drop down onto the roof of that storage shed.\If I screw up... I'll come back as a ghost and haunt you!\Takahashi!\Takahashi! response:	I'm sorry, Yano...
context: I'm sure he could shatter it without a second thought!\You're too naive.\I have my own way of doing things.\I can drop down onto the roof of that storage shed.\If I screw up... I'll come back as a ghost and haunt you!\Takahashi!\Takahashi!\I'm sorry, Yano... response:	I'm... too much of a coward...
context: You're too naive.\I have my own way of doing things.\I can drop down onto the roof of that storage shed.\If I screw up... I'll come back as a ghost and haunt you!\Takahashi!\Takahashi!\I'm sorry, Yano...\I'm... too much of a coward... response:	Where are you?
context: I have my own way of doing things.\I can drop down onto the roof of that storage shed.\If I screw up... I'll come back as a ghost and haunt you!\Takahashi!\Takahashi!\I'm sorry, Yano...\I'm... too much of a coward...\Where are you? response:	Pick up!
context: I can drop down onto the roof of that storage shed.\If I screw up... I'll come back as a ghost and haunt you!\Takahashi!\Takahashi!\I'm sorry, Yano...\I'm... too much of a coward...\Where are you?\Pick up! response:	Takahashi... Takahashi!
context: If I screw up... I'll come back as a ghost and haunt you!\Takahashi!\Takahashi!\I'm sorry, Yano...\I'm... too much of a coward...\Where are you?\Pick up!\Takahashi... Takahashi! response:	I cannot pick up the phone right now.
context: Takahashi!\Takahashi!\I'm sorry, Yano...\I'm... too much of a coward...\Where are you?\Pick up!\Takahashi... Takahashi!\I cannot pick up the phone right now. response:	Damn it!
context: Takahashi!\I'm sorry, Yano...\I'm... too much of a coward...\Where are you?\Pick up!\Takahashi... Takahashi!\I cannot pick up the phone right now.\Damn it! response:	Takahashi-
context: I'm sorry, Yano...\I'm... too much of a coward...\Where are you?\Pick up!\Takahashi... Takahashi!\I cannot pick up the phone right now.\Damn it!\Takahashi- response:	I won't let you go to her!
context: I'm... too much of a coward...\Where are you?\Pick up!\Takahashi... Takahashi!\I cannot pick up the phone right now.\Damn it!\Takahashi-\I won't let you go to her! response:	Hey! Let go of me!
context: Where are you?\Pick up!\Takahashi... Takahashi!\I cannot pick up the phone right now.\Damn it!\Takahashi-\I won't let you go to her!\Hey! Let go of me! response:	As if!
context: Pick up!\Takahashi... Takahashi!\I cannot pick up the phone right now.\Damn it!\Takahashi-\I won't let you go to her!\Hey! Let go of me!\As if! response:	When did you even...?!
context: Takahashi... Takahashi!\I cannot pick up the phone right now.\Damn it!\Takahashi-\I won't let you go to her!\Hey! Let go of me!\As if!\When did you even...?! response:	Too bad for you, huh?
context: I cannot pick up the phone right now.\Damn it!\Takahashi-\I won't let you go to her!\Hey! Let go of me!\As if!\When did you even...?!\Too bad for you, huh? response:	God damn it! I won't forgive you for this!
context: Damn it!\Takahashi-\I won't let you go to her!\Hey! Let go of me!\As if!\When did you even...?!\Too bad for you, huh?\God damn it! I won't forgive you for this! response:	That's my line!
context: Takahashi-\I won't let you go to her!\Hey! Let go of me!\As if!\When did you even...?!\Too bad for you, huh?\God damn it! I won't forgive you for this!\That's my line! response:	I'll get to her first!
