context: Log on to www.ruri-subs.com or visit us at response:	Fansubbed by Ruri Subs
context: Even though I'm weak, I'll try my best!\Right! Thanks, Ricotta, Eclair!\My Lady!\Did you find something interesting?\Oh, Yukikaze.\Seems like there's gonna be a war.\Well, well, it is a great honor to be called forth by you, Prince Gaul.\Well, judging from your looks, I'm sure you haven't had your share of fun today. response:	You can bet on that.
context: Right! Thanks, Ricotta, Eclair!\My Lady!\Did you find something interesting?\Oh, Yukikaze.\Seems like there's gonna be a war.\Well, well, it is a great honor to be called forth by you, Prince Gaul.\Well, judging from your looks, I'm sure you haven't had your share of fun today.\You can bet on that. response:	Although the fortress attack was not bad, my expertise tends to lie with night battles.
context: My Lady!\Did you find something interesting?\Oh, Yukikaze.\Seems like there's gonna be a war.\Well, well, it is a great honor to be called forth by you, Prince Gaul.\Well, judging from your looks, I'm sure you haven't had your share of fun today.\You can bet on that.\Although the fortress attack was not bad, my expertise tends to lie with night battles. response:	Great! Go as crazy as you want.
context: Did you find something interesting?\Oh, Yukikaze.\Seems like there's gonna be a war.\Well, well, it is a great honor to be called forth by you, Prince Gaul.\Well, judging from your looks, I'm sure you haven't had your share of fun today.\You can bet on that.\Although the fortress attack was not bad, my expertise tends to lie with night battles.\Great! Go as crazy as you want. response:	Hey, have a drink! Eat up!
context: Oh, Yukikaze.\Seems like there's gonna be a war.\Well, well, it is a great honor to be called forth by you, Prince Gaul.\Well, judging from your looks, I'm sure you haven't had your share of fun today.\You can bet on that.\Although the fortress attack was not bad, my expertise tends to lie with night battles.\Great! Go as crazy as you want.\Hey, have a drink! Eat up! response:	Yes, sir. I'll take you up on your offer.
context: Seems like there's gonna be a war.\Well, well, it is a great honor to be called forth by you, Prince Gaul.\Well, judging from your looks, I'm sure you haven't had your share of fun today.\You can bet on that.\Although the fortress attack was not bad, my expertise tends to lie with night battles.\Great! Go as crazy as you want.\Hey, have a drink! Eat up!\Yes, sir. I'll take you up on your offer. response:	Oh, by the way, where is Princess Millhiore right now?
context: Well, well, it is a great honor to be called forth by you, Prince Gaul.\Well, judging from your looks, I'm sure you haven't had your share of fun today.\You can bet on that.\Although the fortress attack was not bad, my expertise tends to lie with night battles.\Great! Go as crazy as you want.\Hey, have a drink! Eat up!\Yes, sir. I'll take you up on your offer.\Oh, by the way, where is Princess Millhiore right now? response:	Rouge is taking care of her.
context: Well, judging from your looks, I'm sure you haven't had your share of fun today.\You can bet on that.\Although the fortress attack was not bad, my expertise tends to lie with night battles.\Great! Go as crazy as you want.\Hey, have a drink! Eat up!\Yes, sir. I'll take you up on your offer.\Oh, by the way, where is Princess Millhiore right now?\Rouge is taking care of her. response:	I'm giving her first-class treatment.
context: You can bet on that.\Although the fortress attack was not bad, my expertise tends to lie with night battles.\Great! Go as crazy as you want.\Hey, have a drink! Eat up!\Yes, sir. I'll take you up on your offer.\Oh, by the way, where is Princess Millhiore right now?\Rouge is taking care of her.\I'm giving her first-class treatment. response:	I see.
context: Although the fortress attack was not bad, my expertise tends to lie with night battles.\Great! Go as crazy as you want.\Hey, have a drink! Eat up!\Yes, sir. I'll take you up on your offer.\Oh, by the way, where is Princess Millhiore right now?\Rouge is taking care of her.\I'm giving her first-class treatment.\I see. response:	After that... I happen to have a little idea.
context: Great! Go as crazy as you want.\Hey, have a drink! Eat up!\Yes, sir. I'll take you up on your offer.\Oh, by the way, where is Princess Millhiore right now?\Rouge is taking care of her.\I'm giving her first-class treatment.\I see.\After that... I happen to have a little idea. response:	Come in.
context: Hey, have a drink! Eat up!\Yes, sir. I'll take you up on your offer.\Oh, by the way, where is Princess Millhiore right now?\Rouge is taking care of her.\I'm giving her first-class treatment.\I see.\After that... I happen to have a little idea.\Come in. response:	Excuse me, Princess Mi, sorry to keep you waiting.
context: Yes, sir. I'll take you up on your offer.\Oh, by the way, where is Princess Millhiore right now?\Rouge is taking care of her.\I'm giving her first-class treatment.\I see.\After that... I happen to have a little idea.\Come in.\Excuse me, Princess Mi, sorry to keep you waiting. response:	I've brought Bano and her family.
context: Oh, by the way, where is Princess Millhiore right now?\Rouge is taking care of her.\I'm giving her first-class treatment.\I see.\After that... I happen to have a little idea.\Come in.\Excuse me, Princess Mi, sorry to keep you waiting.\I've brought Bano and her family. response:	Thank you, Rouge!
context: Rouge is taking care of her.\I'm giving her first-class treatment.\I see.\After that... I happen to have a little idea.\Come in.\Excuse me, Princess Mi, sorry to keep you waiting.\I've brought Bano and her family.\Thank you, Rouge! response:	It's been so long, Bano.
context: I'm giving her first-class treatment.\I see.\After that... I happen to have a little idea.\Come in.\Excuse me, Princess Mi, sorry to keep you waiting.\I've brought Bano and her family.\Thank you, Rouge!\It's been so long, Bano. response:	It's good to see that you're healthy.
context: I see.\After that... I happen to have a little idea.\Come in.\Excuse me, Princess Mi, sorry to keep you waiting.\I've brought Bano and her family.\Thank you, Rouge!\It's been so long, Bano.\It's good to see that you're healthy. response:	The kids look great too! What a healthy bunch!
context: After that... I happen to have a little idea.\Come in.\Excuse me, Princess Mi, sorry to keep you waiting.\I've brought Bano and her family.\Thank you, Rouge!\It's been so long, Bano.\It's good to see that you're healthy.\The kids look great too! What a healthy bunch! response:	Prince Gaul says that Bano would want to show you how well her kids are doing.
context: Come in.\Excuse me, Princess Mi, sorry to keep you waiting.\I've brought Bano and her family.\Thank you, Rouge!\It's been so long, Bano.\It's good to see that you're healthy.\The kids look great too! What a healthy bunch!\Prince Gaul says that Bano would want to show you how well her kids are doing. response:	Prince Gaul is so thoughtful as usual.
context: Excuse me, Princess Mi, sorry to keep you waiting.\I've brought Bano and her family.\Thank you, Rouge!\It's been so long, Bano.\It's good to see that you're healthy.\The kids look great too! What a healthy bunch!\Prince Gaul says that Bano would want to show you how well her kids are doing.\Prince Gaul is so thoughtful as usual. response:	Thank you very much.
context: I've brought Bano and her family.\Thank you, Rouge!\It's been so long, Bano.\It's good to see that you're healthy.\The kids look great too! What a healthy bunch!\Prince Gaul says that Bano would want to show you how well her kids are doing.\Prince Gaul is so thoughtful as usual.\Thank you very much. response:	Please don't mention it.
context: Thank you, Rouge!\It's been so long, Bano.\It's good to see that you're healthy.\The kids look great too! What a healthy bunch!\Prince Gaul says that Bano would want to show you how well her kids are doing.\Prince Gaul is so thoughtful as usual.\Thank you very much.\Please don't mention it. response:	It seems like the war hasn't started.
context: It's been so long, Bano.\It's good to see that you're healthy.\The kids look great too! What a healthy bunch!\Prince Gaul says that Bano would want to show you how well her kids are doing.\Prince Gaul is so thoughtful as usual.\Thank you very much.\Please don't mention it.\It seems like the war hasn't started. response:	If you are willing, please talk with Prince Gaul for a bit.
context: It's good to see that you're healthy.\The kids look great too! What a healthy bunch!\Prince Gaul says that Bano would want to show you how well her kids are doing.\Prince Gaul is so thoughtful as usual.\Thank you very much.\Please don't mention it.\It seems like the war hasn't started.\If you are willing, please talk with Prince Gaul for a bit. response:	I'll get him to come over right now.
context: The kids look great too! What a healthy bunch!\Prince Gaul says that Bano would want to show you how well her kids are doing.\Prince Gaul is so thoughtful as usual.\Thank you very much.\Please don't mention it.\It seems like the war hasn't started.\If you are willing, please talk with Prince Gaul for a bit.\I'll get him to come over right now. response:	Okay. Please do so, Rouge.
context: Prince Gaul says that Bano would want to show you how well her kids are doing.\Prince Gaul is so thoughtful as usual.\Thank you very much.\Please don't mention it.\It seems like the war hasn't started.\If you are willing, please talk with Prince Gaul for a bit.\I'll get him to come over right now.\Okay. Please do so, Rouge. response:	Bano, is your mistress,
context: Prince Gaul is so thoughtful as usual.\Thank you very much.\Please don't mention it.\It seems like the war hasn't started.\If you are willing, please talk with Prince Gaul for a bit.\I'll get him to come over right now.\Okay. Please do so, Rouge.\Bano, is your mistress, response:	Princess Leo, doing well?
context: Thank you very much.\Please don't mention it.\It seems like the war hasn't started.\If you are willing, please talk with Prince Gaul for a bit.\I'll get him to come over right now.\Okay. Please do so, Rouge.\Bano, is your mistress,\Princess Leo, doing well? response:	We used to travel to each other's countries.
context: Please don't mention it.\It seems like the war hasn't started.\If you are willing, please talk with Prince Gaul for a bit.\I'll get him to come over right now.\Okay. Please do so, Rouge.\Bano, is your mistress,\Princess Leo, doing well?\We used to travel to each other's countries. response:	Our friendship was supposed to be wonderful,
context: It seems like the war hasn't started.\If you are willing, please talk with Prince Gaul for a bit.\I'll get him to come over right now.\Okay. Please do so, Rouge.\Bano, is your mistress,\Princess Leo, doing well?\We used to travel to each other's countries.\Our friendship was supposed to be wonderful, response:	but these days she rarely meets with me.
context: If you are willing, please talk with Prince Gaul for a bit.\I'll get him to come over right now.\Okay. Please do so, Rouge.\Bano, is your mistress,\Princess Leo, doing well?\We used to travel to each other's countries.\Our friendship was supposed to be wonderful,\but these days she rarely meets with me. response:	The only topic of conversation that we have is related to war.
context: I'll get him to come over right now.\Okay. Please do so, Rouge.\Bano, is your mistress,\Princess Leo, doing well?\We used to travel to each other's countries.\Our friendship was supposed to be wonderful,\but these days she rarely meets with me.\The only topic of conversation that we have is related to war. response:	Could you tell her, on my behalf, that I am very lonely?
context: Okay. Please do so, Rouge.\Bano, is your mistress,\Princess Leo, doing well?\We used to travel to each other's countries.\Our friendship was supposed to be wonderful,\but these days she rarely meets with me.\The only topic of conversation that we have is related to war.\Could you tell her, on my behalf, that I am very lonely? response:	I'd like to wait for the main force, but we've run out of time!
context: Bano, is your mistress,\Princess Leo, doing well?\We used to travel to each other's countries.\Our friendship was supposed to be wonderful,\but these days she rarely meets with me.\The only topic of conversation that we have is related to war.\Could you tell her, on my behalf, that I am very lonely?\I'd like to wait for the main force, but we've run out of time! response:	Prince Gaul's men are all elites.
context: Princess Leo, doing well?\We used to travel to each other's countries.\Our friendship was supposed to be wonderful,\but these days she rarely meets with me.\The only topic of conversation that we have is related to war.\Could you tell her, on my behalf, that I am very lonely?\I'd like to wait for the main force, but we've run out of time!\Prince Gaul's men are all elites. response:	It'll be very difficult to fight so many enemies in the wild.
context: We used to travel to each other's countries.\Our friendship was supposed to be wonderful,\but these days she rarely meets with me.\The only topic of conversation that we have is related to war.\Could you tell her, on my behalf, that I am very lonely?\I'd like to wait for the main force, but we've run out of time!\Prince Gaul's men are all elites.\It'll be very difficult to fight so many enemies in the wild. response:	However, back in previous wars,
context: Our friendship was supposed to be wonderful,\but these days she rarely meets with me.\The only topic of conversation that we have is related to war.\Could you tell her, on my behalf, that I am very lonely?\I'd like to wait for the main force, but we've run out of time!\Prince Gaul's men are all elites.\It'll be very difficult to fight so many enemies in the wild.\However, back in previous wars, response:	there was one who faced armies of over a thousand.
context: but these days she rarely meets with me.\The only topic of conversation that we have is related to war.\Could you tell her, on my behalf, that I am very lonely?\I'd like to wait for the main force, but we've run out of time!\Prince Gaul's men are all elites.\It'll be very difficult to fight so many enemies in the wild.\However, back in previous wars,\there was one who faced armies of over a thousand. response:	She was a legendary knight who forced her way through a whole army by herself!
context: The only topic of conversation that we have is related to war.\Could you tell her, on my behalf, that I am very lonely?\I'd like to wait for the main force, but we've run out of time!\Prince Gaul's men are all elites.\It'll be very difficult to fight so many enemies in the wild.\However, back in previous wars,\there was one who faced armies of over a thousand.\She was a legendary knight who forced her way through a whole army by herself! response:	You serious?!
context: Could you tell her, on my behalf, that I am very lonely?\I'd like to wait for the main force, but we've run out of time!\Prince Gaul's men are all elites.\It'll be very difficult to fight so many enemies in the wild.\However, back in previous wars,\there was one who faced armies of over a thousand.\She was a legendary knight who forced her way through a whole army by herself!\You serious?! response:	Compared to that, we're about to face only a mere hundred enemies.
context: I'd like to wait for the main force, but we've run out of time!\Prince Gaul's men are all elites.\It'll be very difficult to fight so many enemies in the wild.\However, back in previous wars,\there was one who faced armies of over a thousand.\She was a legendary knight who forced her way through a whole army by herself!\You serious?!\Compared to that, we're about to face only a mere hundred enemies. response:	Right. We've got Rico's support too!
context: Prince Gaul's men are all elites.\It'll be very difficult to fight so many enemies in the wild.\However, back in previous wars,\there was one who faced armies of over a thousand.\She was a legendary knight who forced her way through a whole army by herself!\You serious?!\Compared to that, we're about to face only a mere hundred enemies.\Right. We've got Rico's support too! response:	Nothing is impossible!
