context: What are you so angry about? response:	Hey!
context: She ran into the street herself!\Wait.\Wait, please!\When is Isabelle waking up?\I haven't heard her voice in a long time.\Isabelle.\Isabelle!\Isabelle! response:	Ulysse, Isabelle is gone.
context: Wait.\Wait, please!\When is Isabelle waking up?\I haven't heard her voice in a long time.\Isabelle.\Isabelle!\Isabelle!\Ulysse, Isabelle is gone. response:	She's just sleeping.
context: Wait, please!\When is Isabelle waking up?\I haven't heard her voice in a long time.\Isabelle.\Isabelle!\Isabelle!\Ulysse, Isabelle is gone.\She's just sleeping. response:	We're going home.
context: When is Isabelle waking up?\I haven't heard her voice in a long time.\Isabelle.\Isabelle!\Isabelle!\Ulysse, Isabelle is gone.\She's just sleeping.\We're going home. response:	No.
context: I haven't heard her voice in a long time.\Isabelle.\Isabelle!\Isabelle!\Ulysse, Isabelle is gone.\She's just sleeping.\We're going home.\No. response:	No, Father.
context: Isabelle.\Isabelle!\Isabelle!\Ulysse, Isabelle is gone.\She's just sleeping.\We're going home.\No.\No, Father. response:	I'm waiting here.
context: Isabelle!\Isabelle!\Ulysse, Isabelle is gone.\She's just sleeping.\We're going home.\No.\No, Father.\I'm waiting here. response:	She's going to be lonely if she wakes up alone.
context: Isabelle!\Ulysse, Isabelle is gone.\She's just sleeping.\We're going home.\No.\No, Father.\I'm waiting here.\She's going to be lonely if she wakes up alone. response:	Always.
context: Ulysse, Isabelle is gone.\She's just sleeping.\We're going home.\No.\No, Father.\I'm waiting here.\She's going to be lonely if she wakes up alone.\Always. response:	Forever.
context: She's just sleeping.\We're going home.\No.\No, Father.\I'm waiting here.\She's going to be lonely if she wakes up alone.\Always.\Forever. response:	It's all right.
context: We're going home.\No.\No, Father.\I'm waiting here.\She's going to be lonely if she wakes up alone.\Always.\Forever.\It's all right. response:	I woke up, didn't I?
context: No.\No, Father.\I'm waiting here.\She's going to be lonely if she wakes up alone.\Always.\Forever.\It's all right.\I woke up, didn't I? response:	Chise...
context: No, Father.\I'm waiting here.\She's going to be lonely if she wakes up alone.\Always.\Forever.\It's all right.\I woke up, didn't I?\Chise... response:	Elias.
context: I'm waiting here.\She's going to be lonely if she wakes up alone.\Always.\Forever.\It's all right.\I woke up, didn't I?\Chise...\Elias. response:	Aww... Her materials cost quite a bit, you know.
context: She's going to be lonely if she wakes up alone.\Always.\Forever.\It's all right.\I woke up, didn't I?\Chise...\Elias.\Aww... Her materials cost quite a bit, you know. response:	Corpses aren't free, nor is managing the containers.
context: Always.\Forever.\It's all right.\I woke up, didn't I?\Chise...\Elias.\Aww... Her materials cost quite a bit, you know.\Corpses aren't free, nor is managing the containers. response:	Cartaphilus.
context: Forever.\It's all right.\I woke up, didn't I?\Chise...\Elias.\Aww... Her materials cost quite a bit, you know.\Corpses aren't free, nor is managing the containers.\Cartaphilus. response:	Don't you dare call me by that name.
context: It's all right.\I woke up, didn't I?\Chise...\Elias.\Aww... Her materials cost quite a bit, you know.\Corpses aren't free, nor is managing the containers.\Cartaphilus.\Don't you dare call me by that name. response:	You're just a monster that found a human body.
context: I woke up, didn't I?\Chise...\Elias.\Aww... Her materials cost quite a bit, you know.\Corpses aren't free, nor is managing the containers.\Cartaphilus.\Don't you dare call me by that name.\You're just a monster that found a human body. response:	Elias!
context: Chise...\Elias.\Aww... Her materials cost quite a bit, you know.\Corpses aren't free, nor is managing the containers.\Cartaphilus.\Don't you dare call me by that name.\You're just a monster that found a human body.\Elias! response:	A freak calling another a freak, huh?
context: Elias.\Aww... Her materials cost quite a bit, you know.\Corpses aren't free, nor is managing the containers.\Cartaphilus.\Don't you dare call me by that name.\You're just a monster that found a human body.\Elias!\A freak calling another a freak, huh? response:	What a joke.
context: Aww... Her materials cost quite a bit, you know.\Corpses aren't free, nor is managing the containers.\Cartaphilus.\Don't you dare call me by that name.\You're just a monster that found a human body.\Elias!\A freak calling another a freak, huh?\What a joke. response:	I've put a spell on the bullet to stop regeneration.
context: Corpses aren't free, nor is managing the containers.\Cartaphilus.\Don't you dare call me by that name.\You're just a monster that found a human body.\Elias!\A freak calling another a freak, huh?\What a joke.\I've put a spell on the bullet to stop regeneration. response:	Chise, you're alive...
context: Cartaphilus.\Don't you dare call me by that name.\You're just a monster that found a human body.\Elias!\A freak calling another a freak, huh?\What a joke.\I've put a spell on the bullet to stop regeneration.\Chise, you're alive... response:	Looks like it works.
context: Don't you dare call me by that name.\You're just a monster that found a human body.\Elias!\A freak calling another a freak, huh?\What a joke.\I've put a spell on the bullet to stop regeneration.\Chise, you're alive...\Looks like it works. response:	I'm in a bit...
context: You're just a monster that found a human body.\Elias!\A freak calling another a freak, huh?\What a joke.\I've put a spell on the bullet to stop regeneration.\Chise, you're alive...\Looks like it works.\I'm in a bit... response:	Well, I'm in a lot of pain.
context: Elias!\A freak calling another a freak, huh?\What a joke.\I've put a spell on the bullet to stop regeneration.\Chise, you're alive...\Looks like it works.\I'm in a bit...\Well, I'm in a lot of pain. response:	But I made it.
context: A freak calling another a freak, huh?\What a joke.\I've put a spell on the bullet to stop regeneration.\Chise, you're alive...\Looks like it works.\I'm in a bit...\Well, I'm in a lot of pain.\But I made it. response:	I'm surprised.
context: What a joke.\I've put a spell on the bullet to stop regeneration.\Chise, you're alive...\Looks like it works.\I'm in a bit...\Well, I'm in a lot of pain.\But I made it.\I'm surprised. response:	I'm a little surprised, too.
context: I've put a spell on the bullet to stop regeneration.\Chise, you're alive...\Looks like it works.\I'm in a bit...\Well, I'm in a lot of pain.\But I made it.\I'm surprised.\I'm a little surprised, too. response:	Chise, am I not terrifying in this form?
context: Chise, you're alive...\Looks like it works.\I'm in a bit...\Well, I'm in a lot of pain.\But I made it.\I'm surprised.\I'm a little surprised, too.\Chise, am I not terrifying in this form? response:	I'm going to turn back, so let go.
context: Looks like it works.\I'm in a bit...\Well, I'm in a lot of pain.\But I made it.\I'm surprised.\I'm a little surprised, too.\Chise, am I not terrifying in this form?\I'm going to turn back, so let go. response:	You're right.
context: I'm in a bit...\Well, I'm in a lot of pain.\But I made it.\I'm surprised.\I'm a little surprised, too.\Chise, am I not terrifying in this form?\I'm going to turn back, so let go.\You're right. response:	I don't think you could get through the door being that tall.
context: Well, I'm in a lot of pain.\But I made it.\I'm surprised.\I'm a little surprised, too.\Chise, am I not terrifying in this form?\I'm going to turn back, so let go.\You're right.\I don't think you could get through the door being that tall. response:	You should probably turn back.
context: But I made it.\I'm surprised.\I'm a little surprised, too.\Chise, am I not terrifying in this form?\I'm going to turn back, so let go.\You're right.\I don't think you could get through the door being that tall.\You should probably turn back. response:	You're right...
context: I'm surprised.\I'm a little surprised, too.\Chise, am I not terrifying in this form?\I'm going to turn back, so let go.\You're right.\I don't think you could get through the door being that tall.\You should probably turn back.\You're right... response:	Silky would be furious with me if I broke the door.
context: I'm a little surprised, too.\Chise, am I not terrifying in this form?\I'm going to turn back, so let go.\You're right.\I don't think you could get through the door being that tall.\You should probably turn back.\You're right...\Silky would be furious with me if I broke the door. response:	I'd apologize with you even if she was.
context: Chise, am I not terrifying in this form?\I'm going to turn back, so let go.\You're right.\I don't think you could get through the door being that tall.\You should probably turn back.\You're right...\Silky would be furious with me if I broke the door.\I'd apologize with you even if she was. response:	That's reassuring.
context: I'm going to turn back, so let go.\You're right.\I don't think you could get through the door being that tall.\You should probably turn back.\You're right...\Silky would be furious with me if I broke the door.\I'd apologize with you even if she was.\That's reassuring. response:	This girl has strange taste.
context: You're right.\I don't think you could get through the door being that tall.\You should probably turn back.\You're right...\Silky would be furious with me if I broke the door.\I'd apologize with you even if she was.\That's reassuring.\This girl has strange taste. response:	Master!
context: I don't think you could get through the door being that tall.\You should probably turn back.\You're right...\Silky would be furious with me if I broke the door.\I'd apologize with you even if she was.\That's reassuring.\This girl has strange taste.\Master! response:	Alice.
context: You should probably turn back.\You're right...\Silky would be furious with me if I broke the door.\I'd apologize with you even if she was.\That's reassuring.\This girl has strange taste.\Master!\Alice. response:	Master...
context: You're right...\Silky would be furious with me if I broke the door.\I'd apologize with you even if she was.\That's reassuring.\This girl has strange taste.\Master!\Alice.\Master... response:	You idiot!
context: Silky would be furious with me if I broke the door.\I'd apologize with you even if she was.\That's reassuring.\This girl has strange taste.\Master!\Alice.\Master...\You idiot! response:	Don't go darting off like that!
context: I'd apologize with you even if she was.\That's reassuring.\This girl has strange taste.\Master!\Alice.\Master...\You idiot!\Don't go darting off like that! response:	I thought about abandoning you when I saw your letter.
context: That's reassuring.\This girl has strange taste.\Master!\Alice.\Master...\You idiot!\Don't go darting off like that!\I thought about abandoning you when I saw your letter. response:	I'm sorry.
context: This girl has strange taste.\Master!\Alice.\Master...\You idiot!\Don't go darting off like that!\I thought about abandoning you when I saw your letter.\I'm sorry. response:	Don't overestimate your own strength.
context: Master!\Alice.\Master...\You idiot!\Don't go darting off like that!\I thought about abandoning you when I saw your letter.\I'm sorry.\Don't overestimate your own strength. response:	Think about it.
context: Alice.\Master...\You idiot!\Don't go darting off like that!\I thought about abandoning you when I saw your letter.\I'm sorry.\Don't overestimate your own strength.\Think about it. response:	But!
context: Master...\You idiot!\Don't go darting off like that!\I thought about abandoning you when I saw your letter.\I'm sorry.\Don't overestimate your own strength.\Think about it.\But! response:	But...
context: You idiot!\Don't go darting off like that!\I thought about abandoning you when I saw your letter.\I'm sorry.\Don't overestimate your own strength.\Think about it.\But!\But... response:	You wouldn't have...
context: Don't go darting off like that!\I thought about abandoning you when I saw your letter.\I'm sorry.\Don't overestimate your own strength.\Think about it.\But!\But...\You wouldn't have... response:	You're my apprentice and my bodyguard.
context: I thought about abandoning you when I saw your letter.\I'm sorry.\Don't overestimate your own strength.\Think about it.\But!\But...\You wouldn't have...\You're my apprentice and my bodyguard. response:	A bodyguard ought not to leave their master's side.
context: I'm sorry.\Don't overestimate your own strength.\Think about it.\But!\But...\You wouldn't have...\You're my apprentice and my bodyguard.\A bodyguard ought not to leave their master's side. response:	Yes, sir.
context: Don't overestimate your own strength.\Think about it.\But!\But...\You wouldn't have...\You're my apprentice and my bodyguard.\A bodyguard ought not to leave their master's side.\Yes, sir. response:	You're awful.
context: Think about it.\But!\But...\You wouldn't have...\You're my apprentice and my bodyguard.\A bodyguard ought not to leave their master's side.\Yes, sir.\You're awful. response:	The brain's complicated.
context: But!\But...\You wouldn't have...\You're my apprentice and my bodyguard.\A bodyguard ought not to leave their master's side.\Yes, sir.\You're awful.\The brain's complicated. response:	It takes a lot of work to fix.
context: But...\You wouldn't have...\You're my apprentice and my bodyguard.\A bodyguard ought not to leave their master's side.\Yes, sir.\You're awful.\The brain's complicated.\It takes a lot of work to fix. response:	You...
context: You wouldn't have...\You're my apprentice and my bodyguard.\A bodyguard ought not to leave their master's side.\Yes, sir.\You're awful.\The brain's complicated.\It takes a lot of work to fix.\You... response:	I just want that dog because he'd make a good subject.
context: You're my apprentice and my bodyguard.\A bodyguard ought not to leave their master's side.\Yes, sir.\You're awful.\The brain's complicated.\It takes a lot of work to fix.\You...\I just want that dog because he'd make a good subject. response:	Sorcerers don't step into mage territory.
context: A bodyguard ought not to leave their master's side.\Yes, sir.\You're awful.\The brain's complicated.\It takes a lot of work to fix.\You...\I just want that dog because he'd make a good subject.\Sorcerers don't step into mage territory. response:	That was a tacit agreement.
context: Yes, sir.\You're awful.\The brain's complicated.\It takes a lot of work to fix.\You...\I just want that dog because he'd make a good subject.\Sorcerers don't step into mage territory.\That was a tacit agreement. response:	Why do you go after the fairies?
context: You're awful.\The brain's complicated.\It takes a lot of work to fix.\You...\I just want that dog because he'd make a good subject.\Sorcerers don't step into mage territory.\That was a tacit agreement.\Why do you go after the fairies? response:	Because it seems fun.
context: The brain's complicated.\It takes a lot of work to fix.\You...\I just want that dog because he'd make a good subject.\Sorcerers don't step into mage territory.\That was a tacit agreement.\Why do you go after the fairies?\Because it seems fun. response:	I could make something interesting if I used a fairy for a chimera.
context: It takes a lot of work to fix.\You...\I just want that dog because he'd make a good subject.\Sorcerers don't step into mage territory.\That was a tacit agreement.\Why do you go after the fairies?\Because it seems fun.\I could make something interesting if I used a fairy for a chimera. response:	But fairy curses are a pain to deal with.
context: You...\I just want that dog because he'd make a good subject.\Sorcerers don't step into mage territory.\That was a tacit agreement.\Why do you go after the fairies?\Because it seems fun.\I could make something interesting if I used a fairy for a chimera.\But fairy curses are a pain to deal with. response:	That's why I put a collar on that sorcerer.
context: I just want that dog because he'd make a good subject.\Sorcerers don't step into mage territory.\That was a tacit agreement.\Why do you go after the fairies?\Because it seems fun.\I could make something interesting if I used a fairy for a chimera.\But fairy curses are a pain to deal with.\That's why I put a collar on that sorcerer. response:	You monster.
context: Sorcerers don't step into mage territory.\That was a tacit agreement.\Why do you go after the fairies?\Because it seems fun.\I could make something interesting if I used a fairy for a chimera.\But fairy curses are a pain to deal with.\That's why I put a collar on that sorcerer.\You monster. response:	I don't need a dog if it can't even run my errands.
context: That was a tacit agreement.\Why do you go after the fairies?\Because it seems fun.\I could make something interesting if I used a fairy for a chimera.\But fairy curses are a pain to deal with.\That's why I put a collar on that sorcerer.\You monster.\I don't need a dog if it can't even run my errands. response:	Isn't...
context: Why do you go after the fairies?\Because it seems fun.\I could make something interesting if I used a fairy for a chimera.\But fairy curses are a pain to deal with.\That's why I put a collar on that sorcerer.\You monster.\I don't need a dog if it can't even run my errands.\Isn't... response:	that...
context: Because it seems fun.\I could make something interesting if I used a fairy for a chimera.\But fairy curses are a pain to deal with.\That's why I put a collar on that sorcerer.\You monster.\I don't need a dog if it can't even run my errands.\Isn't...\that... response:	Isabelle?
context: I could make something interesting if I used a fairy for a chimera.\But fairy curses are a pain to deal with.\That's why I put a collar on that sorcerer.\You monster.\I don't need a dog if it can't even run my errands.\Isn't...\that...\Isabelle? response:	That isn't your Isabelle.
context: But fairy curses are a pain to deal with.\That's why I put a collar on that sorcerer.\You monster.\I don't need a dog if it can't even run my errands.\Isn't...\that...\Isabelle?\That isn't your Isabelle. response:	I've seen you before.
context: That's why I put a collar on that sorcerer.\You monster.\I don't need a dog if it can't even run my errands.\Isn't...\that...\Isabelle?\That isn't your Isabelle.\I've seen you before. response:	You deceived Matthew in Ulthar and killed Mina.
context: You monster.\I don't need a dog if it can't even run my errands.\Isn't...\that...\Isabelle?\That isn't your Isabelle.\I've seen you before.\You deceived Matthew in Ulthar and killed Mina. response:	Ulthar?
context: I don't need a dog if it can't even run my errands.\Isn't...\that...\Isabelle?\That isn't your Isabelle.\I've seen you before.\You deceived Matthew in Ulthar and killed Mina.\Ulthar? response:	Oh, the cat experiment.
context: Isn't...\that...\Isabelle?\That isn't your Isabelle.\I've seen you before.\You deceived Matthew in Ulthar and killed Mina.\Ulthar?\Oh, the cat experiment. response:	I think I could get some decent results if I tried it again.
context: that...\Isabelle?\That isn't your Isabelle.\I've seen you before.\You deceived Matthew in Ulthar and killed Mina.\Ulthar?\Oh, the cat experiment.\I think I could get some decent results if I tried it again. response:	What do you think?
context: Isabelle?\That isn't your Isabelle.\I've seen you before.\You deceived Matthew in Ulthar and killed Mina.\Ulthar?\Oh, the cat experiment.\I think I could get some decent results if I tried it again.\What do you think? response:	Chise.
context: That isn't your Isabelle.\I've seen you before.\You deceived Matthew in Ulthar and killed Mina.\Ulthar?\Oh, the cat experiment.\I think I could get some decent results if I tried it again.\What do you think?\Chise. response:	You won't have him.
context: I've seen you before.\You deceived Matthew in Ulthar and killed Mina.\Ulthar?\Oh, the cat experiment.\I think I could get some decent results if I tried it again.\What do you think?\Chise.\You won't have him. response:	I absolutely won't let you have him!
context: You deceived Matthew in Ulthar and killed Mina.\Ulthar?\Oh, the cat experiment.\I think I could get some decent results if I tried it again.\What do you think?\Chise.\You won't have him.\I absolutely won't let you have him! response:	What an annoying brat.
context: Ulthar?\Oh, the cat experiment.\I think I could get some decent results if I tried it again.\What do you think?\Chise.\You won't have him.\I absolutely won't let you have him!\What an annoying brat. response:	Chise...
context: Oh, the cat experiment.\I think I could get some decent results if I tried it again.\What do you think?\Chise.\You won't have him.\I absolutely won't let you have him!\What an annoying brat.\Chise... response:	Anything?
context: I think I could get some decent results if I tried it again.\What do you think?\Chise.\You won't have him.\I absolutely won't let you have him!\What an annoying brat.\Chise...\Anything? response:	Yup.
context: What do you think?\Chise.\You won't have him.\I absolutely won't let you have him!\What an annoying brat.\Chise...\Anything?\Yup. response:	Truth be told, you can do anything with magic.
context: Chise.\You won't have him.\I absolutely won't let you have him!\What an annoying brat.\Chise...\Anything?\Yup.\Truth be told, you can do anything with magic. response:	You can turn rocks into gold,
context: You won't have him.\I absolutely won't let you have him!\What an annoying brat.\Chise...\Anything?\Yup.\Truth be told, you can do anything with magic.\You can turn rocks into gold, response:	make fish swim through the sky, keep harvests from ever rotting.
context: I absolutely won't let you have him!\What an annoying brat.\Chise...\Anything?\Yup.\Truth be told, you can do anything with magic.\You can turn rocks into gold,\make fish swim through the sky, keep harvests from ever rotting. response:	His words fly through my mind.
context: What an annoying brat.\Chise...\Anything?\Yup.\Truth be told, you can do anything with magic.\You can turn rocks into gold,\make fish swim through the sky, keep harvests from ever rotting.\His words fly through my mind. response:	But... that's something that must not be done.
context: Chise...\Anything?\Yup.\Truth be told, you can do anything with magic.\You can turn rocks into gold,\make fish swim through the sky, keep harvests from ever rotting.\His words fly through my mind.\But... that's something that must not be done. response:	I won't let you have him.
context: Anything?\Yup.\Truth be told, you can do anything with magic.\You can turn rocks into gold,\make fish swim through the sky, keep harvests from ever rotting.\His words fly through my mind.\But... that's something that must not be done.\I won't let you have him. response:	You're pretty knowledgeable for a kid.
context: Yup.\Truth be told, you can do anything with magic.\You can turn rocks into gold,\make fish swim through the sky, keep harvests from ever rotting.\His words fly through my mind.\But... that's something that must not be done.\I won't let you have him.\You're pretty knowledgeable for a kid. response:	Tarantula hawks.
context: Truth be told, you can do anything with magic.\You can turn rocks into gold,\make fish swim through the sky, keep harvests from ever rotting.\His words fly through my mind.\But... that's something that must not be done.\I won't let you have him.\You're pretty knowledgeable for a kid.\Tarantula hawks. response:	They prey on spiders.
context: You can turn rocks into gold,\make fish swim through the sky, keep harvests from ever rotting.\His words fly through my mind.\But... that's something that must not be done.\I won't let you have him.\You're pretty knowledgeable for a kid.\Tarantula hawks.\They prey on spiders. response:	But being so small,
context: make fish swim through the sky, keep harvests from ever rotting.\His words fly through my mind.\But... that's something that must not be done.\I won't let you have him.\You're pretty knowledgeable for a kid.\Tarantula hawks.\They prey on spiders.\But being so small, response:	they're just going to get eaten.
context: His words fly through my mind.\But... that's something that must not be done.\I won't let you have him.\You're pretty knowledgeable for a kid.\Tarantula hawks.\They prey on spiders.\But being so small,\they're just going to get eaten. response:	Chise, stop this!
context: But... that's something that must not be done.\I won't let you have him.\You're pretty knowledgeable for a kid.\Tarantula hawks.\They prey on spiders.\But being so small,\they're just going to get eaten.\Chise, stop this! response:	Your body is...
context: I won't let you have him.\You're pretty knowledgeable for a kid.\Tarantula hawks.\They prey on spiders.\But being so small,\they're just going to get eaten.\Chise, stop this!\Your body is... response:	Mage!
context: You're pretty knowledgeable for a kid.\Tarantula hawks.\They prey on spiders.\But being so small,\they're just going to get eaten.\Chise, stop this!\Your body is...\Mage! response:	She just ate a little of me.
context: Tarantula hawks.\They prey on spiders.\But being so small,\they're just going to get eaten.\Chise, stop this!\Your body is...\Mage!\She just ate a little of me. response:	Chise!
context: They prey on spiders.\But being so small,\they're just going to get eaten.\Chise, stop this!\Your body is...\Mage!\She just ate a little of me.\Chise! response:	Chise!
context: But being so small,\they're just going to get eaten.\Chise, stop this!\Your body is...\Mage!\She just ate a little of me.\Chise!\Chise! response:	Chise, you mustn't do that.
context: they're just going to get eaten.\Chise, stop this!\Your body is...\Mage!\She just ate a little of me.\Chise!\Chise!\Chise, you mustn't do that. response:	We must not twist the rules of this world!
context: Chise, stop this!\Your body is...\Mage!\She just ate a little of me.\Chise!\Chise!\Chise, you mustn't do that.\We must not twist the rules of this world! response:	Horse and Hattock!
context: Your body is...\Mage!\She just ate a little of me.\Chise!\Chise!\Chise, you mustn't do that.\We must not twist the rules of this world!\Horse and Hattock! response:	A fairy spell, huh?
context: Mage!\She just ate a little of me.\Chise!\Chise!\Chise, you mustn't do that.\We must not twist the rules of this world!\Horse and Hattock!\A fairy spell, huh? response:	Not bad.
context: She just ate a little of me.\Chise!\Chise!\Chise, you mustn't do that.\We must not twist the rules of this world!\Horse and Hattock!\A fairy spell, huh?\Not bad. response:	Why did I want that, again?
context: Chise!\Chise!\Chise, you mustn't do that.\We must not twist the rules of this world!\Horse and Hattock!\A fairy spell, huh?\Not bad.\Why did I want that, again? response:	To make a chimera.
context: Chise!\Chise, you mustn't do that.\We must not twist the rules of this world!\Horse and Hattock!\A fairy spell, huh?\Not bad.\Why did I want that, again?\To make a chimera. response:	Why did I want to make a chimera in the first place?
context: Chise, you mustn't do that.\We must not twist the rules of this world!\Horse and Hattock!\A fairy spell, huh?\Not bad.\Why did I want that, again?\To make a chimera.\Why did I want to make a chimera in the first place? response:	For what purpose?
context: We must not twist the rules of this world!\Horse and Hattock!\A fairy spell, huh?\Not bad.\Why did I want that, again?\To make a chimera.\Why did I want to make a chimera in the first place?\For what purpose? response:	Oh, whatever.
context: Horse and Hattock!\A fairy spell, huh?\Not bad.\Why did I want that, again?\To make a chimera.\Why did I want to make a chimera in the first place?\For what purpose?\Oh, whatever. response:	Now, go find him with your strings.
