context: I have to rescue Kagome! response:	So don't bother me at a time like this!
context: Not only the Birds of Paradise have the fragments.\We can gather all the fragments in this region.\All the fragments?\Then we'll be invincible!\That's right.\So she's much more useful to us than some demon woman.\Kagome... that's what you're called?\From today, you're my woman. response:	Understood?
context: We can gather all the fragments in this region.\All the fragments?\Then we'll be invincible!\That's right.\So she's much more useful to us than some demon woman.\Kagome... that's what you're called?\From today, you're my woman.\Understood? response:	S-say... don't touch me, stupid!
context: All the fragments?\Then we'll be invincible!\That's right.\So she's much more useful to us than some demon woman.\Kagome... that's what you're called?\From today, you're my woman.\Understood?\S-say... don't touch me, stupid! response:	She slapped Koga!
context: Then we'll be invincible!\That's right.\So she's much more useful to us than some demon woman.\Kagome... that's what you're called?\From today, you're my woman.\Understood?\S-say... don't touch me, stupid!\She slapped Koga! response:	She's as good as dead.
context: That's right.\So she's much more useful to us than some demon woman.\Kagome... that's what you're called?\From today, you're my woman.\Understood?\S-say... don't touch me, stupid!\She slapped Koga!\She's as good as dead. response:	Ou... ch...
context: So she's much more useful to us than some demon woman.\Kagome... that's what you're called?\From today, you're my woman.\Understood?\S-say... don't touch me, stupid!\She slapped Koga!\She's as good as dead.\Ou... ch... response:	H-hey... It's rude to claim a girl as your woman.
context: Kagome... that's what you're called?\From today, you're my woman.\Understood?\S-say... don't touch me, stupid!\She slapped Koga!\She's as good as dead.\Ou... ch...\H-hey... It's rude to claim a girl as your woman. response:	Besides, I already have someone I'm seeing.
context: From today, you're my woman.\Understood?\S-say... don't touch me, stupid!\She slapped Koga!\She's as good as dead.\Ou... ch...\H-hey... It's rude to claim a girl as your woman.\Besides, I already have someone I'm seeing. response:	Seeing? Not that mutt-face.
context: Understood?\S-say... don't touch me, stupid!\She slapped Koga!\She's as good as dead.\Ou... ch...\H-hey... It's rude to claim a girl as your woman.\Besides, I already have someone I'm seeing.\Seeing? Not that mutt-face. response:	Yes, that mutt-face... No! His name is Inuyasha!
context: S-say... don't touch me, stupid!\She slapped Koga!\She's as good as dead.\Ou... ch...\H-hey... It's rude to claim a girl as your woman.\Besides, I already have someone I'm seeing.\Seeing? Not that mutt-face.\Yes, that mutt-face... No! His name is Inuyasha! response:	My sweetheart has a name, Inuyasha!
context: She slapped Koga!\She's as good as dead.\Ou... ch...\H-hey... It's rude to claim a girl as your woman.\Besides, I already have someone I'm seeing.\Seeing? Not that mutt-face.\Yes, that mutt-face... No! His name is Inuyasha!\My sweetheart has a name, Inuyasha! response:	Stop calling him mutt-face!
context: She's as good as dead.\Ou... ch...\H-hey... It's rude to claim a girl as your woman.\Besides, I already have someone I'm seeing.\Seeing? Not that mutt-face.\Yes, that mutt-face... No! His name is Inuyasha!\My sweetheart has a name, Inuyasha!\Stop calling him mutt-face! response:	Hmm... You and that guy, huh?
context: Ou... ch...\H-hey... It's rude to claim a girl as your woman.\Besides, I already have someone I'm seeing.\Seeing? Not that mutt-face.\Yes, that mutt-face... No! His name is Inuyasha!\My sweetheart has a name, Inuyasha!\Stop calling him mutt-face!\Hmm... You and that guy, huh? response:	What am I saying?! Inuyasha is in love with Kikyo!
context: H-hey... It's rude to claim a girl as your woman.\Besides, I already have someone I'm seeing.\Seeing? Not that mutt-face.\Yes, that mutt-face... No! His name is Inuyasha!\My sweetheart has a name, Inuyasha!\Stop calling him mutt-face!\Hmm... You and that guy, huh?\What am I saying?! Inuyasha is in love with Kikyo! response:	I see, so that's it?
context: Besides, I already have someone I'm seeing.\Seeing? Not that mutt-face.\Yes, that mutt-face... No! His name is Inuyasha!\My sweetheart has a name, Inuyasha!\Stop calling him mutt-face!\Hmm... You and that guy, huh?\What am I saying?! Inuyasha is in love with Kikyo!\I see, so that's it? response:	Well, it's just as well. Next time I see him, I'll kill'im!
context: Seeing? Not that mutt-face.\Yes, that mutt-face... No! His name is Inuyasha!\My sweetheart has a name, Inuyasha!\Stop calling him mutt-face!\Hmm... You and that guy, huh?\What am I saying?! Inuyasha is in love with Kikyo!\I see, so that's it?\Well, it's just as well. Next time I see him, I'll kill'im! response:	And when this Inuyasha fella is dead, there won't be a problem.
context: Yes, that mutt-face... No! His name is Inuyasha!\My sweetheart has a name, Inuyasha!\Stop calling him mutt-face!\Hmm... You and that guy, huh?\What am I saying?! Inuyasha is in love with Kikyo!\I see, so that's it?\Well, it's just as well. Next time I see him, I'll kill'im!\And when this Inuyasha fella is dead, there won't be a problem. response:	Sango! Are they allies of the Wolf-Demon Tribe?
context: My sweetheart has a name, Inuyasha!\Stop calling him mutt-face!\Hmm... You and that guy, huh?\What am I saying?! Inuyasha is in love with Kikyo!\I see, so that's it?\Well, it's just as well. Next time I see him, I'll kill'im!\And when this Inuyasha fella is dead, there won't be a problem.\Sango! Are they allies of the Wolf-Demon Tribe? response:	I'm not sure.
context: Stop calling him mutt-face!\Hmm... You and that guy, huh?\What am I saying?! Inuyasha is in love with Kikyo!\I see, so that's it?\Well, it's just as well. Next time I see him, I'll kill'im!\And when this Inuyasha fella is dead, there won't be a problem.\Sango! Are they allies of the Wolf-Demon Tribe?\I'm not sure. response:	Hey, Miroku! Get to work, will ya?!
context: Hmm... You and that guy, huh?\What am I saying?! Inuyasha is in love with Kikyo!\I see, so that's it?\Well, it's just as well. Next time I see him, I'll kill'im!\And when this Inuyasha fella is dead, there won't be a problem.\Sango! Are they allies of the Wolf-Demon Tribe?\I'm not sure.\Hey, Miroku! Get to work, will ya?! response:	Inuyasha... get captured by these birds.
context: What am I saying?! Inuyasha is in love with Kikyo!\I see, so that's it?\Well, it's just as well. Next time I see him, I'll kill'im!\And when this Inuyasha fella is dead, there won't be a problem.\Sango! Are they allies of the Wolf-Demon Tribe?\I'm not sure.\Hey, Miroku! Get to work, will ya?!\Inuyasha... get captured by these birds. response:	What?!
context: I see, so that's it?\Well, it's just as well. Next time I see him, I'll kill'im!\And when this Inuyasha fella is dead, there won't be a problem.\Sango! Are they allies of the Wolf-Demon Tribe?\I'm not sure.\Hey, Miroku! Get to work, will ya?!\Inuyasha... get captured by these birds.\What?! response:	What're you thinking, Miroku?
context: Well, it's just as well. Next time I see him, I'll kill'im!\And when this Inuyasha fella is dead, there won't be a problem.\Sango! Are they allies of the Wolf-Demon Tribe?\I'm not sure.\Hey, Miroku! Get to work, will ya?!\Inuyasha... get captured by these birds.\What?!\What're you thinking, Miroku? response:	If this area is the hunting ground of these bird demons...
context: And when this Inuyasha fella is dead, there won't be a problem.\Sango! Are they allies of the Wolf-Demon Tribe?\I'm not sure.\Hey, Miroku! Get to work, will ya?!\Inuyasha... get captured by these birds.\What?!\What're you thinking, Miroku?\If this area is the hunting ground of these bird demons... response:	there should be bones and skeletons of wolves.
context: Sango! Are they allies of the Wolf-Demon Tribe?\I'm not sure.\Hey, Miroku! Get to work, will ya?!\Inuyasha... get captured by these birds.\What?!\What're you thinking, Miroku?\If this area is the hunting ground of these bird demons...\there should be bones and skeletons of wolves. response:	But there's not a single one.
context: I'm not sure.\Hey, Miroku! Get to work, will ya?!\Inuyasha... get captured by these birds.\What?!\What're you thinking, Miroku?\If this area is the hunting ground of these bird demons...\there should be bones and skeletons of wolves.\But there's not a single one. response:	So they're in alliance with the Wolf-Demon Tribe?
context: Hey, Miroku! Get to work, will ya?!\Inuyasha... get captured by these birds.\What?!\What're you thinking, Miroku?\If this area is the hunting ground of these bird demons...\there should be bones and skeletons of wolves.\But there's not a single one.\So they're in alliance with the Wolf-Demon Tribe? response:	That's what I suspect.
context: Inuyasha... get captured by these birds.\What?!\What're you thinking, Miroku?\If this area is the hunting ground of these bird demons...\there should be bones and skeletons of wolves.\But there's not a single one.\So they're in alliance with the Wolf-Demon Tribe?\That's what I suspect. response:	And so...
context: What?!\What're you thinking, Miroku?\If this area is the hunting ground of these bird demons...\there should be bones and skeletons of wolves.\But there's not a single one.\So they're in alliance with the Wolf-Demon Tribe?\That's what I suspect.\And so... response:	If I get captured, I'll get taken to their nest...
context: What're you thinking, Miroku?\If this area is the hunting ground of these bird demons...\there should be bones and skeletons of wolves.\But there's not a single one.\So they're in alliance with the Wolf-Demon Tribe?\That's what I suspect.\And so...\If I get captured, I'll get taken to their nest... response:	I'll be able to save Kagome and we'll live happily ever after.
context: If this area is the hunting ground of these bird demons...\there should be bones and skeletons of wolves.\But there's not a single one.\So they're in alliance with the Wolf-Demon Tribe?\That's what I suspect.\And so...\If I get captured, I'll get taken to their nest...\I'll be able to save Kagome and we'll live happily ever after. response:	Awright!
context: there should be bones and skeletons of wolves.\But there's not a single one.\So they're in alliance with the Wolf-Demon Tribe?\That's what I suspect.\And so...\If I get captured, I'll get taken to their nest...\I'll be able to save Kagome and we'll live happily ever after.\Awright! response:	Take care of the rest!
context: But there's not a single one.\So they're in alliance with the Wolf-Demon Tribe?\That's what I suspect.\And so...\If I get captured, I'll get taken to their nest...\I'll be able to save Kagome and we'll live happily ever after.\Awright!\Take care of the rest! response:	Just a minute.
context: So they're in alliance with the Wolf-Demon Tribe?\That's what I suspect.\And so...\If I get captured, I'll get taken to their nest...\I'll be able to save Kagome and we'll live happily ever after.\Awright!\Take care of the rest!\Just a minute. response:	Hey, Miroku... Why couldn't you be the one who gets captured?
context: That's what I suspect.\And so...\If I get captured, I'll get taken to their nest...\I'll be able to save Kagome and we'll live happily ever after.\Awright!\Take care of the rest!\Just a minute.\Hey, Miroku... Why couldn't you be the one who gets captured? response:	Hey Miroku!
context: And so...\If I get captured, I'll get taken to their nest...\I'll be able to save Kagome and we'll live happily ever after.\Awright!\Take care of the rest!\Just a minute.\Hey, Miroku... Why couldn't you be the one who gets captured?\Hey Miroku! response:	You tricked me!
context: If I get captured, I'll get taken to their nest...\I'll be able to save Kagome and we'll live happily ever after.\Awright!\Take care of the rest!\Just a minute.\Hey, Miroku... Why couldn't you be the one who gets captured?\Hey Miroku!\You tricked me! response:	What are you saying?
context: I'll be able to save Kagome and we'll live happily ever after.\Awright!\Take care of the rest!\Just a minute.\Hey, Miroku... Why couldn't you be the one who gets captured?\Hey Miroku!\You tricked me!\What are you saying? response:	You are built much more sturdily than I am!
context: Awright!\Take care of the rest!\Just a minute.\Hey, Miroku... Why couldn't you be the one who gets captured?\Hey Miroku!\You tricked me!\What are you saying?\You are built much more sturdily than I am! response:	Miroku, aren't we going to follow?
context: Take care of the rest!\Just a minute.\Hey, Miroku... Why couldn't you be the one who gets captured?\Hey Miroku!\You tricked me!\What are you saying?\You are built much more sturdily than I am!\Miroku, aren't we going to follow? response:	We'll let some distance build between us.
context: Just a minute.\Hey, Miroku... Why couldn't you be the one who gets captured?\Hey Miroku!\You tricked me!\What are you saying?\You are built much more sturdily than I am!\Miroku, aren't we going to follow?\We'll let some distance build between us. response:	Miroku! Switch places with me!
context: Hey, Miroku... Why couldn't you be the one who gets captured?\Hey Miroku!\You tricked me!\What are you saying?\You are built much more sturdily than I am!\Miroku, aren't we going to follow?\We'll let some distance build between us.\Miroku! Switch places with me! response:	I must hurry and get Inuyasha!
context: Hey Miroku!\You tricked me!\What are you saying?\You are built much more sturdily than I am!\Miroku, aren't we going to follow?\We'll let some distance build between us.\Miroku! Switch places with me!\I must hurry and get Inuyasha! response:	Inuyasha!
context: You tricked me!\What are you saying?\You are built much more sturdily than I am!\Miroku, aren't we going to follow?\We'll let some distance build between us.\Miroku! Switch places with me!\I must hurry and get Inuyasha!\Inuyasha! response:	Has Inuyasha been captured?!
context: What are you saying?\You are built much more sturdily than I am!\Miroku, aren't we going to follow?\We'll let some distance build between us.\Miroku! Switch places with me!\I must hurry and get Inuyasha!\Inuyasha!\Has Inuyasha been captured?! response:	I let him out of my sight for just a while.
context: You are built much more sturdily than I am!\Miroku, aren't we going to follow?\We'll let some distance build between us.\Miroku! Switch places with me!\I must hurry and get Inuyasha!\Inuyasha!\Has Inuyasha been captured?!\I let him out of my sight for just a while. response:	If only I had been more diligent!
context: Miroku, aren't we going to follow?\We'll let some distance build between us.\Miroku! Switch places with me!\I must hurry and get Inuyasha!\Inuyasha!\Has Inuyasha been captured?!\I let him out of my sight for just a while.\If only I had been more diligent! response:	Stupid!
context: We'll let some distance build between us.\Miroku! Switch places with me!\I must hurry and get Inuyasha!\Inuyasha!\Has Inuyasha been captured?!\I let him out of my sight for just a while.\If only I had been more diligent!\Stupid! response:	Hey Shippo! You're all right?
context: Miroku! Switch places with me!\I must hurry and get Inuyasha!\Inuyasha!\Has Inuyasha been captured?!\I let him out of my sight for just a while.\If only I had been more diligent!\Stupid!\Hey Shippo! You're all right? response:	Miroku! Sango!
context: I must hurry and get Inuyasha!\Inuyasha!\Has Inuyasha been captured?!\I let him out of my sight for just a while.\If only I had been more diligent!\Stupid!\Hey Shippo! You're all right?\Miroku! Sango! response:	Look! Inuyasha's been captured!
context: Inuyasha!\Has Inuyasha been captured?!\I let him out of my sight for just a while.\If only I had been more diligent!\Stupid!\Hey Shippo! You're all right?\Miroku! Sango!\Look! Inuyasha's been captured! response:	Strategy?
context: Has Inuyasha been captured?!\I let him out of my sight for just a while.\If only I had been more diligent!\Stupid!\Hey Shippo! You're all right?\Miroku! Sango!\Look! Inuyasha's been captured!\Strategy? response:	We wanted that bird to take him to the den of the Wolf-Demon Tribe.
context: I let him out of my sight for just a while.\If only I had been more diligent!\Stupid!\Hey Shippo! You're all right?\Miroku! Sango!\Look! Inuyasha's been captured!\Strategy?\We wanted that bird to take him to the den of the Wolf-Demon Tribe. response:	What are you saying?!
context: If only I had been more diligent!\Stupid!\Hey Shippo! You're all right?\Miroku! Sango!\Look! Inuyasha's been captured!\Strategy?\We wanted that bird to take him to the den of the Wolf-Demon Tribe.\What are you saying?! response:	The Birds of Paradise and the Wolf-Demon Tribe are bitter enemies.
