context: Once upon a time, a witch's curse put a princess into an eternal sleep, response:	and one young man appeared, intending to awake her.
context: but I don't know what those feelings are.\Tell me, Fakir, don't I need to know what they are?\Don't think about such absurd things!\But...\Listen, you're just a useless good-for...\Are you trembling?\Oh, I just couldn't sleep somehow.\I saw Mytho smile. response:	I guess for Rue-chan, he'll smile like that.
context: Tell me, Fakir, don't I need to know what they are?\Don't think about such absurd things!\But...\Listen, you're just a useless good-for...\Are you trembling?\Oh, I just couldn't sleep somehow.\I saw Mytho smile.\I guess for Rue-chan, he'll smile like that. response:	There's no way that he doesn't need a heart!
context: Don't think about such absurd things!\But...\Listen, you're just a useless good-for...\Are you trembling?\Oh, I just couldn't sleep somehow.\I saw Mytho smile.\I guess for Rue-chan, he'll smile like that.\There's no way that he doesn't need a heart! response:	Mytho...
context: But...\Listen, you're just a useless good-for...\Are you trembling?\Oh, I just couldn't sleep somehow.\I saw Mytho smile.\I guess for Rue-chan, he'll smile like that.\There's no way that he doesn't need a heart!\Mytho... response:	I'll get your heart back.
context: Listen, you're just a useless good-for...\Are you trembling?\Oh, I just couldn't sleep somehow.\I saw Mytho smile.\I guess for Rue-chan, he'll smile like that.\There's no way that he doesn't need a heart!\Mytho...\I'll get your heart back. response:	Oh, Fakir!
context: Are you trembling?\Oh, I just couldn't sleep somehow.\I saw Mytho smile.\I guess for Rue-chan, he'll smile like that.\There's no way that he doesn't need a heart!\Mytho...\I'll get your heart back.\Oh, Fakir! response:	Just what is he plotting?
context: Oh, I just couldn't sleep somehow.\I saw Mytho smile.\I guess for Rue-chan, he'll smile like that.\There's no way that he doesn't need a heart!\Mytho...\I'll get your heart back.\Oh, Fakir!\Just what is he plotting? response:	Is he trying to trick Mytho into doing whatever he says?
context: I saw Mytho smile.\I guess for Rue-chan, he'll smile like that.\There's no way that he doesn't need a heart!\Mytho...\I'll get your heart back.\Oh, Fakir!\Just what is he plotting?\Is he trying to trick Mytho into doing whatever he says? response:	Or is he after something else?
context: I guess for Rue-chan, he'll smile like that.\There's no way that he doesn't need a heart!\Mytho...\I'll get your heart back.\Oh, Fakir!\Just what is he plotting?\Is he trying to trick Mytho into doing whatever he says?\Or is he after something else? response:	It's no use no matter what you're plotting.
context: There's no way that he doesn't need a heart!\Mytho...\I'll get your heart back.\Oh, Fakir!\Just what is he plotting?\Is he trying to trick Mytho into doing whatever he says?\Or is he after something else?\It's no use no matter what you're plotting. response:	Princess Tutu will get all of Mytho's heart...
context: Mytho...\I'll get your heart back.\Oh, Fakir!\Just what is he plotting?\Is he trying to trick Mytho into doing whatever he says?\Or is he after something else?\It's no use no matter what you're plotting.\Princess Tutu will get all of Mytho's heart... response:	Quack!
context: I'll get your heart back.\Oh, Fakir!\Just what is he plotting?\Is he trying to trick Mytho into doing whatever he says?\Or is he after something else?\It's no use no matter what you're plotting.\Princess Tutu will get all of Mytho's heart...\Quack! response:	Qua... Qua... Quack... Quack!
context: Oh, Fakir!\Just what is he plotting?\Is he trying to trick Mytho into doing whatever he says?\Or is he after something else?\It's no use no matter what you're plotting.\Princess Tutu will get all of Mytho's heart...\Quack!\Qua... Qua... Quack... Quack! response:	Ahiru! Ahiru, let's go!
context: Just what is he plotting?\Is he trying to trick Mytho into doing whatever he says?\Or is he after something else?\It's no use no matter what you're plotting.\Princess Tutu will get all of Mytho's heart...\Quack!\Qua... Qua... Quack... Quack!\Ahiru! Ahiru, let's go! response:	Maybe she mistook the time and left early again.
context: Is he trying to trick Mytho into doing whatever he says?\Or is he after something else?\It's no use no matter what you're plotting.\Princess Tutu will get all of Mytho's heart...\Quack!\Qua... Qua... Quack... Quack!\Ahiru! Ahiru, let's go!\Maybe she mistook the time and left early again. response:	Dreaming Aurora
context: Or is he after something else?\It's no use no matter what you're plotting.\Princess Tutu will get all of Mytho's heart...\Quack!\Qua... Qua... Quack... Quack!\Ahiru! Ahiru, let's go!\Maybe she mistook the time and left early again.\Dreaming Aurora response:	A theatrical troupe?
context: It's no use no matter what you're plotting.\Princess Tutu will get all of Mytho's heart...\Quack!\Qua... Qua... Quack... Quack!\Ahiru! Ahiru, let's go!\Maybe she mistook the time and left early again.\Dreaming Aurora\A theatrical troupe? response:	Says it's the Eleki Troupe.
context: Princess Tutu will get all of Mytho's heart...\Quack!\Qua... Qua... Quack... Quack!\Ahiru! Ahiru, let's go!\Maybe she mistook the time and left early again.\Dreaming Aurora\A theatrical troupe?\Says it's the Eleki Troupe. response:	Never heard of them.
context: Quack!\Qua... Qua... Quack... Quack!\Ahiru! Ahiru, let's go!\Maybe she mistook the time and left early again.\Dreaming Aurora\A theatrical troupe?\Says it's the Eleki Troupe.\Never heard of them. response:	Sleeping Beauty, huh?
context: Qua... Qua... Quack... Quack!\Ahiru! Ahiru, let's go!\Maybe she mistook the time and left early again.\Dreaming Aurora\A theatrical troupe?\Says it's the Eleki Troupe.\Never heard of them.\Sleeping Beauty, huh? response:	We are a touring ballet troupe called the Eleki Troupe.
context: Ahiru! Ahiru, let's go!\Maybe she mistook the time and left early again.\Dreaming Aurora\A theatrical troupe?\Says it's the Eleki Troupe.\Never heard of them.\Sleeping Beauty, huh?\We are a touring ballet troupe called the Eleki Troupe. response:	Starting the day after tomorrow, we will perform Sleeping Beauty at this theater.
context: Maybe she mistook the time and left early again.\Dreaming Aurora\A theatrical troupe?\Says it's the Eleki Troupe.\Never heard of them.\Sleeping Beauty, huh?\We are a touring ballet troupe called the Eleki Troupe.\Starting the day after tomorrow, we will perform Sleeping Beauty at this theater. response:	Ladies and gentlemen, please come to see us!
context: Dreaming Aurora\A theatrical troupe?\Says it's the Eleki Troupe.\Never heard of them.\Sleeping Beauty, huh?\We are a touring ballet troupe called the Eleki Troupe.\Starting the day after tomorrow, we will perform Sleeping Beauty at this theater.\Ladies and gentlemen, please come to see us! response:	I look forward to seeing you there!
context: A theatrical troupe?\Says it's the Eleki Troupe.\Never heard of them.\Sleeping Beauty, huh?\We are a touring ballet troupe called the Eleki Troupe.\Starting the day after tomorrow, we will perform Sleeping Beauty at this theater.\Ladies and gentlemen, please come to see us!\I look forward to seeing you there! response:	Hey, did you see that flier? They're called the Eleki Troupe!
context: Says it's the Eleki Troupe.\Never heard of them.\Sleeping Beauty, huh?\We are a touring ballet troupe called the Eleki Troupe.\Starting the day after tomorrow, we will perform Sleeping Beauty at this theater.\Ladies and gentlemen, please come to see us!\I look forward to seeing you there!\Hey, did you see that flier? They're called the Eleki Troupe! response:	They're performing at the theater in town!
context: Never heard of them.\Sleeping Beauty, huh?\We are a touring ballet troupe called the Eleki Troupe.\Starting the day after tomorrow, we will perform Sleeping Beauty at this theater.\Ladies and gentlemen, please come to see us!\I look forward to seeing you there!\Hey, did you see that flier? They're called the Eleki Troupe!\They're performing at the theater in town! response:	I want to go see them!
context: Sleeping Beauty, huh?\We are a touring ballet troupe called the Eleki Troupe.\Starting the day after tomorrow, we will perform Sleeping Beauty at this theater.\Ladies and gentlemen, please come to see us!\I look forward to seeing you there!\Hey, did you see that flier? They're called the Eleki Troupe!\They're performing at the theater in town!\I want to go see them! response:	And so, today, we have received special permission for both the boys and girls to observe the Eleki Troupe's rehearsal.
context: We are a touring ballet troupe called the Eleki Troupe.\Starting the day after tomorrow, we will perform Sleeping Beauty at this theater.\Ladies and gentlemen, please come to see us!\I look forward to seeing you there!\Hey, did you see that flier? They're called the Eleki Troupe!\They're performing at the theater in town!\I want to go see them!\And so, today, we have received special permission for both the boys and girls to observe the Eleki Troupe's rehearsal. response:	I hope you take this chance to get a taste of foreign ballet and use that towards your own growth as a dancer a little...
context: Starting the day after tomorrow, we will perform Sleeping Beauty at this theater.\Ladies and gentlemen, please come to see us!\I look forward to seeing you there!\Hey, did you see that flier? They're called the Eleki Troupe!\They're performing at the theater in town!\I want to go see them!\And so, today, we have received special permission for both the boys and girls to observe the Eleki Troupe's rehearsal.\I hope you take this chance to get a taste of foreign ballet and use that towards your own growth as a dancer a little... response:	Do you not think so, Ahiru-san?!
context: Ladies and gentlemen, please come to see us!\I look forward to seeing you there!\Hey, did you see that flier? They're called the Eleki Troupe!\They're performing at the theater in town!\I want to go see them!\And so, today, we have received special permission for both the boys and girls to observe the Eleki Troupe's rehearsal.\I hope you take this chance to get a taste of foreign ballet and use that towards your own growth as a dancer a little...\Do you not think so, Ahiru-san?! response:	Um, well...
context: I look forward to seeing you there!\Hey, did you see that flier? They're called the Eleki Troupe!\They're performing at the theater in town!\I want to go see them!\And so, today, we have received special permission for both the boys and girls to observe the Eleki Troupe's rehearsal.\I hope you take this chance to get a taste of foreign ballet and use that towards your own growth as a dancer a little...\Do you not think so, Ahiru-san?!\Um, well... response:	Do you not think so?
context: Hey, did you see that flier? They're called the Eleki Troupe!\They're performing at the theater in town!\I want to go see them!\And so, today, we have received special permission for both the boys and girls to observe the Eleki Troupe's rehearsal.\I hope you take this chance to get a taste of foreign ballet and use that towards your own growth as a dancer a little...\Do you not think so, Ahiru-san?!\Um, well...\Do you not think so? response:	Oh, yes, you're right. I do not think so, either!
context: They're performing at the theater in town!\I want to go see them!\And so, today, we have received special permission for both the boys and girls to observe the Eleki Troupe's rehearsal.\I hope you take this chance to get a taste of foreign ballet and use that towards your own growth as a dancer a little...\Do you not think so, Ahiru-san?!\Um, well...\Do you not think so?\Oh, yes, you're right. I do not think so, either! response:	You do not think so?
context: I want to go see them!\And so, today, we have received special permission for both the boys and girls to observe the Eleki Troupe's rehearsal.\I hope you take this chance to get a taste of foreign ballet and use that towards your own growth as a dancer a little...\Do you not think so, Ahiru-san?!\Um, well...\Do you not think so?\Oh, yes, you're right. I do not think so, either!\You do not think so? response:	Yes, you are exactly right, Cat-sensei. I do not think so at all!
context: And so, today, we have received special permission for both the boys and girls to observe the Eleki Troupe's rehearsal.\I hope you take this chance to get a taste of foreign ballet and use that towards your own growth as a dancer a little...\Do you not think so, Ahiru-san?!\Um, well...\Do you not think so?\Oh, yes, you're right. I do not think so, either!\You do not think so?\Yes, you are exactly right, Cat-sensei. I do not think so at all! response:	What is it that you do not think so about?
context: I hope you take this chance to get a taste of foreign ballet and use that towards your own growth as a dancer a little...\Do you not think so, Ahiru-san?!\Um, well...\Do you not think so?\Oh, yes, you're right. I do not think so, either!\You do not think so?\Yes, you are exactly right, Cat-sensei. I do not think so at all!\What is it that you do not think so about? response:	Um, well, so, about wanting to marry you...
context: Do you not think so, Ahiru-san?!\Um, well...\Do you not think so?\Oh, yes, you're right. I do not think so, either!\You do not think so?\Yes, you are exactly right, Cat-sensei. I do not think so at all!\What is it that you do not think so about?\Um, well, so, about wanting to marry you... response:	Was that wrong?
context: Um, well...\Do you not think so?\Oh, yes, you're right. I do not think so, either!\You do not think so?\Yes, you are exactly right, Cat-sensei. I do not think so at all!\What is it that you do not think so about?\Um, well, so, about wanting to marry you...\Was that wrong? response:	Mytho, you go back to the dormitory.
context: Do you not think so?\Oh, yes, you're right. I do not think so, either!\You do not think so?\Yes, you are exactly right, Cat-sensei. I do not think so at all!\What is it that you do not think so about?\Um, well, so, about wanting to marry you...\Was that wrong?\Mytho, you go back to the dormitory. response:	Okay.
context: Oh, yes, you're right. I do not think so, either!\You do not think so?\Yes, you are exactly right, Cat-sensei. I do not think so at all!\What is it that you do not think so about?\Um, well, so, about wanting to marry you...\Was that wrong?\Mytho, you go back to the dormitory.\Okay. response:	Cat-sensei's all depressed now.
context: You do not think so?\Yes, you are exactly right, Cat-sensei. I do not think so at all!\What is it that you do not think so about?\Um, well, so, about wanting to marry you...\Was that wrong?\Mytho, you go back to the dormitory.\Okay.\Cat-sensei's all depressed now. response:	He might not be able to recover.
context: Yes, you are exactly right, Cat-sensei. I do not think so at all!\What is it that you do not think so about?\Um, well, so, about wanting to marry you...\Was that wrong?\Mytho, you go back to the dormitory.\Okay.\Cat-sensei's all depressed now.\He might not be able to recover. response:	Yeah...
context: What is it that you do not think so about?\Um, well, so, about wanting to marry you...\Was that wrong?\Mytho, you go back to the dormitory.\Okay.\Cat-sensei's all depressed now.\He might not be able to recover.\Yeah... response:	Does it bother you that the Mytho-sama isn't here?
context: Um, well, so, about wanting to marry you...\Was that wrong?\Mytho, you go back to the dormitory.\Okay.\Cat-sensei's all depressed now.\He might not be able to recover.\Yeah...\Does it bother you that the Mytho-sama isn't here? response:	Yeah...
context: Was that wrong?\Mytho, you go back to the dormitory.\Okay.\Cat-sensei's all depressed now.\He might not be able to recover.\Yeah...\Does it bother you that the Mytho-sama isn't here?\Yeah... response:	Oh, my!
context: Mytho, you go back to the dormitory.\Okay.\Cat-sensei's all depressed now.\He might not be able to recover.\Yeah...\Does it bother you that the Mytho-sama isn't here?\Yeah...\Oh, my! response:	Fakir's coming alone.
context: Okay.\Cat-sensei's all depressed now.\He might not be able to recover.\Yeah...\Does it bother you that the Mytho-sama isn't here?\Yeah...\Oh, my!\Fakir's coming alone. response:	You're bothered by what Fakir-sama does, too?!
context: Cat-sensei's all depressed now.\He might not be able to recover.\Yeah...\Does it bother you that the Mytho-sama isn't here?\Yeah...\Oh, my!\Fakir's coming alone.\You're bothered by what Fakir-sama does, too?! response:	Yeah...
context: He might not be able to recover.\Yeah...\Does it bother you that the Mytho-sama isn't here?\Yeah...\Oh, my!\Fakir's coming alone.\You're bothered by what Fakir-sama does, too?!\Yeah... response:	Oh, my!
context: Yeah...\Does it bother you that the Mytho-sama isn't here?\Yeah...\Oh, my!\Fakir's coming alone.\You're bothered by what Fakir-sama does, too?!\Yeah...\Oh, my! response:	You said you weren't interested in Fakir-sama, remember?!
context: Does it bother you that the Mytho-sama isn't here?\Yeah...\Oh, my!\Fakir's coming alone.\You're bothered by what Fakir-sama does, too?!\Yeah...\Oh, my!\You said you weren't interested in Fakir-sama, remember?! response:	What's wrong with that?! She's at that age when you fall in love!
context: Yeah...\Oh, my!\Fakir's coming alone.\You're bothered by what Fakir-sama does, too?!\Yeah...\Oh, my!\You said you weren't interested in Fakir-sama, remember?!\What's wrong with that?! She's at that age when you fall in love! response:	It IS wrong! You're all lovey for Mytho-sama, right?! Right?! Right?!
context: Oh, my!\Fakir's coming alone.\You're bothered by what Fakir-sama does, too?!\Yeah...\Oh, my!\You said you weren't interested in Fakir-sama, remember?!\What's wrong with that?! She's at that age when you fall in love!\It IS wrong! You're all lovey for Mytho-sama, right?! Right?! Right?! response:	You're so cute because you don't know your own place!
context: Fakir's coming alone.\You're bothered by what Fakir-sama does, too?!\Yeah...\Oh, my!\You said you weren't interested in Fakir-sama, remember?!\What's wrong with that?! She's at that age when you fall in love!\It IS wrong! You're all lovey for Mytho-sama, right?! Right?! Right?!\You're so cute because you don't know your own place! response:	Which one do you actually love?!
context: You're bothered by what Fakir-sama does, too?!\Yeah...\Oh, my!\You said you weren't interested in Fakir-sama, remember?!\What's wrong with that?! She's at that age when you fall in love!\It IS wrong! You're all lovey for Mytho-sama, right?! Right?! Right?!\You're so cute because you don't know your own place!\Which one do you actually love?! response:	She loves them both! She's two-timing!
context: Yeah...\Oh, my!\You said you weren't interested in Fakir-sama, remember?!\What's wrong with that?! She's at that age when you fall in love!\It IS wrong! You're all lovey for Mytho-sama, right?! Right?! Right?!\You're so cute because you don't know your own place!\Which one do you actually love?!\She loves them both! She's two-timing! response:	Love?!
context: Oh, my!\You said you weren't interested in Fakir-sama, remember?!\What's wrong with that?! She's at that age when you fall in love!\It IS wrong! You're all lovey for Mytho-sama, right?! Right?! Right?!\You're so cute because you don't know your own place!\Which one do you actually love?!\She loves them both! She's two-timing!\Love?! response:	It's really not anything like that with me. In other words...
context: You said you weren't interested in Fakir-sama, remember?!\What's wrong with that?! She's at that age when you fall in love!\It IS wrong! You're all lovey for Mytho-sama, right?! Right?! Right?!\You're so cute because you don't know your own place!\Which one do you actually love?!\She loves them both! She's two-timing!\Love?!\It's really not anything like that with me. In other words... response:	Whoa!
context: What's wrong with that?! She's at that age when you fall in love!\It IS wrong! You're all lovey for Mytho-sama, right?! Right?! Right?!\You're so cute because you don't know your own place!\Which one do you actually love?!\She loves them both! She's two-timing!\Love?!\It's really not anything like that with me. In other words...\Whoa! response:	Huh?
context: It IS wrong! You're all lovey for Mytho-sama, right?! Right?! Right?!\You're so cute because you don't know your own place!\Which one do you actually love?!\She loves them both! She's two-timing!\Love?!\It's really not anything like that with me. In other words...\Whoa!\Huh? response:	What an energetic student you are.
context: You're so cute because you don't know your own place!\Which one do you actually love?!\She loves them both! She's two-timing!\Love?!\It's really not anything like that with me. In other words...\Whoa!\Huh?\What an energetic student you are. response:	Uh, um...
context: Which one do you actually love?!\She loves them both! She's two-timing!\Love?!\It's really not anything like that with me. In other words...\Whoa!\Huh?\What an energetic student you are.\Uh, um... response:	Ahiru is so lucky!
context: She loves them both! She's two-timing!\Love?!\It's really not anything like that with me. In other words...\Whoa!\Huh?\What an energetic student you are.\Uh, um...\Ahiru is so lucky! response:	Three-timing?!
context: Love?!\It's really not anything like that with me. In other words...\Whoa!\Huh?\What an energetic student you are.\Uh, um...\Ahiru is so lucky!\Three-timing?! response:	My name is Paulamoni. I am the leading lady of Eleki Troupe.
context: It's really not anything like that with me. In other words...\Whoa!\Huh?\What an energetic student you are.\Uh, um...\Ahiru is so lucky!\Three-timing?!\My name is Paulamoni. I am the leading lady of Eleki Troupe. response:	It's nice to meet you.
context: Whoa!\Huh?\What an energetic student you are.\Uh, um...\Ahiru is so lucky!\Three-timing?!\My name is Paulamoni. I am the leading lady of Eleki Troupe.\It's nice to meet you. response:	Thank you very much for sharing your precious time with us today,
context: Huh?\What an energetic student you are.\Uh, um...\Ahiru is so lucky!\Three-timing?!\My name is Paulamoni. I am the leading lady of Eleki Troupe.\It's nice to meet you.\Thank you very much for sharing your precious time with us today, response:	Miss...
context: What an energetic student you are.\Uh, um...\Ahiru is so lucky!\Three-timing?!\My name is Paulamoni. I am the leading lady of Eleki Troupe.\It's nice to meet you.\Thank you very much for sharing your precious time with us today,\Miss... response:	Let's dispense with the formalities.
context: Uh, um...\Ahiru is so lucky!\Three-timing?!\My name is Paulamoni. I am the leading lady of Eleki Troupe.\It's nice to meet you.\Thank you very much for sharing your precious time with us today,\Miss...\Let's dispense with the formalities. response:	I heartily agree.
context: Ahiru is so lucky!\Three-timing?!\My name is Paulamoni. I am the leading lady of Eleki Troupe.\It's nice to meet you.\Thank you very much for sharing your precious time with us today,\Miss...\Let's dispense with the formalities.\I heartily agree. response:	I hope you'll all make yourselves at home as well.
context: Three-timing?!\My name is Paulamoni. I am the leading lady of Eleki Troupe.\It's nice to meet you.\Thank you very much for sharing your precious time with us today,\Miss...\Let's dispense with the formalities.\I heartily agree.\I hope you'll all make yourselves at home as well. response:	It's here! It's finally here!
context: My name is Paulamoni. I am the leading lady of Eleki Troupe.\It's nice to meet you.\Thank you very much for sharing your precious time with us today,\Miss...\Let's dispense with the formalities.\I heartily agree.\I hope you'll all make yourselves at home as well.\It's here! It's finally here! response:	The premonition of love!
context: It's nice to meet you.\Thank you very much for sharing your precious time with us today,\Miss...\Let's dispense with the formalities.\I heartily agree.\I hope you'll all make yourselves at home as well.\It's here! It's finally here!\The premonition of love! response:	Oh, rejoice, my great desire!
context: Thank you very much for sharing your precious time with us today,\Miss...\Let's dispense with the formalities.\I heartily agree.\I hope you'll all make yourselves at home as well.\It's here! It's finally here!\The premonition of love!\Oh, rejoice, my great desire! response:	This is my husband, Paulo.
context: Miss...\Let's dispense with the formalities.\I heartily agree.\I hope you'll all make yourselves at home as well.\It's here! It's finally here!\The premonition of love!\Oh, rejoice, my great desire!\This is my husband, Paulo. response:	Nice to meet you.
context: Let's dispense with the formalities.\I heartily agree.\I hope you'll all make yourselves at home as well.\It's here! It's finally here!\The premonition of love!\Oh, rejoice, my great desire!\This is my husband, Paulo.\Nice to meet you. response:	Now, come right on in.
context: I heartily agree.\I hope you'll all make yourselves at home as well.\It's here! It's finally here!\The premonition of love!\Oh, rejoice, my great desire!\This is my husband, Paulo.\Nice to meet you.\Now, come right on in. response:	Right now, this is...
context: I hope you'll all make yourselves at home as well.\It's here! It's finally here!\The premonition of love!\Oh, rejoice, my great desire!\This is my husband, Paulo.\Nice to meet you.\Now, come right on in.\Right now, this is... response:	It's so pretty.
context: It's here! It's finally here!\The premonition of love!\Oh, rejoice, my great desire!\This is my husband, Paulo.\Nice to meet you.\Now, come right on in.\Right now, this is...\It's so pretty. response:	You lucky dog, you!
context: The premonition of love!\Oh, rejoice, my great desire!\This is my husband, Paulo.\Nice to meet you.\Now, come right on in.\Right now, this is...\It's so pretty.\You lucky dog, you! response:	Can't...
context: Oh, rejoice, my great desire!\This is my husband, Paulo.\Nice to meet you.\Now, come right on in.\Right now, this is...\It's so pretty.\You lucky dog, you!\Can't... response:	You got to be held like a princess by such a wonderful person!
context: This is my husband, Paulo.\Nice to meet you.\Now, come right on in.\Right now, this is...\It's so pretty.\You lucky dog, you!\Can't...\You got to be held like a princess by such a wonderful person! response:	Oh, if you wanted to be held, I would've held you!
context: Nice to meet you.\Now, come right on in.\Right now, this is...\It's so pretty.\You lucky dog, you!\Can't...\You got to be held like a princess by such a wonderful person!\Oh, if you wanted to be held, I would've held you! response:	Can't breathe!
context: Now, come right on in.\Right now, this is...\It's so pretty.\You lucky dog, you!\Can't...\You got to be held like a princess by such a wonderful person!\Oh, if you wanted to be held, I would've held you!\Can't breathe! response:	Just hold on a second.
context: Right now, this is...\It's so pretty.\You lucky dog, you!\Can't...\You got to be held like a princess by such a wonderful person!\Oh, if you wanted to be held, I would've held you!\Can't breathe!\Just hold on a second. response:	An electric eel...
context: It's so pretty.\You lucky dog, you!\Can't...\You got to be held like a princess by such a wonderful person!\Oh, if you wanted to be held, I would've held you!\Can't breathe!\Just hold on a second.\An electric eel... response:	Let me introduce him. This is our troupe leader and electrical guy.
context: You lucky dog, you!\Can't...\You got to be held like a princess by such a wonderful person!\Oh, if you wanted to be held, I would've held you!\Can't breathe!\Just hold on a second.\An electric eel...\Let me introduce him. This is our troupe leader and electrical guy. response:	Troupe leader?
context: Can't...\You got to be held like a princess by such a wonderful person!\Oh, if you wanted to be held, I would've held you!\Can't breathe!\Just hold on a second.\An electric eel...\Let me introduce him. This is our troupe leader and electrical guy.\Troupe leader? response:	Come on, steady supply!
context: You got to be held like a princess by such a wonderful person!\Oh, if you wanted to be held, I would've held you!\Can't breathe!\Just hold on a second.\An electric eel...\Let me introduce him. This is our troupe leader and electrical guy.\Troupe leader?\Come on, steady supply! response:	The angle is the key in getting him to keep it up.
context: Oh, if you wanted to be held, I would've held you!\Can't breathe!\Just hold on a second.\An electric eel...\Let me introduce him. This is our troupe leader and electrical guy.\Troupe leader?\Come on, steady supply!\The angle is the key in getting him to keep it up. response:	Was our troupe leader an eel?
context: Can't breathe!\Just hold on a second.\An electric eel...\Let me introduce him. This is our troupe leader and electrical guy.\Troupe leader?\Come on, steady supply!\The angle is the key in getting him to keep it up.\Was our troupe leader an eel? response:	What? Come to think of it, before we got to this town...
context: Just hold on a second.\An electric eel...\Let me introduce him. This is our troupe leader and electrical guy.\Troupe leader?\Come on, steady supply!\The angle is the key in getting him to keep it up.\Was our troupe leader an eel?\What? Come to think of it, before we got to this town... response:	But of course that can't be, right?
context: An electric eel...\Let me introduce him. This is our troupe leader and electrical guy.\Troupe leader?\Come on, steady supply!\The angle is the key in getting him to keep it up.\Was our troupe leader an eel?\What? Come to think of it, before we got to this town...\But of course that can't be, right? response:	Yeah, no way. Oh, well, it'll save us on the power bill.
