context: From the news chopper to the studio- response:	I'm reporting live from the skies of Hosu City!
context: With my leg like this, he probably could've killed us if he'd wanted to.\Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Yeah. We were obviously left alive on purpose.\You're amazing to have been able to face him\Tenya Iida - Quirk: Engine\after all the murderous intent directed at you.\No, that's not it.\Pro Hero - Manual Pro Hero - Gran Torino - Quirk: Jet response:	Oh, are you wounded kids awake?
context: Shoto Todoroki - Quirk: Half-Cold, Half-Hot\Yeah. We were obviously left alive on purpose.\You're amazing to have been able to face him\Tenya Iida - Quirk: Engine\after all the murderous intent directed at you.\No, that's not it.\Pro Hero - Manual Pro Hero - Gran Torino - Quirk: Jet\Oh, are you wounded kids awake? response:	Gran Torino!
context: Yeah. We were obviously left alive on purpose.\You're amazing to have been able to face him\Tenya Iida - Quirk: Engine\after all the murderous intent directed at you.\No, that's not it.\Pro Hero - Manual Pro Hero - Gran Torino - Quirk: Jet\Oh, are you wounded kids awake?\Gran Torino! response:	Manual...
context: You're amazing to have been able to face him\Tenya Iida - Quirk: Engine\after all the murderous intent directed at you.\No, that's not it.\Pro Hero - Manual Pro Hero - Gran Torino - Quirk: Jet\Oh, are you wounded kids awake?\Gran Torino!\Manual... response:	Kid, I've got a lot of complaints for you.
context: Tenya Iida - Quirk: Engine\after all the murderous intent directed at you.\No, that's not it.\Pro Hero - Manual Pro Hero - Gran Torino - Quirk: Jet\Oh, are you wounded kids awake?\Gran Torino!\Manual...\Kid, I've got a lot of complaints for you. response:	Oh! S-Sorr-
context: after all the murderous intent directed at you.\No, that's not it.\Pro Hero - Manual Pro Hero - Gran Torino - Quirk: Jet\Oh, are you wounded kids awake?\Gran Torino!\Manual...\Kid, I've got a lot of complaints for you.\Oh! S-Sorr- response:	But before that, you've got a visitor.
context: No, that's not it.\Pro Hero - Manual Pro Hero - Gran Torino - Quirk: Jet\Oh, are you wounded kids awake?\Gran Torino!\Manual...\Kid, I've got a lot of complaints for you.\Oh! S-Sorr-\But before that, you've got a visitor. response:	Hosu's chief of police, Kenji Tsuragamae.
context: Pro Hero - Manual Pro Hero - Gran Torino - Quirk: Jet\Oh, are you wounded kids awake?\Gran Torino!\Manual...\Kid, I've got a lot of complaints for you.\Oh! S-Sorr-\But before that, you've got a visitor.\Hosu's chief of police, Kenji Tsuragamae. response:	Tsuragamae! Ch-Chief?!
context: Oh, are you wounded kids awake?\Gran Torino!\Manual...\Kid, I've got a lot of complaints for you.\Oh! S-Sorr-\But before that, you've got a visitor.\Hosu's chief of police, Kenji Tsuragamae.\Tsuragamae! Ch-Chief?! response:	Oh, you can just stay seated, woof.
context: Gran Torino!\Manual...\Kid, I've got a lot of complaints for you.\Oh! S-Sorr-\But before that, you've got a visitor.\Hosu's chief of police, Kenji Tsuragamae.\Tsuragamae! Ch-Chief?!\Oh, you can just stay seated, woof. response:	Woof!
context: Manual...\Kid, I've got a lot of complaints for you.\Oh! S-Sorr-\But before that, you've got a visitor.\Hosu's chief of police, Kenji Tsuragamae.\Tsuragamae! Ch-Chief?!\Oh, you can just stay seated, woof.\Woof! response:	You must be the U.A. students who brought down the hero killer, right?
context: Kid, I've got a lot of complaints for you.\Oh! S-Sorr-\But before that, you've got a visitor.\Hosu's chief of police, Kenji Tsuragamae.\Tsuragamae! Ch-Chief?!\Oh, you can just stay seated, woof.\Woof!\You must be the U.A. students who brought down the hero killer, right? response:	Yes.
context: Oh! S-Sorr-\But before that, you've got a visitor.\Hosu's chief of police, Kenji Tsuragamae.\Tsuragamae! Ch-Chief?!\Oh, you can just stay seated, woof.\Woof!\You must be the U.A. students who brought down the hero killer, right?\Yes. response:	The chief of police came all this way... Why?
context: But before that, you've got a visitor.\Hosu's chief of police, Kenji Tsuragamae.\Tsuragamae! Ch-Chief?!\Oh, you can just stay seated, woof.\Woof!\You must be the U.A. students who brought down the hero killer, right?\Yes.\The chief of police came all this way... Why? response:	Regarding the hero killer we arrested...
context: Hosu's chief of police, Kenji Tsuragamae.\Tsuragamae! Ch-Chief?!\Oh, you can just stay seated, woof.\Woof!\You must be the U.A. students who brought down the hero killer, right?\Yes.\The chief of police came all this way... Why?\Regarding the hero killer we arrested... response:	He had fairly serious injuries, with burns and broken bones,
context: Tsuragamae! Ch-Chief?!\Oh, you can just stay seated, woof.\Woof!\You must be the U.A. students who brought down the hero killer, right?\Yes.\The chief of police came all this way... Why?\Regarding the hero killer we arrested...\He had fairly serious injuries, with burns and broken bones, response:	and is receiving treatment under strict guard, woof.
context: Oh, you can just stay seated, woof.\Woof!\You must be the U.A. students who brought down the hero killer, right?\Yes.\The chief of police came all this way... Why?\Regarding the hero killer we arrested...\He had fairly serious injuries, with burns and broken bones,\and is receiving treatment under strict guard, woof. response:	Since you are U.A. students, I'm sure you already know
context: Woof!\You must be the U.A. students who brought down the hero killer, right?\Yes.\The chief of police came all this way... Why?\Regarding the hero killer we arrested...\He had fairly serious injuries, with burns and broken bones,\and is receiving treatment under strict guard, woof.\Since you are U.A. students, I'm sure you already know response:	that when superpowers were still becoming the norm,
context: You must be the U.A. students who brought down the hero killer, right?\Yes.\The chief of police came all this way... Why?\Regarding the hero killer we arrested...\He had fairly serious injuries, with burns and broken bones,\and is receiving treatment under strict guard, woof.\Since you are U.A. students, I'm sure you already know\that when superpowers were still becoming the norm, response:	the police attached high importance to leadership and standards
context: Yes.\The chief of police came all this way... Why?\Regarding the hero killer we arrested...\He had fairly serious injuries, with burns and broken bones,\and is receiving treatment under strict guard, woof.\Since you are U.A. students, I'm sure you already know\that when superpowers were still becoming the norm,\the police attached high importance to leadership and standards response:	and made sure Quirks were not used as weapons.
context: The chief of police came all this way... Why?\Regarding the hero killer we arrested...\He had fairly serious injuries, with burns and broken bones,\and is receiving treatment under strict guard, woof.\Since you are U.A. students, I'm sure you already know\that when superpowers were still becoming the norm,\the police attached high importance to leadership and standards\and made sure Quirks were not used as weapons. response:	And then, the profession of hero emerged to fill that gap, woof.
context: Regarding the hero killer we arrested...\He had fairly serious injuries, with burns and broken bones,\and is receiving treatment under strict guard, woof.\Since you are U.A. students, I'm sure you already know\that when superpowers were still becoming the norm,\the police attached high importance to leadership and standards\and made sure Quirks were not used as weapons.\And then, the profession of hero emerged to fill that gap, woof. response:	For an individual's use of force and power that can easily kill others-
context: He had fairly serious injuries, with burns and broken bones,\and is receiving treatment under strict guard, woof.\Since you are U.A. students, I'm sure you already know\that when superpowers were still becoming the norm,\the police attached high importance to leadership and standards\and made sure Quirks were not used as weapons.\And then, the profession of hero emerged to fill that gap, woof.\For an individual's use of force and power that can easily kill others- response:	actions that normally would be appropriate to denounce-to be accepted officially
context: and is receiving treatment under strict guard, woof.\Since you are U.A. students, I'm sure you already know\that when superpowers were still becoming the norm,\the police attached high importance to leadership and standards\and made sure Quirks were not used as weapons.\And then, the profession of hero emerged to fill that gap, woof.\For an individual's use of force and power that can easily kill others-\actions that normally would be appropriate to denounce-to be accepted officially response:	is thanks to early heroes who followed the ethics and rules of the profession, woof.
context: Since you are U.A. students, I'm sure you already know\that when superpowers were still becoming the norm,\the police attached high importance to leadership and standards\and made sure Quirks were not used as weapons.\And then, the profession of hero emerged to fill that gap, woof.\For an individual's use of force and power that can easily kill others-\actions that normally would be appropriate to denounce-to be accepted officially\is thanks to early heroes who followed the ethics and rules of the profession, woof. response:	Even up against the hero killer, for uncertified individuals to cause injury with their Quirks
context: that when superpowers were still becoming the norm,\the police attached high importance to leadership and standards\and made sure Quirks were not used as weapons.\And then, the profession of hero emerged to fill that gap, woof.\For an individual's use of force and power that can easily kill others-\actions that normally would be appropriate to denounce-to be accepted officially\is thanks to early heroes who followed the ethics and rules of the profession, woof.\Even up against the hero killer, for uncertified individuals to cause injury with their Quirks response:	without specific instruction from their guardians
context: the police attached high importance to leadership and standards\and made sure Quirks were not used as weapons.\And then, the profession of hero emerged to fill that gap, woof.\For an individual's use of force and power that can easily kill others-\actions that normally would be appropriate to denounce-to be accepted officially\is thanks to early heroes who followed the ethics and rules of the profession, woof.\Even up against the hero killer, for uncertified individuals to cause injury with their Quirks\without specific instruction from their guardians response:	or supervisors is a clear violation of the rules.
context: and made sure Quirks were not used as weapons.\And then, the profession of hero emerged to fill that gap, woof.\For an individual's use of force and power that can easily kill others-\actions that normally would be appropriate to denounce-to be accepted officially\is thanks to early heroes who followed the ethics and rules of the profession, woof.\Even up against the hero killer, for uncertified individuals to cause injury with their Quirks\without specific instruction from their guardians\or supervisors is a clear violation of the rules. response:	The three of you, and the pro heroes Endeavor, Manual, and Gran Torino
context: And then, the profession of hero emerged to fill that gap, woof.\For an individual's use of force and power that can easily kill others-\actions that normally would be appropriate to denounce-to be accepted officially\is thanks to early heroes who followed the ethics and rules of the profession, woof.\Even up against the hero killer, for uncertified individuals to cause injury with their Quirks\without specific instruction from their guardians\or supervisors is a clear violation of the rules.\The three of you, and the pro heroes Endeavor, Manual, and Gran Torino response:	must receive strict punishment.
context: For an individual's use of force and power that can easily kill others-\actions that normally would be appropriate to denounce-to be accepted officially\is thanks to early heroes who followed the ethics and rules of the profession, woof.\Even up against the hero killer, for uncertified individuals to cause injury with their Quirks\without specific instruction from their guardians\or supervisors is a clear violation of the rules.\The three of you, and the pro heroes Endeavor, Manual, and Gran Torino\must receive strict punishment. response:	Wait a minute.
context: actions that normally would be appropriate to denounce-to be accepted officially\is thanks to early heroes who followed the ethics and rules of the profession, woof.\Even up against the hero killer, for uncertified individuals to cause injury with their Quirks\without specific instruction from their guardians\or supervisors is a clear violation of the rules.\The three of you, and the pro heroes Endeavor, Manual, and Gran Torino\must receive strict punishment.\Wait a minute. response:	If Iida hadn't done anything, Native would've been killed.
context: is thanks to early heroes who followed the ethics and rules of the profession, woof.\Even up against the hero killer, for uncertified individuals to cause injury with their Quirks\without specific instruction from their guardians\or supervisors is a clear violation of the rules.\The three of you, and the pro heroes Endeavor, Manual, and Gran Torino\must receive strict punishment.\Wait a minute.\If Iida hadn't done anything, Native would've been killed. response:	If Midoriya hadn't come, the two of them would've been killed.
context: Even up against the hero killer, for uncertified individuals to cause injury with their Quirks\without specific instruction from their guardians\or supervisors is a clear violation of the rules.\The three of you, and the pro heroes Endeavor, Manual, and Gran Torino\must receive strict punishment.\Wait a minute.\If Iida hadn't done anything, Native would've been killed.\If Midoriya hadn't come, the two of them would've been killed. response:	Todoroki...
context: without specific instruction from their guardians\or supervisors is a clear violation of the rules.\The three of you, and the pro heroes Endeavor, Manual, and Gran Torino\must receive strict punishment.\Wait a minute.\If Iida hadn't done anything, Native would've been killed.\If Midoriya hadn't come, the two of them would've been killed.\Todoroki... response:	No one realized that the hero killer had appeared.
context: or supervisors is a clear violation of the rules.\The three of you, and the pro heroes Endeavor, Manual, and Gran Torino\must receive strict punishment.\Wait a minute.\If Iida hadn't done anything, Native would've been killed.\If Midoriya hadn't come, the two of them would've been killed.\Todoroki...\No one realized that the hero killer had appeared. response:	Are you saying we should've followed the rules and watched people get killed?
context: The three of you, and the pro heroes Endeavor, Manual, and Gran Torino\must receive strict punishment.\Wait a minute.\If Iida hadn't done anything, Native would've been killed.\If Midoriya hadn't come, the two of them would've been killed.\Todoroki...\No one realized that the hero killer had appeared.\Are you saying we should've followed the rules and watched people get killed? response:	W-W-Wait!
context: must receive strict punishment.\Wait a minute.\If Iida hadn't done anything, Native would've been killed.\If Midoriya hadn't come, the two of them would've been killed.\Todoroki...\No one realized that the hero killer had appeared.\Are you saying we should've followed the rules and watched people get killed?\W-W-Wait! response:	Are you saying that as long as it turns out all right, it's okay to bend the rules?
context: Wait a minute.\If Iida hadn't done anything, Native would've been killed.\If Midoriya hadn't come, the two of them would've been killed.\Todoroki...\No one realized that the hero killer had appeared.\Are you saying we should've followed the rules and watched people get killed?\W-W-Wait!\Are you saying that as long as it turns out all right, it's okay to bend the rules? response:	Isn't it a hero's job to save people?
context: If Iida hadn't done anything, Native would've been killed.\If Midoriya hadn't come, the two of them would've been killed.\Todoroki...\No one realized that the hero killer had appeared.\Are you saying we should've followed the rules and watched people get killed?\W-W-Wait!\Are you saying that as long as it turns out all right, it's okay to bend the rules?\Isn't it a hero's job to save people? response:	That is why you are not a full-fledged hero yet.
context: If Midoriya hadn't come, the two of them would've been killed.\Todoroki...\No one realized that the hero killer had appeared.\Are you saying we should've followed the rules and watched people get killed?\W-W-Wait!\Are you saying that as long as it turns out all right, it's okay to bend the rules?\Isn't it a hero's job to save people?\That is why you are not a full-fledged hero yet. response:	Goodness, what are you being taught by U.A. and Endeavor, woof?
context: Todoroki...\No one realized that the hero killer had appeared.\Are you saying we should've followed the rules and watched people get killed?\W-W-Wait!\Are you saying that as long as it turns out all right, it's okay to bend the rules?\Isn't it a hero's job to save people?\That is why you are not a full-fledged hero yet.\Goodness, what are you being taught by U.A. and Endeavor, woof? response:	You dog!
context: No one realized that the hero killer had appeared.\Are you saying we should've followed the rules and watched people get killed?\W-W-Wait!\Are you saying that as long as it turns out all right, it's okay to bend the rules?\Isn't it a hero's job to save people?\That is why you are not a full-fledged hero yet.\Goodness, what are you being taught by U.A. and Endeavor, woof?\You dog! response:	Stop it. He is absolutely right.
context: Are you saying we should've followed the rules and watched people get killed?\W-W-Wait!\Are you saying that as long as it turns out all right, it's okay to bend the rules?\Isn't it a hero's job to save people?\That is why you are not a full-fledged hero yet.\Goodness, what are you being taught by U.A. and Endeavor, woof?\You dog!\Stop it. He is absolutely right. response:	Hang on a minute. Hear him out until the end.
context: W-W-Wait!\Are you saying that as long as it turns out all right, it's okay to bend the rules?\Isn't it a hero's job to save people?\That is why you are not a full-fledged hero yet.\Goodness, what are you being taught by U.A. and Endeavor, woof?\You dog!\Stop it. He is absolutely right.\Hang on a minute. Hear him out until the end. response:	That was the official opinion of the police.
context: Are you saying that as long as it turns out all right, it's okay to bend the rules?\Isn't it a hero's job to save people?\That is why you are not a full-fledged hero yet.\Goodness, what are you being taught by U.A. and Endeavor, woof?\You dog!\Stop it. He is absolutely right.\Hang on a minute. Hear him out until the end.\That was the official opinion of the police. response:	And the punishment and such would only happen if this were all made public, woof.
context: Isn't it a hero's job to save people?\That is why you are not a full-fledged hero yet.\Goodness, what are you being taught by U.A. and Endeavor, woof?\You dog!\Stop it. He is absolutely right.\Hang on a minute. Hear him out until the end.\That was the official opinion of the police.\And the punishment and such would only happen if this were all made public, woof. response:	If this were made public, you would probably be applauded by the public,
context: That is why you are not a full-fledged hero yet.\Goodness, what are you being taught by U.A. and Endeavor, woof?\You dog!\Stop it. He is absolutely right.\Hang on a minute. Hear him out until the end.\That was the official opinion of the police.\And the punishment and such would only happen if this were all made public, woof.\If this were made public, you would probably be applauded by the public, response:	but you would not be able to escape punishment.
context: Goodness, what are you being taught by U.A. and Endeavor, woof?\You dog!\Stop it. He is absolutely right.\Hang on a minute. Hear him out until the end.\That was the official opinion of the police.\And the punishment and such would only happen if this were all made public, woof.\If this were made public, you would probably be applauded by the public,\but you would not be able to escape punishment. response:	On the other hand, this is a bit underhanded, but if it is not made public,
context: You dog!\Stop it. He is absolutely right.\Hang on a minute. Hear him out until the end.\That was the official opinion of the police.\And the punishment and such would only happen if this were all made public, woof.\If this were made public, you would probably be applauded by the public,\but you would not be able to escape punishment.\On the other hand, this is a bit underhanded, but if it is not made public, response:	the burn scars would support Endeavor being the hero who saved the day,
context: Stop it. He is absolutely right.\Hang on a minute. Hear him out until the end.\That was the official opinion of the police.\And the punishment and such would only happen if this were all made public, woof.\If this were made public, you would probably be applauded by the public,\but you would not be able to escape punishment.\On the other hand, this is a bit underhanded, but if it is not made public,\the burn scars would support Endeavor being the hero who saved the day, response:	and it would end there, woof.
context: Hang on a minute. Hear him out until the end.\That was the official opinion of the police.\And the punishment and such would only happen if this were all made public, woof.\If this were made public, you would probably be applauded by the public,\but you would not be able to escape punishment.\On the other hand, this is a bit underhanded, but if it is not made public,\the burn scars would support Endeavor being the hero who saved the day,\and it would end there, woof. response:	Thankfully, there were very few witnesses.
context: That was the official opinion of the police.\And the punishment and such would only happen if this were all made public, woof.\If this were made public, you would probably be applauded by the public,\but you would not be able to escape punishment.\On the other hand, this is a bit underhanded, but if it is not made public,\the burn scars would support Endeavor being the hero who saved the day,\and it would end there, woof.\Thankfully, there were very few witnesses. response:	This violation could be crushed here, woof.
context: And the punishment and such would only happen if this were all made public, woof.\If this were made public, you would probably be applauded by the public,\but you would not be able to escape punishment.\On the other hand, this is a bit underhanded, but if it is not made public,\the burn scars would support Endeavor being the hero who saved the day,\and it would end there, woof.\Thankfully, there were very few witnesses.\This violation could be crushed here, woof. response:	But this would also mean no one would know about your good judgment or achievements.
context: If this were made public, you would probably be applauded by the public,\but you would not be able to escape punishment.\On the other hand, this is a bit underhanded, but if it is not made public,\the burn scars would support Endeavor being the hero who saved the day,\and it would end there, woof.\Thankfully, there were very few witnesses.\This violation could be crushed here, woof.\But this would also mean no one would know about your good judgment or achievements. response:	Which do you prefer?
context: but you would not be able to escape punishment.\On the other hand, this is a bit underhanded, but if it is not made public,\the burn scars would support Endeavor being the hero who saved the day,\and it would end there, woof.\Thankfully, there were very few witnesses.\This violation could be crushed here, woof.\But this would also mean no one would know about your good judgment or achievements.\Which do you prefer? response:	Personally, I don't want to be the one to find fault with promising young ones
context: On the other hand, this is a bit underhanded, but if it is not made public,\the burn scars would support Endeavor being the hero who saved the day,\and it would end there, woof.\Thankfully, there were very few witnesses.\This violation could be crushed here, woof.\But this would also mean no one would know about your good judgment or achievements.\Which do you prefer?\Personally, I don't want to be the one to find fault with promising young ones response:	because of one big mistake, woof.
context: the burn scars would support Endeavor being the hero who saved the day,\and it would end there, woof.\Thankfully, there were very few witnesses.\This violation could be crushed here, woof.\But this would also mean no one would know about your good judgment or achievements.\Which do you prefer?\Personally, I don't want to be the one to find fault with promising young ones\because of one big mistake, woof. response:	Either way, we will need to take responsibility for being negligent in our supervisory duties.
context: and it would end there, woof.\Thankfully, there were very few witnesses.\This violation could be crushed here, woof.\But this would also mean no one would know about your good judgment or achievements.\Which do you prefer?\Personally, I don't want to be the one to find fault with promising young ones\because of one big mistake, woof.\Either way, we will need to take responsibility for being negligent in our supervisory duties. response:	I am truly sorry.
context: Thankfully, there were very few witnesses.\This violation could be crushed here, woof.\But this would also mean no one would know about your good judgment or achievements.\Which do you prefer?\Personally, I don't want to be the one to find fault with promising young ones\because of one big mistake, woof.\Either way, we will need to take responsibility for being negligent in our supervisory duties.\I am truly sorry. response:	All right. You'll cause trouble for others!
