context: Well, she's definitely from a duke's family. response:	Yeah, this is beyond generous.
context: A shop?\Maybe you could sell monster materials.\Remember? We talked about this before.\That's a decent future, no?\I'd be happy to help.\No, it's my admin and accounting skills that Noir needs.\Can boobs do calculations?\I think not. response:	Grr!
context: Maybe you could sell monster materials.\Remember? We talked about this before.\That's a decent future, no?\I'd be happy to help.\No, it's my admin and accounting skills that Noir needs.\Can boobs do calculations?\I think not.\Grr! response:	Come now, you two.
context: Remember? We talked about this before.\That's a decent future, no?\I'd be happy to help.\No, it's my admin and accounting skills that Noir needs.\Can boobs do calculations?\I think not.\Grr!\Come now, you two. response:	Arguing is never beautiful.
context: That's a decent future, no?\I'd be happy to help.\No, it's my admin and accounting skills that Noir needs.\Can boobs do calculations?\I think not.\Grr!\Come now, you two.\Arguing is never beautiful. response:	Let's just compromise and say Noir and I will...
context: I'd be happy to help.\No, it's my admin and accounting skills that Noir needs.\Can boobs do calculations?\I think not.\Grr!\Come now, you two.\Arguing is never beautiful.\Let's just compromise and say Noir and I will... response:	That's not a compromise!
context: No, it's my admin and accounting skills that Noir needs.\Can boobs do calculations?\I think not.\Grr!\Come now, you two.\Arguing is never beautiful.\Let's just compromise and say Noir and I will...\That's not a compromise! response:	At all!
context: Can boobs do calculations?\I think not.\Grr!\Come now, you two.\Arguing is never beautiful.\Let's just compromise and say Noir and I will...\That's not a compromise!\At all! response:	H-Hey... I'll contact you guys later.
context: I think not.\Grr!\Come now, you two.\Arguing is never beautiful.\Let's just compromise and say Noir and I will...\That's not a compromise!\At all!\H-Hey... I'll contact you guys later. response:	So for today...
context: Grr!\Come now, you two.\Arguing is never beautiful.\Let's just compromise and say Noir and I will...\That's not a compromise!\At all!\H-Hey... I'll contact you guys later.\So for today... response:	I'm out!
context: Come now, you two.\Arguing is never beautiful.\Let's just compromise and say Noir and I will...\That's not a compromise!\At all!\H-Hey... I'll contact you guys later.\So for today...\I'm out! response:	Wh-Wh-Wh-Wha...
context: Arguing is never beautiful.\Let's just compromise and say Noir and I will...\That's not a compromise!\At all!\H-Hey... I'll contact you guys later.\So for today...\I'm out!\Wh-Wh-Wh-Wha... response:	I received that for saving a duke's daughter.
context: Let's just compromise and say Noir and I will...\That's not a compromise!\At all!\H-Hey... I'll contact you guys later.\So for today...\I'm out!\Wh-Wh-Wh-Wha...\I received that for saving a duke's daughter. response:	Believe it or not, there's 100 million rels in there!
context: That's not a compromise!\At all!\H-Hey... I'll contact you guys later.\So for today...\I'm out!\Wh-Wh-Wh-Wha...\I received that for saving a duke's daughter.\Believe it or not, there's 100 million rels in there! response:	One hundred million?!
context: At all!\H-Hey... I'll contact you guys later.\So for today...\I'm out!\Wh-Wh-Wh-Wha...\I received that for saving a duke's daughter.\Believe it or not, there's 100 million rels in there!\One hundred million?! response:	Oh, my.
context: H-Hey... I'll contact you guys later.\So for today...\I'm out!\Wh-Wh-Wh-Wha...\I received that for saving a duke's daughter.\Believe it or not, there's 100 million rels in there!\One hundred million?!\Oh, my. response:	That's amazing, Brother Dearest.
context: So for today...\I'm out!\Wh-Wh-Wh-Wha...\I received that for saving a duke's daughter.\Believe it or not, there's 100 million rels in there!\One hundred million?!\Oh, my.\That's amazing, Brother Dearest. response:	What are you going to do with all this money?
context: I'm out!\Wh-Wh-Wh-Wha...\I received that for saving a duke's daughter.\Believe it or not, there's 100 million rels in there!\One hundred million?!\Oh, my.\That's amazing, Brother Dearest.\What are you going to do with all this money? response:	I'm not exactly sure yet.
context: Wh-Wh-Wh-Wha...\I received that for saving a duke's daughter.\Believe it or not, there's 100 million rels in there!\One hundred million?!\Oh, my.\That's amazing, Brother Dearest.\What are you going to do with all this money?\I'm not exactly sure yet. response:	Noir, I can't let you be the only breadwinner in this family.
context: I received that for saving a duke's daughter.\Believe it or not, there's 100 million rels in there!\One hundred million?!\Oh, my.\That's amazing, Brother Dearest.\What are you going to do with all this money?\I'm not exactly sure yet.\Noir, I can't let you be the only breadwinner in this family. response:	Why not leave this money with me?
context: Believe it or not, there's 100 million rels in there!\One hundred million?!\Oh, my.\That's amazing, Brother Dearest.\What are you going to do with all this money?\I'm not exactly sure yet.\Noir, I can't let you be the only breadwinner in this family.\Why not leave this money with me? response:	Father...
context: One hundred million?!\Oh, my.\That's amazing, Brother Dearest.\What are you going to do with all this money?\I'm not exactly sure yet.\Noir, I can't let you be the only breadwinner in this family.\Why not leave this money with me?\Father... response:	Nay! Say no more!
context: Oh, my.\That's amazing, Brother Dearest.\What are you going to do with all this money?\I'm not exactly sure yet.\Noir, I can't let you be the only breadwinner in this family.\Why not leave this money with me?\Father...\Nay! Say no more! response:	You're planning to go to the casino, aren't you?
context: That's amazing, Brother Dearest.\What are you going to do with all this money?\I'm not exactly sure yet.\Noir, I can't let you be the only breadwinner in this family.\Why not leave this money with me?\Father...\Nay! Say no more!\You're planning to go to the casino, aren't you? response:	Whoo! Hell yeah!
context: What are you going to do with all this money?\I'm not exactly sure yet.\Noir, I can't let you be the only breadwinner in this family.\Why not leave this money with me?\Father...\Nay! Say no more!\You're planning to go to the casino, aren't you?\Whoo! Hell yeah! response:	You're so bright, my son! You totally get me!
context: I'm not exactly sure yet.\Noir, I can't let you be the only breadwinner in this family.\Why not leave this money with me?\Father...\Nay! Say no more!\You're planning to go to the casino, aren't you?\Whoo! Hell yeah!\You're so bright, my son! You totally get me! response:	To put it lightly, he's absolute trash.
context: Noir, I can't let you be the only breadwinner in this family.\Why not leave this money with me?\Father...\Nay! Say no more!\You're planning to go to the casino, aren't you?\Whoo! Hell yeah!\You're so bright, my son! You totally get me!\To put it lightly, he's absolute trash. response:	You're a mind reader!
context: Why not leave this money with me?\Father...\Nay! Say no more!\You're planning to go to the casino, aren't you?\Whoo! Hell yeah!\You're so bright, my son! You totally get me!\To put it lightly, he's absolute trash.\You're a mind reader! response:	I never want to work again!
context: Father...\Nay! Say no more!\You're planning to go to the casino, aren't you?\Whoo! Hell yeah!\You're so bright, my son! You totally get me!\To put it lightly, he's absolute trash.\You're a mind reader!\I never want to work again! response:	He brings shame upon our family.
context: Nay! Say no more!\You're planning to go to the casino, aren't you?\Whoo! Hell yeah!\You're so bright, my son! You totally get me!\To put it lightly, he's absolute trash.\You're a mind reader!\I never want to work again!\He brings shame upon our family. response:	I know, right?
context: You're planning to go to the casino, aren't you?\Whoo! Hell yeah!\You're so bright, my son! You totally get me!\To put it lightly, he's absolute trash.\You're a mind reader!\I never want to work again!\He brings shame upon our family.\I know, right? response:	How about opening up a shop?
context: Whoo! Hell yeah!\You're so bright, my son! You totally get me!\To put it lightly, he's absolute trash.\You're a mind reader!\I never want to work again!\He brings shame upon our family.\I know, right?\How about opening up a shop? response:	Maybe an item shop... one that handles rare materials.
context: You're so bright, my son! You totally get me!\To put it lightly, he's absolute trash.\You're a mind reader!\I never want to work again!\He brings shame upon our family.\I know, right?\How about opening up a shop?\Maybe an item shop... one that handles rare materials. response:	I'll gather our goods.
context: To put it lightly, he's absolute trash.\You're a mind reader!\I never want to work again!\He brings shame upon our family.\I know, right?\How about opening up a shop?\Maybe an item shop... one that handles rare materials.\I'll gather our goods. response:	Oh, my.
context: You're a mind reader!\I never want to work again!\He brings shame upon our family.\I know, right?\How about opening up a shop?\Maybe an item shop... one that handles rare materials.\I'll gather our goods.\Oh, my. response:	How wonderful!
context: I never want to work again!\He brings shame upon our family.\I know, right?\How about opening up a shop?\Maybe an item shop... one that handles rare materials.\I'll gather our goods.\Oh, my.\How wonderful! response:	Hire me!
context: He brings shame upon our family.\I know, right?\How about opening up a shop?\Maybe an item shop... one that handles rare materials.\I'll gather our goods.\Oh, my.\How wonderful!\Hire me! response:	Then let's go with that.
context: I know, right?\How about opening up a shop?\Maybe an item shop... one that handles rare materials.\I'll gather our goods.\Oh, my.\How wonderful!\Hire me!\Then let's go with that. response:	Father, please find a good location and do the paperwork
context: How about opening up a shop?\Maybe an item shop... one that handles rare materials.\I'll gather our goods.\Oh, my.\How wonderful!\Hire me!\Then let's go with that.\Father, please find a good location and do the paperwork response:	we'll need to submit to the government.
context: Maybe an item shop... one that handles rare materials.\I'll gather our goods.\Oh, my.\How wonderful!\Hire me!\Then let's go with that.\Father, please find a good location and do the paperwork\we'll need to submit to the government. response:	Leave it to me!
context: I'll gather our goods.\Oh, my.\How wonderful!\Hire me!\Then let's go with that.\Father, please find a good location and do the paperwork\we'll need to submit to the government.\Leave it to me! response:	I'll keep a very close eye on him so that he doesn't pocket the money.
context: Oh, my.\How wonderful!\Hire me!\Then let's go with that.\Father, please find a good location and do the paperwork\we'll need to submit to the government.\Leave it to me!\I'll keep a very close eye on him so that he doesn't pocket the money. response:	H-How little do you trust me?
context: How wonderful!\Hire me!\Then let's go with that.\Father, please find a good location and do the paperwork\we'll need to submit to the government.\Leave it to me!\I'll keep a very close eye on him so that he doesn't pocket the money.\H-How little do you trust me? response:	And so, to collect monster materials...
context: Hire me!\Then let's go with that.\Father, please find a good location and do the paperwork\we'll need to submit to the government.\Leave it to me!\I'll keep a very close eye on him so that he doesn't pocket the money.\H-How little do you trust me?\And so, to collect monster materials... response:	I decided to conquer more of the dungeon.
context: Then let's go with that.\Father, please find a good location and do the paperwork\we'll need to submit to the government.\Leave it to me!\I'll keep a very close eye on him so that he doesn't pocket the money.\H-How little do you trust me?\And so, to collect monster materials...\I decided to conquer more of the dungeon. response:	Hello, Master.
context: Father, please find a good location and do the paperwork\we'll need to submit to the government.\Leave it to me!\I'll keep a very close eye on him so that he doesn't pocket the money.\H-How little do you trust me?\And so, to collect monster materials...\I decided to conquer more of the dungeon.\Hello, Master. response:	Master? Are you sleeping?
context: we'll need to submit to the government.\Leave it to me!\I'll keep a very close eye on him so that he doesn't pocket the money.\H-How little do you trust me?\And so, to collect monster materials...\I decided to conquer more of the dungeon.\Hello, Master.\Master? Are you sleeping? response:	M-Master?
context: Leave it to me!\I'll keep a very close eye on him so that he doesn't pocket the money.\H-How little do you trust me?\And so, to collect monster materials...\I decided to conquer more of the dungeon.\Hello, Master.\Master? Are you sleeping?\M-Master? response:	Wait, it can't be...
context: I'll keep a very close eye on him so that he doesn't pocket the money.\H-How little do you trust me?\And so, to collect monster materials...\I decided to conquer more of the dungeon.\Hello, Master.\Master? Are you sleeping?\M-Master?\Wait, it can't be... response:	I knew you were faking it. You sure love pulling pranks.
context: H-How little do you trust me?\And so, to collect monster materials...\I decided to conquer more of the dungeon.\Hello, Master.\Master? Are you sleeping?\M-Master?\Wait, it can't be...\I knew you were faking it. You sure love pulling pranks. response:	Well, that's because you never come to see me!
context: And so, to collect monster materials...\I decided to conquer more of the dungeon.\Hello, Master.\Master? Are you sleeping?\M-Master?\Wait, it can't be...\I knew you were faking it. You sure love pulling pranks.\Well, that's because you never come to see me! response:	Er, I just came here the other day.
context: I decided to conquer more of the dungeon.\Hello, Master.\Master? Are you sleeping?\M-Master?\Wait, it can't be...\I knew you were faking it. You sure love pulling pranks.\Well, that's because you never come to see me!\Er, I just came here the other day. response:	So what's up? Exploring the dungeon today?
context: Hello, Master.\Master? Are you sleeping?\M-Master?\Wait, it can't be...\I knew you were faking it. You sure love pulling pranks.\Well, that's because you never come to see me!\Er, I just came here the other day.\So what's up? Exploring the dungeon today? response:	Yes. I wanted to gather some treasures and materials.
context: Master? Are you sleeping?\M-Master?\Wait, it can't be...\I knew you were faking it. You sure love pulling pranks.\Well, that's because you never come to see me!\Er, I just came here the other day.\So what's up? Exploring the dungeon today?\Yes. I wanted to gather some treasures and materials. response:	And I'd like to get stronger.
context: M-Master?\Wait, it can't be...\I knew you were faking it. You sure love pulling pranks.\Well, that's because you never come to see me!\Er, I just came here the other day.\So what's up? Exploring the dungeon today?\Yes. I wanted to gather some treasures and materials.\And I'd like to get stronger. response:	Then you should Get Creative and make the Dungeon Elevator skill
context: Wait, it can't be...\I knew you were faking it. You sure love pulling pranks.\Well, that's because you never come to see me!\Er, I just came here the other day.\So what's up? Exploring the dungeon today?\Yes. I wanted to gather some treasures and materials.\And I'd like to get stronger.\Then you should Get Creative and make the Dungeon Elevator skill response:	so you can conquer it more efficiently.
context: I knew you were faking it. You sure love pulling pranks.\Well, that's because you never come to see me!\Er, I just came here the other day.\So what's up? Exploring the dungeon today?\Yes. I wanted to gather some treasures and materials.\And I'd like to get stronger.\Then you should Get Creative and make the Dungeon Elevator skill\so you can conquer it more efficiently. response:	Once you've been to a floor, you can instantly travel there next time.
context: Well, that's because you never come to see me!\Er, I just came here the other day.\So what's up? Exploring the dungeon today?\Yes. I wanted to gather some treasures and materials.\And I'd like to get stronger.\Then you should Get Creative and make the Dungeon Elevator skill\so you can conquer it more efficiently.\Once you've been to a floor, you can instantly travel there next time. response:	Though once you use it, you won't be able to use it again for another hour.
context: Er, I just came here the other day.\So what's up? Exploring the dungeon today?\Yes. I wanted to gather some treasures and materials.\And I'd like to get stronger.\Then you should Get Creative and make the Dungeon Elevator skill\so you can conquer it more efficiently.\Once you've been to a floor, you can instantly travel there next time.\Though once you use it, you won't be able to use it again for another hour. response:	That sounds great. I'll get right to it.
context: So what's up? Exploring the dungeon today?\Yes. I wanted to gather some treasures and materials.\And I'd like to get stronger.\Then you should Get Creative and make the Dungeon Elevator skill\so you can conquer it more efficiently.\Once you've been to a floor, you can instantly travel there next time.\Though once you use it, you won't be able to use it again for another hour.\That sounds great. I'll get right to it. response:	Noir Stardia LP. 2000
context: Yes. I wanted to gather some treasures and materials.\And I'd like to get stronger.\Then you should Get Creative and make the Dungeon Elevator skill\so you can conquer it more efficiently.\Once you've been to a floor, you can instantly travel there next time.\Though once you use it, you won't be able to use it again for another hour.\That sounds great. I'll get right to it.\Noir Stardia LP. 2000 response:	Skills Skills Skills Skills Skills Skills
context: And I'd like to get stronger.\Then you should Get Creative and make the Dungeon Elevator skill\so you can conquer it more efficiently.\Once you've been to a floor, you can instantly travel there next time.\Though once you use it, you won't be able to use it again for another hour.\That sounds great. I'll get right to it.\Noir Stardia LP. 2000\Skills Skills Skills Skills Skills Skills response:	Noir Stardia LP. 1400
context: Then you should Get Creative and make the Dungeon Elevator skill\so you can conquer it more efficiently.\Once you've been to a floor, you can instantly travel there next time.\Though once you use it, you won't be able to use it again for another hour.\That sounds great. I'll get right to it.\Noir Stardia LP. 2000\Skills Skills Skills Skills Skills Skills\Noir Stardia LP. 1400 response:	Also, I'd recommend the Blinding Light skill.
context: so you can conquer it more efficiently.\Once you've been to a floor, you can instantly travel there next time.\Though once you use it, you won't be able to use it again for another hour.\That sounds great. I'll get right to it.\Noir Stardia LP. 2000\Skills Skills Skills Skills Skills Skills\Noir Stardia LP. 1400\Also, I'd recommend the Blinding Light skill. response:	Just like the name suggests, it's great at blinding things.
context: Once you've been to a floor, you can instantly travel there next time.\Though once you use it, you won't be able to use it again for another hour.\That sounds great. I'll get right to it.\Noir Stardia LP. 2000\Skills Skills Skills Skills Skills Skills\Noir Stardia LP. 1400\Also, I'd recommend the Blinding Light skill.\Just like the name suggests, it's great at blinding things. response:	I guess I'll add that, too, then.
context: Though once you use it, you won't be able to use it again for another hour.\That sounds great. I'll get right to it.\Noir Stardia LP. 2000\Skills Skills Skills Skills Skills Skills\Noir Stardia LP. 1400\Also, I'd recommend the Blinding Light skill.\Just like the name suggests, it's great at blinding things.\I guess I'll add that, too, then. response:	Noir Stardia LP. 1400
context: That sounds great. I'll get right to it.\Noir Stardia LP. 2000\Skills Skills Skills Skills Skills Skills\Noir Stardia LP. 1400\Also, I'd recommend the Blinding Light skill.\Just like the name suggests, it's great at blinding things.\I guess I'll add that, too, then.\Noir Stardia LP. 1400 response:	Noir Stardia LP. 1200
context: Noir Stardia LP. 2000\Skills Skills Skills Skills Skills Skills\Noir Stardia LP. 1400\Also, I'd recommend the Blinding Light skill.\Just like the name suggests, it's great at blinding things.\I guess I'll add that, too, then.\Noir Stardia LP. 1400\Noir Stardia LP. 1200 response:	Skills Skills Skills Skills Skills Skills
context: Skills Skills Skills Skills Skills Skills\Noir Stardia LP. 1400\Also, I'd recommend the Blinding Light skill.\Just like the name suggests, it's great at blinding things.\I guess I'll add that, too, then.\Noir Stardia LP. 1400\Noir Stardia LP. 1200\Skills Skills Skills Skills Skills Skills response:	I should give it a test run...
context: Noir Stardia LP. 1400\Also, I'd recommend the Blinding Light skill.\Just like the name suggests, it's great at blinding things.\I guess I'll add that, too, then.\Noir Stardia LP. 1400\Noir Stardia LP. 1200\Skills Skills Skills Skills Skills Skills\I should give it a test run... response:	Oh, God! I forgot to close my eyes!
context: Also, I'd recommend the Blinding Light skill.\Just like the name suggests, it's great at blinding things.\I guess I'll add that, too, then.\Noir Stardia LP. 1400\Noir Stardia LP. 1200\Skills Skills Skills Skills Skills Skills\I should give it a test run...\Oh, God! I forgot to close my eyes! response:	Oh, you're such a klutz, Noir!
context: Just like the name suggests, it's great at blinding things.\I guess I'll add that, too, then.\Noir Stardia LP. 1400\Noir Stardia LP. 1200\Skills Skills Skills Skills Skills Skills\I should give it a test run...\Oh, God! I forgot to close my eyes!\Oh, you're such a klutz, Noir! response:	I-It's sort of strange having you laugh at me in that state.
context: I guess I'll add that, too, then.\Noir Stardia LP. 1400\Noir Stardia LP. 1200\Skills Skills Skills Skills Skills Skills\I should give it a test run...\Oh, God! I forgot to close my eyes!\Oh, you're such a klutz, Noir!\I-It's sort of strange having you laugh at me in that state. response:	I didn't find any noteworthy monsters on the third or fourth floors.
context: Noir Stardia LP. 1400\Noir Stardia LP. 1200\Skills Skills Skills Skills Skills Skills\I should give it a test run...\Oh, God! I forgot to close my eyes!\Oh, you're such a klutz, Noir!\I-It's sort of strange having you laugh at me in that state.\I didn't find any noteworthy monsters on the third or fourth floors. response:	Then I got to the fifth...
context: Noir Stardia LP. 1200\Skills Skills Skills Skills Skills Skills\I should give it a test run...\Oh, God! I forgot to close my eyes!\Oh, you're such a klutz, Noir!\I-It's sort of strange having you laugh at me in that state.\I didn't find any noteworthy monsters on the third or fourth floors.\Then I got to the fifth... response:	I sense a presence over there.
context: Skills Skills Skills Skills Skills Skills\I should give it a test run...\Oh, God! I forgot to close my eyes!\Oh, you're such a klutz, Noir!\I-It's sort of strange having you laugh at me in that state.\I didn't find any noteworthy monsters on the third or fourth floors.\Then I got to the fifth...\I sense a presence over there. response:	Did they fight and end up killing each other?
context: I should give it a test run...\Oh, God! I forgot to close my eyes!\Oh, you're such a klutz, Noir!\I-It's sort of strange having you laugh at me in that state.\I didn't find any noteworthy monsters on the third or fourth floors.\Then I got to the fifth...\I sense a presence over there.\Did they fight and end up killing each other? response:	Or...
context: Oh, God! I forgot to close my eyes!\Oh, you're such a klutz, Noir!\I-It's sort of strange having you laugh at me in that state.\I didn't find any noteworthy monsters on the third or fourth floors.\Then I got to the fifth...\I sense a presence over there.\Did they fight and end up killing each other?\Or... response:	A pitch-black lion?
context: Oh, you're such a klutz, Noir!\I-It's sort of strange having you laugh at me in that state.\I didn't find any noteworthy monsters on the third or fourth floors.\Then I got to the fifth...\I sense a presence over there.\Did they fight and end up killing each other?\Or...\A pitch-black lion? response:	I-I need to use Discerning Eye!
context: I-It's sort of strange having you laugh at me in that state.\I didn't find any noteworthy monsters on the third or fourth floors.\Then I got to the fifth...\I sense a presence over there.\Did they fight and end up killing each other?\Or...\A pitch-black lion?\I-I need to use Discerning Eye! response:	I'm not getting any information?!
context: I didn't find any noteworthy monsters on the third or fourth floors.\Then I got to the fifth...\I sense a presence over there.\Did they fight and end up killing each other?\Or...\A pitch-black lion?\I-I need to use Discerning Eye!\I'm not getting any information?! response:	Th-Then I'll just have to...
context: Then I got to the fifth...\I sense a presence over there.\Did they fight and end up killing each other?\Or...\A pitch-black lion?\I-I need to use Discerning Eye!\I'm not getting any information?!\Th-Then I'll just have to... response:	use Blinding Light!
context: I sense a presence over there.\Did they fight and end up killing each other?\Or...\A pitch-black lion?\I-I need to use Discerning Eye!\I'm not getting any information?!\Th-Then I'll just have to...\use Blinding Light! response:	And then Dungeon Elevator to get the hell outta here!
context: Did they fight and end up killing each other?\Or...\A pitch-black lion?\I-I need to use Discerning Eye!\I'm not getting any information?!\Th-Then I'll just have to...\use Blinding Light!\And then Dungeon Elevator to get the hell outta here! response:	W-Wait, human. I must speak with you.
context: Or...\A pitch-black lion?\I-I need to use Discerning Eye!\I'm not getting any information?!\Th-Then I'll just have to...\use Blinding Light!\And then Dungeon Elevator to get the hell outta here!\W-Wait, human. I must speak with you. response:	I-It talked?!
context: A pitch-black lion?\I-I need to use Discerning Eye!\I'm not getting any information?!\Th-Then I'll just have to...\use Blinding Light!\And then Dungeon Elevator to get the hell outta here!\W-Wait, human. I must speak with you.\I-It talked?! response:	You have no reason to fear me.
context: I-I need to use Discerning Eye!\I'm not getting any information?!\Th-Then I'll just have to...\use Blinding Light!\And then Dungeon Elevator to get the hell outta here!\W-Wait, human. I must speak with you.\I-It talked?!\You have no reason to fear me. response:	I am not suspicious in the least.
context: I'm not getting any information?!\Th-Then I'll just have to...\use Blinding Light!\And then Dungeon Elevator to get the hell outta here!\W-Wait, human. I must speak with you.\I-It talked?!\You have no reason to fear me.\I am not suspicious in the least. response:	Er, I'm not sure about that.
context: Th-Then I'll just have to...\use Blinding Light!\And then Dungeon Elevator to get the hell outta here!\W-Wait, human. I must speak with you.\I-It talked?!\You have no reason to fear me.\I am not suspicious in the least.\Er, I'm not sure about that. response:	And...
context: use Blinding Light!\And then Dungeon Elevator to get the hell outta here!\W-Wait, human. I must speak with you.\I-It talked?!\You have no reason to fear me.\I am not suspicious in the least.\Er, I'm not sure about that.\And... response:	Why does it have a tulip growing on its head?!
context: And then Dungeon Elevator to get the hell outta here!\W-Wait, human. I must speak with you.\I-It talked?!\You have no reason to fear me.\I am not suspicious in the least.\Er, I'm not sure about that.\And...\Why does it have a tulip growing on its head?! response:	Human, having acknowledged the talent you must have to reach this floor,
context: W-Wait, human. I must speak with you.\I-It talked?!\You have no reason to fear me.\I am not suspicious in the least.\Er, I'm not sure about that.\And...\Why does it have a tulip growing on its head?!\Human, having acknowledged the talent you must have to reach this floor, response:	I have a request.
context: I-It talked?!\You have no reason to fear me.\I am not suspicious in the least.\Er, I'm not sure about that.\And...\Why does it have a tulip growing on its head?!\Human, having acknowledged the talent you must have to reach this floor,\I have a request. response:	I will take you to the sixth floor, and in return,
context: You have no reason to fear me.\I am not suspicious in the least.\Er, I'm not sure about that.\And...\Why does it have a tulip growing on its head?!\Human, having acknowledged the talent you must have to reach this floor,\I have a request.\I will take you to the sixth floor, and in return, response:	I would like you to search for someone.
context: I am not suspicious in the least.\Er, I'm not sure about that.\And...\Why does it have a tulip growing on its head?!\Human, having acknowledged the talent you must have to reach this floor,\I have a request.\I will take you to the sixth floor, and in return,\I would like you to search for someone. response:	I-I accepted his offer for a ride, but...
context: Er, I'm not sure about that.\And...\Why does it have a tulip growing on its head?!\Human, having acknowledged the talent you must have to reach this floor,\I have a request.\I will take you to the sixth floor, and in return,\I would like you to search for someone.\I-I accepted his offer for a ride, but... response:	M-Mr. Lion, you're very strong.
context: And...\Why does it have a tulip growing on its head?!\Human, having acknowledged the talent you must have to reach this floor,\I have a request.\I will take you to the sixth floor, and in return,\I would like you to search for someone.\I-I accepted his offer for a ride, but...\M-Mr. Lion, you're very strong. response:	My name is not Lion. I am Tigerson.
context: Why does it have a tulip growing on its head?!\Human, having acknowledged the talent you must have to reach this floor,\I have a request.\I will take you to the sixth floor, and in return,\I would like you to search for someone.\I-I accepted his offer for a ride, but...\M-Mr. Lion, you're very strong.\My name is not Lion. I am Tigerson. response:	Tiger... Huh? Tiger?
context: Human, having acknowledged the talent you must have to reach this floor,\I have a request.\I will take you to the sixth floor, and in return,\I would like you to search for someone.\I-I accepted his offer for a ride, but...\M-Mr. Lion, you're very strong.\My name is not Lion. I am Tigerson.\Tiger... Huh? Tiger? response:	My friend gave me this name.
context: I have a request.\I will take you to the sixth floor, and in return,\I would like you to search for someone.\I-I accepted his offer for a ride, but...\M-Mr. Lion, you're very strong.\My name is not Lion. I am Tigerson.\Tiger... Huh? Tiger?\My friend gave me this name. response:	It is my pride and joy.
