context: Are you gonna stay home again today? response:	Yeah, I still feel a little yucky.
context: It used to be so easy to just text him, but now...\What's wrong with me?\I can't hang tomorrow, but I'm free the day after!\Okay, you should come over then!\I'll tell my sister.\Okay!\Horimiya\I'm home! response:	I Can't Say It Out Loud
context: What's wrong with me?\I can't hang tomorrow, but I'm free the day after!\Okay, you should come over then!\I'll tell my sister.\Okay!\Horimiya\I'm home!\I Can't Say It Out Loud response:	I'm home!
context: I can't hang tomorrow, but I'm free the day after!\Okay, you should come over then!\I'll tell my sister.\Okay!\Horimiya\I'm home!\I Can't Say It Out Loud\I'm home! response:	I Can't Say It Out Loud
context: Okay, you should come over then!\I'll tell my sister.\Okay!\Horimiya\I'm home!\I Can't Say It Out Loud\I'm home!\I Can't Say It Out Loud response:	I Can't Say It Out Loud
context: I'll tell my sister.\Okay!\Horimiya\I'm home!\I Can't Say It Out Loud\I'm home!\I Can't Say It Out Loud\I Can't Say It Out Loud response:	How're you feeling?
context: Okay!\Horimiya\I'm home!\I Can't Say It Out Loud\I'm home!\I Can't Say It Out Loud\I Can't Say It Out Loud\How're you feeling? response:	How're you feeling?
context: Horimiya\I'm home!\I Can't Say It Out Loud\I'm home!\I Can't Say It Out Loud\I Can't Say It Out Loud\How're you feeling?\How're you feeling? response:	A lot better, thanks.
context: I'm home!\I Can't Say It Out Loud\I'm home!\I Can't Say It Out Loud\I Can't Say It Out Loud\How're you feeling?\How're you feeling?\A lot better, thanks. response:	Good! Can I have some yogurt?
context: I Can't Say It Out Loud\I'm home!\I Can't Say It Out Loud\I Can't Say It Out Loud\How're you feeling?\How're you feeling?\A lot better, thanks.\Good! Can I have some yogurt? response:	Go right ahead.
context: I'm home!\I Can't Say It Out Loud\I Can't Say It Out Loud\How're you feeling?\How're you feeling?\A lot better, thanks.\Good! Can I have some yogurt?\Go right ahead. response:	Oh, I saw my bro this morning!
context: I Can't Say It Out Loud\I Can't Say It Out Loud\How're you feeling?\How're you feeling?\A lot better, thanks.\Good! Can I have some yogurt?\Go right ahead.\Oh, I saw my bro this morning! response:	Yeah? How'd he look?
context: I Can't Say It Out Loud\How're you feeling?\How're you feeling?\A lot better, thanks.\Good! Can I have some yogurt?\Go right ahead.\Oh, I saw my bro this morning!\Yeah? How'd he look? response:	He was walking with a girl.
context: How're you feeling?\How're you feeling?\A lot better, thanks.\Good! Can I have some yogurt?\Go right ahead.\Oh, I saw my bro this morning!\Yeah? How'd he look?\He was walking with a girl. response:	What?
context: How're you feeling?\A lot better, thanks.\Good! Can I have some yogurt?\Go right ahead.\Oh, I saw my bro this morning!\Yeah? How'd he look?\He was walking with a girl.\What? response:	Hey, which one do you want to eat?
context: A lot better, thanks.\Good! Can I have some yogurt?\Go right ahead.\Oh, I saw my bro this morning!\Yeah? How'd he look?\He was walking with a girl.\What?\Hey, which one do you want to eat? response:	Wait, who, what?!
context: Good! Can I have some yogurt?\Go right ahead.\Oh, I saw my bro this morning!\Yeah? How'd he look?\He was walking with a girl.\What?\Hey, which one do you want to eat?\Wait, who, what?! response:	This orange one has gummy balls in it!
context: Go right ahead.\Oh, I saw my bro this morning!\Yeah? How'd he look?\He was walking with a girl.\What?\Hey, which one do you want to eat?\Wait, who, what?!\This orange one has gummy balls in it! response:	You can have that; I don't like citrus.
context: Oh, I saw my bro this morning!\Yeah? How'd he look?\He was walking with a girl.\What?\Hey, which one do you want to eat?\Wait, who, what?!\This orange one has gummy balls in it!\You can have that; I don't like citrus. response:	Back up, a girl?! Who?!
context: Yeah? How'd he look?\He was walking with a girl.\What?\Hey, which one do you want to eat?\Wait, who, what?!\This orange one has gummy balls in it!\You can have that; I don't like citrus.\Back up, a girl?! Who?! response:	Who? I dunno.
context: He was walking with a girl.\What?\Hey, which one do you want to eat?\Wait, who, what?!\This orange one has gummy balls in it!\You can have that; I don't like citrus.\Back up, a girl?! Who?!\Who? I dunno. response:	She was wearing some other uniform.
context: What?\Hey, which one do you want to eat?\Wait, who, what?!\This orange one has gummy balls in it!\You can have that; I don't like citrus.\Back up, a girl?! Who?!\Who? I dunno.\She was wearing some other uniform. response:	Some other uniform equals some high-school girl?
context: Hey, which one do you want to eat?\Wait, who, what?!\This orange one has gummy balls in it!\You can have that; I don't like citrus.\Back up, a girl?! Who?!\Who? I dunno.\She was wearing some other uniform.\Some other uniform equals some high-school girl? response:	And hanging out with her times I'm in love with you equals he's cheating?
context: Wait, who, what?!\This orange one has gummy balls in it!\You can have that; I don't like citrus.\Back up, a girl?! Who?!\Who? I dunno.\She was wearing some other uniform.\Some other uniform equals some high-school girl?\And hanging out with her times I'm in love with you equals he's cheating? response:	Is he cheating on me? He's totally cheating on me, isn't he?!
context: This orange one has gummy balls in it!\You can have that; I don't like citrus.\Back up, a girl?! Who?!\Who? I dunno.\She was wearing some other uniform.\Some other uniform equals some high-school girl?\And hanging out with her times I'm in love with you equals he's cheating?\Is he cheating on me? He's totally cheating on me, isn't he?! response:	CHEATING!!!
context: You can have that; I don't like citrus.\Back up, a girl?! Who?!\Who? I dunno.\She was wearing some other uniform.\Some other uniform equals some high-school girl?\And hanging out with her times I'm in love with you equals he's cheating?\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!! response:	Is he cheating on me? He's totally cheating on me, isn't he?!
context: Back up, a girl?! Who?!\Who? I dunno.\She was wearing some other uniform.\Some other uniform equals some high-school girl?\And hanging out with her times I'm in love with you equals he's cheating?\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?! response:	CHEATING! CHEATING!!
context: Who? I dunno.\She was wearing some other uniform.\Some other uniform equals some high-school girl?\And hanging out with her times I'm in love with you equals he's cheating?\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING! CHEATING!! response:	Is he cheating on me? He's totally cheating on me, isn't he?!
context: She was wearing some other uniform.\Some other uniform equals some high-school girl?\And hanging out with her times I'm in love with you equals he's cheating?\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING! CHEATING!!\Is he cheating on me? He's totally cheating on me, isn't he?! response:	CHEATING!!!
context: Some other uniform equals some high-school girl?\And hanging out with her times I'm in love with you equals he's cheating?\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING! CHEATING!!\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!! response:	Is he cheating on me? He's totally cheating on me, isn't he?!
context: And hanging out with her times I'm in love with you equals he's cheating?\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING! CHEATING!!\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?! response:	Is he cheating on me? He's totally cheating on me, isn't he?!
context: Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING! CHEATING!!\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?!\Is he cheating on me? He's totally cheating on me, isn't he?! response:	Whoa, okay, hold on.
context: CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING! CHEATING!!\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?!\Is he cheating on me? He's totally cheating on me, isn't he?!\Whoa, okay, hold on. response:	I'm making too many assumptions. They're probably just friends.
context: Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING! CHEATING!!\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?!\Is he cheating on me? He's totally cheating on me, isn't he?!\Whoa, okay, hold on.\I'm making too many assumptions. They're probably just friends. response:	Did they look like friends? What were they talking about?
context: CHEATING! CHEATING!!\Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?!\Is he cheating on me? He's totally cheating on me, isn't he?!\Whoa, okay, hold on.\I'm making too many assumptions. They're probably just friends.\Did they look like friends? What were they talking about? response:	Huh? Uh...
context: Is he cheating on me? He's totally cheating on me, isn't he?!\CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?!\Is he cheating on me? He's totally cheating on me, isn't he?!\Whoa, okay, hold on.\I'm making too many assumptions. They're probably just friends.\Did they look like friends? What were they talking about?\Huh? Uh... response:	She was practically wrapped around his arm!
context: CHEATING!!!\Is he cheating on me? He's totally cheating on me, isn't he?!\Is he cheating on me? He's totally cheating on me, isn't he?!\Whoa, okay, hold on.\I'm making too many assumptions. They're probably just friends.\Did they look like friends? What were they talking about?\Huh? Uh...\She was practically wrapped around his arm! response:	Hey, don't make a mess!
context: Is he cheating on me? He's totally cheating on me, isn't he?!\Is he cheating on me? He's totally cheating on me, isn't he?!\Whoa, okay, hold on.\I'm making too many assumptions. They're probably just friends.\Did they look like friends? What were they talking about?\Huh? Uh...\She was practically wrapped around his arm!\Hey, don't make a mess! response:	A girl? Wrapped around his arm?
context: Is he cheating on me? He's totally cheating on me, isn't he?!\Whoa, okay, hold on.\I'm making too many assumptions. They're probably just friends.\Did they look like friends? What were they talking about?\Huh? Uh...\She was practically wrapped around his arm!\Hey, don't make a mess!\A girl? Wrapped around his arm? response:	Why?
context: Whoa, okay, hold on.\I'm making too many assumptions. They're probably just friends.\Did they look like friends? What were they talking about?\Huh? Uh...\She was practically wrapped around his arm!\Hey, don't make a mess!\A girl? Wrapped around his arm?\Why? response:	This is stupid. I should just text him to see what really happened.
context: I'm making too many assumptions. They're probably just friends.\Did they look like friends? What were they talking about?\Huh? Uh...\She was practically wrapped around his arm!\Hey, don't make a mess!\A girl? Wrapped around his arm?\Why?\This is stupid. I should just text him to see what really happened. response:	She could be a friend from middle school, like Shindo-kun.
context: Did they look like friends? What were they talking about?\Huh? Uh...\She was practically wrapped around his arm!\Hey, don't make a mess!\A girl? Wrapped around his arm?\Why?\This is stupid. I should just text him to see what really happened.\She could be a friend from middle school, like Shindo-kun. response:	It might not have even been...
context: Huh? Uh...\She was practically wrapped around his arm!\Hey, don't make a mess!\A girl? Wrapped around his arm?\Why?\This is stupid. I should just text him to see what really happened.\She could be a friend from middle school, like Shindo-kun.\It might not have even been... response:	Third Year Elective: Modern Japanese, Class A
context: She was practically wrapped around his arm!\Hey, don't make a mess!\A girl? Wrapped around his arm?\Why?\This is stupid. I should just text him to see what really happened.\She could be a friend from middle school, like Shindo-kun.\It might not have even been...\Third Year Elective: Modern Japanese, Class A response:	Hey, Hori! Your cold all cleared up?
context: Hey, don't make a mess!\A girl? Wrapped around his arm?\Why?\This is stupid. I should just text him to see what really happened.\She could be a friend from middle school, like Shindo-kun.\It might not have even been...\Third Year Elective: Modern Japanese, Class A\Hey, Hori! Your cold all cleared up? response:	Quiet! Keep your voice down!
context: A girl? Wrapped around his arm?\Why?\This is stupid. I should just text him to see what really happened.\She could be a friend from middle school, like Shindo-kun.\It might not have even been...\Third Year Elective: Modern Japanese, Class A\Hey, Hori! Your cold all cleared up?\Quiet! Keep your voice down! response:	Sorry.
context: Why?\This is stupid. I should just text him to see what really happened.\She could be a friend from middle school, like Shindo-kun.\It might not have even been...\Third Year Elective: Modern Japanese, Class A\Hey, Hori! Your cold all cleared up?\Quiet! Keep your voice down!\Sorry. response:	Where's Miyamura?
context: This is stupid. I should just text him to see what really happened.\She could be a friend from middle school, like Shindo-kun.\It might not have even been...\Third Year Elective: Modern Japanese, Class A\Hey, Hori! Your cold all cleared up?\Quiet! Keep your voice down!\Sorry.\Where's Miyamura? response:	He's here. He was real worried about you, Hori.
context: She could be a friend from middle school, like Shindo-kun.\It might not have even been...\Third Year Elective: Modern Japanese, Class A\Hey, Hori! Your cold all cleared up?\Quiet! Keep your voice down!\Sorry.\Where's Miyamura?\He's here. He was real worried about you, Hori. response:	He's sitting over by the window. You should go sit-
context: It might not have even been...\Third Year Elective: Modern Japanese, Class A\Hey, Hori! Your cold all cleared up?\Quiet! Keep your voice down!\Sorry.\Where's Miyamura?\He's here. He was real worried about you, Hori.\He's sitting over by the window. You should go sit- response:	Huh?
context: Third Year Elective: Modern Japanese, Class A\Hey, Hori! Your cold all cleared up?\Quiet! Keep your voice down!\Sorry.\Where's Miyamura?\He's here. He was real worried about you, Hori.\He's sitting over by the window. You should go sit-\Huh? response:	Okay, everyone, please find a seat.
context: Hey, Hori! Your cold all cleared up?\Quiet! Keep your voice down!\Sorry.\Where's Miyamura?\He's here. He was real worried about you, Hori.\He's sitting over by the window. You should go sit-\Huh?\Okay, everyone, please find a seat. response:	Wait, Hori-san's here?
context: Quiet! Keep your voice down!\Sorry.\Where's Miyamura?\He's here. He was real worried about you, Hori.\He's sitting over by the window. You should go sit-\Huh?\Okay, everyone, please find a seat.\Wait, Hori-san's here? response:	I didn't see her in homeroom.
context: Sorry.\Where's Miyamura?\He's here. He was real worried about you, Hori.\He's sitting over by the window. You should go sit-\Huh?\Okay, everyone, please find a seat.\Wait, Hori-san's here?\I didn't see her in homeroom. response:	She was here for first period, but she was, like, really on edge.
context: Where's Miyamura?\He's here. He was real worried about you, Hori.\He's sitting over by the window. You should go sit-\Huh?\Okay, everyone, please find a seat.\Wait, Hori-san's here?\I didn't see her in homeroom.\She was here for first period, but she was, like, really on edge. response:	Like in a really foul mood.
context: He's here. He was real worried about you, Hori.\He's sitting over by the window. You should go sit-\Huh?\Okay, everyone, please find a seat.\Wait, Hori-san's here?\I didn't see her in homeroom.\She was here for first period, but she was, like, really on edge.\Like in a really foul mood. response:	Almost seems like she doesn't wanna talk to you.
context: He's sitting over by the window. You should go sit-\Huh?\Okay, everyone, please find a seat.\Wait, Hori-san's here?\I didn't see her in homeroom.\She was here for first period, but she was, like, really on edge.\Like in a really foul mood.\Almost seems like she doesn't wanna talk to you. response:	Did you guys get into a fight or something?
context: Huh?\Okay, everyone, please find a seat.\Wait, Hori-san's here?\I didn't see her in homeroom.\She was here for first period, but she was, like, really on edge.\Like in a really foul mood.\Almost seems like she doesn't wanna talk to you.\Did you guys get into a fight or something? response:	No, nothing like that.
context: Okay, everyone, please find a seat.\Wait, Hori-san's here?\I didn't see her in homeroom.\She was here for first period, but she was, like, really on edge.\Like in a really foul mood.\Almost seems like she doesn't wanna talk to you.\Did you guys get into a fight or something?\No, nothing like that. response:	Really? Well, okay, but...
context: Wait, Hori-san's here?\I didn't see her in homeroom.\She was here for first period, but she was, like, really on edge.\Like in a really foul mood.\Almost seems like she doesn't wanna talk to you.\Did you guys get into a fight or something?\No, nothing like that.\Really? Well, okay, but... response:	We gotta go to the other classroom, Miyamura.
context: I didn't see her in homeroom.\She was here for first period, but she was, like, really on edge.\Like in a really foul mood.\Almost seems like she doesn't wanna talk to you.\Did you guys get into a fight or something?\No, nothing like that.\Really? Well, okay, but...\We gotta go to the other classroom, Miyamura. response:	Got it.
context: She was here for first period, but she was, like, really on edge.\Like in a really foul mood.\Almost seems like she doesn't wanna talk to you.\Did you guys get into a fight or something?\No, nothing like that.\Really? Well, okay, but...\We gotta go to the other classroom, Miyamura.\Got it. response:	Oh, sorry, go on without me.
context: Like in a really foul mood.\Almost seems like she doesn't wanna talk to you.\Did you guys get into a fight or something?\No, nothing like that.\Really? Well, okay, but...\We gotta go to the other classroom, Miyamura.\Got it.\Oh, sorry, go on without me. response:	Mmkay.
context: Almost seems like she doesn't wanna talk to you.\Did you guys get into a fight or something?\No, nothing like that.\Really? Well, okay, but...\We gotta go to the other classroom, Miyamura.\Got it.\Oh, sorry, go on without me.\Mmkay. response:	Hori-san?
context: Did you guys get into a fight or something?\No, nothing like that.\Really? Well, okay, but...\We gotta go to the other classroom, Miyamura.\Got it.\Oh, sorry, go on without me.\Mmkay.\Hori-san? response:	Why'd you scream?
context: No, nothing like that.\Really? Well, okay, but...\We gotta go to the other classroom, Miyamura.\Got it.\Oh, sorry, go on without me.\Mmkay.\Hori-san?\Why'd you scream? response:	I wanted to talk to you-
context: Really? Well, okay, but...\We gotta go to the other classroom, Miyamura.\Got it.\Oh, sorry, go on without me.\Mmkay.\Hori-san?\Why'd you scream?\I wanted to talk to you- response:	Sorry, I gotta head home early today! Bye!
context: We gotta go to the other classroom, Miyamura.\Got it.\Oh, sorry, go on without me.\Mmkay.\Hori-san?\Why'd you scream?\I wanted to talk to you-\Sorry, I gotta head home early today! Bye! response:	Were you awake?
context: Got it.\Oh, sorry, go on without me.\Mmkay.\Hori-san?\Why'd you scream?\I wanted to talk to you-\Sorry, I gotta head home early today! Bye!\Were you awake? response:	The other day, you were awake, right?
context: Oh, sorry, go on without me.\Mmkay.\Hori-san?\Why'd you scream?\I wanted to talk to you-\Sorry, I gotta head home early today! Bye!\Were you awake?\The other day, you were awake, right? response:	I said it because I knew you were awake, you know.
context: Mmkay.\Hori-san?\Why'd you scream?\I wanted to talk to you-\Sorry, I gotta head home early today! Bye!\Were you awake?\The other day, you were awake, right?\I said it because I knew you were awake, you know. response:	So...
context: Hori-san?\Why'd you scream?\I wanted to talk to you-\Sorry, I gotta head home early today! Bye!\Were you awake?\The other day, you were awake, right?\I said it because I knew you were awake, you know.\So... response:	Who is she?
context: Why'd you scream?\I wanted to talk to you-\Sorry, I gotta head home early today! Bye!\Were you awake?\The other day, you were awake, right?\I said it because I knew you were awake, you know.\So...\Who is she? response:	Who's-what?
context: I wanted to talk to you-\Sorry, I gotta head home early today! Bye!\Were you awake?\The other day, you were awake, right?\I said it because I knew you were awake, you know.\So...\Who is she?\Who's-what? response:	Th-The girl you were walking with. Who is she?
context: Sorry, I gotta head home early today! Bye!\Were you awake?\The other day, you were awake, right?\I said it because I knew you were awake, you know.\So...\Who is she?\Who's-what?\Th-The girl you were walking with. Who is she? response:	Wait, uh...
context: Were you awake?\The other day, you were awake, right?\I said it because I knew you were awake, you know.\So...\Who is she?\Who's-what?\Th-The girl you were walking with. Who is she?\Wait, uh... response:	-Say you have no idea. Say that Souta had the wrong guy.
context: The other day, you were awake, right?\I said it because I knew you were awake, you know.\So...\Who is she?\Who's-what?\Th-The girl you were walking with. Who is she?\Wait, uh...\-Say you have no idea. Say that Souta had the wrong guy. response:	-Uhh... -Say you have no idea. Say that Souta had the wrong guy.
context: I said it because I knew you were awake, you know.\So...\Who is she?\Who's-what?\Th-The girl you were walking with. Who is she?\Wait, uh...\-Say you have no idea. Say that Souta had the wrong guy.\-Uhh... -Say you have no idea. Say that Souta had the wrong guy. response:	Say it was just his imagination. Say it's not like that, please!
context: So...\Who is she?\Who's-what?\Th-The girl you were walking with. Who is she?\Wait, uh...\-Say you have no idea. Say that Souta had the wrong guy.\-Uhh... -Say you have no idea. Say that Souta had the wrong guy.\Say it was just his imagination. Say it's not like that, please! response:	Oh, you mean Chika-chan?
context: Who is she?\Who's-what?\Th-The girl you were walking with. Who is she?\Wait, uh...\-Say you have no idea. Say that Souta had the wrong guy.\-Uhh... -Say you have no idea. Say that Souta had the wrong guy.\Say it was just his imagination. Say it's not like that, please!\Oh, you mean Chika-chan? response:	Chika-chan?
context: Who's-what?\Th-The girl you were walking with. Who is she?\Wait, uh...\-Say you have no idea. Say that Souta had the wrong guy.\-Uhh... -Say you have no idea. Say that Souta had the wrong guy.\Say it was just his imagination. Say it's not like that, please!\Oh, you mean Chika-chan?\Chika-chan? response:	Yeah, uh, she goes to Yasaka-
context: Th-The girl you were walking with. Who is she?\Wait, uh...\-Say you have no idea. Say that Souta had the wrong guy.\-Uhh... -Say you have no idea. Say that Souta had the wrong guy.\Say it was just his imagination. Say it's not like that, please!\Oh, you mean Chika-chan?\Chika-chan?\Yeah, uh, she goes to Yasaka- response:	I've never heard you call a girl by her first name.
context: Wait, uh...\-Say you have no idea. Say that Souta had the wrong guy.\-Uhh... -Say you have no idea. Say that Souta had the wrong guy.\Say it was just his imagination. Say it's not like that, please!\Oh, you mean Chika-chan?\Chika-chan?\Yeah, uh, she goes to Yasaka-\I've never heard you call a girl by her first name. response:	And she was hanging off of you in public, too.
context: -Say you have no idea. Say that Souta had the wrong guy.\-Uhh... -Say you have no idea. Say that Souta had the wrong guy.\Say it was just his imagination. Say it's not like that, please!\Oh, you mean Chika-chan?\Chika-chan?\Yeah, uh, she goes to Yasaka-\I've never heard you call a girl by her first name.\And she was hanging off of you in public, too. response:	I bet Chika-chan's smart if she's going to Yasaka...
context: -Uhh... -Say you have no idea. Say that Souta had the wrong guy.\Say it was just his imagination. Say it's not like that, please!\Oh, you mean Chika-chan?\Chika-chan?\Yeah, uh, she goes to Yasaka-\I've never heard you call a girl by her first name.\And she was hanging off of you in public, too.\I bet Chika-chan's smart if she's going to Yasaka... response:	Hori-san? You've got it all wrong! Chika-chan and I aren't like that!
context: Say it was just his imagination. Say it's not like that, please!\Oh, you mean Chika-chan?\Chika-chan?\Yeah, uh, she goes to Yasaka-\I've never heard you call a girl by her first name.\And she was hanging off of you in public, too.\I bet Chika-chan's smart if she's going to Yasaka...\Hori-san? You've got it all wrong! Chika-chan and I aren't like that! response:	It's Shindo! Chika-chan is Shindo's girlfriend!
context: Oh, you mean Chika-chan?\Chika-chan?\Yeah, uh, she goes to Yasaka-\I've never heard you call a girl by her first name.\And she was hanging off of you in public, too.\I bet Chika-chan's smart if she's going to Yasaka...\Hori-san? You've got it all wrong! Chika-chan and I aren't like that!\It's Shindo! Chika-chan is Shindo's girlfriend! response:	Chika-chan slipped and twisted her ankle,
context: Chika-chan?\Yeah, uh, she goes to Yasaka-\I've never heard you call a girl by her first name.\And she was hanging off of you in public, too.\I bet Chika-chan's smart if she's going to Yasaka...\Hori-san? You've got it all wrong! Chika-chan and I aren't like that!\It's Shindo! Chika-chan is Shindo's girlfriend!\Chika-chan slipped and twisted her ankle, response:	and then, so did Shindo, so I lent her an arm to lean on.
context: Yeah, uh, she goes to Yasaka-\I've never heard you call a girl by her first name.\And she was hanging off of you in public, too.\I bet Chika-chan's smart if she's going to Yasaka...\Hori-san? You've got it all wrong! Chika-chan and I aren't like that!\It's Shindo! Chika-chan is Shindo's girlfriend!\Chika-chan slipped and twisted her ankle,\and then, so did Shindo, so I lent her an arm to lean on. response:	So it's not like Chika-chan is-
context: I've never heard you call a girl by her first name.\And she was hanging off of you in public, too.\I bet Chika-chan's smart if she's going to Yasaka...\Hori-san? You've got it all wrong! Chika-chan and I aren't like that!\It's Shindo! Chika-chan is Shindo's girlfriend!\Chika-chan slipped and twisted her ankle,\and then, so did Shindo, so I lent her an arm to lean on.\So it's not like Chika-chan is- response:	Japanese History
context: And she was hanging off of you in public, too.\I bet Chika-chan's smart if she's going to Yasaka...\Hori-san? You've got it all wrong! Chika-chan and I aren't like that!\It's Shindo! Chika-chan is Shindo's girlfriend!\Chika-chan slipped and twisted her ankle,\and then, so did Shindo, so I lent her an arm to lean on.\So it's not like Chika-chan is-\Japanese History response:	Chika-chan this, Chika-chan that, Chika-chan everything! What the hell?!
context: I bet Chika-chan's smart if she's going to Yasaka...\Hori-san? You've got it all wrong! Chika-chan and I aren't like that!\It's Shindo! Chika-chan is Shindo's girlfriend!\Chika-chan slipped and twisted her ankle,\and then, so did Shindo, so I lent her an arm to lean on.\So it's not like Chika-chan is-\Japanese History\Chika-chan this, Chika-chan that, Chika-chan everything! What the hell?! response:	Hori-san, please listen, Chika...
context: Hori-san? You've got it all wrong! Chika-chan and I aren't like that!\It's Shindo! Chika-chan is Shindo's girlfriend!\Chika-chan slipped and twisted her ankle,\and then, so did Shindo, so I lent her an arm to lean on.\So it's not like Chika-chan is-\Japanese History\Chika-chan this, Chika-chan that, Chika-chan everything! What the hell?!\Hori-san, please listen, Chika... response:	Chika, Chika, Chika! Shut up about Chika already!
context: It's Shindo! Chika-chan is Shindo's girlfriend!\Chika-chan slipped and twisted her ankle,\and then, so did Shindo, so I lent her an arm to lean on.\So it's not like Chika-chan is-\Japanese History\Chika-chan this, Chika-chan that, Chika-chan everything! What the hell?!\Hori-san, please listen, Chika...\Chika, Chika, Chika! Shut up about Chika already! response:	But I don't know her last name...
context: Chika-chan slipped and twisted her ankle,\and then, so did Shindo, so I lent her an arm to lean on.\So it's not like Chika-chan is-\Japanese History\Chika-chan this, Chika-chan that, Chika-chan everything! What the hell?!\Hori-san, please listen, Chika...\Chika, Chika, Chika! Shut up about Chika already!\But I don't know her last name... response:	Kyoko Hori
context: and then, so did Shindo, so I lent her an arm to lean on.\So it's not like Chika-chan is-\Japanese History\Chika-chan this, Chika-chan that, Chika-chan everything! What the hell?!\Hori-san, please listen, Chika...\Chika, Chika, Chika! Shut up about Chika already!\But I don't know her last name...\Kyoko Hori response:	Kyoko Hori
context: So it's not like Chika-chan is-\Japanese History\Chika-chan this, Chika-chan that, Chika-chan everything! What the hell?!\Hori-san, please listen, Chika...\Chika, Chika, Chika! Shut up about Chika already!\But I don't know her last name...\Kyoko Hori\Kyoko Hori response:	Wait, she's not mad about me walking with her...
