context: What the hell's going on? response:	Is this the Witch Cult's doing?
context: The glow of my little buds.\I will teach everyone how to break out of the bewitching spell.\In... Nes.\Hi-ho! Hi-ho! No one's here! Where am I?!\I've strayed away... No, we've been pulled apart!\Is his affinity too great?\This is bad! If I don't do something...\I'm sorry. Take a deep breath and endure it. response:	No, this is awful! No matter how much forest I destroy, nothin' changes!
context: I will teach everyone how to break out of the bewitching spell.\In... Nes.\Hi-ho! Hi-ho! No one's here! Where am I?!\I've strayed away... No, we've been pulled apart!\Is his affinity too great?\This is bad! If I don't do something...\I'm sorry. Take a deep breath and endure it.\No, this is awful! No matter how much forest I destroy, nothin' changes! response:	I cannot spare the energy to fine-tune it just for you.
context: In... Nes.\Hi-ho! Hi-ho! No one's here! Where am I?!\I've strayed away... No, we've been pulled apart!\Is his affinity too great?\This is bad! If I don't do something...\I'm sorry. Take a deep breath and endure it.\No, this is awful! No matter how much forest I destroy, nothin' changes!\I cannot spare the energy to fine-tune it just for you. response:	For this to happen at a time like this... Crusch-sama!
context: Hi-ho! Hi-ho! No one's here! Where am I?!\I've strayed away... No, we've been pulled apart!\Is his affinity too great?\This is bad! If I don't do something...\I'm sorry. Take a deep breath and endure it.\No, this is awful! No matter how much forest I destroy, nothin' changes!\I cannot spare the energy to fine-tune it just for you.\For this to happen at a time like this... Crusch-sama! response:	Bringing everyone back is our priority.
context: I've strayed away... No, we've been pulled apart!\Is his affinity too great?\This is bad! If I don't do something...\I'm sorry. Take a deep breath and endure it.\No, this is awful! No matter how much forest I destroy, nothin' changes!\I cannot spare the energy to fine-tune it just for you.\For this to happen at a time like this... Crusch-sama!\Bringing everyone back is our priority. response:	That will be quite enough.
context: Is his affinity too great?\This is bad! If I don't do something...\I'm sorry. Take a deep breath and endure it.\No, this is awful! No matter how much forest I destroy, nothin' changes!\I cannot spare the energy to fine-tune it just for you.\For this to happen at a time like this... Crusch-sama!\Bringing everyone back is our priority.\That will be quite enough. response:	Kill me.
context: This is bad! If I don't do something...\I'm sorry. Take a deep breath and endure it.\No, this is awful! No matter how much forest I destroy, nothin' changes!\I cannot spare the energy to fine-tune it just for you.\For this to happen at a time like this... Crusch-sama!\Bringing everyone back is our priority.\That will be quite enough.\Kill me. response:	I won't accept this disgrace.
context: I'm sorry. Take a deep breath and endure it.\No, this is awful! No matter how much forest I destroy, nothin' changes!\I cannot spare the energy to fine-tune it just for you.\For this to happen at a time like this... Crusch-sama!\Bringing everyone back is our priority.\That will be quite enough.\Kill me.\I won't accept this disgrace. response:	And? What is the meaning of all this?
context: No, this is awful! No matter how much forest I destroy, nothin' changes!\I cannot spare the energy to fine-tune it just for you.\For this to happen at a time like this... Crusch-sama!\Bringing everyone back is our priority.\That will be quite enough.\Kill me.\I won't accept this disgrace.\And? What is the meaning of all this? response:	Barusu, you'll explain it to me, right?
context: I cannot spare the energy to fine-tune it just for you.\For this to happen at a time like this... Crusch-sama!\Bringing everyone back is our priority.\That will be quite enough.\Kill me.\I won't accept this disgrace.\And? What is the meaning of all this?\Barusu, you'll explain it to me, right? response:	That's what I'd like to ask you.
context: For this to happen at a time like this... Crusch-sama!\Bringing everyone back is our priority.\That will be quite enough.\Kill me.\I won't accept this disgrace.\And? What is the meaning of all this?\Barusu, you'll explain it to me, right?\That's what I'd like to ask you. response:	You're the one who attacked us first.
context: Bringing everyone back is our priority.\That will be quite enough.\Kill me.\I won't accept this disgrace.\And? What is the meaning of all this?\Barusu, you'll explain it to me, right?\That's what I'd like to ask you.\You're the one who attacked us first. response:	What were you thinking?
context: That will be quite enough.\Kill me.\I won't accept this disgrace.\And? What is the meaning of all this?\Barusu, you'll explain it to me, right?\That's what I'd like to ask you.\You're the one who attacked us first.\What were you thinking? response:	You shouldn't have to ask what I was thinking.
context: Kill me.\I won't accept this disgrace.\And? What is the meaning of all this?\Barusu, you'll explain it to me, right?\That's what I'd like to ask you.\You're the one who attacked us first.\What were you thinking?\You shouldn't have to ask what I was thinking. response:	It's rich, coming from an ingrate like you.
context: I won't accept this disgrace.\And? What is the meaning of all this?\Barusu, you'll explain it to me, right?\That's what I'd like to ask you.\You're the one who attacked us first.\What were you thinking?\You shouldn't have to ask what I was thinking.\It's rich, coming from an ingrate like you. response:	Ingrate?
context: And? What is the meaning of all this?\Barusu, you'll explain it to me, right?\That's what I'd like to ask you.\You're the one who attacked us first.\What were you thinking?\You shouldn't have to ask what I was thinking.\It's rich, coming from an ingrate like you.\Ingrate? response:	You are, aren't you?
context: Barusu, you'll explain it to me, right?\That's what I'd like to ask you.\You're the one who attacked us first.\What were you thinking?\You shouldn't have to ask what I was thinking.\It's rich, coming from an ingrate like you.\Ingrate?\You are, aren't you? response:	After everything Roswaal-sama did for you...
context: That's what I'd like to ask you.\You're the one who attacked us first.\What were you thinking?\You shouldn't have to ask what I was thinking.\It's rich, coming from an ingrate like you.\Ingrate?\You are, aren't you?\After everything Roswaal-sama did for you... response:	Once you're done with him, you'd rush to wag your tail for another master.
context: You're the one who attacked us first.\What were you thinking?\You shouldn't have to ask what I was thinking.\It's rich, coming from an ingrate like you.\Ingrate?\You are, aren't you?\After everything Roswaal-sama did for you...\Once you're done with him, you'd rush to wag your tail for another master. response:	Hang on! I think you're mixing up your stories!
context: What were you thinking?\You shouldn't have to ask what I was thinking.\It's rich, coming from an ingrate like you.\Ingrate?\You are, aren't you?\After everything Roswaal-sama did for you...\Once you're done with him, you'd rush to wag your tail for another master.\Hang on! I think you're mixing up your stories! response:	So this is what it means to bite the hand that feeds you.
context: You shouldn't have to ask what I was thinking.\It's rich, coming from an ingrate like you.\Ingrate?\You are, aren't you?\After everything Roswaal-sama did for you...\Once you're done with him, you'd rush to wag your tail for another master.\Hang on! I think you're mixing up your stories!\So this is what it means to bite the hand that feeds you. response:	Listen to me... The handwritten letter!
context: It's rich, coming from an ingrate like you.\Ingrate?\You are, aren't you?\After everything Roswaal-sama did for you...\Once you're done with him, you'd rush to wag your tail for another master.\Hang on! I think you're mixing up your stories!\So this is what it means to bite the hand that feeds you.\Listen to me... The handwritten letter! response:	I wrote you a letter about this!
context: Ingrate?\You are, aren't you?\After everything Roswaal-sama did for you...\Once you're done with him, you'd rush to wag your tail for another master.\Hang on! I think you're mixing up your stories!\So this is what it means to bite the hand that feeds you.\Listen to me... The handwritten letter!\I wrote you a letter about this! response:	Wasn't it delivered to the mansion?
context: You are, aren't you?\After everything Roswaal-sama did for you...\Once you're done with him, you'd rush to wag your tail for another master.\Hang on! I think you're mixing up your stories!\So this is what it means to bite the hand that feeds you.\Listen to me... The handwritten letter!\I wrote you a letter about this!\Wasn't it delivered to the mansion? response:	Yes, I did get a letter from the capital,
context: After everything Roswaal-sama did for you...\Once you're done with him, you'd rush to wag your tail for another master.\Hang on! I think you're mixing up your stories!\So this is what it means to bite the hand that feeds you.\Listen to me... The handwritten letter!\I wrote you a letter about this!\Wasn't it delivered to the mansion?\Yes, I did get a letter from the capital, response:	but...
context: Once you're done with him, you'd rush to wag your tail for another master.\Hang on! I think you're mixing up your stories!\So this is what it means to bite the hand that feeds you.\Listen to me... The handwritten letter!\I wrote you a letter about this!\Wasn't it delivered to the mansion?\Yes, I did get a letter from the capital,\but... response:	It was quite amusing, sending me a blank letter.
context: Hang on! I think you're mixing up your stories!\So this is what it means to bite the hand that feeds you.\Listen to me... The handwritten letter!\I wrote you a letter about this!\Wasn't it delivered to the mansion?\Yes, I did get a letter from the capital,\but...\It was quite amusing, sending me a blank letter. response:	A blank letter?
context: So this is what it means to bite the hand that feeds you.\Listen to me... The handwritten letter!\I wrote you a letter about this!\Wasn't it delivered to the mansion?\Yes, I did get a letter from the capital,\but...\It was quite amusing, sending me a blank letter.\A blank letter? response:	To send a blank letter
context: Listen to me... The handwritten letter!\I wrote you a letter about this!\Wasn't it delivered to the mansion?\Yes, I did get a letter from the capital,\but...\It was quite amusing, sending me a blank letter.\A blank letter?\To send a blank letter response:	is a metaphor that means you have
context: I wrote you a letter about this!\Wasn't it delivered to the mansion?\Yes, I did get a letter from the capital,\but...\It was quite amusing, sending me a blank letter.\A blank letter?\To send a blank letter\is a metaphor that means you have response:	no intention of speaking to the recipient.
context: Wasn't it delivered to the mansion?\Yes, I did get a letter from the capital,\but...\It was quite amusing, sending me a blank letter.\A blank letter?\To send a blank letter\is a metaphor that means you have\no intention of speaking to the recipient. response:	It could easily be interpreted as a declaration of war.
context: Yes, I did get a letter from the capital,\but...\It was quite amusing, sending me a blank letter.\A blank letter?\To send a blank letter\is a metaphor that means you have\no intention of speaking to the recipient.\It could easily be interpreted as a declaration of war. response:	This is a huge misunderstanding!
context: but...\It was quite amusing, sending me a blank letter.\A blank letter?\To send a blank letter\is a metaphor that means you have\no intention of speaking to the recipient.\It could easily be interpreted as a declaration of war.\This is a huge misunderstanding! response:	Do I even look that clever to you?
context: It was quite amusing, sending me a blank letter.\A blank letter?\To send a blank letter\is a metaphor that means you have\no intention of speaking to the recipient.\It could easily be interpreted as a declaration of war.\This is a huge misunderstanding!\Do I even look that clever to you? response:	So this is what it means to bite the hand that feeds you.
context: A blank letter?\To send a blank letter\is a metaphor that means you have\no intention of speaking to the recipient.\It could easily be interpreted as a declaration of war.\This is a huge misunderstanding!\Do I even look that clever to you?\So this is what it means to bite the hand that feeds you. response:	You're still saying that?
context: To send a blank letter\is a metaphor that means you have\no intention of speaking to the recipient.\It could easily be interpreted as a declaration of war.\This is a huge misunderstanding!\Do I even look that clever to you?\So this is what it means to bite the hand that feeds you.\You're still saying that? response:	I can't say it enough.
context: is a metaphor that means you have\no intention of speaking to the recipient.\It could easily be interpreted as a declaration of war.\This is a huge misunderstanding!\Do I even look that clever to you?\So this is what it means to bite the hand that feeds you.\You're still saying that?\I can't say it enough. response:	But I get the gist now.
context: no intention of speaking to the recipient.\It could easily be interpreted as a declaration of war.\This is a huge misunderstanding!\Do I even look that clever to you?\So this is what it means to bite the hand that feeds you.\You're still saying that?\I can't say it enough.\But I get the gist now. response:	The blank letter was some kind of mistake,
context: It could easily be interpreted as a declaration of war.\This is a huge misunderstanding!\Do I even look that clever to you?\So this is what it means to bite the hand that feeds you.\You're still saying that?\I can't say it enough.\But I get the gist now.\The blank letter was some kind of mistake, response:	and you are still Emilia-sama's dog.
context: This is a huge misunderstanding!\Do I even look that clever to you?\So this is what it means to bite the hand that feeds you.\You're still saying that?\I can't say it enough.\But I get the gist now.\The blank letter was some kind of mistake,\and you are still Emilia-sama's dog. response:	Correct?
context: Do I even look that clever to you?\So this is what it means to bite the hand that feeds you.\You're still saying that?\I can't say it enough.\But I get the gist now.\The blank letter was some kind of mistake,\and you are still Emilia-sama's dog.\Correct? response:	Not really, but...
context: So this is what it means to bite the hand that feeds you.\You're still saying that?\I can't say it enough.\But I get the gist now.\The blank letter was some kind of mistake,\and you are still Emilia-sama's dog.\Correct?\Not really, but... response:	Okay, sure. Dogs are like family, anyway.
context: You're still saying that?\I can't say it enough.\But I get the gist now.\The blank letter was some kind of mistake,\and you are still Emilia-sama's dog.\Correct?\Not really, but...\Okay, sure. Dogs are like family, anyway. response:	I'm fine as a dog if I belong to Emilia.
context: I can't say it enough.\But I get the gist now.\The blank letter was some kind of mistake,\and you are still Emilia-sama's dog.\Correct?\Not really, but...\Okay, sure. Dogs are like family, anyway.\I'm fine as a dog if I belong to Emilia. response:	Would you not say that standard is a bit low?
context: But I get the gist now.\The blank letter was some kind of mistake,\and you are still Emilia-sama's dog.\Correct?\Not really, but...\Okay, sure. Dogs are like family, anyway.\I'm fine as a dog if I belong to Emilia.\Would you not say that standard is a bit low? response:	In any case, these guys are reinforcements.
context: The blank letter was some kind of mistake,\and you are still Emilia-sama's dog.\Correct?\Not really, but...\Okay, sure. Dogs are like family, anyway.\I'm fine as a dog if I belong to Emilia.\Would you not say that standard is a bit low?\In any case, these guys are reinforcements. response:	They're friends.
context: and you are still Emilia-sama's dog.\Correct?\Not really, but...\Okay, sure. Dogs are like family, anyway.\I'm fine as a dog if I belong to Emilia.\Would you not say that standard is a bit low?\In any case, these guys are reinforcements.\They're friends. response:	We pulled them together to wipe out the Witch's Cult.
context: Correct?\Not really, but...\Okay, sure. Dogs are like family, anyway.\I'm fine as a dog if I belong to Emilia.\Would you not say that standard is a bit low?\In any case, these guys are reinforcements.\They're friends.\We pulled them together to wipe out the Witch's Cult. response:	There's no time.
context: Not really, but...\Okay, sure. Dogs are like family, anyway.\I'm fine as a dog if I belong to Emilia.\Would you not say that standard is a bit low?\In any case, these guys are reinforcements.\They're friends.\We pulled them together to wipe out the Witch's Cult.\There's no time. response:	We need to start by evacuating the villagers.
context: Okay, sure. Dogs are like family, anyway.\I'm fine as a dog if I belong to Emilia.\Would you not say that standard is a bit low?\In any case, these guys are reinforcements.\They're friends.\We pulled them together to wipe out the Witch's Cult.\There's no time.\We need to start by evacuating the villagers. response:	Subaru, they seem rather uneasy.
context: I'm fine as a dog if I belong to Emilia.\Would you not say that standard is a bit low?\In any case, these guys are reinforcements.\They're friends.\We pulled them together to wipe out the Witch's Cult.\There's no time.\We need to start by evacuating the villagers.\Subaru, they seem rather uneasy. response:	Remember to be considerate.
context: Would you not say that standard is a bit low?\In any case, these guys are reinforcements.\They're friends.\We pulled them together to wipe out the Witch's Cult.\There's no time.\We need to start by evacuating the villagers.\Subaru, they seem rather uneasy.\Remember to be considerate. response:	Okay, attention!
context: In any case, these guys are reinforcements.\They're friends.\We pulled them together to wipe out the Witch's Cult.\There's no time.\We need to start by evacuating the villagers.\Subaru, they seem rather uneasy.\Remember to be considerate.\Okay, attention! response:	I haven't seen you guys in a while.
context: They're friends.\We pulled them together to wipe out the Witch's Cult.\There's no time.\We need to start by evacuating the villagers.\Subaru, they seem rather uneasy.\Remember to be considerate.\Okay, attention!\I haven't seen you guys in a while. response:	How have you been?
context: We pulled them together to wipe out the Witch's Cult.\There's no time.\We need to start by evacuating the villagers.\Subaru, they seem rather uneasy.\Remember to be considerate.\Okay, attention!\I haven't seen you guys in a while.\How have you been? response:	Look, I know this is sudden,
context: There's no time.\We need to start by evacuating the villagers.\Subaru, they seem rather uneasy.\Remember to be considerate.\Okay, attention!\I haven't seen you guys in a while.\How have you been?\Look, I know this is sudden, response:	but I need to ask you all a favor!
context: We need to start by evacuating the villagers.\Subaru, they seem rather uneasy.\Remember to be considerate.\Okay, attention!\I haven't seen you guys in a while.\How have you been?\Look, I know this is sudden,\but I need to ask you all a favor! response:	It seems mabeasts are up to no good in the nearby forest again.
context: Subaru, they seem rather uneasy.\Remember to be considerate.\Okay, attention!\I haven't seen you guys in a while.\How have you been?\Look, I know this is sudden,\but I need to ask you all a favor!\It seems mabeasts are up to no good in the nearby forest again. response:	So I've brought some specialists to exterminate them...
context: Remember to be considerate.\Okay, attention!\I haven't seen you guys in a while.\How have you been?\Look, I know this is sudden,\but I need to ask you all a favor!\It seems mabeasts are up to no good in the nearby forest again.\So I've brought some specialists to exterminate them... response:	But while they're working,
context: Okay, attention!\I haven't seen you guys in a while.\How have you been?\Look, I know this is sudden,\but I need to ask you all a favor!\It seems mabeasts are up to no good in the nearby forest again.\So I've brought some specialists to exterminate them...\But while they're working, response:	I'd like you all to leave the village.
context: I haven't seen you guys in a while.\How have you been?\Look, I know this is sudden,\but I need to ask you all a favor!\It seems mabeasts are up to no good in the nearby forest again.\So I've brought some specialists to exterminate them...\But while they're working,\I'd like you all to leave the village. response:	Don't try to fool us!
context: How have you been?\Look, I know this is sudden,\but I need to ask you all a favor!\It seems mabeasts are up to no good in the nearby forest again.\So I've brought some specialists to exterminate them...\But while they're working,\I'd like you all to leave the village.\Don't try to fool us! response:	You're trying to sound cheerful about this, but the villagers are frightened!
context: Look, I know this is sudden,\but I need to ask you all a favor!\It seems mabeasts are up to no good in the nearby forest again.\So I've brought some specialists to exterminate them...\But while they're working,\I'd like you all to leave the village.\Don't try to fool us!\You're trying to sound cheerful about this, but the villagers are frightened! response:	All along, we've been afraid the Witch's Cult would try something!
context: but I need to ask you all a favor!\It seems mabeasts are up to no good in the nearby forest again.\So I've brought some specialists to exterminate them...\But while they're working,\I'd like you all to leave the village.\Don't try to fool us!\You're trying to sound cheerful about this, but the villagers are frightened!\All along, we've been afraid the Witch's Cult would try something! response:	The Witch's Cult? No one told me about that.
context: It seems mabeasts are up to no good in the nearby forest again.\So I've brought some specialists to exterminate them...\But while they're working,\I'd like you all to leave the village.\Don't try to fool us!\You're trying to sound cheerful about this, but the villagers are frightened!\All along, we've been afraid the Witch's Cult would try something!\The Witch's Cult? No one told me about that. response:	Hey, wait...
context: So I've brought some specialists to exterminate them...\But while they're working,\I'd like you all to leave the village.\Don't try to fool us!\You're trying to sound cheerful about this, but the villagers are frightened!\All along, we've been afraid the Witch's Cult would try something!\The Witch's Cult? No one told me about that.\Hey, wait... response:	Seriously?
context: But while they're working,\I'd like you all to leave the village.\Don't try to fool us!\You're trying to sound cheerful about this, but the villagers are frightened!\All along, we've been afraid the Witch's Cult would try something!\The Witch's Cult? No one told me about that.\Hey, wait...\Seriously? response:	Why lie about that?
context: I'd like you all to leave the village.\Don't try to fool us!\You're trying to sound cheerful about this, but the villagers are frightened!\All along, we've been afraid the Witch's Cult would try something!\The Witch's Cult? No one told me about that.\Hey, wait...\Seriously?\Why lie about that? response:	Maybe he's trying to hide something.
context: Don't try to fool us!\You're trying to sound cheerful about this, but the villagers are frightened!\All along, we've been afraid the Witch's Cult would try something!\The Witch's Cult? No one told me about that.\Hey, wait...\Seriously?\Why lie about that?\Maybe he's trying to hide something. response:	You don't deny it, then?
context: You're trying to sound cheerful about this, but the villagers are frightened!\All along, we've been afraid the Witch's Cult would try something!\The Witch's Cult? No one told me about that.\Hey, wait...\Seriously?\Why lie about that?\Maybe he's trying to hide something.\You don't deny it, then? response:	Then, it was true!
context: All along, we've been afraid the Witch's Cult would try something!\The Witch's Cult? No one told me about that.\Hey, wait...\Seriously?\Why lie about that?\Maybe he's trying to hide something.\You don't deny it, then?\Then, it was true! response:	Why would they bother a remote village like this?
context: The Witch's Cult? No one told me about that.\Hey, wait...\Seriously?\Why lie about that?\Maybe he's trying to hide something.\You don't deny it, then?\Then, it was true!\Why would they bother a remote village like this? response:	Why else? Because of that half-elf!
context: Hey, wait...\Seriously?\Why lie about that?\Maybe he's trying to hide something.\You don't deny it, then?\Then, it was true!\Why would they bother a remote village like this?\Why else? Because of that half-elf! response:	Because this domain's lord is endorsing that half-elf for ruler!
context: Seriously?\Why lie about that?\Maybe he's trying to hide something.\You don't deny it, then?\Then, it was true!\Why would they bother a remote village like this?\Why else? Because of that half-elf!\Because this domain's lord is endorsing that half-elf for ruler! response:	Why do you have to make it about that?
context: Why lie about that?\Maybe he's trying to hide something.\You don't deny it, then?\Then, it was true!\Why would they bother a remote village like this?\Why else? Because of that half-elf!\Because this domain's lord is endorsing that half-elf for ruler!\Why do you have to make it about that? response:	The half-elf thing...
context: Maybe he's trying to hide something.\You don't deny it, then?\Then, it was true!\Why would they bother a remote village like this?\Why else? Because of that half-elf!\Because this domain's lord is endorsing that half-elf for ruler!\Why do you have to make it about that?\The half-elf thing... response:	Emilia has nothing to do with it!
context: You don't deny it, then?\Then, it was true!\Why would they bother a remote village like this?\Why else? Because of that half-elf!\Because this domain's lord is endorsing that half-elf for ruler!\Why do you have to make it about that?\The half-elf thing...\Emilia has nothing to do with it! response:	She has everything to do with it!
context: Then, it was true!\Why would they bother a remote village like this?\Why else? Because of that half-elf!\Because this domain's lord is endorsing that half-elf for ruler!\Why do you have to make it about that?\The half-elf thing...\Emilia has nothing to do with it!\She has everything to do with it! response:	If you mess with a half-elf, the Witch's Cult shows up.
context: Why would they bother a remote village like this?\Why else? Because of that half-elf!\Because this domain's lord is endorsing that half-elf for ruler!\Why do you have to make it about that?\The half-elf thing...\Emilia has nothing to do with it!\She has everything to do with it!\If you mess with a half-elf, the Witch's Cult shows up. response:	Even the village children know that!
context: Why else? Because of that half-elf!\Because this domain's lord is endorsing that half-elf for ruler!\Why do you have to make it about that?\The half-elf thing...\Emilia has nothing to do with it!\She has everything to do with it!\If you mess with a half-elf, the Witch's Cult shows up.\Even the village children know that! response:	You guys seriously believe that?
context: Because this domain's lord is endorsing that half-elf for ruler!\Why do you have to make it about that?\The half-elf thing...\Emilia has nothing to do with it!\She has everything to do with it!\If you mess with a half-elf, the Witch's Cult shows up.\Even the village children know that!\You guys seriously believe that? response:	That it's the fault of the half-elf in the mansion?!
context: Why do you have to make it about that?\The half-elf thing...\Emilia has nothing to do with it!\She has everything to do with it!\If you mess with a half-elf, the Witch's Cult shows up.\Even the village children know that!\You guys seriously believe that?\That it's the fault of the half-elf in the mansion?! response:	The village, huh?
context: The half-elf thing...\Emilia has nothing to do with it!\She has everything to do with it!\If you mess with a half-elf, the Witch's Cult shows up.\Even the village children know that!\You guys seriously believe that?\That it's the fault of the half-elf in the mansion?!\The village, huh? response:	But it might cause trouble for you.
context: Emilia has nothing to do with it!\She has everything to do with it!\If you mess with a half-elf, the Witch's Cult shows up.\Even the village children know that!\You guys seriously believe that?\That it's the fault of the half-elf in the mansion?!\The village, huh?\But it might cause trouble for you. response:	Does that mean I'm just being selfish again?
context: She has everything to do with it!\If you mess with a half-elf, the Witch's Cult shows up.\Even the village children know that!\You guys seriously believe that?\That it's the fault of the half-elf in the mansion?!\The village, huh?\But it might cause trouble for you.\Does that mean I'm just being selfish again? response:	Lift your head. Don't look down.
