context: So, Taihei... can I come by your place for dinner tonight? response:	Sure. Not a problem.
context: I don't watch anime at all. Isn't that just for kids?\What are you talking about? Anime is a part of Japanese culture!\This HAS to be Sylphyn's brother!\Indeed!\I think... therefore I am!\You know what I think? This was a quality show, and I'm sad to see it end!\Huh?! I've been a fan of the show too!\Oh, really? response:	I've got the merch and the Blu-rays and everything!
context: What are you talking about? Anime is a part of Japanese culture!\This HAS to be Sylphyn's brother!\Indeed!\I think... therefore I am!\You know what I think? This was a quality show, and I'm sad to see it end!\Huh?! I've been a fan of the show too!\Oh, really?\I've got the merch and the Blu-rays and everything! response:	M-me too!
context: This HAS to be Sylphyn's brother!\Indeed!\I think... therefore I am!\You know what I think? This was a quality show, and I'm sad to see it end!\Huh?! I've been a fan of the show too!\Oh, really?\I've got the merch and the Blu-rays and everything!\M-me too! response:	Whoaaa!
context: Indeed!\I think... therefore I am!\You know what I think? This was a quality show, and I'm sad to see it end!\Huh?! I've been a fan of the show too!\Oh, really?\I've got the merch and the Blu-rays and everything!\M-me too!\Whoaaa! response:	Only, yappari Japan ga suki desu wa Only, sure enough, I love Japan
context: I think... therefore I am!\You know what I think? This was a quality show, and I'm sad to see it end!\Huh?! I've been a fan of the show too!\Oh, really?\I've got the merch and the Blu-rays and everything!\M-me too!\Whoaaa!\Only, yappari Japan ga suki desu wa Only, sure enough, I love Japan response:	Yay! Ichiban ga ichiban oniai no Only the best for the best!
context: You know what I think? This was a quality show, and I'm sad to see it end!\Huh?! I've been a fan of the show too!\Oh, really?\I've got the merch and the Blu-rays and everything!\M-me too!\Whoaaa!\Only, yappari Japan ga suki desu wa Only, sure enough, I love Japan\Yay! Ichiban ga ichiban oniai no Only the best for the best! response:	Ichiban ga ichiban oniai no Only the best for the best!
context: Huh?! I've been a fan of the show too!\Oh, really?\I've got the merch and the Blu-rays and everything!\M-me too!\Whoaaa!\Only, yappari Japan ga suki desu wa Only, sure enough, I love Japan\Yay! Ichiban ga ichiban oniai no Only the best for the best!\Ichiban ga ichiban oniai no Only the best for the best! response:	Pow, pow! Kisoiai futari, yuujou wa Our friendship, the two of us competing
context: Oh, really?\I've got the merch and the Blu-rays and everything!\M-me too!\Whoaaa!\Only, yappari Japan ga suki desu wa Only, sure enough, I love Japan\Yay! Ichiban ga ichiban oniai no Only the best for the best!\Ichiban ga ichiban oniai no Only the best for the best!\Pow, pow! Kisoiai futari, yuujou wa Our friendship, the two of us competing response:	Kisoiai futari, yuujou wa Our friendship, the two of us competing
context: I've got the merch and the Blu-rays and everything!\M-me too!\Whoaaa!\Only, yappari Japan ga suki desu wa Only, sure enough, I love Japan\Yay! Ichiban ga ichiban oniai no Only the best for the best!\Ichiban ga ichiban oniai no Only the best for the best!\Pow, pow! Kisoiai futari, yuujou wa Our friendship, the two of us competing\Kisoiai futari, yuujou wa Our friendship, the two of us competing response:	Yay! Utsukushii mono desu wa Is a beautiful thing
context: M-me too!\Whoaaa!\Only, yappari Japan ga suki desu wa Only, sure enough, I love Japan\Yay! Ichiban ga ichiban oniai no Only the best for the best!\Ichiban ga ichiban oniai no Only the best for the best!\Pow, pow! Kisoiai futari, yuujou wa Our friendship, the two of us competing\Kisoiai futari, yuujou wa Our friendship, the two of us competing\Yay! Utsukushii mono desu wa Is a beautiful thing response:	Utsukushii mono desu wa Is a beautiful thing
context: Whoaaa!\Only, yappari Japan ga suki desu wa Only, sure enough, I love Japan\Yay! Ichiban ga ichiban oniai no Only the best for the best!\Ichiban ga ichiban oniai no Only the best for the best!\Pow, pow! Kisoiai futari, yuujou wa Our friendship, the two of us competing\Kisoiai futari, yuujou wa Our friendship, the two of us competing\Yay! Utsukushii mono desu wa Is a beautiful thing\Utsukushii mono desu wa Is a beautiful thing response:	Yurinchi!
context: Only, yappari Japan ga suki desu wa Only, sure enough, I love Japan\Yay! Ichiban ga ichiban oniai no Only the best for the best!\Ichiban ga ichiban oniai no Only the best for the best!\Pow, pow! Kisoiai futari, yuujou wa Our friendship, the two of us competing\Kisoiai futari, yuujou wa Our friendship, the two of us competing\Yay! Utsukushii mono desu wa Is a beautiful thing\Utsukushii mono desu wa Is a beautiful thing\Yurinchi! response:	Looks like they've suddenly become friends...
context: Yay! Ichiban ga ichiban oniai no Only the best for the best!\Ichiban ga ichiban oniai no Only the best for the best!\Pow, pow! Kisoiai futari, yuujou wa Our friendship, the two of us competing\Kisoiai futari, yuujou wa Our friendship, the two of us competing\Yay! Utsukushii mono desu wa Is a beautiful thing\Utsukushii mono desu wa Is a beautiful thing\Yurinchi!\Looks like they've suddenly become friends... response:	Yay!
context: Ichiban ga ichiban oniai no Only the best for the best!\Pow, pow! Kisoiai futari, yuujou wa Our friendship, the two of us competing\Kisoiai futari, yuujou wa Our friendship, the two of us competing\Yay! Utsukushii mono desu wa Is a beautiful thing\Utsukushii mono desu wa Is a beautiful thing\Yurinchi!\Looks like they've suddenly become friends...\Yay! response:	I guess that's...
context: Pow, pow! Kisoiai futari, yuujou wa Our friendship, the two of us competing\Kisoiai futari, yuujou wa Our friendship, the two of us competing\Yay! Utsukushii mono desu wa Is a beautiful thing\Utsukushii mono desu wa Is a beautiful thing\Yurinchi!\Looks like they've suddenly become friends...\Yay!\I guess that's... response:	Pow, pow!
context: Kisoiai futari, yuujou wa Our friendship, the two of us competing\Yay! Utsukushii mono desu wa Is a beautiful thing\Utsukushii mono desu wa Is a beautiful thing\Yurinchi!\Looks like they've suddenly become friends...\Yay!\I guess that's...\Pow, pow! response:	If you'll excuse me, I should get going.
context: Yay! Utsukushii mono desu wa Is a beautiful thing\Utsukushii mono desu wa Is a beautiful thing\Yurinchi!\Looks like they've suddenly become friends...\Yay!\I guess that's...\Pow, pow!\If you'll excuse me, I should get going. response:	Umaru, you certainly know a lot about anime.
context: Utsukushii mono desu wa Is a beautiful thing\Yurinchi!\Looks like they've suddenly become friends...\Yay!\I guess that's...\Pow, pow!\If you'll excuse me, I should get going.\Umaru, you certainly know a lot about anime. response:	You're no slacker yourself, Alex.
context: Yurinchi!\Looks like they've suddenly become friends...\Yay!\I guess that's...\Pow, pow!\If you'll excuse me, I should get going.\Umaru, you certainly know a lot about anime.\You're no slacker yourself, Alex. response:	They're already this buddy-buddy?!
context: Looks like they've suddenly become friends...\Yay!\I guess that's...\Pow, pow!\If you'll excuse me, I should get going.\Umaru, you certainly know a lot about anime.\You're no slacker yourself, Alex.\They're already this buddy-buddy?! response:	Is it all right if I come by with some of my favorite Blu-Rays sometime?
context: Yay!\I guess that's...\Pow, pow!\If you'll excuse me, I should get going.\Umaru, you certainly know a lot about anime.\You're no slacker yourself, Alex.\They're already this buddy-buddy?!\Is it all right if I come by with some of my favorite Blu-Rays sometime? response:	Well, of course!
context: I guess that's...\Pow, pow!\If you'll excuse me, I should get going.\Umaru, you certainly know a lot about anime.\You're no slacker yourself, Alex.\They're already this buddy-buddy?!\Is it all right if I come by with some of my favorite Blu-Rays sometime?\Well, of course! response:	Have a good evening.
context: Pow, pow!\If you'll excuse me, I should get going.\Umaru, you certainly know a lot about anime.\You're no slacker yourself, Alex.\They're already this buddy-buddy?!\Is it all right if I come by with some of my favorite Blu-Rays sometime?\Well, of course!\Have a good evening. response:	Thanks for that, Umaru.
context: If you'll excuse me, I should get going.\Umaru, you certainly know a lot about anime.\You're no slacker yourself, Alex.\They're already this buddy-buddy?!\Is it all right if I come by with some of my favorite Blu-Rays sometime?\Well, of course!\Have a good evening.\Thanks for that, Umaru. response:	It looked like Alex had a good time too.
context: Umaru, you certainly know a lot about anime.\You're no slacker yourself, Alex.\They're already this buddy-buddy?!\Is it all right if I come by with some of my favorite Blu-Rays sometime?\Well, of course!\Have a good evening.\Thanks for that, Umaru.\It looked like Alex had a good time too. response:	Huh? You think?
context: You're no slacker yourself, Alex.\They're already this buddy-buddy?!\Is it all right if I come by with some of my favorite Blu-Rays sometime?\Well, of course!\Have a good evening.\Thanks for that, Umaru.\It looked like Alex had a good time too.\Huh? You think? response:	Even at the office, Alex just seems sort of OFF, right?
context: They're already this buddy-buddy?!\Is it all right if I come by with some of my favorite Blu-Rays sometime?\Well, of course!\Have a good evening.\Thanks for that, Umaru.\It looked like Alex had a good time too.\Huh? You think?\Even at the office, Alex just seems sort of OFF, right? response:	Well, they did bring him on as a special hire...
context: Is it all right if I come by with some of my favorite Blu-Rays sometime?\Well, of course!\Have a good evening.\Thanks for that, Umaru.\It looked like Alex had a good time too.\Huh? You think?\Even at the office, Alex just seems sort of OFF, right?\Well, they did bring him on as a special hire... response:	Huh? Wait, why WAS he a special hire?
context: Well, of course!\Have a good evening.\Thanks for that, Umaru.\It looked like Alex had a good time too.\Huh? You think?\Even at the office, Alex just seems sort of OFF, right?\Well, they did bring him on as a special hire...\Huh? Wait, why WAS he a special hire? response:	Beats me.
context: Have a good evening.\Thanks for that, Umaru.\It looked like Alex had a good time too.\Huh? You think?\Even at the office, Alex just seems sort of OFF, right?\Well, they did bring him on as a special hire...\Huh? Wait, why WAS he a special hire?\Beats me. response:	Hello? This is Alex.
context: Thanks for that, Umaru.\It looked like Alex had a good time too.\Huh? You think?\Even at the office, Alex just seems sort of OFF, right?\Well, they did bring him on as a special hire...\Huh? Wait, why WAS he a special hire?\Beats me.\Hello? This is Alex. response:	I have made contact... with Umaru Doma.
context: It looked like Alex had a good time too.\Huh? You think?\Even at the office, Alex just seems sort of OFF, right?\Well, they did bring him on as a special hire...\Huh? Wait, why WAS he a special hire?\Beats me.\Hello? This is Alex.\I have made contact... with Umaru Doma. response:	Wait, what? Isn't your reaction sort of LACKING?
context: Huh? You think?\Even at the office, Alex just seems sort of OFF, right?\Well, they did bring him on as a special hire...\Huh? Wait, why WAS he a special hire?\Beats me.\Hello? This is Alex.\I have made contact... with Umaru Doma.\Wait, what? Isn't your reaction sort of LACKING? response:	Acting like spies should be more fun, right?!
context: Even at the office, Alex just seems sort of OFF, right?\Well, they did bring him on as a special hire...\Huh? Wait, why WAS he a special hire?\Beats me.\Hello? This is Alex.\I have made contact... with Umaru Doma.\Wait, what? Isn't your reaction sort of LACKING?\Acting like spies should be more fun, right?! response:	H-hey!
context: Well, they did bring him on as a special hire...\Huh? Wait, why WAS he a special hire?\Beats me.\Hello? This is Alex.\I have made contact... with Umaru Doma.\Wait, what? Isn't your reaction sort of LACKING?\Acting like spies should be more fun, right?!\H-hey! response:	C'mon, Umaru. If you're going to use my ear pick, you could at least give it back.
context: Huh? Wait, why WAS he a special hire?\Beats me.\Hello? This is Alex.\I have made contact... with Umaru Doma.\Wait, what? Isn't your reaction sort of LACKING?\Acting like spies should be more fun, right?!\H-hey!\C'mon, Umaru. If you're going to use my ear pick, you could at least give it back. response:	Yeah... I know...
context: Beats me.\Hello? This is Alex.\I have made contact... with Umaru Doma.\Wait, what? Isn't your reaction sort of LACKING?\Acting like spies should be more fun, right?!\H-hey!\C'mon, Umaru. If you're going to use my ear pick, you could at least give it back.\Yeah... I know... response:	I told her to give it back...
context: Hello? This is Alex.\I have made contact... with Umaru Doma.\Wait, what? Isn't your reaction sort of LACKING?\Acting like spies should be more fun, right?!\H-hey!\C'mon, Umaru. If you're going to use my ear pick, you could at least give it back.\Yeah... I know...\I told her to give it back... response:	I guess I'll just... buy one on the way home.
context: I have made contact... with Umaru Doma.\Wait, what? Isn't your reaction sort of LACKING?\Acting like spies should be more fun, right?!\H-hey!\C'mon, Umaru. If you're going to use my ear pick, you could at least give it back.\Yeah... I know...\I told her to give it back...\I guess I'll just... buy one on the way home. response:	It's gone!
context: Wait, what? Isn't your reaction sort of LACKING?\Acting like spies should be more fun, right?!\H-hey!\C'mon, Umaru. If you're going to use my ear pick, you could at least give it back.\Yeah... I know...\I told her to give it back...\I guess I'll just... buy one on the way home.\It's gone! response:	It's gone!
context: Acting like spies should be more fun, right?!\H-hey!\C'mon, Umaru. If you're going to use my ear pick, you could at least give it back.\Yeah... I know...\I told her to give it back...\I guess I'll just... buy one on the way home.\It's gone!\It's gone! response:	Gone, gone, still gone!
context: H-hey!\C'mon, Umaru. If you're going to use my ear pick, you could at least give it back.\Yeah... I know...\I told her to give it back...\I guess I'll just... buy one on the way home.\It's gone!\It's gone!\Gone, gone, still gone! response:	My ear's all itchy, but the ear pick is gone!
context: C'mon, Umaru. If you're going to use my ear pick, you could at least give it back.\Yeah... I know...\I told her to give it back...\I guess I'll just... buy one on the way home.\It's gone!\It's gone!\Gone, gone, still gone!\My ear's all itchy, but the ear pick is gone! response:	And it should be right here!
context: Yeah... I know...\I told her to give it back...\I guess I'll just... buy one on the way home.\It's gone!\It's gone!\Gone, gone, still gone!\My ear's all itchy, but the ear pick is gone!\And it should be right here! response:	Something's making me feel all creepy-crawly!
context: I told her to give it back...\I guess I'll just... buy one on the way home.\It's gone!\It's gone!\Gone, gone, still gone!\My ear's all itchy, but the ear pick is gone!\And it should be right here!\Something's making me feel all creepy-crawly! response:	She suffers! Yes, she suffers!
context: I guess I'll just... buy one on the way home.\It's gone!\It's gone!\Gone, gone, still gone!\My ear's all itchy, but the ear pick is gone!\And it should be right here!\Something's making me feel all creepy-crawly!\She suffers! Yes, she suffers! response:	Looks like we won't be seeing that stick today, huh, Boss?
context: It's gone!\It's gone!\Gone, gone, still gone!\My ear's all itchy, but the ear pick is gone!\And it should be right here!\Something's making me feel all creepy-crawly!\She suffers! Yes, she suffers!\Looks like we won't be seeing that stick today, huh, Boss? response:	The time has come for her to know how much we despise that stick's daily intrusion!
context: It's gone!\Gone, gone, still gone!\My ear's all itchy, but the ear pick is gone!\And it should be right here!\Something's making me feel all creepy-crawly!\She suffers! Yes, she suffers!\Looks like we won't be seeing that stick today, huh, Boss?\The time has come for her to know how much we despise that stick's daily intrusion! response:	Go and give her the greatest itch you can. Do it!
context: Gone, gone, still gone!\My ear's all itchy, but the ear pick is gone!\And it should be right here!\Something's making me feel all creepy-crawly!\She suffers! Yes, she suffers!\Looks like we won't be seeing that stick today, huh, Boss?\The time has come for her to know how much we despise that stick's daily intrusion!\Go and give her the greatest itch you can. Do it! response:	Yeah! Go and give her the greatest itch you can. Do it!
context: My ear's all itchy, but the ear pick is gone!\And it should be right here!\Something's making me feel all creepy-crawly!\She suffers! Yes, she suffers!\Looks like we won't be seeing that stick today, huh, Boss?\The time has come for her to know how much we despise that stick's daily intrusion!\Go and give her the greatest itch you can. Do it!\Yeah! Go and give her the greatest itch you can. Do it! response:	Woo-hoo! Woo-hoo!
context: And it should be right here!\Something's making me feel all creepy-crawly!\She suffers! Yes, she suffers!\Looks like we won't be seeing that stick today, huh, Boss?\The time has come for her to know how much we despise that stick's daily intrusion!\Go and give her the greatest itch you can. Do it!\Yeah! Go and give her the greatest itch you can. Do it!\Woo-hoo! Woo-hoo! response:	Yay!
context: Something's making me feel all creepy-crawly!\She suffers! Yes, she suffers!\Looks like we won't be seeing that stick today, huh, Boss?\The time has come for her to know how much we despise that stick's daily intrusion!\Go and give her the greatest itch you can. Do it!\Yeah! Go and give her the greatest itch you can. Do it!\Woo-hoo! Woo-hoo!\Yay! response:	Go, go! Go, go!
context: She suffers! Yes, she suffers!\Looks like we won't be seeing that stick today, huh, Boss?\The time has come for her to know how much we despise that stick's daily intrusion!\Go and give her the greatest itch you can. Do it!\Yeah! Go and give her the greatest itch you can. Do it!\Woo-hoo! Woo-hoo!\Yay!\Go, go! Go, go! response:	Yeah, yeah! Woo-hoo!
context: Looks like we won't be seeing that stick today, huh, Boss?\The time has come for her to know how much we despise that stick's daily intrusion!\Go and give her the greatest itch you can. Do it!\Yeah! Go and give her the greatest itch you can. Do it!\Woo-hoo! Woo-hoo!\Yay!\Go, go! Go, go!\Yeah, yeah! Woo-hoo! response:	HELP ME, BIG BROTHER!
context: The time has come for her to know how much we despise that stick's daily intrusion!\Go and give her the greatest itch you can. Do it!\Yeah! Go and give her the greatest itch you can. Do it!\Woo-hoo! Woo-hoo!\Yay!\Go, go! Go, go!\Yeah, yeah! Woo-hoo!\HELP ME, BIG BROTHER! response:	Whoa, you're out early.
context: Go and give her the greatest itch you can. Do it!\Yeah! Go and give her the greatest itch you can. Do it!\Woo-hoo! Woo-hoo!\Yay!\Go, go! Go, go!\Yeah, yeah! Woo-hoo!\HELP ME, BIG BROTHER!\Whoa, you're out early. response:	I have some shopping to do. I stepped on my ear pick and broke it.
context: Yeah! Go and give her the greatest itch you can. Do it!\Woo-hoo! Woo-hoo!\Yay!\Go, go! Go, go!\Yeah, yeah! Woo-hoo!\HELP ME, BIG BROTHER!\Whoa, you're out early.\I have some shopping to do. I stepped on my ear pick and broke it. response:	Your ear pick?
context: Woo-hoo! Woo-hoo!\Yay!\Go, go! Go, go!\Yeah, yeah! Woo-hoo!\HELP ME, BIG BROTHER!\Whoa, you're out early.\I have some shopping to do. I stepped on my ear pick and broke it.\Your ear pick? response:	Umaru used it and left it lying out...
