context: Kyousuke's back! response:	So the time's come at last...
context: Our idol, Rin-sama, has arrived!\Don't pick on the weak!\The weak?\Is she talking about you?\No, I think it's you.\That's not even funny.\I mean the cat!\Now, why are you two fighting? response:	Listen to this, Rin.
context: Don't pick on the weak!\The weak?\Is she talking about you?\No, I think it's you.\That's not even funny.\I mean the cat!\Now, why are you two fighting?\Listen to this, Rin. response:	This guy told me that snails from my eyes meant something it didn't.
context: The weak?\Is she talking about you?\No, I think it's you.\That's not even funny.\I mean the cat!\Now, why are you two fighting?\Listen to this, Rin.\This guy told me that snails from my eyes meant something it didn't. response:	And then I tried to use it in conversation today, casually saying, Hey, that's like snails from my eyes!
context: Is she talking about you?\No, I think it's you.\That's not even funny.\I mean the cat!\Now, why are you two fighting?\Listen to this, Rin.\This guy told me that snails from my eyes meant something it didn't.\And then I tried to use it in conversation today, casually saying, Hey, that's like snails from my eyes! response:	That's a really dumb reason...
context: No, I think it's you.\That's not even funny.\I mean the cat!\Now, why are you two fighting?\Listen to this, Rin.\This guy told me that snails from my eyes meant something it didn't.\And then I tried to use it in conversation today, casually saying, Hey, that's like snails from my eyes!\That's a really dumb reason... response:	You're the one who came to me asking what it meant.
context: That's not even funny.\I mean the cat!\Now, why are you two fighting?\Listen to this, Rin.\This guy told me that snails from my eyes meant something it didn't.\And then I tried to use it in conversation today, casually saying, Hey, that's like snails from my eyes!\That's a really dumb reason...\You're the one who came to me asking what it meant. response:	I figured you probably just misheard scales fall from one's eyes,
context: I mean the cat!\Now, why are you two fighting?\Listen to this, Rin.\This guy told me that snails from my eyes meant something it didn't.\And then I tried to use it in conversation today, casually saying, Hey, that's like snails from my eyes!\That's a really dumb reason...\You're the one who came to me asking what it meant.\I figured you probably just misheard scales fall from one's eyes, response:	so I told you that it means having a sudden realization.
context: Now, why are you two fighting?\Listen to this, Rin.\This guy told me that snails from my eyes meant something it didn't.\And then I tried to use it in conversation today, casually saying, Hey, that's like snails from my eyes!\That's a really dumb reason...\You're the one who came to me asking what it meant.\I figured you probably just misheard scales fall from one's eyes,\so I told you that it means having a sudden realization. response:	So why didn't you tell me that to begin with?!
context: Listen to this, Rin.\This guy told me that snails from my eyes meant something it didn't.\And then I tried to use it in conversation today, casually saying, Hey, that's like snails from my eyes!\That's a really dumb reason...\You're the one who came to me asking what it meant.\I figured you probably just misheard scales fall from one's eyes,\so I told you that it means having a sudden realization.\So why didn't you tell me that to begin with?! response:	Why the hell would snails come out of my eyes?!
context: This guy told me that snails from my eyes meant something it didn't.\And then I tried to use it in conversation today, casually saying, Hey, that's like snails from my eyes!\That's a really dumb reason...\You're the one who came to me asking what it meant.\I figured you probably just misheard scales fall from one's eyes,\so I told you that it means having a sudden realization.\So why didn't you tell me that to begin with?!\Why the hell would snails come out of my eyes?! response:	Rin.
context: And then I tried to use it in conversation today, casually saying, Hey, that's like snails from my eyes!\That's a really dumb reason...\You're the one who came to me asking what it meant.\I figured you probably just misheard scales fall from one's eyes,\so I told you that it means having a sudden realization.\So why didn't you tell me that to begin with?!\Why the hell would snails come out of my eyes?!\Rin. response:	You can see who's at fault here, right?
context: That's a really dumb reason...\You're the one who came to me asking what it meant.\I figured you probably just misheard scales fall from one's eyes,\so I told you that it means having a sudden realization.\So why didn't you tell me that to begin with?!\Why the hell would snails come out of my eyes?!\Rin.\You can see who's at fault here, right? response:	What the hell? You running away?!
context: You're the one who came to me asking what it meant.\I figured you probably just misheard scales fall from one's eyes,\so I told you that it means having a sudden realization.\So why didn't you tell me that to begin with?!\Why the hell would snails come out of my eyes?!\Rin.\You can see who's at fault here, right?\What the hell? You running away?! response:	I'll cut you to ribbons with my cat claws
context: I figured you probably just misheard scales fall from one's eyes,\so I told you that it means having a sudden realization.\So why didn't you tell me that to begin with?!\Why the hell would snails come out of my eyes?!\Rin.\You can see who's at fault here, right?\What the hell? You running away?!\I'll cut you to ribbons with my cat claws response:	Now you've done it!
context: so I told you that it means having a sudden realization.\So why didn't you tell me that to begin with?!\Why the hell would snails come out of my eyes?!\Rin.\You can see who's at fault here, right?\What the hell? You running away?!\I'll cut you to ribbons with my cat claws\Now you've done it! response:	I'm not going to go easy on you just because you're Kyousuke's sister!
context: So why didn't you tell me that to begin with?!\Why the hell would snails come out of my eyes?!\Rin.\You can see who's at fault here, right?\What the hell? You running away?!\I'll cut you to ribbons with my cat claws\Now you've done it!\I'm not going to go easy on you just because you're Kyousuke's sister! response:	Guys, get me a weapon!
context: Why the hell would snails come out of my eyes?!\Rin.\You can see who's at fault here, right?\What the hell? You running away?!\I'll cut you to ribbons with my cat claws\Now you've done it!\I'm not going to go easy on you just because you're Kyousuke's sister!\Guys, get me a weapon! response:	This one's mine!
context: Rin.\You can see who's at fault here, right?\What the hell? You running away?!\I'll cut you to ribbons with my cat claws\Now you've done it!\I'm not going to go easy on you just because you're Kyousuke's sister!\Guys, get me a weapon!\This one's mine! response:	E-Eel pie?!
context: You can see who's at fault here, right?\What the hell? You running away?!\I'll cut you to ribbons with my cat claws\Now you've done it!\I'm not going to go easy on you just because you're Kyousuke's sister!\Guys, get me a weapon!\This one's mine!\E-Eel pie?! response:	Inohara-kun! You can do it!
context: What the hell? You running away?!\I'll cut you to ribbons with my cat claws\Now you've done it!\I'm not going to go easy on you just because you're Kyousuke's sister!\Guys, get me a weapon!\This one's mine!\E-Eel pie?!\Inohara-kun! You can do it! response:	This is a perfectly normal scene for me.
context: I'll cut you to ribbons with my cat claws\Now you've done it!\I'm not going to go easy on you just because you're Kyousuke's sister!\Guys, get me a weapon!\This one's mine!\E-Eel pie?!\Inohara-kun! You can do it!\This is a perfectly normal scene for me. response:	Ever since I got to know these guys after meeting them when we were young,
context: Now you've done it!\I'm not going to go easy on you just because you're Kyousuke's sister!\Guys, get me a weapon!\This one's mine!\E-Eel pie?!\Inohara-kun! You can do it!\This is a perfectly normal scene for me.\Ever since I got to know these guys after meeting them when we were young, response:	it's been a normal part of my life.
context: I'm not going to go easy on you just because you're Kyousuke's sister!\Guys, get me a weapon!\This one's mine!\E-Eel pie?!\Inohara-kun! You can do it!\This is a perfectly normal scene for me.\Ever since I got to know these guys after meeting them when we were young,\it's been a normal part of my life. response:	Those were the hardest days of my life.
context: Guys, get me a weapon!\This one's mine!\E-Eel pie?!\Inohara-kun! You can do it!\This is a perfectly normal scene for me.\Ever since I got to know these guys after meeting them when we were young,\it's been a normal part of my life.\Those were the hardest days of my life. response:	I had just lost both my parents.
context: This one's mine!\E-Eel pie?!\Inohara-kun! You can do it!\This is a perfectly normal scene for me.\Ever since I got to know these guys after meeting them when we were young,\it's been a normal part of my life.\Those were the hardest days of my life.\I had just lost both my parents. response:	When all I could do was cry, the four of them appeared before me.
context: E-Eel pie?!\Inohara-kun! You can do it!\This is a perfectly normal scene for me.\Ever since I got to know these guys after meeting them when we were young,\it's been a normal part of my life.\Those were the hardest days of my life.\I had just lost both my parents.\When all I could do was cry, the four of them appeared before me. response:	We're going up against a powerful enemy!
context: Inohara-kun! You can do it!\This is a perfectly normal scene for me.\Ever since I got to know these guys after meeting them when we were young,\it's been a normal part of my life.\Those were the hardest days of my life.\I had just lost both my parents.\When all I could do was cry, the four of them appeared before me.\We're going up against a powerful enemy! response:	We need your help!
context: This is a perfectly normal scene for me.\Ever since I got to know these guys after meeting them when we were young,\it's been a normal part of my life.\Those were the hardest days of my life.\I had just lost both my parents.\When all I could do was cry, the four of them appeared before me.\We're going up against a powerful enemy!\We need your help! response:	What's your name?
context: Ever since I got to know these guys after meeting them when we were young,\it's been a normal part of my life.\Those were the hardest days of my life.\I had just lost both my parents.\When all I could do was cry, the four of them appeared before me.\We're going up against a powerful enemy!\We need your help!\What's your name? response:	Naoe Riki...
context: it's been a normal part of my life.\Those were the hardest days of my life.\I had just lost both my parents.\When all I could do was cry, the four of them appeared before me.\We're going up against a powerful enemy!\We need your help!\What's your name?\Naoe Riki... response:	Alright! Let's go, Riki!
context: Those were the hardest days of my life.\I had just lost both my parents.\When all I could do was cry, the four of them appeared before me.\We're going up against a powerful enemy!\We need your help!\What's your name?\Naoe Riki...\Alright! Let's go, Riki! response:	Hey, who are you?
context: I had just lost both my parents.\When all I could do was cry, the four of them appeared before me.\We're going up against a powerful enemy!\We need your help!\What's your name?\Naoe Riki...\Alright! Let's go, Riki!\Hey, who are you? response:	Us?
context: When all I could do was cry, the four of them appeared before me.\We're going up against a powerful enemy!\We need your help!\What's your name?\Naoe Riki...\Alright! Let's go, Riki!\Hey, who are you?\Us? response:	We vanquish evil and deliver justice!
context: We're going up against a powerful enemy!\We need your help!\What's your name?\Naoe Riki...\Alright! Let's go, Riki!\Hey, who are you?\Us?\We vanquish evil and deliver justice! response:	They call us...
context: We need your help!\What's your name?\Naoe Riki...\Alright! Let's go, Riki!\Hey, who are you?\Us?\We vanquish evil and deliver justice!\They call us... response:	Little Busters!
context: What's your name?\Naoe Riki...\Alright! Let's go, Riki!\Hey, who are you?\Us?\We vanquish evil and deliver justice!\They call us...\Little Busters! response:	It was indeed a powerful enemy.
context: Naoe Riki...\Alright! Let's go, Riki!\Hey, who are you?\Us?\We vanquish evil and deliver justice!\They call us...\Little Busters!\It was indeed a powerful enemy. response:	We fought like there was no tomorrow.
context: Alright! Let's go, Riki!\Hey, who are you?\Us?\We vanquish evil and deliver justice!\They call us...\Little Busters!\It was indeed a powerful enemy.\We fought like there was no tomorrow. response:	Honey?
context: Hey, who are you?\Us?\We vanquish evil and deliver justice!\They call us...\Little Busters!\It was indeed a powerful enemy.\We fought like there was no tomorrow.\Honey? response:	I'll leave the rest to you guys!
context: Us?\We vanquish evil and deliver justice!\They call us...\Little Busters!\It was indeed a powerful enemy.\We fought like there was no tomorrow.\Honey?\I'll leave the rest to you guys! response:	Masato!
context: We vanquish evil and deliver justice!\They call us...\Little Busters!\It was indeed a powerful enemy.\We fought like there was no tomorrow.\Honey?\I'll leave the rest to you guys!\Masato! response:	Your sacrifice won't be in vain!
context: They call us...\Little Busters!\It was indeed a powerful enemy.\We fought like there was no tomorrow.\Honey?\I'll leave the rest to you guys!\Masato!\Your sacrifice won't be in vain! response:	I didn't ask for this!
context: Little Busters!\It was indeed a powerful enemy.\We fought like there was no tomorrow.\Honey?\I'll leave the rest to you guys!\Masato!\Your sacrifice won't be in vain!\I didn't ask for this! response:	That was how we met.
context: It was indeed a powerful enemy.\We fought like there was no tomorrow.\Honey?\I'll leave the rest to you guys!\Masato!\Your sacrifice won't be in vain!\I didn't ask for this!\That was how we met. response:	It was the start of an exciting life for me.
context: We fought like there was no tomorrow.\Honey?\I'll leave the rest to you guys!\Masato!\Your sacrifice won't be in vain!\I didn't ask for this!\That was how we met.\It was the start of an exciting life for me. response:	After living with them for a while,
context: Honey?\I'll leave the rest to you guys!\Masato!\Your sacrifice won't be in vain!\I didn't ask for this!\That was how we met.\It was the start of an exciting life for me.\After living with them for a while, response:	I was able to forget the pain and loneliness in my heart.
context: I'll leave the rest to you guys!\Masato!\Your sacrifice won't be in vain!\I didn't ask for this!\That was how we met.\It was the start of an exciting life for me.\After living with them for a while,\I was able to forget the pain and loneliness in my heart. response:	Everything was just so much fun.
context: Masato!\Your sacrifice won't be in vain!\I didn't ask for this!\That was how we met.\It was the start of an exciting life for me.\After living with them for a while,\I was able to forget the pain and loneliness in my heart.\Everything was just so much fun. response:	If only every day could be like this forever...
context: Your sacrifice won't be in vain!\I didn't ask for this!\That was how we met.\It was the start of an exciting life for me.\After living with them for a while,\I was able to forget the pain and loneliness in my heart.\Everything was just so much fun.\If only every day could be like this forever... response:	That became my only wish.
context: I didn't ask for this!\That was how we met.\It was the start of an exciting life for me.\After living with them for a while,\I was able to forget the pain and loneliness in my heart.\Everything was just so much fun.\If only every day could be like this forever...\That became my only wish. response:	Man, that seriously hurt.
context: That was how we met.\It was the start of an exciting life for me.\After living with them for a while,\I was able to forget the pain and loneliness in my heart.\Everything was just so much fun.\If only every day could be like this forever...\That became my only wish.\Man, that seriously hurt. response:	All thanks to Fido here.
context: It was the start of an exciting life for me.\After living with them for a while,\I was able to forget the pain and loneliness in my heart.\Everything was just so much fun.\If only every day could be like this forever...\That became my only wish.\Man, that seriously hurt.\All thanks to Fido here. response:	He's not Fido!
context: After living with them for a while,\I was able to forget the pain and loneliness in my heart.\Everything was just so much fun.\If only every day could be like this forever...\That became my only wish.\Man, that seriously hurt.\All thanks to Fido here.\He's not Fido! response:	He's new, so he doesn't have a name yet.
context: I was able to forget the pain and loneliness in my heart.\Everything was just so much fun.\If only every day could be like this forever...\That became my only wish.\Man, that seriously hurt.\All thanks to Fido here.\He's not Fido!\He's new, so he doesn't have a name yet. response:	Lennon.
context: Everything was just so much fun.\If only every day could be like this forever...\That became my only wish.\Man, that seriously hurt.\All thanks to Fido here.\He's not Fido!\He's new, so he doesn't have a name yet.\Lennon. response:	Lennon?
context: If only every day could be like this forever...\That became my only wish.\Man, that seriously hurt.\All thanks to Fido here.\He's not Fido!\He's new, so he doesn't have a name yet.\Lennon.\Lennon? response:	You always pick such random names.
context: That became my only wish.\Man, that seriously hurt.\All thanks to Fido here.\He's not Fido!\He's new, so he doesn't have a name yet.\Lennon.\Lennon?\You always pick such random names. response:	Einstein, Gates...
context: Man, that seriously hurt.\All thanks to Fido here.\He's not Fido!\He's new, so he doesn't have a name yet.\Lennon.\Lennon?\You always pick such random names.\Einstein, Gates... response:	Audrey...
context: All thanks to Fido here.\He's not Fido!\He's new, so he doesn't have a name yet.\Lennon.\Lennon?\You always pick such random names.\Einstein, Gates...\Audrey... response:	Akutagawa...
context: He's not Fido!\He's new, so he doesn't have a name yet.\Lennon.\Lennon?\You always pick such random names.\Einstein, Gates...\Audrey...\Akutagawa... response:	So, Kyousuke, where'd you try to find a job this time?
context: He's new, so he doesn't have a name yet.\Lennon.\Lennon?\You always pick such random names.\Einstein, Gates...\Audrey...\Akutagawa...\So, Kyousuke, where'd you try to find a job this time? response:	A publisher in Tokyo.
context: Lennon.\Lennon?\You always pick such random names.\Einstein, Gates...\Audrey...\Akutagawa...\So, Kyousuke, where'd you try to find a job this time?\A publisher in Tokyo. response:	You walked to Tokyo?!
context: Lennon?\You always pick such random names.\Einstein, Gates...\Audrey...\Akutagawa...\So, Kyousuke, where'd you try to find a job this time?\A publisher in Tokyo.\You walked to Tokyo?! response:	Yeah.
context: You always pick such random names.\Einstein, Gates...\Audrey...\Akutagawa...\So, Kyousuke, where'd you try to find a job this time?\A publisher in Tokyo.\You walked to Tokyo?!\Yeah. response:	You know...
context: Einstein, Gates...\Audrey...\Akutagawa...\So, Kyousuke, where'd you try to find a job this time?\A publisher in Tokyo.\You walked to Tokyo?!\Yeah.\You know... response:	You're an idiot.
context: Audrey...\Akutagawa...\So, Kyousuke, where'd you try to find a job this time?\A publisher in Tokyo.\You walked to Tokyo?!\Yeah.\You know...\You're an idiot. response:	I'm flat broke, so I had no choice.
context: Akutagawa...\So, Kyousuke, where'd you try to find a job this time?\A publisher in Tokyo.\You walked to Tokyo?!\Yeah.\You know...\You're an idiot.\I'm flat broke, so I had no choice. response:	You guys will be third-years next year, too.
context: So, Kyousuke, where'd you try to find a job this time?\A publisher in Tokyo.\You walked to Tokyo?!\Yeah.\You know...\You're an idiot.\I'm flat broke, so I had no choice.\You guys will be third-years next year, too. response:	You'll be in the same boat.
context: A publisher in Tokyo.\You walked to Tokyo?!\Yeah.\You know...\You're an idiot.\I'm flat broke, so I had no choice.\You guys will be third-years next year, too.\You'll be in the same boat. response:	I don't think I'll be walking to find a job, though.
context: You walked to Tokyo?!\Yeah.\You know...\You're an idiot.\I'm flat broke, so I had no choice.\You guys will be third-years next year, too.\You'll be in the same boat.\I don't think I'll be walking to find a job, though. response:	I guess that's true, though.
context: Yeah.\You know...\You're an idiot.\I'm flat broke, so I had no choice.\You guys will be third-years next year, too.\You'll be in the same boat.\I don't think I'll be walking to find a job, though.\I guess that's true, though. response:	Next year, we'll either be applying to college or looking for work.
context: You know...\You're an idiot.\I'm flat broke, so I had no choice.\You guys will be third-years next year, too.\You'll be in the same boat.\I don't think I'll be walking to find a job, though.\I guess that's true, though.\Next year, we'll either be applying to college or looking for work. response:	We've been together up until now, but we might go our separate ways when we graduate.
context: You're an idiot.\I'm flat broke, so I had no choice.\You guys will be third-years next year, too.\You'll be in the same boat.\I don't think I'll be walking to find a job, though.\I guess that's true, though.\Next year, we'll either be applying to college or looking for work.\We've been together up until now, but we might go our separate ways when we graduate. response:	At the very least, Kyousuke won't be here next year.
context: I'm flat broke, so I had no choice.\You guys will be third-years next year, too.\You'll be in the same boat.\I don't think I'll be walking to find a job, though.\I guess that's true, though.\Next year, we'll either be applying to college or looking for work.\We've been together up until now, but we might go our separate ways when we graduate.\At the very least, Kyousuke won't be here next year. response:	I don't want to think about the future.
context: You guys will be third-years next year, too.\You'll be in the same boat.\I don't think I'll be walking to find a job, though.\I guess that's true, though.\Next year, we'll either be applying to college or looking for work.\We've been together up until now, but we might go our separate ways when we graduate.\At the very least, Kyousuke won't be here next year.\I don't want to think about the future. response:	If only things could be like this forever...
context: You'll be in the same boat.\I don't think I'll be walking to find a job, though.\I guess that's true, though.\Next year, we'll either be applying to college or looking for work.\We've been together up until now, but we might go our separate ways when we graduate.\At the very least, Kyousuke won't be here next year.\I don't want to think about the future.\If only things could be like this forever... response:	Hey, why don't we do something together like we used to?
context: I don't think I'll be walking to find a job, though.\I guess that's true, though.\Next year, we'll either be applying to college or looking for work.\We've been together up until now, but we might go our separate ways when we graduate.\At the very least, Kyousuke won't be here next year.\I don't want to think about the future.\If only things could be like this forever...\Hey, why don't we do something together like we used to? response:	What's with you, all of a sudden?
context: I guess that's true, though.\Next year, we'll either be applying to college or looking for work.\We've been together up until now, but we might go our separate ways when we graduate.\At the very least, Kyousuke won't be here next year.\I don't want to think about the future.\If only things could be like this forever...\Hey, why don't we do something together like we used to?\What's with you, all of a sudden? response:	Like what?
context: Next year, we'll either be applying to college or looking for work.\We've been together up until now, but we might go our separate ways when we graduate.\At the very least, Kyousuke won't be here next year.\I don't want to think about the future.\If only things could be like this forever...\Hey, why don't we do something together like we used to?\What's with you, all of a sudden?\Like what? response:	You know, like how we used to walk around the neighborhood together looking for evil to vanquish.
context: We've been together up until now, but we might go our separate ways when we graduate.\At the very least, Kyousuke won't be here next year.\I don't want to think about the future.\If only things could be like this forever...\Hey, why don't we do something together like we used to?\What's with you, all of a sudden?\Like what?\You know, like how we used to walk around the neighborhood together looking for evil to vanquish. response:	Don't lump me in with you guys!
context: At the very least, Kyousuke won't be here next year.\I don't want to think about the future.\If only things could be like this forever...\Hey, why don't we do something together like we used to?\What's with you, all of a sudden?\Like what?\You know, like how we used to walk around the neighborhood together looking for evil to vanquish.\Don't lump me in with you guys! response:	Kyousuke would always be leading us,
context: I don't want to think about the future.\If only things could be like this forever...\Hey, why don't we do something together like we used to?\What's with you, all of a sudden?\Like what?\You know, like how we used to walk around the neighborhood together looking for evil to vanquish.\Don't lump me in with you guys!\Kyousuke would always be leading us, response:	and we'd always jump into something really exciting!
context: If only things could be like this forever...\Hey, why don't we do something together like we used to?\What's with you, all of a sudden?\Like what?\You know, like how we used to walk around the neighborhood together looking for evil to vanquish.\Don't lump me in with you guys!\Kyousuke would always be leading us,\and we'd always jump into something really exciting! response:	Let's do something we can only do now, then.
context: Hey, why don't we do something together like we used to?\What's with you, all of a sudden?\Like what?\You know, like how we used to walk around the neighborhood together looking for evil to vanquish.\Don't lump me in with you guys!\Kyousuke would always be leading us,\and we'd always jump into something really exciting!\Let's do something we can only do now, then. response:	Let's play baseball.
context: What's with you, all of a sudden?\Like what?\You know, like how we used to walk around the neighborhood together looking for evil to vanquish.\Don't lump me in with you guys!\Kyousuke would always be leading us,\and we'd always jump into something really exciting!\Let's do something we can only do now, then.\Let's play baseball. response:	Huh?
context: Like what?\You know, like how we used to walk around the neighborhood together looking for evil to vanquish.\Don't lump me in with you guys!\Kyousuke would always be leading us,\and we'd always jump into something really exciting!\Let's do something we can only do now, then.\Let's play baseball.\Huh? response:	Huh?
context: You know, like how we used to walk around the neighborhood together looking for evil to vanquish.\Don't lump me in with you guys!\Kyousuke would always be leading us,\and we'd always jump into something really exciting!\Let's do something we can only do now, then.\Let's play baseball.\Huh?\Huh? response:	Huh?
context: Don't lump me in with you guys!\Kyousuke would always be leading us,\and we'd always jump into something really exciting!\Let's do something we can only do now, then.\Let's play baseball.\Huh?\Huh?\Huh? response:	Huh?
context: Kyousuke would always be leading us,\and we'd always jump into something really exciting!\Let's do something we can only do now, then.\Let's play baseball.\Huh?\Huh?\Huh?\Huh? response:	You know, baseball.
