context: All right! I'm off! response:	Okay! Hurry back!
context: Oh, you're here again.\Master, I will not go away today.\Who's this fox demon?\Wrong! I'm a Lynx Demon.\I've asked Master Totosai to train me.\Train?\I want Master Totosai to train me so I can break the barrier.\Err... response:	I'm itchy.
context: Master, I will not go away today.\Who's this fox demon?\Wrong! I'm a Lynx Demon.\I've asked Master Totosai to train me.\Train?\I want Master Totosai to train me so I can break the barrier.\Err...\I'm itchy. response:	I can use them.
context: Who's this fox demon?\Wrong! I'm a Lynx Demon.\I've asked Master Totosai to train me.\Train?\I want Master Totosai to train me so I can break the barrier.\Err...\I'm itchy.\I can use them. response:	Ahem! You two...
context: Wrong! I'm a Lynx Demon.\I've asked Master Totosai to train me.\Train?\I want Master Totosai to train me so I can break the barrier.\Err...\I'm itchy.\I can use them.\Ahem! You two... response:	I want you to fetch some water and cut some wood.
context: I've asked Master Totosai to train me.\Train?\I want Master Totosai to train me so I can break the barrier.\Err...\I'm itchy.\I can use them.\Ahem! You two...\I want you to fetch some water and cut some wood. response:	I knew it! That's special training!
context: Train?\I want Master Totosai to train me so I can break the barrier.\Err...\I'm itchy.\I can use them.\Ahem! You two...\I want you to fetch some water and cut some wood.\I knew it! That's special training! response:	You know nothing!
context: I want Master Totosai to train me so I can break the barrier.\Err...\I'm itchy.\I can use them.\Ahem! You two...\I want you to fetch some water and cut some wood.\I knew it! That's special training!\You know nothing! response:	Fetching water builds up essential muscles.
context: Err...\I'm itchy.\I can use them.\Ahem! You two...\I want you to fetch some water and cut some wood.\I knew it! That's special training!\You know nothing!\Fetching water builds up essential muscles. response:	And cutting wood improves your fighting posture.
context: I'm itchy.\I can use them.\Ahem! You two...\I want you to fetch some water and cut some wood.\I knew it! That's special training!\You know nothing!\Fetching water builds up essential muscles.\And cutting wood improves your fighting posture. response:	And heating the bath water builds up your lungs.
context: I can use them.\Ahem! You two...\I want you to fetch some water and cut some wood.\I knew it! That's special training!\You know nothing!\Fetching water builds up essential muscles.\And cutting wood improves your fighting posture.\And heating the bath water builds up your lungs. response:	Every task has a meaning.
context: Ahem! You two...\I want you to fetch some water and cut some wood.\I knew it! That's special training!\You know nothing!\Fetching water builds up essential muscles.\And cutting wood improves your fighting posture.\And heating the bath water builds up your lungs.\Every task has a meaning. response:	Pa told me that's been the tradition on the continent
context: I want you to fetch some water and cut some wood.\I knew it! That's special training!\You know nothing!\Fetching water builds up essential muscles.\And cutting wood improves your fighting posture.\And heating the bath water builds up your lungs.\Every task has a meaning.\Pa told me that's been the tradition on the continent response:	for four thousand years.
context: I knew it! That's special training!\You know nothing!\Fetching water builds up essential muscles.\And cutting wood improves your fighting posture.\And heating the bath water builds up your lungs.\Every task has a meaning.\Pa told me that's been the tradition on the continent\for four thousand years. response:	I see!
context: You know nothing!\Fetching water builds up essential muscles.\And cutting wood improves your fighting posture.\And heating the bath water builds up your lungs.\Every task has a meaning.\Pa told me that's been the tradition on the continent\for four thousand years.\I see! response:	So you're willing to teach me how to break the barrier!
context: Fetching water builds up essential muscles.\And cutting wood improves your fighting posture.\And heating the bath water builds up your lungs.\Every task has a meaning.\Pa told me that's been the tradition on the continent\for four thousand years.\I see!\So you're willing to teach me how to break the barrier! response:	No, l just wanted to... Take a bath...
context: And cutting wood improves your fighting posture.\And heating the bath water builds up your lungs.\Every task has a meaning.\Pa told me that's been the tradition on the continent\for four thousand years.\I see!\So you're willing to teach me how to break the barrier!\No, l just wanted to... Take a bath... response:	Why didn't you say so earlier?
context: And heating the bath water builds up your lungs.\Every task has a meaning.\Pa told me that's been the tradition on the continent\for four thousand years.\I see!\So you're willing to teach me how to break the barrier!\No, l just wanted to... Take a bath...\Why didn't you say so earlier? response:	Totosai, I guess you need strength
context: Every task has a meaning.\Pa told me that's been the tradition on the continent\for four thousand years.\I see!\So you're willing to teach me how to break the barrier!\No, l just wanted to... Take a bath...\Why didn't you say so earlier?\Totosai, I guess you need strength response:	to learn this special technique, huh?
context: Pa told me that's been the tradition on the continent\for four thousand years.\I see!\So you're willing to teach me how to break the barrier!\No, l just wanted to... Take a bath...\Why didn't you say so earlier?\Totosai, I guess you need strength\to learn this special technique, huh? response:	All right, then. I'll stay and train.
context: for four thousand years.\I see!\So you're willing to teach me how to break the barrier!\No, l just wanted to... Take a bath...\Why didn't you say so earlier?\Totosai, I guess you need strength\to learn this special technique, huh?\All right, then. I'll stay and train. response:	Wait a minute!
context: I see!\So you're willing to teach me how to break the barrier!\No, l just wanted to... Take a bath...\Why didn't you say so earlier?\Totosai, I guess you need strength\to learn this special technique, huh?\All right, then. I'll stay and train.\Wait a minute! response:	I've been staying in that hut over yonder for ten days!
context: So you're willing to teach me how to break the barrier!\No, l just wanted to... Take a bath...\Why didn't you say so earlier?\Totosai, I guess you need strength\to learn this special technique, huh?\All right, then. I'll stay and train.\Wait a minute!\I've been staying in that hut over yonder for ten days! response:	I'm the senior apprentice!
context: No, l just wanted to... Take a bath...\Why didn't you say so earlier?\Totosai, I guess you need strength\to learn this special technique, huh?\All right, then. I'll stay and train.\Wait a minute!\I've been staying in that hut over yonder for ten days!\I'm the senior apprentice! response:	Senior apprentice?
context: Why didn't you say so earlier?\Totosai, I guess you need strength\to learn this special technique, huh?\All right, then. I'll stay and train.\Wait a minute!\I've been staying in that hut over yonder for ten days!\I'm the senior apprentice!\Senior apprentice? response:	Don't you know?
context: Totosai, I guess you need strength\to learn this special technique, huh?\All right, then. I'll stay and train.\Wait a minute!\I've been staying in that hut over yonder for ten days!\I'm the senior apprentice!\Senior apprentice?\Don't you know? response:	In the human world, there's an apprenticeship system!
context: to learn this special technique, huh?\All right, then. I'll stay and train.\Wait a minute!\I've been staying in that hut over yonder for ten days!\I'm the senior apprentice!\Senior apprentice?\Don't you know?\In the human world, there's an apprenticeship system! response:	The one who came first is the senior apprentice.
context: All right, then. I'll stay and train.\Wait a minute!\I've been staying in that hut over yonder for ten days!\I'm the senior apprentice!\Senior apprentice?\Don't you know?\In the human world, there's an apprenticeship system!\The one who came first is the senior apprentice. response:	Don't dawdle and follow me!
context: Wait a minute!\I've been staying in that hut over yonder for ten days!\I'm the senior apprentice!\Senior apprentice?\Don't you know?\In the human world, there's an apprenticeship system!\The one who came first is the senior apprentice.\Don't dawdle and follow me! response:	What?!
context: I've been staying in that hut over yonder for ten days!\I'm the senior apprentice!\Senior apprentice?\Don't you know?\In the human world, there's an apprenticeship system!\The one who came first is the senior apprentice.\Don't dawdle and follow me!\What?! response:	Hurry! Junior apprentice!
context: I'm the senior apprentice!\Senior apprentice?\Don't you know?\In the human world, there's an apprenticeship system!\The one who came first is the senior apprentice.\Don't dawdle and follow me!\What?!\Hurry! Junior apprentice! response:	Hurry and follow me!
context: Senior apprentice?\Don't you know?\In the human world, there's an apprenticeship system!\The one who came first is the senior apprentice.\Don't dawdle and follow me!\What?!\Hurry! Junior apprentice!\Hurry and follow me! response:	Shaddup! I'm coming!
context: Don't you know?\In the human world, there's an apprenticeship system!\The one who came first is the senior apprentice.\Don't dawdle and follow me!\What?!\Hurry! Junior apprentice!\Hurry and follow me!\Shaddup! I'm coming! response:	They're under the wrong impression...
context: In the human world, there's an apprenticeship system!\The one who came first is the senior apprentice.\Don't dawdle and follow me!\What?!\Hurry! Junior apprentice!\Hurry and follow me!\Shaddup! I'm coming!\They're under the wrong impression... response:	But I think I'm going to get my bath.
context: The one who came first is the senior apprentice.\Don't dawdle and follow me!\What?!\Hurry! Junior apprentice!\Hurry and follow me!\Shaddup! I'm coming!\They're under the wrong impression...\But I think I'm going to get my bath. response:	I left without saying a word to Kagome and the others.
context: Don't dawdle and follow me!\What?!\Hurry! Junior apprentice!\Hurry and follow me!\Shaddup! I'm coming!\They're under the wrong impression...\But I think I'm going to get my bath.\I left without saying a word to Kagome and the others. response:	It's gonna take more time than I expected.
context: What?!\Hurry! Junior apprentice!\Hurry and follow me!\Shaddup! I'm coming!\They're under the wrong impression...\But I think I'm going to get my bath.\I left without saying a word to Kagome and the others.\It's gonna take more time than I expected. response:	Hey Meow! That's impossible for you.
context: Hurry! Junior apprentice!\Hurry and follow me!\Shaddup! I'm coming!\They're under the wrong impression...\But I think I'm going to get my bath.\I left without saying a word to Kagome and the others.\It's gonna take more time than I expected.\Hey Meow! That's impossible for you. response:	I'm not Meow! I'm Bunza!
context: Hurry and follow me!\Shaddup! I'm coming!\They're under the wrong impression...\But I think I'm going to get my bath.\I left without saying a word to Kagome and the others.\It's gonna take more time than I expected.\Hey Meow! That's impossible for you.\I'm not Meow! I'm Bunza! response:	Okay then, Bunza. Don't overdo it.
context: Shaddup! I'm coming!\They're under the wrong impression...\But I think I'm going to get my bath.\I left without saying a word to Kagome and the others.\It's gonna take more time than I expected.\Hey Meow! That's impossible for you.\I'm not Meow! I'm Bunza!\Okay then, Bunza. Don't overdo it. response:	Shut up!
context: They're under the wrong impression...\But I think I'm going to get my bath.\I left without saying a word to Kagome and the others.\It's gonna take more time than I expected.\Hey Meow! That's impossible for you.\I'm not Meow! I'm Bunza!\Okay then, Bunza. Don't overdo it.\Shut up! response:	I'm gonna train harder than you,
context: But I think I'm going to get my bath.\I left without saying a word to Kagome and the others.\It's gonna take more time than I expected.\Hey Meow! That's impossible for you.\I'm not Meow! I'm Bunza!\Okay then, Bunza. Don't overdo it.\Shut up!\I'm gonna train harder than you, response:	and have the Master teach me the method first!
context: I left without saying a word to Kagome and the others.\It's gonna take more time than I expected.\Hey Meow! That's impossible for you.\I'm not Meow! I'm Bunza!\Okay then, Bunza. Don't overdo it.\Shut up!\I'm gonna train harder than you,\and have the Master teach me the method first! response:	What's with you?
context: It's gonna take more time than I expected.\Hey Meow! That's impossible for you.\I'm not Meow! I'm Bunza!\Okay then, Bunza. Don't overdo it.\Shut up!\I'm gonna train harder than you,\and have the Master teach me the method first!\What's with you? response:	Why do you need to learn the method so badly?
context: Hey Meow! That's impossible for you.\I'm not Meow! I'm Bunza!\Okay then, Bunza. Don't overdo it.\Shut up!\I'm gonna train harder than you,\and have the Master teach me the method first!\What's with you?\Why do you need to learn the method so badly? response:	Cripes!
context: I'm not Meow! I'm Bunza!\Okay then, Bunza. Don't overdo it.\Shut up!\I'm gonna train harder than you,\and have the Master teach me the method first!\What's with you?\Why do you need to learn the method so badly?\Cripes! response:	Hey lemme go! I said lemme go, Junior!
context: Okay then, Bunza. Don't overdo it.\Shut up!\I'm gonna train harder than you,\and have the Master teach me the method first!\What's with you?\Why do you need to learn the method so badly?\Cripes!\Hey lemme go! I said lemme go, Junior! response:	This isn't training!
context: Shut up!\I'm gonna train harder than you,\and have the Master teach me the method first!\What's with you?\Why do you need to learn the method so badly?\Cripes!\Hey lemme go! I said lemme go, Junior!\This isn't training! response:	Lemme go! Just lemme go!
context: I'm gonna train harder than you,\and have the Master teach me the method first!\What's with you?\Why do you need to learn the method so badly?\Cripes!\Hey lemme go! I said lemme go, Junior!\This isn't training!\Lemme go! Just lemme go! response:	Are you listening?!
context: and have the Master teach me the method first!\What's with you?\Why do you need to learn the method so badly?\Cripes!\Hey lemme go! I said lemme go, Junior!\This isn't training!\Lemme go! Just lemme go!\Are you listening?! response:	I said don't overdo it!
context: What's with you?\Why do you need to learn the method so badly?\Cripes!\Hey lemme go! I said lemme go, Junior!\This isn't training!\Lemme go! Just lemme go!\Are you listening?!\I said don't overdo it! response:	But I must learn the technique!
context: Why do you need to learn the method so badly?\Cripes!\Hey lemme go! I said lemme go, Junior!\This isn't training!\Lemme go! Just lemme go!\Are you listening?!\I said don't overdo it!\But I must learn the technique! response:	Watch out, fool!
context: Cripes!\Hey lemme go! I said lemme go, Junior!\This isn't training!\Lemme go! Just lemme go!\Are you listening?!\I said don't overdo it!\But I must learn the technique!\Watch out, fool! response:	You rest!
context: Hey lemme go! I said lemme go, Junior!\This isn't training!\Lemme go! Just lemme go!\Are you listening?!\I said don't overdo it!\But I must learn the technique!\Watch out, fool!\You rest! response:	That's not training.
context: This isn't training!\Lemme go! Just lemme go!\Are you listening?!\I said don't overdo it!\But I must learn the technique!\Watch out, fool!\You rest!\That's not training. response:	Damn! You're such a handful!
context: Lemme go! Just lemme go!\Are you listening?!\I said don't overdo it!\But I must learn the technique!\Watch out, fool!\You rest!\That's not training.\Damn! You're such a handful! response:	You're burning up!
context: Are you listening?!\I said don't overdo it!\But I must learn the technique!\Watch out, fool!\You rest!\That's not training.\Damn! You're such a handful!\You're burning up! response:	What? You haven't even eaten?
context: I said don't overdo it!\But I must learn the technique!\Watch out, fool!\You rest!\That's not training.\Damn! You're such a handful!\You're burning up!\What? You haven't even eaten? response:	S-Sorry...
context: But I must learn the technique!\Watch out, fool!\You rest!\That's not training.\Damn! You're such a handful!\You're burning up!\What? You haven't even eaten?\S-Sorry... response:	And you've stayed here in this hut for ten days?
context: Watch out, fool!\You rest!\That's not training.\Damn! You're such a handful!\You're burning up!\What? You haven't even eaten?\S-Sorry...\And you've stayed here in this hut for ten days? response:	No wonder you got sick.
context: You rest!\That's not training.\Damn! You're such a handful!\You're burning up!\What? You haven't even eaten?\S-Sorry...\And you've stayed here in this hut for ten days?\No wonder you got sick. response:	I m-must train and learn the technique to break the barrier.
context: That's not training.\Damn! You're such a handful!\You're burning up!\What? You haven't even eaten?\S-Sorry...\And you've stayed here in this hut for ten days?\No wonder you got sick.\I m-must train and learn the technique to break the barrier. response:	First, get well.
context: Damn! You're such a handful!\You're burning up!\What? You haven't even eaten?\S-Sorry...\And you've stayed here in this hut for ten days?\No wonder you got sick.\I m-must train and learn the technique to break the barrier.\First, get well. response:	I'll bring you something good to eat later.
context: You're burning up!\What? You haven't even eaten?\S-Sorry...\And you've stayed here in this hut for ten days?\No wonder you got sick.\I m-must train and learn the technique to break the barrier.\First, get well.\I'll bring you something good to eat later. response:	Why?
context: What? You haven't even eaten?\S-Sorry...\And you've stayed here in this hut for ten days?\No wonder you got sick.\I m-must train and learn the technique to break the barrier.\First, get well.\I'll bring you something good to eat later.\Why? response:	Why are you so kind?
context: S-Sorry...\And you've stayed here in this hut for ten days?\No wonder you got sick.\I m-must train and learn the technique to break the barrier.\First, get well.\I'll bring you something good to eat later.\Why?\Why are you so kind? response:	Well... there's a kid about your age among my companions.
context: And you've stayed here in this hut for ten days?\No wonder you got sick.\I m-must train and learn the technique to break the barrier.\First, get well.\I'll bring you something good to eat later.\Why?\Why are you so kind?\Well... there's a kid about your age among my companions. response:	What's the matter, Shippo?
context: No wonder you got sick.\I m-must train and learn the technique to break the barrier.\First, get well.\I'll bring you something good to eat later.\Why?\Why are you so kind?\Well... there's a kid about your age among my companions.\What's the matter, Shippo? response:	I think I caught a cold.
context: I m-must train and learn the technique to break the barrier.\First, get well.\I'll bring you something good to eat later.\Why?\Why are you so kind?\Well... there's a kid about your age among my companions.\What's the matter, Shippo?\I think I caught a cold. response:	Maybe someone's gossiping about you.
context: First, get well.\I'll bring you something good to eat later.\Why?\Why are you so kind?\Well... there's a kid about your age among my companions.\What's the matter, Shippo?\I think I caught a cold.\Maybe someone's gossiping about you. response:	This is great for building up the lungs.
context: I'll bring you something good to eat later.\Why?\Why are you so kind?\Well... there's a kid about your age among my companions.\What's the matter, Shippo?\I think I caught a cold.\Maybe someone's gossiping about you.\This is great for building up the lungs. response:	Hmm... such a nice bath!
context: Why?\Why are you so kind?\Well... there's a kid about your age among my companions.\What's the matter, Shippo?\I think I caught a cold.\Maybe someone's gossiping about you.\This is great for building up the lungs.\Hmm... such a nice bath! response:	Hey! Tell me if there's any other way to train!
context: Why are you so kind?\Well... there's a kid about your age among my companions.\What's the matter, Shippo?\I think I caught a cold.\Maybe someone's gossiping about you.\This is great for building up the lungs.\Hmm... such a nice bath!\Hey! Tell me if there's any other way to train! response:	I'll do anything if it's to master the technique.
context: Well... there's a kid about your age among my companions.\What's the matter, Shippo?\I think I caught a cold.\Maybe someone's gossiping about you.\This is great for building up the lungs.\Hmm... such a nice bath!\Hey! Tell me if there's any other way to train!\I'll do anything if it's to master the technique. response:	Train?
context: What's the matter, Shippo?\I think I caught a cold.\Maybe someone's gossiping about you.\This is great for building up the lungs.\Hmm... such a nice bath!\Hey! Tell me if there's any other way to train!\I'll do anything if it's to master the technique.\Train? response:	Hey, you!
context: I think I caught a cold.\Maybe someone's gossiping about you.\This is great for building up the lungs.\Hmm... such a nice bath!\Hey! Tell me if there's any other way to train!\I'll do anything if it's to master the technique.\Train?\Hey, you! response:	Huh?
context: Maybe someone's gossiping about you.\This is great for building up the lungs.\Hmm... such a nice bath!\Hey! Tell me if there's any other way to train!\I'll do anything if it's to master the technique.\Train?\Hey, you!\Huh? response:	Is it true that you're making Inuyasha train?
context: This is great for building up the lungs.\Hmm... such a nice bath!\Hey! Tell me if there's any other way to train!\I'll do anything if it's to master the technique.\Train?\Hey, you!\Huh?\Is it true that you're making Inuyasha train? response:	Well, actually... I wanted to take a bath.
context: Hmm... such a nice bath!\Hey! Tell me if there's any other way to train!\I'll do anything if it's to master the technique.\Train?\Hey, you!\Huh?\Is it true that you're making Inuyasha train?\Well, actually... I wanted to take a bath. response:	When one is old, fetching water is so difficult.
context: Hey! Tell me if there's any other way to train!\I'll do anything if it's to master the technique.\Train?\Hey, you!\Huh?\Is it true that you're making Inuyasha train?\Well, actually... I wanted to take a bath.\When one is old, fetching water is so difficult. response:	When I mentioned it, before I knew it, he decided it was training!
