context: Humans! response:	If you wish not for annihilation, take heed!
context: Nice head! Are you related to an octopus by any chance?\I heard it was that same guy again.\What was his name?\I forget, but he's super-strong.\HE TAKES EVERY OPPONENT OUT WITH A SINGLE PUNCH.\BUT PEOPLE SAY HE STEALS OTHERS' CREDIT.\I MEAN, HE'S CLASS C.\Class C? response:	Never seen him before.
context: I heard it was that same guy again.\What was his name?\I forget, but he's super-strong.\HE TAKES EVERY OPPONENT OUT WITH A SINGLE PUNCH.\BUT PEOPLE SAY HE STEALS OTHERS' CREDIT.\I MEAN, HE'S CLASS C.\Class C?\Never seen him before. response:	I've got to keep up.
context: What was his name?\I forget, but he's super-strong.\HE TAKES EVERY OPPONENT OUT WITH A SINGLE PUNCH.\BUT PEOPLE SAY HE STEALS OTHERS' CREDIT.\I MEAN, HE'S CLASS C.\Class C?\Never seen him before.\I've got to keep up. response:	THE DEEP SEA KING
context: I forget, but he's super-strong.\HE TAKES EVERY OPPONENT OUT WITH A SINGLE PUNCH.\BUT PEOPLE SAY HE STEALS OTHERS' CREDIT.\I MEAN, HE'S CLASS C.\Class C?\Never seen him before.\I've got to keep up.\THE DEEP SEA KING response:	Help! Somebody!
context: HE TAKES EVERY OPPONENT OUT WITH A SINGLE PUNCH.\BUT PEOPLE SAY HE STEALS OTHERS' CREDIT.\I MEAN, HE'S CLASS C.\Class C?\Never seen him before.\I've got to keep up.\THE DEEP SEA KING\Help! Somebody! response:	We, the Clan of the Seafolk, now rule the surface!
context: BUT PEOPLE SAY HE STEALS OTHERS' CREDIT.\I MEAN, HE'S CLASS C.\Class C?\Never seen him before.\I've got to keep up.\THE DEEP SEA KING\Help! Somebody!\We, the Clan of the Seafolk, now rule the surface! response:	It is useless to resist!
context: I MEAN, HE'S CLASS C.\Class C?\Never seen him before.\I've got to keep up.\THE DEEP SEA KING\Help! Somebody!\We, the Clan of the Seafolk, now rule the surface!\It is useless to resist! response:	You'll pay for that, human!
context: Class C?\Never seen him before.\I've got to keep up.\THE DEEP SEA KING\Help! Somebody!\We, the Clan of the Seafolk, now rule the surface!\It is useless to resist!\You'll pay for that, human! response:	The Class A hero Stinger,
context: Never seen him before.\I've got to keep up.\THE DEEP SEA KING\Help! Somebody!\We, the Clan of the Seafolk, now rule the surface!\It is useless to resist!\You'll pay for that, human!\The Class A hero Stinger, response:	rising in popularity and currently 11th in the rankings, is here to help.
context: I've got to keep up.\THE DEEP SEA KING\Help! Somebody!\We, the Clan of the Seafolk, now rule the surface!\It is useless to resist!\You'll pay for that, human!\The Class A hero Stinger,\rising in popularity and currently 11th in the rankings, is here to help. response:	At your service, everyone!
context: THE DEEP SEA KING\Help! Somebody!\We, the Clan of the Seafolk, now rule the surface!\It is useless to resist!\You'll pay for that, human!\The Class A hero Stinger,\rising in popularity and currently 11th in the rankings, is here to help.\At your service, everyone! response:	It's Stinger!
context: Help! Somebody!\We, the Clan of the Seafolk, now rule the surface!\It is useless to resist!\You'll pay for that, human!\The Class A hero Stinger,\rising in popularity and currently 11th in the rankings, is here to help.\At your service, everyone!\It's Stinger! response:	We're saved!
context: We, the Clan of the Seafolk, now rule the surface!\It is useless to resist!\You'll pay for that, human!\The Class A hero Stinger,\rising in popularity and currently 11th in the rankings, is here to help.\At your service, everyone!\It's Stinger!\We're saved! response:	Go for it!
context: It is useless to resist!\You'll pay for that, human!\The Class A hero Stinger,\rising in popularity and currently 11th in the rankings, is here to help.\At your service, everyone!\It's Stinger!\We're saved!\Go for it! response:	Well now
context: You'll pay for that, human!\The Class A hero Stinger,\rising in popularity and currently 11th in the rankings, is here to help.\At your service, everyone!\It's Stinger!\We're saved!\Go for it!\Well now response:	Anyone who needs a new blowhole drilled into their torso, step right up!
context: The Class A hero Stinger,\rising in popularity and currently 11th in the rankings, is here to help.\At your service, everyone!\It's Stinger!\We're saved!\Go for it!\Well now\Anyone who needs a new blowhole drilled into their torso, step right up! response:	Master
context: rising in popularity and currently 11th in the rankings, is here to help.\At your service, everyone!\It's Stinger!\We're saved!\Go for it!\Well now\Anyone who needs a new blowhole drilled into their torso, step right up!\Master response:	You have moved up to rank 2 in Class C.
context: At your service, everyone!\It's Stinger!\We're saved!\Go for it!\Well now\Anyone who needs a new blowhole drilled into their torso, step right up!\Master\You have moved up to rank 2 in Class C. response:	You are on the verge of entering Class B!
context: It's Stinger!\We're saved!\Go for it!\Well now\Anyone who needs a new blowhole drilled into their torso, step right up!\Master\You have moved up to rank 2 in Class C.\You are on the verge of entering Class B! response:	Class B, huh?
context: We're saved!\Go for it!\Well now\Anyone who needs a new blowhole drilled into their torso, step right up!\Master\You have moved up to rank 2 in Class C.\You are on the verge of entering Class B!\Class B, huh? response:	That means I won't have any more weekly hero quotas, right?
context: Go for it!\Well now\Anyone who needs a new blowhole drilled into their torso, step right up!\Master\You have moved up to rank 2 in Class C.\You are on the verge of entering Class B!\Class B, huh?\That means I won't have any more weekly hero quotas, right? response:	Correct.
context: Well now\Anyone who needs a new blowhole drilled into their torso, step right up!\Master\You have moved up to rank 2 in Class C.\You are on the verge of entering Class B!\Class B, huh?\That means I won't have any more weekly hero quotas, right?\Correct. response:	Oh, excuse me
context: Anyone who needs a new blowhole drilled into their torso, step right up!\Master\You have moved up to rank 2 in Class C.\You are on the verge of entering Class B!\Class B, huh?\That means I won't have any more weekly hero quotas, right?\Correct.\Oh, excuse me response:	Hello?
context: Master\You have moved up to rank 2 in Class C.\You are on the verge of entering Class B!\Class B, huh?\That means I won't have any more weekly hero quotas, right?\Correct.\Oh, excuse me\Hello? response:	City J? It is a bit far.
context: You have moved up to rank 2 in Class C.\You are on the verge of entering Class B!\Class B, huh?\That means I won't have any more weekly hero quotas, right?\Correct.\Oh, excuse me\Hello?\City J? It is a bit far. response:	Are there no competent heroes nearby?
context: You are on the verge of entering Class B!\Class B, huh?\That means I won't have any more weekly hero quotas, right?\Correct.\Oh, excuse me\Hello?\City J? It is a bit far.\Are there no competent heroes nearby? response:	Busy guy
context: Class B, huh?\That means I won't have any more weekly hero quotas, right?\Correct.\Oh, excuse me\Hello?\City J? It is a bit far.\Are there no competent heroes nearby?\Busy guy response:	Master!
context: That means I won't have any more weekly hero quotas, right?\Correct.\Oh, excuse me\Hello?\City J? It is a bit far.\Are there no competent heroes nearby?\Busy guy\Master! response:	The monster you defeated on your way home the other day
context: Correct.\Oh, excuse me\Hello?\City J? It is a bit far.\Are there no competent heroes nearby?\Busy guy\Master!\The monster you defeated on your way home the other day response:	called itself one of the Seafolk, right?
context: Oh, excuse me\Hello?\City J? It is a bit far.\Are there no competent heroes nearby?\Busy guy\Master!\The monster you defeated on your way home the other day\called itself one of the Seafolk, right? response:	I forget.
context: Hello?\City J? It is a bit far.\Are there no competent heroes nearby?\Busy guy\Master!\The monster you defeated on your way home the other day\called itself one of the Seafolk, right?\I forget. response:	Several monsters calling themselves the Clan of the Seafolk
context: City J? It is a bit far.\Are there no competent heroes nearby?\Busy guy\Master!\The monster you defeated on your way home the other day\called itself one of the Seafolk, right?\I forget.\Several monsters calling themselves the Clan of the Seafolk response:	have appeared in City J and are attacking anyone in sight.
context: Are there no competent heroes nearby?\Busy guy\Master!\The monster you defeated on your way home the other day\called itself one of the Seafolk, right?\I forget.\Several monsters calling themselves the Clan of the Seafolk\have appeared in City J and are attacking anyone in sight. response:	A Class A hero fighting them all alone and on the brink of defeat.
context: Busy guy\Master!\The monster you defeated on your way home the other day\called itself one of the Seafolk, right?\I forget.\Several monsters calling themselves the Clan of the Seafolk\have appeared in City J and are attacking anyone in sight.\A Class A hero fighting them all alone and on the brink of defeat. response:	His extreme fatigue and pain are apparent
context: Master!\The monster you defeated on your way home the other day\called itself one of the Seafolk, right?\I forget.\Several monsters calling themselves the Clan of the Seafolk\have appeared in City J and are attacking anyone in sight.\A Class A hero fighting them all alone and on the brink of defeat.\His extreme fatigue and pain are apparent response:	A prompt response from the Hero Association
context: The monster you defeated on your way home the other day\called itself one of the Seafolk, right?\I forget.\Several monsters calling themselves the Clan of the Seafolk\have appeared in City J and are attacking anyone in sight.\A Class A hero fighting them all alone and on the brink of defeat.\His extreme fatigue and pain are apparent\A prompt response from the Hero Association response:	is desperately needed.
context: called itself one of the Seafolk, right?\I forget.\Several monsters calling themselves the Clan of the Seafolk\have appeared in City J and are attacking anyone in sight.\A Class A hero fighting them all alone and on the brink of defeat.\His extreme fatigue and pain are apparent\A prompt response from the Hero Association\is desperately needed. response:	Hang on!
context: I forget.\Several monsters calling themselves the Clan of the Seafolk\have appeared in City J and are attacking anyone in sight.\A Class A hero fighting them all alone and on the brink of defeat.\His extreme fatigue and pain are apparent\A prompt response from the Hero Association\is desperately needed.\Hang on! response:	The threat level is Tiger.
context: Several monsters calling themselves the Clan of the Seafolk\have appeared in City J and are attacking anyone in sight.\A Class A hero fighting them all alone and on the brink of defeat.\His extreme fatigue and pain are apparent\A prompt response from the Hero Association\is desperately needed.\Hang on!\The threat level is Tiger. response:	All citizens are asked to stay out of the area.
context: have appeared in City J and are attacking anyone in sight.\A Class A hero fighting them all alone and on the brink of defeat.\His extreme fatigue and pain are apparent\A prompt response from the Hero Association\is desperately needed.\Hang on!\The threat level is Tiger.\All citizens are asked to stay out of the area. response:	You've got spunk, you slimy bastards.
context: A Class A hero fighting them all alone and on the brink of defeat.\His extreme fatigue and pain are apparent\A prompt response from the Hero Association\is desperately needed.\Hang on!\The threat level is Tiger.\All citizens are asked to stay out of the area.\You've got spunk, you slimy bastards. response:	My beloved Bamboo Shoot here
context: His extreme fatigue and pain are apparent\A prompt response from the Hero Association\is desperately needed.\Hang on!\The threat level is Tiger.\All citizens are asked to stay out of the area.\You've got spunk, you slimy bastards.\My beloved Bamboo Shoot here response:	is happy to be battling enemies with some grit for a change.
context: A prompt response from the Hero Association\is desperately needed.\Hang on!\The threat level is Tiger.\All citizens are asked to stay out of the area.\You've got spunk, you slimy bastards.\My beloved Bamboo Shoot here\is happy to be battling enemies with some grit for a change. response:	But it's time to end this.
context: is desperately needed.\Hang on!\The threat level is Tiger.\All citizens are asked to stay out of the area.\You've got spunk, you slimy bastards.\My beloved Bamboo Shoot here\is happy to be battling enemies with some grit for a change.\But it's time to end this. response:	You can quit your boasting, human!
context: Hang on!\The threat level is Tiger.\All citizens are asked to stay out of the area.\You've got spunk, you slimy bastards.\My beloved Bamboo Shoot here\is happy to be battling enemies with some grit for a change.\But it's time to end this.\You can quit your boasting, human! response:	Your foolish fan club has run off.
context: The threat level is Tiger.\All citizens are asked to stay out of the area.\You've got spunk, you slimy bastards.\My beloved Bamboo Shoot here\is happy to be battling enemies with some grit for a change.\But it's time to end this.\You can quit your boasting, human!\Your foolish fan club has run off. response:	But your death will not be easy.
context: All citizens are asked to stay out of the area.\You've got spunk, you slimy bastards.\My beloved Bamboo Shoot here\is happy to be battling enemies with some grit for a change.\But it's time to end this.\You can quit your boasting, human!\Your foolish fan club has run off.\But your death will not be easy. response:	For the taking of our brothers' lives, long will we cause you to suffer.
context: You've got spunk, you slimy bastards.\My beloved Bamboo Shoot here\is happy to be battling enemies with some grit for a change.\But it's time to end this.\You can quit your boasting, human!\Your foolish fan club has run off.\But your death will not be easy.\For the taking of our brothers' lives, long will we cause you to suffer. response:	Four fish to go!
context: My beloved Bamboo Shoot here\is happy to be battling enemies with some grit for a change.\But it's time to end this.\You can quit your boasting, human!\Your foolish fan club has run off.\But your death will not be easy.\For the taking of our brothers' lives, long will we cause you to suffer.\Four fish to go! response:	It's a lot easier without an audience!
context: is happy to be battling enemies with some grit for a change.\But it's time to end this.\You can quit your boasting, human!\Your foolish fan club has run off.\But your death will not be easy.\For the taking of our brothers' lives, long will we cause you to suffer.\Four fish to go!\It's a lot easier without an audience! response:	Sing, Bamboo Shoot!
context: But it's time to end this.\You can quit your boasting, human!\Your foolish fan club has run off.\But your death will not be easy.\For the taking of our brothers' lives, long will we cause you to suffer.\Four fish to go!\It's a lot easier without an audience!\Sing, Bamboo Shoot! response:	Gigantic Drill Stinger Quadruple Thrust!
context: You can quit your boasting, human!\Your foolish fan club has run off.\But your death will not be easy.\For the taking of our brothers' lives, long will we cause you to suffer.\Four fish to go!\It's a lot easier without an audience!\Sing, Bamboo Shoot!\Gigantic Drill Stinger Quadruple Thrust! response:	I did it
context: Your foolish fan club has run off.\But your death will not be easy.\For the taking of our brothers' lives, long will we cause you to suffer.\Four fish to go!\It's a lot easier without an audience!\Sing, Bamboo Shoot!\Gigantic Drill Stinger Quadruple Thrust!\I did it response:	I did it!
context: But your death will not be easy.\For the taking of our brothers' lives, long will we cause you to suffer.\Four fish to go!\It's a lot easier without an audience!\Sing, Bamboo Shoot!\Gigantic Drill Stinger Quadruple Thrust!\I did it\I did it! response:	These monsters were probably a God-level threat
context: For the taking of our brothers' lives, long will we cause you to suffer.\Four fish to go!\It's a lot easier without an audience!\Sing, Bamboo Shoot!\Gigantic Drill Stinger Quadruple Thrust!\I did it\I did it!\These monsters were probably a God-level threat response:	and I defeated them all by my
context: Four fish to go!\It's a lot easier without an audience!\Sing, Bamboo Shoot!\Gigantic Drill Stinger Quadruple Thrust!\I did it\I did it!\These monsters were probably a God-level threat\and I defeated them all by my response:	You know, when something's so annoying,
context: It's a lot easier without an audience!\Sing, Bamboo Shoot!\Gigantic Drill Stinger Quadruple Thrust!\I did it\I did it!\These monsters were probably a God-level threat\and I defeated them all by my\You know, when something's so annoying, response:	it is a pleasure to watch it die.
context: Sing, Bamboo Shoot!\Gigantic Drill Stinger Quadruple Thrust!\I did it\I did it!\These monsters were probably a God-level threat\and I defeated them all by my\You know, when something's so annoying,\it is a pleasure to watch it die. response:	How much farther is City J?
context: Gigantic Drill Stinger Quadruple Thrust!\I did it\I did it!\These monsters were probably a God-level threat\and I defeated them all by my\You know, when something's so annoying,\it is a pleasure to watch it die.\How much farther is City J? response:	We are almost there.
context: I did it\I did it!\These monsters were probably a God-level threat\and I defeated them all by my\You know, when something's so annoying,\it is a pleasure to watch it die.\How much farther is City J?\We are almost there. response:	But I am getting no readings.
context: I did it!\These monsters were probably a God-level threat\and I defeated them all by my\You know, when something's so annoying,\it is a pleasure to watch it die.\How much farther is City J?\We are almost there.\But I am getting no readings. response:	I will scout ahead.
context: These monsters were probably a God-level threat\and I defeated them all by my\You know, when something's so annoying,\it is a pleasure to watch it die.\How much farther is City J?\We are almost there.\But I am getting no readings.\I will scout ahead. response:	Once I have confirmed their location, I will let you know.
context: and I defeated them all by my\You know, when something's so annoying,\it is a pleasure to watch it die.\How much farther is City J?\We are almost there.\But I am getting no readings.\I will scout ahead.\Once I have confirmed their location, I will let you know. response:	Ohhey!
context: You know, when something's so annoying,\it is a pleasure to watch it die.\How much farther is City J?\We are almost there.\But I am getting no readings.\I will scout ahead.\Once I have confirmed their location, I will let you know.\Ohhey! response:	This is an announcement from the Hero Association.
context: it is a pleasure to watch it die.\How much farther is City J?\We are almost there.\But I am getting no readings.\I will scout ahead.\Once I have confirmed their location, I will let you know.\Ohhey!\This is an announcement from the Hero Association. response:	The threat level is Tiger.
context: How much farther is City J?\We are almost there.\But I am getting no readings.\I will scout ahead.\Once I have confirmed their location, I will let you know.\Ohhey!\This is an announcement from the Hero Association.\The threat level is Tiger. response:	All citizens, please stay clear of the area.
context: We are almost there.\But I am getting no readings.\I will scout ahead.\Once I have confirmed their location, I will let you know.\Ohhey!\This is an announcement from the Hero Association.\The threat level is Tiger.\All citizens, please stay clear of the area. response:	CITY A - HERO ASSOCIATION HQ
context: But I am getting no readings.\I will scout ahead.\Once I have confirmed their location, I will let you know.\Ohhey!\This is an announcement from the Hero Association.\The threat level is Tiger.\All citizens, please stay clear of the area.\CITY A - HERO ASSOCIATION HQ response:	Was the warning issued?
context: I will scout ahead.\Once I have confirmed their location, I will let you know.\Ohhey!\This is an announcement from the Hero Association.\The threat level is Tiger.\All citizens, please stay clear of the area.\CITY A - HERO ASSOCIATION HQ\Was the warning issued? response:	The request just went out.
context: Once I have confirmed their location, I will let you know.\Ohhey!\This is an announcement from the Hero Association.\The threat level is Tiger.\All citizens, please stay clear of the area.\CITY A - HERO ASSOCIATION HQ\Was the warning issued?\The request just went out. response:	We'll need to update it and re-issue.
context: Ohhey!\This is an announcement from the Hero Association.\The threat level is Tiger.\All citizens, please stay clear of the area.\CITY A - HERO ASSOCIATION HQ\Was the warning issued?\The request just went out.\We'll need to update it and re-issue. response:	What do you mean?
context: This is an announcement from the Hero Association.\The threat level is Tiger.\All citizens, please stay clear of the area.\CITY A - HERO ASSOCIATION HQ\Was the warning issued?\The request just went out.\We'll need to update it and re-issue.\What do you mean? response:	Stinger is down.
context: The threat level is Tiger.\All citizens, please stay clear of the area.\CITY A - HERO ASSOCIATION HQ\Was the warning issued?\The request just went out.\We'll need to update it and re-issue.\What do you mean?\Stinger is down. response:	Mumen Rider here. I'm heading in.
context: All citizens, please stay clear of the area.\CITY A - HERO ASSOCIATION HQ\Was the warning issued?\The request just went out.\We'll need to update it and re-issue.\What do you mean?\Stinger is down.\Mumen Rider here. I'm heading in. response:	Give me the location.
context: CITY A - HERO ASSOCIATION HQ\Was the warning issued?\The request just went out.\We'll need to update it and re-issue.\What do you mean?\Stinger is down.\Mumen Rider here. I'm heading in.\Give me the location. response:	All lines are busy at this time
context: Was the warning issued?\The request just went out.\We'll need to update it and re-issue.\What do you mean?\Stinger is down.\Mumen Rider here. I'm heading in.\Give me the location.\All lines are busy at this time response:	Where are they? Hey, best forget it!
context: The request just went out.\We'll need to update it and re-issue.\What do you mean?\Stinger is down.\Mumen Rider here. I'm heading in.\Give me the location.\All lines are busy at this time\Where are they? Hey, best forget it! response:	Class C heroes can't handle this one.
context: We'll need to update it and re-issue.\What do you mean?\Stinger is down.\Mumen Rider here. I'm heading in.\Give me the location.\All lines are busy at this time\Where are they? Hey, best forget it!\Class C heroes can't handle this one. response:	Huh? The word just came down.
context: What do you mean?\Stinger is down.\Mumen Rider here. I'm heading in.\Give me the location.\All lines are busy at this time\Where are they? Hey, best forget it!\Class C heroes can't handle this one.\Huh? The word just came down. response:	Emergency evacuation warning.
context: Stinger is down.\Mumen Rider here. I'm heading in.\Give me the location.\All lines are busy at this time\Where are they? Hey, best forget it!\Class C heroes can't handle this one.\Huh? The word just came down.\Emergency evacuation warning. response:	The threat level has been raised from Tiger to Demon.
context: Mumen Rider here. I'm heading in.\Give me the location.\All lines are busy at this time\Where are they? Hey, best forget it!\Class C heroes can't handle this one.\Huh? The word just came down.\Emergency evacuation warning.\The threat level has been raised from Tiger to Demon. response:	All residents of City J, See what I mean?
context: Give me the location.\All lines are busy at this time\Where are they? Hey, best forget it!\Class C heroes can't handle this one.\Huh? The word just came down.\Emergency evacuation warning.\The threat level has been raised from Tiger to Demon.\All residents of City J, See what I mean? response:	please evacuate immediately.
context: All lines are busy at this time\Where are they? Hey, best forget it!\Class C heroes can't handle this one.\Huh? The word just came down.\Emergency evacuation warning.\The threat level has been raised from Tiger to Demon.\All residents of City J, See what I mean?\please evacuate immediately. response:	Hey!
context: Where are they? Hey, best forget it!\Class C heroes can't handle this one.\Huh? The word just came down.\Emergency evacuation warning.\The threat level has been raised from Tiger to Demon.\All residents of City J, See what I mean?\please evacuate immediately.\Hey! response:	I repeat. All residents of City J, please evacuate immediately.
context: Class C heroes can't handle this one.\Huh? The word just came down.\Emergency evacuation warning.\The threat level has been raised from Tiger to Demon.\All residents of City J, See what I mean?\please evacuate immediately.\Hey!\I repeat. All residents of City J, please evacuate immediately. response:	Evacuate?
context: Huh? The word just came down.\Emergency evacuation warning.\The threat level has been raised from Tiger to Demon.\All residents of City J, See what I mean?\please evacuate immediately.\Hey!\I repeat. All residents of City J, please evacuate immediately.\Evacuate? response:	How foolish.
context: Emergency evacuation warning.\The threat level has been raised from Tiger to Demon.\All residents of City J, See what I mean?\please evacuate immediately.\Hey!\I repeat. All residents of City J, please evacuate immediately.\Evacuate?\How foolish. response:	As if I'd allow even one of these apes to escape.
context: The threat level has been raised from Tiger to Demon.\All residents of City J, See what I mean?\please evacuate immediately.\Hey!\I repeat. All residents of City J, please evacuate immediately.\Evacuate?\How foolish.\As if I'd allow even one of these apes to escape. response:	So that's the one that got Stinger
context: All residents of City J, See what I mean?\please evacuate immediately.\Hey!\I repeat. All residents of City J, please evacuate immediately.\Evacuate?\How foolish.\As if I'd allow even one of these apes to escape.\So that's the one that got Stinger response:	But he's the last of'em.
context: please evacuate immediately.\Hey!\I repeat. All residents of City J, please evacuate immediately.\Evacuate?\How foolish.\As if I'd allow even one of these apes to escape.\So that's the one that got Stinger\But he's the last of'em. response:	Should I wait for backup?
context: Hey!\I repeat. All residents of City J, please evacuate immediately.\Evacuate?\How foolish.\As if I'd allow even one of these apes to escape.\So that's the one that got Stinger\But he's the last of'em.\Should I wait for backup? response:	If it's one-on-one, maybe I can
context: I repeat. All residents of City J, please evacuate immediately.\Evacuate?\How foolish.\As if I'd allow even one of these apes to escape.\So that's the one that got Stinger\But he's the last of'em.\Should I wait for backup?\If it's one-on-one, maybe I can response:	That smarts.
context: Evacuate?\How foolish.\As if I'd allow even one of these apes to escape.\So that's the one that got Stinger\But he's the last of'em.\Should I wait for backup?\If it's one-on-one, maybe I can\That smarts. response:	Why would you do this?
context: How foolish.\As if I'd allow even one of these apes to escape.\So that's the one that got Stinger\But he's the last of'em.\Should I wait for backup?\If it's one-on-one, maybe I can\That smarts.\Why would you do this? response:	Dammit, how'd he get behind me?
context: As if I'd allow even one of these apes to escape.\So that's the one that got Stinger\But he's the last of'em.\Should I wait for backup?\If it's one-on-one, maybe I can\That smarts.\Why would you do this?\Dammit, how'd he get behind me? response:	I was so surprised my voice went all funky.
context: So that's the one that got Stinger\But he's the last of'em.\Should I wait for backup?\If it's one-on-one, maybe I can\That smarts.\Why would you do this?\Dammit, how'd he get behind me?\I was so surprised my voice went all funky. response:	Plus, my gunpowder-charged lightning kick had zero effect!
context: But he's the last of'em.\Should I wait for backup?\If it's one-on-one, maybe I can\That smarts.\Why would you do this?\Dammit, how'd he get behind me?\I was so surprised my voice went all funky.\Plus, my gunpowder-charged lightning kick had zero effect! response:	I can't win.
context: Should I wait for backup?\If it's one-on-one, maybe I can\That smarts.\Why would you do this?\Dammit, how'd he get behind me?\I was so surprised my voice went all funky.\Plus, my gunpowder-charged lightning kick had zero effect!\I can't win. response:	Who are you?
context: If it's one-on-one, maybe I can\That smarts.\Why would you do this?\Dammit, how'd he get behind me?\I was so surprised my voice went all funky.\Plus, my gunpowder-charged lightning kick had zero effect!\I can't win.\Who are you? response:	I am
context: That smarts.\Why would you do this?\Dammit, how'd he get behind me?\I was so surprised my voice went all funky.\Plus, my gunpowder-charged lightning kick had zero effect!\I can't win.\Who are you?\I am response:	Lightning Max, the hero
context: Why would you do this?\Dammit, how'd he get behind me?\I was so surprised my voice went all funky.\Plus, my gunpowder-charged lightning kick had zero effect!\I can't win.\Who are you?\I am\Lightning Max, the hero response:	Fight me.
context: Dammit, how'd he get behind me?\I was so surprised my voice went all funky.\Plus, my gunpowder-charged lightning kick had zero effect!\I can't win.\Who are you?\I am\Lightning Max, the hero\Fight me. response:	Fight you? Of course.
context: I was so surprised my voice went all funky.\Plus, my gunpowder-charged lightning kick had zero effect!\I can't win.\Who are you?\I am\Lightning Max, the hero\Fight me.\Fight you? Of course. response:	I'll run for it as soon as
context: Plus, my gunpowder-charged lightning kick had zero effect!\I can't win.\Who are you?\I am\Lightning Max, the hero\Fight me.\Fight you? Of course.\I'll run for it as soon as response:	What happened?
context: I can't win.\Who are you?\I am\Lightning Max, the hero\Fight me.\Fight you? Of course.\I'll run for it as soon as\What happened? response:	I can't feel my body
context: Who are you?\I am\Lightning Max, the hero\Fight me.\Fight you? Of course.\I'll run for it as soon as\What happened?\I can't feel my body response:	Dammit.
context: I am\Lightning Max, the hero\Fight me.\Fight you? Of course.\I'll run for it as soon as\What happened?\I can't feel my body\Dammit. response:	You arrogant
context: Lightning Max, the hero\Fight me.\Fight you? Of course.\I'll run for it as soon as\What happened?\I can't feel my body\Dammit.\You arrogant response:	Lightning Flying Backwards Roundhouse Kick!
context: Fight me.\Fight you? Of course.\I'll run for it as soon as\What happened?\I can't feel my body\Dammit.\You arrogant\Lightning Flying Backwards Roundhouse Kick! response:	Class S hero,
context: Fight you? Of course.\I'll run for it as soon as\What happened?\I can't feel my body\Dammit.\You arrogant\Lightning Flying Backwards Roundhouse Kick!\Class S hero, response:	Puri-puri Prisoner.
context: I'll run for it as soon as\What happened?\I can't feel my body\Dammit.\You arrogant\Lightning Flying Backwards Roundhouse Kick!\Class S hero,\Puri-puri Prisoner. response:	I escaped from prison just to see you!
context: What happened?\I can't feel my body\Dammit.\You arrogant\Lightning Flying Backwards Roundhouse Kick!\Class S hero,\Puri-puri Prisoner.\I escaped from prison just to see you! response:	Well, well.
context: I can't feel my body\Dammit.\You arrogant\Lightning Flying Backwards Roundhouse Kick!\Class S hero,\Puri-puri Prisoner.\I escaped from prison just to see you!\Well, well. response:	A hero serving time in prison?
