context: What the hell is this? response:	Work, damn sensors!
context: It'll call us.\O-Of course I knew that.\I messed up right off the bat.\Not off to a good start.\But...\What are you doing?\Huh?\O-Oh. response:	You're going to tutor us, aren't you?
context: O-Of course I knew that.\I messed up right off the bat.\Not off to a good start.\But...\What are you doing?\Huh?\O-Oh.\You're going to tutor us, aren't you? response:	The Quintessential Quintuplets
context: I messed up right off the bat.\Not off to a good start.\But...\What are you doing?\Huh?\O-Oh.\You're going to tutor us, aren't you?\The Quintessential Quintuplets response:	The Quintessential Quintuplets
context: Not off to a good start.\But...\What are you doing?\Huh?\O-Oh.\You're going to tutor us, aren't you?\The Quintessential Quintuplets\The Quintessential Quintuplets response:	The Quint es sen tial Quin tup lets
context: But...\What are you doing?\Huh?\O-Oh.\You're going to tutor us, aren't you?\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets response:	The Quintessential Quintuplets
context: What are you doing?\Huh?\O-Oh.\You're going to tutor us, aren't you?\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets response:	So you had to come.
context: Huh?\O-Oh.\You're going to tutor us, aren't you?\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\So you had to come. response:	Hey.
context: O-Oh.\You're going to tutor us, aren't you?\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\So you had to come.\Hey. response:	Uh...
context: You're going to tutor us, aren't you?\The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\So you had to come.\Hey.\Uh... response:	It should be around here somewhere.
context: The Quintessential Quintuplets\The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\So you had to come.\Hey.\Uh...\It should be around here somewhere. response:	The white one, right?
context: The Quintessential Quintuplets\The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\So you had to come.\Hey.\Uh...\It should be around here somewhere.\The white one, right? response:	Sorry.
context: The Quint es sen tial Quin tup lets\The Quintessential Quintuplets\So you had to come.\Hey.\Uh...\It should be around here somewhere.\The white one, right?\Sorry. response:	Why are you in bed past noon?
context: The Quintessential Quintuplets\So you had to come.\Hey.\Uh...\It should be around here somewhere.\The white one, right?\Sorry.\Why are you in bed past noon? response:	This is yours, Ichika?
context: So you had to come.\Hey.\Uh...\It should be around here somewhere.\The white one, right?\Sorry.\Why are you in bed past noon?\This is yours, Ichika? response:	S-So grown-up.
context: Hey.\Uh...\It should be around here somewhere.\The white one, right?\Sorry.\Why are you in bed past noon?\This is yours, Ichika?\S-So grown-up. response:	We have the same face.
context: Uh...\It should be around here somewhere.\The white one, right?\Sorry.\Why are you in bed past noon?\This is yours, Ichika?\S-So grown-up.\We have the same face. response:	You'd probably look good in it, too.
context: It should be around here somewhere.\The white one, right?\Sorry.\Why are you in bed past noon?\This is yours, Ichika?\S-So grown-up.\We have the same face.\You'd probably look good in it, too. response:	You should throw out the underwear you've had since elementary school.
context: The white one, right?\Sorry.\Why are you in bed past noon?\This is yours, Ichika?\S-So grown-up.\We have the same face.\You'd probably look good in it, too.\You should throw out the underwear you've had since elementary school. response:	U-Uesugi-san's here!
context: Sorry.\Why are you in bed past noon?\This is yours, Ichika?\S-So grown-up.\We have the same face.\You'd probably look good in it, too.\You should throw out the underwear you've had since elementary school.\U-Uesugi-san's here! response:	Shh!
context: Why are you in bed past noon?\This is yours, Ichika?\S-So grown-up.\We have the same face.\You'd probably look good in it, too.\You should throw out the underwear you've had since elementary school.\U-Uesugi-san's here!\Shh! response:	So...
context: This is yours, Ichika?\S-So grown-up.\We have the same face.\You'd probably look good in it, too.\You should throw out the underwear you've had since elementary school.\U-Uesugi-san's here!\Shh!\So... response:	What do you think, Uesugi-san?
context: S-So grown-up.\We have the same face.\You'd probably look good in it, too.\You should throw out the underwear you've had since elementary school.\U-Uesugi-san's here!\Shh!\So...\What do you think, Uesugi-san? response:	Do you think I'd...
context: We have the same face.\You'd probably look good in it, too.\You should throw out the underwear you've had since elementary school.\U-Uesugi-san's here!\Shh!\So...\What do you think, Uesugi-san?\Do you think I'd... response:	I don't care. Just get changed.
context: You'd probably look good in it, too.\You should throw out the underwear you've had since elementary school.\U-Uesugi-san's here!\Shh!\So...\What do you think, Uesugi-san?\Do you think I'd...\I don't care. Just get changed. response:	I don't need your opinion, anyway! I bet you know nothing about fashion!
context: You should throw out the underwear you've had since elementary school.\U-Uesugi-san's here!\Shh!\So...\What do you think, Uesugi-san?\Do you think I'd...\I don't care. Just get changed.\I don't need your opinion, anyway! I bet you know nothing about fashion! response:	Okay, we're all set.
context: U-Uesugi-san's here!\Shh!\So...\What do you think, Uesugi-san?\Do you think I'd...\I don't care. Just get changed.\I don't need your opinion, anyway! I bet you know nothing about fashion!\Okay, we're all set. response:	Let's start studying.
context: Shh!\So...\What do you think, Uesugi-san?\Do you think I'd...\I don't care. Just get changed.\I don't need your opinion, anyway! I bet you know nothing about fashion!\Okay, we're all set.\Let's start studying. response:	I think I'll watch.
context: So...\What do you think, Uesugi-san?\Do you think I'd...\I don't care. Just get changed.\I don't need your opinion, anyway! I bet you know nothing about fashion!\Okay, we're all set.\Let's start studying.\I think I'll watch. response:	Teach us Japanese history like you said you would.
context: What do you think, Uesugi-san?\Do you think I'd...\I don't care. Just get changed.\I don't need your opinion, anyway! I bet you know nothing about fashion!\Okay, we're all set.\Let's start studying.\I think I'll watch.\Teach us Japanese history like you said you would. response:	I'm just going to be studying on my own here, so don't mind me.
context: Do you think I'd...\I don't care. Just get changed.\I don't need your opinion, anyway! I bet you know nothing about fashion!\Okay, we're all set.\Let's start studying.\I think I'll watch.\Teach us Japanese history like you said you would.\I'm just going to be studying on my own here, so don't mind me. response:	There are plenty of problems,
context: I don't care. Just get changed.\I don't need your opinion, anyway! I bet you know nothing about fashion!\Okay, we're all set.\Let's start studying.\I think I'll watch.\Teach us Japanese history like you said you would.\I'm just going to be studying on my own here, so don't mind me.\There are plenty of problems, response:	but compared to the beginning, this is huge progress.
context: I don't need your opinion, anyway! I bet you know nothing about fashion!\Okay, we're all set.\Let's start studying.\I think I'll watch.\Teach us Japanese history like you said you would.\I'm just going to be studying on my own here, so don't mind me.\There are plenty of problems,\but compared to the beginning, this is huge progress. response:	Hey! Wait!
context: Okay, we're all set.\Let's start studying.\I think I'll watch.\Teach us Japanese history like you said you would.\I'm just going to be studying on my own here, so don't mind me.\There are plenty of problems,\but compared to the beginning, this is huge progress.\Hey! Wait! response:	They're human, too.
context: Let's start studying.\I think I'll watch.\Teach us Japanese history like you said you would.\I'm just going to be studying on my own here, so don't mind me.\There are plenty of problems,\but compared to the beginning, this is huge progress.\Hey! Wait!\They're human, too. response:	Be nice to them, and we can reach an understanding.
context: I think I'll watch.\Teach us Japanese history like you said you would.\I'm just going to be studying on my own here, so don't mind me.\There are plenty of problems,\but compared to the beginning, this is huge progress.\Hey! Wait!\They're human, too.\Be nice to them, and we can reach an understanding. response:	Okay, let's get started.
context: Teach us Japanese history like you said you would.\I'm just going to be studying on my own here, so don't mind me.\There are plenty of problems,\but compared to the beginning, this is huge progress.\Hey! Wait!\They're human, too.\Be nice to them, and we can reach an understanding.\Okay, let's get started. response:	You're still here?
context: I'm just going to be studying on my own here, so don't mind me.\There are plenty of problems,\but compared to the beginning, this is huge progress.\Hey! Wait!\They're human, too.\Be nice to them, and we can reach an understanding.\Okay, let's get started.\You're still here? response:	Still haven't given up on tutoring, huh?
context: There are plenty of problems,\but compared to the beginning, this is huge progress.\Hey! Wait!\They're human, too.\Be nice to them, and we can reach an understanding.\Okay, let's get started.\You're still here?\Still haven't given up on tutoring, huh? response:	I hope you don't fall asleep like you did last time.
context: but compared to the beginning, this is huge progress.\Hey! Wait!\They're human, too.\Be nice to them, and we can reach an understanding.\Okay, let's get started.\You're still here?\Still haven't given up on tutoring, huh?\I hope you don't fall asleep like you did last time. response:	That was because you drugged me.
context: Hey! Wait!\They're human, too.\Be nice to them, and we can reach an understanding.\Okay, let's get started.\You're still here?\Still haven't given up on tutoring, huh?\I hope you don't fall asleep like you did last time.\That was because you drugged me. response:	Oh, shoot. Be nice.
context: They're human, too.\Be nice to them, and we can reach an understanding.\Okay, let's get started.\You're still here?\Still haven't given up on tutoring, huh?\I hope you don't fall asleep like you did last time.\That was because you drugged me.\Oh, shoot. Be nice. response:	Gotta be nice.
context: Be nice to them, and we can reach an understanding.\Okay, let's get started.\You're still here?\Still haven't given up on tutoring, huh?\I hope you don't fall asleep like you did last time.\That was because you drugged me.\Oh, shoot. Be nice.\Gotta be nice. response:	How about it?
context: Okay, let's get started.\You're still here?\Still haven't given up on tutoring, huh?\I hope you don't fall asleep like you did last time.\That was because you drugged me.\Oh, shoot. Be nice.\Gotta be nice.\How about it? response:	Would you like to join us, Nino?
context: You're still here?\Still haven't given up on tutoring, huh?\I hope you don't fall asleep like you did last time.\That was because you drugged me.\Oh, shoot. Be nice.\Gotta be nice.\How about it?\Would you like to join us, Nino? response:	Over my dead body.
context: Still haven't given up on tutoring, huh?\I hope you don't fall asleep like you did last time.\That was because you drugged me.\Oh, shoot. Be nice.\Gotta be nice.\How about it?\Would you like to join us, Nino?\Over my dead body. response:	Guess I'll have to be content with four for now.
context: I hope you don't fall asleep like you did last time.\That was because you drugged me.\Oh, shoot. Be nice.\Gotta be nice.\How about it?\Would you like to join us, Nino?\Over my dead body.\Guess I'll have to be content with four for now. response:	All right. Let's go without her for today.
context: That was because you drugged me.\Oh, shoot. Be nice.\Gotta be nice.\How about it?\Would you like to join us, Nino?\Over my dead body.\Guess I'll have to be content with four for now.\All right. Let's go without her for today. response:	Okay.
context: Oh, shoot. Be nice.\Gotta be nice.\How about it?\Would you like to join us, Nino?\Over my dead body.\Guess I'll have to be content with four for now.\All right. Let's go without her for today.\Okay. response:	Oh yeah, Yotsuba,
context: Gotta be nice.\How about it?\Would you like to join us, Nino?\Over my dead body.\Guess I'll have to be content with four for now.\All right. Let's go without her for today.\Okay.\Oh yeah, Yotsuba, response:	my acquaintance on the basketball team is looking for someone to fill in for a game.
context: How about it?\Would you like to join us, Nino?\Over my dead body.\Guess I'll have to be content with four for now.\All right. Let's go without her for today.\Okay.\Oh yeah, Yotsuba,\my acquaintance on the basketball team is looking for someone to fill in for a game. response:	You're pretty athletic. Why don't you go right now?
context: Would you like to join us, Nino?\Over my dead body.\Guess I'll have to be content with four for now.\All right. Let's go without her for today.\Okay.\Oh yeah, Yotsuba,\my acquaintance on the basketball team is looking for someone to fill in for a game.\You're pretty athletic. Why don't you go right now? response:	R-Right now?
context: Over my dead body.\Guess I'll have to be content with four for now.\All right. Let's go without her for today.\Okay.\Oh yeah, Yotsuba,\my acquaintance on the basketball team is looking for someone to fill in for a game.\You're pretty athletic. Why don't you go right now?\R-Right now? response:	Um...
context: Guess I'll have to be content with four for now.\All right. Let's go without her for today.\Okay.\Oh yeah, Yotsuba,\my acquaintance on the basketball team is looking for someone to fill in for a game.\You're pretty athletic. Why don't you go right now?\R-Right now?\Um... response:	But...
context: All right. Let's go without her for today.\Okay.\Oh yeah, Yotsuba,\my acquaintance on the basketball team is looking for someone to fill in for a game.\You're pretty athletic. Why don't you go right now?\R-Right now?\Um...\But... response:	Apparently, they only have five members, and one of them broke a bone.
context: Okay.\Oh yeah, Yotsuba,\my acquaintance on the basketball team is looking for someone to fill in for a game.\You're pretty athletic. Why don't you go right now?\R-Right now?\Um...\But...\Apparently, they only have five members, and one of them broke a bone. response:	They won't be able to play if they don't find someone.
context: Oh yeah, Yotsuba,\my acquaintance on the basketball team is looking for someone to fill in for a game.\You're pretty athletic. Why don't you go right now?\R-Right now?\Um...\But...\Apparently, they only have five members, and one of them broke a bone.\They won't be able to play if they don't find someone. response:	I feel so bad for them.
context: my acquaintance on the basketball team is looking for someone to fill in for a game.\You're pretty athletic. Why don't you go right now?\R-Right now?\Um...\But...\Apparently, they only have five members, and one of them broke a bone.\They won't be able to play if they don't find someone.\I feel so bad for them. response:	You wouldn't, would you?
context: You're pretty athletic. Why don't you go right now?\R-Right now?\Um...\But...\Apparently, they only have five members, and one of them broke a bone.\They won't be able to play if they don't find someone.\I feel so bad for them.\You wouldn't, would you? response:	They must have practiced so hard.
context: R-Right now?\Um...\But...\Apparently, they only have five members, and one of them broke a bone.\They won't be able to play if they don't find someone.\I feel so bad for them.\You wouldn't, would you?\They must have practiced so hard. response:	Poor team.
context: Um...\But...\Apparently, they only have five members, and one of them broke a bone.\They won't be able to play if they don't find someone.\I feel so bad for them.\You wouldn't, would you?\They must have practiced so hard.\Poor team. response:	Yotsuba?
context: But...\Apparently, they only have five members, and one of them broke a bone.\They won't be able to play if they don't find someone.\I feel so bad for them.\You wouldn't, would you?\They must have practiced so hard.\Poor team.\Yotsuba? response:	I'm sorry, Uesugi-san.
context: Apparently, they only have five members, and one of them broke a bone.\They won't be able to play if they don't find someone.\I feel so bad for them.\You wouldn't, would you?\They must have practiced so hard.\Poor team.\Yotsuba?\I'm sorry, Uesugi-san. response:	I can't just abandon people in need!
context: They won't be able to play if they don't find someone.\I feel so bad for them.\You wouldn't, would you?\They must have practiced so hard.\Poor team.\Yotsuba?\I'm sorry, Uesugi-san.\I can't just abandon people in need! response:	You're kidding me.
context: I feel so bad for them.\You wouldn't, would you?\They must have practiced so hard.\Poor team.\Yotsuba?\I'm sorry, Uesugi-san.\I can't just abandon people in need!\You're kidding me. response:	That girl doesn't know how to say no.
context: You wouldn't, would you?\They must have practiced so hard.\Poor team.\Yotsuba?\I'm sorry, Uesugi-san.\I can't just abandon people in need!\You're kidding me.\That girl doesn't know how to say no. response:	Didn't you say you had work at two, Ichika?
context: They must have practiced so hard.\Poor team.\Yotsuba?\I'm sorry, Uesugi-san.\I can't just abandon people in need!\You're kidding me.\That girl doesn't know how to say no.\Didn't you say you had work at two, Ichika? response:	Shoot, I forgot!
context: Poor team.\Yotsuba?\I'm sorry, Uesugi-san.\I can't just abandon people in need!\You're kidding me.\That girl doesn't know how to say no.\Didn't you say you had work at two, Ichika?\Shoot, I forgot! response:	You too, Itsuki.
context: Yotsuba?\I'm sorry, Uesugi-san.\I can't just abandon people in need!\You're kidding me.\That girl doesn't know how to say no.\Didn't you say you had work at two, Ichika?\Shoot, I forgot!\You too, Itsuki. response:	You should go to a quieter place, like the library or something.
context: I'm sorry, Uesugi-san.\I can't just abandon people in need!\You're kidding me.\That girl doesn't know how to say no.\Didn't you say you had work at two, Ichika?\Shoot, I forgot!\You too, Itsuki.\You should go to a quieter place, like the library or something. response:	That's a good idea.
context: I can't just abandon people in need!\You're kidding me.\That girl doesn't know how to say no.\Didn't you say you had work at two, Ichika?\Shoot, I forgot!\You too, Itsuki.\You should go to a quieter place, like the library or something.\That's a good idea. response:	All right! Gather'round, everyone!
context: You're kidding me.\That girl doesn't know how to say no.\Didn't you say you had work at two, Ichika?\Shoot, I forgot!\You too, Itsuki.\You should go to a quieter place, like the library or something.\That's a good idea.\All right! Gather'round, everyone! response:	Let's start studying.
context: That girl doesn't know how to say no.\Didn't you say you had work at two, Ichika?\Shoot, I forgot!\You too, Itsuki.\You should go to a quieter place, like the library or something.\That's a good idea.\All right! Gather'round, everyone!\Let's start studying. response:	Face reality, Futaro. Everyone's gone already.
context: Didn't you say you had work at two, Ichika?\Shoot, I forgot!\You too, Itsuki.\You should go to a quieter place, like the library or something.\That's a good idea.\All right! Gather'round, everyone!\Let's start studying.\Face reality, Futaro. Everyone's gone already. response:	Damn that Nino, always getting in my way...
context: Shoot, I forgot!\You too, Itsuki.\You should go to a quieter place, like the library or something.\That's a good idea.\All right! Gather'round, everyone!\Let's start studying.\Face reality, Futaro. Everyone's gone already.\Damn that Nino, always getting in my way... response:	What's she trying to pull?
context: You too, Itsuki.\You should go to a quieter place, like the library or something.\That's a good idea.\All right! Gather'round, everyone!\Let's start studying.\Face reality, Futaro. Everyone's gone already.\Damn that Nino, always getting in my way...\What's she trying to pull? response:	Huh?
context: You should go to a quieter place, like the library or something.\That's a good idea.\All right! Gather'round, everyone!\Let's start studying.\Face reality, Futaro. Everyone's gone already.\Damn that Nino, always getting in my way...\What's she trying to pull?\Huh? response:	You're still here, Miku?
context: That's a good idea.\All right! Gather'round, everyone!\Let's start studying.\Face reality, Futaro. Everyone's gone already.\Damn that Nino, always getting in my way...\What's she trying to pull?\Huh?\You're still here, Miku? response:	You owe me a drink from when you accidentally drank mine.
context: All right! Gather'round, everyone!\Let's start studying.\Face reality, Futaro. Everyone's gone already.\Damn that Nino, always getting in my way...\What's she trying to pull?\Huh?\You're still here, Miku?\You owe me a drink from when you accidentally drank mine. response:	I already bought it.
context: Let's start studying.\Face reality, Futaro. Everyone's gone already.\Damn that Nino, always getting in my way...\What's she trying to pull?\Huh?\You're still here, Miku?\You owe me a drink from when you accidentally drank mine.\I already bought it. response:	Okay, let's start the lesson.
context: Face reality, Futaro. Everyone's gone already.\Damn that Nino, always getting in my way...\What's she trying to pull?\Huh?\You're still here, Miku?\You owe me a drink from when you accidentally drank mine.\I already bought it.\Okay, let's start the lesson. response:	All right, let's switch gears.
context: Damn that Nino, always getting in my way...\What's she trying to pull?\Huh?\You're still here, Miku?\You owe me a drink from when you accidentally drank mine.\I already bought it.\Okay, let's start the lesson.\All right, let's switch gears. response:	Matcha Soda
context: What's she trying to pull?\Huh?\You're still here, Miku?\You owe me a drink from when you accidentally drank mine.\I already bought it.\Okay, let's start the lesson.\All right, let's switch gears.\Matcha Soda response:	Matcha Soda?
context: Huh?\You're still here, Miku?\You owe me a drink from when you accidentally drank mine.\I already bought it.\Okay, let's start the lesson.\All right, let's switch gears.\Matcha Soda\Matcha Soda? response:	Hey, Miku!
context: You're still here, Miku?\You owe me a drink from when you accidentally drank mine.\I already bought it.\Okay, let's start the lesson.\All right, let's switch gears.\Matcha Soda\Matcha Soda?\Hey, Miku! response:	Where do we start?
context: You owe me a drink from when you accidentally drank mine.\I already bought it.\Okay, let's start the lesson.\All right, let's switch gears.\Matcha Soda\Matcha Soda?\Hey, Miku!\Where do we start? response:	Why don't we start with the Kamakura period, then?
context: I already bought it.\Okay, let's start the lesson.\All right, let's switch gears.\Matcha Soda\Matcha Soda?\Hey, Miku!\Where do we start?\Why don't we start with the Kamakura period, then? response:	Since when have you two been so close?
context: Okay, let's start the lesson.\All right, let's switch gears.\Matcha Soda\Matcha Soda?\Hey, Miku!\Where do we start?\Why don't we start with the Kamakura period, then?\Since when have you two been so close? response:	So you have a thing for dull-looking guys, huh?
context: All right, let's switch gears.\Matcha Soda\Matcha Soda?\Hey, Miku!\Where do we start?\Why don't we start with the Kamakura period, then?\Since when have you two been so close?\So you have a thing for dull-looking guys, huh? response:	That was savage! Take it back!
context: Matcha Soda\Matcha Soda?\Hey, Miku!\Where do we start?\Why don't we start with the Kamakura period, then?\Since when have you two been so close?\So you have a thing for dull-looking guys, huh?\That was savage! Take it back! response:	You're too hung up on looks, Nino.
context: Matcha Soda?\Hey, Miku!\Where do we start?\Why don't we start with the Kamakura period, then?\Since when have you two been so close?\So you have a thing for dull-looking guys, huh?\That was savage! Take it back!\You're too hung up on looks, Nino. response:	That was low-key savage, too!
context: Hey, Miku!\Where do we start?\Why don't we start with the Kamakura period, then?\Since when have you two been so close?\So you have a thing for dull-looking guys, huh?\That was savage! Take it back!\You're too hung up on looks, Nino.\That was low-key savage, too! response:	What?
context: Where do we start?\Why don't we start with the Kamakura period, then?\Since when have you two been so close?\So you have a thing for dull-looking guys, huh?\That was savage! Take it back!\You're too hung up on looks, Nino.\That was low-key savage, too!\What? response:	What's wrong with going for good-looking guys?
context: Why don't we start with the Kamakura period, then?\Since when have you two been so close?\So you have a thing for dull-looking guys, huh?\That was savage! Take it back!\You're too hung up on looks, Nino.\That was low-key savage, too!\What?\What's wrong with going for good-looking guys? response:	Are you telling me it's all about inner beauty?
context: Since when have you two been so close?\So you have a thing for dull-looking guys, huh?\That was savage! Take it back!\You're too hung up on looks, Nino.\That was low-key savage, too!\What?\What's wrong with going for good-looking guys?\Are you telling me it's all about inner beauty? response:	What if I am?
context: So you have a thing for dull-looking guys, huh?\That was savage! Take it back!\You're too hung up on looks, Nino.\That was low-key savage, too!\What?\What's wrong with going for good-looking guys?\Are you telling me it's all about inner beauty?\What if I am? response:	I see.
context: That was savage! Take it back!\You're too hung up on looks, Nino.\That was low-key savage, too!\What?\What's wrong with going for good-looking guys?\Are you telling me it's all about inner beauty?\What if I am?\I see. response:	It's because you don't care about appearances that you can go out dressed so shabbily.
context: You're too hung up on looks, Nino.\That was low-key savage, too!\What?\What's wrong with going for good-looking guys?\Are you telling me it's all about inner beauty?\What if I am?\I see.\It's because you don't care about appearances that you can go out dressed so shabbily. response:	And those pointy nails are supposed to be fashionable?
context: That was low-key savage, too!\What?\What's wrong with going for good-looking guys?\Are you telling me it's all about inner beauty?\What if I am?\I see.\It's because you don't care about appearances that you can go out dressed so shabbily.\And those pointy nails are supposed to be fashionable? response:	You wouldn't get it, would you?
context: What?\What's wrong with going for good-looking guys?\Are you telling me it's all about inner beauty?\What if I am?\I see.\It's because you don't care about appearances that you can go out dressed so shabbily.\And those pointy nails are supposed to be fashionable?\You wouldn't get it, would you? response:	I don't even want to.
context: What's wrong with going for good-looking guys?\Are you telling me it's all about inner beauty?\What if I am?\I see.\It's because you don't care about appearances that you can go out dressed so shabbily.\And those pointy nails are supposed to be fashionable?\You wouldn't get it, would you?\I don't even want to. response:	C-Come on, you two.
context: Are you telling me it's all about inner beauty?\What if I am?\I see.\It's because you don't care about appearances that you can go out dressed so shabbily.\And those pointy nails are supposed to be fashionable?\You wouldn't get it, would you?\I don't even want to.\C-Come on, you two. response:	You're sisters. Play nice.
context: What if I am?\I see.\It's because you don't care about appearances that you can go out dressed so shabbily.\And those pointy nails are supposed to be fashionable?\You wouldn't get it, would you?\I don't even want to.\C-Come on, you two.\You're sisters. Play nice. response:	Do we really need to argue over inner or outer beauty right now?
context: I see.\It's because you don't care about appearances that you can go out dressed so shabbily.\And those pointy nails are supposed to be fashionable?\You wouldn't get it, would you?\I don't even want to.\C-Come on, you two.\You're sisters. Play nice.\Do we really need to argue over inner or outer beauty right now? response:	I guess not.
context: It's because you don't care about appearances that you can go out dressed so shabbily.\And those pointy nails are supposed to be fashionable?\You wouldn't get it, would you?\I don't even want to.\C-Come on, you two.\You're sisters. Play nice.\Do we really need to argue over inner or outer beauty right now?\I guess not. response:	Just stop being a nuisance.
context: And those pointy nails are supposed to be fashionable?\You wouldn't get it, would you?\I don't even want to.\C-Come on, you two.\You're sisters. Play nice.\Do we really need to argue over inner or outer beauty right now?\I guess not.\Just stop being a nuisance. response:	A nuisance?!
context: You wouldn't get it, would you?\I don't even want to.\C-Come on, you two.\You're sisters. Play nice.\Do we really need to argue over inner or outer beauty right now?\I guess not.\Just stop being a nuisance.\A nuisance?! response:	Guuurgle
context: I don't even want to.\C-Come on, you two.\You're sisters. Play nice.\Do we really need to argue over inner or outer beauty right now?\I guess not.\Just stop being a nuisance.\A nuisance?!\Guuurgle response:	Fine, then. Why don't we compete on inner beauty, as you say?
context: C-Come on, you two.\You're sisters. Play nice.\Do we really need to argue over inner or outer beauty right now?\I guess not.\Just stop being a nuisance.\A nuisance?!\Guuurgle\Fine, then. Why don't we compete on inner beauty, as you say? response:	Let's have a cooking battle to see who's more homely.
context: You're sisters. Play nice.\Do we really need to argue over inner or outer beauty right now?\I guess not.\Just stop being a nuisance.\A nuisance?!\Guuurgle\Fine, then. Why don't we compete on inner beauty, as you say?\Let's have a cooking battle to see who's more homely. response:	Wh-Why?
context: Do we really need to argue over inner or outer beauty right now?\I guess not.\Just stop being a nuisance.\A nuisance?!\Guuurgle\Fine, then. Why don't we compete on inner beauty, as you say?\Let's have a cooking battle to see who's more homely.\Wh-Why? response:	If I win, no studying today.
context: I guess not.\Just stop being a nuisance.\A nuisance?!\Guuurgle\Fine, then. Why don't we compete on inner beauty, as you say?\Let's have a cooking battle to see who's more homely.\Wh-Why?\If I win, no studying today. response:	Y-You're not going to accept, right?
