context: Phil? response:	I'm playing hide-and-seek with Naila and Eugene.
context: We just need...\we can definitely clear the wall.\Next is checking out an escape route.\So this escape has three steps.\One, get over the wall and escape.\Two, get away from this farm safely.\Three, establish a way to survive outside and become self-reliant.\Currently, we have hope of accomplishing the first step. response:	Next is the second step. We need to focus on the outside.
context: we can definitely clear the wall.\Next is checking out an escape route.\So this escape has three steps.\One, get over the wall and escape.\Two, get away from this farm safely.\Three, establish a way to survive outside and become self-reliant.\Currently, we have hope of accomplishing the first step.\Next is the second step. We need to focus on the outside. response:	Evade the pursuers and get away from the farm safely.
context: Next is checking out an escape route.\So this escape has three steps.\One, get over the wall and escape.\Two, get away from this farm safely.\Three, establish a way to survive outside and become self-reliant.\Currently, we have hope of accomplishing the first step.\Next is the second step. We need to focus on the outside.\Evade the pursuers and get away from the farm safely. response:	We need to examine and prepare for that.
context: So this escape has three steps.\One, get over the wall and escape.\Two, get away from this farm safely.\Three, establish a way to survive outside and become self-reliant.\Currently, we have hope of accomplishing the first step.\Next is the second step. We need to focus on the outside.\Evade the pursuers and get away from the farm safely.\We need to examine and prepare for that. response:	First, we need information about the area around the farm.
context: One, get over the wall and escape.\Two, get away from this farm safely.\Three, establish a way to survive outside and become self-reliant.\Currently, we have hope of accomplishing the first step.\Next is the second step. We need to focus on the outside.\Evade the pursuers and get away from the farm safely.\We need to examine and prepare for that.\First, we need information about the area around the farm. response:	Oh, when I climbed up the tree, I saw a forest beyond the wall.
context: Two, get away from this farm safely.\Three, establish a way to survive outside and become self-reliant.\Currently, we have hope of accomplishing the first step.\Next is the second step. We need to focus on the outside.\Evade the pursuers and get away from the farm safely.\We need to examine and prepare for that.\First, we need information about the area around the farm.\Oh, when I climbed up the tree, I saw a forest beyond the wall. response:	Those are the things we need to properly check.
context: Three, establish a way to survive outside and become self-reliant.\Currently, we have hope of accomplishing the first step.\Next is the second step. We need to focus on the outside.\Evade the pursuers and get away from the farm safely.\We need to examine and prepare for that.\First, we need information about the area around the farm.\Oh, when I climbed up the tree, I saw a forest beyond the wall.\Those are the things we need to properly check. response:	We should look into it as soon as tomorrow.
context: Currently, we have hope of accomplishing the first step.\Next is the second step. We need to focus on the outside.\Evade the pursuers and get away from the farm safely.\We need to examine and prepare for that.\First, we need information about the area around the farm.\Oh, when I climbed up the tree, I saw a forest beyond the wall.\Those are the things we need to properly check.\We should look into it as soon as tomorrow. response:	Okay.
context: Next is the second step. We need to focus on the outside.\Evade the pursuers and get away from the farm safely.\We need to examine and prepare for that.\First, we need information about the area around the farm.\Oh, when I climbed up the tree, I saw a forest beyond the wall.\Those are the things we need to properly check.\We should look into it as soon as tomorrow.\Okay. response:	Hey, can I talk about another thing having to do with when we get outside?
context: Evade the pursuers and get away from the farm safely.\We need to examine and prepare for that.\First, we need information about the area around the farm.\Oh, when I climbed up the tree, I saw a forest beyond the wall.\Those are the things we need to properly check.\We should look into it as soon as tomorrow.\Okay.\Hey, can I talk about another thing having to do with when we get outside? response:	I have someone I want to introduce.
context: We need to examine and prepare for that.\First, we need information about the area around the farm.\Oh, when I climbed up the tree, I saw a forest beyond the wall.\Those are the things we need to properly check.\We should look into it as soon as tomorrow.\Okay.\Hey, can I talk about another thing having to do with when we get outside?\I have someone I want to introduce. response:	Sorry, Mom. I'm in a rush!
context: First, we need information about the area around the farm.\Oh, when I climbed up the tree, I saw a forest beyond the wall.\Those are the things we need to properly check.\We should look into it as soon as tomorrow.\Okay.\Hey, can I talk about another thing having to do with when we get outside?\I have someone I want to introduce.\Sorry, Mom. I'm in a rush! response:	Mom, look!
context: Oh, when I climbed up the tree, I saw a forest beyond the wall.\Those are the things we need to properly check.\We should look into it as soon as tomorrow.\Okay.\Hey, can I talk about another thing having to do with when we get outside?\I have someone I want to introduce.\Sorry, Mom. I'm in a rush!\Mom, look! response:	I did it.
context: Those are the things we need to properly check.\We should look into it as soon as tomorrow.\Okay.\Hey, can I talk about another thing having to do with when we get outside?\I have someone I want to introduce.\Sorry, Mom. I'm in a rush!\Mom, look!\I did it. response:	Amazing, right?
context: We should look into it as soon as tomorrow.\Okay.\Hey, can I talk about another thing having to do with when we get outside?\I have someone I want to introduce.\Sorry, Mom. I'm in a rush!\Mom, look!\I did it.\Amazing, right? response:	The person I want to introduce is...
context: Okay.\Hey, can I talk about another thing having to do with when we get outside?\I have someone I want to introduce.\Sorry, Mom. I'm in a rush!\Mom, look!\I did it.\Amazing, right?\The person I want to introduce is... response:	this person.
context: Hey, can I talk about another thing having to do with when we get outside?\I have someone I want to introduce.\Sorry, Mom. I'm in a rush!\Mom, look!\I did it.\Amazing, right?\The person I want to introduce is...\this person. response:	Mr. William Minerva?
context: I have someone I want to introduce.\Sorry, Mom. I'm in a rush!\Mom, look!\I did it.\Amazing, right?\The person I want to introduce is...\this person.\Mr. William Minerva? response:	Yep.
context: Sorry, Mom. I'm in a rush!\Mom, look!\I did it.\Amazing, right?\The person I want to introduce is...\this person.\Mr. William Minerva?\Yep. response:	Who's he?
context: Mom, look!\I did it.\Amazing, right?\The person I want to introduce is...\this person.\Mr. William Minerva?\Yep.\Who's he? response:	I don't know. What I do know is that he's the previous owner of that book.
context: I did it.\Amazing, right?\The person I want to introduce is...\this person.\Mr. William Minerva?\Yep.\Who's he?\I don't know. What I do know is that he's the previous owner of that book. response:	But he could be someone who's on our side.
context: Amazing, right?\The person I want to introduce is...\this person.\Mr. William Minerva?\Yep.\Who's he?\I don't know. What I do know is that he's the previous owner of that book.\But he could be someone who's on our side. response:	What do you mean?
context: The person I want to introduce is...\this person.\Mr. William Minerva?\Yep.\Who's he?\I don't know. What I do know is that he's the previous owner of that book.\But he could be someone who's on our side.\What do you mean? response:	This person has been conveying a certain message through books.
context: this person.\Mr. William Minerva?\Yep.\Who's he?\I don't know. What I do know is that he's the previous owner of that book.\But he could be someone who's on our side.\What do you mean?\This person has been conveying a certain message through books. response:	And not just one book.
context: Mr. William Minerva?\Yep.\Who's he?\I don't know. What I do know is that he's the previous owner of that book.\But he could be someone who's on our side.\What do you mean?\This person has been conveying a certain message through books.\And not just one book. response:	Through many of them!
context: Yep.\Who's he?\I don't know. What I do know is that he's the previous owner of that book.\But he could be someone who's on our side.\What do you mean?\This person has been conveying a certain message through books.\And not just one book.\Through many of them! response:	This symbol is...
context: Who's he?\I don't know. What I do know is that he's the previous owner of that book.\But he could be someone who's on our side.\What do you mean?\This person has been conveying a certain message through books.\And not just one book.\Through many of them!\This symbol is... response:	A bookplate.
context: I don't know. What I do know is that he's the previous owner of that book.\But he could be someone who's on our side.\What do you mean?\This person has been conveying a certain message through books.\And not just one book.\Through many of them!\This symbol is...\A bookplate. response:	A label that indicates the book's owner before it came here.
context: But he could be someone who's on our side.\What do you mean?\This person has been conveying a certain message through books.\And not just one book.\Through many of them!\This symbol is...\A bookplate.\A label that indicates the book's owner before it came here. response:	And what's that certain message?
context: What do you mean?\This person has been conveying a certain message through books.\And not just one book.\Through many of them!\This symbol is...\A bookplate.\A label that indicates the book's owner before it came here.\And what's that certain message? response:	Look carefully.
context: This person has been conveying a certain message through books.\And not just one book.\Through many of them!\This symbol is...\A bookplate.\A label that indicates the book's owner before it came here.\And what's that certain message?\Look carefully. response:	They all look like the same owl.
context: And not just one book.\Through many of them!\This symbol is...\A bookplate.\A label that indicates the book's owner before it came here.\And what's that certain message?\Look carefully.\They all look like the same owl. response:	No.
context: Through many of them!\This symbol is...\A bookplate.\A label that indicates the book's owner before it came here.\And what's that certain message?\Look carefully.\They all look like the same owl.\No. response:	This circle...
context: This symbol is...\A bookplate.\A label that indicates the book's owner before it came here.\And what's that certain message?\Look carefully.\They all look like the same owl.\No.\This circle... response:	Morse code!
context: A bookplate.\A label that indicates the book's owner before it came here.\And what's that certain message?\Look carefully.\They all look like the same owl.\No.\This circle...\Morse code! response:	Correct.
context: A label that indicates the book's owner before it came here.\And what's that certain message?\Look carefully.\They all look like the same owl.\No.\This circle...\Morse code!\Correct. response:	Run.
context: And what's that certain message?\Look carefully.\They all look like the same owl.\No.\This circle...\Morse code!\Correct.\Run. response:	Doubt.
context: Look carefully.\They all look like the same owl.\No.\This circle...\Morse code!\Correct.\Run.\Doubt. response:	Danger.
context: They all look like the same owl.\No.\This circle...\Morse code!\Correct.\Run.\Doubt.\Danger. response:	Truth.
context: No.\This circle...\Morse code!\Correct.\Run.\Doubt.\Danger.\Truth. response:	But with just this...
context: This circle...\Morse code!\Correct.\Run.\Doubt.\Danger.\Truth.\But with just this... response:	What about these?
context: Morse code!\Correct.\Run.\Doubt.\Danger.\Truth.\But with just this...\What about these? response:	Harvest.
context: Correct.\Run.\Doubt.\Danger.\Truth.\But with just this...\What about these?\Harvest. response:	Monster.
context: Run.\Doubt.\Danger.\Truth.\But with just this...\What about these?\Harvest.\Monster. response:	Farm.
context: Doubt.\Danger.\Truth.\But with just this...\What about these?\Harvest.\Monster.\Farm. response:	Farm.
context: Danger.\Truth.\But with just this...\What about these?\Harvest.\Monster.\Farm.\Farm. response:	This is a message from the outside to us, hidden from the demons and the adults.
context: Truth.\But with just this...\What about these?\Harvest.\Monster.\Farm.\Farm.\This is a message from the outside to us, hidden from the demons and the adults. response:	I think we can at least trust that.
context: But with just this...\What about these?\Harvest.\Monster.\Farm.\Farm.\This is a message from the outside to us, hidden from the demons and the adults.\I think we can at least trust that. response:	Trust that?
context: What about these?\Harvest.\Monster.\Farm.\Farm.\This is a message from the outside to us, hidden from the demons and the adults.\I think we can at least trust that.\Trust that? response:	Unlike her, I'm more suspicious.
context: Harvest.\Monster.\Farm.\Farm.\This is a message from the outside to us, hidden from the demons and the adults.\I think we can at least trust that.\Trust that?\Unlike her, I'm more suspicious. response:	This man named Minerva could be an ally to us.
context: Monster.\Farm.\Farm.\This is a message from the outside to us, hidden from the demons and the adults.\I think we can at least trust that.\Trust that?\Unlike her, I'm more suspicious.\This man named Minerva could be an ally to us. response:	But we don't know if he's dead or alive.
context: Farm.\Farm.\This is a message from the outside to us, hidden from the demons and the adults.\I think we can at least trust that.\Trust that?\Unlike her, I'm more suspicious.\This man named Minerva could be an ally to us.\But we don't know if he's dead or alive. response:	We shouldn't get our hopes up too much.
context: Farm.\This is a message from the outside to us, hidden from the demons and the adults.\I think we can at least trust that.\Trust that?\Unlike her, I'm more suspicious.\This man named Minerva could be an ally to us.\But we don't know if he's dead or alive.\We shouldn't get our hopes up too much. response:	Why are you always like that?
context: This is a message from the outside to us, hidden from the demons and the adults.\I think we can at least trust that.\Trust that?\Unlike her, I'm more suspicious.\This man named Minerva could be an ally to us.\But we don't know if he's dead or alive.\We shouldn't get our hopes up too much.\Why are you always like that? response:	William Minerva. This man is outside and knows our farm exists.
context: I think we can at least trust that.\Trust that?\Unlike her, I'm more suspicious.\This man named Minerva could be an ally to us.\But we don't know if he's dead or alive.\We shouldn't get our hopes up too much.\Why are you always like that?\William Minerva. This man is outside and knows our farm exists. response:	And though indirectly, he's trying to help us.
context: Trust that?\Unlike her, I'm more suspicious.\This man named Minerva could be an ally to us.\But we don't know if he's dead or alive.\We shouldn't get our hopes up too much.\Why are you always like that?\William Minerva. This man is outside and knows our farm exists.\And though indirectly, he's trying to help us. response:	Yes!
context: Unlike her, I'm more suspicious.\This man named Minerva could be an ally to us.\But we don't know if he's dead or alive.\We shouldn't get our hopes up too much.\Why are you always like that?\William Minerva. This man is outside and knows our farm exists.\And though indirectly, he's trying to help us.\Yes! response:	There was an ally on the outside. And he might still be there.
context: This man named Minerva could be an ally to us.\But we don't know if he's dead or alive.\We shouldn't get our hopes up too much.\Why are you always like that?\William Minerva. This man is outside and knows our farm exists.\And though indirectly, he's trying to help us.\Yes!\There was an ally on the outside. And he might still be there. response:	If that's true, then there could be a society of humans outside.
context: But we don't know if he's dead or alive.\We shouldn't get our hopes up too much.\Why are you always like that?\William Minerva. This man is outside and knows our farm exists.\And though indirectly, he's trying to help us.\Yes!\There was an ally on the outside. And he might still be there.\If that's true, then there could be a society of humans outside. response:	Exactly!
context: We shouldn't get our hopes up too much.\Why are you always like that?\William Minerva. This man is outside and knows our farm exists.\And though indirectly, he's trying to help us.\Yes!\There was an ally on the outside. And he might still be there.\If that's true, then there could be a society of humans outside.\Exactly! response:	These kinds of messages can only be found in Minerva's books.
context: Why are you always like that?\William Minerva. This man is outside and knows our farm exists.\And though indirectly, he's trying to help us.\Yes!\There was an ally on the outside. And he might still be there.\If that's true, then there could be a society of humans outside.\Exactly!\These kinds of messages can only be found in Minerva's books. response:	I don't know when these labels were attached,
context: William Minerva. This man is outside and knows our farm exists.\And though indirectly, he's trying to help us.\Yes!\There was an ally on the outside. And he might still be there.\If that's true, then there could be a society of humans outside.\Exactly!\These kinds of messages can only be found in Minerva's books.\I don't know when these labels were attached, response:	but I at least know this one was attached after the year 2015.
context: And though indirectly, he's trying to help us.\Yes!\There was an ally on the outside. And he might still be there.\If that's true, then there could be a society of humans outside.\Exactly!\These kinds of messages can only be found in Minerva's books.\I don't know when these labels were attached,\but I at least know this one was attached after the year 2015. response:	I see.
context: Yes!\There was an ally on the outside. And he might still be there.\If that's true, then there could be a society of humans outside.\Exactly!\These kinds of messages can only be found in Minerva's books.\I don't know when these labels were attached,\but I at least know this one was attached after the year 2015.\I see. response:	Is there anything else we could know?
context: There was an ally on the outside. And he might still be there.\If that's true, then there could be a society of humans outside.\Exactly!\These kinds of messages can only be found in Minerva's books.\I don't know when these labels were attached,\but I at least know this one was attached after the year 2015.\I see.\Is there anything else we could know? response:	Like something in common between the contents or the type of books?
context: If that's true, then there could be a society of humans outside.\Exactly!\These kinds of messages can only be found in Minerva's books.\I don't know when these labels were attached,\but I at least know this one was attached after the year 2015.\I see.\Is there anything else we could know?\Like something in common between the contents or the type of books? response:	Not much.
context: Exactly!\These kinds of messages can only be found in Minerva's books.\I don't know when these labels were attached,\but I at least know this one was attached after the year 2015.\I see.\Is there anything else we could know?\Like something in common between the contents or the type of books?\Not much. response:	The genres are varied. The publishers and the years were
context: These kinds of messages can only be found in Minerva's books.\I don't know when these labels were attached,\but I at least know this one was attached after the year 2015.\I see.\Is there anything else we could know?\Like something in common between the contents or the type of books?\Not much.\The genres are varied. The publishers and the years were response:	But what about that thing? Uh, which one was it?
context: I don't know when these labels were attached,\but I at least know this one was attached after the year 2015.\I see.\Is there anything else we could know?\Like something in common between the contents or the type of books?\Not much.\The genres are varied. The publishers and the years were\But what about that thing? Uh, which one was it? response:	I didn't understand the Morse code on these two books.
context: but I at least know this one was attached after the year 2015.\I see.\Is there anything else we could know?\Like something in common between the contents or the type of books?\Not much.\The genres are varied. The publishers and the years were\But what about that thing? Uh, which one was it?\I didn't understand the Morse code on these two books. response:	For the content, one is a typical adventure novel,
context: I see.\Is there anything else we could know?\Like something in common between the contents or the type of books?\Not much.\The genres are varied. The publishers and the years were\But what about that thing? Uh, which one was it?\I didn't understand the Morse code on these two books.\For the content, one is a typical adventure novel, response:	and a mythology book that I didn't really understand.
context: Is there anything else we could know?\Like something in common between the contents or the type of books?\Not much.\The genres are varied. The publishers and the years were\But what about that thing? Uh, which one was it?\I didn't understand the Morse code on these two books.\For the content, one is a typical adventure novel,\and a mythology book that I didn't really understand. response:	There's no Morse code on this.
context: Like something in common between the contents or the type of books?\Not much.\The genres are varied. The publishers and the years were\But what about that thing? Uh, which one was it?\I didn't understand the Morse code on these two books.\For the content, one is a typical adventure novel,\and a mythology book that I didn't really understand.\There's no Morse code on this. response:	And the other one is...
context: Not much.\The genres are varied. The publishers and the years were\But what about that thing? Uh, which one was it?\I didn't understand the Morse code on these two books.\For the content, one is a typical adventure novel,\and a mythology book that I didn't really understand.\There's no Morse code on this.\And the other one is... response:	Promise.
context: The genres are varied. The publishers and the years were\But what about that thing? Uh, which one was it?\I didn't understand the Morse code on these two books.\For the content, one is a typical adventure novel,\and a mythology book that I didn't really understand.\There's no Morse code on this.\And the other one is...\Promise. response:	Promise?
context: But what about that thing? Uh, which one was it?\I didn't understand the Morse code on these two books.\For the content, one is a typical adventure novel,\and a mythology book that I didn't really understand.\There's no Morse code on this.\And the other one is...\Promise.\Promise? response:	Why is this here?
context: I didn't understand the Morse code on these two books.\For the content, one is a typical adventure novel,\and a mythology book that I didn't really understand.\There's no Morse code on this.\And the other one is...\Promise.\Promise?\Why is this here? response:	So it was true, what they said.
context: For the content, one is a typical adventure novel,\and a mythology book that I didn't really understand.\There's no Morse code on this.\And the other one is...\Promise.\Promise?\Why is this here?\So it was true, what they said. response:	Mom was lying. No one was sent to foster families.
context: and a mythology book that I didn't really understand.\There's no Morse code on this.\And the other one is...\Promise.\Promise?\Why is this here?\So it was true, what they said.\Mom was lying. No one was sent to foster families. response:	But why...
context: There's no Morse code on this.\And the other one is...\Promise.\Promise?\Why is this here?\So it was true, what they said.\Mom was lying. No one was sent to foster families.\But why... response:	Because if they were, there's no way this would be here.
context: And the other one is...\Promise.\Promise?\Why is this here?\So it was true, what they said.\Mom was lying. No one was sent to foster families.\But why...\Because if they were, there's no way this would be here. response:	It would have been delivered to Conny.
context: Promise.\Promise?\Why is this here?\So it was true, what they said.\Mom was lying. No one was sent to foster families.\But why...\Because if they were, there's no way this would be here.\It would have been delivered to Conny. response:	It's not just Little Bunny.
context: Promise?\Why is this here?\So it was true, what they said.\Mom was lying. No one was sent to foster families.\But why...\Because if they were, there's no way this would be here.\It would have been delivered to Conny.\It's not just Little Bunny. response:	They were all snatched away from them by Mom when they left,
context: Why is this here?\So it was true, what they said.\Mom was lying. No one was sent to foster families.\But why...\Because if they were, there's no way this would be here.\It would have been delivered to Conny.\It's not just Little Bunny.\They were all snatched away from them by Mom when they left, response:	and they were all taken away by bad people.
context: So it was true, what they said.\Mom was lying. No one was sent to foster families.\But why...\Because if they were, there's no way this would be here.\It would have been delivered to Conny.\It's not just Little Bunny.\They were all snatched away from them by Mom when they left,\and they were all taken away by bad people. response:	Stop it.
context: Mom was lying. No one was sent to foster families.\But why...\Because if they were, there's no way this would be here.\It would have been delivered to Conny.\It's not just Little Bunny.\They were all snatched away from them by Mom when they left,\and they were all taken away by bad people.\Stop it. response:	I think these have a meaning.
context: But why...\Because if they were, there's no way this would be here.\It would have been delivered to Conny.\It's not just Little Bunny.\They were all snatched away from them by Mom when they left,\and they were all taken away by bad people.\Stop it.\I think these have a meaning. response:	Like how one book doesn't have the Morse code, and there were others with ripped pages.
context: Because if they were, there's no way this would be here.\It would have been delivered to Conny.\It's not just Little Bunny.\They were all snatched away from them by Mom when they left,\and they were all taken away by bad people.\Stop it.\I think these have a meaning.\Like how one book doesn't have the Morse code, and there were others with ripped pages. response:	And the message of promise.
context: It would have been delivered to Conny.\It's not just Little Bunny.\They were all snatched away from them by Mom when they left,\and they were all taken away by bad people.\Stop it.\I think these have a meaning.\Like how one book doesn't have the Morse code, and there were others with ripped pages.\And the message of promise. response:	So you think these two books are special?
context: It's not just Little Bunny.\They were all snatched away from them by Mom when they left,\and they were all taken away by bad people.\Stop it.\I think these have a meaning.\Like how one book doesn't have the Morse code, and there were others with ripped pages.\And the message of promise.\So you think these two books are special? response:	Yeah. I feel like...
context: They were all snatched away from them by Mom when they left,\and they were all taken away by bad people.\Stop it.\I think these have a meaning.\Like how one book doesn't have the Morse code, and there were others with ripped pages.\And the message of promise.\So you think these two books are special?\Yeah. I feel like... response:	these will become some kind of an important guide for us.
context: and they were all taken away by bad people.\Stop it.\I think these have a meaning.\Like how one book doesn't have the Morse code, and there were others with ripped pages.\And the message of promise.\So you think these two books are special?\Yeah. I feel like...\these will become some kind of an important guide for us. response:	What's your reasoning?
context: Stop it.\I think these have a meaning.\Like how one book doesn't have the Morse code, and there were others with ripped pages.\And the message of promise.\So you think these two books are special?\Yeah. I feel like...\these will become some kind of an important guide for us.\What's your reasoning? response:	My hunch!
context: I think these have a meaning.\Like how one book doesn't have the Morse code, and there were others with ripped pages.\And the message of promise.\So you think these two books are special?\Yeah. I feel like...\these will become some kind of an important guide for us.\What's your reasoning?\My hunch! response:	Don't give me that look!
context: Like how one book doesn't have the Morse code, and there were others with ripped pages.\And the message of promise.\So you think these two books are special?\Yeah. I feel like...\these will become some kind of an important guide for us.\What's your reasoning?\My hunch!\Don't give me that look! response:	Who is Mom communicating with?
context: And the message of promise.\So you think these two books are special?\Yeah. I feel like...\these will become some kind of an important guide for us.\What's your reasoning?\My hunch!\Don't give me that look!\Who is Mom communicating with? response:	The base Ray was talking about?
context: So you think these two books are special?\Yeah. I feel like...\these will become some kind of an important guide for us.\What's your reasoning?\My hunch!\Don't give me that look!\Who is Mom communicating with?\The base Ray was talking about? response:	Are they the bad people?
context: Yeah. I feel like...\these will become some kind of an important guide for us.\What's your reasoning?\My hunch!\Don't give me that look!\Who is Mom communicating with?\The base Ray was talking about?\Are they the bad people? response:	That's right, he said he had Mom under control, but we're doomed if Sister finds out.
context: these will become some kind of an important guide for us.\What's your reasoning?\My hunch!\Don't give me that look!\Who is Mom communicating with?\The base Ray was talking about?\Are they the bad people?\That's right, he said he had Mom under control, but we're doomed if Sister finds out. response:	What did he mean by doomed?
context: What's your reasoning?\My hunch!\Don't give me that look!\Who is Mom communicating with?\The base Ray was talking about?\Are they the bad people?\That's right, he said he had Mom under control, but we're doomed if Sister finds out.\What did he mean by doomed? response:	If they find out, is Mom or Sister going to do something to us?
context: My hunch!\Don't give me that look!\Who is Mom communicating with?\The base Ray was talking about?\Are they the bad people?\That's right, he said he had Mom under control, but we're doomed if Sister finds out.\What did he mean by doomed?\If they find out, is Mom or Sister going to do something to us? response:	What if Mom is much more dangerous, and Conny and our siblings are already...
context: Don't give me that look!\Who is Mom communicating with?\The base Ray was talking about?\Are they the bad people?\That's right, he said he had Mom under control, but we're doomed if Sister finds out.\What did he mean by doomed?\If they find out, is Mom or Sister going to do something to us?\What if Mom is much more dangerous, and Conny and our siblings are already... response:	Stop it. Norman said he doesn't know what happened to Conny.
context: Who is Mom communicating with?\The base Ray was talking about?\Are they the bad people?\That's right, he said he had Mom under control, but we're doomed if Sister finds out.\What did he mean by doomed?\If they find out, is Mom or Sister going to do something to us?\What if Mom is much more dangerous, and Conny and our siblings are already...\Stop it. Norman said he doesn't know what happened to Conny. response:	No. They're just hiding it from us.
context: The base Ray was talking about?\Are they the bad people?\That's right, he said he had Mom under control, but we're doomed if Sister finds out.\What did he mean by doomed?\If they find out, is Mom or Sister going to do something to us?\What if Mom is much more dangerous, and Conny and our siblings are already...\Stop it. Norman said he doesn't know what happened to Conny.\No. They're just hiding it from us. response:	They probably have a reason and can't tell us.
context: Are they the bad people?\That's right, he said he had Mom under control, but we're doomed if Sister finds out.\What did he mean by doomed?\If they find out, is Mom or Sister going to do something to us?\What if Mom is much more dangerous, and Conny and our siblings are already...\Stop it. Norman said he doesn't know what happened to Conny.\No. They're just hiding it from us.\They probably have a reason and can't tell us. response:	I can't believe them like that.
context: That's right, he said he had Mom under control, but we're doomed if Sister finds out.\What did he mean by doomed?\If they find out, is Mom or Sister going to do something to us?\What if Mom is much more dangerous, and Conny and our siblings are already...\Stop it. Norman said he doesn't know what happened to Conny.\No. They're just hiding it from us.\They probably have a reason and can't tell us.\I can't believe them like that. response:	Because they don't believe in us.
context: What did he mean by doomed?\If they find out, is Mom or Sister going to do something to us?\What if Mom is much more dangerous, and Conny and our siblings are already...\Stop it. Norman said he doesn't know what happened to Conny.\No. They're just hiding it from us.\They probably have a reason and can't tell us.\I can't believe them like that.\Because they don't believe in us. response:	But I think it's worth looking into.
context: If they find out, is Mom or Sister going to do something to us?\What if Mom is much more dangerous, and Conny and our siblings are already...\Stop it. Norman said he doesn't know what happened to Conny.\No. They're just hiding it from us.\They probably have a reason and can't tell us.\I can't believe them like that.\Because they don't believe in us.\But I think it's worth looking into. response:	Mr. Minerva and the mystery of his books.
context: What if Mom is much more dangerous, and Conny and our siblings are already...\Stop it. Norman said he doesn't know what happened to Conny.\No. They're just hiding it from us.\They probably have a reason and can't tell us.\I can't believe them like that.\Because they don't believe in us.\But I think it's worth looking into.\Mr. Minerva and the mystery of his books. response:	We're not just running away. Let's find a way for us to survive in this world.
context: Stop it. Norman said he doesn't know what happened to Conny.\No. They're just hiding it from us.\They probably have a reason and can't tell us.\I can't believe them like that.\Because they don't believe in us.\But I think it's worth looking into.\Mr. Minerva and the mystery of his books.\We're not just running away. Let's find a way for us to survive in this world. response:	Yeah. Let's run away.
context: No. They're just hiding it from us.\They probably have a reason and can't tell us.\I can't believe them like that.\Because they don't believe in us.\But I think it's worth looking into.\Mr. Minerva and the mystery of his books.\We're not just running away. Let's find a way for us to survive in this world.\Yeah. Let's run away. response:	Let's live.
context: They probably have a reason and can't tell us.\I can't believe them like that.\Because they don't believe in us.\But I think it's worth looking into.\Mr. Minerva and the mystery of his books.\We're not just running away. Let's find a way for us to survive in this world.\Yeah. Let's run away.\Let's live. response:	No matter what the world is like.
context: I can't believe them like that.\Because they don't believe in us.\But I think it's worth looking into.\Mr. Minerva and the mystery of his books.\We're not just running away. Let's find a way for us to survive in this world.\Yeah. Let's run away.\Let's live.\No matter what the world is like. response:	Hold on, Phil. I'll be there in a moment.
context: Because they don't believe in us.\But I think it's worth looking into.\Mr. Minerva and the mystery of his books.\We're not just running away. Let's find a way for us to survive in this world.\Yeah. Let's run away.\Let's live.\No matter what the world is like.\Hold on, Phil. I'll be there in a moment. response:	But I'm surprised.
