context: Squeak, squeak, squeak! response:	Look how the hamsters eat their food so squeaky clean.
context: It looks kind of plain...\Just hurry up and take it.\Come on, Big Brother! Give us a smile! Say chee...!\Hey! I was making some kind of weird face, wasn't I?!\Nah, not at all!\You friggin' took it when you'd only said Chee!\Photos are a lot of fun, huh?\Huh? response:	Big Brother, there are some old photos in here.
context: Just hurry up and take it.\Come on, Big Brother! Give us a smile! Say chee...!\Hey! I was making some kind of weird face, wasn't I?!\Nah, not at all!\You friggin' took it when you'd only said Chee!\Photos are a lot of fun, huh?\Huh?\Big Brother, there are some old photos in here. response:	Huh?
context: Come on, Big Brother! Give us a smile! Say chee...!\Hey! I was making some kind of weird face, wasn't I?!\Nah, not at all!\You friggin' took it when you'd only said Chee!\Photos are a lot of fun, huh?\Huh?\Big Brother, there are some old photos in here.\Huh? response:	I guess Bomba left the memory card in, huh?
context: Hey! I was making some kind of weird face, wasn't I?!\Nah, not at all!\You friggin' took it when you'd only said Chee!\Photos are a lot of fun, huh?\Huh?\Big Brother, there are some old photos in here.\Huh?\I guess Bomba left the memory card in, huh? response:	Ah! Kirie looks so young!
context: Nah, not at all!\You friggin' took it when you'd only said Chee!\Photos are a lot of fun, huh?\Huh?\Big Brother, there are some old photos in here.\Huh?\I guess Bomba left the memory card in, huh?\Ah! Kirie looks so young! response:	She doesn't look happy at all.
context: You friggin' took it when you'd only said Chee!\Photos are a lot of fun, huh?\Huh?\Big Brother, there are some old photos in here.\Huh?\I guess Bomba left the memory card in, huh?\Ah! Kirie looks so young!\She doesn't look happy at all. response:	And here's an old one of you!
context: Photos are a lot of fun, huh?\Huh?\Big Brother, there are some old photos in here.\Huh?\I guess Bomba left the memory card in, huh?\Ah! Kirie looks so young!\She doesn't look happy at all.\And here's an old one of you! response:	Huh?
context: Huh?\Big Brother, there are some old photos in here.\Huh?\I guess Bomba left the memory card in, huh?\Ah! Kirie looks so young!\She doesn't look happy at all.\And here's an old one of you!\Huh? response:	You shouldn't go looking at other people's photos.
context: Big Brother, there are some old photos in here.\Huh?\I guess Bomba left the memory card in, huh?\Ah! Kirie looks so young!\She doesn't look happy at all.\And here's an old one of you!\Huh?\You shouldn't go looking at other people's photos. response:	I'll give this memory card back to Bomba.
context: Huh?\I guess Bomba left the memory card in, huh?\Ah! Kirie looks so young!\She doesn't look happy at all.\And here's an old one of you!\Huh?\You shouldn't go looking at other people's photos.\I'll give this memory card back to Bomba. response:	Still, finding old photos is kinda fun, huh?
context: I guess Bomba left the memory card in, huh?\Ah! Kirie looks so young!\She doesn't look happy at all.\And here's an old one of you!\Huh?\You shouldn't go looking at other people's photos.\I'll give this memory card back to Bomba.\Still, finding old photos is kinda fun, huh? response:	Yeah...
context: Ah! Kirie looks so young!\She doesn't look happy at all.\And here's an old one of you!\Huh?\You shouldn't go looking at other people's photos.\I'll give this memory card back to Bomba.\Still, finding old photos is kinda fun, huh?\Yeah... response:	Okay, Big Brother! Let's take tons of pics!
context: She doesn't look happy at all.\And here's an old one of you!\Huh?\You shouldn't go looking at other people's photos.\I'll give this memory card back to Bomba.\Still, finding old photos is kinda fun, huh?\Yeah...\Okay, Big Brother! Let's take tons of pics! response:	You're STILL taking photos?
context: And here's an old one of you!\Huh?\You shouldn't go looking at other people's photos.\I'll give this memory card back to Bomba.\Still, finding old photos is kinda fun, huh?\Yeah...\Okay, Big Brother! Let's take tons of pics!\You're STILL taking photos? response:	If I take photos of the hamsters, I might be able to enter them in a contest again!
context: Huh?\You shouldn't go looking at other people's photos.\I'll give this memory card back to Bomba.\Still, finding old photos is kinda fun, huh?\Yeah...\Okay, Big Brother! Let's take tons of pics!\You're STILL taking photos?\If I take photos of the hamsters, I might be able to enter them in a contest again! response:	Oh, yeah.
context: You shouldn't go looking at other people's photos.\I'll give this memory card back to Bomba.\Still, finding old photos is kinda fun, huh?\Yeah...\Okay, Big Brother! Let's take tons of pics!\You're STILL taking photos?\If I take photos of the hamsters, I might be able to enter them in a contest again!\Oh, yeah. response:	Okay, here goes.
context: I'll give this memory card back to Bomba.\Still, finding old photos is kinda fun, huh?\Yeah...\Okay, Big Brother! Let's take tons of pics!\You're STILL taking photos?\If I take photos of the hamsters, I might be able to enter them in a contest again!\Oh, yeah.\Okay, here goes. response:	And... Cheese!
context: Still, finding old photos is kinda fun, huh?\Yeah...\Okay, Big Brother! Let's take tons of pics!\You're STILL taking photos?\If I take photos of the hamsters, I might be able to enter them in a contest again!\Oh, yeah.\Okay, here goes.\And... Cheese! response:	Taihei, I bought a new camera, so I'll give you my old one.
context: Yeah...\Okay, Big Brother! Let's take tons of pics!\You're STILL taking photos?\If I take photos of the hamsters, I might be able to enter them in a contest again!\Oh, yeah.\Okay, here goes.\And... Cheese!\Taihei, I bought a new camera, so I'll give you my old one. response:	You wanna come by and get it tomorrow?
context: Okay, Big Brother! Let's take tons of pics!\You're STILL taking photos?\If I take photos of the hamsters, I might be able to enter them in a contest again!\Oh, yeah.\Okay, here goes.\And... Cheese!\Taihei, I bought a new camera, so I'll give you my old one.\You wanna come by and get it tomorrow? response:	But it's a single-lens, right? Don't you want to hold on to it?
context: You're STILL taking photos?\If I take photos of the hamsters, I might be able to enter them in a contest again!\Oh, yeah.\Okay, here goes.\And... Cheese!\Taihei, I bought a new camera, so I'll give you my old one.\You wanna come by and get it tomorrow?\But it's a single-lens, right? Don't you want to hold on to it? response:	You should have a camera.
context: If I take photos of the hamsters, I might be able to enter them in a contest again!\Oh, yeah.\Okay, here goes.\And... Cheese!\Taihei, I bought a new camera, so I'll give you my old one.\You wanna come by and get it tomorrow?\But it's a single-lens, right? Don't you want to hold on to it?\You should have a camera. response:	Huh?
context: Oh, yeah.\Okay, here goes.\And... Cheese!\Taihei, I bought a new camera, so I'll give you my old one.\You wanna come by and get it tomorrow?\But it's a single-lens, right? Don't you want to hold on to it?\You should have a camera.\Huh? response:	Tanukichi will be all grown before you know it. She won't be living with you forever, right?
context: Okay, here goes.\And... Cheese!\Taihei, I bought a new camera, so I'll give you my old one.\You wanna come by and get it tomorrow?\But it's a single-lens, right? Don't you want to hold on to it?\You should have a camera.\Huh?\Tanukichi will be all grown before you know it. She won't be living with you forever, right? response:	Take pictures of her now, while she's acting natural. You'll thank yourself for it later.
context: And... Cheese!\Taihei, I bought a new camera, so I'll give you my old one.\You wanna come by and get it tomorrow?\But it's a single-lens, right? Don't you want to hold on to it?\You should have a camera.\Huh?\Tanukichi will be all grown before you know it. She won't be living with you forever, right?\Take pictures of her now, while she's acting natural. You'll thank yourself for it later. response:	Man, there's nothing more to take pictures of in here. Let's go outside!
context: Taihei, I bought a new camera, so I'll give you my old one.\You wanna come by and get it tomorrow?\But it's a single-lens, right? Don't you want to hold on to it?\You should have a camera.\Huh?\Tanukichi will be all grown before you know it. She won't be living with you forever, right?\Take pictures of her now, while she's acting natural. You'll thank yourself for it later.\Man, there's nothing more to take pictures of in here. Let's go outside! response:	Hm? Oh...
context: You wanna come by and get it tomorrow?\But it's a single-lens, right? Don't you want to hold on to it?\You should have a camera.\Huh?\Tanukichi will be all grown before you know it. She won't be living with you forever, right?\Take pictures of her now, while she's acting natural. You'll thank yourself for it later.\Man, there's nothing more to take pictures of in here. Let's go outside!\Hm? Oh... response:	Well, how about we go for a walk?
context: But it's a single-lens, right? Don't you want to hold on to it?\You should have a camera.\Huh?\Tanukichi will be all grown before you know it. She won't be living with you forever, right?\Take pictures of her now, while she's acting natural. You'll thank yourself for it later.\Man, there's nothing more to take pictures of in here. Let's go outside!\Hm? Oh...\Well, how about we go for a walk? response:	What do you wanna take a picture of, Big Brother?
context: You should have a camera.\Huh?\Tanukichi will be all grown before you know it. She won't be living with you forever, right?\Take pictures of her now, while she's acting natural. You'll thank yourself for it later.\Man, there's nothing more to take pictures of in here. Let's go outside!\Hm? Oh...\Well, how about we go for a walk?\What do you wanna take a picture of, Big Brother? response:	The scenery, I guess...
context: Huh?\Tanukichi will be all grown before you know it. She won't be living with you forever, right?\Take pictures of her now, while she's acting natural. You'll thank yourself for it later.\Man, there's nothing more to take pictures of in here. Let's go outside!\Hm? Oh...\Well, how about we go for a walk?\What do you wanna take a picture of, Big Brother?\The scenery, I guess... response:	Oh, yeah!
context: Tanukichi will be all grown before you know it. She won't be living with you forever, right?\Take pictures of her now, while she's acting natural. You'll thank yourself for it later.\Man, there's nothing more to take pictures of in here. Let's go outside!\Hm? Oh...\Well, how about we go for a walk?\What do you wanna take a picture of, Big Brother?\The scenery, I guess...\Oh, yeah! response:	Huh?
context: Take pictures of her now, while she's acting natural. You'll thank yourself for it later.\Man, there's nothing more to take pictures of in here. Let's go outside!\Hm? Oh...\Well, how about we go for a walk?\What do you wanna take a picture of, Big Brother?\The scenery, I guess...\Oh, yeah!\Huh? response:	Let's take a picture of you drinking cola with the setting sun in the background!
context: Man, there's nothing more to take pictures of in here. Let's go outside!\Hm? Oh...\Well, how about we go for a walk?\What do you wanna take a picture of, Big Brother?\The scenery, I guess...\Oh, yeah!\Huh?\Let's take a picture of you drinking cola with the setting sun in the background! response:	There's no point in even being outside for that, is there?!
context: Hm? Oh...\Well, how about we go for a walk?\What do you wanna take a picture of, Big Brother?\The scenery, I guess...\Oh, yeah!\Huh?\Let's take a picture of you drinking cola with the setting sun in the background!\There's no point in even being outside for that, is there?! response:	Hey, Bomba, you left your memory card in the camera you gave me the other day.
context: Well, how about we go for a walk?\What do you wanna take a picture of, Big Brother?\The scenery, I guess...\Oh, yeah!\Huh?\Let's take a picture of you drinking cola with the setting sun in the background!\There's no point in even being outside for that, is there?!\Hey, Bomba, you left your memory card in the camera you gave me the other day. response:	Whoops! Sorry'bout that.
context: What do you wanna take a picture of, Big Brother?\The scenery, I guess...\Oh, yeah!\Huh?\Let's take a picture of you drinking cola with the setting sun in the background!\There's no point in even being outside for that, is there?!\Hey, Bomba, you left your memory card in the camera you gave me the other day.\Whoops! Sorry'bout that. response:	Were there any photos on it?
context: The scenery, I guess...\Oh, yeah!\Huh?\Let's take a picture of you drinking cola with the setting sun in the background!\There's no point in even being outside for that, is there?!\Hey, Bomba, you left your memory card in the camera you gave me the other day.\Whoops! Sorry'bout that.\Were there any photos on it? response:	Huh?
context: Oh, yeah!\Huh?\Let's take a picture of you drinking cola with the setting sun in the background!\There's no point in even being outside for that, is there?!\Hey, Bomba, you left your memory card in the camera you gave me the other day.\Whoops! Sorry'bout that.\Were there any photos on it?\Huh? response:	Why'd you only take one pic?
context: Huh?\Let's take a picture of you drinking cola with the setting sun in the background!\There's no point in even being outside for that, is there?!\Hey, Bomba, you left your memory card in the camera you gave me the other day.\Whoops! Sorry'bout that.\Were there any photos on it?\Huh?\Why'd you only take one pic? response:	And what's with this crazy-ass face?!
context: Let's take a picture of you drinking cola with the setting sun in the background!\There's no point in even being outside for that, is there?!\Hey, Bomba, you left your memory card in the camera you gave me the other day.\Whoops! Sorry'bout that.\Were there any photos on it?\Huh?\Why'd you only take one pic?\And what's with this crazy-ass face?! response:	Th..they're closed?
context: There's no point in even being outside for that, is there?!\Hey, Bomba, you left your memory card in the camera you gave me the other day.\Whoops! Sorry'bout that.\Were there any photos on it?\Huh?\Why'd you only take one pic?\And what's with this crazy-ass face?!\Th..they're closed? response:	But they can't! This is where you and I have made so many memories!
context: Hey, Bomba, you left your memory card in the camera you gave me the other day.\Whoops! Sorry'bout that.\Were there any photos on it?\Huh?\Why'd you only take one pic?\And what's with this crazy-ass face?!\Th..they're closed?\But they can't! This is where you and I have made so many memories! response:	It is a travesty, indeed!
context: Whoops! Sorry'bout that.\Were there any photos on it?\Huh?\Why'd you only take one pic?\And what's with this crazy-ass face?!\Th..they're closed?\But they can't! This is where you and I have made so many memories!\It is a travesty, indeed! response:	TSF, it says they're closed for cleaning.
context: Were there any photos on it?\Huh?\Why'd you only take one pic?\And what's with this crazy-ass face?!\Th..they're closed?\But they can't! This is where you and I have made so many memories!\It is a travesty, indeed!\TSF, it says they're closed for cleaning. response:	Oh?
context: Huh?\Why'd you only take one pic?\And what's with this crazy-ass face?!\Th..they're closed?\But they can't! This is where you and I have made so many memories!\It is a travesty, indeed!\TSF, it says they're closed for cleaning.\Oh? response:	Where should we go? Nyaon would be crowded, and we went to the candy store just the other day.
context: Why'd you only take one pic?\And what's with this crazy-ass face?!\Th..they're closed?\But they can't! This is where you and I have made so many memories!\It is a travesty, indeed!\TSF, it says they're closed for cleaning.\Oh?\Where should we go? Nyaon would be crowded, and we went to the candy store just the other day. response:	Well then, UMR! There is somewhere that I wish to go!
context: And what's with this crazy-ass face?!\Th..they're closed?\But they can't! This is where you and I have made so many memories!\It is a travesty, indeed!\TSF, it says they're closed for cleaning.\Oh?\Where should we go? Nyaon would be crowded, and we went to the candy store just the other day.\Well then, UMR! There is somewhere that I wish to go! response:	Hm?
context: Th..they're closed?\But they can't! This is where you and I have made so many memories!\It is a travesty, indeed!\TSF, it says they're closed for cleaning.\Oh?\Where should we go? Nyaon would be crowded, and we went to the candy store just the other day.\Well then, UMR! There is somewhere that I wish to go!\Hm? response:	This department store is totally retro!
context: But they can't! This is where you and I have made so many memories!\It is a travesty, indeed!\TSF, it says they're closed for cleaning.\Oh?\Where should we go? Nyaon would be crowded, and we went to the candy store just the other day.\Well then, UMR! There is somewhere that I wish to go!\Hm?\This department store is totally retro! response:	Right?! It is a nice old department store, indeed!
context: It is a travesty, indeed!\TSF, it says they're closed for cleaning.\Oh?\Where should we go? Nyaon would be crowded, and we went to the candy store just the other day.\Well then, UMR! There is somewhere that I wish to go!\Hm?\This department store is totally retro!\Right?! It is a nice old department store, indeed! response:	Even the story directory calls to mind a bygone age!
context: TSF, it says they're closed for cleaning.\Oh?\Where should we go? Nyaon would be crowded, and we went to the candy store just the other day.\Well then, UMR! There is somewhere that I wish to go!\Hm?\This department store is totally retro!\Right?! It is a nice old department store, indeed!\Even the story directory calls to mind a bygone age! response:	This escalator is SO nostalgic!
context: Oh?\Where should we go? Nyaon would be crowded, and we went to the candy store just the other day.\Well then, UMR! There is somewhere that I wish to go!\Hm?\This department store is totally retro!\Right?! It is a nice old department store, indeed!\Even the story directory calls to mind a bygone age!\This escalator is SO nostalgic! response:	They don't even have a food court, just restaurants where you have to buy a ticket for your order!
context: Where should we go? Nyaon would be crowded, and we went to the candy store just the other day.\Well then, UMR! There is somewhere that I wish to go!\Hm?\This department store is totally retro!\Right?! It is a nice old department store, indeed!\Even the story directory calls to mind a bygone age!\This escalator is SO nostalgic!\They don't even have a food court, just restaurants where you have to buy a ticket for your order! response:	And this staircase!
context: Well then, UMR! There is somewhere that I wish to go!\Hm?\This department store is totally retro!\Right?! It is a nice old department store, indeed!\Even the story directory calls to mind a bygone age!\This escalator is SO nostalgic!\They don't even have a food court, just restaurants where you have to buy a ticket for your order!\And this staircase! response:	Even the sign leading to the rooftop is wonderful, indeed!
context: Hm?\This department store is totally retro!\Right?! It is a nice old department store, indeed!\Even the story directory calls to mind a bygone age!\This escalator is SO nostalgic!\They don't even have a food court, just restaurants where you have to buy a ticket for your order!\And this staircase!\Even the sign leading to the rooftop is wonderful, indeed! response:	An arcade!
context: This department store is totally retro!\Right?! It is a nice old department store, indeed!\Even the story directory calls to mind a bygone age!\This escalator is SO nostalgic!\They don't even have a food court, just restaurants where you have to buy a ticket for your order!\And this staircase!\Even the sign leading to the rooftop is wonderful, indeed!\An arcade! response:	It looks like an amusement park, indeed!
context: Right?! It is a nice old department store, indeed!\Even the story directory calls to mind a bygone age!\This escalator is SO nostalgic!\They don't even have a food court, just restaurants where you have to buy a ticket for your order!\And this staircase!\Even the sign leading to the rooftop is wonderful, indeed!\An arcade!\It looks like an amusement park, indeed! response:	That crane arm is SUPER strong!
context: Even the story directory calls to mind a bygone age!\This escalator is SO nostalgic!\They don't even have a food court, just restaurants where you have to buy a ticket for your order!\And this staircase!\Even the sign leading to the rooftop is wonderful, indeed!\An arcade!\It looks like an amusement park, indeed!\That crane arm is SUPER strong! response:	And so, Sylphin and I both grew fond of that nostalgic department store and started going there often.
context: This escalator is SO nostalgic!\They don't even have a food court, just restaurants where you have to buy a ticket for your order!\And this staircase!\Even the sign leading to the rooftop is wonderful, indeed!\An arcade!\It looks like an amusement park, indeed!\That crane arm is SUPER strong!\And so, Sylphin and I both grew fond of that nostalgic department store and started going there often. response:	But...
context: They don't even have a food court, just restaurants where you have to buy a ticket for your order!\And this staircase!\Even the sign leading to the rooftop is wonderful, indeed!\An arcade!\It looks like an amusement park, indeed!\That crane arm is SUPER strong!\And so, Sylphin and I both grew fond of that nostalgic department store and started going there often.\But... response:	Oh. That department store, huh?
context: And this staircase!\Even the sign leading to the rooftop is wonderful, indeed!\An arcade!\It looks like an amusement park, indeed!\That crane arm is SUPER strong!\And so, Sylphin and I both grew fond of that nostalgic department store and started going there often.\But...\Oh. That department store, huh? response:	That's right! We should go, too!
context: Even the sign leading to the rooftop is wonderful, indeed!\An arcade!\It looks like an amusement park, indeed!\That crane arm is SUPER strong!\And so, Sylphin and I both grew fond of that nostalgic department store and started going there often.\But...\Oh. That department store, huh?\That's right! We should go, too! response:	Yeah. I guess we should before it closes.
context: An arcade!\It looks like an amusement park, indeed!\That crane arm is SUPER strong!\And so, Sylphin and I both grew fond of that nostalgic department store and started going there often.\But...\Oh. That department store, huh?\That's right! We should go, too!\Yeah. I guess we should before it closes. response:	Closes? It's going belly-up?!
context: It looks like an amusement park, indeed!\That crane arm is SUPER strong!\And so, Sylphin and I both grew fond of that nostalgic department store and started going there often.\But...\Oh. That department store, huh?\That's right! We should go, too!\Yeah. I guess we should before it closes.\Closes? It's going belly-up?! response:	Well, it's an old building and there aren't many customers, right?
context: That crane arm is SUPER strong!\And so, Sylphin and I both grew fond of that nostalgic department store and started going there often.\But...\Oh. That department store, huh?\That's right! We should go, too!\Yeah. I guess we should before it closes.\Closes? It's going belly-up?!\Well, it's an old building and there aren't many customers, right? response:	What are you talking about? It's great BECAUSE it's old and there aren't many customers!
context: And so, Sylphin and I both grew fond of that nostalgic department store and started going there often.\But...\Oh. That department store, huh?\That's right! We should go, too!\Yeah. I guess we should before it closes.\Closes? It's going belly-up?!\Well, it's an old building and there aren't many customers, right?\What are you talking about? It's great BECAUSE it's old and there aren't many customers! response:	That's no way for the stores to stay open, is it?
context: But...\Oh. That department store, huh?\That's right! We should go, too!\Yeah. I guess we should before it closes.\Closes? It's going belly-up?!\Well, it's an old building and there aren't many customers, right?\What are you talking about? It's great BECAUSE it's old and there aren't many customers!\That's no way for the stores to stay open, is it? response:	Nice! I got Excellent Luck!
context: Oh. That department store, huh?\That's right! We should go, too!\Yeah. I guess we should before it closes.\Closes? It's going belly-up?!\Well, it's an old building and there aren't many customers, right?\What are you talking about? It's great BECAUSE it's old and there aren't many customers!\That's no way for the stores to stay open, is it?\Nice! I got Excellent Luck! response:	As did I!
context: That's right! We should go, too!\Yeah. I guess we should before it closes.\Closes? It's going belly-up?!\Well, it's an old building and there aren't many customers, right?\What are you talking about? It's great BECAUSE it's old and there aren't many customers!\That's no way for the stores to stay open, is it?\Nice! I got Excellent Luck!\As did I! response:	My brother is a liar...
context: Yeah. I guess we should before it closes.\Closes? It's going belly-up?!\Well, it's an old building and there aren't many customers, right?\What are you talking about? It's great BECAUSE it's old and there aren't many customers!\That's no way for the stores to stay open, is it?\Nice! I got Excellent Luck!\As did I!\My brother is a liar... response:	There's not a single sign that says they're closing.
