context: It's okay. response:	Bell-kun is alive.
context: Her title is The Omnipotent Perseus.\And her...\She's like the wind.\What's this?\A cave-in, huh?\Th-This is Bell-kun's...\They're not here anymore.\They lost most of their equipment here, and suffered casualties, too. response:	I doubt they're wandering around the dungeon anymore.
context: And her...\She's like the wind.\What's this?\A cave-in, huh?\Th-This is Bell-kun's...\They're not here anymore.\They lost most of their equipment here, and suffered casualties, too.\I doubt they're wandering around the dungeon anymore. response:	A party that stupid would've already been
context: She's like the wind.\What's this?\A cave-in, huh?\Th-This is Bell-kun's...\They're not here anymore.\They lost most of their equipment here, and suffered casualties, too.\I doubt they're wandering around the dungeon anymore.\A party that stupid would've already been response:	wiped out a long time ago.
context: What's this?\A cave-in, huh?\Th-This is Bell-kun's...\They're not here anymore.\They lost most of their equipment here, and suffered casualties, too.\I doubt they're wandering around the dungeon anymore.\A party that stupid would've already been\wiped out a long time ago. response:	Which means...
context: A cave-in, huh?\Th-This is Bell-kun's...\They're not here anymore.\They lost most of their equipment here, and suffered casualties, too.\I doubt they're wandering around the dungeon anymore.\A party that stupid would've already been\wiped out a long time ago.\Which means... response:	The most likely possibility...
context: Th-This is Bell-kun's...\They're not here anymore.\They lost most of their equipment here, and suffered casualties, too.\I doubt they're wandering around the dungeon anymore.\A party that stupid would've already been\wiped out a long time ago.\Which means...\The most likely possibility... response:	and are heading down toward the safe zone on the Eighteenth Floor. Right?
context: They're not here anymore.\They lost most of their equipment here, and suffered casualties, too.\I doubt they're wandering around the dungeon anymore.\A party that stupid would've already been\wiped out a long time ago.\Which means...\The most likely possibility...\and are heading down toward the safe zone on the Eighteenth Floor. Right? response:	There are many holes in the dungeon's floors.
context: They lost most of their equipment here, and suffered casualties, too.\I doubt they're wandering around the dungeon anymore.\A party that stupid would've already been\wiped out a long time ago.\Which means...\The most likely possibility...\and are heading down toward the safe zone on the Eighteenth Floor. Right?\There are many holes in the dungeon's floors. response:	It's far easier to go down than up.
context: I doubt they're wandering around the dungeon anymore.\A party that stupid would've already been\wiped out a long time ago.\Which means...\The most likely possibility...\and are heading down toward the safe zone on the Eighteenth Floor. Right?\There are many holes in the dungeon's floors.\It's far easier to go down than up. response:	But still... go down?
context: A party that stupid would've already been\wiped out a long time ago.\Which means...\The most likely possibility...\and are heading down toward the safe zone on the Eighteenth Floor. Right?\There are many holes in the dungeon's floors.\It's far easier to go down than up.\But still... go down? response:	That's insane.
context: wiped out a long time ago.\Which means...\The most likely possibility...\and are heading down toward the safe zone on the Eighteenth Floor. Right?\There are many holes in the dungeon's floors.\It's far easier to go down than up.\But still... go down?\That's insane. response:	That's what I'd do.
context: Which means...\The most likely possibility...\and are heading down toward the safe zone on the Eighteenth Floor. Right?\There are many holes in the dungeon's floors.\It's far easier to go down than up.\But still... go down?\That's insane.\That's what I'd do. response:	And they would, too.
context: The most likely possibility...\and are heading down toward the safe zone on the Eighteenth Floor. Right?\There are many holes in the dungeon's floors.\It's far easier to go down than up.\But still... go down?\That's insane.\That's what I'd do.\And they would, too. response:	No...
context: and are heading down toward the safe zone on the Eighteenth Floor. Right?\There are many holes in the dungeon's floors.\It's far easier to go down than up.\But still... go down?\That's insane.\That's what I'd do.\And they would, too.\No... response:	Now that he's survived a true adventure, he'll keep going forward.
context: There are many holes in the dungeon's floors.\It's far easier to go down than up.\But still... go down?\That's insane.\That's what I'd do.\And they would, too.\No...\Now that he's survived a true adventure, he'll keep going forward. response:	I agree with her completely.
context: It's far easier to go down than up.\But still... go down?\That's insane.\That's what I'd do.\And they would, too.\No...\Now that he's survived a true adventure, he'll keep going forward.\I agree with her completely. response:	Me, too. Bell-kun is below.
context: But still... go down?\That's insane.\That's what I'd do.\And they would, too.\No...\Now that he's survived a true adventure, he'll keep going forward.\I agree with her completely.\Me, too. Bell-kun is below. response:	I've got that feeling.
context: That's insane.\That's what I'd do.\And they would, too.\No...\Now that he's survived a true adventure, he'll keep going forward.\I agree with her completely.\Me, too. Bell-kun is below.\I've got that feeling. response:	Then it's decided.
context: That's what I'd do.\And they would, too.\No...\Now that he's survived a true adventure, he'll keep going forward.\I agree with her completely.\Me, too. Bell-kun is below.\I've got that feeling.\Then it's decided. response:	Let's head for Floor 18.
context: And they would, too.\No...\Now that he's survived a true adventure, he'll keep going forward.\I agree with her completely.\Me, too. Bell-kun is below.\I've got that feeling.\Then it's decided.\Let's head for Floor 18. response:	Please be safe,
context: No...\Now that he's survived a true adventure, he'll keep going forward.\I agree with her completely.\Me, too. Bell-kun is below.\I've got that feeling.\Then it's decided.\Let's head for Floor 18.\Please be safe, response:	Bell-kun!
context: Now that he's survived a true adventure, he'll keep going forward.\I agree with her completely.\Me, too. Bell-kun is below.\I've got that feeling.\Then it's decided.\Let's head for Floor 18.\Please be safe,\Bell-kun! response:	Welf! Welf!
context: I agree with her completely.\Me, too. Bell-kun is below.\I've got that feeling.\Then it's decided.\Let's head for Floor 18.\Please be safe,\Bell-kun!\Welf! Welf! response:	Mind down?
context: Me, too. Bell-kun is below.\I've got that feeling.\Then it's decided.\Let's head for Floor 18.\Please be safe,\Bell-kun!\Welf! Welf!\Mind down? response:	Lili, Welf is...
context: I've got that feeling.\Then it's decided.\Let's head for Floor 18.\Please be safe,\Bell-kun!\Welf! Welf!\Mind down?\Lili, Welf is... response:	Lili!
context: Then it's decided.\Let's head for Floor 18.\Please be safe,\Bell-kun!\Welf! Welf!\Mind down?\Lili, Welf is...\Lili! response:	So would you explain this already, Hermes?
context: Let's head for Floor 18.\Please be safe,\Bell-kun!\Welf! Welf!\Mind down?\Lili, Welf is...\Lili!\So would you explain this already, Hermes? response:	Why do you want to save Bell-kun?
context: Please be safe,\Bell-kun!\Welf! Welf!\Mind down?\Lili, Welf is...\Lili!\So would you explain this already, Hermes?\Why do you want to save Bell-kun? response:	I told you!
context: Bell-kun!\Welf! Welf!\Mind down?\Lili, Welf is...\Lili!\So would you explain this already, Hermes?\Why do you want to save Bell-kun?\I told you! response:	I'm going to help my dear frie
context: Welf! Welf!\Mind down?\Lili, Welf is...\Lili!\So would you explain this already, Hermes?\Why do you want to save Bell-kun?\I told you!\I'm going to help my dear frie response:	Enough of that.
context: Mind down?\Lili, Welf is...\Lili!\So would you explain this already, Hermes?\Why do you want to save Bell-kun?\I told you!\I'm going to help my dear frie\Enough of that. response:	Someone asked me to take a look at Bell-kun's progress.
context: Lili, Welf is...\Lili!\So would you explain this already, Hermes?\Why do you want to save Bell-kun?\I told you!\I'm going to help my dear frie\Enough of that.\Someone asked me to take a look at Bell-kun's progress. response:	Someone?
context: Lili!\So would you explain this already, Hermes?\Why do you want to save Bell-kun?\I told you!\I'm going to help my dear frie\Enough of that.\Someone asked me to take a look at Bell-kun's progress.\Someone? response:	But I didn't come all the way down here
context: So would you explain this already, Hermes?\Why do you want to save Bell-kun?\I told you!\I'm going to help my dear frie\Enough of that.\Someone asked me to take a look at Bell-kun's progress.\Someone?\But I didn't come all the way down here response:	just because someone asked.
context: Why do you want to save Bell-kun?\I told you!\I'm going to help my dear frie\Enough of that.\Someone asked me to take a look at Bell-kun's progress.\Someone?\But I didn't come all the way down here\just because someone asked. response:	I'm interested in Bell-kun.
context: I told you!\I'm going to help my dear frie\Enough of that.\Someone asked me to take a look at Bell-kun's progress.\Someone?\But I didn't come all the way down here\just because someone asked.\I'm interested in Bell-kun. response:	I want to see for myself, Hestia,
context: I'm going to help my dear frie\Enough of that.\Someone asked me to take a look at Bell-kun's progress.\Someone?\But I didn't come all the way down here\just because someone asked.\I'm interested in Bell-kun.\I want to see for myself, Hestia, response:	if he's capable of bringing us into a new era.
context: Enough of that.\Someone asked me to take a look at Bell-kun's progress.\Someone?\But I didn't come all the way down here\just because someone asked.\I'm interested in Bell-kun.\I want to see for myself, Hestia,\if he's capable of bringing us into a new era. response:	Gotta get there... soon...
context: Someone asked me to take a look at Bell-kun's progress.\Someone?\But I didn't come all the way down here\just because someone asked.\I'm interested in Bell-kun.\I want to see for myself, Hestia,\if he's capable of bringing us into a new era.\Gotta get there... soon... response:	This is...
context: Someone?\But I didn't come all the way down here\just because someone asked.\I'm interested in Bell-kun.\I want to see for myself, Hestia,\if he's capable of bringing us into a new era.\Gotta get there... soon...\This is... response:	If you mean the Goliath,
context: But I didn't come all the way down here\just because someone asked.\I'm interested in Bell-kun.\I want to see for myself, Hestia,\if he's capable of bringing us into a new era.\Gotta get there... soon...\This is...\If you mean the Goliath, response:	the Loki Familia should have beaten it on their way down.
context: just because someone asked.\I'm interested in Bell-kun.\I want to see for myself, Hestia,\if he's capable of bringing us into a new era.\Gotta get there... soon...\This is...\If you mean the Goliath,\the Loki Familia should have beaten it on their way down. response:	Given the time it takes to respawn,
context: I'm interested in Bell-kun.\I want to see for myself, Hestia,\if he's capable of bringing us into a new era.\Gotta get there... soon...\This is...\If you mean the Goliath,\the Loki Familia should have beaten it on their way down.\Given the time it takes to respawn, response:	if we go now, we'll get through first.
context: I want to see for myself, Hestia,\if he's capable of bringing us into a new era.\Gotta get there... soon...\This is...\If you mean the Goliath,\the Loki Familia should have beaten it on their way down.\Given the time it takes to respawn,\if we go now, we'll get through first. response:	Run!
context: if he's capable of bringing us into a new era.\Gotta get there... soon...\This is...\If you mean the Goliath,\the Loki Familia should have beaten it on their way down.\Given the time it takes to respawn,\if we go now, we'll get through first.\Run! response:	Run!
context: Gotta get there... soon...\This is...\If you mean the Goliath,\the Loki Familia should have beaten it on their way down.\Given the time it takes to respawn,\if we go now, we'll get through first.\Run!\Run! response:	Run!
context: This is...\If you mean the Goliath,\the Loki Familia should have beaten it on their way down.\Given the time it takes to respawn,\if we go now, we'll get through first.\Run!\Run!\Run! response:	Run! Run! Run! Run!
context: If you mean the Goliath,\the Loki Familia should have beaten it on their way down.\Given the time it takes to respawn,\if we go now, we'll get through first.\Run!\Run!\Run!\Run! Run! Run! Run! response:	Run! Run! Run! Run!
context: the Loki Familia should have beaten it on their way down.\Given the time it takes to respawn,\if we go now, we'll get through first.\Run!\Run!\Run!\Run! Run! Run! Run!\Run! Run! Run! Run! response:	Run!
context: Given the time it takes to respawn,\if we go now, we'll get through first.\Run!\Run!\Run!\Run! Run! Run! Run!\Run! Run! Run! Run!\Run! response:	Lili...
context: if we go now, we'll get through first.\Run!\Run!\Run!\Run! Run! Run! Run!\Run! Run! Run! Run!\Run!\Lili... response:	Welf...
context: Run!\Run!\Run!\Run! Run! Run! Run!\Run! Run! Run! Run!\Run!\Lili...\Welf... response:	Goddess...
context: Run!\Run!\Run! Run! Run! Run!\Run! Run! Run! Run!\Run!\Lili...\Welf...\Goddess... response:	Save my friends.
context: Run!\Run! Run! Run! Run!\Run! Run! Run! Run!\Run!\Lili...\Welf...\Goddess...\Save my friends. response:	Please...
context: Run! Run! Run! Run!\Run! Run! Run! Run!\Run!\Lili...\Welf...\Goddess...\Save my friends.\Please... response:	My friends...
context: Run! Run! Run! Run!\Run!\Lili...\Welf...\Goddess...\Save my friends.\Please...\My friends... response:	Lili! Welf!
context: Run!\Lili...\Welf...\Goddess...\Save my friends.\Please...\My friends...\Lili! Welf! response:	Are you okay?
context: Lili...\Welf...\Goddess...\Save my friends.\Please...\My friends...\Lili! Welf!\Are you okay? response:	How do you feel?
context: Welf...\Goddess...\Save my friends.\Please...\My friends...\Lili! Welf!\Are you okay?\How do you feel? response:	Aiz-san?
context: Goddess...\Save my friends.\Please...\My friends...\Lili! Welf!\Are you okay?\How do you feel?\Aiz-san? response:	Wh-What are you doing here?
context: Save my friends.\Please...\My friends...\Lili! Welf!\Are you okay?\How do you feel?\Aiz-san?\Wh-What are you doing here? response:	Our Familia is heading back from our expedition,
context: Please...\My friends...\Lili! Welf!\Are you okay?\How do you feel?\Aiz-san?\Wh-What are you doing here?\Our Familia is heading back from our expedition, response:	so we stopped here on the Eighteenth Floor.
context: My friends...\Lili! Welf!\Are you okay?\How do you feel?\Aiz-san?\Wh-What are you doing here?\Our Familia is heading back from our expedition,\so we stopped here on the Eighteenth Floor. response:	Eighteenth Floor...
context: Lili! Welf!\Are you okay?\How do you feel?\Aiz-san?\Wh-What are you doing here?\Our Familia is heading back from our expedition,\so we stopped here on the Eighteenth Floor.\Eighteenth Floor... response:	Where are my friends?
context: Are you okay?\How do you feel?\Aiz-san?\Wh-What are you doing here?\Our Familia is heading back from our expedition,\so we stopped here on the Eighteenth Floor.\Eighteenth Floor...\Where are my friends? response:	Welf... Lili...
context: How do you feel?\Aiz-san?\Wh-What are you doing here?\Our Familia is heading back from our expedition,\so we stopped here on the Eighteenth Floor.\Eighteenth Floor...\Where are my friends?\Welf... Lili... response:	They'll be fine.
context: Aiz-san?\Wh-What are you doing here?\Our Familia is heading back from our expedition,\so we stopped here on the Eighteenth Floor.\Eighteenth Floor...\Where are my friends?\Welf... Lili...\They'll be fine. response:	Riveria and the others healed them.
context: Wh-What are you doing here?\Our Familia is heading back from our expedition,\so we stopped here on the Eighteenth Floor.\Eighteenth Floor...\Where are my friends?\Welf... Lili...\They'll be fine.\Riveria and the others healed them. response:	You were badly wounded, too.
context: Our Familia is heading back from our expedition,\so we stopped here on the Eighteenth Floor.\Eighteenth Floor...\Where are my friends?\Welf... Lili...\They'll be fine.\Riveria and the others healed them.\You were badly wounded, too. response:	Thank you for saving me. I really mean that...
context: so we stopped here on the Eighteenth Floor.\Eighteenth Floor...\Where are my friends?\Welf... Lili...\They'll be fine.\Riveria and the others healed them.\You were badly wounded, too.\Thank you for saving me. I really mean that... response:	Can you move?
context: Eighteenth Floor...\Where are my friends?\Welf... Lili...\They'll be fine.\Riveria and the others healed them.\You were badly wounded, too.\Thank you for saving me. I really mean that...\Can you move? response:	Y-Yes.
context: Where are my friends?\Welf... Lili...\They'll be fine.\Riveria and the others healed them.\You were badly wounded, too.\Thank you for saving me. I really mean that...\Can you move?\Y-Yes. response:	I'm supposed to tell our leader when you wake up.
context: Welf... Lili...\They'll be fine.\Riveria and the others healed them.\You were badly wounded, too.\Thank you for saving me. I really mean that...\Can you move?\Y-Yes.\I'm supposed to tell our leader when you wake up. response:	Come with me.
context: They'll be fine.\Riveria and the others healed them.\You were badly wounded, too.\Thank you for saving me. I really mean that...\Can you move?\Y-Yes.\I'm supposed to tell our leader when you wake up.\Come with me. response:	You made it to the Eighteenth Floor on your first trip to the middle floors, huh?
context: Riveria and the others healed them.\You were badly wounded, too.\Thank you for saving me. I really mean that...\Can you move?\Y-Yes.\I'm supposed to tell our leader when you wake up.\Come with me.\You made it to the Eighteenth Floor on your first trip to the middle floors, huh? response:	You did well to escape from the floor boss!
context: You were badly wounded, too.\Thank you for saving me. I really mean that...\Can you move?\Y-Yes.\I'm supposed to tell our leader when you wake up.\Come with me.\You made it to the Eighteenth Floor on your first trip to the middle floors, huh?\You did well to escape from the floor boss! response:	No, I...
context: Thank you for saving me. I really mean that...\Can you move?\Y-Yes.\I'm supposed to tell our leader when you wake up.\Come with me.\You made it to the Eighteenth Floor on your first trip to the middle floors, huh?\You did well to escape from the floor boss!\No, I... response:	I think I just got lucky.
context: Can you move?\Y-Yes.\I'm supposed to tell our leader when you wake up.\Come with me.\You made it to the Eighteenth Floor on your first trip to the middle floors, huh?\You did well to escape from the floor boss!\No, I...\I think I just got lucky. response:	Thank you for saving me!
context: Y-Yes.\I'm supposed to tell our leader when you wake up.\Come with me.\You made it to the Eighteenth Floor on your first trip to the middle floors, huh?\You did well to escape from the floor boss!\No, I...\I think I just got lucky.\Thank you for saving me! response:	I understand the situation.
context: I'm supposed to tell our leader when you wake up.\Come with me.\You made it to the Eighteenth Floor on your first trip to the middle floors, huh?\You did well to escape from the floor boss!\No, I...\I think I just got lucky.\Thank you for saving me!\I understand the situation. response:	Thank you for doing so much for us.
context: Come with me.\You made it to the Eighteenth Floor on your first trip to the middle floors, huh?\You did well to escape from the floor boss!\No, I...\I think I just got lucky.\Thank you for saving me!\I understand the situation.\Thank you for doing so much for us. response:	If I left one of Aiz's acquaintance to die,
context: You made it to the Eighteenth Floor on your first trip to the middle floors, huh?\You did well to escape from the floor boss!\No, I...\I think I just got lucky.\Thank you for saving me!\I understand the situation.\Thank you for doing so much for us.\If I left one of Aiz's acquaintance to die, response:	she'd never forgive me.
context: You did well to escape from the floor boss!\No, I...\I think I just got lucky.\Thank you for saving me!\I understand the situation.\Thank you for doing so much for us.\If I left one of Aiz's acquaintance to die,\she'd never forgive me. response:	A monster poisoned some of our comrades with a particularly nasty venom.
context: No, I...\I think I just got lucky.\Thank you for saving me!\I understand the situation.\Thank you for doing so much for us.\If I left one of Aiz's acquaintance to die,\she'd never forgive me.\A monster poisoned some of our comrades with a particularly nasty venom. response:	Our swiftest members are going to the surface to fetch an antidote.
context: I think I just got lucky.\Thank you for saving me!\I understand the situation.\Thank you for doing so much for us.\If I left one of Aiz's acquaintance to die,\she'd never forgive me.\A monster poisoned some of our comrades with a particularly nasty venom.\Our swiftest members are going to the surface to fetch an antidote. response:	We plan to stay here until the medicine arrives.
context: Thank you for saving me!\I understand the situation.\Thank you for doing so much for us.\If I left one of Aiz's acquaintance to die,\she'd never forgive me.\A monster poisoned some of our comrades with a particularly nasty venom.\Our swiftest members are going to the surface to fetch an antidote.\We plan to stay here until the medicine arrives. response:	It's really him! The Argonaut!
context: I understand the situation.\Thank you for doing so much for us.\If I left one of Aiz's acquaintance to die,\she'd never forgive me.\A monster poisoned some of our comrades with a particularly nasty venom.\Our swiftest members are going to the surface to fetch an antidote.\We plan to stay here until the medicine arrives.\It's really him! The Argonaut! response:	Hey there, Aiz.
context: Thank you for doing so much for us.\If I left one of Aiz's acquaintance to die,\she'd never forgive me.\A monster poisoned some of our comrades with a particularly nasty venom.\Our swiftest members are going to the surface to fetch an antidote.\We plan to stay here until the medicine arrives.\It's really him! The Argonaut!\Hey there, Aiz. response:	Tiona. Tione.
context: If I left one of Aiz's acquaintance to die,\she'd never forgive me.\A monster poisoned some of our comrades with a particularly nasty venom.\Our swiftest members are going to the surface to fetch an antidote.\We plan to stay here until the medicine arrives.\It's really him! The Argonaut!\Hey there, Aiz.\Tiona. Tione. response:	You woke up!
context: she'd never forgive me.\A monster poisoned some of our comrades with a particularly nasty venom.\Our swiftest members are going to the surface to fetch an antidote.\We plan to stay here until the medicine arrives.\It's really him! The Argonaut!\Hey there, Aiz.\Tiona. Tione.\You woke up! response:	I'm so glad, Argonaut-kun!
context: A monster poisoned some of our comrades with a particularly nasty venom.\Our swiftest members are going to the surface to fetch an antidote.\We plan to stay here until the medicine arrives.\It's really him! The Argonaut!\Hey there, Aiz.\Tiona. Tione.\You woke up!\I'm so glad, Argonaut-kun! response:	Um... Argonaut?
context: Our swiftest members are going to the surface to fetch an antidote.\We plan to stay here until the medicine arrives.\It's really him! The Argonaut!\Hey there, Aiz.\Tiona. Tione.\You woke up!\I'm so glad, Argonaut-kun!\Um... Argonaut? response:	Don't worry about it.
context: We plan to stay here until the medicine arrives.\It's really him! The Argonaut!\Hey there, Aiz.\Tiona. Tione.\You woke up!\I'm so glad, Argonaut-kun!\Um... Argonaut?\Don't worry about it. response:	It's just what this dummy likes to call you.
context: It's really him! The Argonaut!\Hey there, Aiz.\Tiona. Tione.\You woke up!\I'm so glad, Argonaut-kun!\Um... Argonaut?\Don't worry about it.\It's just what this dummy likes to call you. response:	We saw you fight that Minotaur!
context: Hey there, Aiz.\Tiona. Tione.\You woke up!\I'm so glad, Argonaut-kun!\Um... Argonaut?\Don't worry about it.\It's just what this dummy likes to call you.\We saw you fight that Minotaur! response:	It reminded me of this great old fairy tale!
context: Tiona. Tione.\You woke up!\I'm so glad, Argonaut-kun!\Um... Argonaut?\Don't worry about it.\It's just what this dummy likes to call you.\We saw you fight that Minotaur!\It reminded me of this great old fairy tale! response:	You were amazing!
context: You woke up!\I'm so glad, Argonaut-kun!\Um... Argonaut?\Don't worry about it.\It's just what this dummy likes to call you.\We saw you fight that Minotaur!\It reminded me of this great old fairy tale!\You were amazing! response:	If you're in the middle floors, that means you reached Level 2, right?
context: I'm so glad, Argonaut-kun!\Um... Argonaut?\Don't worry about it.\It's just what this dummy likes to call you.\We saw you fight that Minotaur!\It reminded me of this great old fairy tale!\You were amazing!\If you're in the middle floors, that means you reached Level 2, right? response:	And the way you beat that Minotaur...
context: Um... Argonaut?\Don't worry about it.\It's just what this dummy likes to call you.\We saw you fight that Minotaur!\It reminded me of this great old fairy tale!\You were amazing!\If you're in the middle floors, that means you reached Level 2, right?\And the way you beat that Minotaur... response:	You're good!
context: Don't worry about it.\It's just what this dummy likes to call you.\We saw you fight that Minotaur!\It reminded me of this great old fairy tale!\You were amazing!\If you're in the middle floors, that means you reached Level 2, right?\And the way you beat that Minotaur...\You're good! response:	Um...
context: It's just what this dummy likes to call you.\We saw you fight that Minotaur!\It reminded me of this great old fairy tale!\You were amazing!\If you're in the middle floors, that means you reached Level 2, right?\And the way you beat that Minotaur...\You're good!\Um... response:	He's blushing!
context: We saw you fight that Minotaur!\It reminded me of this great old fairy tale!\You were amazing!\If you're in the middle floors, that means you reached Level 2, right?\And the way you beat that Minotaur...\You're good!\Um...\He's blushing! response:	So cute!
context: It reminded me of this great old fairy tale!\You were amazing!\If you're in the middle floors, that means you reached Level 2, right?\And the way you beat that Minotaur...\You're good!\Um...\He's blushing!\So cute! response:	Well, this is... well...
context: You were amazing!\If you're in the middle floors, that means you reached Level 2, right?\And the way you beat that Minotaur...\You're good!\Um...\He's blushing!\So cute!\Well, this is... well... response:	What's wrong?
context: If you're in the middle floors, that means you reached Level 2, right?\And the way you beat that Minotaur...\You're good!\Um...\He's blushing!\So cute!\Well, this is... well...\What's wrong? response:	Um... Well, this is a dungeon, right?
context: And the way you beat that Minotaur...\You're good!\Um...\He's blushing!\So cute!\Well, this is... well...\What's wrong?\Um... Well, this is a dungeon, right? response:	Where's this light coming from?
context: You're good!\Um...\He's blushing!\So cute!\Well, this is... well...\What's wrong?\Um... Well, this is a dungeon, right?\Where's this light coming from? response:	Wow!
context: Um...\He's blushing!\So cute!\Well, this is... well...\What's wrong?\Um... Well, this is a dungeon, right?\Where's this light coming from?\Wow! response:	Is that...
context: He's blushing!\So cute!\Well, this is... well...\What's wrong?\Um... Well, this is a dungeon, right?\Where's this light coming from?\Wow!\Is that... response:	Yeah.
context: So cute!\Well, this is... well...\What's wrong?\Um... Well, this is a dungeon, right?\Where's this light coming from?\Wow!\Is that...\Yeah. response:	It's all crystal.
context: Well, this is... well...\What's wrong?\Um... Well, this is a dungeon, right?\Where's this light coming from?\Wow!\Is that...\Yeah.\It's all crystal. response:	As time passes, the light will fade and night will begin.
context: What's wrong?\Um... Well, this is a dungeon, right?\Where's this light coming from?\Wow!\Is that...\Yeah.\It's all crystal.\As time passes, the light will fade and night will begin. response:	That's why adventurers call this the labyrinth utopia, Under Resort.
context: Um... Well, this is a dungeon, right?\Where's this light coming from?\Wow!\Is that...\Yeah.\It's all crystal.\As time passes, the light will fade and night will begin.\That's why adventurers call this the labyrinth utopia, Under Resort. response:	It really did get dark.
context: Where's this light coming from?\Wow!\Is that...\Yeah.\It's all crystal.\As time passes, the light will fade and night will begin.\That's why adventurers call this the labyrinth utopia, Under Resort.\It really did get dark. response:	Where are we?
context: Wow!\Is that...\Yeah.\It's all crystal.\As time passes, the light will fade and night will begin.\That's why adventurers call this the labyrinth utopia, Under Resort.\It really did get dark.\Where are we? response:	Bell-sama?
context: Is that...\Yeah.\It's all crystal.\As time passes, the light will fade and night will begin.\That's why adventurers call this the labyrinth utopia, Under Resort.\It really did get dark.\Where are we?\Bell-sama? response:	Lili!
context: Yeah.\It's all crystal.\As time passes, the light will fade and night will begin.\That's why adventurers call this the labyrinth utopia, Under Resort.\It really did get dark.\Where are we?\Bell-sama?\Lili! response:	Welf!
context: It's all crystal.\As time passes, the light will fade and night will begin.\That's why adventurers call this the labyrinth utopia, Under Resort.\It really did get dark.\Where are we?\Bell-sama?\Lili!\Welf! response:	Are you okay?
