context: FIVE YEARS AGO response:	REVOCS CORPORATION BUSINESS STRATEGY WORKFRAME
context: Not so much as a warning?!\I'm sorry! What I did was wrong!\It was a middle-school scamp's harmless prank!\Please forgive me!\No leniency? Dude, seriously?\A middle-schooler you may be,\but you have trespassed into territory you shouldn't have.\A girl? response:	Then again, you are a man who can breach the tightest
context: I'm sorry! What I did was wrong!\It was a middle-school scamp's harmless prank!\Please forgive me!\No leniency? Dude, seriously?\A middle-schooler you may be,\but you have trespassed into territory you shouldn't have.\A girl?\Then again, you are a man who can breach the tightest response:	security in the world and illegally access the Revocs site.
context: It was a middle-school scamp's harmless prank!\Please forgive me!\No leniency? Dude, seriously?\A middle-schooler you may be,\but you have trespassed into territory you shouldn't have.\A girl?\Then again, you are a man who can breach the tightest\security in the world and illegally access the Revocs site. response:	Calling yourself a middle-school scamp at this point is pushing it.
context: Please forgive me!\No leniency? Dude, seriously?\A middle-schooler you may be,\but you have trespassed into territory you shouldn't have.\A girl?\Then again, you are a man who can breach the tightest\security in the world and illegally access the Revocs site.\Calling yourself a middle-school scamp at this point is pushing it. response:	So you're the big boss, huh?
context: No leniency? Dude, seriously?\A middle-schooler you may be,\but you have trespassed into territory you shouldn't have.\A girl?\Then again, you are a man who can breach the tightest\security in the world and illegally access the Revocs site.\Calling yourself a middle-school scamp at this point is pushing it.\So you're the big boss, huh? response:	Why did you do this?
context: A middle-schooler you may be,\but you have trespassed into territory you shouldn't have.\A girl?\Then again, you are a man who can breach the tightest\security in the world and illegally access the Revocs site.\Calling yourself a middle-school scamp at this point is pushing it.\So you're the big boss, huh?\Why did you do this? response:	The fact that it's the tightest security in the world
context: but you have trespassed into territory you shouldn't have.\A girl?\Then again, you are a man who can breach the tightest\security in the world and illegally access the Revocs site.\Calling yourself a middle-school scamp at this point is pushing it.\So you're the big boss, huh?\Why did you do this?\The fact that it's the tightest security in the world response:	makes it worth tackling.
context: A girl?\Then again, you are a man who can breach the tightest\security in the world and illegally access the Revocs site.\Calling yourself a middle-school scamp at this point is pushing it.\So you're the big boss, huh?\Why did you do this?\The fact that it's the tightest security in the world\makes it worth tackling. response:	- How limited. - What?
context: Then again, you are a man who can breach the tightest\security in the world and illegally access the Revocs site.\Calling yourself a middle-school scamp at this point is pushing it.\So you're the big boss, huh?\Why did you do this?\The fact that it's the tightest security in the world\makes it worth tackling.\- How limited. - What? response:	If you're changing the system anyway, don't you think you
context: security in the world and illegally access the Revocs site.\Calling yourself a middle-school scamp at this point is pushing it.\So you're the big boss, huh?\Why did you do this?\The fact that it's the tightest security in the world\makes it worth tackling.\- How limited. - What?\If you're changing the system anyway, don't you think you response:	should alter the real world's system itself, not the virtual one?
context: Calling yourself a middle-school scamp at this point is pushing it.\So you're the big boss, huh?\Why did you do this?\The fact that it's the tightest security in the world\makes it worth tackling.\- How limited. - What?\If you're changing the system anyway, don't you think you\should alter the real world's system itself, not the virtual one? response:	ADMISSION PERMIT HONNOUJI ACADEMY HIGH SCHOOL
context: So you're the big boss, huh?\Why did you do this?\The fact that it's the tightest security in the world\makes it worth tackling.\- How limited. - What?\If you're changing the system anyway, don't you think you\should alter the real world's system itself, not the virtual one?\ADMISSION PERMIT HONNOUJI ACADEMY HIGH SCHOOL response:	Honnouji Academy High School?
context: Why did you do this?\The fact that it's the tightest security in the world\makes it worth tackling.\- How limited. - What?\If you're changing the system anyway, don't you think you\should alter the real world's system itself, not the virtual one?\ADMISSION PERMIT HONNOUJI ACADEMY HIGH SCHOOL\Honnouji Academy High School? response:	That is the place where you will change the world, Houka Inumuta.
context: The fact that it's the tightest security in the world\makes it worth tackling.\- How limited. - What?\If you're changing the system anyway, don't you think you\should alter the real world's system itself, not the virtual one?\ADMISSION PERMIT HONNOUJI ACADEMY HIGH SCHOOL\Honnouji Academy High School?\That is the place where you will change the world, Houka Inumuta. response:	EPISODE 10 I WANT TO KNOW MORE ABOUT YOU
context: makes it worth tackling.\- How limited. - What?\If you're changing the system anyway, don't you think you\should alter the real world's system itself, not the virtual one?\ADMISSION PERMIT HONNOUJI ACADEMY HIGH SCHOOL\Honnouji Academy High School?\That is the place where you will change the world, Houka Inumuta.\EPISODE 10 I WANT TO KNOW MORE ABOUT YOU response:	The second of the Elite Four...
context: - How limited. - What?\If you're changing the system anyway, don't you think you\should alter the real world's system itself, not the virtual one?\ADMISSION PERMIT HONNOUJI ACADEMY HIGH SCHOOL\Honnouji Academy High School?\That is the place where you will change the world, Houka Inumuta.\EPISODE 10 I WANT TO KNOW MORE ABOUT YOU\The second of the Elite Four... response:	Quit pushing! Quit your damn pushing!
context: If you're changing the system anyway, don't you think you\should alter the real world's system itself, not the virtual one?\ADMISSION PERMIT HONNOUJI ACADEMY HIGH SCHOOL\Honnouji Academy High School?\That is the place where you will change the world, Houka Inumuta.\EPISODE 10 I WANT TO KNOW MORE ABOUT YOU\The second of the Elite Four...\Quit pushing! Quit your damn pushing! response:	Sheesh, whose TV do you think this is?!
context: should alter the real world's system itself, not the virtual one?\ADMISSION PERMIT HONNOUJI ACADEMY HIGH SCHOOL\Honnouji Academy High School?\That is the place where you will change the world, Houka Inumuta.\EPISODE 10 I WANT TO KNOW MORE ABOUT YOU\The second of the Elite Four...\Quit pushing! Quit your damn pushing!\Sheesh, whose TV do you think this is?! response:	Look at this crowd!
context: ADMISSION PERMIT HONNOUJI ACADEMY HIGH SCHOOL\Honnouji Academy High School?\That is the place where you will change the world, Houka Inumuta.\EPISODE 10 I WANT TO KNOW MORE ABOUT YOU\The second of the Elite Four...\Quit pushing! Quit your damn pushing!\Sheesh, whose TV do you think this is?!\Look at this crowd! response:	Nobody'd notice if I walked off with a nice set!
context: Honnouji Academy High School?\That is the place where you will change the world, Houka Inumuta.\EPISODE 10 I WANT TO KNOW MORE ABOUT YOU\The second of the Elite Four...\Quit pushing! Quit your damn pushing!\Sheesh, whose TV do you think this is?!\Look at this crowd!\Nobody'd notice if I walked off with a nice set! response:	Mataro, I'm going to knock you out.
context: That is the place where you will change the world, Houka Inumuta.\EPISODE 10 I WANT TO KNOW MORE ABOUT YOU\The second of the Elite Four...\Quit pushing! Quit your damn pushing!\Sheesh, whose TV do you think this is?!\Look at this crowd!\Nobody'd notice if I walked off with a nice set!\Mataro, I'm going to knock you out. response:	I'm sorry... Sorry...
context: EPISODE 10 I WANT TO KNOW MORE ABOUT YOU\The second of the Elite Four...\Quit pushing! Quit your damn pushing!\Sheesh, whose TV do you think this is?!\Look at this crowd!\Nobody'd notice if I walked off with a nice set!\Mataro, I'm going to knock you out.\I'm sorry... Sorry... response:	Is Ryuko gonna be okay?
context: The second of the Elite Four...\Quit pushing! Quit your damn pushing!\Sheesh, whose TV do you think this is?!\Look at this crowd!\Nobody'd notice if I walked off with a nice set!\Mataro, I'm going to knock you out.\I'm sorry... Sorry...\Is Ryuko gonna be okay? response:	If I was allowed to be her assistant, I'd be right there looking after her!
context: Quit pushing! Quit your damn pushing!\Sheesh, whose TV do you think this is?!\Look at this crowd!\Nobody'd notice if I walked off with a nice set!\Mataro, I'm going to knock you out.\I'm sorry... Sorry...\Is Ryuko gonna be okay?\If I was allowed to be her assistant, I'd be right there looking after her! response:	G-Gamagoori! And you're half-naked!
context: Sheesh, whose TV do you think this is?!\Look at this crowd!\Nobody'd notice if I walked off with a nice set!\Mataro, I'm going to knock you out.\I'm sorry... Sorry...\Is Ryuko gonna be okay?\If I was allowed to be her assistant, I'd be right there looking after her!\G-Gamagoori! And you're half-naked! response:	Don't be afraid, Mankanshoku.
context: Look at this crowd!\Nobody'd notice if I walked off with a nice set!\Mataro, I'm going to knock you out.\I'm sorry... Sorry...\Is Ryuko gonna be okay?\If I was allowed to be her assistant, I'd be right there looking after her!\G-Gamagoori! And you're half-naked!\Don't be afraid, Mankanshoku. response:	I am now a No-Star, the same rank as you.
context: Nobody'd notice if I walked off with a nice set!\Mataro, I'm going to knock you out.\I'm sorry... Sorry...\Is Ryuko gonna be okay?\If I was allowed to be her assistant, I'd be right there looking after her!\G-Gamagoori! And you're half-naked!\Don't be afraid, Mankanshoku.\I am now a No-Star, the same rank as you. response:	To observe this battle, it is only fitting that I do so from
context: Mataro, I'm going to knock you out.\I'm sorry... Sorry...\Is Ryuko gonna be okay?\If I was allowed to be her assistant, I'd be right there looking after her!\G-Gamagoori! And you're half-naked!\Don't be afraid, Mankanshoku.\I am now a No-Star, the same rank as you.\To observe this battle, it is only fitting that I do so from response:	these spectator seats where the No-Stars are gathered.
context: I'm sorry... Sorry...\Is Ryuko gonna be okay?\If I was allowed to be her assistant, I'd be right there looking after her!\G-Gamagoori! And you're half-naked!\Don't be afraid, Mankanshoku.\I am now a No-Star, the same rank as you.\To observe this battle, it is only fitting that I do so from\these spectator seats where the No-Stars are gathered. response:	Lady Satsuki, Ira Gamagoori will
context: Is Ryuko gonna be okay?\If I was allowed to be her assistant, I'd be right there looking after her!\G-Gamagoori! And you're half-naked!\Don't be afraid, Mankanshoku.\I am now a No-Star, the same rank as you.\To observe this battle, it is only fitting that I do so from\these spectator seats where the No-Stars are gathered.\Lady Satsuki, Ira Gamagoori will response:	surely work his way back up from this shame!
context: If I was allowed to be her assistant, I'd be right there looking after her!\G-Gamagoori! And you're half-naked!\Don't be afraid, Mankanshoku.\I am now a No-Star, the same rank as you.\To observe this battle, it is only fitting that I do so from\these spectator seats where the No-Stars are gathered.\Lady Satsuki, Ira Gamagoori will\surely work his way back up from this shame! response:	I won't allow your kindness towards me to be in vain!
context: G-Gamagoori! And you're half-naked!\Don't be afraid, Mankanshoku.\I am now a No-Star, the same rank as you.\To observe this battle, it is only fitting that I do so from\these spectator seats where the No-Stars are gathered.\Lady Satsuki, Ira Gamagoori will\surely work his way back up from this shame!\I won't allow your kindness towards me to be in vain! response:	Oh, I get it!
context: Don't be afraid, Mankanshoku.\I am now a No-Star, the same rank as you.\To observe this battle, it is only fitting that I do so from\these spectator seats where the No-Stars are gathered.\Lady Satsuki, Ira Gamagoori will\surely work his way back up from this shame!\I won't allow your kindness towards me to be in vain!\Oh, I get it! response:	You want to fight me right here and now, right?
context: I am now a No-Star, the same rank as you.\To observe this battle, it is only fitting that I do so from\these spectator seats where the No-Stars are gathered.\Lady Satsuki, Ira Gamagoori will\surely work his way back up from this shame!\I won't allow your kindness towards me to be in vain!\Oh, I get it!\You want to fight me right here and now, right? response:	I'm cheering on Ryuko with all I've got,
context: To observe this battle, it is only fitting that I do so from\these spectator seats where the No-Stars are gathered.\Lady Satsuki, Ira Gamagoori will\surely work his way back up from this shame!\I won't allow your kindness towards me to be in vain!\Oh, I get it!\You want to fight me right here and now, right?\I'm cheering on Ryuko with all I've got, response:	so I won't let anyone interfere, not even you!
context: these spectator seats where the No-Stars are gathered.\Lady Satsuki, Ira Gamagoori will\surely work his way back up from this shame!\I won't allow your kindness towards me to be in vain!\Oh, I get it!\You want to fight me right here and now, right?\I'm cheering on Ryuko with all I've got,\so I won't let anyone interfere, not even you! response:	How amusing!
context: Lady Satsuki, Ira Gamagoori will\surely work his way back up from this shame!\I won't allow your kindness towards me to be in vain!\Oh, I get it!\You want to fight me right here and now, right?\I'm cheering on Ryuko with all I've got,\so I won't let anyone interfere, not even you!\How amusing! response:	Even with you cheering her on,
context: surely work his way back up from this shame!\I won't allow your kindness towards me to be in vain!\Oh, I get it!\You want to fight me right here and now, right?\I'm cheering on Ryuko with all I've got,\so I won't let anyone interfere, not even you!\How amusing!\Even with you cheering her on, response:	Lady Satsuki's stronghold won't budge one iota!
context: I won't allow your kindness towards me to be in vain!\Oh, I get it!\You want to fight me right here and now, right?\I'm cheering on Ryuko with all I've got,\so I won't let anyone interfere, not even you!\How amusing!\Even with you cheering her on,\Lady Satsuki's stronghold won't budge one iota! response:	But it did budge! You lost, remember?
context: Oh, I get it!\You want to fight me right here and now, right?\I'm cheering on Ryuko with all I've got,\so I won't let anyone interfere, not even you!\How amusing!\Even with you cheering her on,\Lady Satsuki's stronghold won't budge one iota!\But it did budge! You lost, remember? response:	Inumuta, win!
context: You want to fight me right here and now, right?\I'm cheering on Ryuko with all I've got,\so I won't let anyone interfere, not even you!\How amusing!\Even with you cheering her on,\Lady Satsuki's stronghold won't budge one iota!\But it did budge! You lost, remember?\Inumuta, win! response:	Trounce her thoroughly and utterly!
context: I'm cheering on Ryuko with all I've got,\so I won't let anyone interfere, not even you!\How amusing!\Even with you cheering her on,\Lady Satsuki's stronghold won't budge one iota!\But it did budge! You lost, remember?\Inumuta, win!\Trounce her thoroughly and utterly! response:	Ryuko, take him out!
context: so I won't let anyone interfere, not even you!\How amusing!\Even with you cheering her on,\Lady Satsuki's stronghold won't budge one iota!\But it did budge! You lost, remember?\Inumuta, win!\Trounce her thoroughly and utterly!\Ryuko, take him out! response:	- You can do it! - You hear me, Inumuta?!
context: How amusing!\Even with you cheering her on,\Lady Satsuki's stronghold won't budge one iota!\But it did budge! You lost, remember?\Inumuta, win!\Trounce her thoroughly and utterly!\Ryuko, take him out!\- You can do it! - You hear me, Inumuta?! response:	Time to hit the noise canceller...
context: Even with you cheering her on,\Lady Satsuki's stronghold won't budge one iota!\But it did budge! You lost, remember?\Inumuta, win!\Trounce her thoroughly and utterly!\Ryuko, take him out!\- You can do it! - You hear me, Inumuta?!\Time to hit the noise canceller... response:	I'm not interested in hearing a beaten dog yap away.
context: Lady Satsuki's stronghold won't budge one iota!\But it did budge! You lost, remember?\Inumuta, win!\Trounce her thoroughly and utterly!\Ryuko, take him out!\- You can do it! - You hear me, Inumuta?!\Time to hit the noise canceller...\I'm not interested in hearing a beaten dog yap away. response:	Now she's showing mercy to the vanquished.
context: But it did budge! You lost, remember?\Inumuta, win!\Trounce her thoroughly and utterly!\Ryuko, take him out!\- You can do it! - You hear me, Inumuta?!\Time to hit the noise canceller...\I'm not interested in hearing a beaten dog yap away.\Now she's showing mercy to the vanquished. response:	What's our mighty queen up to?
context: Inumuta, win!\Trounce her thoroughly and utterly!\Ryuko, take him out!\- You can do it! - You hear me, Inumuta?!\Time to hit the noise canceller...\I'm not interested in hearing a beaten dog yap away.\Now she's showing mercy to the vanquished.\What's our mighty queen up to? response:	You have doubts about Lady Satsuki?
context: Trounce her thoroughly and utterly!\Ryuko, take him out!\- You can do it! - You hear me, Inumuta?!\Time to hit the noise canceller...\I'm not interested in hearing a beaten dog yap away.\Now she's showing mercy to the vanquished.\What's our mighty queen up to?\You have doubts about Lady Satsuki? response:	Honestly, ever since you lost your sight,
context: Ryuko, take him out!\- You can do it! - You hear me, Inumuta?!\Time to hit the noise canceller...\I'm not interested in hearing a beaten dog yap away.\Now she's showing mercy to the vanquished.\What's our mighty queen up to?\You have doubts about Lady Satsuki?\Honestly, ever since you lost your sight, response:	that obnoxious intuition of yours has gotten even sharper, Mr. Wild Monkey.
context: - You can do it! - You hear me, Inumuta?!\Time to hit the noise canceller...\I'm not interested in hearing a beaten dog yap away.\Now she's showing mercy to the vanquished.\What's our mighty queen up to?\You have doubts about Lady Satsuki?\Honestly, ever since you lost your sight,\that obnoxious intuition of yours has gotten even sharper, Mr. Wild Monkey. response:	If you doubt her, it's your own footing that will become unsure.
context: Time to hit the noise canceller...\I'm not interested in hearing a beaten dog yap away.\Now she's showing mercy to the vanquished.\What's our mighty queen up to?\You have doubts about Lady Satsuki?\Honestly, ever since you lost your sight,\that obnoxious intuition of yours has gotten even sharper, Mr. Wild Monkey.\If you doubt her, it's your own footing that will become unsure. response:	I hate to break it to you,
context: I'm not interested in hearing a beaten dog yap away.\Now she's showing mercy to the vanquished.\What's our mighty queen up to?\You have doubts about Lady Satsuki?\Honestly, ever since you lost your sight,\that obnoxious intuition of yours has gotten even sharper, Mr. Wild Monkey.\If you doubt her, it's your own footing that will become unsure.\I hate to break it to you, response:	but I have a different relationship to her than the rest of you.
context: Now she's showing mercy to the vanquished.\What's our mighty queen up to?\You have doubts about Lady Satsuki?\Honestly, ever since you lost your sight,\that obnoxious intuition of yours has gotten even sharper, Mr. Wild Monkey.\If you doubt her, it's your own footing that will become unsure.\I hate to break it to you,\but I have a different relationship to her than the rest of you. response:	That Kamui transformation was most fascinating,
context: What's our mighty queen up to?\You have doubts about Lady Satsuki?\Honestly, ever since you lost your sight,\that obnoxious intuition of yours has gotten even sharper, Mr. Wild Monkey.\If you doubt her, it's your own footing that will become unsure.\I hate to break it to you,\but I have a different relationship to her than the rest of you.\That Kamui transformation was most fascinating, response:	but you overexerted yourself in your
context: You have doubts about Lady Satsuki?\Honestly, ever since you lost your sight,\that obnoxious intuition of yours has gotten even sharper, Mr. Wild Monkey.\If you doubt her, it's your own footing that will become unsure.\I hate to break it to you,\but I have a different relationship to her than the rest of you.\That Kamui transformation was most fascinating,\but you overexerted yourself in your response:	fight against Gamagoori, don't you think?
context: Honestly, ever since you lost your sight,\that obnoxious intuition of yours has gotten even sharper, Mr. Wild Monkey.\If you doubt her, it's your own footing that will become unsure.\I hate to break it to you,\but I have a different relationship to her than the rest of you.\That Kamui transformation was most fascinating,\but you overexerted yourself in your\fight against Gamagoori, don't you think? response:	You are breathing heavily, and your heart rate is elevated.
context: that obnoxious intuition of yours has gotten even sharper, Mr. Wild Monkey.\If you doubt her, it's your own footing that will become unsure.\I hate to break it to you,\but I have a different relationship to her than the rest of you.\That Kamui transformation was most fascinating,\but you overexerted yourself in your\fight against Gamagoori, don't you think?\You are breathing heavily, and your heart rate is elevated. response:	Don't you worry about me.
context: If you doubt her, it's your own footing that will become unsure.\I hate to break it to you,\but I have a different relationship to her than the rest of you.\That Kamui transformation was most fascinating,\but you overexerted yourself in your\fight against Gamagoori, don't you think?\You are breathing heavily, and your heart rate is elevated.\Don't you worry about me. response:	Let's get this started!
context: I hate to break it to you,\but I have a different relationship to her than the rest of you.\That Kamui transformation was most fascinating,\but you overexerted yourself in your\fight against Gamagoori, don't you think?\You are breathing heavily, and your heart rate is elevated.\Don't you worry about me.\Let's get this started! response:	Round Two... begin.
context: but I have a different relationship to her than the rest of you.\That Kamui transformation was most fascinating,\but you overexerted yourself in your\fight against Gamagoori, don't you think?\You are breathing heavily, and your heart rate is elevated.\Don't you worry about me.\Let's get this started!\Round Two... begin. response:	SECOND BATTLE
context: That Kamui transformation was most fascinating,\but you overexerted yourself in your\fight against Gamagoori, don't you think?\You are breathing heavily, and your heart rate is elevated.\Don't you worry about me.\Let's get this started!\Round Two... begin.\SECOND BATTLE response:	BEGIN FIGHTING
context: but you overexerted yourself in your\fight against Gamagoori, don't you think?\You are breathing heavily, and your heart rate is elevated.\Don't you worry about me.\Let's get this started!\Round Two... begin.\SECOND BATTLE\BEGIN FIGHTING response:	Understood.
context: fight against Gamagoori, don't you think?\You are breathing heavily, and your heart rate is elevated.\Don't you worry about me.\Let's get this started!\Round Two... begin.\SECOND BATTLE\BEGIN FIGHTING\Understood. response:	THREE-STAR GOKU UNIFORM PROBE REGALIA
context: You are breathing heavily, and your heart rate is elevated.\Don't you worry about me.\Let's get this started!\Round Two... begin.\SECOND BATTLE\BEGIN FIGHTING\Understood.\THREE-STAR GOKU UNIFORM PROBE REGALIA response:	Three-Star Goku Uniform: Probe Regalia.
context: Don't you worry about me.\Let's get this started!\Round Two... begin.\SECOND BATTLE\BEGIN FIGHTING\Understood.\THREE-STAR GOKU UNIFORM PROBE REGALIA\Three-Star Goku Uniform: Probe Regalia. response:	Probe Regalia, huh?
context: Let's get this started!\Round Two... begin.\SECOND BATTLE\BEGIN FIGHTING\Understood.\THREE-STAR GOKU UNIFORM PROBE REGALIA\Three-Star Goku Uniform: Probe Regalia.\Probe Regalia, huh? response:	Seems more restrained than the others...
context: Round Two... begin.\SECOND BATTLE\BEGIN FIGHTING\Understood.\THREE-STAR GOKU UNIFORM PROBE REGALIA\Three-Star Goku Uniform: Probe Regalia.\Probe Regalia, huh?\Seems more restrained than the others... response:	And yet, it makes me uneasy.
context: SECOND BATTLE\BEGIN FIGHTING\Understood.\THREE-STAR GOKU UNIFORM PROBE REGALIA\Three-Star Goku Uniform: Probe Regalia.\Probe Regalia, huh?\Seems more restrained than the others...\And yet, it makes me uneasy. response:	As if I am being stripped naked.
context: BEGIN FIGHTING\Understood.\THREE-STAR GOKU UNIFORM PROBE REGALIA\Three-Star Goku Uniform: Probe Regalia.\Probe Regalia, huh?\Seems more restrained than the others...\And yet, it makes me uneasy.\As if I am being stripped naked. response:	Figures, he is their intel chief.
context: Understood.\THREE-STAR GOKU UNIFORM PROBE REGALIA\Three-Star Goku Uniform: Probe Regalia.\Probe Regalia, huh?\Seems more restrained than the others...\And yet, it makes me uneasy.\As if I am being stripped naked.\Figures, he is their intel chief. response:	We don't know what his deal is, so let's be careful.
context: THREE-STAR GOKU UNIFORM PROBE REGALIA\Three-Star Goku Uniform: Probe Regalia.\Probe Regalia, huh?\Seems more restrained than the others...\And yet, it makes me uneasy.\As if I am being stripped naked.\Figures, he is their intel chief.\We don't know what his deal is, so let's be careful. response:	Life Fiber Synchronize, Kamui Senketsu!
context: Three-Star Goku Uniform: Probe Regalia.\Probe Regalia, huh?\Seems more restrained than the others...\And yet, it makes me uneasy.\As if I am being stripped naked.\Figures, he is their intel chief.\We don't know what his deal is, so let's be careful.\Life Fiber Synchronize, Kamui Senketsu! response:	So, she's starting off with Stage 1, her standard combat mode, eh?
context: Probe Regalia, huh?\Seems more restrained than the others...\And yet, it makes me uneasy.\As if I am being stripped naked.\Figures, he is their intel chief.\We don't know what his deal is, so let's be careful.\Life Fiber Synchronize, Kamui Senketsu!\So, she's starting off with Stage 1, her standard combat mode, eh? response:	Ah, I see.
context: Seems more restrained than the others...\And yet, it makes me uneasy.\As if I am being stripped naked.\Figures, he is their intel chief.\We don't know what his deal is, so let's be careful.\Life Fiber Synchronize, Kamui Senketsu!\So, she's starting off with Stage 1, her standard combat mode, eh?\Ah, I see. response:	She's even faster than I predicted?
context: And yet, it makes me uneasy.\As if I am being stripped naked.\Figures, he is their intel chief.\We don't know what his deal is, so let's be careful.\Life Fiber Synchronize, Kamui Senketsu!\So, she's starting off with Stage 1, her standard combat mode, eh?\Ah, I see.\She's even faster than I predicted? response:	I know your type.
context: As if I am being stripped naked.\Figures, he is their intel chief.\We don't know what his deal is, so let's be careful.\Life Fiber Synchronize, Kamui Senketsu!\So, she's starting off with Stage 1, her standard combat mode, eh?\Ah, I see.\She's even faster than I predicted?\I know your type. response:	You guys are always spouting crap like,
