context: Oh, man, we lost! response:	Win Nationals, take my third straight national high school title,
context: I can't get it out of my head.\I'm scared... I'm scared...\The idea...\that I won't be able to hear the notes again.\Well, setbacks come with the territory of becoming a superstar.\In the face of adversity,\that's when you know if someone's the real deal or not.\Or so they say. response:	The stars shine at night, you know!
context: I'm scared... I'm scared...\The idea...\that I won't be able to hear the notes again.\Well, setbacks come with the territory of becoming a superstar.\In the face of adversity,\that's when you know if someone's the real deal or not.\Or so they say.\The stars shine at night, you know! response:	Chopin, Etude Op. 25 No. 5... Was it...
context: The idea...\that I won't be able to hear the notes again.\Well, setbacks come with the territory of becoming a superstar.\In the face of adversity,\that's when you know if someone's the real deal or not.\Or so they say.\The stars shine at night, you know!\Chopin, Etude Op. 25 No. 5... Was it... response:	Is this really what it sounds like?
context: that I won't be able to hear the notes again.\Well, setbacks come with the territory of becoming a superstar.\In the face of adversity,\that's when you know if someone's the real deal or not.\Or so they say.\The stars shine at night, you know!\Chopin, Etude Op. 25 No. 5... Was it...\Is this really what it sounds like? response:	It's so fast, and so rough.
context: Well, setbacks come with the territory of becoming a superstar.\In the face of adversity,\that's when you know if someone's the real deal or not.\Or so they say.\The stars shine at night, you know!\Chopin, Etude Op. 25 No. 5... Was it...\Is this really what it sounds like?\It's so fast, and so rough. response:	Just like when he accompanied Kao-chan,
context: In the face of adversity,\that's when you know if someone's the real deal or not.\Or so they say.\The stars shine at night, you know!\Chopin, Etude Op. 25 No. 5... Was it...\Is this really what it sounds like?\It's so fast, and so rough.\Just like when he accompanied Kao-chan, response:	the notes are all over the place...
context: that's when you know if someone's the real deal or not.\Or so they say.\The stars shine at night, you know!\Chopin, Etude Op. 25 No. 5... Was it...\Is this really what it sounds like?\It's so fast, and so rough.\Just like when he accompanied Kao-chan,\the notes are all over the place... response:	And he's only going faster and faster.
context: Or so they say.\The stars shine at night, you know!\Chopin, Etude Op. 25 No. 5... Was it...\Is this really what it sounds like?\It's so fast, and so rough.\Just like when he accompanied Kao-chan,\the notes are all over the place...\And he's only going faster and faster. response:	Here we go again.
context: The stars shine at night, you know!\Chopin, Etude Op. 25 No. 5... Was it...\Is this really what it sounds like?\It's so fast, and so rough.\Just like when he accompanied Kao-chan,\the notes are all over the place...\And he's only going faster and faster.\Here we go again. response:	It's not ringing out.
context: Chopin, Etude Op. 25 No. 5... Was it...\Is this really what it sounds like?\It's so fast, and so rough.\Just like when he accompanied Kao-chan,\the notes are all over the place...\And he's only going faster and faster.\Here we go again.\It's not ringing out. response:	The sound of the piano...
context: Is this really what it sounds like?\It's so fast, and so rough.\Just like when he accompanied Kao-chan,\the notes are all over the place...\And he's only going faster and faster.\Here we go again.\It's not ringing out.\The sound of the piano... response:	The sound...
context: It's so fast, and so rough.\Just like when he accompanied Kao-chan,\the notes are all over the place...\And he's only going faster and faster.\Here we go again.\It's not ringing out.\The sound of the piano...\The sound... response:	I'm about to be consumed by a deep sea...
context: Just like when he accompanied Kao-chan,\the notes are all over the place...\And he's only going faster and faster.\Here we go again.\It's not ringing out.\The sound of the piano...\The sound...\I'm about to be consumed by a deep sea... response:	Not yet! Focus, focus, focus!
context: the notes are all over the place...\And he's only going faster and faster.\Here we go again.\It's not ringing out.\The sound of the piano...\The sound...\I'm about to be consumed by a deep sea...\Not yet! Focus, focus, focus! response:	Give the piano your undivided attention!
context: And he's only going faster and faster.\Here we go again.\It's not ringing out.\The sound of the piano...\The sound...\I'm about to be consumed by a deep sea...\Not yet! Focus, focus, focus!\Give the piano your undivided attention! response:	Just like that time...
context: Here we go again.\It's not ringing out.\The sound of the piano...\The sound...\I'm about to be consumed by a deep sea...\Not yet! Focus, focus, focus!\Give the piano your undivided attention!\Just like that time... response:	Grab hold of the notes with your whole body!
context: It's not ringing out.\The sound of the piano...\The sound...\I'm about to be consumed by a deep sea...\Not yet! Focus, focus, focus!\Give the piano your undivided attention!\Just like that time...\Grab hold of the notes with your whole body! response:	This is your punishment.
context: The sound of the piano...\The sound...\I'm about to be consumed by a deep sea...\Not yet! Focus, focus, focus!\Give the piano your undivided attention!\Just like that time...\Grab hold of the notes with your whole body!\This is your punishment. response:	Kousei.
context: The sound...\I'm about to be consumed by a deep sea...\Not yet! Focus, focus, focus!\Give the piano your undivided attention!\Just like that time...\Grab hold of the notes with your whole body!\This is your punishment.\Kousei. response:	Your punishment for rejecting me...
context: I'm about to be consumed by a deep sea...\Not yet! Focus, focus, focus!\Give the piano your undivided attention!\Just like that time...\Grab hold of the notes with your whole body!\This is your punishment.\Kousei.\Your punishment for rejecting me... response:	for rejecting my dream.
context: Not yet! Focus, focus, focus!\Give the piano your undivided attention!\Just like that time...\Grab hold of the notes with your whole body!\This is your punishment.\Kousei.\Your punishment for rejecting me...\for rejecting my dream. response:	You understand that, don't you?
context: Give the piano your undivided attention!\Just like that time...\Grab hold of the notes with your whole body!\This is your punishment.\Kousei.\Your punishment for rejecting me...\for rejecting my dream.\You understand that, don't you? response:	He's atrocious.
context: Just like that time...\Grab hold of the notes with your whole body!\This is your punishment.\Kousei.\Your punishment for rejecting me...\for rejecting my dream.\You understand that, don't you?\He's atrocious. response:	Arima... Don't tell me he can't hear...
context: Grab hold of the notes with your whole body!\This is your punishment.\Kousei.\Your punishment for rejecting me...\for rejecting my dream.\You understand that, don't you?\He's atrocious.\Arima... Don't tell me he can't hear... response:	This is merely grating on the ears!
context: This is your punishment.\Kousei.\Your punishment for rejecting me...\for rejecting my dream.\You understand that, don't you?\He's atrocious.\Arima... Don't tell me he can't hear...\This is merely grating on the ears! response:	Arima...
context: Kousei.\Your punishment for rejecting me...\for rejecting my dream.\You understand that, don't you?\He's atrocious.\Arima... Don't tell me he can't hear...\This is merely grating on the ears!\Arima... response:	But you were able to play the opening perfectly without a missing a single note!
context: Your punishment for rejecting me...\for rejecting my dream.\You understand that, don't you?\He's atrocious.\Arima... Don't tell me he can't hear...\This is merely grating on the ears!\Arima...\But you were able to play the opening perfectly without a missing a single note! response:	Is it because you can't perceive the sound?
context: for rejecting my dream.\You understand that, don't you?\He's atrocious.\Arima... Don't tell me he can't hear...\This is merely grating on the ears!\Arima...\But you were able to play the opening perfectly without a missing a single note!\Is it because you can't perceive the sound? response:	Is it true that you can't hear your own playing?
context: You understand that, don't you?\He's atrocious.\Arima... Don't tell me he can't hear...\This is merely grating on the ears!\Arima...\But you were able to play the opening perfectly without a missing a single note!\Is it because you can't perceive the sound?\Is it true that you can't hear your own playing? response:	Because this is...
context: He's atrocious.\Arima... Don't tell me he can't hear...\This is merely grating on the ears!\Arima...\But you were able to play the opening perfectly without a missing a single note!\Is it because you can't perceive the sound?\Is it true that you can't hear your own playing?\Because this is... response:	Even if I can't hear the notes anymore, I can tell.
context: Arima... Don't tell me he can't hear...\This is merely grating on the ears!\Arima...\But you were able to play the opening perfectly without a missing a single note!\Is it because you can't perceive the sound?\Is it true that you can't hear your own playing?\Because this is...\Even if I can't hear the notes anymore, I can tell. response:	My cells are howling.
context: This is merely grating on the ears!\Arima...\But you were able to play the opening perfectly without a missing a single note!\Is it because you can't perceive the sound?\Is it true that you can't hear your own playing?\Because this is...\Even if I can't hear the notes anymore, I can tell.\My cells are howling. response:	This isn't Chopin!
context: Arima...\But you were able to play the opening perfectly without a missing a single note!\Is it because you can't perceive the sound?\Is it true that you can't hear your own playing?\Because this is...\Even if I can't hear the notes anymore, I can tell.\My cells are howling.\This isn't Chopin! response:	This is your punishment.
context: But you were able to play the opening perfectly without a missing a single note!\Is it because you can't perceive the sound?\Is it true that you can't hear your own playing?\Because this is...\Even if I can't hear the notes anymore, I can tell.\My cells are howling.\This isn't Chopin!\This is your punishment. response:	You're wrong!
context: Is it because you can't perceive the sound?\Is it true that you can't hear your own playing?\Because this is...\Even if I can't hear the notes anymore, I can tell.\My cells are howling.\This isn't Chopin!\This is your punishment.\You're wrong! response:	The notes have abandoned you.
context: Is it true that you can't hear your own playing?\Because this is...\Even if I can't hear the notes anymore, I can tell.\My cells are howling.\This isn't Chopin!\This is your punishment.\You're wrong!\The notes have abandoned you. response:	You're wrong!
context: Because this is...\Even if I can't hear the notes anymore, I can tell.\My cells are howling.\This isn't Chopin!\This is your punishment.\You're wrong!\The notes have abandoned you.\You're wrong! response:	I worked so hard, just for you, Mom!
context: Even if I can't hear the notes anymore, I can tell.\My cells are howling.\This isn't Chopin!\This is your punishment.\You're wrong!\The notes have abandoned you.\You're wrong!\I worked so hard, just for you, Mom! response:	The piano is you.
context: My cells are howling.\This isn't Chopin!\This is your punishment.\You're wrong!\The notes have abandoned you.\You're wrong!\I worked so hard, just for you, Mom!\The piano is you. response:	No matter how hard you pound it, it won't answer you, will it?
context: This isn't Chopin!\This is your punishment.\You're wrong!\The notes have abandoned you.\You're wrong!\I worked so hard, just for you, Mom!\The piano is you.\No matter how hard you pound it, it won't answer you, will it? response:	The reason you're lonely...
context: This is your punishment.\You're wrong!\The notes have abandoned you.\You're wrong!\I worked so hard, just for you, Mom!\The piano is you.\No matter how hard you pound it, it won't answer you, will it?\The reason you're lonely... response:	The reason you're all alone...
context: You're wrong!\The notes have abandoned you.\You're wrong!\I worked so hard, just for you, Mom!\The piano is you.\No matter how hard you pound it, it won't answer you, will it?\The reason you're lonely...\The reason you're all alone... response:	I wish you would just die.
context: The notes have abandoned you.\You're wrong!\I worked so hard, just for you, Mom!\The piano is you.\No matter how hard you pound it, it won't answer you, will it?\The reason you're lonely...\The reason you're all alone...\I wish you would just die. response:	That's your punishment.
context: You're wrong!\I worked so hard, just for you, Mom!\The piano is you.\No matter how hard you pound it, it won't answer you, will it?\The reason you're lonely...\The reason you're all alone...\I wish you would just die.\That's your punishment. response:	Maybe I'll just stop.
context: I worked so hard, just for you, Mom!\The piano is you.\No matter how hard you pound it, it won't answer you, will it?\The reason you're lonely...\The reason you're all alone...\I wish you would just die.\That's your punishment.\Maybe I'll just stop. response:	The tension is fading away from his playing...
context: The piano is you.\No matter how hard you pound it, it won't answer you, will it?\The reason you're lonely...\The reason you're all alone...\I wish you would just die.\That's your punishment.\Maybe I'll just stop.\The tension is fading away from his playing... response:	Is he planning to stop midway?
context: No matter how hard you pound it, it won't answer you, will it?\The reason you're lonely...\The reason you're all alone...\I wish you would just die.\That's your punishment.\Maybe I'll just stop.\The tension is fading away from his playing...\Is he planning to stop midway? response:	I'm still the same old me, after all.
context: The reason you're lonely...\The reason you're all alone...\I wish you would just die.\That's your punishment.\Maybe I'll just stop.\The tension is fading away from his playing...\Is he planning to stop midway?\I'm still the same old me, after all. response:	To play like I did before... maybe I expected too much?
context: The reason you're all alone...\I wish you would just die.\That's your punishment.\Maybe I'll just stop.\The tension is fading away from his playing...\Is he planning to stop midway?\I'm still the same old me, after all.\To play like I did before... maybe I expected too much? response:	I thought that if I entered this competition, something would change.
context: I wish you would just die.\That's your punishment.\Maybe I'll just stop.\The tension is fading away from his playing...\Is he planning to stop midway?\I'm still the same old me, after all.\To play like I did before... maybe I expected too much?\I thought that if I entered this competition, something would change. response:	But I'm the same old me.
context: That's your punishment.\Maybe I'll just stop.\The tension is fading away from his playing...\Is he planning to stop midway?\I'm still the same old me, after all.\To play like I did before... maybe I expected too much?\I thought that if I entered this competition, something would change.\But I'm the same old me. response:	Nothing's changed.
context: Maybe I'll just stop.\The tension is fading away from his playing...\Is he planning to stop midway?\I'm still the same old me, after all.\To play like I did before... maybe I expected too much?\I thought that if I entered this competition, something would change.\But I'm the same old me.\Nothing's changed. response:	No...
context: The tension is fading away from his playing...\Is he planning to stop midway?\I'm still the same old me, after all.\To play like I did before... maybe I expected too much?\I thought that if I entered this competition, something would change.\But I'm the same old me.\Nothing's changed.\No... response:	Don't stop!
context: Is he planning to stop midway?\I'm still the same old me, after all.\To play like I did before... maybe I expected too much?\I thought that if I entered this competition, something would change.\But I'm the same old me.\Nothing's changed.\No...\Don't stop! response:	What's this?
context: I'm still the same old me, after all.\To play like I did before... maybe I expected too much?\I thought that if I entered this competition, something would change.\But I'm the same old me.\Nothing's changed.\No...\Don't stop!\What's this? response:	He's going to stop playing.
context: To play like I did before... maybe I expected too much?\I thought that if I entered this competition, something would change.\But I'm the same old me.\Nothing's changed.\No...\Don't stop!\What's this?\He's going to stop playing. response:	Not that Arima...
context: I thought that if I entered this competition, something would change.\But I'm the same old me.\Nothing's changed.\No...\Don't stop!\What's this?\He's going to stop playing.\Not that Arima... response:	Better to just cut his losses...
context: But I'm the same old me.\Nothing's changed.\No...\Don't stop!\What's this?\He's going to stop playing.\Not that Arima...\Better to just cut his losses... response:	Don't stop! Keep playing!
context: Nothing's changed.\No...\Don't stop!\What's this?\He's going to stop playing.\Not that Arima...\Better to just cut his losses...\Don't stop! Keep playing! response:	You can't stop!
context: No...\Don't stop!\What's this?\He's going to stop playing.\Not that Arima...\Better to just cut his losses...\Don't stop! Keep playing!\You can't stop! response:	Look at this.
context: Don't stop!\What's this?\He's going to stop playing.\Not that Arima...\Better to just cut his losses...\Don't stop! Keep playing!\You can't stop!\Look at this. response:	Your entry number.
context: What's this?\He's going to stop playing.\Not that Arima...\Better to just cut his losses...\Don't stop! Keep playing!\You can't stop!\Look at this.\Your entry number. response:	Kochel number 265, Mozart's...
context: He's going to stop playing.\Not that Arima...\Better to just cut his losses...\Don't stop! Keep playing!\You can't stop!\Look at this.\Your entry number.\Kochel number 265, Mozart's... response:	Twinkle, Twinkle, Little Star.
context: Not that Arima...\Better to just cut his losses...\Don't stop! Keep playing!\You can't stop!\Look at this.\Your entry number.\Kochel number 265, Mozart's...\Twinkle, Twinkle, Little Star. response:	The stars will shine over your head.
context: Better to just cut his losses...\Don't stop! Keep playing!\You can't stop!\Look at this.\Your entry number.\Kochel number 265, Mozart's...\Twinkle, Twinkle, Little Star.\The stars will shine over your head. response:	Come on! You gotta be kidding me...
context: Don't stop! Keep playing!\You can't stop!\Look at this.\Your entry number.\Kochel number 265, Mozart's...\Twinkle, Twinkle, Little Star.\The stars will shine over your head.\Come on! You gotta be kidding me... response:	Is this the Arima I know?
context: You can't stop!\Look at this.\Your entry number.\Kochel number 265, Mozart's...\Twinkle, Twinkle, Little Star.\The stars will shine over your head.\Come on! You gotta be kidding me...\Is this the Arima I know? response:	Absolute perfection, unmatched accuracy.
context: Look at this.\Your entry number.\Kochel number 265, Mozart's...\Twinkle, Twinkle, Little Star.\The stars will shine over your head.\Come on! You gotta be kidding me...\Is this the Arima I know?\Absolute perfection, unmatched accuracy. response:	He's just a shadow of his former self.
context: Your entry number.\Kochel number 265, Mozart's...\Twinkle, Twinkle, Little Star.\The stars will shine over your head.\Come on! You gotta be kidding me...\Is this the Arima I know?\Absolute perfection, unmatched accuracy.\He's just a shadow of his former self. response:	The Kousei Arima who I looked up to.
context: Kochel number 265, Mozart's...\Twinkle, Twinkle, Little Star.\The stars will shine over your head.\Come on! You gotta be kidding me...\Is this the Arima I know?\Absolute perfection, unmatched accuracy.\He's just a shadow of his former self.\The Kousei Arima who I looked up to. response:	What were those two years for?
context: Twinkle, Twinkle, Little Star.\The stars will shine over your head.\Come on! You gotta be kidding me...\Is this the Arima I know?\Absolute perfection, unmatched accuracy.\He's just a shadow of his former self.\The Kousei Arima who I looked up to.\What were those two years for? response:	Enough... stop messing with me!
context: The stars will shine over your head.\Come on! You gotta be kidding me...\Is this the Arima I know?\Absolute perfection, unmatched accuracy.\He's just a shadow of his former self.\The Kousei Arima who I looked up to.\What were those two years for?\Enough... stop messing with me! response:	He really...
context: Come on! You gotta be kidding me...\Is this the Arima I know?\Absolute perfection, unmatched accuracy.\He's just a shadow of his former self.\The Kousei Arima who I looked up to.\What were those two years for?\Enough... stop messing with me!\He really... response:	Stopped playing...
context: Is this the Arima I know?\Absolute perfection, unmatched accuracy.\He's just a shadow of his former self.\The Kousei Arima who I looked up to.\What were those two years for?\Enough... stop messing with me!\He really...\Stopped playing... response:	So the prodigy has fallen back to earth?
context: Absolute perfection, unmatched accuracy.\He's just a shadow of his former self.\The Kousei Arima who I looked up to.\What were those two years for?\Enough... stop messing with me!\He really...\Stopped playing...\So the prodigy has fallen back to earth? response:	What does this mean?
context: He's just a shadow of his former self.\The Kousei Arima who I looked up to.\What were those two years for?\Enough... stop messing with me!\He really...\Stopped playing...\So the prodigy has fallen back to earth?\What does this mean? response:	Disqualified. He won't be evaluated.
context: The Kousei Arima who I looked up to.\What were those two years for?\Enough... stop messing with me!\He really...\Stopped playing...\So the prodigy has fallen back to earth?\What does this mean?\Disqualified. He won't be evaluated. response:	Humph... It's over.
context: What were those two years for?\Enough... stop messing with me!\He really...\Stopped playing...\So the prodigy has fallen back to earth?\What does this mean?\Disqualified. He won't be evaluated.\Humph... It's over. response:	Kousei Arima
context: Enough... stop messing with me!\He really...\Stopped playing...\So the prodigy has fallen back to earth?\What does this mean?\Disqualified. He won't be evaluated.\Humph... It's over.\Kousei Arima response:	No matter what the reason is,
context: He really...\Stopped playing...\So the prodigy has fallen back to earth?\What does this mean?\Disqualified. He won't be evaluated.\Humph... It's over.\Kousei Arima\No matter what the reason is, response:	if you cut short your performance...
context: Stopped playing...\So the prodigy has fallen back to earth?\What does this mean?\Disqualified. He won't be evaluated.\Humph... It's over.\Kousei Arima\No matter what the reason is,\if you cut short your performance... response:	The competition is over for you...
context: So the prodigy has fallen back to earth?\What does this mean?\Disqualified. He won't be evaluated.\Humph... It's over.\Kousei Arima\No matter what the reason is,\if you cut short your performance...\The competition is over for you... response:	Oh, man, it's all over now, huh?
context: What does this mean?\Disqualified. He won't be evaluated.\Humph... It's over.\Kousei Arima\No matter what the reason is,\if you cut short your performance...\The competition is over for you...\Oh, man, it's all over now, huh? response:	Here we go again.
context: Disqualified. He won't be evaluated.\Humph... It's over.\Kousei Arima\No matter what the reason is,\if you cut short your performance...\The competition is over for you...\Oh, man, it's all over now, huh?\Here we go again. response:	Two of a kind. Birds of a feather.
context: Humph... It's over.\Kousei Arima\No matter what the reason is,\if you cut short your performance...\The competition is over for you...\Oh, man, it's all over now, huh?\Here we go again.\Two of a kind. Birds of a feather. response:	That day, the moment I stopped playing,
context: Kousei Arima\No matter what the reason is,\if you cut short your performance...\The competition is over for you...\Oh, man, it's all over now, huh?\Here we go again.\Two of a kind. Birds of a feather.\That day, the moment I stopped playing, response:	the competition was over for you.
context: No matter what the reason is,\if you cut short your performance...\The competition is over for you...\Oh, man, it's all over now, huh?\Here we go again.\Two of a kind. Birds of a feather.\That day, the moment I stopped playing,\the competition was over for you. response:	What was it that you were playing for?
context: if you cut short your performance...\The competition is over for you...\Oh, man, it's all over now, huh?\Here we go again.\Two of a kind. Birds of a feather.\That day, the moment I stopped playing,\the competition was over for you.\What was it that you were playing for? response:	You're so merciless.
context: The competition is over for you...\Oh, man, it's all over now, huh?\Here we go again.\Two of a kind. Birds of a feather.\That day, the moment I stopped playing,\the competition was over for you.\What was it that you were playing for?\You're so merciless. response:	No matter what I see, I'm reminded of you.
context: Oh, man, it's all over now, huh?\Here we go again.\Two of a kind. Birds of a feather.\That day, the moment I stopped playing,\the competition was over for you.\What was it that you were playing for?\You're so merciless.\No matter what I see, I'm reminded of you. response:	You really have no mercy.
context: Here we go again.\Two of a kind. Birds of a feather.\That day, the moment I stopped playing,\the competition was over for you.\What was it that you were playing for?\You're so merciless.\No matter what I see, I'm reminded of you.\You really have no mercy. response:	Even the you that's here inside me.
context: Two of a kind. Birds of a feather.\That day, the moment I stopped playing,\the competition was over for you.\What was it that you were playing for?\You're so merciless.\No matter what I see, I'm reminded of you.\You really have no mercy.\Even the you that's here inside me. response:	You won't let me give up.
context: That day, the moment I stopped playing,\the competition was over for you.\What was it that you were playing for?\You're so merciless.\No matter what I see, I'm reminded of you.\You really have no mercy.\Even the you that's here inside me.\You won't let me give up. response:	That day, what were you...
context: the competition was over for you.\What was it that you were playing for?\You're so merciless.\No matter what I see, I'm reminded of you.\You really have no mercy.\Even the you that's here inside me.\You won't let me give up.\That day, what were you... response:	What were you playing for, I wonder?
context: What was it that you were playing for?\You're so merciless.\No matter what I see, I'm reminded of you.\You really have no mercy.\Even the you that's here inside me.\You won't let me give up.\That day, what were you...\What were you playing for, I wonder? response:	Again!
context: You're so merciless.\No matter what I see, I'm reminded of you.\You really have no mercy.\Even the you that's here inside me.\You won't let me give up.\That day, what were you...\What were you playing for, I wonder?\Again! response:	He started playing again?
context: No matter what I see, I'm reminded of you.\You really have no mercy.\Even the you that's here inside me.\You won't let me give up.\That day, what were you...\What were you playing for, I wonder?\Again!\He started playing again? response:	It's no good.
context: You really have no mercy.\Even the you that's here inside me.\You won't let me give up.\That day, what were you...\What were you playing for, I wonder?\Again!\He started playing again?\It's no good. response:	He might've started playing again, but the tempo's uneven.
context: Even the you that's here inside me.\You won't let me give up.\That day, what were you...\What were you playing for, I wonder?\Again!\He started playing again?\It's no good.\He might've started playing again, but the tempo's uneven. response:	The important thing is your imagery.
context: You won't let me give up.\That day, what were you...\What were you playing for, I wonder?\Again!\He started playing again?\It's no good.\He might've started playing again, but the tempo's uneven.\The important thing is your imagery. response:	How do you want to play this piece?
context: That day, what were you...\What were you playing for, I wonder?\Again!\He started playing again?\It's no good.\He might've started playing again, but the tempo's uneven.\The important thing is your imagery.\How do you want to play this piece? response:	Who do you want to play it for?
context: What were you playing for, I wonder?\Again!\He started playing again?\It's no good.\He might've started playing again, but the tempo's uneven.\The important thing is your imagery.\How do you want to play this piece?\Who do you want to play it for? response:	That day...
context: Again!\He started playing again?\It's no good.\He might've started playing again, but the tempo's uneven.\The important thing is your imagery.\How do you want to play this piece?\Who do you want to play it for?\That day... response:	For what... for whom were you playing?
context: He started playing again?\It's no good.\He might've started playing again, but the tempo's uneven.\The important thing is your imagery.\How do you want to play this piece?\Who do you want to play it for?\That day...\For what... for whom were you playing? response:	Friend A.
