context: When we were kids, there was a time that Manaka and I got lost. response:	We had gone to the outskirts of the village,
context: I'll never let go.\I see...\Miuna-chan also likes Hikari.\How cute...\Putting her all into caring for him,\but not being able to take the next step...\I always just thought of her as a child,\but that's right... response:	She's now the same age as we were back then.
context: I see...\Miuna-chan also likes Hikari.\How cute...\Putting her all into caring for him,\but not being able to take the next step...\I always just thought of her as a child,\but that's right...\She's now the same age as we were back then. response:	I see...
context: Miuna-chan also likes Hikari.\How cute...\Putting her all into caring for him,\but not being able to take the next step...\I always just thought of her as a child,\but that's right...\She's now the same age as we were back then.\I see... response:	I'm almost the same age as Akari-san was back then...
context: How cute...\Putting her all into caring for him,\but not being able to take the next step...\I always just thought of her as a child,\but that's right...\She's now the same age as we were back then.\I see...\I'm almost the same age as Akari-san was back then... response:	You still worried about the girlie from the sea village?
context: Putting her all into caring for him,\but not being able to take the next step...\I always just thought of her as a child,\but that's right...\She's now the same age as we were back then.\I see...\I'm almost the same age as Akari-san was back then...\You still worried about the girlie from the sea village? response:	Yes...
context: but not being able to take the next step...\I always just thought of her as a child,\but that's right...\She's now the same age as we were back then.\I see...\I'm almost the same age as Akari-san was back then...\You still worried about the girlie from the sea village?\Yes... response:	I believe she'll wake up soon, but...
context: I always just thought of her as a child,\but that's right...\She's now the same age as we were back then.\I see...\I'm almost the same age as Akari-san was back then...\You still worried about the girlie from the sea village?\Yes...\I believe she'll wake up soon, but... response:	She lost some of her Ena, so...
context: but that's right...\She's now the same age as we were back then.\I see...\I'm almost the same age as Akari-san was back then...\You still worried about the girlie from the sea village?\Yes...\I believe she'll wake up soon, but...\She lost some of her Ena, so... response:	Her Ena?
context: She's now the same age as we were back then.\I see...\I'm almost the same age as Akari-san was back then...\You still worried about the girlie from the sea village?\Yes...\I believe she'll wake up soon, but...\She lost some of her Ena, so...\Her Ena? response:	You said she was found sleeping at a graveyard of Ojoshi-samas, right?
context: I see...\I'm almost the same age as Akari-san was back then...\You still worried about the girlie from the sea village?\Yes...\I believe she'll wake up soon, but...\She lost some of her Ena, so...\Her Ena?\You said she was found sleeping at a graveyard of Ojoshi-samas, right? response:	Do you happen to know something?
context: I'm almost the same age as Akari-san was back then...\You still worried about the girlie from the sea village?\Yes...\I believe she'll wake up soon, but...\She lost some of her Ena, so...\Her Ena?\You said she was found sleeping at a graveyard of Ojoshi-samas, right?\Do you happen to know something? response:	There's a continuation to the story about the Sea God and Ojoshi-sama.
context: You still worried about the girlie from the sea village?\Yes...\I believe she'll wake up soon, but...\She lost some of her Ena, so...\Her Ena?\You said she was found sleeping at a graveyard of Ojoshi-samas, right?\Do you happen to know something?\There's a continuation to the story about the Sea God and Ojoshi-sama. response:	Continuation?
context: Yes...\I believe she'll wake up soon, but...\She lost some of her Ena, so...\Her Ena?\You said she was found sleeping at a graveyard of Ojoshi-samas, right?\Do you happen to know something?\There's a continuation to the story about the Sea God and Ojoshi-sama.\Continuation? response:	There aren't many who'll talk about it,
context: I believe she'll wake up soon, but...\She lost some of her Ena, so...\Her Ena?\You said she was found sleeping at a graveyard of Ojoshi-samas, right?\Do you happen to know something?\There's a continuation to the story about the Sea God and Ojoshi-sama.\Continuation?\There aren't many who'll talk about it, response:	because it's a story with a sad ending.
context: She lost some of her Ena, so...\Her Ena?\You said she was found sleeping at a graveyard of Ojoshi-samas, right?\Do you happen to know something?\There's a continuation to the story about the Sea God and Ojoshi-sama.\Continuation?\There aren't many who'll talk about it,\because it's a story with a sad ending. response:	Huh?
context: Her Ena?\You said she was found sleeping at a graveyard of Ojoshi-samas, right?\Do you happen to know something?\There's a continuation to the story about the Sea God and Ojoshi-sama.\Continuation?\There aren't many who'll talk about it,\because it's a story with a sad ending.\Huh? response:	You haven't talked since you got back, have you?
context: You said she was found sleeping at a graveyard of Ojoshi-samas, right?\Do you happen to know something?\There's a continuation to the story about the Sea God and Ojoshi-sama.\Continuation?\There aren't many who'll talk about it,\because it's a story with a sad ending.\Huh?\You haven't talked since you got back, have you? response:	Is something wrong?
context: Do you happen to know something?\There's a continuation to the story about the Sea God and Ojoshi-sama.\Continuation?\There aren't many who'll talk about it,\because it's a story with a sad ending.\Huh?\You haven't talked since you got back, have you?\Is something wrong? response:	Not really.
context: There's a continuation to the story about the Sea God and Ojoshi-sama.\Continuation?\There aren't many who'll talk about it,\because it's a story with a sad ending.\Huh?\You haven't talked since you got back, have you?\Is something wrong?\Not really. response:	More importantly, Chisaki, how's Manaka doing?
context: Continuation?\There aren't many who'll talk about it,\because it's a story with a sad ending.\Huh?\You haven't talked since you got back, have you?\Is something wrong?\Not really.\More importantly, Chisaki, how's Manaka doing? response:	I still haven't had a chance to go see her.
context: There aren't many who'll talk about it,\because it's a story with a sad ending.\Huh?\You haven't talked since you got back, have you?\Is something wrong?\Not really.\More importantly, Chisaki, how's Manaka doing?\I still haven't had a chance to go see her. response:	Right...
context: because it's a story with a sad ending.\Huh?\You haven't talked since you got back, have you?\Is something wrong?\Not really.\More importantly, Chisaki, how's Manaka doing?\I still haven't had a chance to go see her.\Right... response:	The doctor said that there's nothing to worry about.
context: Huh?\You haven't talked since you got back, have you?\Is something wrong?\Not really.\More importantly, Chisaki, how's Manaka doing?\I still haven't had a chance to go see her.\Right...\The doctor said that there's nothing to worry about. response:	Thank goodness...
context: You haven't talked since you got back, have you?\Is something wrong?\Not really.\More importantly, Chisaki, how's Manaka doing?\I still haven't had a chance to go see her.\Right...\The doctor said that there's nothing to worry about.\Thank goodness... response:	Now you guys will have more data to conceal.
context: Is something wrong?\Not really.\More importantly, Chisaki, how's Manaka doing?\I still haven't had a chance to go see her.\Right...\The doctor said that there's nothing to worry about.\Thank goodness...\Now you guys will have more data to conceal. response:	Conceal...
context: Not really.\More importantly, Chisaki, how's Manaka doing?\I still haven't had a chance to go see her.\Right...\The doctor said that there's nothing to worry about.\Thank goodness...\Now you guys will have more data to conceal.\Conceal... response:	Apparently both Mihashi-sensei and Tsumugu aren't going to
context: More importantly, Chisaki, how's Manaka doing?\I still haven't had a chance to go see her.\Right...\The doctor said that there's nothing to worry about.\Thank goodness...\Now you guys will have more data to conceal.\Conceal...\Apparently both Mihashi-sensei and Tsumugu aren't going to response:	officially present the details about the fact
context: I still haven't had a chance to go see her.\Right...\The doctor said that there's nothing to worry about.\Thank goodness...\Now you guys will have more data to conceal.\Conceal...\Apparently both Mihashi-sensei and Tsumugu aren't going to\officially present the details about the fact response:	that we were able to get into Shioshishio or about Miuna-chan for a while.
context: Right...\The doctor said that there's nothing to worry about.\Thank goodness...\Now you guys will have more data to conceal.\Conceal...\Apparently both Mihashi-sensei and Tsumugu aren't going to\officially present the details about the fact\that we were able to get into Shioshishio or about Miuna-chan for a while. response:	Really?
context: The doctor said that there's nothing to worry about.\Thank goodness...\Now you guys will have more data to conceal.\Conceal...\Apparently both Mihashi-sensei and Tsumugu aren't going to\officially present the details about the fact\that we were able to get into Shioshishio or about Miuna-chan for a while.\Really? response:	Yeah.
context: Thank goodness...\Now you guys will have more data to conceal.\Conceal...\Apparently both Mihashi-sensei and Tsumugu aren't going to\officially present the details about the fact\that we were able to get into Shioshishio or about Miuna-chan for a while.\Really?\Yeah. response:	Mihashi-sensei will put it all in a thesis.
context: Now you guys will have more data to conceal.\Conceal...\Apparently both Mihashi-sensei and Tsumugu aren't going to\officially present the details about the fact\that we were able to get into Shioshishio or about Miuna-chan for a while.\Really?\Yeah.\Mihashi-sensei will put it all in a thesis. response:	Then he'll send it to an academic journal,
context: Conceal...\Apparently both Mihashi-sensei and Tsumugu aren't going to\officially present the details about the fact\that we were able to get into Shioshishio or about Miuna-chan for a while.\Really?\Yeah.\Mihashi-sensei will put it all in a thesis.\Then he'll send it to an academic journal, response:	and the official presentation comes after that.
context: Apparently both Mihashi-sensei and Tsumugu aren't going to\officially present the details about the fact\that we were able to get into Shioshishio or about Miuna-chan for a while.\Really?\Yeah.\Mihashi-sensei will put it all in a thesis.\Then he'll send it to an academic journal,\and the official presentation comes after that. response:	I can't say that I agree to that.
context: officially present the details about the fact\that we were able to get into Shioshishio or about Miuna-chan for a while.\Really?\Yeah.\Mihashi-sensei will put it all in a thesis.\Then he'll send it to an academic journal,\and the official presentation comes after that.\I can't say that I agree to that. response:	Hikari, I, and Miuna-chan didn't dive
context: that we were able to get into Shioshishio or about Miuna-chan for a while.\Really?\Yeah.\Mihashi-sensei will put it all in a thesis.\Then he'll send it to an academic journal,\and the official presentation comes after that.\I can't say that I agree to that.\Hikari, I, and Miuna-chan didn't dive response:	to Shioshishio and put our lives in danger for the sake of your reputation.
context: Really?\Yeah.\Mihashi-sensei will put it all in a thesis.\Then he'll send it to an academic journal,\and the official presentation comes after that.\I can't say that I agree to that.\Hikari, I, and Miuna-chan didn't dive\to Shioshishio and put our lives in danger for the sake of your reputation. response:	Hey, Tsumugu.
context: Yeah.\Mihashi-sensei will put it all in a thesis.\Then he'll send it to an academic journal,\and the official presentation comes after that.\I can't say that I agree to that.\Hikari, I, and Miuna-chan didn't dive\to Shioshishio and put our lives in danger for the sake of your reputation.\Hey, Tsumugu. response:	There is a reason for that, right?
context: Mihashi-sensei will put it all in a thesis.\Then he'll send it to an academic journal,\and the official presentation comes after that.\I can't say that I agree to that.\Hikari, I, and Miuna-chan didn't dive\to Shioshishio and put our lives in danger for the sake of your reputation.\Hey, Tsumugu.\There is a reason for that, right? response:	If the thesis isn't acknowledged,
