context: Feelings (Continued) response:	A-Anti-bullying measures?!
context: Not talk to their family or their teacher...\But when it came to her friend, Chiho, she told her homeroom teacher about it.\But she got brushed off, apparently.\The teacher said she was misreading the situation.\Dammit! So she's that type of homeroom teacher, huh?\She got stuck with one of those. Poor kid.\She was probably desperate when she asked for advice, too.\I can get the teacher's perspective, response:	but that's no time to be running away!
context: But when it came to her friend, Chiho, she told her homeroom teacher about it.\But she got brushed off, apparently.\The teacher said she was misreading the situation.\Dammit! So she's that type of homeroom teacher, huh?\She got stuck with one of those. Poor kid.\She was probably desperate when she asked for advice, too.\I can get the teacher's perspective,\but that's no time to be running away! response:	So I thought I would ask your opinion to get the school's perspective.
context: But she got brushed off, apparently.\The teacher said she was misreading the situation.\Dammit! So she's that type of homeroom teacher, huh?\She got stuck with one of those. Poor kid.\She was probably desperate when she asked for advice, too.\I can get the teacher's perspective,\but that's no time to be running away!\So I thought I would ask your opinion to get the school's perspective. response:	UGH
context: The teacher said she was misreading the situation.\Dammit! So she's that type of homeroom teacher, huh?\She got stuck with one of those. Poor kid.\She was probably desperate when she asked for advice, too.\I can get the teacher's perspective,\but that's no time to be running away!\So I thought I would ask your opinion to get the school's perspective.\UGH response:	JEEZ
context: Dammit! So she's that type of homeroom teacher, huh?\She got stuck with one of those. Poor kid.\She was probably desperate when she asked for advice, too.\I can get the teacher's perspective,\but that's no time to be running away!\So I thought I would ask your opinion to get the school's perspective.\UGH\JEEZ response:	UGH
context: She got stuck with one of those. Poor kid.\She was probably desperate when she asked for advice, too.\I can get the teacher's perspective,\but that's no time to be running away!\So I thought I would ask your opinion to get the school's perspective.\UGH\JEEZ\UGH response:	JEEZ
context: She was probably desperate when she asked for advice, too.\I can get the teacher's perspective,\but that's no time to be running away!\So I thought I would ask your opinion to get the school's perspective.\UGH\JEEZ\UGH\JEEZ response:	UGH
context: I can get the teacher's perspective,\but that's no time to be running away!\So I thought I would ask your opinion to get the school's perspective.\UGH\JEEZ\UGH\JEEZ\UGH response:	JEEZ
context: but that's no time to be running away!\So I thought I would ask your opinion to get the school's perspective.\UGH\JEEZ\UGH\JEEZ\UGH\JEEZ response:	I thought you could give me a hint on how to handle this.
context: So I thought I would ask your opinion to get the school's perspective.\UGH\JEEZ\UGH\JEEZ\UGH\JEEZ\I thought you could give me a hint on how to handle this. response:	S-Sorry.
context: UGH\JEEZ\UGH\JEEZ\UGH\JEEZ\I thought you could give me a hint on how to handle this.\S-Sorry. response:	Kiriyama, look at this.
context: JEEZ\UGH\JEEZ\UGH\JEEZ\I thought you could give me a hint on how to handle this.\S-Sorry.\Kiriyama, look at this. response:	BULLYING
context: UGH\JEEZ\UGH\JEEZ\I thought you could give me a hint on how to handle this.\S-Sorry.\Kiriyama, look at this.\BULLYING response:	School bullying problems getting worse!
context: JEEZ\UGH\JEEZ\I thought you could give me a hint on how to handle this.\S-Sorry.\Kiriyama, look at this.\BULLYING\School bullying problems getting worse! response:	Severe bullying. Please talk to us.
context: UGH\JEEZ\I thought you could give me a hint on how to handle this.\S-Sorry.\Kiriyama, look at this.\BULLYING\School bullying problems getting worse!\Severe bullying. Please talk to us. response:	If you do a search on bullying, you'll get 89,100,000 hits.
context: JEEZ\I thought you could give me a hint on how to handle this.\S-Sorry.\Kiriyama, look at this.\BULLYING\School bullying problems getting worse!\Severe bullying. Please talk to us.\If you do a search on bullying, you'll get 89,100,000 hits. response:	Do a search for bullying countermeasures, and you get 2,200,000 hits.
context: I thought you could give me a hint on how to handle this.\S-Sorry.\Kiriyama, look at this.\BULLYING\School bullying problems getting worse!\Severe bullying. Please talk to us.\If you do a search on bullying, you'll get 89,100,000 hits.\Do a search for bullying countermeasures, and you get 2,200,000 hits. response:	And nowhere in here is a solution that'll work 100 of the time.
context: S-Sorry.\Kiriyama, look at this.\BULLYING\School bullying problems getting worse!\Severe bullying. Please talk to us.\If you do a search on bullying, you'll get 89,100,000 hits.\Do a search for bullying countermeasures, and you get 2,200,000 hits.\And nowhere in here is a solution that'll work 100 of the time. response:	There.
context: Kiriyama, look at this.\BULLYING\School bullying problems getting worse!\Severe bullying. Please talk to us.\If you do a search on bullying, you'll get 89,100,000 hits.\Do a search for bullying countermeasures, and you get 2,200,000 hits.\And nowhere in here is a solution that'll work 100 of the time.\There. response:	Take a look at this homepage.
context: BULLYING\School bullying problems getting worse!\Severe bullying. Please talk to us.\If you do a search on bullying, you'll get 89,100,000 hits.\Do a search for bullying countermeasures, and you get 2,200,000 hits.\And nowhere in here is a solution that'll work 100 of the time.\There.\Take a look at this homepage. response:	People who are being bullied. People who are doing the bullying.
context: School bullying problems getting worse!\Severe bullying. Please talk to us.\If you do a search on bullying, you'll get 89,100,000 hits.\Do a search for bullying countermeasures, and you get 2,200,000 hits.\And nowhere in here is a solution that'll work 100 of the time.\There.\Take a look at this homepage.\People who are being bullied. People who are doing the bullying. response:	The parents of both sides.
context: Severe bullying. Please talk to us.\If you do a search on bullying, you'll get 89,100,000 hits.\Do a search for bullying countermeasures, and you get 2,200,000 hits.\And nowhere in here is a solution that'll work 100 of the time.\There.\Take a look at this homepage.\People who are being bullied. People who are doing the bullying.\The parents of both sides. response:	People who saw it happen.
context: If you do a search on bullying, you'll get 89,100,000 hits.\Do a search for bullying countermeasures, and you get 2,200,000 hits.\And nowhere in here is a solution that'll work 100 of the time.\There.\Take a look at this homepage.\People who are being bullied. People who are doing the bullying.\The parents of both sides.\People who saw it happen. response:	People who were bullied in the past. People who were bullies in the past.
context: Do a search for bullying countermeasures, and you get 2,200,000 hits.\And nowhere in here is a solution that'll work 100 of the time.\There.\Take a look at this homepage.\People who are being bullied. People who are doing the bullying.\The parents of both sides.\People who saw it happen.\People who were bullied in the past. People who were bullies in the past. response:	That teacher could scroll through 200 million pages
context: And nowhere in here is a solution that'll work 100 of the time.\There.\Take a look at this homepage.\People who are being bullied. People who are doing the bullying.\The parents of both sides.\People who saw it happen.\People who were bullied in the past. People who were bullies in the past.\That teacher could scroll through 200 million pages response:	from several years and encounter a mess of muddled arguments.
context: There.\Take a look at this homepage.\People who are being bullied. People who are doing the bullying.\The parents of both sides.\People who saw it happen.\People who were bullied in the past. People who were bullies in the past.\That teacher could scroll through 200 million pages\from several years and encounter a mess of muddled arguments. response:	The thing is, there are thousands of sites like this.
context: Take a look at this homepage.\People who are being bullied. People who are doing the bullying.\The parents of both sides.\People who saw it happen.\People who were bullied in the past. People who were bullies in the past.\That teacher could scroll through 200 million pages\from several years and encounter a mess of muddled arguments.\The thing is, there are thousands of sites like this. response:	M-Mr. Hayashida? Mr. Hayashida...
context: People who are being bullied. People who are doing the bullying.\The parents of both sides.\People who saw it happen.\People who were bullied in the past. People who were bullies in the past.\That teacher could scroll through 200 million pages\from several years and encounter a mess of muddled arguments.\The thing is, there are thousands of sites like this.\M-Mr. Hayashida? Mr. Hayashida... response:	But you won't find an answer in any of them.
context: The parents of both sides.\People who saw it happen.\People who were bullied in the past. People who were bullies in the past.\That teacher could scroll through 200 million pages\from several years and encounter a mess of muddled arguments.\The thing is, there are thousands of sites like this.\M-Mr. Hayashida? Mr. Hayashida...\But you won't find an answer in any of them. response:	I mean, there's a distinct answer for every one of these people here.
context: People who saw it happen.\People who were bullied in the past. People who were bullies in the past.\That teacher could scroll through 200 million pages\from several years and encounter a mess of muddled arguments.\The thing is, there are thousands of sites like this.\M-Mr. Hayashida? Mr. Hayashida...\But you won't find an answer in any of them.\I mean, there's a distinct answer for every one of these people here. response:	It's a quandary.
context: People who were bullied in the past. People who were bullies in the past.\That teacher could scroll through 200 million pages\from several years and encounter a mess of muddled arguments.\The thing is, there are thousands of sites like this.\M-Mr. Hayashida? Mr. Hayashida...\But you won't find an answer in any of them.\I mean, there's a distinct answer for every one of these people here.\It's a quandary. response:	People who want an apology.
context: That teacher could scroll through 200 million pages\from several years and encounter a mess of muddled arguments.\The thing is, there are thousands of sites like this.\M-Mr. Hayashida? Mr. Hayashida...\But you won't find an answer in any of them.\I mean, there's a distinct answer for every one of these people here.\It's a quandary.\People who want an apology. response:	People who want to defend themselves.
context: from several years and encounter a mess of muddled arguments.\The thing is, there are thousands of sites like this.\M-Mr. Hayashida? Mr. Hayashida...\But you won't find an answer in any of them.\I mean, there's a distinct answer for every one of these people here.\It's a quandary.\People who want an apology.\People who want to defend themselves. response:	Parents who want to avenge their children.
context: The thing is, there are thousands of sites like this.\M-Mr. Hayashida? Mr. Hayashida...\But you won't find an answer in any of them.\I mean, there's a distinct answer for every one of these people here.\It's a quandary.\People who want an apology.\People who want to defend themselves.\Parents who want to avenge their children. response:	Parents who want to clear their children's names.
context: M-Mr. Hayashida? Mr. Hayashida...\But you won't find an answer in any of them.\I mean, there's a distinct answer for every one of these people here.\It's a quandary.\People who want an apology.\People who want to defend themselves.\Parents who want to avenge their children.\Parents who want to clear their children's names. response:	People who want their bullies to get the same treatment.
context: But you won't find an answer in any of them.\I mean, there's a distinct answer for every one of these people here.\It's a quandary.\People who want an apology.\People who want to defend themselves.\Parents who want to avenge their children.\Parents who want to clear their children's names.\People who want their bullies to get the same treatment. response:	People who want to return to their circle of friends.
context: I mean, there's a distinct answer for every one of these people here.\It's a quandary.\People who want an apology.\People who want to defend themselves.\Parents who want to avenge their children.\Parents who want to clear their children's names.\People who want their bullies to get the same treatment.\People who want to return to their circle of friends. response:	The configurations of the positions and personalities of people involved are all different.
context: It's a quandary.\People who want an apology.\People who want to defend themselves.\Parents who want to avenge their children.\Parents who want to clear their children's names.\People who want their bullies to get the same treatment.\People who want to return to their circle of friends.\The configurations of the positions and personalities of people involved are all different. response:	That's why there's no perfect answer that can work for every case.
context: People who want an apology.\People who want to defend themselves.\Parents who want to avenge their children.\Parents who want to clear their children's names.\People who want their bullies to get the same treatment.\People who want to return to their circle of friends.\The configurations of the positions and personalities of people involved are all different.\That's why there's no perfect answer that can work for every case. response:	But that doesn't mean you should give up.
context: People who want to defend themselves.\Parents who want to avenge their children.\Parents who want to clear their children's names.\People who want their bullies to get the same treatment.\People who want to return to their circle of friends.\The configurations of the positions and personalities of people involved are all different.\That's why there's no perfect answer that can work for every case.\But that doesn't mean you should give up. response:	If you think, there's no answer to be found so I'll do nothing,
context: Parents who want to avenge their children.\Parents who want to clear their children's names.\People who want their bullies to get the same treatment.\People who want to return to their circle of friends.\The configurations of the positions and personalities of people involved are all different.\That's why there's no perfect answer that can work for every case.\But that doesn't mean you should give up.\If you think, there's no answer to be found so I'll do nothing, response:	But at least we've come to know what not to do.
context: Parents who want to clear their children's names.\People who want their bullies to get the same treatment.\People who want to return to their circle of friends.\The configurations of the positions and personalities of people involved are all different.\That's why there's no perfect answer that can work for every case.\But that doesn't mean you should give up.\If you think, there's no answer to be found so I'll do nothing,\But at least we've come to know what not to do. response:	And that's to stir everyone up with cries of We have to solve this,
context: People who want their bullies to get the same treatment.\People who want to return to their circle of friends.\The configurations of the positions and personalities of people involved are all different.\That's why there's no perfect answer that can work for every case.\But that doesn't mean you should give up.\If you think, there's no answer to be found so I'll do nothing,\But at least we've come to know what not to do.\And that's to stir everyone up with cries of We have to solve this, response:	while ignoring the victim's feelings, and moving ahead too fast.
context: People who want to return to their circle of friends.\The configurations of the positions and personalities of people involved are all different.\That's why there's no perfect answer that can work for every case.\But that doesn't mean you should give up.\If you think, there's no answer to be found so I'll do nothing,\But at least we've come to know what not to do.\And that's to stir everyone up with cries of We have to solve this,\while ignoring the victim's feelings, and moving ahead too fast. response:	I say your daughter is the one who's lying!
context: The configurations of the positions and personalities of people involved are all different.\That's why there's no perfect answer that can work for every case.\But that doesn't mean you should give up.\If you think, there's no answer to be found so I'll do nothing,\But at least we've come to know what not to do.\And that's to stir everyone up with cries of We have to solve this,\while ignoring the victim's feelings, and moving ahead too fast.\I say your daughter is the one who's lying! response:	My kid said she didn't do it!
context: That's why there's no perfect answer that can work for every case.\But that doesn't mean you should give up.\If you think, there's no answer to be found so I'll do nothing,\But at least we've come to know what not to do.\And that's to stir everyone up with cries of We have to solve this,\while ignoring the victim's feelings, and moving ahead too fast.\I say your daughter is the one who's lying!\My kid said she didn't do it! response:	Your daughter's obviously a delinquent!
context: But that doesn't mean you should give up.\If you think, there's no answer to be found so I'll do nothing,\But at least we've come to know what not to do.\And that's to stir everyone up with cries of We have to solve this,\while ignoring the victim's feelings, and moving ahead too fast.\I say your daughter is the one who's lying!\My kid said she didn't do it!\Your daughter's obviously a delinquent! response:	She's tormented the hell out of my daughter!
context: If you think, there's no answer to be found so I'll do nothing,\But at least we've come to know what not to do.\And that's to stir everyone up with cries of We have to solve this,\while ignoring the victim's feelings, and moving ahead too fast.\I say your daughter is the one who's lying!\My kid said she didn't do it!\Your daughter's obviously a delinquent!\She's tormented the hell out of my daughter! response:	Um, I've distributed surveys throughout the school about whether bullying is going on.
context: But at least we've come to know what not to do.\And that's to stir everyone up with cries of We have to solve this,\while ignoring the victim's feelings, and moving ahead too fast.\I say your daughter is the one who's lying!\My kid said she didn't do it!\Your daughter's obviously a delinquent!\She's tormented the hell out of my daughter!\Um, I've distributed surveys throughout the school about whether bullying is going on. response:	- There's no need for that! - You're going to pay for this.
context: And that's to stir everyone up with cries of We have to solve this,\while ignoring the victim's feelings, and moving ahead too fast.\I say your daughter is the one who's lying!\My kid said she didn't do it!\Your daughter's obviously a delinquent!\She's tormented the hell out of my daughter!\Um, I've distributed surveys throughout the school about whether bullying is going on.\- There's no need for that! - You're going to pay for this. response:	No, stop! Stop! Please stop!
context: while ignoring the victim's feelings, and moving ahead too fast.\I say your daughter is the one who's lying!\My kid said she didn't do it!\Your daughter's obviously a delinquent!\She's tormented the hell out of my daughter!\Um, I've distributed surveys throughout the school about whether bullying is going on.\- There's no need for that! - You're going to pay for this.\No, stop! Stop! Please stop! response:	If the victim doesn't want to make a big deal out of it, or even get more people involved,
context: I say your daughter is the one who's lying!\My kid said she didn't do it!\Your daughter's obviously a delinquent!\She's tormented the hell out of my daughter!\Um, I've distributed surveys throughout the school about whether bullying is going on.\- There's no need for that! - You're going to pay for this.\No, stop! Stop! Please stop!\If the victim doesn't want to make a big deal out of it, or even get more people involved, response:	then it's wrong for the families to cause a commotion at school, even if it solves the problem.
context: My kid said she didn't do it!\Your daughter's obviously a delinquent!\She's tormented the hell out of my daughter!\Um, I've distributed surveys throughout the school about whether bullying is going on.\- There's no need for that! - You're going to pay for this.\No, stop! Stop! Please stop!\If the victim doesn't want to make a big deal out of it, or even get more people involved,\then it's wrong for the families to cause a commotion at school, even if it solves the problem. response:	I heard she was bullied during second year.
context: Your daughter's obviously a delinquent!\She's tormented the hell out of my daughter!\Um, I've distributed surveys throughout the school about whether bullying is going on.\- There's no need for that! - You're going to pay for this.\No, stop! Stop! Please stop!\If the victim doesn't want to make a big deal out of it, or even get more people involved,\then it's wrong for the families to cause a commotion at school, even if it solves the problem.\I heard she was bullied during second year. response:	Oh, really?
context: She's tormented the hell out of my daughter!\Um, I've distributed surveys throughout the school about whether bullying is going on.\- There's no need for that! - You're going to pay for this.\No, stop! Stop! Please stop!\If the victim doesn't want to make a big deal out of it, or even get more people involved,\then it's wrong for the families to cause a commotion at school, even if it solves the problem.\I heard she was bullied during second year.\Oh, really? response:	The whole school got involved.
context: Um, I've distributed surveys throughout the school about whether bullying is going on.\- There's no need for that! - You're going to pay for this.\No, stop! Stop! Please stop!\If the victim doesn't want to make a big deal out of it, or even get more people involved,\then it's wrong for the families to cause a commotion at school, even if it solves the problem.\I heard she was bullied during second year.\Oh, really?\The whole school got involved. response:	Wow.
context: - There's no need for that! - You're going to pay for this.\No, stop! Stop! Please stop!\If the victim doesn't want to make a big deal out of it, or even get more people involved,\then it's wrong for the families to cause a commotion at school, even if it solves the problem.\I heard she was bullied during second year.\Oh, really?\The whole school got involved.\Wow. response:	Because even if the bullying died down, if they feel out of place there,
context: No, stop! Stop! Please stop!\If the victim doesn't want to make a big deal out of it, or even get more people involved,\then it's wrong for the families to cause a commotion at school, even if it solves the problem.\I heard she was bullied during second year.\Oh, really?\The whole school got involved.\Wow.\Because even if the bullying died down, if they feel out of place there, response:	then it was all for naught.
context: If the victim doesn't want to make a big deal out of it, or even get more people involved,\then it's wrong for the families to cause a commotion at school, even if it solves the problem.\I heard she was bullied during second year.\Oh, really?\The whole school got involved.\Wow.\Because even if the bullying died down, if they feel out of place there,\then it was all for naught. response:	So the important thing is to ask Hina about what kind of solution she's hoping for.
context: then it's wrong for the families to cause a commotion at school, even if it solves the problem.\I heard she was bullied during second year.\Oh, really?\The whole school got involved.\Wow.\Because even if the bullying died down, if they feel out of place there,\then it was all for naught.\So the important thing is to ask Hina about what kind of solution she's hoping for. response:	It's okay if this takes time,
context: I heard she was bullied during second year.\Oh, really?\The whole school got involved.\Wow.\Because even if the bullying died down, if they feel out of place there,\then it was all for naught.\So the important thing is to ask Hina about what kind of solution she's hoping for.\It's okay if this takes time, response:	so be sure to listen patiently to all of her feelings on the matter.
context: Oh, really?\The whole school got involved.\Wow.\Because even if the bullying died down, if they feel out of place there,\then it was all for naught.\So the important thing is to ask Hina about what kind of solution she's hoping for.\It's okay if this takes time,\so be sure to listen patiently to all of her feelings on the matter. response:	I see. Got it!
context: The whole school got involved.\Wow.\Because even if the bullying died down, if they feel out of place there,\then it was all for naught.\So the important thing is to ask Hina about what kind of solution she's hoping for.\It's okay if this takes time,\so be sure to listen patiently to all of her feelings on the matter.\I see. Got it! response:	SCRIBBLE SCRIBBLE NOTE NOTE
context: Wow.\Because even if the bullying died down, if they feel out of place there,\then it was all for naught.\So the important thing is to ask Hina about what kind of solution she's hoping for.\It's okay if this takes time,\so be sure to listen patiently to all of her feelings on the matter.\I see. Got it!\SCRIBBLE SCRIBBLE NOTE NOTE response:	But actually, what's surprisingly effective is being able to say Stop it
context: Because even if the bullying died down, if they feel out of place there,\then it was all for naught.\So the important thing is to ask Hina about what kind of solution she's hoping for.\It's okay if this takes time,\so be sure to listen patiently to all of her feelings on the matter.\I see. Got it!\SCRIBBLE SCRIBBLE NOTE NOTE\But actually, what's surprisingly effective is being able to say Stop it response:	when the bully does something to them right then and there.
context: then it was all for naught.\So the important thing is to ask Hina about what kind of solution she's hoping for.\It's okay if this takes time,\so be sure to listen patiently to all of her feelings on the matter.\I see. Got it!\SCRIBBLE SCRIBBLE NOTE NOTE\But actually, what's surprisingly effective is being able to say Stop it\when the bully does something to them right then and there. response:	That all rides on whether she's the type of person who can say that or not.
context: So the important thing is to ask Hina about what kind of solution she's hoping for.\It's okay if this takes time,\so be sure to listen patiently to all of her feelings on the matter.\I see. Got it!\SCRIBBLE SCRIBBLE NOTE NOTE\But actually, what's surprisingly effective is being able to say Stop it\when the bully does something to them right then and there.\That all rides on whether she's the type of person who can say that or not. response:	Well...
context: It's okay if this takes time,\so be sure to listen patiently to all of her feelings on the matter.\I see. Got it!\SCRIBBLE SCRIBBLE NOTE NOTE\But actually, what's surprisingly effective is being able to say Stop it\when the bully does something to them right then and there.\That all rides on whether she's the type of person who can say that or not.\Well... response:	Tell me about Hina.
