context: This 50-times gravity is as tough as you'd expect. response:	Yamucha and the others must be going at it.
context: I will not allow the existence of anyone stronger than me. That's all there is to it.\I caught him! Look!\Oh? Oh, my! Even Chaozu has mastered this, has he?\I see. All right, I'll give you your next training lesson.\Hey, Gregory!\Hi! Hello, everybody! I am Gregory!\This guy is your next opponent.\Please knock me down as hard as you can with this hammer. response:	You don't need to hold back.
context: I caught him! Look!\Oh? Oh, my! Even Chaozu has mastered this, has he?\I see. All right, I'll give you your next training lesson.\Hey, Gregory!\Hi! Hello, everybody! I am Gregory!\This guy is your next opponent.\Please knock me down as hard as you can with this hammer.\You don't need to hold back. response:	However...
context: Oh? Oh, my! Even Chaozu has mastered this, has he?\I see. All right, I'll give you your next training lesson.\Hey, Gregory!\Hi! Hello, everybody! I am Gregory!\This guy is your next opponent.\Please knock me down as hard as you can with this hammer.\You don't need to hold back.\However... response:	That assumes that you can keep up with my speed.
context: I see. All right, I'll give you your next training lesson.\Hey, Gregory!\Hi! Hello, everybody! I am Gregory!\This guy is your next opponent.\Please knock me down as hard as you can with this hammer.\You don't need to hold back.\However...\That assumes that you can keep up with my speed. response:	All right, I'll do it.
context: Hey, Gregory!\Hi! Hello, everybody! I am Gregory!\This guy is your next opponent.\Please knock me down as hard as you can with this hammer.\You don't need to hold back.\However...\That assumes that you can keep up with my speed.\All right, I'll do it. response:	Here.
context: Hi! Hello, everybody! I am Gregory!\This guy is your next opponent.\Please knock me down as hard as you can with this hammer.\You don't need to hold back.\However...\That assumes that you can keep up with my speed.\All right, I'll do it.\Here. response:	W- what's with this weight!?
context: This guy is your next opponent.\Please knock me down as hard as you can with this hammer.\You don't need to hold back.\However...\That assumes that you can keep up with my speed.\All right, I'll do it.\Here.\W- what's with this weight!? response:	Ready? Here we go!
context: Please knock me down as hard as you can with this hammer.\You don't need to hold back.\However...\That assumes that you can keep up with my speed.\All right, I'll do it.\Here.\W- what's with this weight!?\Ready? Here we go! response:	B- bring it on!
context: You don't need to hold back.\However...\That assumes that you can keep up with my speed.\All right, I'll do it.\Here.\W- what's with this weight!?\Ready? Here we go!\B- bring it on! response:	Okay...
context: However...\That assumes that you can keep up with my speed.\All right, I'll do it.\Here.\W- what's with this weight!?\Ready? Here we go!\B- bring it on!\Okay... response:	Too slow, too slow!
context: That assumes that you can keep up with my speed.\All right, I'll do it.\Here.\W- what's with this weight!?\Ready? Here we go!\B- bring it on!\Okay...\Too slow, too slow! response:	D- damn!
context: All right, I'll do it.\Here.\W- what's with this weight!?\Ready? Here we go!\B- bring it on!\Okay...\Too slow, too slow!\D- damn! response:	Yamucha, hang in there!
context: Here.\W- what's with this weight!?\Ready? Here we go!\B- bring it on!\Okay...\Too slow, too slow!\D- damn!\Yamucha, hang in there! response:	Yamucha- san, fight!
context: W- what's with this weight!?\Ready? Here we go!\B- bring it on!\Okay...\Too slow, too slow!\D- damn!\Yamucha, hang in there!\Yamucha- san, fight! response:	Hey, Piccolo, aren't you going to do this?
context: Ready? Here we go!\B- bring it on!\Okay...\Too slow, too slow!\D- damn!\Yamucha, hang in there!\Yamucha- san, fight!\Hey, Piccolo, aren't you going to do this? response:	It's a waste of time. I'll train by myself.
context: B- bring it on!\Okay...\Too slow, too slow!\D- damn!\Yamucha, hang in there!\Yamucha- san, fight!\Hey, Piccolo, aren't you going to do this?\It's a waste of time. I'll train by myself. response:	Piccolo...
context: Okay...\Too slow, too slow!\D- damn!\Yamucha, hang in there!\Yamucha- san, fight!\Hey, Piccolo, aren't you going to do this?\It's a waste of time. I'll train by myself.\Piccolo... response:	Chaozu...
context: Too slow, too slow!\D- damn!\Yamucha, hang in there!\Yamucha- san, fight!\Hey, Piccolo, aren't you going to do this?\It's a waste of time. I'll train by myself.\Piccolo...\Chaozu... response:	What's the matter? Are you giving up already?
context: D- damn!\Yamucha, hang in there!\Yamucha- san, fight!\Hey, Piccolo, aren't you going to do this?\It's a waste of time. I'll train by myself.\Piccolo...\Chaozu...\What's the matter? Are you giving up already? response:	D- dammit!
context: Yamucha, hang in there!\Yamucha- san, fight!\Hey, Piccolo, aren't you going to do this?\It's a waste of time. I'll train by myself.\Piccolo...\Chaozu...\What's the matter? Are you giving up already?\D- dammit! response:	Hey! We're going to take a nap now!
context: Yamucha- san, fight!\Hey, Piccolo, aren't you going to do this?\It's a waste of time. I'll train by myself.\Piccolo...\Chaozu...\What's the matter? Are you giving up already?\D- dammit!\Hey! We're going to take a nap now! response:	Piccolo is sleeping comfortably out back. Don't push yourselves too hard.
context: Hey, Piccolo, aren't you going to do this?\It's a waste of time. I'll train by myself.\Piccolo...\Chaozu...\What's the matter? Are you giving up already?\D- dammit!\Hey! We're going to take a nap now!\Piccolo is sleeping comfortably out back. Don't push yourselves too hard. response:	I- I'm not about to be lumped in with that guy! I'm up next!
context: It's a waste of time. I'll train by myself.\Piccolo...\Chaozu...\What's the matter? Are you giving up already?\D- dammit!\Hey! We're going to take a nap now!\Piccolo is sleeping comfortably out back. Don't push yourselves too hard.\I- I'm not about to be lumped in with that guy! I'm up next! response:	My, my...
context: Piccolo...\Chaozu...\What's the matter? Are you giving up already?\D- dammit!\Hey! We're going to take a nap now!\Piccolo is sleeping comfortably out back. Don't push yourselves too hard.\I- I'm not about to be lumped in with that guy! I'm up next!\My, my... response:	Oh, dear...
context: Chaozu...\What's the matter? Are you giving up already?\D- dammit!\Hey! We're going to take a nap now!\Piccolo is sleeping comfortably out back. Don't push yourselves too hard.\I- I'm not about to be lumped in with that guy! I'm up next!\My, my...\Oh, dear... response:	There's someone even stronger than that Saiyan.
context: What's the matter? Are you giving up already?\D- dammit!\Hey! We're going to take a nap now!\Piccolo is sleeping comfortably out back. Don't push yourselves too hard.\I- I'm not about to be lumped in with that guy! I'm up next!\My, my...\Oh, dear...\There's someone even stronger than that Saiyan. response:	How is he?
context: D- dammit!\Hey! We're going to take a nap now!\Piccolo is sleeping comfortably out back. Don't push yourselves too hard.\I- I'm not about to be lumped in with that guy! I'm up next!\My, my...\Oh, dear...\There's someone even stronger than that Saiyan.\How is he? response:	His condition is fairly serious. His life signs are extremely faint.
context: Hey! We're going to take a nap now!\Piccolo is sleeping comfortably out back. Don't push yourselves too hard.\I- I'm not about to be lumped in with that guy! I'm up next!\My, my...\Oh, dear...\There's someone even stronger than that Saiyan.\How is he?\His condition is fairly serious. His life signs are extremely faint. response:	Even if he does pull through, I'm not sure whether or not he will regain consciousness.
context: Piccolo is sleeping comfortably out back. Don't push yourselves too hard.\I- I'm not about to be lumped in with that guy! I'm up next!\My, my...\Oh, dear...\There's someone even stronger than that Saiyan.\How is he?\His condition is fairly serious. His life signs are extremely faint.\Even if he does pull through, I'm not sure whether or not he will regain consciousness. response:	Make sure he recovers, no matter what it takes!
context: I- I'm not about to be lumped in with that guy! I'm up next!\My, my...\Oh, dear...\There's someone even stronger than that Saiyan.\How is he?\His condition is fairly serious. His life signs are extremely faint.\Even if he does pull through, I'm not sure whether or not he will regain consciousness.\Make sure he recovers, no matter what it takes! response:	Use whatever methods you have to, understand!?
context: My, my...\Oh, dear...\There's someone even stronger than that Saiyan.\How is he?\His condition is fairly serious. His life signs are extremely faint.\Even if he does pull through, I'm not sure whether or not he will regain consciousness.\Make sure he recovers, no matter what it takes!\Use whatever methods you have to, understand!? response:	Y- yes, sir.
context: Oh, dear...\There's someone even stronger than that Saiyan.\How is he?\His condition is fairly serious. His life signs are extremely faint.\Even if he does pull through, I'm not sure whether or not he will regain consciousness.\Make sure he recovers, no matter what it takes!\Use whatever methods you have to, understand!?\Y- yes, sir. response:	Otherwise, it will mean my life.
context: There's someone even stronger than that Saiyan.\How is he?\His condition is fairly serious. His life signs are extremely faint.\Even if he does pull through, I'm not sure whether or not he will regain consciousness.\Make sure he recovers, no matter what it takes!\Use whatever methods you have to, understand!?\Y- yes, sir.\Otherwise, it will mean my life. response:	All right...
context: How is he?\His condition is fairly serious. His life signs are extremely faint.\Even if he does pull through, I'm not sure whether or not he will regain consciousness.\Make sure he recovers, no matter what it takes!\Use whatever methods you have to, understand!?\Y- yes, sir.\Otherwise, it will mean my life.\All right... response:	Hey, hey! You can do it, you can do it!
context: His condition is fairly serious. His life signs are extremely faint.\Even if he does pull through, I'm not sure whether or not he will regain consciousness.\Make sure he recovers, no matter what it takes!\Use whatever methods you have to, understand!?\Y- yes, sir.\Otherwise, it will mean my life.\All right...\Hey, hey! You can do it, you can do it! response:	Chaozu, go easy on him! Easy!
context: Even if he does pull through, I'm not sure whether or not he will regain consciousness.\Make sure he recovers, no matter what it takes!\Use whatever methods you have to, understand!?\Y- yes, sir.\Otherwise, it will mean my life.\All right...\Hey, hey! You can do it, you can do it!\Chaozu, go easy on him! Easy! response:	-Okay, this is it, the bottom of the 9th, 2 outs, bases loaded! -All right, Chaozu, go!
context: Make sure he recovers, no matter what it takes!\Use whatever methods you have to, understand!?\Y- yes, sir.\Otherwise, it will mean my life.\All right...\Hey, hey! You can do it, you can do it!\Chaozu, go easy on him! Easy!\-Okay, this is it, the bottom of the 9th, 2 outs, bases loaded! -All right, Chaozu, go! response:	-The count is 3-2. If he runs away, the walk scores a run, and it's goodbye! -Knock it out of here!
context: Use whatever methods you have to, understand!?\Y- yes, sir.\Otherwise, it will mean my life.\All right...\Hey, hey! You can do it, you can do it!\Chaozu, go easy on him! Easy!\-Okay, this is it, the bottom of the 9th, 2 outs, bases loaded! -All right, Chaozu, go!\-The count is 3-2. If he runs away, the walk scores a run, and it's goodbye! -Knock it out of here! response:	M- me, run away!? You're trying to make a fool of me!
context: Y- yes, sir.\Otherwise, it will mean my life.\All right...\Hey, hey! You can do it, you can do it!\Chaozu, go easy on him! Easy!\-Okay, this is it, the bottom of the 9th, 2 outs, bases loaded! -All right, Chaozu, go!\-The count is 3-2. If he runs away, the walk scores a run, and it's goodbye! -Knock it out of here!\M- me, run away!? You're trying to make a fool of me! response:	V- very well, I'll show you! It's not going to be that easy!
context: Otherwise, it will mean my life.\All right...\Hey, hey! You can do it, you can do it!\Chaozu, go easy on him! Easy!\-Okay, this is it, the bottom of the 9th, 2 outs, bases loaded! -All right, Chaozu, go!\-The count is 3-2. If he runs away, the walk scores a run, and it's goodbye! -Knock it out of here!\M- me, run away!? You're trying to make a fool of me!\V- very well, I'll show you! It's not going to be that easy! response:	Any time you're ready.
context: All right...\Hey, hey! You can do it, you can do it!\Chaozu, go easy on him! Easy!\-Okay, this is it, the bottom of the 9th, 2 outs, bases loaded! -All right, Chaozu, go!\-The count is 3-2. If he runs away, the walk scores a run, and it's goodbye! -Knock it out of here!\M- me, run away!? You're trying to make a fool of me!\V- very well, I'll show you! It's not going to be that easy!\Any time you're ready. response:	W- why, you! Hit this one, if you can!
context: Hey, hey! You can do it, you can do it!\Chaozu, go easy on him! Easy!\-Okay, this is it, the bottom of the 9th, 2 outs, bases loaded! -All right, Chaozu, go!\-The count is 3-2. If he runs away, the walk scores a run, and it's goodbye! -Knock it out of here!\M- me, run away!? You're trying to make a fool of me!\V- very well, I'll show you! It's not going to be that easy!\Any time you're ready.\W- why, you! Hit this one, if you can! response:	Not so fast! Forkball!
context: Chaozu, go easy on him! Easy!\-Okay, this is it, the bottom of the 9th, 2 outs, bases loaded! -All right, Chaozu, go!\-The count is 3-2. If he runs away, the walk scores a run, and it's goodbye! -Knock it out of here!\M- me, run away!? You're trying to make a fool of me!\V- very well, I'll show you! It's not going to be that easy!\Any time you're ready.\W- why, you! Hit this one, if you can!\Not so fast! Forkball! response:	Crack!
context: -Okay, this is it, the bottom of the 9th, 2 outs, bases loaded! -All right, Chaozu, go!\-The count is 3-2. If he runs away, the walk scores a run, and it's goodbye! -Knock it out of here!\M- me, run away!? You're trying to make a fool of me!\V- very well, I'll show you! It's not going to be that easy!\Any time you're ready.\W- why, you! Hit this one, if you can!\Not so fast! Forkball!\Crack! response:	W- w- what was that!?
