context: Tomoyo-chan, is your leg okay? response:	I just sprained it a little, so'
context: You're fast, Li-kun!\Shao Lan!\Mei Li.\It looks like we'll be number one\in the Marathon Competition!\Mei Li-chan, you're good at marathons, then?\Who told you I was good at it?\You're going to be crying and running way behind me, you know. response:	Why am I going to cry?
context: Shao Lan!\Mei Li.\It looks like we'll be number one\in the Marathon Competition!\Mei Li-chan, you're good at marathons, then?\Who told you I was good at it?\You're going to be crying and running way behind me, you know.\Why am I going to cry? response:	Crying because you're jealous.
context: Mei Li.\It looks like we'll be number one\in the Marathon Competition!\Mei Li-chan, you're good at marathons, then?\Who told you I was good at it?\You're going to be crying and running way behind me, you know.\Why am I going to cry?\Crying because you're jealous. response:	But, Mei Li have you ever run long distance before?
context: It looks like we'll be number one\in the Marathon Competition!\Mei Li-chan, you're good at marathons, then?\Who told you I was good at it?\You're going to be crying and running way behind me, you know.\Why am I going to cry?\Crying because you're jealous.\But, Mei Li have you ever run long distance before? response:	Just like the previous group, it's 5 times around the track.
context: in the Marathon Competition!\Mei Li-chan, you're good at marathons, then?\Who told you I was good at it?\You're going to be crying and running way behind me, you know.\Why am I going to cry?\Crying because you're jealous.\But, Mei Li have you ever run long distance before?\Just like the previous group, it's 5 times around the track. response:	Make sure to set your own pace as you run.
context: Mei Li-chan, you're good at marathons, then?\Who told you I was good at it?\You're going to be crying and running way behind me, you know.\Why am I going to cry?\Crying because you're jealous.\But, Mei Li have you ever run long distance before?\Just like the previous group, it's 5 times around the track.\Make sure to set your own pace as you run. response:	Yes!
context: Who told you I was good at it?\You're going to be crying and running way behind me, you know.\Why am I going to cry?\Crying because you're jealous.\But, Mei Li have you ever run long distance before?\Just like the previous group, it's 5 times around the track.\Make sure to set your own pace as you run.\Yes! response:	Then get ready.
context: You're going to be crying and running way behind me, you know.\Why am I going to cry?\Crying because you're jealous.\But, Mei Li have you ever run long distance before?\Just like the previous group, it's 5 times around the track.\Make sure to set your own pace as you run.\Yes!\Then get ready. response:	Set!
context: Why am I going to cry?\Crying because you're jealous.\But, Mei Li have you ever run long distance before?\Just like the previous group, it's 5 times around the track.\Make sure to set your own pace as you run.\Yes!\Then get ready.\Set! response:	Start!
context: Crying because you're jealous.\But, Mei Li have you ever run long distance before?\Just like the previous group, it's 5 times around the track.\Make sure to set your own pace as you run.\Yes!\Then get ready.\Set!\Start! response:	Fast!
context: But, Mei Li have you ever run long distance before?\Just like the previous group, it's 5 times around the track.\Make sure to set your own pace as you run.\Yes!\Then get ready.\Set!\Start!\Fast! response:	You.
context: Just like the previous group, it's 5 times around the track.\Make sure to set your own pace as you run.\Yes!\Then get ready.\Set!\Start!\Fast!\You. response:	You're seeing me run and you're amazed, aren't you?
context: Make sure to set your own pace as you run.\Yes!\Then get ready.\Set!\Start!\Fast!\You.\You're seeing me run and you're amazed, aren't you? response:	Did it!
context: Yes!\Then get ready.\Set!\Start!\Fast!\You.\You're seeing me run and you're amazed, aren't you?\Did it! response:	Mei Li-chan!
context: Then get ready.\Set!\Start!\Fast!\You.\You're seeing me run and you're amazed, aren't you?\Did it!\Mei Li-chan! response:	No more'
context: Set!\Start!\Fast!\You.\You're seeing me run and you're amazed, aren't you?\Did it!\Mei Li-chan!\No more' response:	Feels good!
context: Start!\Fast!\You.\You're seeing me run and you're amazed, aren't you?\Did it!\Mei Li-chan!\No more'\Feels good! response:	Here.
context: Fast!\You.\You're seeing me run and you're amazed, aren't you?\Did it!\Mei Li-chan!\No more'\Feels good!\Here. response:	Thank you.
context: You.\You're seeing me run and you're amazed, aren't you?\Did it!\Mei Li-chan!\No more'\Feels good!\Here.\Thank you. response:	Are you okay, Mei Li-chan?
context: You're seeing me run and you're amazed, aren't you?\Did it!\Mei Li-chan!\No more'\Feels good!\Here.\Thank you.\Are you okay, Mei Li-chan? response:	It's just that I'm not in the best of health today.
context: Did it!\Mei Li-chan!\No more'\Feels good!\Here.\Thank you.\Are you okay, Mei Li-chan?\It's just that I'm not in the best of health today. response:	I've never lost to anyone
context: Mei Li-chan!\No more'\Feels good!\Here.\Thank you.\Are you okay, Mei Li-chan?\It's just that I'm not in the best of health today.\I've never lost to anyone response:	but Shao Lan in a race until now.
context: No more'\Feels good!\Here.\Thank you.\Are you okay, Mei Li-chan?\It's just that I'm not in the best of health today.\I've never lost to anyone\but Shao Lan in a race until now. response:	Race? But you've only run a 100m race until now.
context: Feels good!\Here.\Thank you.\Are you okay, Mei Li-chan?\It's just that I'm not in the best of health today.\I've never lost to anyone\but Shao Lan in a race until now.\Race? But you've only run a 100m race until now. response:	Huh?
context: Here.\Thank you.\Are you okay, Mei Li-chan?\It's just that I'm not in the best of health today.\I've never lost to anyone\but Shao Lan in a race until now.\Race? But you've only run a 100m race until now.\Huh? response:	Between a 100m
context: Thank you.\Are you okay, Mei Li-chan?\It's just that I'm not in the best of health today.\I've never lost to anyone\but Shao Lan in a race until now.\Race? But you've only run a 100m race until now.\Huh?\Between a 100m response:	and a marathon, even the way you run is different.
context: Are you okay, Mei Li-chan?\It's just that I'm not in the best of health today.\I've never lost to anyone\but Shao Lan in a race until now.\Race? But you've only run a 100m race until now.\Huh?\Between a 100m\and a marathon, even the way you run is different. response:	Why? It's the same race.
context: It's just that I'm not in the best of health today.\I've never lost to anyone\but Shao Lan in a race until now.\Race? But you've only run a 100m race until now.\Huh?\Between a 100m\and a marathon, even the way you run is different.\Why? It's the same race. response:	How do you get fast
context: I've never lost to anyone\but Shao Lan in a race until now.\Race? But you've only run a 100m race until now.\Huh?\Between a 100m\and a marathon, even the way you run is different.\Why? It's the same race.\How do you get fast response:	like Sakura-chan and Yamazaki-kun?
context: but Shao Lan in a race until now.\Race? But you've only run a 100m race until now.\Huh?\Between a 100m\and a marathon, even the way you run is different.\Why? It's the same race.\How do you get fast\like Sakura-chan and Yamazaki-kun? response:	It's definitely training.
context: Race? But you've only run a 100m race until now.\Huh?\Between a 100m\and a marathon, even the way you run is different.\Why? It's the same race.\How do you get fast\like Sakura-chan and Yamazaki-kun?\It's definitely training. response:	Marathon training is ideal at high elevations.
context: Huh?\Between a 100m\and a marathon, even the way you run is different.\Why? It's the same race.\How do you get fast\like Sakura-chan and Yamazaki-kun?\It's definitely training.\Marathon training is ideal at high elevations. response:	High elevations? You mean like a tall mountain?
context: Between a 100m\and a marathon, even the way you run is different.\Why? It's the same race.\How do you get fast\like Sakura-chan and Yamazaki-kun?\It's definitely training.\Marathon training is ideal at high elevations.\High elevations? You mean like a tall mountain? response:	A marathon runner trains on high mountains
context: and a marathon, even the way you run is different.\Why? It's the same race.\How do you get fast\like Sakura-chan and Yamazaki-kun?\It's definitely training.\Marathon training is ideal at high elevations.\High elevations? You mean like a tall mountain?\A marathon runner trains on high mountains response:	like Fuji-san.
context: Why? It's the same race.\How do you get fast\like Sakura-chan and Yamazaki-kun?\It's definitely training.\Marathon training is ideal at high elevations.\High elevations? You mean like a tall mountain?\A marathon runner trains on high mountains\like Fuji-san. response:	The tallest mountains in the world
context: How do you get fast\like Sakura-chan and Yamazaki-kun?\It's definitely training.\Marathon training is ideal at high elevations.\High elevations? You mean like a tall mountain?\A marathon runner trains on high mountains\like Fuji-san.\The tallest mountains in the world response:	were first scaled by marathon runners in training.
context: like Sakura-chan and Yamazaki-kun?\It's definitely training.\Marathon training is ideal at high elevations.\High elevations? You mean like a tall mountain?\A marathon runner trains on high mountains\like Fuji-san.\The tallest mountains in the world\were first scaled by marathon runners in training. response:	Eh?
context: It's definitely training.\Marathon training is ideal at high elevations.\High elevations? You mean like a tall mountain?\A marathon runner trains on high mountains\like Fuji-san.\The tallest mountains in the world\were first scaled by marathon runners in training.\Eh? response:	There aren't any tall mountains
context: Marathon training is ideal at high elevations.\High elevations? You mean like a tall mountain?\A marathon runner trains on high mountains\like Fuji-san.\The tallest mountains in the world\were first scaled by marathon runners in training.\Eh?\There aren't any tall mountains response:	like that in Tomoeda-cho.
context: High elevations? You mean like a tall mountain?\A marathon runner trains on high mountains\like Fuji-san.\The tallest mountains in the world\were first scaled by marathon runners in training.\Eh?\There aren't any tall mountains\like that in Tomoeda-cho. response:	World-class marathon runners are also world-class mountain climbers, too.
context: A marathon runner trains on high mountains\like Fuji-san.\The tallest mountains in the world\were first scaled by marathon runners in training.\Eh?\There aren't any tall mountains\like that in Tomoeda-cho.\World-class marathon runners are also world-class mountain climbers, too. response:	It begins again. Yamazaki-kun's lies.
context: like Fuji-san.\The tallest mountains in the world\were first scaled by marathon runners in training.\Eh?\There aren't any tall mountains\like that in Tomoeda-cho.\World-class marathon runners are also world-class mountain climbers, too.\It begins again. Yamazaki-kun's lies. response:	Is it a lie?
context: The tallest mountains in the world\were first scaled by marathon runners in training.\Eh?\There aren't any tall mountains\like that in Tomoeda-cho.\World-class marathon runners are also world-class mountain climbers, too.\It begins again. Yamazaki-kun's lies.\Is it a lie? response:	But training is important.
context: were first scaled by marathon runners in training.\Eh?\There aren't any tall mountains\like that in Tomoeda-cho.\World-class marathon runners are also world-class mountain climbers, too.\It begins again. Yamazaki-kun's lies.\Is it a lie?\But training is important. response:	Uh huh! I'll work on it.
context: Eh?\There aren't any tall mountains\like that in Tomoeda-cho.\World-class marathon runners are also world-class mountain climbers, too.\It begins again. Yamazaki-kun's lies.\Is it a lie?\But training is important.\Uh huh! I'll work on it. response:	Training, huh?
context: There aren't any tall mountains\like that in Tomoeda-cho.\World-class marathon runners are also world-class mountain climbers, too.\It begins again. Yamazaki-kun's lies.\Is it a lie?\But training is important.\Uh huh! I'll work on it.\Training, huh? response:	Gochisousama!
context: like that in Tomoeda-cho.\World-class marathon runners are also world-class mountain climbers, too.\It begins again. Yamazaki-kun's lies.\Is it a lie?\But training is important.\Uh huh! I'll work on it.\Training, huh?\Gochisousama! response:	That reminds me, this Friday
context: World-class marathon runners are also world-class mountain climbers, too.\It begins again. Yamazaki-kun's lies.\Is it a lie?\But training is important.\Uh huh! I'll work on it.\Training, huh?\Gochisousama!\That reminds me, this Friday response:	is Sakura-san's Marathon Competiton, isn't it?
context: It begins again. Yamazaki-kun's lies.\Is it a lie?\But training is important.\Uh huh! I'll work on it.\Training, huh?\Gochisousama!\That reminds me, this Friday\is Sakura-san's Marathon Competiton, isn't it? response:	Yes.
context: Is it a lie?\But training is important.\Uh huh! I'll work on it.\Training, huh?\Gochisousama!\That reminds me, this Friday\is Sakura-san's Marathon Competiton, isn't it?\Yes. response:	And you won last year, didn't you?
context: But training is important.\Uh huh! I'll work on it.\Training, huh?\Gochisousama!\That reminds me, this Friday\is Sakura-san's Marathon Competiton, isn't it?\Yes.\And you won last year, didn't you? response:	What's the start time for your grade?
context: Uh huh! I'll work on it.\Training, huh?\Gochisousama!\That reminds me, this Friday\is Sakura-san's Marathon Competiton, isn't it?\Yes.\And you won last year, didn't you?\What's the start time for your grade? response:	Right after lunch recess ends.
context: Training, huh?\Gochisousama!\That reminds me, this Friday\is Sakura-san's Marathon Competiton, isn't it?\Yes.\And you won last year, didn't you?\What's the start time for your grade?\Right after lunch recess ends. response:	That so? Then maybe I'll go watch, too.
context: Gochisousama!\That reminds me, this Friday\is Sakura-san's Marathon Competiton, isn't it?\Yes.\And you won last year, didn't you?\What's the start time for your grade?\Right after lunch recess ends.\That so? Then maybe I'll go watch, too. response:	Huh?
context: That reminds me, this Friday\is Sakura-san's Marathon Competiton, isn't it?\Yes.\And you won last year, didn't you?\What's the start time for your grade?\Right after lunch recess ends.\That so? Then maybe I'll go watch, too.\Huh? response:	That day I only have class during the morning.
context: is Sakura-san's Marathon Competiton, isn't it?\Yes.\And you won last year, didn't you?\What's the start time for your grade?\Right after lunch recess ends.\That so? Then maybe I'll go watch, too.\Huh?\That day I only have class during the morning. response:	Will Yukito-san come watch, too?
context: Yes.\And you won last year, didn't you?\What's the start time for your grade?\Right after lunch recess ends.\That so? Then maybe I'll go watch, too.\Huh?\That day I only have class during the morning.\Will Yukito-san come watch, too? response:	He's in the same class, so he doesn't have class, either.
context: And you won last year, didn't you?\What's the start time for your grade?\Right after lunch recess ends.\That so? Then maybe I'll go watch, too.\Huh?\That day I only have class during the morning.\Will Yukito-san come watch, too?\He's in the same class, so he doesn't have class, either. response:	Where are you running?
context: What's the start time for your grade?\Right after lunch recess ends.\That so? Then maybe I'll go watch, too.\Huh?\That day I only have class during the morning.\Will Yukito-san come watch, too?\He's in the same class, so he doesn't have class, either.\Where are you running? response:	Um, first once around the school,
context: Right after lunch recess ends.\That so? Then maybe I'll go watch, too.\Huh?\That day I only have class during the morning.\Will Yukito-san come watch, too?\He's in the same class, so he doesn't have class, either.\Where are you running?\Um, first once around the school, response:	then into Penguin Park,
context: That so? Then maybe I'll go watch, too.\Huh?\That day I only have class during the morning.\Will Yukito-san come watch, too?\He's in the same class, so he doesn't have class, either.\Where are you running?\Um, first once around the school,\then into Penguin Park, response:	then outside the park, around the Sakura tree,
context: Huh?\That day I only have class during the morning.\Will Yukito-san come watch, too?\He's in the same class, so he doesn't have class, either.\Where are you running?\Um, first once around the school,\then into Penguin Park,\then outside the park, around the Sakura tree, response:	we pass next to the library,
context: That day I only have class during the morning.\Will Yukito-san come watch, too?\He's in the same class, so he doesn't have class, either.\Where are you running?\Um, first once around the school,\then into Penguin Park,\then outside the park, around the Sakura tree,\we pass next to the library, response:	then through the park again, and back to school.
context: Will Yukito-san come watch, too?\He's in the same class, so he doesn't have class, either.\Where are you running?\Um, first once around the school,\then into Penguin Park,\then outside the park, around the Sakura tree,\we pass next to the library,\then through the park again, and back to school. response:	That's a lot.
context: He's in the same class, so he doesn't have class, either.\Where are you running?\Um, first once around the school,\then into Penguin Park,\then outside the park, around the Sakura tree,\we pass next to the library,\then through the park again, and back to school.\That's a lot. response:	The whole way is 2.5km,
context: Where are you running?\Um, first once around the school,\then into Penguin Park,\then outside the park, around the Sakura tree,\we pass next to the library,\then through the park again, and back to school.\That's a lot.\The whole way is 2.5km, response:	but I like running, so'
context: Um, first once around the school,\then into Penguin Park,\then outside the park, around the Sakura tree,\we pass next to the library,\then through the park again, and back to school.\That's a lot.\The whole way is 2.5km,\but I like running, so' response:	In your case, Sakura, you train everyday, so'
context: then into Penguin Park,\then outside the park, around the Sakura tree,\we pass next to the library,\then through the park again, and back to school.\That's a lot.\The whole way is 2.5km,\but I like running, so'\In your case, Sakura, you train everyday, so' response:	Eh!
context: then outside the park, around the Sakura tree,\we pass next to the library,\then through the park again, and back to school.\That's a lot.\The whole way is 2.5km,\but I like running, so'\In your case, Sakura, you train everyday, so'\Eh! response:	Don't you run as fast as you can every morning to school?
context: we pass next to the library,\then through the park again, and back to school.\That's a lot.\The whole way is 2.5km,\but I like running, so'\In your case, Sakura, you train everyday, so'\Eh!\Don't you run as fast as you can every morning to school? response:	I slept in too late! You say.
context: then through the park again, and back to school.\That's a lot.\The whole way is 2.5km,\but I like running, so'\In your case, Sakura, you train everyday, so'\Eh!\Don't you run as fast as you can every morning to school?\I slept in too late! You say. response:	Yuki was impressed, too.
context: That's a lot.\The whole way is 2.5km,\but I like running, so'\In your case, Sakura, you train everyday, so'\Eh!\Don't you run as fast as you can every morning to school?\I slept in too late! You say.\Yuki was impressed, too. response:	After all, you catch up to my bike.
context: The whole way is 2.5km,\but I like running, so'\In your case, Sakura, you train everyday, so'\Eh!\Don't you run as fast as you can every morning to school?\I slept in too late! You say.\Yuki was impressed, too.\After all, you catch up to my bike. response:	Goshisousama.
context: but I like running, so'\In your case, Sakura, you train everyday, so'\Eh!\Don't you run as fast as you can every morning to school?\I slept in too late! You say.\Yuki was impressed, too.\After all, you catch up to my bike.\Goshisousama. response:	Where are you going?
context: In your case, Sakura, you train everyday, so'\Eh!\Don't you run as fast as you can every morning to school?\I slept in too late! You say.\Yuki was impressed, too.\After all, you catch up to my bike.\Goshisousama.\Where are you going? response:	Marathon training!
context: Eh!\Don't you run as fast as you can every morning to school?\I slept in too late! You say.\Yuki was impressed, too.\After all, you catch up to my bike.\Goshisousama.\Where are you going?\Marathon training! response:	You shouldn't.
context: Don't you run as fast as you can every morning to school?\I slept in too late! You say.\Yuki was impressed, too.\After all, you catch up to my bike.\Goshisousama.\Where are you going?\Marathon training!\You shouldn't. response:	What?
context: I slept in too late! You say.\Yuki was impressed, too.\After all, you catch up to my bike.\Goshisousama.\Where are you going?\Marathon training!\You shouldn't.\What? response:	Shao Lan,
context: Yuki was impressed, too.\After all, you catch up to my bike.\Goshisousama.\Where are you going?\Marathon training!\You shouldn't.\What?\Shao Lan, response:	don't you want to win with me?
context: After all, you catch up to my bike.\Goshisousama.\Where are you going?\Marathon training!\You shouldn't.\What?\Shao Lan,\don't you want to win with me? response:	Mei Li-sama,
context: Goshisousama.\Where are you going?\Marathon training!\You shouldn't.\What?\Shao Lan,\don't you want to win with me?\Mei Li-sama, response:	it's better if you don't exercise vigorously right after a meal.
context: Where are you going?\Marathon training!\You shouldn't.\What?\Shao Lan,\don't you want to win with me?\Mei Li-sama,\it's better if you don't exercise vigorously right after a meal. response:	Eh!
context: Marathon training!\You shouldn't.\What?\Shao Lan,\don't you want to win with me?\Mei Li-sama,\it's better if you don't exercise vigorously right after a meal.\Eh! response:	You'll get a stomachache.
context: You shouldn't.\What?\Shao Lan,\don't you want to win with me?\Mei Li-sama,\it's better if you don't exercise vigorously right after a meal.\Eh!\You'll get a stomachache. response:	I'll be fine, already!
context: What?\Shao Lan,\don't you want to win with me?\Mei Li-sama,\it's better if you don't exercise vigorously right after a meal.\Eh!\You'll get a stomachache.\I'll be fine, already! response:	Stupid Shao Lan!
context: Shao Lan,\don't you want to win with me?\Mei Li-sama,\it's better if you don't exercise vigorously right after a meal.\Eh!\You'll get a stomachache.\I'll be fine, already!\Stupid Shao Lan! response:	Sneeze!
context: don't you want to win with me?\Mei Li-sama,\it's better if you don't exercise vigorously right after a meal.\Eh!\You'll get a stomachache.\I'll be fine, already!\Stupid Shao Lan!\Sneeze! response:	My tummy hurts.
context: Mei Li-sama,\it's better if you don't exercise vigorously right after a meal.\Eh!\You'll get a stomachache.\I'll be fine, already!\Stupid Shao Lan!\Sneeze!\My tummy hurts. response:	You'll get cold.
context: it's better if you don't exercise vigorously right after a meal.\Eh!\You'll get a stomachache.\I'll be fine, already!\Stupid Shao Lan!\Sneeze!\My tummy hurts.\You'll get cold. response:	Breathing method?
context: Eh!\You'll get a stomachache.\I'll be fine, already!\Stupid Shao Lan!\Sneeze!\My tummy hurts.\You'll get cold.\Breathing method? response:	Rhythmically, like'su-su-ha-ha'.
context: You'll get a stomachache.\I'll be fine, already!\Stupid Shao Lan!\Sneeze!\My tummy hurts.\You'll get cold.\Breathing method?\Rhythmically, like'su-su-ha-ha'. response:	And then, maybe you should run more leisurely'
context: I'll be fine, already!\Stupid Shao Lan!\Sneeze!\My tummy hurts.\You'll get cold.\Breathing method?\Rhythmically, like'su-su-ha-ha'.\And then, maybe you should run more leisurely' response:	Leisurely?
context: Stupid Shao Lan!\Sneeze!\My tummy hurts.\You'll get cold.\Breathing method?\Rhythmically, like'su-su-ha-ha'.\And then, maybe you should run more leisurely'\Leisurely? response:	Leave a little energy for the finish.
context: Sneeze!\My tummy hurts.\You'll get cold.\Breathing method?\Rhythmically, like'su-su-ha-ha'.\And then, maybe you should run more leisurely'\Leisurely?\Leave a little energy for the finish. response:	When you see the goal,
context: My tummy hurts.\You'll get cold.\Breathing method?\Rhythmically, like'su-su-ha-ha'.\And then, maybe you should run more leisurely'\Leisurely?\Leave a little energy for the finish.\When you see the goal, response:	then use all that saved energy at once.
context: You'll get cold.\Breathing method?\Rhythmically, like'su-su-ha-ha'.\And then, maybe you should run more leisurely'\Leisurely?\Leave a little energy for the finish.\When you see the goal,\then use all that saved energy at once. response:	Thank you, Wei. I'll try it.
context: Breathing method?\Rhythmically, like'su-su-ha-ha'.\And then, maybe you should run more leisurely'\Leisurely?\Leave a little energy for the finish.\When you see the goal,\then use all that saved energy at once.\Thank you, Wei. I'll try it. response:	Give your thanks to Shao Lan-sama.
context: Rhythmically, like'su-su-ha-ha'.\And then, maybe you should run more leisurely'\Leisurely?\Leave a little energy for the finish.\When you see the goal,\then use all that saved energy at once.\Thank you, Wei. I'll try it.\Give your thanks to Shao Lan-sama. response:	Shao Lan-sama wanted Mei Li-sama
context: And then, maybe you should run more leisurely'\Leisurely?\Leave a little energy for the finish.\When you see the goal,\then use all that saved energy at once.\Thank you, Wei. I'll try it.\Give your thanks to Shao Lan-sama.\Shao Lan-sama wanted Mei Li-sama response:	to learn the methods of long distance running.
context: Leisurely?\Leave a little energy for the finish.\When you see the goal,\then use all that saved energy at once.\Thank you, Wei. I'll try it.\Give your thanks to Shao Lan-sama.\Shao Lan-sama wanted Mei Li-sama\to learn the methods of long distance running. response:	Shao Lan.
context: Leave a little energy for the finish.\When you see the goal,\then use all that saved energy at once.\Thank you, Wei. I'll try it.\Give your thanks to Shao Lan-sama.\Shao Lan-sama wanted Mei Li-sama\to learn the methods of long distance running.\Shao Lan. response:	I think I'll be able to do it.
context: When you see the goal,\then use all that saved energy at once.\Thank you, Wei. I'll try it.\Give your thanks to Shao Lan-sama.\Shao Lan-sama wanted Mei Li-sama\to learn the methods of long distance running.\Shao Lan.\I think I'll be able to do it. response:	The top fourth grader has come in!
context: then use all that saved energy at once.\Thank you, Wei. I'll try it.\Give your thanks to Shao Lan-sama.\Shao Lan-sama wanted Mei Li-sama\to learn the methods of long distance running.\Shao Lan.\I think I'll be able to do it.\The top fourth grader has come in! response:	The top runners are
context: Thank you, Wei. I'll try it.\Give your thanks to Shao Lan-sama.\Shao Lan-sama wanted Mei Li-sama\to learn the methods of long distance running.\Shao Lan.\I think I'll be able to do it.\The top fourth grader has come in!\The top runners are response:	Shao Lan Li and Mei Li-san of the 2nd group!
context: Give your thanks to Shao Lan-sama.\Shao Lan-sama wanted Mei Li-sama\to learn the methods of long distance running.\Shao Lan.\I think I'll be able to do it.\The top fourth grader has come in!\The top runners are\Shao Lan Li and Mei Li-san of the 2nd group! response:	Shao Lan.
context: Shao Lan-sama wanted Mei Li-sama\to learn the methods of long distance running.\Shao Lan.\I think I'll be able to do it.\The top fourth grader has come in!\The top runners are\Shao Lan Li and Mei Li-san of the 2nd group!\Shao Lan. response:	Mei Li.
context: to learn the methods of long distance running.\Shao Lan.\I think I'll be able to do it.\The top fourth grader has come in!\The top runners are\Shao Lan Li and Mei Li-san of the 2nd group!\Shao Lan.\Mei Li. response:	Shao Lan-kun and Mei Li-san, a very friendly one-two finish!
