context: Come on, Kousei! Don't cry over a skinned knee! response:	You're a man, aren't you?
context: Stop crying, dummy Kousei! You're making me cry...\Here. A towel and a change of clothes.\I'll put your uniform in the dryer.\Thanks.\Where's your family?\My dad's away on business a lot.\Hey, it's bigger than I thought.\There you are. Is coffee okay? I can make you some hot milk, too... response:	Wh-Wh-What...what the heck?
context: Here. A towel and a change of clothes.\I'll put your uniform in the dryer.\Thanks.\Where's your family?\My dad's away on business a lot.\Hey, it's bigger than I thought.\There you are. Is coffee okay? I can make you some hot milk, too...\Wh-Wh-What...what the heck? response:	Sorry, okay? Sorry...
context: I'll put your uniform in the dryer.\Thanks.\Where's your family?\My dad's away on business a lot.\Hey, it's bigger than I thought.\There you are. Is coffee okay? I can make you some hot milk, too...\Wh-Wh-What...what the heck?\Sorry, okay? Sorry... response:	Sorry...
context: Thanks.\Where's your family?\My dad's away on business a lot.\Hey, it's bigger than I thought.\There you are. Is coffee okay? I can make you some hot milk, too...\Wh-Wh-What...what the heck?\Sorry, okay? Sorry...\Sorry... response:	Sorry...
context: Where's your family?\My dad's away on business a lot.\Hey, it's bigger than I thought.\There you are. Is coffee okay? I can make you some hot milk, too...\Wh-Wh-What...what the heck?\Sorry, okay? Sorry...\Sorry...\Sorry... response:	Wholesome playing starts with a wholesome environment!
context: My dad's away on business a lot.\Hey, it's bigger than I thought.\There you are. Is coffee okay? I can make you some hot milk, too...\Wh-Wh-What...what the heck?\Sorry, okay? Sorry...\Sorry...\Sorry...\Wholesome playing starts with a wholesome environment! response:	First order of business - cleanup! Air this place out!
context: Hey, it's bigger than I thought.\There you are. Is coffee okay? I can make you some hot milk, too...\Wh-Wh-What...what the heck?\Sorry, okay? Sorry...\Sorry...\Sorry...\Wholesome playing starts with a wholesome environment!\First order of business - cleanup! Air this place out! response:	Hey, you're next door, Tsubaki-chan!
context: There you are. Is coffee okay? I can make you some hot milk, too...\Wh-Wh-What...what the heck?\Sorry, okay? Sorry...\Sorry...\Sorry...\Wholesome playing starts with a wholesome environment!\First order of business - cleanup! Air this place out!\Hey, you're next door, Tsubaki-chan! response:	It's not what it looks like!
context: Wh-Wh-What...what the heck?\Sorry, okay? Sorry...\Sorry...\Sorry...\Wholesome playing starts with a wholesome environment!\First order of business - cleanup! Air this place out!\Hey, you're next door, Tsubaki-chan!\It's not what it looks like! response:	There's a good reason for this!
context: Sorry, okay? Sorry...\Sorry...\Sorry...\Wholesome playing starts with a wholesome environment!\First order of business - cleanup! Air this place out!\Hey, you're next door, Tsubaki-chan!\It's not what it looks like!\There's a good reason for this! response:	Kao-chan?
context: Sorry...\Sorry...\Wholesome playing starts with a wholesome environment!\First order of business - cleanup! Air this place out!\Hey, you're next door, Tsubaki-chan!\It's not what it looks like!\There's a good reason for this!\Kao-chan? response:	In Kousei's clothes? With wet hair?
context: Sorry...\Wholesome playing starts with a wholesome environment!\First order of business - cleanup! Air this place out!\Hey, you're next door, Tsubaki-chan!\It's not what it looks like!\There's a good reason for this!\Kao-chan?\In Kousei's clothes? With wet hair? response:	Whaaat?
context: Wholesome playing starts with a wholesome environment!\First order of business - cleanup! Air this place out!\Hey, you're next door, Tsubaki-chan!\It's not what it looks like!\There's a good reason for this!\Kao-chan?\In Kousei's clothes? With wet hair?\Whaaat? response:	She sure is fired up, that Tsubaki.
context: First order of business - cleanup! Air this place out!\Hey, you're next door, Tsubaki-chan!\It's not what it looks like!\There's a good reason for this!\Kao-chan?\In Kousei's clothes? With wet hair?\Whaaat?\She sure is fired up, that Tsubaki. response:	Isn't she just on a rampage?
context: Hey, you're next door, Tsubaki-chan!\It's not what it looks like!\There's a good reason for this!\Kao-chan?\In Kousei's clothes? With wet hair?\Whaaat?\She sure is fired up, that Tsubaki.\Isn't she just on a rampage? response:	I guess false cheer is better than none at all.
context: It's not what it looks like!\There's a good reason for this!\Kao-chan?\In Kousei's clothes? With wet hair?\Whaaat?\She sure is fired up, that Tsubaki.\Isn't she just on a rampage?\I guess false cheer is better than none at all. response:	Is that me?
context: There's a good reason for this!\Kao-chan?\In Kousei's clothes? With wet hair?\Whaaat?\She sure is fired up, that Tsubaki.\Isn't she just on a rampage?\I guess false cheer is better than none at all.\Is that me? response:	Yup! What you just played - on tape!
context: Kao-chan?\In Kousei's clothes? With wet hair?\Whaaat?\She sure is fired up, that Tsubaki.\Isn't she just on a rampage?\I guess false cheer is better than none at all.\Is that me?\Yup! What you just played - on tape! response:	Your set piece is Chopin's Etude Op. 25 No. 5.
context: In Kousei's clothes? With wet hair?\Whaaat?\She sure is fired up, that Tsubaki.\Isn't she just on a rampage?\I guess false cheer is better than none at all.\Is that me?\Yup! What you just played - on tape!\Your set piece is Chopin's Etude Op. 25 No. 5. response:	No way!
context: Whaaat?\She sure is fired up, that Tsubaki.\Isn't she just on a rampage?\I guess false cheer is better than none at all.\Is that me?\Yup! What you just played - on tape!\Your set piece is Chopin's Etude Op. 25 No. 5.\No way! response:	The tempo and sound are so out of sync! This isn't me!
context: She sure is fired up, that Tsubaki.\Isn't she just on a rampage?\I guess false cheer is better than none at all.\Is that me?\Yup! What you just played - on tape!\Your set piece is Chopin's Etude Op. 25 No. 5.\No way!\The tempo and sound are so out of sync! This isn't me! response:	He sucks, huh?
context: Isn't she just on a rampage?\I guess false cheer is better than none at all.\Is that me?\Yup! What you just played - on tape!\Your set piece is Chopin's Etude Op. 25 No. 5.\No way!\The tempo and sound are so out of sync! This isn't me!\He sucks, huh? response:	He sucks.
context: I guess false cheer is better than none at all.\Is that me?\Yup! What you just played - on tape!\Your set piece is Chopin's Etude Op. 25 No. 5.\No way!\The tempo and sound are so out of sync! This isn't me!\He sucks, huh?\He sucks. response:	Huh!
context: Is that me?\Yup! What you just played - on tape!\Your set piece is Chopin's Etude Op. 25 No. 5.\No way!\The tempo and sound are so out of sync! This isn't me!\He sucks, huh?\He sucks.\Huh! response:	Competing like this? I'm backing out! That's right, if I act now I can still...
context: Yup! What you just played - on tape!\Your set piece is Chopin's Etude Op. 25 No. 5.\No way!\The tempo and sound are so out of sync! This isn't me!\He sucks, huh?\He sucks.\Huh!\Competing like this? I'm backing out! That's right, if I act now I can still... response:	I've already sent in your submission.
context: Your set piece is Chopin's Etude Op. 25 No. 5.\No way!\The tempo and sound are so out of sync! This isn't me!\He sucks, huh?\He sucks.\Huh!\Competing like this? I'm backing out! That's right, if I act now I can still...\I've already sent in your submission. response:	Is that my wallet?
context: No way!\The tempo and sound are so out of sync! This isn't me!\He sucks, huh?\He sucks.\Huh!\Competing like this? I'm backing out! That's right, if I act now I can still...\I've already sent in your submission.\Is that my wallet? response:	So what kind of competition is this?
context: The tempo and sound are so out of sync! This isn't me!\He sucks, huh?\He sucks.\Huh!\Competing like this? I'm backing out! That's right, if I act now I can still...\I've already sent in your submission.\Is that my wallet?\So what kind of competition is this? response:	It's the Maihou Music Competition.
context: He sucks, huh?\He sucks.\Huh!\Competing like this? I'm backing out! That's right, if I act now I can still...\I've already sent in your submission.\Is that my wallet?\So what kind of competition is this?\It's the Maihou Music Competition. response:	A national-level contest that's spawned many a renowned musician.
context: He sucks.\Huh!\Competing like this? I'm backing out! That's right, if I act now I can still...\I've already sent in your submission.\Is that my wallet?\So what kind of competition is this?\It's the Maihou Music Competition.\A national-level contest that's spawned many a renowned musician. response:	If you win Nationals, you might even get the chance to perform overseas!
context: Huh!\Competing like this? I'm backing out! That's right, if I act now I can still...\I've already sent in your submission.\Is that my wallet?\So what kind of competition is this?\It's the Maihou Music Competition.\A national-level contest that's spawned many a renowned musician.\If you win Nationals, you might even get the chance to perform overseas! response:	Oh, really?
context: Competing like this? I'm backing out! That's right, if I act now I can still...\I've already sent in your submission.\Is that my wallet?\So what kind of competition is this?\It's the Maihou Music Competition.\A national-level contest that's spawned many a renowned musician.\If you win Nationals, you might even get the chance to perform overseas!\Oh, really? response:	Awesome!
context: I've already sent in your submission.\Is that my wallet?\So what kind of competition is this?\It's the Maihou Music Competition.\A national-level contest that's spawned many a renowned musician.\If you win Nationals, you might even get the chance to perform overseas!\Oh, really?\Awesome! response:	What Kao-chan's saying sounds like something from a faraway, different world...
context: Is that my wallet?\So what kind of competition is this?\It's the Maihou Music Competition.\A national-level contest that's spawned many a renowned musician.\If you win Nationals, you might even get the chance to perform overseas!\Oh, really?\Awesome!\What Kao-chan's saying sounds like something from a faraway, different world... response:	I've got to study under some teacher!
context: So what kind of competition is this?\It's the Maihou Music Competition.\A national-level contest that's spawned many a renowned musician.\If you win Nationals, you might even get the chance to perform overseas!\Oh, really?\Awesome!\What Kao-chan's saying sounds like something from a faraway, different world...\I've got to study under some teacher! response:	Face it. This is a challenge!
context: It's the Maihou Music Competition.\A national-level contest that's spawned many a renowned musician.\If you win Nationals, you might even get the chance to perform overseas!\Oh, really?\Awesome!\What Kao-chan's saying sounds like something from a faraway, different world...\I've got to study under some teacher!\Face it. This is a challenge! response:	You're gonna prove that you can play even if you can't hear the notes!
context: A national-level contest that's spawned many a renowned musician.\If you win Nationals, you might even get the chance to perform overseas!\Oh, really?\Awesome!\What Kao-chan's saying sounds like something from a faraway, different world...\I've got to study under some teacher!\Face it. This is a challenge!\You're gonna prove that you can play even if you can't hear the notes! response:	It takes courage to sail in uncharted waters!
context: If you win Nationals, you might even get the chance to perform overseas!\Oh, really?\Awesome!\What Kao-chan's saying sounds like something from a faraway, different world...\I've got to study under some teacher!\Face it. This is a challenge!\You're gonna prove that you can play even if you can't hear the notes!\It takes courage to sail in uncharted waters! response:	Who said that?
context: Oh, really?\Awesome!\What Kao-chan's saying sounds like something from a faraway, different world...\I've got to study under some teacher!\Face it. This is a challenge!\You're gonna prove that you can play even if you can't hear the notes!\It takes courage to sail in uncharted waters!\Who said that? response:	Snoopy.
context: Awesome!\What Kao-chan's saying sounds like something from a faraway, different world...\I've got to study under some teacher!\Face it. This is a challenge!\You're gonna prove that you can play even if you can't hear the notes!\It takes courage to sail in uncharted waters!\Who said that?\Snoopy. response:	A dog?
context: What Kao-chan's saying sounds like something from a faraway, different world...\I've got to study under some teacher!\Face it. This is a challenge!\You're gonna prove that you can play even if you can't hear the notes!\It takes courage to sail in uncharted waters!\Who said that?\Snoopy.\A dog? response:	Woof!
context: I've got to study under some teacher!\Face it. This is a challenge!\You're gonna prove that you can play even if you can't hear the notes!\It takes courage to sail in uncharted waters!\Who said that?\Snoopy.\A dog?\Woof! response:	The important thing is your imagery.
context: Face it. This is a challenge!\You're gonna prove that you can play even if you can't hear the notes!\It takes courage to sail in uncharted waters!\Who said that?\Snoopy.\A dog?\Woof!\The important thing is your imagery. response:	Before your fingers touch the keys,
context: You're gonna prove that you can play even if you can't hear the notes!\It takes courage to sail in uncharted waters!\Who said that?\Snoopy.\A dog?\Woof!\The important thing is your imagery.\Before your fingers touch the keys, response:	you must determine in your mind how you're going to play it.
context: It takes courage to sail in uncharted waters!\Who said that?\Snoopy.\A dog?\Woof!\The important thing is your imagery.\Before your fingers touch the keys,\you must determine in your mind how you're going to play it. response:	Anton Rubinstein.
context: Who said that?\Snoopy.\A dog?\Woof!\The important thing is your imagery.\Before your fingers touch the keys,\you must determine in your mind how you're going to play it.\Anton Rubinstein. response:	Why do you play the piano?
context: Snoopy.\A dog?\Woof!\The important thing is your imagery.\Before your fingers touch the keys,\you must determine in your mind how you're going to play it.\Anton Rubinstein.\Why do you play the piano? response:	Is it for your own sake? For someone else's sake?
context: A dog?\Woof!\The important thing is your imagery.\Before your fingers touch the keys,\you must determine in your mind how you're going to play it.\Anton Rubinstein.\Why do you play the piano?\Is it for your own sake? For someone else's sake? response:	How do you want to play this piece?
context: Woof!\The important thing is your imagery.\Before your fingers touch the keys,\you must determine in your mind how you're going to play it.\Anton Rubinstein.\Why do you play the piano?\Is it for your own sake? For someone else's sake?\How do you want to play this piece? response:	How does the real you want to play Chopin?
context: The important thing is your imagery.\Before your fingers touch the keys,\you must determine in your mind how you're going to play it.\Anton Rubinstein.\Why do you play the piano?\Is it for your own sake? For someone else's sake?\How do you want to play this piece?\How does the real you want to play Chopin? response:	So anyway, I'm counting on you.
context: Before your fingers touch the keys,\you must determine in your mind how you're going to play it.\Anton Rubinstein.\Why do you play the piano?\Is it for your own sake? For someone else's sake?\How do you want to play this piece?\How does the real you want to play Chopin?\So anyway, I'm counting on you. response:	You two take it from here!
context: you must determine in your mind how you're going to play it.\Anton Rubinstein.\Why do you play the piano?\Is it for your own sake? For someone else's sake?\How do you want to play this piece?\How does the real you want to play Chopin?\So anyway, I'm counting on you.\You two take it from here! response:	Oh! You stink of sweat!
context: Anton Rubinstein.\Why do you play the piano?\Is it for your own sake? For someone else's sake?\How do you want to play this piece?\How does the real you want to play Chopin?\So anyway, I'm counting on you.\You two take it from here!\Oh! You stink of sweat! response:	I'm gonna work hard!
context: Why do you play the piano?\Is it for your own sake? For someone else's sake?\How do you want to play this piece?\How does the real you want to play Chopin?\So anyway, I'm counting on you.\You two take it from here!\Oh! You stink of sweat!\I'm gonna work hard! response:	Our break will be over soon.
context: Is it for your own sake? For someone else's sake?\How do you want to play this piece?\How does the real you want to play Chopin?\So anyway, I'm counting on you.\You two take it from here!\Oh! You stink of sweat!\I'm gonna work hard!\Our break will be over soon. response:	Die!
context: How do you want to play this piece?\How does the real you want to play Chopin?\So anyway, I'm counting on you.\You two take it from here!\Oh! You stink of sweat!\I'm gonna work hard!\Our break will be over soon.\Die! response:	I see...
context: How does the real you want to play Chopin?\So anyway, I'm counting on you.\You two take it from here!\Oh! You stink of sweat!\I'm gonna work hard!\Our break will be over soon.\Die!\I see... response:	So it's just you and me again, huh?
context: So anyway, I'm counting on you.\You two take it from here!\Oh! You stink of sweat!\I'm gonna work hard!\Our break will be over soon.\Die!\I see...\So it's just you and me again, huh? response:	Chopin... Is that Kou-chan playing?
context: You two take it from here!\Oh! You stink of sweat!\I'm gonna work hard!\Our break will be over soon.\Die!\I see...\So it's just you and me again, huh?\Chopin... Is that Kou-chan playing? response:	Oh, so he started playing again?
context: Oh! You stink of sweat!\I'm gonna work hard!\Our break will be over soon.\Die!\I see...\So it's just you and me again, huh?\Chopin... Is that Kou-chan playing?\Oh, so he started playing again? response:	Should I take a snack over to him, maybe?
context: I'm gonna work hard!\Our break will be over soon.\Die!\I see...\So it's just you and me again, huh?\Chopin... Is that Kou-chan playing?\Oh, so he started playing again?\Should I take a snack over to him, maybe? response:	What's your mental image?
context: Our break will be over soon.\Die!\I see...\So it's just you and me again, huh?\Chopin... Is that Kou-chan playing?\Oh, so he started playing again?\Should I take a snack over to him, maybe?\What's your mental image? response:	A horse-drawn carriage
context: Die!\I see...\So it's just you and me again, huh?\Chopin... Is that Kou-chan playing?\Oh, so he started playing again?\Should I take a snack over to him, maybe?\What's your mental image?\A horse-drawn carriage response:	Unoriginal! Lack of imagination!
context: I see...\So it's just you and me again, huh?\Chopin... Is that Kou-chan playing?\Oh, so he started playing again?\Should I take a snack over to him, maybe?\What's your mental image?\A horse-drawn carriage\Unoriginal! Lack of imagination! response:	over cobblestones in Europe...
context: So it's just you and me again, huh?\Chopin... Is that Kou-chan playing?\Oh, so he started playing again?\Should I take a snack over to him, maybe?\What's your mental image?\A horse-drawn carriage\Unoriginal! Lack of imagination!\over cobblestones in Europe... response:	Image?
context: Chopin... Is that Kou-chan playing?\Oh, so he started playing again?\Should I take a snack over to him, maybe?\What's your mental image?\A horse-drawn carriage\Unoriginal! Lack of imagination!\over cobblestones in Europe...\Image? response:	Sunny-side up eggs for breakfast...
context: Oh, so he started playing again?\Should I take a snack over to him, maybe?\What's your mental image?\A horse-drawn carriage\Unoriginal! Lack of imagination!\over cobblestones in Europe...\Image?\Sunny-side up eggs for breakfast... response:	Mundane! Unromantic!
context: Should I take a snack over to him, maybe?\What's your mental image?\A horse-drawn carriage\Unoriginal! Lack of imagination!\over cobblestones in Europe...\Image?\Sunny-side up eggs for breakfast...\Mundane! Unromantic! response:	Image!
context: What's your mental image?\A horse-drawn carriage\Unoriginal! Lack of imagination!\over cobblestones in Europe...\Image?\Sunny-side up eggs for breakfast...\Mundane! Unromantic!\Image! response:	Image.
context: A horse-drawn carriage\Unoriginal! Lack of imagination!\over cobblestones in Europe...\Image?\Sunny-side up eggs for breakfast...\Mundane! Unromantic!\Image!\Image. response:	Image.
context: Unoriginal! Lack of imagination!\over cobblestones in Europe...\Image?\Sunny-side up eggs for breakfast...\Mundane! Unromantic!\Image!\Image.\Image. response:	Image.
context: over cobblestones in Europe...\Image?\Sunny-side up eggs for breakfast...\Mundane! Unromantic!\Image!\Image.\Image.\Image. response:	What is an image, anyway?
context: Image?\Sunny-side up eggs for breakfast...\Mundane! Unromantic!\Image!\Image.\Image.\Image.\What is an image, anyway? response:	Is it different than how you interpret the music?
context: Sunny-side up eggs for breakfast...\Mundane! Unromantic!\Image!\Image.\Image.\Image.\What is an image, anyway?\Is it different than how you interpret the music? response:	How do you want to play this piece?
context: Mundane! Unromantic!\Image!\Image.\Image.\Image.\What is an image, anyway?\Is it different than how you interpret the music?\How do you want to play this piece? response:	How do I want to...
context: Image!\Image.\Image.\Image.\What is an image, anyway?\Is it different than how you interpret the music?\How do you want to play this piece?\How do I want to... response:	She looks like an angel.
context: Image.\Image.\Image.\What is an image, anyway?\Is it different than how you interpret the music?\How do you want to play this piece?\How do I want to...\She looks like an angel. response:	As long as she's quiet.
context: Image.\Image.\What is an image, anyway?\Is it different than how you interpret the music?\How do you want to play this piece?\How do I want to...\She looks like an angel.\As long as she's quiet. response:	How are Regionals going?
context: Image.\What is an image, anyway?\Is it different than how you interpret the music?\How do you want to play this piece?\How do I want to...\She looks like an angel.\As long as she's quiet.\How are Regionals going? response:	We've never been readier. The only thing I'm afraid of is injury.
context: What is an image, anyway?\Is it different than how you interpret the music?\How do you want to play this piece?\How do I want to...\She looks like an angel.\As long as she's quiet.\How are Regionals going?\We've never been readier. The only thing I'm afraid of is injury. response:	How about you guys?
context: Is it different than how you interpret the music?\How do you want to play this piece?\How do I want to...\She looks like an angel.\As long as she's quiet.\How are Regionals going?\We've never been readier. The only thing I'm afraid of is injury.\How about you guys? response:	The other day Arima-kun had smoke coming out of his ears.
context: How do you want to play this piece?\How do I want to...\She looks like an angel.\As long as she's quiet.\How are Regionals going?\We've never been readier. The only thing I'm afraid of is injury.\How about you guys?\The other day Arima-kun had smoke coming out of his ears. response:	I think it'll actually be visible soon.
context: How do I want to...\She looks like an angel.\As long as she's quiet.\How are Regionals going?\We've never been readier. The only thing I'm afraid of is injury.\How about you guys?\The other day Arima-kun had smoke coming out of his ears.\I think it'll actually be visible soon. response:	I think he might be pushing himself too hard.
context: She looks like an angel.\As long as she's quiet.\How are Regionals going?\We've never been readier. The only thing I'm afraid of is injury.\How about you guys?\The other day Arima-kun had smoke coming out of his ears.\I think it'll actually be visible soon.\I think he might be pushing himself too hard. response:	I mean, he was kind of reeling in the hallway.
context: As long as she's quiet.\How are Regionals going?\We've never been readier. The only thing I'm afraid of is injury.\How about you guys?\The other day Arima-kun had smoke coming out of his ears.\I think it'll actually be visible soon.\I think he might be pushing himself too hard.\I mean, he was kind of reeling in the hallway. response:	I do want him to play the piano. But I don't want him to suffer.
context: How are Regionals going?\We've never been readier. The only thing I'm afraid of is injury.\How about you guys?\The other day Arima-kun had smoke coming out of his ears.\I think it'll actually be visible soon.\I think he might be pushing himself too hard.\I mean, he was kind of reeling in the hallway.\I do want him to play the piano. But I don't want him to suffer. response:	Right now, Arima-kun is trying to turn that suffering into notes.
context: We've never been readier. The only thing I'm afraid of is injury.\How about you guys?\The other day Arima-kun had smoke coming out of his ears.\I think it'll actually be visible soon.\I think he might be pushing himself too hard.\I mean, he was kind of reeling in the hallway.\I do want him to play the piano. But I don't want him to suffer.\Right now, Arima-kun is trying to turn that suffering into notes. response:	Exposing both his pain and his suffering, even his own struggling self...
context: How about you guys?\The other day Arima-kun had smoke coming out of his ears.\I think it'll actually be visible soon.\I think he might be pushing himself too hard.\I mean, he was kind of reeling in the hallway.\I do want him to play the piano. But I don't want him to suffer.\Right now, Arima-kun is trying to turn that suffering into notes.\Exposing both his pain and his suffering, even his own struggling self... response:	That's how he'll come to dwell inside his music.
context: The other day Arima-kun had smoke coming out of his ears.\I think it'll actually be visible soon.\I think he might be pushing himself too hard.\I mean, he was kind of reeling in the hallway.\I do want him to play the piano. But I don't want him to suffer.\Right now, Arima-kun is trying to turn that suffering into notes.\Exposing both his pain and his suffering, even his own struggling self...\That's how he'll come to dwell inside his music. response:	That's how we play music that's alive.
context: I think it'll actually be visible soon.\I think he might be pushing himself too hard.\I mean, he was kind of reeling in the hallway.\I do want him to play the piano. But I don't want him to suffer.\Right now, Arima-kun is trying to turn that suffering into notes.\Exposing both his pain and his suffering, even his own struggling self...\That's how he'll come to dwell inside his music.\That's how we play music that's alive. response:	Arima-kun is in the middle of doing that. I'm sure of it.
context: I think he might be pushing himself too hard.\I mean, he was kind of reeling in the hallway.\I do want him to play the piano. But I don't want him to suffer.\Right now, Arima-kun is trying to turn that suffering into notes.\Exposing both his pain and his suffering, even his own struggling self...\That's how he'll come to dwell inside his music.\That's how we play music that's alive.\Arima-kun is in the middle of doing that. I'm sure of it. response:	We...
context: I mean, he was kind of reeling in the hallway.\I do want him to play the piano. But I don't want him to suffer.\Right now, Arima-kun is trying to turn that suffering into notes.\Exposing both his pain and his suffering, even his own struggling self...\That's how he'll come to dwell inside his music.\That's how we play music that's alive.\Arima-kun is in the middle of doing that. I'm sure of it.\We... response:	Why are you so supportive of Kousei, Kao-chan?
context: I do want him to play the piano. But I don't want him to suffer.\Right now, Arima-kun is trying to turn that suffering into notes.\Exposing both his pain and his suffering, even his own struggling self...\That's how he'll come to dwell inside his music.\That's how we play music that's alive.\Arima-kun is in the middle of doing that. I'm sure of it.\We...\Why are you so supportive of Kousei, Kao-chan? response:	I guess I'd have to say...
context: Right now, Arima-kun is trying to turn that suffering into notes.\Exposing both his pain and his suffering, even his own struggling self...\That's how he'll come to dwell inside his music.\That's how we play music that's alive.\Arima-kun is in the middle of doing that. I'm sure of it.\We...\Why are you so supportive of Kousei, Kao-chan?\I guess I'd have to say... response:	He's like a hopeless kid brother, maybe?
context: Exposing both his pain and his suffering, even his own struggling self...\That's how he'll come to dwell inside his music.\That's how we play music that's alive.\Arima-kun is in the middle of doing that. I'm sure of it.\We...\Why are you so supportive of Kousei, Kao-chan?\I guess I'd have to say...\He's like a hopeless kid brother, maybe? response:	Kousei...
context: That's how he'll come to dwell inside his music.\That's how we play music that's alive.\Arima-kun is in the middle of doing that. I'm sure of it.\We...\Why are you so supportive of Kousei, Kao-chan?\I guess I'd have to say...\He's like a hopeless kid brother, maybe?\Kousei... response:	Bye.
context: That's how we play music that's alive.\Arima-kun is in the middle of doing that. I'm sure of it.\We...\Why are you so supportive of Kousei, Kao-chan?\I guess I'd have to say...\He's like a hopeless kid brother, maybe?\Kousei...\Bye. response:	Yeah, see you tomorrow.
context: Arima-kun is in the middle of doing that. I'm sure of it.\We...\Why are you so supportive of Kousei, Kao-chan?\I guess I'd have to say...\He's like a hopeless kid brother, maybe?\Kousei...\Bye.\Yeah, see you tomorrow. response:	Hey there.
context: We...\Why are you so supportive of Kousei, Kao-chan?\I guess I'd have to say...\He's like a hopeless kid brother, maybe?\Kousei...\Bye.\Yeah, see you tomorrow.\Hey there. response:	I'm on my way home from practice now.
context: Why are you so supportive of Kousei, Kao-chan?\I guess I'd have to say...\He's like a hopeless kid brother, maybe?\Kousei...\Bye.\Yeah, see you tomorrow.\Hey there.\I'm on my way home from practice now. response:	I was wondering what you were up to.
context: I guess I'd have to say...\He's like a hopeless kid brother, maybe?\Kousei...\Bye.\Yeah, see you tomorrow.\Hey there.\I'm on my way home from practice now.\I was wondering what you were up to. response:	I'm on my way home now, too.
context: He's like a hopeless kid brother, maybe?\Kousei...\Bye.\Yeah, see you tomorrow.\Hey there.\I'm on my way home from practice now.\I was wondering what you were up to.\I'm on my way home now, too. response:	We're always heading home at the same time these days, huh?
context: Kousei...\Bye.\Yeah, see you tomorrow.\Hey there.\I'm on my way home from practice now.\I was wondering what you were up to.\I'm on my way home now, too.\We're always heading home at the same time these days, huh? response:	Tsubaki?
