context: This is several levels better than last time. response:	I'm surprised.
context: Work with me and become a mangaka.\I decided I would become a mangaka together with Shuujin.\An anime by eighteen years old.\We'll make that our goal\No, we'll make that our reality!\Then I'll go to North High too.\Just in order to become mangakas a little faster,\he changed his path in school. response:	And yet I...
context: I decided I would become a mangaka together with Shuujin.\An anime by eighteen years old.\We'll make that our goal\No, we'll make that our reality!\Then I'll go to North High too.\Just in order to become mangakas a little faster,\he changed his path in school.\And yet I... response:	The story is especially good.
context: An anime by eighteen years old.\We'll make that our goal\No, we'll make that our reality!\Then I'll go to North High too.\Just in order to become mangakas a little faster,\he changed his path in school.\And yet I...\The story is especially good. response:	So in other words, Takagi has talent but Mashiro's pulling him down.
context: We'll make that our goal\No, we'll make that our reality!\Then I'll go to North High too.\Just in order to become mangakas a little faster,\he changed his path in school.\And yet I...\The story is especially good.\So in other words, Takagi has talent but Mashiro's pulling him down. response:	If I could just... win a prize.
context: No, we'll make that our reality!\Then I'll go to North High too.\Just in order to become mangakas a little faster,\he changed his path in school.\And yet I...\The story is especially good.\So in other words, Takagi has talent but Mashiro's pulling him down.\If I could just... win a prize. response:	Hey Miho, check this out.
context: Then I'll go to North High too.\Just in order to become mangakas a little faster,\he changed his path in school.\And yet I...\The story is especially good.\So in other words, Takagi has talent but Mashiro's pulling him down.\If I could just... win a prize.\Hey Miho, check this out. response:	I think this is what Ishizawa had been talking about.
context: Just in order to become mangakas a little faster,\he changed his path in school.\And yet I...\The story is especially good.\So in other words, Takagi has talent but Mashiro's pulling him down.\If I could just... win a prize.\Hey Miho, check this out.\I think this is what Ishizawa had been talking about. response:	It really surprised me.
context: he changed his path in school.\And yet I...\The story is especially good.\So in other words, Takagi has talent but Mashiro's pulling him down.\If I could just... win a prize.\Hey Miho, check this out.\I think this is what Ishizawa had been talking about.\It really surprised me. response:	To think that Takagi is trying to become a mangaka and all.
context: And yet I...\The story is especially good.\So in other words, Takagi has talent but Mashiro's pulling him down.\If I could just... win a prize.\Hey Miho, check this out.\I think this is what Ishizawa had been talking about.\It really surprised me.\To think that Takagi is trying to become a mangaka and all. response:	I didn't know anything about it.
context: The story is especially good.\So in other words, Takagi has talent but Mashiro's pulling him down.\If I could just... win a prize.\Hey Miho, check this out.\I think this is what Ishizawa had been talking about.\It really surprised me.\To think that Takagi is trying to become a mangaka and all.\I didn't know anything about it. response:	So that's why he's been half asleep lately.
context: So in other words, Takagi has talent but Mashiro's pulling him down.\If I could just... win a prize.\Hey Miho, check this out.\I think this is what Ishizawa had been talking about.\It really surprised me.\To think that Takagi is trying to become a mangaka and all.\I didn't know anything about it.\So that's why he's been half asleep lately. response:	I understand now.
context: If I could just... win a prize.\Hey Miho, check this out.\I think this is what Ishizawa had been talking about.\It really surprised me.\To think that Takagi is trying to become a mangaka and all.\I didn't know anything about it.\So that's why he's been half asleep lately.\I understand now. response:	Hey, what are you reading?
context: Hey Miho, check this out.\I think this is what Ishizawa had been talking about.\It really surprised me.\To think that Takagi is trying to become a mangaka and all.\I didn't know anything about it.\So that's why he's been half asleep lately.\I understand now.\Hey, what are you reading? response:	Mina!
context: I think this is what Ishizawa had been talking about.\It really surprised me.\To think that Takagi is trying to become a mangaka and all.\I didn't know anything about it.\So that's why he's been half asleep lately.\I understand now.\Hey, what are you reading?\Mina! response:	Oh, Jack.
context: It really surprised me.\To think that Takagi is trying to become a mangaka and all.\I didn't know anything about it.\So that's why he's been half asleep lately.\I understand now.\Hey, what are you reading?\Mina!\Oh, Jack. response:	Do you know about Jack, Mina-chan?
context: To think that Takagi is trying to become a mangaka and all.\I didn't know anything about it.\So that's why he's been half asleep lately.\I understand now.\Hey, what are you reading?\Mina!\Oh, Jack.\Do you know about Jack, Mina-chan? response:	Everyone in my class reads it.
context: I didn't know anything about it.\So that's why he's been half asleep lately.\I understand now.\Hey, what are you reading?\Mina!\Oh, Jack.\Do you know about Jack, Mina-chan?\Everyone in my class reads it. response:	Really?
context: So that's why he's been half asleep lately.\I understand now.\Hey, what are you reading?\Mina!\Oh, Jack.\Do you know about Jack, Mina-chan?\Everyone in my class reads it.\Really? response:	But why are you reading it?
context: I understand now.\Hey, what are you reading?\Mina!\Oh, Jack.\Do you know about Jack, Mina-chan?\Everyone in my class reads it.\Really?\But why are you reading it? response:	Because someone I know has their name in it.
context: Hey, what are you reading?\Mina!\Oh, Jack.\Do you know about Jack, Mina-chan?\Everyone in my class reads it.\Really?\But why are you reading it?\Because someone I know has their name in it. response:	Amazing!
context: Mina!\Oh, Jack.\Do you know about Jack, Mina-chan?\Everyone in my class reads it.\Really?\But why are you reading it?\Because someone I know has their name in it.\Amazing! response:	Can I see too?
context: Oh, Jack.\Do you know about Jack, Mina-chan?\Everyone in my class reads it.\Really?\But why are you reading it?\Because someone I know has their name in it.\Amazing!\Can I see too? response:	You mustn't bother your sister, Mina.
context: Do you know about Jack, Mina-chan?\Everyone in my class reads it.\Really?\But why are you reading it?\Because someone I know has their name in it.\Amazing!\Can I see too?\You mustn't bother your sister, Mina. response:	But...
context: Everyone in my class reads it.\Really?\But why are you reading it?\Because someone I know has their name in it.\Amazing!\Can I see too?\You mustn't bother your sister, Mina.\But... response:	You can look at it later.
context: Really?\But why are you reading it?\Because someone I know has their name in it.\Amazing!\Can I see too?\You mustn't bother your sister, Mina.\But...\You can look at it later. response:	I've brought out some cake here on the table, why don't you have some?
context: But why are you reading it?\Because someone I know has their name in it.\Amazing!\Can I see too?\You mustn't bother your sister, Mina.\But...\You can look at it later.\I've brought out some cake here on the table, why don't you have some? response:	Okay.
context: Because someone I know has their name in it.\Amazing!\Can I see too?\You mustn't bother your sister, Mina.\But...\You can look at it later.\I've brought out some cake here on the table, why don't you have some?\Okay. response:	Sorry for all the noise, Kaya-chan.
context: Amazing!\Can I see too?\You mustn't bother your sister, Mina.\But...\You can look at it later.\I've brought out some cake here on the table, why don't you have some?\Okay.\Sorry for all the noise, Kaya-chan. response:	Not at all, she's as quiet as a church mouse compared to me.
context: Can I see too?\You mustn't bother your sister, Mina.\But...\You can look at it later.\I've brought out some cake here on the table, why don't you have some?\Okay.\Sorry for all the noise, Kaya-chan.\Not at all, she's as quiet as a church mouse compared to me. response:	By the way, is the Takagi-kun you were talking about earlier the same Takagi-kun as from your class?
context: You mustn't bother your sister, Mina.\But...\You can look at it later.\I've brought out some cake here on the table, why don't you have some?\Okay.\Sorry for all the noise, Kaya-chan.\Not at all, she's as quiet as a church mouse compared to me.\By the way, is the Takagi-kun you were talking about earlier the same Takagi-kun as from your class? response:	Do you know who he is?
context: But...\You can look at it later.\I've brought out some cake here on the table, why don't you have some?\Okay.\Sorry for all the noise, Kaya-chan.\Not at all, she's as quiet as a church mouse compared to me.\By the way, is the Takagi-kun you were talking about earlier the same Takagi-kun as from your class?\Do you know who he is? response:	Yes. He's quite famous, being the top of his grade.
context: You can look at it later.\I've brought out some cake here on the table, why don't you have some?\Okay.\Sorry for all the noise, Kaya-chan.\Not at all, she's as quiet as a church mouse compared to me.\By the way, is the Takagi-kun you were talking about earlier the same Takagi-kun as from your class?\Do you know who he is?\Yes. He's quite famous, being the top of his grade. response:	But Takagi got suspended.
context: I've brought out some cake here on the table, why don't you have some?\Okay.\Sorry for all the noise, Kaya-chan.\Not at all, she's as quiet as a church mouse compared to me.\By the way, is the Takagi-kun you were talking about earlier the same Takagi-kun as from your class?\Do you know who he is?\Yes. He's quite famous, being the top of his grade.\But Takagi got suspended. response:	Ah, why?
context: Okay.\Sorry for all the noise, Kaya-chan.\Not at all, she's as quiet as a church mouse compared to me.\By the way, is the Takagi-kun you were talking about earlier the same Takagi-kun as from your class?\Do you know who he is?\Yes. He's quite famous, being the top of his grade.\But Takagi got suspended.\Ah, why? response:	He beat up this annoying guy.
