context: Third Galactic Empire, Year 214 response:	The limit, huh?
context: One time, we ran away from home together, and he\Hey, don't tell them about that!\But I think it's a cute story!\Only you would think that!\You two...\Oh! Sorry...\Mr. President, no one knows these robots better than Haruto.\Perhaps we should let him decide? response:	He can't get his way all the time!
context: Hey, don't tell them about that!\But I think it's a cute story!\Only you would think that!\You two...\Oh! Sorry...\Mr. President, no one knows these robots better than Haruto.\Perhaps we should let him decide?\He can't get his way all the time! response:	I cast my vote with her proposal.
context: But I think it's a cute story!\Only you would think that!\You two...\Oh! Sorry...\Mr. President, no one knows these robots better than Haruto.\Perhaps we should let him decide?\He can't get his way all the time!\I cast my vote with her proposal. response:	Same here.
context: Only you would think that!\You two...\Oh! Sorry...\Mr. President, no one knows these robots better than Haruto.\Perhaps we should let him decide?\He can't get his way all the time!\I cast my vote with her proposal.\Same here. response:	Me, too.
context: You two...\Oh! Sorry...\Mr. President, no one knows these robots better than Haruto.\Perhaps we should let him decide?\He can't get his way all the time!\I cast my vote with her proposal.\Same here.\Me, too. response:	Sorry, Satomi.
context: Oh! Sorry...\Mr. President, no one knows these robots better than Haruto.\Perhaps we should let him decide?\He can't get his way all the time!\I cast my vote with her proposal.\Same here.\Me, too.\Sorry, Satomi. response:	That's a majority.
context: Mr. President, no one knows these robots better than Haruto.\Perhaps we should let him decide?\He can't get his way all the time!\I cast my vote with her proposal.\Same here.\Me, too.\Sorry, Satomi.\That's a majority. response:	Democracy in action.
context: Perhaps we should let him decide?\He can't get his way all the time!\I cast my vote with her proposal.\Same here.\Me, too.\Sorry, Satomi.\That's a majority.\Democracy in action. response:	You can't be serious!
context: He can't get his way all the time!\I cast my vote with her proposal.\Same here.\Me, too.\Sorry, Satomi.\That's a majority.\Democracy in action.\You can't be serious! response:	If you want to vote, put it before the entire
context: I cast my vote with her proposal.\Same here.\Me, too.\Sorry, Satomi.\That's a majority.\Democracy in action.\You can't be serious!\If you want to vote, put it before the entire response:	Hold on, now!
context: Same here.\Me, too.\Sorry, Satomi.\That's a majority.\Democracy in action.\You can't be serious!\If you want to vote, put it before the entire\Hold on, now! response:	I'm going to check these over.
context: Me, too.\Sorry, Satomi.\That's a majority.\Democracy in action.\You can't be serious!\If you want to vote, put it before the entire\Hold on, now!\I'm going to check these over. response:	No one will get into them until after that.
context: Sorry, Satomi.\That's a majority.\Democracy in action.\You can't be serious!\If you want to vote, put it before the entire\Hold on, now!\I'm going to check these over.\No one will get into them until after that. response:	No way!
context: That's a majority.\Democracy in action.\You can't be serious!\If you want to vote, put it before the entire\Hold on, now!\I'm going to check these over.\No one will get into them until after that.\No way! response:	After all, teachers are responsible for the safety of their students.
context: Democracy in action.\You can't be serious!\If you want to vote, put it before the entire\Hold on, now!\I'm going to check these over.\No one will get into them until after that.\No way!\After all, teachers are responsible for the safety of their students. response:	President!
context: You can't be serious!\If you want to vote, put it before the entire\Hold on, now!\I'm going to check these over.\No one will get into them until after that.\No way!\After all, teachers are responsible for the safety of their students.\President! response:	Thank you.
context: If you want to vote, put it before the entire\Hold on, now!\I'm going to check these over.\No one will get into them until after that.\No way!\After all, teachers are responsible for the safety of their students.\President!\Thank you. response:	I did it because when you get like that, you always have a good reason.
context: Hold on, now!\I'm going to check these over.\No one will get into them until after that.\No way!\After all, teachers are responsible for the safety of their students.\President!\Thank you.\I did it because when you get like that, you always have a good reason. response:	Shoko...
context: I'm going to check these over.\No one will get into them until after that.\No way!\After all, teachers are responsible for the safety of their students.\President!\Thank you.\I did it because when you get like that, you always have a good reason.\Shoko... response:	That completes my mission from captain Cain.
context: No one will get into them until after that.\No way!\After all, teachers are responsible for the safety of their students.\President!\Thank you.\I did it because when you get like that, you always have a good reason.\Shoko...\That completes my mission from captain Cain. response:	And now...
context: No way!\After all, teachers are responsible for the safety of their students.\President!\Thank you.\I did it because when you get like that, you always have a good reason.\Shoko...\That completes my mission from captain Cain.\And now... response:	Next!
context: After all, teachers are responsible for the safety of their students.\President!\Thank you.\I did it because when you get like that, you always have a good reason.\Shoko...\That completes my mission from captain Cain.\And now...\Next! response:	Uh, I don't
context: President!\Thank you.\I did it because when you get like that, you always have a good reason.\Shoko...\That completes my mission from captain Cain.\And now...\Next!\Uh, I don't response:	He says it's combat training.
context: Thank you.\I did it because when you get like that, you always have a good reason.\Shoko...\That completes my mission from captain Cain.\And now...\Next!\Uh, I don't\He says it's combat training. response:	Next! Who's next?!
context: I did it because when you get like that, you always have a good reason.\Shoko...\That completes my mission from captain Cain.\And now...\Next!\Uh, I don't\He says it's combat training.\Next! Who's next?! response:	It's to take his mind off things.
context: Shoko...\That completes my mission from captain Cain.\And now...\Next!\Uh, I don't\He says it's combat training.\Next! Who's next?!\It's to take his mind off things. response:	Thunder was dying to pilot a Valvrave.
context: That completes my mission from captain Cain.\And now...\Next!\Uh, I don't\He says it's combat training.\Next! Who's next?!\It's to take his mind off things.\Thunder was dying to pilot a Valvrave. response:	Yamada doesn't know...
context: And now...\Next!\Uh, I don't\He says it's combat training.\Next! Who's next?!\It's to take his mind off things.\Thunder was dying to pilot a Valvrave.\Yamada doesn't know... response:	When you pilot one, you stop being human.
context: Next!\Uh, I don't\He says it's combat training.\Next! Who's next?!\It's to take his mind off things.\Thunder was dying to pilot a Valvrave.\Yamada doesn't know...\When you pilot one, you stop being human. response:	That's why you didn't tell anyone that you found those Valvraves?
context: Uh, I don't\He says it's combat training.\Next! Who's next?!\It's to take his mind off things.\Thunder was dying to pilot a Valvrave.\Yamada doesn't know...\When you pilot one, you stop being human.\That's why you didn't tell anyone that you found those Valvraves? response:	There's a lot of things that I was able to protect, thanks to it, but I'm scared of it.
context: He says it's combat training.\Next! Who's next?!\It's to take his mind off things.\Thunder was dying to pilot a Valvrave.\Yamada doesn't know...\When you pilot one, you stop being human.\That's why you didn't tell anyone that you found those Valvraves?\There's a lot of things that I was able to protect, thanks to it, but I'm scared of it. response:	Every time I get the feeling that I turned into an animal, and I'm always afraid...
context: Next! Who's next?!\It's to take his mind off things.\Thunder was dying to pilot a Valvrave.\Yamada doesn't know...\When you pilot one, you stop being human.\That's why you didn't tell anyone that you found those Valvraves?\There's a lot of things that I was able to protect, thanks to it, but I'm scared of it.\Every time I get the feeling that I turned into an animal, and I'm always afraid... response:	And that maybe I'm...
context: It's to take his mind off things.\Thunder was dying to pilot a Valvrave.\Yamada doesn't know...\When you pilot one, you stop being human.\That's why you didn't tell anyone that you found those Valvraves?\There's a lot of things that I was able to protect, thanks to it, but I'm scared of it.\Every time I get the feeling that I turned into an animal, and I'm always afraid...\And that maybe I'm... response:	It's okay.
context: Thunder was dying to pilot a Valvrave.\Yamada doesn't know...\When you pilot one, you stop being human.\That's why you didn't tell anyone that you found those Valvraves?\There's a lot of things that I was able to protect, thanks to it, but I'm scared of it.\Every time I get the feeling that I turned into an animal, and I'm always afraid...\And that maybe I'm...\It's okay. response:	You're a human being, Haruto.
context: Yamada doesn't know...\When you pilot one, you stop being human.\That's why you didn't tell anyone that you found those Valvraves?\There's a lot of things that I was able to protect, thanks to it, but I'm scared of it.\Every time I get the feeling that I turned into an animal, and I'm always afraid...\And that maybe I'm...\It's okay.\You're a human being, Haruto. response:	You're our friend.
context: When you pilot one, you stop being human.\That's why you didn't tell anyone that you found those Valvraves?\There's a lot of things that I was able to protect, thanks to it, but I'm scared of it.\Every time I get the feeling that I turned into an animal, and I'm always afraid...\And that maybe I'm...\It's okay.\You're a human being, Haruto.\You're our friend. response:	Now... and forever.
context: That's why you didn't tell anyone that you found those Valvraves?\There's a lot of things that I was able to protect, thanks to it, but I'm scared of it.\Every time I get the feeling that I turned into an animal, and I'm always afraid...\And that maybe I'm...\It's okay.\You're a human being, Haruto.\You're our friend.\Now... and forever. response:	Thanks, Aina.
context: There's a lot of things that I was able to protect, thanks to it, but I'm scared of it.\Every time I get the feeling that I turned into an animal, and I'm always afraid...\And that maybe I'm...\It's okay.\You're a human being, Haruto.\You're our friend.\Now... and forever.\Thanks, Aina. response:	I'm sorry!
context: Every time I get the feeling that I turned into an animal, and I'm always afraid...\And that maybe I'm...\It's okay.\You're a human being, Haruto.\You're our friend.\Now... and forever.\Thanks, Aina.\I'm sorry! response:	Shit...
context: And that maybe I'm...\It's okay.\You're a human being, Haruto.\You're our friend.\Now... and forever.\Thanks, Aina.\I'm sorry!\Shit... response:	Why do they do what Sashinami says?
context: It's okay.\You're a human being, Haruto.\You're our friend.\Now... and forever.\Thanks, Aina.\I'm sorry!\Shit...\Why do they do what Sashinami says? response:	I think you were right, Mr. President.
context: You're a human being, Haruto.\You're our friend.\Now... and forever.\Thanks, Aina.\I'm sorry!\Shit...\Why do they do what Sashinami says?\I think you were right, Mr. President. response:	I know, right?
context: You're our friend.\Now... and forever.\Thanks, Aina.\I'm sorry!\Shit...\Why do they do what Sashinami says?\I think you were right, Mr. President.\I know, right? response:	That's how it'd normally be, right?
context: Now... and forever.\Thanks, Aina.\I'm sorry!\Shit...\Why do they do what Sashinami says?\I think you were right, Mr. President.\I know, right?\That's how it'd normally be, right? response:	Yes!
context: Thanks, Aina.\I'm sorry!\Shit...\Why do they do what Sashinami says?\I think you were right, Mr. President.\I know, right?\That's how it'd normally be, right?\Yes! response:	Satomi? For a second.
context: I'm sorry!\Shit...\Why do they do what Sashinami says?\I think you were right, Mr. President.\I know, right?\That's how it'd normally be, right?\Yes!\Satomi? For a second. response:	What are... What are you doing?
context: Shit...\Why do they do what Sashinami says?\I think you were right, Mr. President.\I know, right?\That's how it'd normally be, right?\Yes!\Satomi? For a second.\What are... What are you doing? response:	Takahi?
context: Why do they do what Sashinami says?\I think you were right, Mr. President.\I know, right?\That's how it'd normally be, right?\Yes!\Satomi? For a second.\What are... What are you doing?\Takahi? response:	Takahi...
context: I think you were right, Mr. President.\I know, right?\That's how it'd normally be, right?\Yes!\Satomi? For a second.\What are... What are you doing?\Takahi?\Takahi... response:	No good.
context: I know, right?\That's how it'd normally be, right?\Yes!\Satomi? For a second.\What are... What are you doing?\Takahi?\Takahi...\No good. response:	No. This's totally different.
context: That's how it'd normally be, right?\Yes!\Satomi? For a second.\What are... What are you doing?\Takahi?\Takahi...\No good.\No. This's totally different. response:	W-What just Why did
context: Yes!\Satomi? For a second.\What are... What are you doing?\Takahi?\Takahi...\No good.\No. This's totally different.\W-What just Why did response:	Big brother is bugging out.
context: Satomi? For a second.\What are... What are you doing?\Takahi?\Takahi...\No good.\No. This's totally different.\W-What just Why did\Big brother is bugging out. response:	What's that?
context: What are... What are you doing?\Takahi?\Takahi...\No good.\No. This's totally different.\W-What just Why did\Big brother is bugging out.\What's that? response:	Hey, where's the salt?
context: Takahi?\Takahi...\No good.\No. This's totally different.\W-What just Why did\Big brother is bugging out.\What's that?\Hey, where's the salt? response:	Here.
context: Takahi...\No good.\No. This's totally different.\W-What just Why did\Big brother is bugging out.\What's that?\Hey, where's the salt?\Here. response:	Thank you!
context: No good.\No. This's totally different.\W-What just Why did\Big brother is bugging out.\What's that?\Hey, where's the salt?\Here.\Thank you! response:	That looks like it could turn you into a frog...
context: No. This's totally different.\W-What just Why did\Big brother is bugging out.\What's that?\Hey, where's the salt?\Here.\Thank you!\That looks like it could turn you into a frog... response:	Doesn't it look delicious?
context: W-What just Why did\Big brother is bugging out.\What's that?\Hey, where's the salt?\Here.\Thank you!\That looks like it could turn you into a frog...\Doesn't it look delicious? response:	It's got tons of veggies, too!
context: Big brother is bugging out.\What's that?\Hey, where's the salt?\Here.\Thank you!\That looks like it could turn you into a frog...\Doesn't it look delicious?\It's got tons of veggies, too! response:	Oh, that rich aroma...
context: What's that?\Hey, where's the salt?\Here.\Thank you!\That looks like it could turn you into a frog...\Doesn't it look delicious?\It's got tons of veggies, too!\Oh, that rich aroma... response:	Anyway, give it a taste.
context: Hey, where's the salt?\Here.\Thank you!\That looks like it could turn you into a frog...\Doesn't it look delicious?\It's got tons of veggies, too!\Oh, that rich aroma...\Anyway, give it a taste. response:	Um, thanks, but I think I'll pass.
context: Here.\Thank you!\That looks like it could turn you into a frog...\Doesn't it look delicious?\It's got tons of veggies, too!\Oh, that rich aroma...\Anyway, give it a taste.\Um, thanks, but I think I'll pass. response:	Miss Rukino, are you okay?
context: Thank you!\That looks like it could turn you into a frog...\Doesn't it look delicious?\It's got tons of veggies, too!\Oh, that rich aroma...\Anyway, give it a taste.\Um, thanks, but I think I'll pass.\Miss Rukino, are you okay? response:	Here, have some water!
context: That looks like it could turn you into a frog...\Doesn't it look delicious?\It's got tons of veggies, too!\Oh, that rich aroma...\Anyway, give it a taste.\Um, thanks, but I think I'll pass.\Miss Rukino, are you okay?\Here, have some water! response:	Not to worry!
context: Doesn't it look delicious?\It's got tons of veggies, too!\Oh, that rich aroma...\Anyway, give it a taste.\Um, thanks, but I think I'll pass.\Miss Rukino, are you okay?\Here, have some water!\Not to worry! response:	I boiled the heck out of those veggies, so you don't have to worry about chok
context: It's got tons of veggies, too!\Oh, that rich aroma...\Anyway, give it a taste.\Um, thanks, but I think I'll pass.\Miss Rukino, are you okay?\Here, have some water!\Not to worry!\I boiled the heck out of those veggies, so you don't have to worry about chok response:	That was great...
context: Oh, that rich aroma...\Anyway, give it a taste.\Um, thanks, but I think I'll pass.\Miss Rukino, are you okay?\Here, have some water!\Not to worry!\I boiled the heck out of those veggies, so you don't have to worry about chok\That was great... response:	Figures, since it was cooked by a girl whose appearance is deceiving.
context: Anyway, give it a taste.\Um, thanks, but I think I'll pass.\Miss Rukino, are you okay?\Here, have some water!\Not to worry!\I boiled the heck out of those veggies, so you don't have to worry about chok\That was great...\Figures, since it was cooked by a girl whose appearance is deceiving. response:	Are you complimenting me?
context: Um, thanks, but I think I'll pass.\Miss Rukino, are you okay?\Here, have some water!\Not to worry!\I boiled the heck out of those veggies, so you don't have to worry about chok\That was great...\Figures, since it was cooked by a girl whose appearance is deceiving.\Are you complimenting me? response:	The biggest I can give.
context: Miss Rukino, are you okay?\Here, have some water!\Not to worry!\I boiled the heck out of those veggies, so you don't have to worry about chok\That was great...\Figures, since it was cooked by a girl whose appearance is deceiving.\Are you complimenting me?\The biggest I can give. response:	That's delicious!
context: Here, have some water!\Not to worry!\I boiled the heck out of those veggies, so you don't have to worry about chok\That was great...\Figures, since it was cooked by a girl whose appearance is deceiving.\Are you complimenting me?\The biggest I can give.\That's delicious! response:	That's awesome, Shoko!
context: Not to worry!\I boiled the heck out of those veggies, so you don't have to worry about chok\That was great...\Figures, since it was cooked by a girl whose appearance is deceiving.\Are you complimenting me?\The biggest I can give.\That's delicious!\That's awesome, Shoko! response:	Give me the recipe!
context: I boiled the heck out of those veggies, so you don't have to worry about chok\That was great...\Figures, since it was cooked by a girl whose appearance is deceiving.\Are you complimenting me?\The biggest I can give.\That's delicious!\That's awesome, Shoko!\Give me the recipe! response:	I'm surprised you could cook!
context: That was great...\Figures, since it was cooked by a girl whose appearance is deceiving.\Are you complimenting me?\The biggest I can give.\That's delicious!\That's awesome, Shoko!\Give me the recipe!\I'm surprised you could cook! response:	It's not that surprising!
context: Figures, since it was cooked by a girl whose appearance is deceiving.\Are you complimenting me?\The biggest I can give.\That's delicious!\That's awesome, Shoko!\Give me the recipe!\I'm surprised you could cook!\It's not that surprising! response:	Thanks, Miss Rukino. For helping out.
context: Are you complimenting me?\The biggest I can give.\That's delicious!\That's awesome, Shoko!\Give me the recipe!\I'm surprised you could cook!\It's not that surprising!\Thanks, Miss Rukino. For helping out. response:	I'm sorry for being so useless.
context: The biggest I can give.\That's delicious!\That's awesome, Shoko!\Give me the recipe!\I'm surprised you could cook!\It's not that surprising!\Thanks, Miss Rukino. For helping out.\I'm sorry for being so useless. response:	But I hate being in someone's debt.
context: That's delicious!\That's awesome, Shoko!\Give me the recipe!\I'm surprised you could cook!\It's not that surprising!\Thanks, Miss Rukino. For helping out.\I'm sorry for being so useless.\But I hate being in someone's debt. response:	Cheering me on. Earlier.
context: That's awesome, Shoko!\Give me the recipe!\I'm surprised you could cook!\It's not that surprising!\Thanks, Miss Rukino. For helping out.\I'm sorry for being so useless.\But I hate being in someone's debt.\Cheering me on. Earlier. response:	Oh, hey, that was fun! Let's do it again!
context: Give me the recipe!\I'm surprised you could cook!\It's not that surprising!\Thanks, Miss Rukino. For helping out.\I'm sorry for being so useless.\But I hate being in someone's debt.\Cheering me on. Earlier.\Oh, hey, that was fun! Let's do it again! response:	I'm not sure if I'd call it fun...
context: I'm surprised you could cook!\It's not that surprising!\Thanks, Miss Rukino. For helping out.\I'm sorry for being so useless.\But I hate being in someone's debt.\Cheering me on. Earlier.\Oh, hey, that was fun! Let's do it again!\I'm not sure if I'd call it fun... response:	That's quite good, actually.
context: It's not that surprising!\Thanks, Miss Rukino. For helping out.\I'm sorry for being so useless.\But I hate being in someone's debt.\Cheering me on. Earlier.\Oh, hey, that was fun! Let's do it again!\I'm not sure if I'd call it fun...\That's quite good, actually. response:	Um, your name was...
context: Thanks, Miss Rukino. For helping out.\I'm sorry for being so useless.\But I hate being in someone's debt.\Cheering me on. Earlier.\Oh, hey, that was fun! Let's do it again!\I'm not sure if I'd call it fun...\That's quite good, actually.\Um, your name was... response:	Ham-elf!
context: I'm sorry for being so useless.\But I hate being in someone's debt.\Cheering me on. Earlier.\Oh, hey, that was fun! Let's do it again!\I'm not sure if I'd call it fun...\That's quite good, actually.\Um, your name was...\Ham-elf! response:	It's L-elf.
context: But I hate being in someone's debt.\Cheering me on. Earlier.\Oh, hey, that was fun! Let's do it again!\I'm not sure if I'd call it fun...\That's quite good, actually.\Um, your name was...\Ham-elf!\It's L-elf. response:	Be careful.
context: Cheering me on. Earlier.\Oh, hey, that was fun! Let's do it again!\I'm not sure if I'd call it fun...\That's quite good, actually.\Um, your name was...\Ham-elf!\It's L-elf.\Be careful. response:	This guy is a Dorssian soldier.
context: Oh, hey, that was fun! Let's do it again!\I'm not sure if I'd call it fun...\That's quite good, actually.\Um, your name was...\Ham-elf!\It's L-elf.\Be careful.\This guy is a Dorssian soldier. response:	No way!
context: I'm not sure if I'd call it fun...\That's quite good, actually.\Um, your name was...\Ham-elf!\It's L-elf.\Be careful.\This guy is a Dorssian soldier.\No way! response:	Sashinami Shoko.
context: That's quite good, actually.\Um, your name was...\Ham-elf!\It's L-elf.\Be careful.\This guy is a Dorssian soldier.\No way!\Sashinami Shoko. response:	Me?
context: Um, your name was...\Ham-elf!\It's L-elf.\Be careful.\This guy is a Dorssian soldier.\No way!\Sashinami Shoko.\Me? response:	Take this.
context: Ham-elf!\It's L-elf.\Be careful.\This guy is a Dorssian soldier.\No way!\Sashinami Shoko.\Me?\Take this. response:	I've written out the future of your country.
context: It's L-elf.\Be careful.\This guy is a Dorssian soldier.\No way!\Sashinami Shoko.\Me?\Take this.\I've written out the future of your country. response:	This is...
context: Be careful.\This guy is a Dorssian soldier.\No way!\Sashinami Shoko.\Me?\Take this.\I've written out the future of your country.\This is... response:	A Plan Regarding the Military Development and Territorial Expansion of New JIOR...
context: This guy is a Dorssian soldier.\No way!\Sashinami Shoko.\Me?\Take this.\I've written out the future of your country.\This is...\A Plan Regarding the Military Development and Territorial Expansion of New JIOR... response:	Pilot Selection Tests...
context: No way!\Sashinami Shoko.\Me?\Take this.\I've written out the future of your country.\This is...\A Plan Regarding the Military Development and Territorial Expansion of New JIOR...\Pilot Selection Tests... response:	Establishment of Alliance With ARUS...
context: Sashinami Shoko.\Me?\Take this.\I've written out the future of your country.\This is...\A Plan Regarding the Military Development and Territorial Expansion of New JIOR...\Pilot Selection Tests...\Establishment of Alliance With ARUS... response:	Implementation of Total Military Conscription...
context: Me?\Take this.\I've written out the future of your country.\This is...\A Plan Regarding the Military Development and Territorial Expansion of New JIOR...\Pilot Selection Tests...\Establishment of Alliance With ARUS...\Implementation of Total Military Conscription... response:	You want to turn us into a military state?
context: Take this.\I've written out the future of your country.\This is...\A Plan Regarding the Military Development and Territorial Expansion of New JIOR...\Pilot Selection Tests...\Establishment of Alliance With ARUS...\Implementation of Total Military Conscription...\You want to turn us into a military state? response:	That is this country's only means of survival.
context: I've written out the future of your country.\This is...\A Plan Regarding the Military Development and Territorial Expansion of New JIOR...\Pilot Selection Tests...\Establishment of Alliance With ARUS...\Implementation of Total Military Conscription...\You want to turn us into a military state?\That is this country's only means of survival. response:	No, thanks.
